House of Representatives - 1998 Election 						
Swing to ALP						
By Division by Polling Place						

New South Wales						

* A two party preferred figure could not be calculated for the Division of Newcastle (NSW) as no Liberal or National Party						
 candidate was endorsed for the supplementary election. Therefore Newcastle does not appear in this table.						

Banks						

Polling Place	Formal	MELHAM		IACONO		Swing
Newry	255	54	21.18	201	78.82	7.05
Nicholson	528	257	48.67	271	51.33	15.07
Nowa Nowa	175	89	50.86	86	49.14	20.09
Nungurner	149	56	37.58	93	62.42	3.8
Omeo	267	82	30.71	185	69.29	10.29
Orbost	1379	577	41.84	802	58.16	16.91
Paynesville	1907	790	41.43	1117	58.57	8.27
Poowong	484	130	26.86	354	73.14	8.78
Port Albert	214	109	50.93	105	49.07	22.61
Port Franklin	108	35	32.41	73	67.59	9.33
Rosedale	900	354	39.33	546	60.67	9.07
Sale	3180	1248	39.25	1932	60.75	8.75
Sale East	1892	596	31.5	1296	68.5	4.99
Sale North	2050	929	45.32	1121	54.68	12.62
Seaspray	254	112	44.09	142	55.91	11.97
Special Hospital Team 1	141	41	29.08	100	70.92	5.74
Special Hospital Team 2	108	47	43.52	61	56.48	11.06
Special Hospital Team 3	169	53	31.36	116	68.64	4.09
Staceys Bridge	144	24	16.67	120	83.33	7.31
Stradbroke	125	51	40.8	74	59.2	6.32
Stratford	1263	487	38.56	776	61.44	10.6
Swifts Creek	279	126	45.16	153	54.84	12.78
Tarwin Lower	543	243	44.75	300	55.25	10.95
Tinamba	262	47	17.94	215	82.06	10.56
Toongabbie	418	245	58.61	173	41.39	15.42
Toora	536	241	44.96	295	55.04	16.76
Toorloo Arm	418	181	43.3	237	56.7	8.89
Valencia Creek	105	25	23.81	80	76.19	1.88
Welshpool	464	182	39.22	282	60.78	15.35
Won Wron	117	40	34.19	77	65.81	13.14
Wonthaggi	1656	1025	61.9	631	38.1	7.64
Wonthaggi North	1644	953	57.97	691	42.03	7.27
Woodside	315	125	39.68	190	60.32	16.91
Wurruk	303	111	36.63	192	63.37	13.29
Wy Yung	229	69	30.13	160	69.87	3.01
Yanakie	156	63	40.38	93	59.62	11.98
Yarram	1409	530	37.62	879	62.38	12.8
ABSENT	3242	1413	43.58	1829	56.42	-
POSTAL	3870	1484	38.35	2386	61.65	-
PRE POLL	3270	1333	40.76	1937	59.24	-
PROVISIONAL	601	303	50.42	298	49.58	-
Division Total	73951	30445	41.17	43506	58.83	9.81


Goldstein						

Polling Place	Formal	KHOURI		KEMP		Swing
	Votes	(ALP)	%	(LP)	%	%
Beaumaris	1349	373	27.65	976	72.35	3.44
Beaumaris Central	3044	917	30.12	2127	69.88	1.93
Beaumaris East (Goldstein)	1151	414	35.97	737	64.03	0.86
Beaumaris North	947	311	32.84	636	67.16	0.64
Bentleigh	2634	1374	52.16	1260	47.84	4.91
Bentleigh Central (Goldstein)	1198	580	48.41	618	51.59	-0.61
Bentleigh West	1789	933	52.15	856	47.85	3.33
Black Rock	1685	614	36.44	1071	63.56	3.01
Black Rock South	1610	525	32.61	1085	67.39	6.18
Brighton	3411	1048	30.72	2363	69.28	1.73
Brighton Beach	1811	424	23.41	1387	76.59	1.96
Brighton East	2046	856	41.84	1190	58.16	5.53
Brighton High	933	339	36.33	594	63.67	4.79
Carnegie	1179	692	58.69	487	41.31	2.97
Cheltenham (Goldstein)	1137	487	42.83	650	57.17	1.45
Cheltenham West	740	373	50.41	367	49.59	3.85
Dendy	2475	755	30.51	1720	69.49	3.79
Elsternwick South	953	422	44.28	531	55.72	1.21
Gardenvale	2389	729	30.51	1660	69.49	2.25
Glenhuntly	2865	1339	46.74	1526	53.26	4.95
Glenhuntly East	2487	1428	57.42	1059	42.58	4.5
Hampton	2386	935	39.19	1451	60.81	0.86
Hampton Central	1418	638	44.99	780	55.01	1.95
Highett	2394	1378	57.56	1016	42.44	2.55
Highett West	1751	926	52.88	825	47.12	2.91
Holloway	1060	405	38.21	655	61.79	6.2
Landcox	1248	532	42.63	716	57.37	3.18
Ludstone	1979	945	47.75	1034	52.25	0.56
McKinnon	2551	1307	51.23	1244	48.77	3.31
McKinnon East	1666	843	50.6	823	49.4	2.03
Melbourne (Goldstein)	73	29	39.73	44	60.27	-9.76
Middle Brighton	2419	632	26.13	1787	73.87	2.41
Moorabbin (Goldstein)	1259	721	57.27	538	42.73	5.06
Moorabbin West	1348	779	57.79	569	42.21	3.84
Ormond	1253	724	57.78	529	42.22	7.24
Ormond West	1731	853	49.28	878	50.72	1.91
Sandringham	1794	704	39.24	1090	60.76	0.86
Sandringham North	1615	755	46.75	860	53.25	3.59
Special Hospital Team 1	57	16	28.07	41	71.93	6.15
Special Hospital Team 2	242	64	26.45	178	73.55	1.16
ABSENT	5183	2229	43.01	2954	56.99	-
POSTAL	4275	1401	32.77	2874	67.23	-
PRE POLL	4378	1659	37.89	2719	62.11	-
PROVISIONAL	564	268	47.52	296	52.48	-
Division Total	80477	33676	41.85	46801	58.15	2.79


Higgins						

Polling Place	Formal	WALLACE		COSTELLO		Swing
	Votes	(ALP)	%	(LP)	%	%
Alamein	782	481	61.51	301	38.49	1.95
Armadale	1374	515	37.48	859	62.52	5.17
Ashburton	2512	1178	46.89	1334	53.11	1.83
Burwood	904	385	42.59	519	57.41	3.68
Burwood West	958	381	39.77	577	60.23	6.62
Camberwell	1021	378	37.02	643	62.98	0.17
Camberwell Middle	1138	400	35.15	738	64.85	1.52
Camberwell South	2003	716	35.75	1287	64.25	2.23
Carnegie North	1606	677	42.15	929	57.85	2.1
Carnegie Upper	1307	762	58.3	545	41.7	1.35
Chadstone	2100	1042	49.62	1058	50.38	0.46
Darling	1753	574	32.74	1179	67.26	3.92
Fawkner Park (Higgins)	1266	535	42.26	731	57.74	-3.18
Ferndale	765	287	37.52	478	62.48	2.08
Gardiner	1643	708	43.09	935	56.91	2.39
Glen Iris	2748	1051	38.25	1697	61.75	1.68
Glen Iris South	1439	581	40.38	858	59.62	2.29
Hartwell West	642	258	40.19	384	59.81	6.26
Hawksburn	3007	1186	39.44	1821	60.56	0.5
Hawksburn Central	854	498	58.31	356	41.69	-2.32
Hughesdale North	646	349	54.02	297	45.98	-3.8
Kooyong Park	1252	240	19.17	1012	80.83	2.47
Malvern	2375	892	37.56	1483	62.44	2.52
Malvern Central	1567	686	43.78	881	56.22	1.72
Malvern East	3250	1376	42.34	1874	57.66	0.51
Malvern Lower	1652	407	24.64	1245	75.36	0.25
Malvern South	3181	1190	37.41	1991	62.59	1.54
Malvern West	1242	524	42.19	718	57.81	3.02
Melbourne (Higgins)	147	69	46.94	78	53.06	-5.72
Murrumbeena	1651	809	49	842	51	0.61
Orrong	2055	992	48.27	1063	51.73	-2.67
Prahran	1994	1272	63.79	722	36.21	-1.79
Prahran East	2306	1359	58.93	947	41.07	0.15
South Yarra	631	357	56.58	274	43.42	-2.22
Special Hospital Team 1	154	40	25.97	114	74.03	8.18
Special Hospital Team 2	99	29	29.29	70	70.71	10.5
Toorak	2715	516	19.01	2199	80.99	4.28
Toorak Central	1382	404	29.23	978	70.77	2.47
Toorak West	1349	310	22.98	1039	77.02	5.15
Windsor	998	638	63.93	360	36.07	0.82
ABSENT	6587	2680	40.69	3907	59.31	-
POSTAL	4424	1328	30.02	3096	69.98	-
PRE POLL	5270	1919	36.41	3351	63.59	-
PROVISIONAL	630	267	42.38	363	57.62	-
Division Total	77379	31246	40.38	46133	59.62	1.11


Holt						

Polling Place	Formal	EVANS		NICHOLLS		Swing
	Votes	(ALP)	%	(LP)	%	%
Chandler	711	528	74.26	183	25.74	6.61
Cleeland	2340	1503	64.23	837	35.77	5.92
Coomoora	4214	3072	72.9	1142	27.1	5.28
Coral Park	2497	1654	66.24	843	33.76	-0.36
Dandenong	2102	1329	63.23	773	36.77	6.74
Dandenong South	1822	1455	79.86	367	20.14	5.54
Dandenong West (Holt)	1058	742	70.13	316	29.87	4.17
Doveton	2206	1577	71.49	629	28.51	2.45
Doveton North	1468	1146	78.07	322	21.93	1.75
Doveton West	1095	810	73.97	285	26.03	3.42
Endeavour Hills	3173	2016	63.54	1157	36.46	3.91
Endeavour Hills East	4348	2645	60.83	1703	39.17	0.88
Endeavour Hills North	1595	925	57.99	670	42.01	0.18
Fountain Gate	2916	1654	56.72	1262	43.28	0.81
Gleneagles	3482	2293	65.85	1189	34.15	1.3
Hallam	3540	2152	60.79	1388	39.21	2.28
Hampton Park	2708	1750	64.62	958	35.38	1.03
Hampton Park East	4026	2614	64.93	1412	35.07	0.97
Keysborough	1192	807	67.7	385	32.3	4.45
Maralinga	1624	1161	71.49	463	28.51	5.35
Maramba	2790	1409	50.5	1381	49.5	-1.15
Melbourne (Holt)	33	22	66.67	11	33.33	-4.76
Narre Warren (Holt)	2248	1146	50.98	1102	49.02	-2.63
Noble Park	2372	1756	74.03	616	25.97	5.46
Noble Park South	2703	1951	72.18	752	27.82	4.44
Southvale	1405	1035	73.67	370	26.33	5.6
Special Hospital Team 1	139	50	35.97	89	64.03	0.61
Special Hospital Team 2	16	11	68.75	5	31.25	-
Wallarano	3377	2297	68.02	1080	31.98	4.26
ABSENT	3398	1958	57.62	1440	42.38	-
POSTAL	3062	1954	63.81	1108	36.19	-
PRE POLL	3358	2042	60.81	1316	39.19	-
PROVISIONAL	868	645	74.31	223	25.69	-
Division Total	73886	48109	65.11	25777	34.89	2.3


Hotham						

Polling Place	Formal	CREAN		PESUTTO		Swing
	Votes	(ALP)	%	(LP)	%	%
Bentleigh Central (Hotham)	2337	1252	53.57	1085	46.43	2.72
Bentleigh East	2026	1073	52.96	953	47.04	4.16
Carnegie East	2370	1450	61.18	920	38.82	5.12
Cheltenham East (Hotham)	2277	1185	52.04	1092	47.96	2.56
Cheltenham North	2687	1538	57.24	1149	42.76	-1.08
Clarinda	1696	1268	74.76	428	25.24	4.39
Clarinda South	3948	3180	80.55	768	19.45	3.02
Clayton South	3136	2505	79.88	631	20.12	-0.84
Clayton West	1170	876	74.87	294	25.13	4.13
Coatesville	3703	2132	57.57	1571	42.43	3.19
Dingley Village	4216	1717	40.73	2499	59.27	3.97
Heatherhill	2107	1610	76.41	497	23.59	3.82
Heatherton North	1074	728	67.78	346	32.22	2.57
Hughesdale	2711	1750	64.55	961	35.45	2.16
Hughesdale South	2058	1213	58.94	845	41.06	4.88
Kingston Heath	2098	1194	56.91	904	43.09	1.8
Kingswood	1818	808	44.44	1010	55.56	3.96
Melbourne (Hotham)	45	31	68.89	14	31.11	3.37
Mentone Park	1303	693	53.18	610	46.82	3.4
Moorabbin (Hotham)	896	528	58.93	368	41.07	5.71
Moorabbin Heights	2290	1312	57.29	978	42.71	0.27
Moorabbin South	1028	552	53.7	476	46.3	0.71
Moorabbin South East	1784	1035	58.02	749	41.98	5.39
Murrumbeena South	2402	1324	55.12	1078	44.88	-0.31
Oakleigh Central	1428	960	67.23	468	32.77	-0.14
Oakleigh South	2313	1500	64.85	813	35.15	3.09
Southland	705	399	56.6	306	43.4	6.25
Southmoor	818	510	62.35	308	37.65	4.26
Special Hospital Team 1	48	24	50	24	50	-5.88
Special Hospital Team 2	99	46	46.46	53	53.54	-12.51
Spring Valley	1693	1318	77.85	375	22.15	5.27
Springvale	2633	2219	84.28	414	15.72	5.03
Springvale South	2258	1674	74.14	584	25.86	6.56
Springvale West	1773	1560	87.99	213	12.01	7.1
Valkstone	1152	607	52.69	545	47.31	3.23
Westall	3177	2716	85.49	461	14.51	4.54
ABSENT	4736	2858	60.35	1878	39.65	-
POSTAL	2829	1621	57.3	1208	42.7	-
PRE POLL	3437	2008	58.42	1429	41.58	-
PROVISIONAL	636	477	75	159	25	-
Division Total	80915	51451	63.59	29464	36.41	3.03


Indi						

Polling Place	Formal	LESCHEN		LIEBERMAN		Swing
	Votes	(ALP)	%	(LP)	%	%
Arcadia	130	40	30.77	90	69.23	14.7
Baddaginnie	207	71	34.3	136	65.7	8.68
Baranduda	439	151	34.4	288	65.6	9.19
Barnawartha	594	222	37.37	372	62.63	8.44
Beechworth	1800	1007	55.94	793	44.06	8.27
Benalla	2954	1272	43.06	1682	56.94	6.67
Benalla District Hospital	41	18	43.9	23	56.1	18.04
Benalla West	2840	1210	42.61	1630	57.39	8.69
Bethanga	485	157	32.37	328	67.63	6.18
Bonegilla	352	108	30.68	244	69.32	5.98
Boorhaman	147	26	17.69	121	82.31	4.02
Boosey	113	26	23.01	87	76.99	10.61
Bright	1352	574	42.46	778	57.54	8.99
Bullioh	110	34	30.91	76	69.09	13.43
Bundalong	230	80	34.78	150	65.22	14.54
Caniambo	81	11	13.58	70	86.42	-2.9
Carboor	40	9	22.5	31	77.5	12.66
Cheshunt	155	55	35.48	100	64.52	2.15
Chiltern	882	449	50.91	433	49.09	7.38
Corryong	1117	360	32.23	757	67.77	9.17
Cudgewa	192	36	18.75	156	81.25	7.73
Dederang	248	56	22.58	192	77.42	6.88
Devenish	185	53	28.65	132	71.35	12.67
Edi Upper	95	23	24.21	72	75.79	2.21
Eldorado	224	102	45.54	122	54.46	17.58
Eskdale	237	66	27.85	171	72.15	8.38
Euroa	2285	891	38.99	1394	61.01	5.83
Everton	169	65	38.46	104	61.54	15.11
Falls Creek	55	20	36.36	35	63.64	-1.52
Gapsted	156	68	43.59	88	56.41	16
Glenrowan	626	232	37.06	394	62.94	7.24
Goorambat	219	64	29.22	155	70.78	9.22
Granya	63	14	22.22	49	77.78	2.22
Greta Valley	166	53	31.93	113	68.07	10.09
Harrietville	173	70	40.46	103	59.54	8.71
Invergordon	370	79	21.35	291	78.65	10.13
Katandra West	481	139	28.9	342	71.1	11.44
Kergunyah	198	48	24.24	150	75.76	8.71
Kiewa	509	137	26.92	372	73.08	3.69
Londrigan	121	34	28.1	87	71.9	17.33
Lurg	147	54	36.73	93	63.27	0.43
Markwood	207	82	39.61	125	60.39	13.08
Melbourne (Indi)	66	25	37.88	41	62.12	-1.56
Milawa	327	99	30.28	228	69.72	6.5
Mitta Mitta	169	44	26.04	125	73.96	2.81
Molyullah	108	29	26.85	79	73.15	4.74
Mongans Bridge	125	27	21.6	98	78.4	9.92
Mount Beauty	979	504	51.48	475	48.52	8.65
Moyhu	396	125	31.57	271	68.43	7.95
Mudgegonga	136	33	24.26	103	75.74	8.09
Myrrhee	101	30	29.7	71	70.3	12.1
Myrtleford	2359	1031	43.7	1328	56.3	9.43
Oxley	354	109	30.79	245	69.21	7.98
Porepunkah	587	218	37.14	369	62.86	6.12
Rutherglen	1459	612	41.95	847	58.05	10.49
Sandy Creek	150	39	26	111	74	3.48
Special Hospital Team 1	199	70	35.18	129	64.82	11.25
Springhurst	206	69	33.5	137	66.5	8
St James	207	52	25.12	155	74.88	7.02
Stanley	185	87	47.03	98	52.97	10.16
Strathbogie	221	71	32.13	150	67.87	14.45
Swanpool	371	142	38.27	229	61.73	12.53
Tallangatta	814	274	33.66	540	66.34	9.69
Tallangatta Valley	89	12	13.48	77	86.52	2.48
Tarrawingee	180	50	27.78	130	72.22	4.63
Tatong	193	75	38.86	118	61.14	14.95
Tawonga	320	137	42.81	183	57.19	13.38
Thoona	225	57	25.33	168	74.67	8.54
Tungamah	291	137	47.08	154	52.92	10.11
Violet Town	707	299	42.29	408	57.71	9.76
Wahgunyah	476	207	43.49	269	56.51	5.33
Walwa	222	78	35.14	144	64.86	12.29
Wandiligong	149	73	48.99	76	51.01	8.08
Wangaratta	2352	1033	43.92	1319	56.08	8.86
Wangaratta Hospital	183	81	44.26	102	55.74	11.56
Wangaratta West	2253	926	41.1	1327	58.9	7.9
Warrenbayne	79	30	37.97	49	62.03	21.5
West End	2555	929	36.36	1626	63.64	5.87
Whitfield	174	73	41.95	101	58.05	14.72
Whorouly	345	95	27.54	250	72.46	6.92
Wodonga	6225	2650	42.57	3575	57.43	9.8
Wodonga Central	2505	1076	42.95	1429	57.05	5.68
Wodonga District Hospital	174	75	43.1	99	56.9	15.83
Wodonga South	2484	967	38.93	1517	61.07	9.18
Wodonga West	3243	1312	40.46	1931	59.54	3.05
Wooragee	155	61	39.35	94	60.65	13.98
Yackandandah	1011	413	40.85	598	59.15	8.1
Yarrawonga	1834	814	44.38	1020	55.62	7.55
Yarrawonga West	1541	587	38.09	954	61.91	5.29
Yarrunga	2743	1398	50.97	1345	49.03	7.06
ABSENT	3303	1310	39.66	1993	60.34	-
POSTAL	2986	962	32.22	2024	67.78	-
PRE POLL	5503	2061	37.45	3442	62.55	-
PROVISIONAL	652	332	50.92	320	49.08	-
Division Total	75866	30266	39.89	45600	60.11	7.69


Isaacs						

Polling Place	Formal	WILTON		RAWLINSON		Swing
	Votes	(ALP)	%	(LP)	%	%
Aspendale	2901	1618	55.77	1283	44.23	5.31
Aspendale Gardens	2168	1257	57.98	911	42.02	3.84
Aspendale North	689	353	51.23	336	48.77	4.44
Beaumaris East (Isaacs)	2036	930	45.68	1106	54.32	3.59
Belvedere Park (Isaacs)	2342	1415	60.42	927	39.58	4.38
Bonbeach	1052	672	63.88	380	36.12	9.23
Botany Park	2072	1224	59.07	848	40.93	2.34
Bowerbird	1304	806	61.81	498	38.19	3.99
Carrum	1868	1191	63.76	677	36.24	9.15
Carrum Downs	1210	679	56.12	531	43.88	6.29
Chelsea	1352	834	61.69	518	38.31	7.43
Chelsea Central	2850	1841	64.6	1009	35.4	7.79
Chelsea Heights	3644	2244	61.58	1400	38.42	4.95
Cheltenham (Isaacs)	943	462	48.99	481	51.01	4.67
Cheltenham East (Isaacs)	538	318	59.11	220	40.89	4.05
Cheltenham South	1095	579	52.88	516	47.12	4.74
Courtney Gardens	2247	1316	58.57	931	41.43	1.35
Cranbourne (Isaacs)	2292	1326	57.85	966	42.15	5.7
Cranbourne North	3366	2052	60.96	1314	39.04	5.65
Cranbourne West	2201	1379	62.65	822	37.35	2.07
Edithvale	3374	1966	58.27	1408	41.73	5.72
Lyndhurst	2395	1380	57.62	1015	42.38	0.4
Melbourne (Isaacs)	51	23	45.1	28	54.9	-9.8
Mentone	2116	951	44.94	1165	55.06	4.67
Mentone East	795	431	54.21	364	45.79	8.53
Mentone North	1327	655	49.36	672	50.64	5.5
Mordialloc	680	354	52.06	326	47.94	3.05
Mordialloc East	1803	1155	64.06	648	35.94	5.97
Parkdale	2176	1125	51.7	1051	48.3	5.58
Parkdale Central	1249	661	52.92	588	47.08	4.15
Parkdale East	1775	1003	56.51	772	43.49	7.44
Patterson Lakes	2932	1192	40.65	1740	59.35	2.74
Rowellyn Park	2307	1406	60.94	901	39.06	4.52
Skye (Isaacs)	433	243	56.12	190	43.88	2.51
Special Hospital Team 1	111	62	55.86	49	44.14	13.23
Special Hospital Team 2	242	106	43.8	136	56.2	8.85
Woodlands	753	423	56.18	330	43.82	6.18
ABSENT	3942	2114	53.63	1828	46.37	-
POSTAL	3327	1799	54.07	1528	45.93	-
PRE POLL	3006	1572	52.3	1434	47.7	-
PROVISIONAL	553	350	63.29	203	36.71	-
Division Total	73517	41467	56.4	32050	43.6	4.84


Jagajaga						

Polling Place	Formal	MACKLIN		RAUNIC		Swing
	Votes	(ALP)	%	(LP)	%	%
Banyule	2575	1387	53.86	1188	46.14	5.97
Briar Hill	2436	1343	55.13	1093	44.87	2.44
Bundoora	1855	1201	64.74	654	35.26	4.71
Eaglemont	1031	407	39.48	624	60.52	2.65
Eltham	3506	1848	52.71	1658	47.29	3.27
Eltham East	3242	1621	50	1621	50	-0.99
Eltham North	1925	962	49.97	963	50.03	-1.54
Eltham Woods	859	401	46.68	458	53.32	-1.08
Fairy Hills	1115	502	45.02	613	54.98	3.81
Glen Katherine	2845	1344	47.24	1501	52.76	-2.43
Golf Links	1152	590	51.22	562	48.78	2.23
Grace Park	1559	951	61	608	39	5.91
Greensborough Central	1295	755	58.3	540	41.7	4.2
Haig	2129	1587	74.54	542	25.46	5.34
Heidelberg	2850	1551	54.42	1299	45.58	4.83
Heidelberg North	2654	2199	82.86	455	17.14	2.84
Heidelberg West	1109	864	77.91	245	22.09	5.76
Ivanhoe	2242	1364	60.84	878	39.16	1.42
Ivanhoe Central	1035	500	48.31	535	51.69	3.22
Ivanhoe East	2438	1044	42.82	1394	57.18	4.97
Ivanhoe West	1646	1224	74.36	422	25.64	6.4
Lower Plenty	1874	744	39.7	1130	60.3	1.95
Macleod	3030	1791	59.11	1239	40.89	4.24
Macleod East	0	0	0	0	0	-53.82
Melbourne (Jagajaga)	81	53	65.43	28	34.57	6.43
Montmorency	3605	1955	54.23	1650	45.77	2.14
Montmorency South	1612	953	59.12	659	40.88	5.05
Repatriation Hospital	358	257	71.79	101	28.21	1.75
Research (Jagajaga)	1259	613	48.69	646	51.31	3.23
Rosanna	2017	1017	50.42	1000	49.58	5.1
Rosanna East	652	336	51.53	316	48.47	0.85
Special Hospital Team 1	256	118	46.09	138	53.91	8.56
Telfer Reserve	571	383	67.08	188	32.92	5.66
View Bank	2836	1501	52.93	1335	47.07	3.16
Warringal Parklands	586	289	49.32	297	50.68	6.82
Watsonia	2400	1466	61.08	934	38.92	2.08
Watsonia Central	962	592	61.54	370	38.46	7.09
Watsonia South	1094	683	62.43	411	37.57	3.73
Yallambie	2272	1139	50.13	1133	49.87	0.97
ABSENT	4149	2269	54.69	1880	45.31	-
POSTAL	4329	2481	57.31	1848	42.69	-
PRE POLL	4831	2559	52.97	2272	47.03	-
PROVISIONAL	399	256	64.16	143	35.84	-
Division Total	80671	45100	55.91	35571	44.09	3.2


Kooyong						

Polling Place	Formal	MORAND		GEORGIOU		Swing
	Votes	(ALP)	%	(LP)	%	%
Auburn	1401	664	47.39	737	52.61	-0.67
Auburn North	2443	1064	43.55	1379	56.45	-0.59
Auburn South	2963	1071	36.15	1892	63.85	3.17
Balwyn	2392	852	35.62	1540	64.38	2.54
Balwyn Central	1301	435	33.44	866	66.56	1.52
Balwyn North	3080	1372	44.55	1708	55.45	6.13
Balwyn North Central	1451	456	31.43	995	68.57	5.74
Balwyn North East	3779	1401	37.07	2378	62.93	4.14
Balwyn North West	1361	508	37.33	853	62.67	5.14
Balwyn West	1873	792	42.29	1081	57.71	4.61
Boroondara	2040	725	35.54	1315	64.46	5.56
Camberwell East	1257	394	31.34	863	68.66	2.14
Camberwell North	1857	537	28.92	1320	71.08	2.72
Canterbury North	1418	568	40.06	850	59.94	0.26
Canterbury South	2626	1043	39.72	1583	60.28	3.5
Chatham	1591	693	43.56	898	56.44	2.74
Cotham	2104	575	27.33	1529	72.67	0.99
Deepdene	1012	326	32.21	686	67.79	0.04
Glenferrie	2952	1365	46.24	1587	53.76	1.39
Glenferrie Central	1400	597	42.64	803	57.36	-0.46
Glenferrie South	1374	405	29.48	969	70.52	4.17
Hartwell	1926	864	44.86	1062	55.14	1.04
Hawthorn	2445	1144	46.79	1301	53.21	1.38
Highfield Park	1631	619	37.95	1012	62.05	0.04
Hyde Park	1431	693	48.43	738	51.57	2.93
Kew	3070	1467	47.79	1603	52.21	2.66
Kew East	1384	599	43.28	785	56.72	2.44
Kew North	2271	1041	45.84	1230	54.16	1.6
Kew South	2317	886	38.24	1431	61.76	3.85
Melbourne (Kooyong)	128	67	52.34	61	47.66	7.61
Special Hospital Team 1	191	49	25.65	142	74.35	2.13
Special Hospital Team 2	169	44	26.04	125	73.96	10.44
Special Hospital Team 3	159	47	29.56	112	70.44	4.29
Studley Park	1424	486	34.13	938	65.87	5.1
Surrey Hills West	1286	525	40.82	761	59.18	2.87
Willison	1139	392	34.42	747	65.58	3.27
ABSENT	5799	2116	36.49	3683	63.51	-
POSTAL	4689	1433	30.56	3256	69.44	-
PRE POLL	4846	1765	36.42	3081	63.58	-
PROVISIONAL	499	223	44.69	276	55.31	-
Division Total	78479	30303	38.61	48176	61.39	2.42


Lalor						

Polling Place	Formal	GILLARD		O'SULLIVAN		Swing
	Votes	(ALP)	%	(LP)	%	%
Altona	2717	1938	71.33	779	28.67	3.56
Altona Bay	3971	3020	76.05	951	23.95	-1.23
Altona Meadows	3436	2693	78.38	743	21.62	1.08
Altona West	2417	1626	67.27	791	32.73	0.01
Ardeer East (Lalor)	509	413	81.14	96	18.86	-18.86
Ardeer South	2256	1943	86.13	313	13.87	2.12
Bellbridge	3764	2610	69.34	1154	30.66	2.33
Cambridge	2587	1700	65.71	887	34.29	-2.28
Derrimut Heath	2172	1364	62.8	808	37.2	-0.79
Exford	139	79	56.83	60	43.17	3.61
Galvin Park	3394	2374	69.95	1020	30.05	3.65
Glengala (Lalor)	1957	1639	83.75	318	16.25	5.93
Glengala South	1843	1626	88.23	217	11.77	1.85
Glenorden	2484	1934	77.86	550	22.14	0.32
Iramoo	3312	2340	70.65	972	29.35	1.06
Laverton	1519	1131	74.46	388	25.54	1.61
Laverton North	2213	1756	79.35	457	20.65	3.7
Little River	392	217	55.36	175	44.64	5.93
Manorvale	2367	1544	65.23	823	34.77	4.58
Melbourne (Lalor)	33	23	69.7	10	30.3	-13.06
Mossfiel	4252	2892	68.02	1360	31.98	2.82
Point Cook	169	73	43.2	96	56.8	-1.47
Seabrook	1798	1196	66.52	602	33.48	-7.61
Seaholme	2560	1674	65.39	886	34.61	0.01
Special Hospital Team 1	27	23	85.18	4	14.81	11.5
The Grange	1436	984	68.52	452	31.48	0.35
Thomas Chirnside	1432	977	68.23	455	31.77	-1.3
Werribee	2897	1650	56.96	1247	43.04	2.26
Werribee Central	2410	1405	58.3	1005	41.7	2.65
Werribee South	804	333	41.42	471	58.58	8.96
Westgrove	1440	1061	73.68	379	26.32	0.35
Woodville	3300	2208	66.91	1092	33.09	3.06
ABSENT	3180	2111	66.38	1069	33.62	-
POSTAL	1795	1145	63.79	650	36.21	-
PRE POLL	4045	2620	64.77	1425	35.23	-
PROVISIONAL	730	571	78.22	159	21.78	-
Division Total	75757	52893	69.82	22864	30.18	1.31


La Trobe						

Polling Place	Formal	HIRSH		CHARLES		Swing
	Votes	(ALP)	%	(LP)	%	%
Bayswater East	898	474	52.78	424	47.22	5.93
Beaconsfield	1258	475	37.76	783	62.24	-0.79
Beaconsfield Upper	1522	514	33.77	1008	66.23	1.97
Belgrave	1459	849	58.19	610	41.81	4.14
Belgrave South	2042	977	47.85	1065	52.15	1.03
Berwick	4126	1363	33.03	2763	66.97	-1.66
Berwick Lodge	1492	686	45.98	806	54.02	-2.82
Berwick South	2132	982	46.06	1150	53.94	-0.3
Boronia	1989	1098	55.2	891	44.8	2.65
Boronia Central	1445	784	54.26	661	45.74	2.09
Boronia East	1788	986	55.15	802	44.85	2.47
Boronia North	2562	1285	50.16	1277	49.84	-0.7
Clematis	390	182	46.67	208	53.33	6.24
Cockatoo	1776	1033	58.16	743	41.84	2.22
Emerald	2996	1494	49.87	1502	50.13	1.68
Fairhills	2076	1211	58.33	865	41.67	0.43
Ferntree Gully	1447	810	55.98	637	44.02	2.07
Ferntree Gully North	2500	1302	52.08	1198	47.92	-0.41
Ferntree Gully Upper	1632	957	58.64	675	41.36	0.97
Ferntree Gully West	2531	1373	54.25	1158	45.75	1.16
Ferny Creek	754	394	52.25	360	47.75	4.56
Gembrook	815	398	48.83	417	51.17	4.71
Hallam Valley	2347	1200	51.13	1147	48.87	-3.76
Harkaway	516	146	28.29	370	71.71	1.99
Kallista (La Trobe)	232	109	46.98	123	53.02	0.23
Macclesfield	595	279	46.89	316	53.11	9.61
Melbourne (La Trobe)	35	19	54.29	16	45.71	6.52
Menzies Creek	443	205	46.28	238	53.72	-0.98
Mount Dandenong (La Trobe)	528	265	50.19	263	49.81	4.28
Narre Warren (La Trobe)	1696	871	51.36	825	48.64	-3.55
Narre Warren East	307	85	27.69	222	72.31	-0.2
Narre Warren North	758	244	32.19	514	67.81	-2.58
Oatlands	1751	878	50.14	873	49.86	-5.23
Officer	570	180	31.58	390	68.42	9.26
Olinda	483	233	48.24	250	51.76	1.54
