House of Representatives - 2001 Election: Queensland																								
Distribution of Preferences 																								
By Polling Place																								
Dawson																								
				PUKALLUS			JONES			KELLY			FEENEY			ELLUL			OFFIELD			ROBINSON		
		TOTAL				20	2.44		441	53.78		297	36.22								62	7.56		820
	FIFTH						Excluded		8	40.00		6	30.00								6	30.00		20
		TOTAL							449	54.76		303	36.95								68	8.29		820
	SIXTH								40	58.82		28	41.18									Excluded		68
		TOTAL							489	59.63		331	40.37											820
									Elected															
																								
Proserpine                                                     																								
	FIRST		13	0.60		33	1.53		1180	54.86		666	30.96		13	0.60		53	2.46		193	8.97		2151
	SECOND			Excluded		8	61.54		3	23.08		2	15.38		0	0.00		0	0.00		0	0.00		13
		TOTAL				41	1.91		1183	55.00		668	31.06		13	0.60		53	2.46		193	8.97		2151
	THIRD					3	23.08		2	15.38		3	23.08			Excluded		3	23.08		2	15.38		13
		TOTAL				44	2.05		1185	55.09		671	31.19					56	2.60		195	9.07		2151
	FOURTH					30	53.57		9	16.07		7	12.50						Excluded		10	17.86		56
		TOTAL				74	3.44		1194	55.51		678	31.52								205	9.53		2151
	FIFTH						Excluded		33	44.59		26	35.14								15	20.27		74
		TOTAL							1227	57.04		704	32.73								220	10.23		2151
	SIXTH								113	51.36		107	48.64									Excluded		220
		TOTAL							1340	62.30		811	37.70											2151
									Elected															
																								
Proserpine Hospital                                            																								
	FIRST		2	0.29		18	2.62		399	57.99		211	30.67		6	0.87		11	1.60		41	5.96		688
	SECOND			Excluded		2	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL				20	2.91		399	57.99		211	30.67		6	0.87		11	1.60		41	5.96		688
	THIRD					0	0.00		1	16.67		1	16.67			Excluded		1	16.67		3	50.00		6
		TOTAL				20	2.91		400	58.14		212	30.81					12	1.74		44	6.40		688
	FOURTH					5	41.67		2	16.67		4	33.33						Excluded		1	8.33		12
		TOTAL				25	3.63		402	58.43		216	31.40								45	6.54		688
	FIFTH						Excluded		13	52.00		10	40.00								2	8.00		25
		TOTAL							415	60.32		226	32.85								47	6.83		688
	SIXTH								24	51.06		23	48.94									Excluded		47
		TOTAL							439	63.81		249	36.19											688
									Elected															
																								
Queens Beach                                                   																								
	FIRST		4	0.38		14	1.33		447	42.61		454	43.28		5	0.48		21	2.00		104	9.91		1049
	SECOND			Excluded		3	75.00		1	25.00		0	0.00		0	0.00		0	0.00		0	0.00		4
		TOTAL				17	1.62		448	42.71		454	43.28		5	0.48		21	2.00		104	9.91		1049
	THIRD					0	0.00		2	40.00		2	40.00			Excluded		1	20.00		0	0.00		5
		TOTAL				17	1.62		450	42.90		456	43.47					22	2.10		104	9.91		1049
	FOURTH					9	40.91		3	13.64		7	31.82						Excluded		3	13.64		22
		TOTAL				26	2.48		453	43.18		463	44.14								107	10.20		1049
	FIFTH						Excluded		14	53.85		9	34.62								3	11.54		26
		TOTAL							467	44.52		472	45.00								110	10.49		1049
	SIXTH								65	59.09		45	40.91									Excluded		110
		TOTAL							532	50.71		517	49.29											1049
									Elected															
																								
Racecourse                                                     																								
	FIRST		4	1.17		3	0.88		230	67.25		85	24.85		4	1.17		5	1.46		11	3.22		342
	SECOND			Excluded		1	25.00		1	25.00		0	0.00		0	0.00		0	0.00		2	50.00		4
		TOTAL				4	1.17		231	67.54		85	24.85		4	1.17		5	1.46		13	3.80		342
	THIRD					0	0.00		0	0.00		2	50.00			Excluded		1	25.00		1	25.00		4
		TOTAL				4	1.17		231	67.54		87	25.44					6	1.75		14	4.09		342
	FOURTH					2	33.33		1	16.67		1	16.67						Excluded		2	33.33		6
		TOTAL				6	1.75		232	67.84		88	25.73								16	4.68		342
	FIFTH						Excluded		2	33.33		3	50.00								1	16.67		6
		TOTAL							234	68.42		91	26.61								17	4.97		342
	SIXTH								9	52.94		8	47.06									Excluded		17
		TOTAL							243	71.05		99	28.95											342
									Elected															
																								
Sarina Beach                                                   																								
	FIRST		1	0.27		9	2.43		173	46.76		142	38.38		6	1.62		6	1.62		33	8.92		370
	SECOND			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL				10	2.70		173	46.76		142	38.38		6	1.62		6	1.62		33	8.92		370
	THIRD					1	16.67		0	0.00		1	16.67			Excluded		0	0.00		4	66.67		6
		TOTAL				11	2.97		173	46.76		143	38.65					6	1.62		37	10.00		370
	FOURTH					2	33.33		2	33.33		1	16.67						Excluded		1	16.67		6
		TOTAL				13	3.51		175	47.30		144	38.92								38	10.27		370
	FIFTH						Excluded		4	30.77		6	46.15								3	23.08		13
		TOTAL							179	48.38		150	40.54								41	11.08		370
	SIXTH								17	41.46		24	58.54									Excluded		41
		TOTAL							196	52.97		174	47.03											370
									Elected															
																								
Sarina Central                                                 																								
	FIRST		39	1.72		54	2.38		891	39.34		957	42.25		30	1.32		35	1.55		259	11.43		2265
	SECOND			Excluded		18	46.15		4	10.26		7	17.95		1	2.56		1	2.56		8	20.51		39
		TOTAL				72	3.18		895	39.51		964	42.56		31	1.37		36	1.59		267	11.79		2265
	THIRD					5	16.13		3	9.68		8	25.81			Excluded		6	19.35		9	29.03		31
		TOTAL				77	3.40		898	39.65		972	42.91					42	1.85		276	12.19		2265
	FOURTH					13	30.95		7	16.67		16	38.10						Excluded		6	14.29		42
		TOTAL				90	3.97		905	39.96		988	43.62								282	12.45		2265
	FIFTH						Excluded		30	33.33		39	43.33								21	23.33		90
		TOTAL							935	41.28		1027	45.34								303	13.38		2265
	SIXTH								136	44.88		167	55.12									Excluded		303
		TOTAL							1071	47.28		1194	52.72											2265
									Elected															
																								
Sarina East                                                    																								
	FIRST		6	1.29		7	1.50		179	38.41		208	44.64		4	0.86		15	3.22		47	10.09		466
	SECOND			Excluded		2	33.33		2	33.33		1	16.67		0	0.00		0	0.00		1	16.67		6
		TOTAL				9	1.93		181	38.84		209	44.85		4	0.86		15	3.22		48	10.30		466
	THIRD					2	50.00		1	25.00		0	0.00			Excluded		0	0.00		1	25.00		4
		TOTAL				11	2.36		182	39.06		209	44.85					15	3.22		49	10.52		466
	FOURTH					4	26.67		2	13.33		7	46.67						Excluded		2	13.33		15
		TOTAL				15	3.22		184	39.48		216	46.35								51	10.94		466
	FIFTH						Excluded		4	26.67		9	60.00								2	13.33		15
		TOTAL							188	40.34		225	48.28								53	11.37		466
	SIXTH								21	39.62		32	60.38									Excluded		53
		TOTAL							209	44.85		257	55.15											466
									Elected															
																								
Sarina Range                                                   																								
	FIRST		1	0.95		7	6.67		51	48.57		20	19.05		0	0.00		2	1.90		24	22.86		105
	SECOND			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL				7	6.67		52	49.52		20	19.05		0	0.00		2	1.90		24	22.86		105
	THIRD					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL				7	6.67		52	49.52		20	19.05					2	1.90		24	22.86		105
	FOURTH					0	0.00		1	50.00		0	0.00						Excluded		1	50.00		2
		TOTAL				7	6.67		53	50.48		20	19.05								25	23.81		105
	FIFTH						Excluded		2	28.57		4	57.14								1	14.29		7
		TOTAL							55	52.38		24	22.86								26	24.76		105
	SIXTH								14	53.85		12	46.15									Excluded		26
		TOTAL							69	65.71		36	34.29											105
									Elected															
																								
Seaforth                                                       																								
	FIRST		5	0.66		14	1.85		398	52.51		236	31.13		8	1.06		10	1.32		87	11.48		758
	SECOND			Excluded		2	40.00		2	40.00		0	0.00		0	0.00		0	0.00		1	20.00		5
		TOTAL				16	2.11		400	52.77		236	31.13		8	1.06		10	1.32		88	11.61		758
	THIRD					0	0.00		0	0.00		2	25.00			Excluded		1	12.50		5	62.50		8
		TOTAL				16	2.11		400	52.77		238	31.40					11	1.45		93	12.27		758
	FOURTH					4	36.36		2	18.18		4	36.36						Excluded		1	9.09		11
		TOTAL				20	2.64		402	53.03		242	31.93								94	12.40		758
	FIFTH						Excluded		9	45.00		7	35.00								4	20.00		20
		TOTAL							411	54.22		249	32.85								98	12.93		758
	SIXTH								57	58.16		41	41.84									Excluded		98
		TOTAL							468	61.74		290	38.26											758
									Elected															
																								
Shinfield                                                      																								
	FIRST		0	0.00		3	1.22		119	48.57		67	27.35		6	2.45		6	2.45		44	17.96		245
	SECOND			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				3	1.22		119	48.57		67	27.35		6	2.45		6	2.45		44	17.96		245
	THIRD					2	33.33		0	0.00		1	16.67			Excluded		0	0.00		3	50.00		6
		TOTAL				5	2.04		119	48.57		68	27.76					6	2.45		47	19.18		245
	FOURTH					3	50.00		2	33.33		0	0.00						Excluded		1	16.67		6
		TOTAL				8	3.27		121	49.39		68	27.76								48	19.59		245
	FIFTH						Excluded		4	50.00		3	37.50								1	12.50		8
		TOTAL							125	51.02		71	28.98								49	20.00		245
	SIXTH								26	53.06		23	46.94									Excluded		49
		TOTAL							151	61.63		94	38.37											245
									Elected															
																								
Slade Point                                                    																								
	FIRST		16	0.92		64	3.68		691	39.69		759	43.60		20	1.15		34	1.95		157	9.02		1741
	SECOND			Excluded		5	31.25		3	18.75		3	18.75		0	0.00		4	25.00		1	6.25		16
		TOTAL				69	3.96		694	39.86		762	43.77		20	1.15		38	2.18		158	9.08		1741
	THIRD					6	30.00		3	15.00		4	20.00			Excluded		5	25.00		2	10.00		20
		TOTAL				75	4.31		697	40.03		766	44.00					43	2.47		160	9.19		1741
	FOURTH					15	34.88		9	20.93		10	23.26						Excluded		9	20.93		43
		TOTAL				90	5.17		706	40.55		776	44.57								169	9.71		1741
	FIFTH						Excluded		36	40.00		40	44.44								14	15.56		90
		TOTAL							742	42.62		816	46.87								183	10.51		1741
	SIXTH								68	37.16		115	62.84									Excluded		183
		TOTAL							810	46.52		931	53.48											1741
									Elected															
																								
Victoria Park                                                  																								
	FIRST		34	1.57		79	3.64		892	41.09		874	40.26		18	0.83		102	4.70		172	7.92		2171
	SECOND			Excluded		16	47.06		4	11.76		0	0.00		5	14.71		2	5.88		7	20.59		34
		TOTAL				95	4.38		896	41.27		874	40.26		23	1.06		104	4.79		179	8.25		2171
	THIRD					4	17.39		5	21.74		4	17.39			Excluded		5	21.74		5	21.74		23
		TOTAL				99	4.56		901	41.50		878	40.44					109	5.02		184	8.48		2171
	FOURTH					62	56.88		17	15.60		23	21.10						Excluded		7	6.42		109
		TOTAL				161	7.42		918	42.28		901	41.50								191	8.80		2171
	FIFTH						Excluded		50	31.06		88	54.66								23	14.29		161
		TOTAL							968	44.59		989	45.56								214	9.86		2171
	SIXTH								67	31.31		147	68.69									Excluded		214
		TOTAL							1035	47.67		1136	52.33											2171
									Elected															
																								
Walkerston                                                     																								
	FIRST		9	0.44		34	1.67		1138	55.89		626	30.75		29	1.42		54	2.65		146	7.17		2036
	SECOND			Excluded		6	66.67		1	11.11		1	11.11		1	11.11		0	0.00		0	0.00		9
		TOTAL				40	1.96		1139	55.94		627	30.80		30	1.47		54	2.65		146	7.17		2036
	THIRD					3	10.00		10	33.33		6	20.00			Excluded		7	23.33		4	13.33		30
		TOTAL				43	2.11		1149	56.43		633	31.09					61	3.00		150	7.37		2036
	FOURTH					22	36.07		13	21.31		15	24.59						Excluded		11	18.03		61
		TOTAL				65	3.19		1162	57.07		648	31.83								161	7.91		2036
	FIFTH						Excluded		27	41.54		27	41.54								11	16.92		65
		TOTAL							1189	58.40		675	33.15								172	8.45		2036
	SIXTH								87	50.58		85	49.42									Excluded		172
		TOTAL							1276	62.67		760	37.33											2036
									Elected															
																								
Special Hospital Team 1                                        																								
	FIRST		5	5.00		2	2.00		51	51.00		33	33.00		2	2.00		3	3.00		4	4.00		100
	SECOND			Excluded		3	60.00		1	20.00		0	0.00		0	0.00		0	0.00		1	20.00		5
		TOTAL				5	5.00		52	52.00		33	33.00		2	2.00		3	3.00		5	5.00		100
	THIRD					1	50.00		1	50.00		0	0.00			Excluded		0	0.00		0	0.00		2
		TOTAL				6	6.00		53	53.00		33	33.00					3	3.00		5	5.00		100
	FOURTH					0	0.00		1	33.33		1	33.33						Excluded		1	33.33		3
		TOTAL				6	6.00		54	54.00		34	34.00								6	6.00		100
	FIFTH						Excluded		5	83.33		1	16.67								0	0.00		6
		TOTAL							59	59.00		35	35.00								6	6.00		100
	SIXTH								4	66.67		2	33.33									Excluded		6
		TOTAL							63	63.00		37	37.00											100
									Elected															
																								
Special Hospital Team 2                                        																								
	FIRST		1	4.35		1	4.35		5	21.74		16	69.57		0	0.00		0	0.00		0	0.00		23
	SECOND			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL				2	8.70		5	21.74		16	69.57		0	0.00		0	0.00		0	0.00		23
	THIRD					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL				2	8.70		5	21.74		16	69.57					0	0.00		0	0.00		23
	FOURTH					0	0.00		0	0.00		0	0.00						Excluded		0	0.00		0
		TOTAL				2	8.70		5	21.74		16	69.57								0	0.00		23
	FIFTH						Excluded		2	100.00		0	0.00								0	0.00		2
		TOTAL							7	30.43		16	69.57								0	0.00		23
	SIXTH								0	0.00		0	0.00									Excluded		0
		TOTAL							7	30.43		16	69.57											23
									Elected															
																								
Special Hospital Team 3                                        																								
	FIRST		9	5.42		2	1.20		96	57.83		52	31.33		1	0.60		0	0.00		6	3.61		166
	SECOND			Excluded		6	66.67		3	33.33		0	0.00		0	0.00		0	0.00		0	0.00		9
		TOTAL				8	4.82		99	59.64		52	31.33		1	0.60		0	0.00		6	3.61		166
	THIRD					0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		1
		TOTAL				8	4.82		99	59.64		53	31.93					0	0.00		6	3.61		166
	FOURTH					0	0.00		0	0.00		0	0.00						Excluded		0	0.00		0
		TOTAL				8	4.82		99	59.64		53	31.93								6	3.61		166
	FIFTH						Excluded		7	87.50		1	12.50								0	0.00		8
		TOTAL							106	63.86		54	32.53								6	3.61		166
	SIXTH								3	50.00		3	50.00									Excluded		6
		TOTAL							109	65.66		57	34.34											166
									Elected															
																								
ABSENT																								
	FIRST		46	1.13		156	3.84		1884	46.43		1263	31.12		90	2.22		192	4.73		427	10.52		4058
	SECOND			Excluded		29	63.04		10	21.74		4	8.70		0	0.00		2	4.35		1	2.17		46
		TOTAL				185	4.56		1894	46.67		1267	31.22		90	2.22		194	4.78		428	10.55		4058
	THIRD					17	18.89		36	40.00		10	11.11			Excluded		15	16.67		12	13.33		90
		TOTAL				202	4.98		1930	47.56		1277	31.47					209	5.15		440	10.84		4058
	FOURTH					61	29.19		57	27.27		63	30.14						Excluded		28	13.40		209
		TOTAL				263	6.48		1987	48.97		1340	33.02								468	11.53		4058
	FIFTH						Excluded		131	49.81		95	36.12								37	14.07		263
		TOTAL							2118	52.19		1435	35.36								505	12.44		4058
	SIXTH								287	56.83		218	43.17									Excluded		505
		TOTAL							2405	59.27		1653	40.73											4058
									Elected															
																								
POSTAL																								
	FIRST		8	0.24		40	1.20		1821	54.67		1086	32.60		38	1.14		87	2.61		251	7.54		3331
	SECOND			Excluded		4	50.00		1	12.50		1	12.50		1	12.50		0	0.00		1	12.50		8
		TOTAL				44	1.32		1822	54.70		1087	32.63		39	1.17		87	2.61		252	7.57		3331
	THIRD					2	5.13		11	28.21		5	12.82			Excluded		12	30.77		9	23.08		39
		TOTAL				46	1.38		1833	55.03		1092	32.78					99	2.97		261	7.84		3331
	FOURTH					36	36.36		22	22.22		26	26.26						Excluded		15	15.15		99
		TOTAL				82	2.46		1855	55.69		1118	33.56								276	8.29		3331
	FIFTH						Excluded		27	32.93		40	48.78								15	18.29		82
		TOTAL							1882	56.50		1158	34.76								291	8.74		3331
	SIXTH								167	57.39		124	42.61									Excluded		291
		TOTAL							2049	61.51		1282	38.49											3331
									Elected															
																								
PRE POLL																								
	FIRST		39	1.01		153	3.96		1934	50.03		1218	31.51		78	2.02		169	4.37		275	7.11		3866
	SECOND			Excluded		20	51.28		9	23.08		2	5.13		3	7.69		4	10.26		1	2.56		39
		TOTAL				173	4.47		1943	50.26		1220	31.56		81	2.10		173	4.47		276	7.14		3866
	THIRD					11	13.58		22	27.16		16	19.75			Excluded		22	27.16		10	12.35		81
		TOTAL				184	4.76		1965	50.83		1236	31.97					195	5.04		286	7.40		3866
	FOURTH					79	40.51		42	21.54		56	28.72						Excluded		18	9.23		195
		TOTAL				263	6.80		2007	51.91		1292	33.42								304	7.86		3866
	FIFTH						Excluded		114	43.35		124	47.15								25	9.51		263
		TOTAL							2121	54.86		1416	36.63								329	8.51		3866
	SIXTH								180	54.71		149	45.29									Excluded		329
		TOTAL							2301	59.52		1565	40.48											3866
									Elected															
																								
PROVISIONAL																								
	FIRST		11	1.58		22	3.16		270	38.74		296	42.47		10	1.43		23	3.30		65	9.33		697
	SECOND			Excluded		6	54.55		3	27.27		0	0.00		1	9.09		0	0.00		1	9.09		11
		TOTAL				28	4.02		273	39.17		296	42.47		11	1.58		23	3.30		66	9.47		697
	THIRD					2	18.18		1	9.09		3	27.27			Excluded		1	9.09		4	36.36		11
		TOTAL				30	4.30		274	39.31		299	42.90					24	3.44		70	10.04		697
	FOURTH					9	37.50		7	29.17		6	25.00						Excluded		2	8.33		24
		TOTAL				39	5.60		281	40.32		305	43.76								72	10.33		697
	FIFTH						Excluded		20	51.28		13	33.33								6	15.38		39
		TOTAL							301	43.19		318	45.62								78	11.19		697
	SIXTH								37	47.44		41	52.56									Excluded		78
		TOTAL							338	48.49		359	51.51											697
									Elected															
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
