House of Representatives - 2001 Election: Queensland																													
Distribution of Preferences 																													
By Polling Place																													
Blair																													
						KYSON			THOMPSON			MCKENZIE			TURNER			RYAN			WENDT			JOHNSTON			COSGROVE		
		FIFTH			2	10.53		3	15.79					11	57.89					3	15.79			Excluded					19
			TOTAL		23	5.58		186	45.15					85	20.63					118	28.64								412
		SIXTH				Excluded		6	26.09					3	13.04					14	60.87								23
			TOTAL					192	46.60					88	21.36					132	32.04								412
		SEVENTH						42	47.73						Excluded					46	52.27								88
			TOTAL					234	56.80											178	43.20								412
								Elected																					
																													
	Mutdapilly                                                     																												
		FIRST			4	1.47		152	55.68		7	2.56		39	14.29		1	0.37		69	25.27		1	0.37		0	0.00		273
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
			TOTAL		4	1.47		152	55.68		7	2.56		39	14.29		1	0.37		69	25.27		1	0.37					273
		THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00					1
			TOTAL		4	1.47		152	55.68		7	2.56		39	14.29					70	25.64		1	0.37					273
		FOURTH			1	14.29		3	42.86			Excluded		0	0.00					2	28.57		1	14.29					7
			TOTAL		5	1.83		155	56.78					39	14.29					72	26.37		2	0.73					273
		FIFTH			0	0.00		0	0.00					0	0.00					2	100.00			Excluded					2
			TOTAL		5	1.83		155	56.78					39	14.29					74	27.11								273
		SIXTH				Excluded		4	80.00					0	0.00					1	20.00								5
			TOTAL					159	58.24					39	14.29					75	27.47								273
		SEVENTH						29	74.36						Excluded					10	25.64								39
			TOTAL					188	68.86											85	31.14								273
								Elected																					
																													
	Nanango                                                        																												
		FIRST			57	2.37		1040	43.28		43	1.79		406	16.90		20	0.83		725	30.17		105	4.37		7	0.29		2403
		SECOND			1	14.29		0	0.00		0	0.00		0	0.00		1	14.29		1	14.29		4	57.14			Excluded		7
			TOTAL		58	2.41		1040	43.28		43	1.79		406	16.90		21	0.87		726	30.21		109	4.54					2403
		THIRD			0	0.00		1	4.76		4	19.05		6	28.57			Excluded		5	23.81		5	23.81					21
			TOTAL		58	2.41		1041	43.32		47	1.96		412	17.15					731	30.42		114	4.74					2403
		FOURTH			14	29.79		11	23.40			Excluded		7	14.89					5	10.64		10	21.28					47
			TOTAL		72	3.00		1052	43.78					419	17.44					736	30.63		124	5.16					2403
		FIFTH			23	18.55		29	23.39					45	36.29					27	21.77			Excluded					124
			TOTAL		95	3.95		1081	44.99					464	19.31					763	31.75								2403
		SIXTH				Excluded		35	36.84					15	15.79					45	47.37								95
			TOTAL					1116	46.44					479	19.93					808	33.62								2403
		SEVENTH						206	43.01						Excluded					273	56.99								479
			TOTAL					1322	55.01											1081	44.99								2403
								Elected																					
																													
	North Ipswich                                                  																												
		FIRST			51	4.12		392	31.66		53	4.28		163	13.17		13	1.05		540	43.62		22	1.78		4	0.32		1238
		SECOND			0	0.00		0	0.00		0	0.00		1	25.00		1	25.00		0	0.00		2	50.00			Excluded		4
			TOTAL		51	4.12		392	31.66		53	4.28		164	13.25		14	1.13		540	43.62		24	1.94					1238
		THIRD			4	28.57		2	14.29		0	0.00		1	7.14			Excluded		0	0.00		7	50.00					14
			TOTAL		55	4.44		394	31.83		53	4.28		165	13.33					540	43.62		31	2.50					1238
		FOURTH			27	50.94		6	11.32			Excluded		7	13.21					7	13.21		6	11.32					53
			TOTAL		82	6.62		400	32.31					172	13.89					547	44.18		37	2.99					1238
		FIFTH			10	27.03		6	16.22					13	35.14					8	21.62			Excluded					37
			TOTAL		92	7.43		406	32.79					185	14.94					555	44.83								1238
		SIXTH				Excluded		41	44.57					18	19.57					33	35.87								92
			TOTAL					447	36.11					203	16.40					588	47.50								1238
		SEVENTH						68	33.50						Excluded					135	66.50								203
			TOTAL					515	41.60											723	58.40								1238
								Elected																					
																													
	Perseverance                                                   																												
		FIRST			24	12.06		89	44.72		3	1.51		30	15.08		3	1.51		30	15.08		20	10.05		0	0.00		199
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
			TOTAL		24	12.06		89	44.72		3	1.51		30	15.08		3	1.51		30	15.08		20	10.05					199
		THIRD			1	33.33		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	66.67					3
			TOTAL		25	12.56		89	44.72		3	1.51		30	15.08					30	15.08		22	11.06					199
		FOURTH			3	100.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00					3
			TOTAL		28	14.07		89	44.72					30	15.08					30	15.08		22	11.06					199
		FIFTH			2	9.09		3	13.64					15	68.18					2	9.09			Excluded					22
			TOTAL		30	15.08		92	46.23					45	22.61					32	16.08								199
		SIXTH				Excluded		7	23.33					3	10.00					20	66.67								30
			TOTAL					99	49.75					48	24.12					52	26.13								199
		SEVENTH						17	35.42						Excluded					31	64.58								48
			TOTAL					116	58.29											83	41.71								199
								Elected																					
																													
	Pine Mountain                                                  																												
		FIRST			15	3.69		203	49.88		8	1.97		69	16.95		5	1.23		104	25.55		2	0.49		1	0.25		407
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		1
			TOTAL		15	3.69		203	49.88		8	1.97		69	16.95		5	1.23		104	25.55		3	0.74					407
		THIRD			1	20.00		0	0.00		0	0.00		0	0.00			Excluded		1	20.00		3	60.00					5
			TOTAL		16	3.93		203	49.88		8	1.97		69	16.95					105	25.80		6	1.47					407
		FOURTH			2	25.00		1	12.50			Excluded		1	12.50					3	37.50		1	12.50					8
			TOTAL		18	4.42		204	50.12					70	17.20					108	26.54		7	1.72					407
		FIFTH			2	28.57		0	0.00					3	42.86					2	28.57			Excluded					7
			TOTAL		20	4.91		204	50.12					73	17.94					110	27.03								407
		SIXTH				Excluded		9	45.00					4	20.00					7	35.00								20
			TOTAL					213	52.33					77	18.92					117	28.75								407
		SEVENTH						43	55.84						Excluded					34	44.16								77
			TOTAL					256	62.90											151	37.10								407
								Elected																					
																													
	Rosevale                                                       																												
		FIRST			1	0.67		96	64.00		1	0.67		25	16.67		2	1.33		24	16.00		1	0.67		0	0.00		150
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
			TOTAL		1	0.67		96	64.00		1	0.67		25	16.67		2	1.33		24	16.00		1	0.67					150
		THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	100.00					2
			TOTAL		1	0.67		96	64.00		1	0.67		25	16.67					24	16.00		3	2.00					150
		FOURTH			0	0.00		1	100.00			Excluded		0	0.00					0	0.00		0	0.00					1
			TOTAL		1	0.67		97	64.67					25	16.67					24	16.00		3	2.00					150
		FIFTH			0	0.00		2	66.67					1	33.33					0	0.00			Excluded					3
			TOTAL		1	0.67		99	66.00					26	17.33					24	16.00								150
		SIXTH				Excluded		1	100.00					0	0.00					0	0.00								1
			TOTAL					100	66.67					26	17.33					24	16.00								150
		SEVENTH						14	53.85						Excluded					12	46.15								26
			TOTAL					114	76.00											36	24.00								150
								Elected																					
																													
	Rosewood                                                       																												
		FIRST			69	3.50		837	42.40		60	3.04		324	16.41		17	0.86		624	31.61		38	1.93		5	0.25		1974
		SECOND			0	0.00		1	20.00		0	0.00		1	20.00		0	0.00		0	0.00		3	60.00			Excluded		5
			TOTAL		69	3.50		838	42.45		60	3.04		325	16.46		17	0.86		624	31.61		41	2.08					1974
		THIRD			2	11.76		1	5.88		0	0.00		5	29.41			Excluded		0	0.00		9	52.94					17
			TOTAL		71	3.60		839	42.50		60	3.04		330	16.72					624	31.61		50	2.53					1974
		FOURTH			23	38.33		11	18.33			Excluded		7	11.67					14	23.33		5	8.33					60
			TOTAL		94	4.76		850	43.06					337	17.07					638	32.32		55	2.79					1974
		FIFTH			17	30.91		10	18.18					19	34.55					9	16.36			Excluded					55
			TOTAL		111	5.62		860	43.57					356	18.03					647	32.78								1974
		SIXTH				Excluded		45	40.54					24	21.62					42	37.84								111
			TOTAL					905	45.85					380	19.25					689	34.90								1974
		SEVENTH						209	55.00						Excluded					171	45.00								380
			TOTAL					1114	56.43											860	43.57								1974
								Elected																					
																													
	Somerset Dam                                                   																												
		FIRST			2	2.56		46	58.97		2	2.56		5	6.41		1	1.28		20	25.64		2	2.56		0	0.00		78
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
			TOTAL		2	2.56		46	58.97		2	2.56		5	6.41		1	1.28		20	25.64		2	2.56					78
		THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00					1
			TOTAL		2	2.56		46	58.97		2	2.56		5	6.41					20	25.64		3	3.85					78
		FOURTH			1	50.00		0	0.00			Excluded		0	0.00					1	50.00		0	0.00					2
			TOTAL		3	3.85		46	58.97					5	6.41					21	26.92		3	3.85					78
		FIFTH			1	33.33		1	33.33					0	0.00					1	33.33			Excluded					3
			TOTAL		4	5.13		47	60.26					5	6.41					22	28.21								78
		SIXTH				Excluded		3	75.00					0	0.00					1	25.00								4
			TOTAL					50	64.10					5	6.41					23	29.49								78
		SEVENTH						1	20.00						Excluded					4	80.00								5
			TOTAL					51	65.38											27	34.62								78
								Elected																					
																													
	St Josephs                                                     																												
		FIRST			48	3.31		475	32.80		98	6.77		178	12.29		10	0.69		619	42.75		17	1.17		3	0.21		1448
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	100.00		0	0.00			Excluded		3
			TOTAL		48	3.31		475	32.80		98	6.77		178	12.29		10	0.69		622	42.96		17	1.17					1448
		THIRD			2	20.00		1	10.00		1	10.00		1	10.00			Excluded		1	10.00		4	40.00					10
			TOTAL		50	3.45		476	32.87		99	6.84		179	12.36					623	43.02		21	1.45					1448
		FOURTH			45	45.45		16	16.16			Excluded		6	6.06					22	22.22		10	10.10					99
			TOTAL		95	6.56		492	33.98					185	12.78					645	44.54		31	2.14					1448
		FIFTH			13	41.94		4	12.90					9	29.03					5	16.13			Excluded					31
			TOTAL		108	7.46		496	34.25					194	13.40					650	44.89								1448
		SIXTH				Excluded		41	37.96					14	12.96					53	49.07								108
			TOTAL					537	37.09					208	14.36					703	48.55								1448
		SEVENTH						86	41.35						Excluded					122	58.65								208
			TOTAL					623	43.02											825	56.98								1448
								Elected																					
																													
	Stockyard Creek                                                																												
		FIRST			9	4.64		101	52.06		7	3.61		19	9.79		2	1.03		41	21.13		15	7.73		0	0.00		194
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
			TOTAL		9	4.64		101	52.06		7	3.61		19	9.79		2	1.03		41	21.13		15	7.73					194
		THIRD			0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		1	50.00					2
			TOTAL		9	4.64		101	52.06		7	3.61		20	10.31					41	21.13		16	8.25					194
		FOURTH			5	71.43		0	0.00			Excluded		0	0.00					2	28.57		0	0.00					7
			TOTAL		14	7.22		101	52.06					20	10.31					43	22.16		16	8.25					194
		FIFTH			0	0.00		5	31.25					10	62.50					1	6.25			Excluded					16
			TOTAL		14	7.22		106	54.64					30	15.46					44	22.68								194
		SIXTH				Excluded		4	28.57					2	14.29					8	57.14								14
			TOTAL					110	56.70					32	16.49					52	26.80								194
		SEVENTH						14	43.75						Excluded					18	56.25								32
			TOTAL					124	63.92											70	36.08								194
								Elected																					
																													
	Taabinga                                                       																												
		FIRST			58	2.88		1171	58.14		33	1.64		268	13.31		29	1.44		341	16.93		110	5.46		4	0.20		2014
		SECOND			1	25.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	75.00			Excluded		4
			TOTAL		59	2.93		1171	58.14		33	1.64		268	13.31		29	1.44		341	16.93		113	5.61					2014
		THIRD			1	3.45		5	17.24		0	0.00		5	17.24			Excluded		5	17.24		13	44.83					29
			TOTAL		60	2.98		1176	58.39		33	1.64		273	13.56					346	17.18		126	6.26					2014
		FOURTH			12	36.36		7	21.21			Excluded		4	12.12					5	15.15		5	15.15					33
			TOTAL		72	3.57		1183	58.74					277	13.75					351	17.43		131	6.50					2014
		FIFTH			21	16.03		25	19.08					71	54.20					14	10.69			Excluded					131
			TOTAL		93	4.62		1208	59.98					348	17.28					365	18.12								2014
		SIXTH				Excluded		29	31.18					29	31.18					35	37.63								93
			TOTAL					1237	61.42					377	18.72					400	19.86								2014
		SEVENTH						187	49.60						Excluded					190	50.40								377
			TOTAL					1424	70.71											590	29.29								2014
								Elected																					
																													
	Tarampa                                                        																												
		FIRST			10	2.33		217	50.58		6	1.40		77	17.95		7	1.63		103	24.01		6	1.40		3	0.70		429
		SECOND			0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		1	33.33		1	33.33			Excluded		3
			TOTAL		10	2.33		217	50.58		6	1.40		78	18.18		7	1.63		104	24.24		7	1.63					429
		THIRD			0	0.00		2	28.57		1	14.29		3	42.86			Excluded		0	0.00		1	14.29					7
			TOTAL		10	2.33		219	51.05		7	1.63		81	18.88					104	24.24		8	1.86					429
		FOURTH			1	14.29		2	28.57			Excluded		0	0.00					4	57.14		0	0.00					7
			TOTAL		11	2.56		221	51.52					81	18.88					108	25.17		8	1.86					429
		FIFTH			1	12.50		0	0.00					4	50.00					3	37.50			Excluded					8
			TOTAL		12	2.80		221	51.52					85	19.81					111	25.87								429
		SIXTH				Excluded		2	16.67					2	16.67					8	66.67								12
			TOTAL					223	51.98					87	20.28					119	27.74								429
		SEVENTH						42	48.28						Excluded					45	51.72								87
			TOTAL					265	61.77											164	38.23								429
								Elected																					
																													
	Thornton                                                       																												
		FIRST			4	2.45		89	54.60		0	0.00		35	21.47		2	1.23		25	15.34		2	1.23		6	3.68		163
		SECOND			1	16.67		1	16.67		1	16.67		0	0.00		2	33.33		0	0.00		1	16.67			Excluded		6
			TOTAL		5	3.07		90	55.21		1	0.61		35	21.47		4	2.45		25	15.34		3	1.84					163
		THIRD			0	0.00		0	0.00		0	0.00		2	50.00			Excluded		0	0.00		2	50.00					4
			TOTAL		5	3.07		90	55.21		1	0.61		37	22.70					25	15.34		5	3.07					163
		FOURTH			0	0.00		0	0.00			Excluded		0	0.00					0	0.00		1	100.00					1
			TOTAL		5	3.07		90	55.21					37	22.70					25	15.34		6	3.68					163
		FIFTH			2	33.33		1	16.67					1	16.67					2	33.33			Excluded					6
			TOTAL		7	4.29		91	55.83					38	23.31					27	16.56								163
		SIXTH				Excluded		3	42.86					2	28.57					2	28.57								7
			TOTAL					94	57.67					40	24.54					29	17.79								163
		SEVENTH						25	62.50						Excluded					15	37.50								40
			TOTAL					119	73.01											44	26.99								163
								Elected																					
																													
	Tivoli                                                         																												
		FIRST			58	4.44		543	41.58		63	4.82		177	13.55		17	1.30		429	32.85		11	0.84		8	0.61		1306
		SECOND			3	37.50		0	0.00		1	12.50		0	0.00		0	0.00		0	0.00		4	50.00			Excluded		8
			TOTAL		61	4.67		543	41.58		64	4.90		177	13.55		17	1.30		429	32.85		15	1.15					1306
		THIRD			3	17.65		1	5.88		0	0.00		1	5.88			Excluded		1	5.88		11	64.71					17
			TOTAL		64	4.90		544	41.65		64	4.90		178	13.63					430	32.92		26	1.99					1306
		FOURTH			36	56.25		13	20.31			Excluded		5	7.81					2	3.13		8	12.50					64
			TOTAL		100	7.66		557	42.65					183	14.01					432	33.08		34	2.60					1306
		FIFTH			10	29.41		4	11.76					9	26.47					11	32.35			Excluded					34
			TOTAL		110	8.42		561	42.96					192	14.70					443	33.92								1306
		SIXTH				Excluded		56	50.91					17	15.45					37	33.64								110
			TOTAL					617	47.24					209	16.00					480	36.75								1306
		SEVENTH						90	43.06						Excluded					119	56.94								209
			TOTAL					707	54.13											599	45.87								1306
								Elected																					
																													
	Toogoolawah                                                    																												
		FIRST			19	1.74		511	46.84		27	2.47		174	15.95		16	1.47		288	26.40		54	4.95		2	0.18		1091
		SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		2
			TOTAL		20	1.83		511	46.84		27	2.47		174	15.95		16	1.47		288	26.40		55	5.04					1091
		THIRD			1	6.25		2	12.50		1	6.25		3	18.75			Excluded		0	0.00		9	56.25					16
			TOTAL		21	1.92		513	47.02		28	2.57		177	16.22					288	26.40		64	5.87					1091
		FOURTH			6	21.43		7	25.00			Excluded		4	14.29					8	28.57		3	10.71					28
			TOTAL		27	2.47		520	47.66					181	16.59					296	27.13		67	6.14					1091
		FIFTH			14	20.90		12	17.91					31	46.27					10	14.93			Excluded					67
			TOTAL		41	3.76		532	48.76					212	19.43					306	28.05								1091
		SIXTH				Excluded		22	53.66					3	7.32					16	39.02								41
			TOTAL					554	50.78					215	19.71					322	29.51								1091
		SEVENTH						92	42.79						Excluded					123	57.21								215
			TOTAL					646	59.21											445	40.79								1091
								Elected																					
																													
	Upper Tenthill                                                 																												
		FIRST			9	3.59		164	65.34		4	1.59		45	17.93		0	0.00		23	9.16		5	1.99		1	0.40		251
		SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1
			TOTAL		10	3.98		164	65.34		4	1.59		45	17.93		0	0.00		23	9.16		5	1.99					251
		THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0
			TOTAL		10	3.98		164	65.34		4	1.59		45	17.93					23	9.16		5	1.99					251
		FOURTH			1	25.00		1	25.00			Excluded		0	0.00					1	25.00		1	25.00					4
			TOTAL		11	4.38		165	65.74					45	17.93					24	9.56		6	2.39					251
		FIFTH			2	33.33		1	16.67					2	33.33					1	16.67			Excluded					6
			TOTAL		13	5.18		166	66.14					47	18.73					25	9.96								251
		SIXTH				Excluded		3	23.08					5	38.46					5	38.46								13
			TOTAL					169	67.33					52	20.72					30	11.95								251
		SEVENTH						29	55.77						Excluded					23	44.23								52
			TOTAL					198	78.88											53	21.12								251
								Elected																					
																													
	Walloon                                                        																												
		FIRST			33	2.43		567	41.72		42	3.09		239	17.59		9	0.66		429	31.57		38	2.80		2	0.15		1359
		SECOND			0	0.00		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2
			TOTAL		33	2.43		568	41.80		43	3.16		239	17.59		9	0.66		429	31.57		38	2.80					1359
		THIRD			0	0.00		0	0.00		2	22.22		3	33.33			Excluded		1	11.11		3	33.33					9
			TOTAL		33	2.43		568	41.80		45	3.31		242	17.81					430	31.64		41	3.02					1359
		FOURTH			12	26.67		7	15.56			Excluded		7	15.56					8	17.78		11	24.44					45
			TOTAL		45	3.31		575	42.31					249	18.32					438	32.23		52	3.83					1359
		FIFTH			9	17.31		11	21.15					23	44.23					9	17.31			Excluded					52
			TOTAL		54	3.97		586	43.12					272	20.01					447	32.89								1359
		SIXTH				Excluded		18	33.33					11	20.37					25	46.30								54
			TOTAL					604	44.44					283	20.82					472	34.73								1359
		SEVENTH						136	48.06						Excluded					147	51.94								283
			TOTAL					740	54.45											619	45.55								1359
								Elected																					
																													
	Warrill View                                                   																												
		FIRST			3	2.14		89	63.57		1	0.71		17	12.14		1	0.71		24	17.14		5	3.57		0	0.00		140
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
			TOTAL		3	2.14		89	63.57		1	0.71		17	12.14		1	0.71		24	17.14		5	3.57					140
		THIRD			0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					1
			TOTAL		3	2.14		90	64.29		1	0.71		17	12.14					24	17.14		5	3.57					140
		FOURTH			0	0.00		0	0.00			Excluded		0	0.00					0	0.00		1	100.00					1
			TOTAL		3	2.14		90	64.29					17	12.14					24	17.14		6	4.29					140
		FIFTH			2	33.33		0	0.00					1	16.67					3	50.00			Excluded					6
			TOTAL		5	3.57		90	64.29					18	12.86					27	19.29								140
		SIXTH				Excluded		4	80.00					1	20.00					0	0.00								5
			TOTAL					94	67.14					19	13.57					27	19.29								140
		SEVENTH						10	52.63						Excluded					9	47.37								19
			TOTAL					104	74.29											36	25.71								140
								Elected																					
																													
	Withcott                                                       																												
		FIRST			26	2.39		571	52.48		36	3.31		171	15.72		19	1.75		223	20.50		39	3.58		3	0.28		1088
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		2	66.67			Excluded		3
			TOTAL		26	2.39		571	52.48		36	3.31		171	15.72		19	1.75		224	20.59		41	3.77					1088
		THIRD			1	5.26		3	15.79		1	5.26		3	15.79			Excluded		1	5.26		10	52.63					19
			TOTAL		27	2.48		574	52.76		37	3.40		174	15.99					225	20.68		51	4.69					1088
		FOURTH			10	27.03		8	21.62			Excluded		4	10.81					12	32.43		3	8.11					37
			TOTAL		37	3.40		582	53.49					178	16.36					237	21.78		54	4.96					1088
		FIFTH			13	24.07		13	24.07					21	38.89					7	12.96			Excluded					54
			TOTAL		50	4.60		595	54.69					199	18.29					244	22.43								1088
		SIXTH				Excluded		24	48.00					6	12.00					20	40.00								50
			TOTAL					619	56.89					205	18.84					264	24.26								1088
		SEVENTH						98	47.80						Excluded					107	52.20								205
			TOTAL					717	65.90											371	34.10								1088
								Elected																					
																													
	Yarraman                                                       																												
		FIRST			9	1.47		321	52.28		15	2.44		114	18.57		6	0.98		118	19.22		28	4.56		3	0.49		614
		SECOND			1	33.33		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		1	33.33			Excluded		3
			TOTAL		10	1.63		321	52.28		15	2.44		114	18.57		7	1.14		118	19.22		29	4.72					614
		THIRD			1	14.29		1	14.29		1	14.29		1	14.29			Excluded		1	14.29		2	28.57					7
			TOTAL		11	1.79		322	52.44		16	2.61		115	18.73					119	19.38		31	5.05					614
		FOURTH			5	31.25		3	18.75			Excluded		2	12.50					4	25.00		2	12.50					16
			TOTAL		16	2.61		325	52.93					117	19.06					123	20.03		33	5.37					614
		FIFTH			4	12.12		6	18.18					18	54.55					5	15.15			Excluded					33
			TOTAL		20	3.26		331	53.91					135	21.99					128	20.85								614
		SIXTH				Excluded		5	25.00					3	15.00					12	60.00								20
			TOTAL					336	54.72					138	22.48					140	22.80								614
		SEVENTH						57	41.30						Excluded					81	58.70								138
			TOTAL					393	64.01											221	35.99								614
								Elected																					
																													
	Special Hospital Team 1                                        																												
		FIRST			2	1.34		84	56.38		2	1.34		5	3.36		2	1.34		47	31.54		6	4.03		1	0.67		149
		SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		1
			TOTAL		2	1.34		84	56.38		2	1.34		6	4.03		2	1.34		47	31.54		6	4.03					149
		THIRD			0	0.00		0	0.00		1	50.00		1	50.00			Excluded		0	0.00		0	0.00					2
			TOTAL		2	1.34		84	56.38		3	2.01		7	4.70					47	31.54		6	4.03					149
		FOURTH			1	33.33		1	33.33			Excluded		0	0.00					0	0.00		1	33.33					3
			TOTAL		3	2.01		85	57.05					7	4.70					47	31.54		7	4.70					149
		FIFTH			2	28.57		4	57.14					0	0.00					1	14.29			Excluded					7
			TOTAL		5	3.36		89	59.73					7	4.70					48	32.21								149
		SIXTH				Excluded		4	80.00					0	0.00					1	20.00								5
			TOTAL					93	62.42					7	4.70					49	32.89								149
		SEVENTH						3	42.86						Excluded					4	57.14								7
			TOTAL					96	64.43											53	35.57								149
								Elected																					
																													
	Special Hospital Team 2                                        																												
		FIRST			3	5.77		32	61.54		2	3.85		3	5.77		2	3.85		8	15.38		2	3.85		0	0.00		52
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
			TOTAL		3	5.77		32	61.54		2	3.85		3	5.77		2	3.85		8	15.38		2	3.85					52
		THIRD			1	50.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00					2
			TOTAL		4	7.69		32	61.54		2	3.85		3	5.77					8	15.38		3	5.77					52
		FOURTH			1	50.00		0	0.00			Excluded		1	50.00					0	0.00		0	0.00					2
			TOTAL		5	9.62		32	61.54					4	7.69					8	15.38		3	5.77					52
		FIFTH			0	0.00		0	0.00					1	33.33					2	66.67			Excluded					3
			TOTAL		5	9.62		32	61.54					5	9.62					10	19.23								52
		SIXTH				Excluded		5	100.00					0	0.00					0	0.00								5
			TOTAL					37	71.15					5	9.62					10	19.23								52
		SEVENTH						3	60.00						Excluded					2	40.00								5
			TOTAL					40	76.92											12	23.08								52
								Elected																					
																													
	Special Hospital Team 3                                        																												
		FIRST			4	4.26		55	58.51		2	2.13		7	7.45		2	2.13		21	22.34		3	3.19		0	0.00		94
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
			TOTAL		4	4.26		55	58.51		2	2.13		7	7.45		2	2.13		21	22.34		3	3.19					94
		THIRD			0	0.00		1	50.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00					2
			TOTAL		4	4.26		56	59.57		2	2.13		8	8.51					21	22.34		3	3.19					94
		FOURTH			0	0.00		2	100.00			Excluded		0	0.00					0	0.00		0	0.00					2
			TOTAL		4	4.26		58	61.70					8	8.51					21	22.34		3	3.19					94
		FIFTH			1	33.33		0	0.00					0	0.00					2	66.67			Excluded					3
			TOTAL		5	5.32		58	61.70					8	8.51					23	24.47								94
		SIXTH				Excluded		4	80.00					0	0.00					1	20.00								5
			TOTAL					62	65.96					8	8.51					24	25.53								94
		SEVENTH						3	37.50						Excluded					5	62.50								8
			TOTAL					65	69.15											29	30.85								94
								Elected																					
																													
	Special Hospital Team 4                                        																												
		FIRST			1	0.98		80	78.43		4	3.92		3	2.94		1	0.98		12	11.76		1	0.98		0	0.00		102
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
			TOTAL		1	0.98		80	78.43		4	3.92		3	2.94		1	0.98		12	11.76		1	0.98					102
		THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00					1
			TOTAL		1	0.98		80	78.43		4	3.92		3	2.94					12	11.76		2	1.96					102
		FOURTH			1	25.00		1	25.00			Excluded		2	50.00					0	0.00		0	0.00					4
			TOTAL		2	1.96		81	79.41					5	4.90					12	11.76		2	1.96					102
		FIFTH			0	0.00		1	50.00					1	50.00					0	0.00			Excluded					2
			TOTAL		2	1.96		82	80.39					6	5.88					12	11.76								102
		SIXTH				Excluded		2	100.00					0	0.00					0	0.00								2
			TOTAL					84	82.35					6	5.88					12	11.76								102
		SEVENTH						5	83.33						Excluded					1	16.67								6
			TOTAL					89	87.25											13	12.75								102
								Elected																					
																													
	ABSENT																												
		FIRST			303	6.35		2001	41.94		260	5.45		695	14.57		109	2.28		1253	26.26		132	2.77		18	0.38		4771
		SECOND			1	5.56		0	0.00		2	11.11		3	16.67		1	5.56		2	11.11		9	50.00			Excluded		18
			TOTAL		304	6.37		2001	41.94		262	5.49		698	14.63		110	2.31		1255	26.30		141	2.96					4771
		THIRD			11	10.00		12	10.91		6	5.45		15	13.64			Excluded		12	10.91		54	49.09					110
			TOTAL		315	6.60		2013	42.19		268	5.62		713	14.94					1267	26.56		195	4.09					4771
		FOURTH			97	36.19		49	18.28			Excluded		23	8.58					70	26.12		29	10.82					268
			TOTAL		412	8.64		2062	43.22					736	15.43					1337	28.02		224	4.70					4771
		FIFTH			72	32.14		44	19.64					51	22.77					57	25.45			Excluded					224
			TOTAL		484	10.14		2106	44.14					787	16.50					1394	29.22								4771
		SIXTH				Excluded		182	37.60					86	17.77					216	44.63								484
			TOTAL					2288	47.96					873	18.30					1610	33.75								4771
		SEVENTH						488	55.90						Excluded					385	44.10								873
			TOTAL					2776	58.18											1995	41.82								4771
								Elected																					
																													
	POSTAL																												
		FIRST			60	1.70		1625	46.03		89	2.52		632	17.90		43	1.22		1008	28.56		65	1.84		8	0.23		3530
