House of Representatives - 2001 Election: Queensland																															
Distribution of Preferences																															
By Polling Place																															
Wide Bay																															
				WICKS			HETHERINGTON			TRUSS			DWYER			JANSEN			PITT			TREMLIN			SMITH			DALGLEISH			
		TOTAL		17	7.59					120	53.57		20	8.93		2	0.89		14	6.25		45	20.09		3	1.34		3	1.34		224
	THIRD			0	0.00					0	0.00		1	33.33		1	33.33		0	0.00		0	0.00			Excluded		1	33.33		3
		TOTAL		17	7.59					120	53.57		21	9.38		3	1.34		14	6.25		45	20.09					4	1.79		224
	FOURTH			1	33.33					0	0.00		1	33.33			Excluded		0	0.00		1	33.33					0	0.00		3
		TOTAL		18	8.04					120	53.57		22	9.82					14	6.25		46	20.54					4	1.79		224
	FIFTH			12	85.71					0	0.00		1	7.14						Excluded		0	0.00					1	7.14		14
		TOTAL		30	13.39					120	53.57		23	10.27								46	20.54					5	2.23		224
	SIXTH			2	40.00					0	0.00		0	0.00								3	60.00						Excluded		5
		TOTAL		32	14.29					120	53.57		23	10.27								49	21.88								224
	SEVENTH				Excluded					10	31.25		19	59.38								3	9.38								32
		TOTAL								130	58.04		42	18.75								52	23.21								224
	EIGHTH									20	47.62			Excluded								22	52.38								42
		TOTAL								150	66.96											74	33.04								224
										Elected																					
																															
Moura                                                          																															
	FIRST			34	3.28		35	3.37		334	32.18		113	10.89		17	1.64		27	2.60		447	43.06		11	1.06		20	1.93		1038
	SECOND			13	37.14			Excluded		9	25.71		5	14.29		2	5.71		1	2.86		2	5.71		0	0.00		3	8.57		35
		TOTAL		47	4.53					343	33.04		118	11.37		19	1.83		28	2.70		449	43.26		11	1.06		23	2.22		1038
	THIRD			1	9.09					1	9.09		0	0.00		4	36.36		0	0.00		2	18.18			Excluded		3	27.27		11
		TOTAL		48	4.62					344	33.14		118	11.37		23	2.22		28	2.70		451	43.45					26	2.50		1038
	FOURTH			3	13.04					1	4.35		5	21.74			Excluded		5	21.74		7	30.43					2	8.70		23
		TOTAL		51	4.91					345	33.24		123	11.85					33	3.18		458	44.12					28	2.70		1038
	FIFTH			23	69.70					1	3.03		3	9.09						Excluded		3	9.09					3	9.09		33
		TOTAL		74	7.13					346	33.33		126	12.14								461	44.41					31	2.99		1038
	SIXTH			13	41.94					1	3.23		7	22.58								10	32.26						Excluded		31
		TOTAL		87	8.38					347	33.43		133	12.81								471	45.38								1038
	SEVENTH				Excluded					41	47.13		33	37.93								13	14.94								87
		TOTAL								388	37.38		166	15.99								484	46.63								1038
	EIGHTH									75	45.18			Excluded								91	54.82								166
		TOTAL								463	44.61											575	55.39								1038
										Elected																					
																															
Mulgildie                                                      																															
	FIRST			14	5.86		2	0.84		156	65.27		29	12.13		4	1.67		2	0.84		23	9.62		0	0.00		9	3.77		239
	SECOND			1	50.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		15	6.28					157	65.69		29	12.13		4	1.67		2	0.84		23	9.62		0	0.00		9	3.77		239
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		15	6.28					157	65.69		29	12.13		4	1.67		2	0.84		23	9.62					9	3.77		239
	FOURTH			1	25.00					0	0.00		0	0.00			Excluded		1	25.00		1	25.00					1	25.00		4
		TOTAL		16	6.69					157	65.69		29	12.13					3	1.26		24	10.04					10	4.18		239
	FIFTH			1	33.33					0	0.00		1	33.33						Excluded		0	0.00					1	33.33		3
		TOTAL		17	7.11					157	65.69		30	12.55								24	10.04					11	4.60		239
	SIXTH			7	63.64					3	27.27		0	0.00								1	9.09						Excluded		11
		TOTAL		24	10.04					160	66.95		30	12.55								25	10.46								239
	SEVENTH				Excluded					9	37.50		11	45.83								4	16.67								24
		TOTAL								169	70.71		41	17.15								29	12.13								239
	EIGHTH									27	65.85			Excluded								14	34.15								41
		TOTAL								196	82.01											43	17.99								239
										Elected																					
																															
Mundubbera                                                     																															
	FIRST			53	5.27		1	0.10		572	56.86		126	12.52		17	1.69		21	2.09		181	17.99		14	1.39		21	2.09		1006
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		54	5.37					572	56.86		126	12.52		17	1.69		21	2.09		181	17.99		14	1.39		21	2.09		1006
	THIRD			1	7.14					2	14.29		2	14.29		6	42.86		0	0.00		1	7.14			Excluded		2	14.29		14
		TOTAL		55	5.47					574	57.06		128	12.72		23	2.29		21	2.09		182	18.09					23	2.29		1006
	FOURTH			1	4.35					3	13.04		0	0.00			Excluded		5	21.74		7	30.43					7	30.43		23
		TOTAL		56	5.57					577	57.36		128	12.72					26	2.58		189	18.79					30	2.98		1006
	FIFTH			12	46.15					4	15.38		4	15.38						Excluded		1	3.85					5	19.23		26
		TOTAL		68	6.76					581	57.75		132	13.12								190	18.89					35	3.48		1006
	SIXTH			17	48.57					4	11.43		6	17.14								8	22.86						Excluded		35
		TOTAL		85	8.45					585	58.15		138	13.72								198	19.68								1006
	SEVENTH				Excluded					32	37.65		34	40.00								19	22.35								85
		TOTAL								617	61.33		172	17.10								217	21.57								1006
	EIGHTH									90	52.33			Excluded								82	47.67								172
		TOTAL								707	70.28											299	29.72								1006
										Elected																					
																															
Mungar                                                         																															
	FIRST			27	7.03		0	0.00		158	41.15		56	14.58		10	2.60		21	5.47		89	23.18		3	0.78		20	5.21		384
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		27	7.03					158	41.15		56	14.58		10	2.60		21	5.47		89	23.18		3	0.78		20	5.21		384
	THIRD			0	0.00					1	33.33		0	0.00		0	0.00		0	0.00		2	66.67			Excluded		0	0.00		3
		TOTAL		27	7.03					159	41.41		56	14.58		10	2.60		21	5.47		91	23.70					20	5.21		384
	FOURTH			0	0.00					1	10.00		0	0.00			Excluded		3	30.00		5	50.00					1	10.00		10
		TOTAL		27	7.03					160	41.67		56	14.58					24	6.25		96	25.00					21	5.47		384
	FIFTH			13	54.17					2	8.33		4	16.67						Excluded		1	4.17					4	16.67		24
		TOTAL		40	10.42					162	42.19		60	15.63								97	25.26					25	6.51		384
	SIXTH			10	40.00					8	32.00		4	16.00								3	12.00						Excluded		25
		TOTAL		50	13.02					170	44.27		64	16.67								100	26.04								384
	SEVENTH				Excluded					17	34.00		27	54.00								6	12.00								50
		TOTAL								187	48.70		91	23.70								106	27.60								384
	EIGHTH									49	53.85			Excluded								42	46.15								91
		TOTAL								236	61.46											148	38.54								384
										Elected																					
																															
Murgon                                                         																															
	FIRST			154	9.83		5	0.32		793	50.64		238	15.20		23	1.47		49	3.13		253	16.16		15	0.96		36	2.30		1566
	SECOND			1	20.00			Excluded		1	20.00		1	20.00		0	0.00		0	0.00		0	0.00		0	0.00		2	40.00		5
		TOTAL		155	9.90					794	50.70		239	15.26		23	1.47		49	3.13		253	16.16		15	0.96		38	2.43		1566
	THIRD			3	20.00					1	6.67		2	13.33		3	20.00		0	0.00		5	33.33			Excluded		1	6.67		15
		TOTAL		158	10.09					795	50.77		241	15.39		26	1.66		49	3.13		258	16.48					39	2.49		1566
	FOURTH			6	23.08					4	15.38		6	23.08			Excluded		2	7.69		7	26.92					1	3.85		26
		TOTAL		164	10.47					799	51.02		247	15.77					51	3.26		265	16.92					40	2.55		1566
	FIFTH			25	49.02					2	3.92		14	27.45						Excluded		4	7.84					6	11.76		51
		TOTAL		189	12.07					801	51.15		261	16.67								269	17.18					46	2.94		1566
	SIXTH			20	43.48					8	17.39		14	30.43								4	8.70						Excluded		46
		TOTAL		209	13.35					809	51.66		275	17.56								273	17.43								1566
	SEVENTH				Excluded					72	34.45		123	58.85								14	6.70								209
		TOTAL								881	56.26		398	25.42								287	18.33								1566
	EIGHTH									234	58.79			Excluded								164	41.21								398
		TOTAL								1115	71.20											451	28.80								1566
										Elected																					
																															
Pialba                                                         																															
	FIRST			96	3.25		6	0.20		1287	43.61		246	8.34		67	2.27		51	1.73		873	29.58		59	2.00		266	9.01		2951
	SECOND			0	0.00			Excluded		1	16.67		3	50.00		1	16.67		0	0.00		0	0.00		1	16.67		0	0.00		6
		TOTAL		96	3.25					1288	43.65		249	8.44		68	2.30		51	1.73		873	29.58		60	2.03		266	9.01		2951
	THIRD			7	11.67					6	10.00		2	3.33		17	28.33		4	6.67		13	21.67			Excluded		11	18.33		60
		TOTAL		103	3.49					1294	43.85		251	8.51		85	2.88		55	1.86		886	30.02					277	9.39		2951
	FOURTH			12	14.12					9	10.59		10	11.76			Excluded		14	16.47		28	32.94					12	14.12		85
		TOTAL		115	3.90					1303	44.15		261	8.84					69	2.34		914	30.97					289	9.79		2951
	FIFTH			32	46.38					4	5.80		12	17.39						Excluded		6	8.70					15	21.74		69
		TOTAL		147	4.98					1307	44.29		273	9.25								920	31.18					304	10.30		2951
	SIXTH			91	29.93					68	22.37		96	31.58								49	16.12						Excluded		304
		TOTAL		238	8.07					1375	46.59		369	12.50								969	32.84								2951
	SEVENTH				Excluded					87	36.55		100	42.02								51	21.43								238
		TOTAL								1462	49.54		469	15.89								1020	34.56								2951
	EIGHTH									263	56.08			Excluded								206	43.92								469
		TOTAL								1725	58.45											1226	41.55								2951
										Elected																					
																															
Point Vernon                                                   																															
	FIRST			88	4.06		3	0.14		1030	47.47		150	6.91		30	1.38		36	1.66		645	29.72		36	1.66		152	7.00		2170
	SECOND			1	33.33			Excluded		1	33.33		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		89	4.10					1031	47.51		150	6.91		31	1.43		36	1.66		645	29.72		36	1.66		152	7.00		2170
	THIRD			5	13.89					6	16.67		1	2.78		8	22.22		2	5.56		12	33.33			Excluded		2	5.56		36
		TOTAL		94	4.33					1037	47.79		151	6.96		39	1.80		38	1.75		657	30.28					154	7.10		2170
	FOURTH			8	20.51					7	17.95		2	5.13			Excluded		2	5.13		16	41.03					4	10.26		39
		TOTAL		102	4.70					1044	48.11		153	7.05					40	1.84		673	31.01					158	7.28		2170
	FIFTH			14	35.00					4	10.00		5	12.50						Excluded		4	10.00					13	32.50		40
		TOTAL		116	5.35					1048	48.29		158	7.28								677	31.20					171	7.88		2170
	SIXTH			39	22.81					37	21.64		67	39.18								28	16.37						Excluded		171
		TOTAL		155	7.14					1085	50.00		225	10.37								705	32.49								2170
	SEVENTH				Excluded					52	33.55		78	50.32								25	16.13								155
		TOTAL								1137	52.40		303	13.96								730	33.64								2170
	EIGHTH									170	56.11			Excluded								133	43.89								303
		TOTAL								1307	60.23											863	39.77								2170
										Elected																					
																															
Proston                                                        																															
	FIRST			52	12.71		1	0.24		189	46.21		71	17.36		4	0.98		16	3.91		47	11.49		9	2.20		20	4.89		409
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		53	12.96					189	46.21		71	17.36		4	0.98		16	3.91		47	11.49		9	2.20		20	4.89		409
	THIRD			0	0.00					2	22.22		0	0.00		3	33.33		0	0.00		2	22.22			Excluded		2	22.22		9
		TOTAL		53	12.96					191	46.70		71	17.36		7	1.71		16	3.91		49	11.98					22	5.38		409
	FOURTH			1	14.29					2	28.57		0	0.00			Excluded		1	14.29		3	42.86					0	0.00		7
		TOTAL		54	13.20					193	47.19		71	17.36					17	4.16		52	12.71					22	5.38		409
	FIFTH			8	47.06					0	0.00		5	29.41						Excluded		0	0.00					4	23.53		17
		TOTAL		62	15.16					193	47.19		76	18.58								52	12.71					26	6.36		409
	SIXTH			13	50.00					7	26.92		2	7.69								4	15.38						Excluded		26
		TOTAL		75	18.34					200	48.90		78	19.07								56	13.69								409
	SEVENTH				Excluded					28	37.33		41	54.67								6	8.00								75
		TOTAL								228	55.75		119	29.10								62	15.16								409
	EIGHTH									67	56.30			Excluded								52	43.70								119
		TOTAL								295	72.13											114	27.87								409
										Elected																					
																															
Rainbow Beach                                                  																															
	FIRST			18	3.90		0	0.00		245	53.03		52	11.26		13	2.81		8	1.73		111	24.03		4	0.87		11	2.38		462
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		18	3.90					245	53.03		52	11.26		13	2.81		8	1.73		111	24.03		4	0.87		11	2.38		462
	THIRD			0	0.00					1	25.00		0	0.00		1	25.00		0	0.00		2	50.00			Excluded		0	0.00		4
		TOTAL		18	3.90					246	53.25		52	11.26		14	3.03		8	1.73		113	24.46					11	2.38		462
	FOURTH			0	0.00					3	21.43		1	7.14			Excluded		0	0.00		6	42.86					4	28.57		14
		TOTAL		18	3.90					249	53.90		53	11.47					8	1.73		119	25.76					15	3.25		462
	FIFTH			6	75.00					0	0.00		1	12.50						Excluded		0	0.00					1	12.50		8
		TOTAL		24	5.19					249	53.90		54	11.69								119	25.76					16	3.46		462
	SIXTH			11	68.75					1	6.25		2	12.50								2	12.50						Excluded		16
		TOTAL		35	7.58					250	54.11		56	12.12								121	26.19								462
	SEVENTH				Excluded					12	34.29		17	48.57								6	17.14								35
		TOTAL								262	56.71		73	15.80								127	27.49								462
	EIGHTH									32	43.84			Excluded								41	56.16								73
		TOTAL								294	63.64											168	36.36								462
										Elected																					
																															
Scarness                                                       																															
	FIRST			48	3.64		3	0.23		586	44.50		93	7.06		22	1.67		35	2.66		399	30.30		14	1.06		117	8.88		1317
	SECOND			3	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		51	3.87					586	44.50		93	7.06		22	1.67		35	2.66		399	30.30		14	1.06		117	8.88		1317
	THIRD			0	0.00					2	14.29		0	0.00		5	35.71		1	7.14		3	21.43			Excluded		3	21.43		14
		TOTAL		51	3.87					588	44.65		93	7.06		27	2.05		36	2.73		402	30.52					120	9.11		1317
	FOURTH			5	18.52					2	7.41		0	0.00			Excluded		3	11.11		12	44.44					5	18.52		27
		TOTAL		56	4.25					590	44.80		93	7.06					39	2.96		414	31.44					125	9.49		1317
	FIFTH			21	53.85					1	2.56		2	5.13						Excluded		4	10.26					11	28.21		39
		TOTAL		77	5.85					591	44.87		95	7.21								418	31.74					136	10.33		1317
	SIXTH			50	36.76					24	17.65		46	33.82								16	11.76						Excluded		136
		TOTAL		127	9.64					615	46.70		141	10.71								434	32.95								1317
	SEVENTH				Excluded					44	34.65		60	47.24								23	18.11								127
		TOTAL								659	50.04		201	15.26								457	34.70								1317
	EIGHTH									105	52.24			Excluded								96	47.76								201
		TOTAL								764	58.01											553	41.99								1317
										Elected																					
																															
St Helens                                                      																															
	FIRST			52	7.41		1	0.14		288	41.03		82	11.68		11	1.57		62	8.83		173	24.64		11	1.57		22	3.13		702
	SECOND			0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		52	7.41					288	41.03		83	11.82		11	1.57		62	8.83		173	24.64		11	1.57		22	3.13		702
	THIRD			2	18.18					1	9.09		0	0.00		5	45.45		1	9.09		2	18.18			Excluded		0	0.00		11
		TOTAL		54	7.69					289	41.17		83	11.82		16	2.28		63	8.97		175	24.93					22	3.13		702
	FOURTH			4	25.00					5	31.25		0	0.00			Excluded		2	12.50		3	18.75					2	12.50		16
		TOTAL		58	8.26					294	41.88		83	11.82					65	9.26		178	25.36					24	3.42		702
	FIFTH			35	53.85					8	12.31		10	15.38						Excluded		4	6.15					8	12.31		65
		TOTAL		93	13.25					302	43.02		93	13.25								182	25.93					32	4.56		702
	SIXTH			14	43.75					6	18.75		10	31.25								2	6.25						Excluded		32
		TOTAL		107	15.24					308	43.87		103	14.67								184	26.21								702
	SEVENTH				Excluded					29	27.10		64	59.81								14	13.08								107
		TOTAL								337	48.01		167	23.79								198	28.21								702
	EIGHTH									91	54.49			Excluded								76	45.51								167
		TOTAL								428	60.97											274	39.03								702
										Elected																					
																															
Tansey                                                         																															
	FIRST			16	13.01		0	0.00		70	56.91		21	17.07		1	0.81		2	1.63		9	7.32		3	2.44		1	0.81		123
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		16	13.01					70	56.91		21	17.07		1	0.81		2	1.63		9	7.32		3	2.44		1	0.81		123
	THIRD			0	0.00					0	0.00		0	0.00		1	33.33		0	0.00		0	0.00			Excluded		2	66.67		3
		TOTAL		16	13.01					70	56.91		21	17.07		2	1.63		2	1.63		9	7.32					3	2.44		123
	FOURTH			0	0.00					1	50.00		0	0.00			Excluded		0	0.00		1	50.00					0	0.00		2
		TOTAL		16	13.01					71	57.72		21	17.07					2	1.63		10	8.13					3	2.44		123
	FIFTH			2	100.00					0	0.00		0	0.00						Excluded		0	0.00					0	0.00		2
		TOTAL		18	14.63					71	57.72		21	17.07								10	8.13					3	2.44		123
	SIXTH			3	100.00					0	0.00		0	0.00								0	0.00						Excluded		3
		TOTAL		21	17.07					71	57.72		21	17.07								10	8.13								123
	SEVENTH				Excluded					6	28.57		14	66.67								1	4.76								21
		TOTAL								77	62.60		35	28.46								11	8.94								123
	EIGHTH									23	65.71			Excluded								12	34.29								35
		TOTAL								100	81.30											23	18.70								123
										Elected																					
																															
Thangool                                                       																															
	FIRST			14	3.58		6	1.53		214	54.73		58	14.83		3	0.77		7	1.79		79	20.20		4	1.02		6	1.53		391
	SECOND			1	16.67			Excluded		1	16.67		2	33.33		0	0.00		1	16.67		1	16.67		0	0.00		0	0.00		6
		TOTAL		15	3.84					215	54.99		60	15.35		3	0.77		8	2.05		80	20.46		4	1.02		6	1.53		391
	THIRD			1	25.00					2	50.00		0	0.00		0	0.00		0	0.00		1	25.00			Excluded		0	0.00		4
		TOTAL		16	4.09					217	55.50		60	15.35		3	0.77		8	2.05		81	20.72					6	1.53		391
	FOURTH			0	0.00					0	0.00		0	0.00			Excluded		0	0.00		2	66.67					1	33.33		3
		TOTAL		16	4.09					217	55.50		60	15.35					8	2.05		83	21.23					7	1.79		391
	FIFTH			4	50.00					0	0.00		2	25.00						Excluded		0	0.00					2	25.00		8
		TOTAL		20	5.12					217	55.50		62	15.86								83	21.23					9	2.30		391
	SIXTH			5	55.56					0	0.00		3	33.33								1	11.11						Excluded		9
		TOTAL		25	6.39					217	55.50		65	16.62								84	21.48								391
	SEVENTH				Excluded					8	32.00		12	48.00								5	20.00								25
		TOTAL								225	57.54		77	19.69								89	22.76								391
	EIGHTH									38	49.35			Excluded								39	50.65								77
		TOTAL								263	67.26											128	32.74								391
										Elected																					
																															
Theodore                                                       																															
	FIRST			21	4.28		21	4.28		279	56.82		65	13.24		3	0.61		4	0.81		84	17.11		3	0.61		11	2.24		491
	SECOND			3	14.29			Excluded		7	33.33		8	38.10		0	0.00		1	4.76		0	0.00		1	4.76		1	4.76		21
		TOTAL		24	4.89					286	58.25		73	14.87		3	0.61		5	1.02		84	17.11		4	0.81		12	2.44		491
	THIRD			0	0.00					1	25.00		1	25.00		0	0.00		0	0.00		0	0.00			Excluded		2	50.00		4
		TOTAL		24	4.89					287	58.45		74	15.07		3	0.61		5	1.02		84	17.11					14	2.85		491
	FOURTH			0	0.00					1	33.33		0	0.00			Excluded		0	0.00		2	66.67					0	0.00		3
		TOTAL		24	4.89					288	58.66		74	15.07					5	1.02		86	17.52					14	2.85		491
	FIFTH			2	40.00					1	20.00		1	20.00						Excluded		0	0.00					1	20.00		5
		TOTAL		26	5.30					289	58.86		75	15.27								86	17.52					15	3.05		491
	SIXTH			7	46.67					0	0.00		4	26.67								4	26.67						Excluded		15
		TOTAL		33	6.72					289	58.86		79	16.09								90	18.33								491
	SEVENTH				Excluded					13	39.39		16	48.48								4	12.12								33
		TOTAL								302	61.51		95	19.35								94	19.14								491
	EIGHTH									57	60.00			Excluded								38	40.00								95
		TOTAL								359	73.12											132	26.88								491
										Elected																					
																															
Tiaro                                                          																															
	FIRST			26	5.92		1	0.23		223	50.80		33	7.52		8	1.82		30	6.83		93	21.18		5	1.14		20	4.56		439
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		27	6.15					223	50.80		33	7.52		8	1.82		30	6.83		93	21.18		5	1.14		20	4.56		439
	THIRD			2	40.00					0	0.00		1	20.00		1	20.00		0	0.00		0	0.00			Excluded		1	20.00		5
		TOTAL		29	6.61					223	50.80		34	7.74		9	2.05		30	6.83		93	21.18					21	4.78		439
	FOURTH			4	44.44					0	0.00		3	33.33			Excluded		1	11.11		0	0.00					1	11.11		9
		TOTAL		33	7.52					223	50.80		37	8.43					31	7.06		93	21.18					22	5.01		439
	FIFTH			19	61.29					3	9.68		3	9.68						Excluded		1	3.23					5	16.13		31
		TOTAL		52	11.85					226	51.48		40	9.11								94	21.41					27	6.15		439
	SIXTH			10	37.04					5	18.52		10	37.04								2	7.41						Excluded		27
		TOTAL		62	14.12					231	52.62		50	11.39								96	21.87								439
	SEVENTH				Excluded					15	24.19		37	59.68								10	16.13								62
		TOTAL								246	56.04		87	19.82								106	24.15								439
	EIGHTH									53	60.92			Excluded								34	39.08								87
		TOTAL								299	68.11											140	31.89								439
										Elected																					
																															
Tin Can Bay                                                    																															
	FIRST			92	5.68		3	0.19		669	41.27		220	13.57		25	1.54		38	2.34		516	31.83		20	1.23		38	2.34		1621
	SECOND			1	33.33			Excluded		1	33.33		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		3
		TOTAL		93	5.74					670	41.33		220	13.57		25	1.54		39	2.41		516	31.83		20	1.23		38	2.34		1621
	THIRD			1	5.00					2	10.00		0	0.00		7	35.00		2	10.00		6	30.00			Excluded		2	10.00		20
		TOTAL		94	5.80					672	41.46		220	13.57		32	1.97		41	2.53		522	32.20					40	2.47		1621
	FOURTH			7	21.88					4	12.50		0	0.00			Excluded		2	6.25		13	40.63					6	18.75		32
		TOTAL		101	6.23					676	41.70		220	13.57					43	2.65		535	33.00					46	2.84		1621
	FIFTH			29	67.44					0	0.00		5	11.63						Excluded		2	4.65					7	16.28		43
		TOTAL		130	8.02					676	41.70		225	13.88								537	33.13					53	3.27		1621
	SIXTH			23	43.40					9	16.98		16	30.19								5	9.43						Excluded		53
		TOTAL		153	9.44					685	42.26		241	14.87								542	33.44								1621
	SEVENTH				Excluded					44	28.76		81	52.94								28	18.30								153
		TOTAL								729	44.97		322	19.86								570	35.16								1621
	EIGHTH									145	45.03			Excluded								177	54.97								322
		TOTAL								874	53.92											747	46.08								1621
										Elected																					
																															
Tinana                                                         																															
	FIRST			100	5.09		4	0.20		913	46.46		195	9.92		33	1.68		147	7.48		501	25.50		19	0.97		53	2.70		1965
	SECOND			2	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2	50.00		0	0.00		0	0.00		4
		TOTAL		102	5.19					913	46.46		195	9.92		33	1.68		147	7.48		503	25.60		19	0.97		53	2.70		1965
	THIRD			2	10.53					4	21.05		1	5.26		3	15.79		1	5.26		8	42.11			Excluded		0	0.00		19
		TOTAL		104	5.29					917	46.67		196	9.97		36	1.83		148	7.53		511	26.01					53	2.70		1965
	FOURTH			5	13.89					5	13.89		1	2.78			Excluded		7	19.44		16	44.44					2	5.56		36
		TOTAL		109	5.55					922	46.92		197	10.03					155	7.89		527	26.82					55	2.80		1965
	FIFTH			64	41.29					24	15.48		34	21.94						Excluded		13	8.39					20	12.90		155
		TOTAL		173	8.80					946	48.14		231	11.76								540	27.48					75	3.82		1965
	SIXTH			34	45.33					10	13.33		20	26.67								11	14.67						Excluded		75
		TOTAL		207	10.53					956	48.65		251	12.77								551	28.04								1965
	SEVENTH				Excluded					49	23.67		135	65.22								23	11.11								207
		TOTAL								1005	51.15		386	19.64								574	29.21								1965
	EIGHTH									198	51.30			Excluded								188	48.70								386
		TOTAL								1203	61.22											762	38.78								1965
										Elected																					
																															
Toogoom                                                        																															
	FIRST			22	3.86		0	0.00		244	42.81		60	10.53		17	2.98		8	1.40		166	29.12		17	2.98		36	6.32		570
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		22	3.86					244	42.81		60	10.53		17	2.98		8	1.40		166	29.12		17	2.98		36	6.32		570
	THIRD			3	17.65					0	0.00		0	0.00		8	47.06		1	5.88		5	29.41			Excluded		0	0.00		17
		TOTAL		25	4.39					244	42.81		60	10.53		25	4.39		9	1.58		171	30.00					36	6.32		570
	FOURTH			3	12.00					5	20.00		1	4.00			Excluded		2	8.00		12	48.00					2	8.00		25
		TOTAL		28	4.91					249	43.68		61	10.70					11	1.93		183	32.11					38	6.67		570
	FIFTH			6	54.55					2	18.18		1	9.09						Excluded		1	9.09					1	9.09		11
		TOTAL		34	5.96					251	44.04		62	10.88								184	32.28					39	6.84		570
	SIXTH			9	23.08					9	23.08		17	43.59								4	10.26						Excluded		39
		TOTAL		43	7.54					260	45.61		79	13.86								188	32.98								570
	SEVENTH				Excluded					12	27.91		21	48.84								10	23.26								43
		TOTAL								272	47.72		100	17.54								198	34.74								570
	EIGHTH									46	46.00			Excluded								54	54.00								100
		TOTAL								318	55.79											252	44.21								570
										Elected																					
																															
Torbanlea                                                      																															
	FIRST			13	3.22		1	0.25		142	35.15		52	12.87		9	2.23		22	5.45		126	31.19		12	2.97		27	6.68		404
	SECOND			0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		13	3.22					143	35.40		52	12.87		9	2.23		22	5.45		126	31.19		12	2.97		27	6.68		404
	THIRD			1	8.33					0	0.00		1	8.33		5	41.67		0	0.00		1	8.33			Excluded		4	33.33		12
		TOTAL		14	3.47					143	35.40		53	13.12		14	3.47		22	5.45		127	31.44					31	7.67		404
	FOURTH			0	0.00					2	14.29		0	0.00			Excluded		1	7.14		8	57.14					3	21.43		14
		TOTAL		14	3.47					145	35.89		53	13.12					23	5.69		135	33.42					34	8.42		404
	FIFTH			15	65.22					2	8.70		2	8.70						Excluded		1	4.35					3	13.04		23
		TOTAL		29	7.18					147	36.39		55	13.61								136	33.66					37	9.16		404
	SIXTH			9	24.32					9	24.32		13	35.14								6	16.22						Excluded		37
		TOTAL		38	9.41					156	38.61		68	16.83								142	35.15								404
	SEVENTH				Excluded					7	18.42		25	65.79								6	15.79								38
		TOTAL								163	40.35		93	23.02								148	36.63								404
	EIGHTH									41	44.09			Excluded								52	55.91								93
		TOTAL								204	50.50											200	49.50								404
										Elected																					
																															
Torquay                                                        																															
	FIRST			114	3.55		9	0.28		1391	43.37		252	7.86		58	1.81		74	2.31		1023	31.90		59	1.84		227	7.08		3207
	SECOND			5	55.56			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	11.11		0	0.00		3	33.33		9
		TOTAL		119	3.71					1391	43.37		252	7.86		58	1.81		74	2.31		1024	31.93		59	1.84		230	7.17		3207
	THIRD			12	20.34					4	6.78		1	1.69		14	23.73		3	5.08		16	27.12			Excluded		9	15.25		59
		TOTAL		131	4.08					1395	43.50		253	7.89		72	2.25		77	2.40		1040	32.43					239	7.45		3207
	FOURTH			8	11.11					11	15.28		4	5.56			Excluded		8	11.11		34	47.22					7	9.72		72
		TOTAL		139	4.33					1406	43.84		257	8.01					85	2.65		1074	33.49					246	7.67		3207
	FIFTH			46	54.12					4	4.71		17	20.00						Excluded		9	10.59					9	10.59		85
		TOTAL		185	5.77					1410	43.97		274	8.54								1083	33.77					255	7.95		3207
	SIXTH			66	25.88					51	20.00		97	38.04								41	16.08						Excluded		255
		TOTAL		251	7.83					1461	45.56		371	11.57								1124	35.05								3207
	SEVENTH				Excluded					95	37.85		113	45.02								43	17.13								251
		TOTAL								1556	48.52		484	15.09								1167	36.39								3207
