House of Representatives - 2001 Election: Queensland																										
Distribution of Preferences																										
By Polling Place																										
Kennedy																										
				WALL			RIVAS			NEILAN			LYLE			HARRIS			KATTER			BURNETT				
Malanda                                                        																										
	FIRST			52	2.95		67	3.80		303	17.21		169	9.60		1	0.06		974	55.31		195	11.07		1761	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		52	2.95		67	3.80		303	17.21		170	9.65					974	55.31		195	11.07		1761	
	THIRD			31	46.27			Excluded		16	23.88		6	8.96					9	13.43		5	7.46		67	
		TOTAL		83	4.71					319	18.11		176	9.99					983	55.82		200	11.36		1761	
	FOURTH				Excluded					52	62.65		12	14.46					18	21.69		1	1.20		83	
		TOTAL								371	21.07		188	10.68					1001	56.84		201	11.41		1761	
	FIFTH									18	8.96		16	7.96					167	83.08			Excluded		201	
		TOTAL								389	22.09		204	11.58					1168	66.33					1761	
	SIXTH									47	23.04			Excluded					157	76.96					204	
		TOTAL								436	24.76								1325	75.24					1761	
																			Elected							
																										
Mareeba                                                        																										
	FIRST			89	3.31		43	1.60		524	19.52		438	16.31		7	0.26		1307	48.68		277	10.32		2685	
	SECOND			0	0.00		0	0.00		0	0.00		4	57.14			Excluded		3	42.86		0	0.00		7	
		TOTAL		89	3.31		43	1.60		524	19.52		442	16.46					1310	48.79		277	10.32		2685	
	THIRD			24	55.81			Excluded		13	30.23		0	0.00					6	13.95		0	0.00		43	
		TOTAL		113	4.21					537	20.00		442	16.46					1316	49.01		277	10.32		2685	
	FOURTH				Excluded					66	58.41		23	20.35					22	19.47		2	1.77		113	
		TOTAL								603	22.46		465	17.32					1338	49.83		279	10.39		2685	
	FIFTH									39	13.98		25	8.96					215	77.06			Excluded		279	
		TOTAL								642	23.91		490	18.25					1553	57.84					2685	
	SIXTH									76	15.51			Excluded					414	84.49					490	
		TOTAL								718	26.74								1967	73.26					2685	
																			Elected							
																										
Mareeba Hospital                                               																										
	FIRST			25	2.66		9	0.96		209	22.26		134	14.27		0	0.00		447	47.60		115	12.25		939	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		25	2.66		9	0.96		209	22.26		134	14.27					447	47.60		115	12.25		939	
	THIRD			4	44.44			Excluded		1	11.11		0	0.00					3	33.33		1	11.11		9	
		TOTAL		29	3.09					210	22.36		134	14.27					450	47.92		116	12.35		939	
	FOURTH				Excluded					21	72.41		4	13.79					3	10.34		1	3.45		29	
		TOTAL								231	24.60		138	14.70					453	48.24		117	12.46		939	
	FIFTH									15	12.82		9	7.69					93	79.49			Excluded		117	
		TOTAL								246	26.20		147	15.65					546	58.15					939	
	SIXTH									23	15.65			Excluded					124	84.35					147	
		TOTAL								269	28.65								670	71.35					939	
																			Elected							
																										
Mareeba West                                                   																										
	FIRST			34	2.97		21	1.84		284	24.85		120	10.50		2	0.17		553	48.38		129	11.29		1143	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00		2	
		TOTAL		35	3.06		21	1.84		284	24.85		120	10.50					553	48.38		130	11.37		1143	
	THIRD			12	57.14			Excluded		7	33.33		0	0.00					1	4.76		1	4.76		21	
		TOTAL		47	4.11					291	25.46		120	10.50					554	48.47		131	11.46		1143	
	FOURTH				Excluded					25	53.19		7	14.89					11	23.40		4	8.51		47	
		TOTAL								316	27.65		127	11.11					565	49.43		135	11.81		1143	
	FIFTH									16	11.85		14	10.37					105	77.78			Excluded		135	
		TOTAL								332	29.05		141	12.34					670	58.62					1143	
	SIXTH									15	10.64			Excluded					126	89.36					141	
		TOTAL								347	30.36								796	69.64					1143	
																			Elected							
																										
Mcdonnell Creek                                                																										
	FIRST			2	1.01		7	3.54		30	15.15		25	12.63		0	0.00		86	43.43		48	24.24		198	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		2	1.01		7	3.54		30	15.15		25	12.63					86	43.43		48	24.24		198	
	THIRD			5	71.43			Excluded		1	14.29		0	0.00					1	14.29		0	0.00		7	
		TOTAL		7	3.54					31	15.66		25	12.63					87	43.94		48	24.24		198	
	FOURTH				Excluded					5	71.43		1	14.29					1	14.29		0	0.00		7	
		TOTAL								36	18.18		26	13.13					88	44.44		48	24.24		198	
	FIFTH									5	10.42		8	16.67					35	72.92			Excluded		48	
		TOTAL								41	20.71		34	17.17					123	62.12					198	
	SIXTH									1	2.94			Excluded					33	97.06					34	
		TOTAL								42	21.21								156	78.79					198	
																			Elected							
																										
Mckinlay                                                       																										
	FIRST			0	0.00		0	0.00		3	11.11		3	11.11		0	0.00		15	55.56		6	22.22		27	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		0	0.00		0	0.00		3	11.11		3	11.11					15	55.56		6	22.22		27	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		0	0.00					3	11.11		3	11.11					15	55.56		6	22.22		27	
	FOURTH				Excluded					0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL								3	11.11		3	11.11					15	55.56		6	22.22		27	
	FIFTH									1	16.67		1	16.67					4	66.67			Excluded		6	
		TOTAL								4	14.81		4	14.81					19	70.37					27	
	SIXTH									0	0.00			Excluded					4	100.00					4	
		TOTAL								4	14.81								23	85.19					27	
																			Elected							
																										
Mena Creek                                                     																										
	FIRST			4	1.15		7	2.01		48	13.75		38	10.89		1	0.29		218	62.46		33	9.46		349	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		1	
		TOTAL		4	1.15		7	2.01		48	13.75		38	10.89					219	62.75		33	9.46		349	
	THIRD			3	42.86			Excluded		1	14.29		0	0.00					3	42.86		0	0.00		7	
		TOTAL		7	2.01					49	14.04		38	10.89					222	63.61		33	9.46		349	
	FOURTH				Excluded					6	85.71		0	0.00					1	14.29		0	0.00		7	
		TOTAL								55	15.76		38	10.89					223	63.90		33	9.46		349	
	FIFTH									4	12.12		2	6.06					27	81.82			Excluded		33	
		TOTAL								59	16.91		40	11.46					250	71.63					349	
	SIXTH									4	10.00			Excluded					36	90.00					40	
		TOTAL								63	18.05								286	81.95					349	
																			Elected							
																										
Millaa Millaa                                                  																										
	FIRST			8	2.00		13	3.25		70	17.50		31	7.75		0	0.00		229	57.25		49	12.25		400	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		8	2.00		13	3.25		70	17.50		31	7.75					229	57.25		49	12.25		400	
	THIRD			7	53.85			Excluded		4	30.77		0	0.00					2	15.38		0	0.00		13	
		TOTAL		15	3.75					74	18.50		31	7.75					231	57.75		49	12.25		400	
	FOURTH				Excluded					8	53.33		3	20.00					4	26.67		0	0.00		15	
		TOTAL								82	20.50		34	8.50					235	58.75		49	12.25		400	
	FIFTH									6	12.24		3	6.12					40	81.63			Excluded		49	
		TOTAL								88	22.00		37	9.25					275	68.75					400	
	SIXTH									7	18.92			Excluded					30	81.08					37	
		TOTAL								95	23.75								305	76.25					400	
																			Elected							
																										
Mingela                                                        																										
	FIRST			0	0.00		0	0.00		9	23.68		6	15.79		0	0.00		19	50.00		4	10.53		38	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		0	0.00		0	0.00		9	23.68		6	15.79					19	50.00		4	10.53		38	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		0	0.00					9	23.68		6	15.79					19	50.00		4	10.53		38	
	FOURTH				Excluded					0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL								9	23.68		6	15.79					19	50.00		4	10.53		38	
	FIFTH									1	25.00		1	25.00					2	50.00			Excluded		4	
		TOTAL								10	26.32		7	18.42					21	55.26					38	
	SIXTH									0	0.00			Excluded					7	100.00					7	
		TOTAL								10	26.32								28	73.68					38	
																			Elected							
																										
Miriwinni                                                      																										
	FIRST			12	2.71		17	3.84		50	11.29		41	9.26		4	0.90		264	59.59		55	12.42		443	
	SECOND			1	25.00		0	0.00		0	0.00		2	50.00			Excluded		1	25.00		0	0.00		4	
		TOTAL		13	2.93		17	3.84		50	11.29		43	9.71					265	59.82		55	12.42		443	
	THIRD			11	64.71			Excluded		2	11.76		1	5.88					3	17.65		0	0.00		17	
		TOTAL		24	5.42					52	11.74		44	9.93					268	60.50		55	12.42		443	
	FOURTH				Excluded					18	75.00		2	8.33					4	16.67		0	0.00		24	
		TOTAL								70	15.80		46	10.38					272	61.40		55	12.42		443	
	FIFTH									0	0.00		5	9.09					50	90.91			Excluded		55	
		TOTAL								70	15.80		51	11.51					322	72.69					443	
	SIXTH									5	9.80			Excluded					46	90.20					51	
		TOTAL								75	16.93								368	83.07					443	
																			Elected							
																										
Mission Beach                                                  																										
	FIRST			30	4.72		50	7.86		120	18.87		121	19.03		1	0.16		269	42.30		45	7.08		636	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		1	
		TOTAL		30	4.72		50	7.86		120	18.87		121	19.03					270	42.45		45	7.08		636	
	THIRD			25	50.00			Excluded		17	34.00		1	2.00					5	10.00		2	4.00		50	
		TOTAL		55	8.65					137	21.54		122	19.18					275	43.24		47	7.39		636	
	FOURTH				Excluded					34	61.82		8	14.55					9	16.36		4	7.27		55	
		TOTAL								171	26.89		130	20.44					284	44.65		51	8.02		636	
	FIFTH									9	17.65		3	5.88					39	76.47			Excluded		51	
		TOTAL								180	28.30		133	20.91					323	50.79					636	
	SIXTH									31	23.31			Excluded					102	76.69					133	
		TOTAL								211	33.18								425	66.82					636	
																			Elected							
																										
Moresby                                                        																										
	FIRST			2	0.72		7	2.52		37	13.31		30	10.79		1	0.36		177	63.67		24	8.63		278	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		2	0.72		7	2.52		37	13.31		31	11.15					177	63.67		24	8.63		278	
	THIRD			0	0.00			Excluded		2	28.57		1	14.29					4	57.14		0	0.00		7	
		TOTAL		2	0.72					39	14.03		32	11.51					181	65.11		24	8.63		278	
	FOURTH				Excluded					2	100.00		0	0.00					0	0.00		0	0.00		2	
		TOTAL								41	14.75		32	11.51					181	65.11		24	8.63		278	
	FIFTH									1	4.17		5	20.83					18	75.00			Excluded		24	
		TOTAL								42	15.11		37	13.31					199	71.58					278	
	SIXTH									6	16.22			Excluded					31	83.78					37	
		TOTAL								48	17.27								230	82.73					278	
																			Elected							
																										
Mornington Island                                              																										
	FIRST			24	6.12		8	2.04		233	59.44		15	3.83		4	1.02		102	26.02		6	1.53		392	
	SECOND			0	0.00		0	0.00		2	50.00		1	25.00			Excluded		0	0.00		1	25.00		4	
		TOTAL		24	6.12		8	2.04		235	59.95		16	4.08					102	26.02		7	1.79		392	
	THIRD			4	50.00			Excluded		3	37.50		0	0.00					1	12.50		0	0.00		8	
		TOTAL		28	7.14					238	60.71		16	4.08					103	26.28		7	1.79		392	
	FOURTH				Excluded					20	71.43		2	7.14					4	14.29		2	7.14		28	
		TOTAL								258	65.82		18	4.59					107	27.30		9	2.30		392	
	FIFTH									3	33.33		0	0.00					6	66.67			Excluded		9	
		TOTAL								261	66.58		18	4.59					113	28.83					392	
	SIXTH									6	33.33			Excluded					12	66.67					18	
		TOTAL								267	68.11								125	31.89					392	
																			Elected							
																										
Mount Garnet                                                   																										
	FIRST			5	1.85		4	1.48		70	25.93		22	8.15		1	0.37		137	50.74		31	11.48		270	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		1	
		TOTAL		5	1.85		4	1.48		70	25.93		22	8.15					137	50.74		32	11.85		270	
	THIRD			1	25.00			Excluded		3	75.00		0	0.00					0	0.00		0	0.00		4	
		TOTAL		6	2.22					73	27.04		22	8.15					137	50.74		32	11.85		270	
	FOURTH				Excluded					5	83.33		1	16.67					0	0.00		0	0.00		6	
		TOTAL								78	28.89		23	8.52					137	50.74		32	11.85		270	
	FIFTH									6	18.75		3	9.38					23	71.88			Excluded		32	
		TOTAL								84	31.11		26	9.63					160	59.26					270	
	SIXTH									5	19.23			Excluded					21	80.77					26	
		TOTAL								89	32.96								181	67.04					270	
																			Elected							
																										
Mount Isa                                                      																										
	FIRST			105	5.87		39	2.18		499	27.89		276	15.43		8	0.45		677	37.84		185	10.34		1789	
	SECOND			0	0.00		1	12.50		0	0.00		2	25.00			Excluded		3	37.50		2	25.00		8	
		TOTAL		105	5.87		40	2.24		499	27.89		278	15.54					680	38.01		187	10.45		1789	
	THIRD			18	45.00			Excluded		7	17.50		3	7.50					6	15.00		6	15.00		40	
		TOTAL		123	6.88					506	28.28		281	15.71					686	38.35		193	10.79		1789	
	FOURTH				Excluded					49	39.84		52	42.28					17	13.82		5	4.07		123	
		TOTAL								555	31.02		333	18.61					703	39.30		198	11.07		1789	
	FIFTH									33	16.67		26	13.13					139	70.20			Excluded		198	
		TOTAL								588	32.87		359	20.07					842	47.07					1789	
	SIXTH									109	30.36			Excluded					250	69.64					359	
		TOTAL								697	38.96								1092	61.04					1789	
																			Elected							
																										
Mount Isa Hospital                                             																										
	FIRST			23	5.76		15	3.76		140	35.09		44	11.03		1	0.25		147	36.84		29	7.27		399	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		23	5.76		15	3.76		140	35.09		45	11.28					147	36.84		29	7.27		399	
	THIRD			5	33.33			Excluded		4	26.67		0	0.00					1	6.67		5	33.33		15	
		TOTAL		28	7.02					144	36.09		45	11.28					148	37.09		34	8.52		399	
	FOURTH				Excluded					13	46.43		7	25.00					6	21.43		2	7.14		28	
		TOTAL								157	39.35		52	13.03					154	38.60		36	9.02		399	
	FIFTH									2	5.56		8	22.22					26	72.22			Excluded		36	
		TOTAL								159	39.85		60	15.04					180	45.11					399	
	SIXTH									21	35.00			Excluded					39	65.00					60	
		TOTAL								180	45.11								219	54.89					399	
																			Elected							
																										
Mount Isa West                                                 																										
	FIRST			14	3.72		8	2.13		142	37.77		48	12.77		0	0.00		121	32.18		43	11.44		376	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		14	3.72		8	2.13		142	37.77		48	12.77					121	32.18		43	11.44		376	
	THIRD			2	25.00			Excluded		2	25.00		2	25.00					2	25.00		0	0.00		8	
		TOTAL		16	4.26					144	38.30		50	13.30					123	32.71		43	11.44		376	
	FOURTH				Excluded					9	56.25		4	25.00					1	6.25		2	12.50		16	
		TOTAL								153	40.69		54	14.36					124	32.98		45	11.97		376	
	FIFTH									11	24.44		9	20.00					25	55.56			Excluded		45	
		TOTAL								164	43.62		63	16.76					149	39.63					376	
	SIXTH									18	28.57			Excluded					45	71.43					63	
		TOTAL								182	48.40								194	51.60					376	
																			Elected							
																										
Mount Surprise                                                 																										
	FIRST			3	4.84		0	0.00		15	24.19		5	8.06		0	0.00		32	51.61		7	11.29		62	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		3	4.84		0	0.00		15	24.19		5	8.06					32	51.61		7	11.29		62	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		3	4.84					15	24.19		5	8.06					32	51.61		7	11.29		62	
	FOURTH				Excluded					2	66.67		0	0.00					0	0.00		1	33.33		3	
		TOTAL								17	27.42		5	8.06					32	51.61		8	12.90		62	
	FIFTH									3	37.50		1	12.50					4	50.00			Excluded		8	
		TOTAL								20	32.26		6	9.68					36	58.06					62	
	SIXTH									0	0.00			Excluded					6	100.00					6	
		TOTAL								20	32.26								42	67.74					62	
																			Elected							
																										
Mourilyan                                                      																										
	FIRST			18	2.23		9	1.12		156	19.35		75	9.31		2	0.25		458	56.82		88	10.92		806	
	SECOND			0	0.00		0	0.00		0	0.00		2	100.00			Excluded		0	0.00		0	0.00		2	
		TOTAL		18	2.23		9	1.12		156	19.35		77	9.55					458	56.82		88	10.92		806	
	THIRD			2	22.22			Excluded		4	44.44		0	0.00					3	33.33		0	0.00		9	
		TOTAL		20	2.48					160	19.85		77	9.55					461	57.20		88	10.92		806	
	FOURTH				Excluded					12	60.00		7	35.00					1	5.00		0	0.00		20	
		TOTAL								172	21.34		84	10.42					462	57.32		88	10.92		806	
	FIFTH									8	9.09		9	10.23					71	80.68			Excluded		88	
		TOTAL								180	22.33		93	11.54					533	66.13					806	
	SIXTH									14	15.05			Excluded					79	84.95					93	
		TOTAL								194	24.07								612	75.93					806	
																			Elected							
																										
Murray Upper                                                   																										
	FIRST			2	0.75		9	3.38		44	16.54		14	5.26		0	0.00		177	66.54		20	7.52		266	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		2	0.75		9	3.38		44	16.54		14	5.26					177	66.54		20	7.52		266	
	THIRD			3	33.33			Excluded		3	33.33		1	11.11					1	11.11		1	11.11		9	
		TOTAL		5	1.88					47	17.67		15	5.64					178	66.92		21	7.89		266	
	FOURTH				Excluded					4	80.00		1	20.00					0	0.00		0	0.00		5	
		TOTAL								51	19.17		16	6.02					178	66.92		21	7.89		266	
	FIFTH									4	19.05		1	4.76					16	76.19			Excluded		21	
		TOTAL								55	20.68		17	6.39					194	72.93					266	
	SIXTH									2	11.76			Excluded					15	88.24					17	
		TOTAL								57	21.43								209	78.57					266	
																			Elected							
																										
Mutchilba                                                      																										
	FIRST			5	2.22		5	2.22		30	13.33		27	12.00		1	0.44		128	56.89		29	12.89		225	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		5	2.22		6	2.67		30	13.33		27	12.00					128	56.89		29	12.89		225	
	THIRD			1	16.67			Excluded		2	33.33		0	0.00					3	50.00		0	0.00		6	
		TOTAL		6	2.67					32	14.22		27	12.00					131	58.22		29	12.89		225	
	FOURTH				Excluded					2	33.33		1	16.67					1	16.67		2	33.33		6	
		TOTAL								34	15.11		28	12.44					132	58.67		31	13.78		225	
	FIFTH									5	16.13		7	22.58					19	61.29			Excluded		31	
		TOTAL								39	17.33		35	15.56					151	67.11					225	
	SIXTH									5	14.29			Excluded					30	85.71					35	
		TOTAL								44	19.56								181	80.44					225	
																			Elected							
																										
Normanton                                                      																										
	FIRST			22	3.95		4	0.72		285	51.17		43	7.72		2	0.36		168	30.16		33	5.92		557	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		1	50.00		2	
		TOTAL		22	3.95		4	0.72		285	51.17		44	7.90					168	30.16		34	6.10		557	
	THIRD			2	50.00			Excluded		2	50.00		0	0.00					0	0.00		0	0.00		4	
		TOTAL		24	4.31					287	51.53		44	7.90					168	30.16		34	6.10		557	
	FOURTH				Excluded					10	41.67		7	29.17					5	20.83		2	8.33		24	
		TOTAL								297	53.32		51	9.16					173	31.06		36	6.46		557	
	FIFTH									9	25.00		4	11.11					23	63.89			Excluded		36	
		TOTAL								306	54.94		55	9.87					196	35.19					557	
	SIXTH									20	36.36			Excluded					35	63.64					55	
		TOTAL								326	58.53								231	41.47					557	
																			Elected							
																										
Pentland                                                       																										
	FIRST			1	0.66		0	0.00		24	15.89		6	3.97		0	0.00		98	64.90		22	14.57		151	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		1	0.66		0	0.00		24	15.89		6	3.97					98	64.90		22	14.57		151	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		1	0.66					24	15.89		6	3.97					98	64.90		22	14.57		151	
	FOURTH				Excluded					1	100.00		0	0.00					0	0.00		0	0.00		1	
		TOTAL								25	16.56		6	3.97					98	64.90		22	14.57		151	
	FIFTH									0	0.00		0	0.00					22	100.00			Excluded		22	
		TOTAL								25	16.56		6	3.97					120	79.47					151	
	SIXTH									1	16.67			Excluded					5	83.33					6	
		TOTAL								26	17.22								125	82.78					151	
																			Elected							
																										
Prairie                                                        																										
	FIRST			2	3.64		0	0.00		7	12.73		13	23.64		0	0.00		26	47.27		7	12.73		55	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		2	3.64		0	0.00		7	12.73		13	23.64					26	47.27		7	12.73		55	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		2	3.64					7	12.73		13	23.64					26	47.27		7	12.73		55	
	FOURTH				Excluded					1	50.00		0	0.00					1	50.00		0	0.00		2	
		TOTAL								8	14.55		13	23.64					27	49.09		7	12.73		55	
	FIFTH									0	0.00		0	0.00					7	100.00			Excluded		7	
		TOTAL								8	14.55		13	23.64					34	61.82					55	
	SIXTH									2	15.38			Excluded					11	84.62					13	
		TOTAL								10	18.18								45	81.82					55	
																			Elected							
																										
Queenton                                                       																										
	FIRST			13	0.97		15	1.12		308	22.90		127	9.44		6	0.45		746	55.46		130	9.67		1345	
	SECOND			0	0.00		0	0.00		3	50.00		0	0.00			Excluded		1	16.67		2	33.33		6	
		TOTAL		13	0.97		15	1.12		311	23.12		127	9.44					747	55.54		132	9.81		1345	
	THIRD			4	26.67			Excluded		5	33.33		1	6.67					1	6.67		4	26.67		15	
		TOTAL		17	1.26					316	23.49		128	9.52					748	55.61		136	10.11		1345	
	FOURTH				Excluded					9	52.94		1	5.88					5	29.41		2	11.76		17	
		TOTAL								325	24.16		129	9.59					753	55.99		138	10.26		1345	
	FIFTH									14	10.14		14	10.14					110	79.71			Excluded		138	
		TOTAL								339	25.20		143	10.63					863	64.16					1345	
	SIXTH									19	13.29			Excluded					124	86.71					143	
		TOTAL								358	26.62								987	73.38					1345	
																			Elected							
																										
Ravenshoe                                                      																										
	FIRST			34	3.32		46	4.49		181	17.68		125	12.21		4	0.39		496	48.44		138	13.48		1024	
	SECOND			1	25.00		2	50.00		0	0.00		1	25.00			Excluded		0	0.00		0	0.00		4	
		TOTAL		35	3.42		48	4.69		181	17.68		126	12.30					496	48.44		138	13.48		1024	
	THIRD			22	45.83			Excluded		13	27.08		2	4.17					8	16.67		3	6.25		48	
		TOTAL		57	5.57					194	18.95		128	12.50					504	49.22		141	13.77		1024	
	FOURTH				Excluded					42	73.68		5	8.77					9	15.79		1	1.75		57	
		TOTAL								236	23.05		133	12.99					513	50.10		142	13.87		1024	
	FIFTH									9	6.34		10	7.04					123	86.62			Excluded		142	
		TOTAL								245	23.93		143	13.96					636	62.11					1024	
	SIXTH									18	12.59			Excluded					125	87.41					143	
		TOTAL								263	25.68								761	74.32					1024	
																			Elected							
																										
Ravenswood                                                     																										
	FIRST			5	2.89		4	2.31		36	20.81		18	10.40		2	1.16		93	53.76		15	8.67		173	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00		2	
		TOTAL		5	2.89		5	2.89		36	20.81		18	10.40					93	53.76		16	9.25		173	
	THIRD			2	40.00			Excluded		0	0.00		1	20.00					2	40.00		0	0.00		5	
		TOTAL		7	4.05					36	20.81		19	10.98					95	54.91		16	9.25		173	
	FOURTH				Excluded					3	42.86		3	42.86					1	14.29		0	0.00		7	
		TOTAL								39	22.54		22	12.72					96	55.49		16	9.25		173	
	FIFTH									3	18.75		3	18.75					10	62.50			Excluded		16	
		TOTAL								42	24.28		25	14.45					106	61.27					173	
	SIXTH									6	24.00			Excluded					19	76.00					25	
		TOTAL								48	27.75								125	72.25					173	
																			Elected							
																										
Richmond                                                       																										
	FIRST			6	1.52		3	0.76		89	22.53		71	17.97		2	0.51		195	49.37		29	7.34		395	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00			Excluded		1	50.00		0	0.00		2	
		TOTAL		6	1.52		3	0.76		89	22.53		72	18.23					196	49.62		29	7.34		395	
	THIRD			1	33.33			Excluded		0	0.00		0	0.00					2	66.67		0	0.00		3	
		TOTAL		7	1.77					89	22.53		72	18.23					198	50.13		29	7.34		395	
	FOURTH				Excluded					3	42.86		3	42.86					1	14.29		0	0.00		7	
		TOTAL								92	23.29		75	18.99					199	50.38		29	7.34		395	
	FIFTH									5	17.24		4	13.79					20	68.97			Excluded		29	
		TOTAL								97	24.56		79	20.00					219	55.44					395	
	SIXTH									8	10.13			Excluded					71	89.87					79	
		TOTAL								105	26.58								290	73.42					395	
																			Elected							
																										
Richmond Hill                                                  																										
	FIRST			13	1.39		13	1.39		212	22.65		121	12.93		1	0.11		501	53.53		75	8.01		936	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		1	
		TOTAL		13	1.39		13	1.39		212	22.65		121	12.93					501	53.53		76	8.12		936	
	THIRD			4	30.77			Excluded		2	15.38		2	15.38					4	30.77		1	7.69		13	
		TOTAL		17	1.82					214	22.86		123	13.14					505	53.95		77	8.23		936	
	FOURTH				Excluded					10	58.82		3	17.65					3	17.65		1	5.88		17	
		TOTAL								224	23.93		126	13.46					508	54.27		78	8.33		936	
	FIFTH									11	14.10		5	6.41					62	79.49			Excluded		78	
		TOTAL								235	25.11		131	14.00					570	60.90					936	
	SIXTH									19	14.50			Excluded					112	85.50					131	
		TOTAL								254	27.14								682	72.86					936	
																			Elected							
																										
Rollingstone                                                   																										
	FIRST			10	1.68		9	1.51		150	25.17		108	18.12		3	0.50		280	46.98		36	6.04		596	
	SECOND			1	33.33		0	0.00		0	0.00		0	0.00			Excluded		2	66.67		0	0.00		3	
		TOTAL		11	1.85		9	1.51		150	25.17		108	18.12					282	47.32		36	6.04		596	
	THIRD			5	55.56			Excluded		2	22.22		1	11.11					1	11.11		0	0.00		9	
		TOTAL		16	2.68					152	25.50		109	18.29					283	47.48		36	6.04		596	
	FOURTH				Excluded					9	56.25		3	18.75					3	18.75		1	6.25		16	
		TOTAL								161	27.01		112	18.79					286	47.99		37	6.21		596	
	FIFTH									5	13.51		3	8.11					29	78.38			Excluded		37	
		TOTAL								166	27.85		115	19.30					315	52.85					596	
	SIXTH									6	5.22			Excluded					109	94.78					115	
		TOTAL								172	28.86								424	71.14					596	
																			Elected							
																										
Silkwood                                                       																										
	FIRST			0	0.00		10	2.70		75	20.22		30	8.09		0	0.00		216	58.22		40	10.78		371	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		0	0.00		10	2.70		75	20.22		30	8.09					216	58.22		40	10.78		371	
	THIRD			7	70.00			Excluded		2	20.00		0	0.00					1	10.00		0	0.00		10	
		TOTAL		7	1.89					77	20.75		30	8.09					217	58.49		40	10.78		371	
	FOURTH				Excluded					5	71.43		0	0.00					0	0.00		2	28.57		7	
		TOTAL								82	22.10		30	8.09					217	58.49		42	11.32		371	
	FIFTH									4	9.52		3	7.14					35	83.33			Excluded		42	
		TOTAL								86	23.18		33	8.89					252	67.92					371	
	SIXTH									7	21.21			Excluded					26	78.79					33	
		TOTAL								93	25.07								278	74.93					371	
																			Elected							
																										
Soldiers Hill                                                  																										
	FIRST			30	3.19		25	2.66		309	32.84		135	14.35		2	0.21		368	39.11		72	7.65		941	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00		2	
		TOTAL		30	3.19		26	2.76		309	32.84		135	14.35					368	39.11		73	7.76		941	
	THIRD			14	53.85			Excluded		3	11.54		4	15.38					2	7.69		3	11.54		26	
		TOTAL		44	4.68					312	33.16		139	14.77					370	39.32		76	8.08		941	
	FOURTH				Excluded					22	50.00		9	20.45					6	13.64		7	15.91		44	
		TOTAL								334	35.49		148	15.73					376	39.96		83	8.82		941	
