General Information - 2001 Election: Queensland			
Polling Places			
			
Polling Place Name	Premises	Address	Suburb
Bloomfield	Wujal Wujal Community Hall		WUJAL WUJAL
Brinsmead	Cairns Christian College	Brinsmead Rd	BRINSMEAD
Brisbane City (Leichhardt)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Cairns	St Monica's College	Lake St	CAIRNS
Cairns Base Hospital	Cairns Base Hospital	Esplanade	CAIRNS
Cairns North	Cairns North State School	Arthur St	CAIRNS NORTH
Cairns West	Cairns West State School	Cnr Hoare & Mayers Sts	MANUNDA
Caravonica	Caravonica State School	Kamerunga Rd	CARAVONICA
Clifton Beach	Clifton Beach Community Hall	Edward Mann Park, 13 Clifton Rd	CLIFTON BEACH
Coen	Coen State School	Taylor St	COEN
Cooktown	Cooktown State School	Cnr May & Charles St	COOKTOWN
Daintree	Daintree State School	Osborne St	DAINTREE
Earlville	Our Lady Help Of Christians School	18 Balaclava Rd	EARLVILLE
Edge Hill	Edge Hill State School	254 Pease St	EDGE HILL
Edmonton	Fretwell Park Sports Complex	57 Robert Rd	EDMONTON
Freshwater	Freshwater State School	Corkill St	FRESHWATER
Hambledon	Hambledon State School	79 Stokes St	EDMONTON
Holloways Beach	Holloways Beach Community Hall	Sid Granville Park, 85 Oleander St	HOLLOWAYS BEACH
Hope Vale	Hope Vale State School	Cnr Thiele & Poland Sts	HOPE VALE
Horn Island	Wasaga Community Hall	10 Miskin St	HORN ISLAND
Injinoo	Injinoo Community Hall		INJINOO
Julatten	Julatten State School	Rex Hwy	JULATTEN
Kowanyama	Kowanyama State School	Kowanyama St	KOWANYAMA
Kuranda	Kuranda State School	16 Arara St	KURANDA
Laura	Laura Town Hall	4 Terminus St	LAURA
Lockhart River	Lockhart River State School	Puchewoo St	LOCKHART RIVER
Machans Beach	Machans Beach State School	61 Machan St	MACHANS BEACH
Manunda	Trinity Bay State High School	26 Hoare St	MANUNDA
Miallo	Miallo State School	Miallo Rd	MIALLO
Mossman	Mossman State School	30 Front St	MOSSMAN
Mount Molloy	Mount Molloy State School	Fraser Rd	MOUNT MOLLOY
Napranum	Jessica Point State School	Albatross Rd	NAPRANUM
New Mapoon	New Mapoon Community Hall		NEW MAPOON
Parramatta	Parramatta State School	122 Mulgrave Rd	PARRAMATTA PARK
Pormpuraaw	Pormpuraaw State School	Pormpuraaw St	PORMPURAAW
Port Douglas	Port Douglas State School	Endeavour St	PORT DOUGLAS
Redlynch	Redlynch State School	Jungarra Rd	REDLYNCH
Stratford	Stratford Community Centre	11 Kamerunga Rd	STRATFORD
Tamwoy	Thursday Island High School	Aplin Rd	THURSDAY ISLAND
Thursday Island	Port Kennedy Assoc Hall	64 Douglas St	THURSDAY ISLAND
Trinity Beach	Trinity Beach State School	Wewak St	TRINITY BEACH
Weipa North	Weipa North State High School	Central Ave	WEIPA
White Rock	White Rock State School	114 Progress Rd	WHITE ROCK
Whitfield	Whitfield State School	42 McManus St	MANOORA
Wonga Beach	Wonga Beach State School	Snapper Island Dr	WONGA BEACH
Woree	Woree State High School	Cnr Rigg & Windarra Sts	WOREE
Yarrabah	Yarrabah State School	Gribble St	YARRABAH
Yorkeys Knob	Yorkeys Knob Community Centre	58 Wattle St	YORKEYS KNOB


Lilley			
Ascot	Ascot State School	Massey St	ASCOT
Aspley (Lilley)	Aspley State High School	651 Zillmere Rd	ASPLEY
Aspley East	Aspley East State School	Hopgood St	ASPLEY
Banyo	St Oswalds Anglican Church Hall	9 Froude St	BANYO
Banyo East	Nudgee State School	Earnshaw Rd	NUDGEE
Boondall	Boondall State School	Roscommon Rd	BOONDALL
Brighton	Brighton State Pre-School	2 North Rd	BRIGHTON
Brighton South	Nashville State Pre School	Baskerville St	BRIGHTON
Brisbane City (Lilley)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Chermside East	Assembly of God	Cnr Hamilton & Pfingst Rds	CHERMSIDE
Clayfield	Bar Jai Seniors Club	178 Alexandra Rd	CLAYFIELD
Clayfield West	St Mark's Anglican Church	Bellevue Tce cnr Bonney Ave	CLAYFIELD
Deagon	Sandgate State High School	Cnr Braun St & Depot Rd	DEAGON
Eventide Home	The Auditorium, Amenities Block	Eventide Home, Beaconsfield Tce	BRIGHTON
Freemasons Homes	Freemasons Homes	60 Wakefield St	SANDGATE
Geebung	Geebung State School	Newman Rd	GEEBUNG
Gordon Park	Lou Drew Memorial Hall	43 Khartoum St	GORDON PARK
Hamilton	St Augustines Anglican Church	56 Racecourse Rd	HAMILTON
Hendra	St Johns Anglican Church Hall	12 Burilda St	HENDRA
Hendra East	Hendra State School	School St	HENDRA
Kalinga	Presbyterian Church Hall	Cnr Shaw Rd & Emma St	WOOLOOWIN
Kedron	Kedron State School	Leckie Rd	KEDRON
Kedron Heights	Little Flower Church Hall	66 Turner Rd	KEDRON
Lutwyche	Holy Cross School	40 Morris Street	WOOLOOWIN
Northgate	Northgate State School	Amelia St	NUNDAH
Nudgee	Nudgee School of Arts	Hayden St	NUDGEE
Nudgee Beach	Environmental Education Centre	1588 Nudgee Rd	NUDGEE BEACH
Nundah	Nundah State School	Cnr Buckland Rd & Bage St	NUNDAH
Nundah North	St Francis Anglican Church Hall	Cameron St	NUNDAH
Nundah West	Wavell Heights Anglican Church Hall	Cnr Olive & Imbros Sts	NUNDAH
Pinkenba	Pinkenba State School	Eagle Farm Rd	PINKENBA
Sandgate	Sandgate Magistrates Court	Keogh St	SANDGATE
Shorncliffe	Shorncliffe State School	Yundah St	SHORNCLIFFE
Somerset Hills (Lilley)	Somerset Hills State School	241 Kitchener Rd	STAFFORD HEIGHTS
Stafford (Lilley)	Stafford State School	314 Stafford Rd	STAFFORD
Taigum (Lilley)	Taigum State School	261 Handford Rd	TAIGUM
Virginia	Virginia State School	cnr Sandgate Rd & Jefferis St	VIRGINIA
Wavell Heights	Wavell Heights State Pre-School	Kuran St	CHERMSIDE
Whinstanes	St Lukes Uniting Church Activity Centre	Cnr Jackson & Oxford Sts	HAMILTON
Wooloowin	Kedron State High School	Park Rd	WOOLOOWIN
Zillmere	Zillmere State School	Murphy Rd	ZILLMERE
Zillmere North	Church of Christ Zillmere	367 Zillmere Rd	ZILLMERE


Longman			
Banksia Beach	Banksia Beach State School	Sunderland Dr	BANKSIA BEACH
Beachmere	Beachmere Community Association Hall	Progress Ave	BEACHMERE
Beerburrum	Beerburrum School of Arts Hall	Anzac Ave	BEERBURRUM
Beerwah	Beerwah Community Hall	62 Simpson St	BEERWAH
Bellara	Volunteer Marine Rescue	Marine Pde	BELLARA
Bongaree	Bribie Island Recreation Hall	First Ave	BONGAREE
Brisbane City (Longman)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Burpengary	Burpengary Community Complex	111 Station Rd	BURPENGARY
Burpengary East	Old Bay Rd Community Complex	Maitland Rd	BURPENGARY
Burpengary South	Burpengary Baptist Community Church	72 Pitt Rd	BURPENGARY
Burpengary West	Burpengary State School	35 Station Rd	BURPENGARY
Caboolture	Caboolture Shire Memorial Hall	King St	CABOOLTURE
Caboolture East	Caboolture State High School	Lee St	CABOOLTURE
Caboolture West	Tullawong State High School	Del Rosso Rd	CABOOLTURE
Conondale	Conondale State School	Maleny-Kenilworth Rd	CONONDALE
Deception Bay	Deception Bay State School	King St	DECEPTION BAY
Deception Bay North	Deception Bay Community Hall	Cnr Ewart St And Bayview Tce	DECEPTION BAY
Deception Bay South (Longman)	Deception Bay High School	Goverment Street	DECEPTION BAY
Donnybrook	Donnybrook Community Hall	Cnr Alice & Edith Sts	DONNYBROOK
Elimbah	Elimbah State School	School Rd	ELIMBAH
Glass House Mountains	Glass House Mountains Community Hall	Coonowrin Rd	GLASS HOUSE MOUNTAINS
Landsborough	Landsborough State School	Gympie St North	LANDSBOROUGH
Maleny	Maleny RSL Hall	1 Bunya St	MALENY
Morayfield	Morayfield State High School	Visentin Rd	MORAYFIELD
Morayfield East	Morayfield East State School	Graham Rd	MORAYFIELD
Morayfield West	Minimbah State School	Minimbah Dr	MORAYFIELD
Mount Mee	Mount Mee State School	1368 Mt Mee Rd	MOUNT MEE
Narangba	Narangba State School	School Rd	NARANGBA
Narangba North	Narangba Sports & Rec Hall	Williamina Ct	NARANGBA
Ningi	Ningi Community Hall	Cnr Bribie Island Rd & Rita Ave	NINGI
Peachester	Peachester State School	966 Peachester Rd	PEACHESTER
Toorbul	Toorbul Community Hall	158 Esplanade	TOORBUL
Wamuran	Wamuran Community Hall	D'Aguilar Hwy	WAMURAN
Woodford	Woodford Memorial Community Centre	Archer St	WOODFORD
Woorim	Bribie Island Surf Life Saving Supporters Club	North St	WOORIM


Maranoa			
Allora	Allora Senior Citizens Centre	Drayton St	ALLORA
Amby	Amby Hall	George St	AMBY
Amiens	Amiens State School	Amiens Rd	AMIENS
Anakie	Anakie State School	Cook St	ANAKIE
Applethorpe	Applethorpe State School	New England Hwy	APPLETHORPE
Augathella	Augathella State School	Cavanagh St	AUGATHELLA
Ballandean	Ballandean State School	Bents Rd	BALLANDEAN
Bauhinia Downs	Bauhinia State School	Dawson Hwy	BAUHINIA
Bedourie	Bedourie Shire Hall	Herbert St	BEDOURIE
Bell	Bell State School	Dennis St	BELL
Birdsville	Birdsville Community Hall	Adelaide St	BIRDSVILLE
Blackall	Blackall Court House	Shamrock St	BLACKALL
Blackwater	Blackwater State School	Wey St	BLACKWATER
Blackwater North	Blackwater North State School	Williams St	BLACKWATER
Bluff	Bluff State School	Main St	BLUFF
Bollon	Bollon State School	Main St	BOLLON
Brigalow	Brigalow Public Hall	Main St	BRIGALOW
Bringalily South	Bringalily Hall	No 69 Road	BRINGALILY
Brisbane City (Maranoa)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Broadwater Crossing	Broadwater State School	Stanthorpe-Texas Rd	BROADWATER
Bungunya	Bungunya State School	George St	BUNGUNYA
Burra Burri	Burra Burri State School	Burra Burri Creek Rd	BURRA BURRI
Canaga	Canaga Hall	Chinchilla-Wondai Rd	CANAGA
Cecil Plains	Cecil Plains State School	Taylor St	CECIL PLAINS
Charleville	Charleville & District Cultural Centre	96 Alfred St	CHARLEVILLE
Charleville Hospital	Waroona Nursing Home	72 King St	CHARLEVILLE
Chinchilla	Catholic Church Hall	Middle St	CHINCHILLA
Chinchilla Hospital	Chinchilla Hospital	Slessar St	CHINCHILLA
Comet	Comet State School		COMET
Condamine	Condamine State School	Kennedy St	CONDAMINE
Cooranga North	Cooranga North State School	Bell Rd	COORANGA NORTH
Cottonvale	Cottonvale State School	School Rd	COTTONVALE
Cunnamulla	Paroo Shire Council Hall	Jane St	CUNNAMULLA
Dalby	Dalby Central State School Hall	Jimbour Street	DALBY
Dalby North	St Columba's Primary School	2 Nicholson Street	DALBY
Dalby South	Dalby South State School	Cnr Bunya and Owen Sts	DALBY
Dalby West	Dalby Church of Christ Hall	Nicholson St	DALBY
Dalveen	Dalveen State School	Pine Cres	DALVEEN
Dingo	Dingo State School	Kennedy & Normanby Sts	DINGO
Dirranbandi	Dirranbandi State School	Jane St	DIRRANBANDI
Drillham	Drillham State School	Jardine St	DRILLHAM
Duaringa	Duaringa State School	Charlotte St	DUARINGA
Dulacca	Dulacca State School	North Rd	DULACCA
Emerald	Emerald State School	Anakie St	EMERALD
Emerald North	Emerald North State School	Campbell St	EMERALD
Emerald South	Denison State School	16 Gray St	EMERALD
Eukey	Eukey Public Hall	Eukey Rd	EUKEY
Eulo	Eulo State School	Leo St	EULO
Eumamurrin	Eumamurrin Hall	Recreation Grounds	EUMAMURRIN
Gindie	Gindie State School	Old Cullen-la-ringo Rd	GINDIE
Glen Aplin	Glen Aplin State School	Mount Stirling Rd	GLEN APLIN
Goomburra	Goomburra Public Hall	Goomburra-Inverramsay Rd	GOOMBURRA
Goondiwindi	St Marys Primary School	Brisbane Street	GOONDIWINDI
Goondiwindi West	Goondiwindi/Waggamba Cultural Centre	Cnr Russell and Short Sts	GOONDIWINDI
Guluguba	Guluguba State School	Fosters Rd	GULUGUBA
Hannaford	Hannaford State School	Tara-Meandarra Rd	HANNAFORD
Hebel	Hebel State School	Maud St	HEBEL
Inglestone	Inglestone Golf Club	Westmar Rd	INGLESTONE
Inglewood	Inglewood Civic Centre	Elizabeth St	INGLEWOOD
Injune	Injune State School	Hutton St	INJUNE
Isisford	Isisford State School	St Helena St	ISISFORD
Jandowae	Jandowae Memorial Hall	George St	JANDOWAE
Jimbour	Jimbour State School	Dalby-Jandowae Rd	JIMBOUR
Jundah	Jundah State School	Garrick St	JUNDAH
Kaimkillenbun	Kaimkillenbun State School	Messenger St	KAIMKILLENBUN
Karara	Karara State School	School Rd	KARARA
Killarney	Killarney Senior Citizens Centre	Ailanthus St	KILLARNEY
Kindon	Kindon State School	Goondiwindi-Millmerran Rd, Kindon	GOONDIWINDI
Kogan	Kogan Community Hall	Condamine Hwy	KOGAN
Kupunn	Kupunn War Memorial Hall	Kupunn Rd	KUPUNN
Leyburn	Leyburn State School	Peter St	LEYBURN
Macalister	Macalister Q.C.W.A. Hall	Warrego Hwy	MACALISTER
Maryvale	Maryvale State School	Taylor St	MARYVALE
Massie	Deuchar-Massie Public Hall	Massie-Bony Mountain Rd	MASSIE
Meandarra	Meandarra State School	Sara St	MEANDARRA
Miles	Miles Civic Centre	Marian St	MILES
Millmerran	Millmerran State School	19 Simmons St	MILLMERRAN
Mitchell	Mitchell State School	105 Cambridge St	MITCHELL
Moonie	Moonie State School	Moonie Hwy	MOONIE
Morven	Morven State School	Albert St	MORVEN
Muckadilla	Muckadilla State School	Centenary Dr	MUCKADILLA
Mungallala	Mungallala State School	21 Redford St	MUNGALLALA
Mungindi	Mungindi Community Pre-School	Barwon St	MUNGINDI NSW
Murrays Bridge	Murrays Bridge State School	Warwick-Killarney Rd	MURRAYS BRIDGE
Pratten	Pratten Public Hall	White St	PRATTEN
Quilpie	Quilpie State School	Chulungra St	QUILPIE
Rolleston	Rolleston State School	Warrijo St	ROLLESTON
Roma	Roma/Bungil Cultural Centre	Cnr Bungil & Quintin Sts	ROMA
Roma School	Roma Junior School	Cnr Bowen & Hawthorne St	ROMA
Roma West	TAFE College Jubilee Hall	Cottell Street	ROMA
Rubyvale	Rubyvale Public Hall	Burridge Rd	RUBYVALE
St George	St George State School	Grey St	ST GEORGE
St Ruth	St Ruth Hall	Dalby-Cecil Plains Rd	ST RUTH
Sapphire	Sapphire Community Hall	Rethamel Rd	SAPPHIRE
Springsure	Springsure State School	Eclipse St	SPRINGSURE
Stanthorpe	St Pauls Anglican Church Hall	Corundum St	STANTHORPE
Stanthorpe South	St Andrews Presbyterian Church Hall	Leslie Pde	STANTHORPE
Stanthorpe West	Stanthorpe - Blue Care	10 Day Street	STANTHORPE
Surat	Surat State School	55 Robert St	SURAT
Talwood	Talwood State School	Recreation St	TALWOOD
Tambo	Tambo State School	Mitchell St	TAMBO
Tara	Tara State School	22 Binnie St	TARA
Taroom	Taroom State School	Wolsey St	TAROOM
Texas	Texas Memorial Hall	High St	TEXAS
Thallon	Thallon State School	Henry St	THALLON
Thargomindah	Thargomindah State School	Dowling St	THARGOMINDAH
The Gums	The Gums State School	Coomrith Rd	THE GUMS
The Summit	The Summit State School	Taggarts Rd	THE SUMMIT
Toobeah	Toobeah Kindergarten	Toobeah-Lundavra Rd	TOOBEAH
Wallangarra	Wallangarra State School	50 Callandoon St	WALLANGARRA
Wallumbilla	Wallumbilla State School	High St	WALLUMBILLA
Wandoan	Wandoan State School	North St	WANDOAN
Warra	Warra State School	Robinson St	WARRA
Warwick	Warwick Aquatic Centre	Cnr Palmerin & Albert Sts	WARWICK
Warwick East	Warwick East State School	Fitzroy St	WARWICK
Warwick North	Glennie Heights State School	5 Gillam St	WARWICK
Warwick South	Blue Care Warwick	Cnr Wallace St & Law Rd	WARWICK
Warwick West	Warwick West State School	17 George St	WARWICK
Willows Gemfields	Willows Gemfields Community Hall	The Reserve	WILLOWS GEMFIELDS
Windorah	Windorah State School	Victoria St	WINDORAH
Woorabinda	Woorabinda State School	Carbine St	WOORABINDA
Wyandra	Wyandra State School	Moody St	WYANDRA
Yangan	Yangan School Of Arts Hall	King St	YANGAN
Yelarbon	Yelarbon State School	Eena St	YELARBON
Yuleba	Bendemere Shire Council Bldg	Creek St	YULEBA


McPherson			
Bonogin	St. Benedict's Catholic Community Hall	2 Wallaby Dr	MUDGEERABA
Brisbane City (McPherson)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Broadbeach (McPherson)	Broadbeach State School	Old Burleigh Rd	BROADBEACH
Burleigh Heads	Burleigh Heads State School	West St	BURLEIGH HEADS
Burleigh North	R.S.L. Hall	Sixth Ave	BURLEIGH HEADS
Burleigh Waters	Caningeraba State School	Whistler Dr	BURLEIGH WATERS
Burleigh West	Smarties Child Care Centre	21 Tallebudgera Creek Rd	WEST BURLEIGH
Coolangatta	Senior Citizens Centre	Gerrard St	COOLANGATTA
Currumbin	Currumbin State School	Phillip St	CURRUMBIN
Currumbin Valley	Currumbin Valley State School	Currumbin Creek Rd	CURRUMBIN VALLEY
Currumbin Waters	Elanora Community Centre	26 Galleon Way	CURRUMBIN WATERS
Elanora	Elanora State School	K.P. McGrath Dr	ELANORA
Elanora High	Elanora State High School	Avocado St	ELANORA
Kirra	Coolangatta State School	cnr Miles & Stapylton St	COOLANGATTA
Mermaid Beach	Mermaid Beach Community Centre	2439 Gold Coast Hwy	MERMAID BEACH
Mermaid Waters (McPherson)	Albert Waterways Community Centre	cnr Hooker & Sunshine Blvds	MERMAID WATERS
Merrimac (McPherson)	Merrimac State School	Boowaggan Rd	MERRIMAC
Merrimac High	Merrimac State High School	Dunlop Ct	MERMAID WATERS
Miami	Great Hall Miami State High School	Great Hall Dr	MIAMI
Miami West	Miami State School	Oceanic Dr	MIAMI
Moana Park (McPherson)	Moana Park Kindergarten	12 Kalimna Dr	BROADBEACH WATERS
Mudgeeraba	Mudgeeraba Special School	School St	MUDGEERABA
Palm Beach	Share-N-Care Centre	Tenth Ave	PALM BEACH
Palm Beach North	Palm Beach State School	19th Ave	PALM BEACH
Palm Beach South	Palm Beach-Currumbin State High School	Sarawak Ave	PALM BEACH
Reedy Creek	King's Christian Centre	68 Gemvale Rd	REEDY CREEK
Robina	Robina State School	Killarney Ave	ROBINA
Robina North	Robina Common Community Centre	Ron Penhaligon Way	ROBINA
Robina Town	Robina Community Centre	Robina Town Centre Dr	ROBINA
Springbrook	Springbrook Community Hall	Gold Coast-Springbrook Rd	SPRINGBROOK
Stephens	Stephens Community Centre	Mattocks Rd	STEPHENS
Tallai (McPherson)	Mudgeeraba State School	Old Coach Rd	MUDGEERABA
Tallebudgera	Tallebudgera State School	Guineas Creek Rd	TALLEBUDGERA
Tallebudgera Valley	Tallebudgera Valley Community Hall	Tallebudgera Creek Rd	TALLEBUDGERA VALLEY
Tugun	Tugun Village Community Centre	Land Of Legends Park, Coolangatta Rd	TUGUN


Moncrieff			
Aquinas	Aquinas College	Cnr Edmund Rice/Nerang-Sthpt Rds	ASHMORE
Arundel	Arundel State School	Napper Rd	ARUNDEL
Arundel East	Aussie Kids Childcare Centre	120 Olsen Ave	ARUNDEL
Ashmore	Ashmore State School	Currumburra Rd	ASHMORE
Ashmore West	Trinity Lutheran Primary School	Cnr Cotlew/Nerang-Southport Rds	ASHMORE
Benowa	Benowa State School	Benowa Rd	BENOWA
Brisbane City (Moncrieff)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Broadbeach (Moncrieff)	Broadbeach State School	Old Burleigh Rd	BROADBEACH
Carrara	Emmanuel College	Birmingham Rd	CARRARA
Chevron Island	Somerset House	57 Thomas Dr	SURFERS PARADISE
Earle Haven	Earle Haven	62 Lawrence Dr	NERANG
Evandale	Gold Coast Admin Centre	Bundall Rd	SURFERS PARADISE
Florida Gardens	Gold Coast Police & Citizens Club	180 Monaco St	BROADBEACH WATERS
Gilston	Gilston State School	588 Worongary Rd	GILSTON
Harley Park	Labrador Memorial Senior Citizens Centre	37 Marine Pde	LABRADOR
Isle Of Capri	Surfers Paradise State School	St Andrews Ave	SURFERS PARADISE
Keebra Park	Keebra Park State High School	Anne St	SOUTHPORT
Labrador	Labrador State School	Imperial Pde	LABRADOR
Main Beach	Southport Little Nipper Club	Esplanade	MAIN BEACH
Mermaid Waters (Moncrieff)	Albert Waterways Community Centre	cnr Hooker & Sunshine Blvds	MERMAID WATERS
Merrimac (Moncrieff)	Merrimac State School	Boowaggan Rd	MERRIMAC
Moana Park (Moncrieff)	Moana Park Kindergarten	12 Kalimna Dr	BROADBEACH WATERS
Musgrave Hill	Southport State High School	Brooke Ave	SOUTHPORT
Nerang	Nerang Council Chambers	Nerang-Southport Rd	NERANG
Nerang South	Nerang Police & Citizens Youth Club	Cayuga St	NERANG
Nerang West (Moncrieff)	Nerang State High School	Weedons Rd	NERANG
Parklands	Church Of Christ Hall	Parklands Dr	SOUTHPORT
Southport	Southport Community Centre	Lawson St	SOUTHPORT
Southport North	Southport State School	Queens St	SOUTHPORT
Southport West	Baptist Church & Education Centre	Cnr Eugaree and Nerang Sts	SOUTHPORT
Surfers Paradise	Surfers Paradise Transit Centre	Cnr Beach and Ferny Ave	SURFERS PARADISE
Tallai (Moncrieff)	Mudgeeraba State School	Old Coach Rd	MUDGEERABA
William Duncan	William Duncan State Primary	Alexander Dr	NERANG
Worongary	Worongary State School	Delta Cove Dr	WORONGARY


Moreton			
Annerley	Marymac Hall	616 Ipswich Rd	ANNERLEY
Annerley Junction	Church of Christ Hall	459 Annerley Rd	ANNERLEY
Brisbane City (Moreton)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Chelmer	Chelmer Police College	17 Laurel Ave	CHELMER
Coopers Plains	Coopers Plains State School	61 Orange Grove Rd	COOPERS PLAINS
Corinda (Moreton)	St Joseph's Catholic Church	18 Clewley St	CORINDA
Dupre St	Baptist Church Hall	7 Dupre St	UPPER MOUNT GRAVATT
Eight Mile Plains (Moreton)	Eight Mile Plains State School	Underwood Rd	EIGHT MILE PLAINS
Fairfield	Fairfield Christian Family Church Hall	Cross & Sunbeam Sts	FAIRFIELD
Graceville	Graceville State School	170 Oxley Rd	GRACEVILLE
Graceville West	Scout Hall	30 Young St	GRACEVILLE
Greenslopes Hospital	Red Cross Recreation Centre	114 Newdegate St	GREENSLOPES
Greenslopes School (Moreton)	Greenslopes State School	559 Logan Rd	GREENSLOPES
Holland Park (Moreton)	St Matthews Anglican Church Hall	Swain St	HOLLAND PARK WEST
Junction Park	Junction Park State School	Gowrie St	ANNERLEY
Kuraby (Moreton)	Kuraby State School	Beenleigh Rd	KURABY
Macgregor	Macgregor High School	Blackwattle St	MACGREGOR
Mansfield (Moreton)	Mansfield State School	Ham Rd	MANSFIELD
Market Square	Macgregor State School	McCullough St	MACGREGOR
Marshall Road	Marshall Road State School	Kurts St	HOLLAND PARK WEST
Moorooka	St Brendan's Catholic Church Hall	Hawtree St	MOOROOKA
Moorooka School	Moorooka State School	Sherley St	MOOROOKA
Moorvale	Clifton Hill Scout Hall	Vendale Ave	MOOROOKA
Mount Gravatt (Moreton)	Mt Gravatt State School	1263 Logan Rd	MOUNT GRAVATT
Mt Petrie (Moreton)	Mt Petrie State School	950 Mt Gravatt-Capalaba Rd	MACKENZIE
Robertson	Robertson State School	688 Musgrave Rd	ROBERTSON
Rochedale (Moreton)	Rochedale State School	Rochedale Rd	ROCHEDALE
Rocklea	Rocklea State School	19 Elmes Rd	ROCKLEA
Runcorn (Moreton)	Runcorn State School	Mains Rd	SUNNYBANK
Runcorn High School	Runcorn High School	Hill Rd	RUNCORN
Salisbury	Salisbury State School	19 Cripps St	SALISBURY
Sherwood	St Matthew's Anglican Church Hall	Oxley & Sherwood Rds	SHERWOOD
Sunnybank (Moreton)	Sunnybank State High School	Gager St	SUNNYBANK
Tarragindi	St Aidans Church Hall	Eric Cres	TARRAGINDI
Tarragindi East	Australia Lebanese Assn Hall	77 Andrew Ave	TARRAGINDI
Tennyson	Tennyson Special School	38 Lofter St	TENNYSON
Thompson Estate	St John's Presbyterian Church Hall	23 - 33 King St	ANNERLEY
Upper Mt Gravatt	Upper Mt Gravatt State School	1899 Logan Rd	UPPER MOUNT GRAVATT
Warrigal Road	Warrigal Road State School	Warrigal Rd	EIGHT MILE PLAINS
Wellers Hill	Wellers Hill State School	Toohey Rd	TARRAGINDI
Wishart	Wishart Pre School	Colwyn St	WISHART
Yeronga	Yeronga State School	122 Park Rd	YERONGA
Yeronga West	St Sebastians School	Kadumba St	YERONGA


Oxley			
Acacia Ridge	Acacia Ridge State School	Nyngam St	ACACIA RIDGE
Acacia Ridge South	Watson Road State School	210 Watson Rd	ACACIA RIDGE
Blackstone	Blackstone State School	14 Hill St	BLACKSTONE
Brisbane City (Oxley)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Bundamba	Bremer Institute of T.A.F.E.	Mary St	BUNDAMBA
Bundamba School	Bundamba State School	221 Brisbane Rd	BUNDAMBA
Calamvale (Oxley)	Calamvale State School	Beaudesert Rd	CALAMVALE
Camira	Camira Preschool	Old Logan Rd	CAMIRA
Carole Park	Carole Park Preschool	Waterford Rd	WACOL
Central School	Ipswich Central State School	Griffiths Rd	IPSWICH
Churchill (Oxley)	Churchill State School	Warwick Rd	CHURCHILL
Collingwood Park	Collingwood Park State School	Burrel St	COLLINGWOOD PARK
Dinmore	Dinmore State School	Earl St	DINMORE
Durack	Durack Preschool	69 Inala Ave	INALA
Eastern Heights	Catholic Church Hall	Robertson Rd	EASTERN HEIGHTS
East Ipswich School	East Ipswich Preschool	Blackwood St	EAST IPSWICH
Flinders View	Kelston House Hostel	Ripley Rd	FLINDERS VIEW
Forest Lake	Forest Lake State School	Kauri Pl	FOREST LAKE
Forest Lake East	Forest Lake College	College Ave	FOREST LAKE
Forest Place Retirement Village	Forest Place Retirement Village	356 Blunder Rd	DURACK
Gailes	Karate Hall	83 Old Logan Rd	GAILES
Goodna	St Francis Xavier School	Church St	GOODNA
Grand Ave	Grand Ave State School	Centennial Way	FOREST LAKE
Harrisville	Harrisville State School	Hall St	HARRISVILLE
Inala	Inala Preschool	Glenala Rd	DURACK
Inala West	Inala West Preschool	Biota St	INALA
Ipswich	St Pauls Church Hall	Nicholas & Ellenborough Sts	IPSWICH
Ipswich Hospital	Ipswich Hospital	Chelmsford Ave	IPSWICH
Kruger School	Kruger Preschool	Kruger Pde	BELLBIRD PARK
Newtown Ipswich	Glebe Rd Kindergarten and Pre School	52 Glebe Rd	NEWTOWN
North Booval	Trinity Uniting Church	114 Jacaranda St	NORTH BOOVAL
Pallara	Pallara State School	282 Ritchie Rd	PALLARA
Peak Crossing	Peak Crossing State School	Ipswich-Boonah Rd	PEAK CROSSING
Raceview School	Raceview State School	96 Wildey St	RACEVIEW
Redbank	Redbank Preschool	19 Brisbane Rd	REDBANK
Redbank Plains	Redbank Plains Preschool	Redbank Plains School Rd	REDBANK PLAINS
Richlands	Richlands Preschool	Orchard Rd	RICHLANDS
Richlands East	Richlands East State School	Barwing St	INALA
Riverview	Riverview State School	131 Old Ipswich Rd	RIVERVIEW
Serviceton South	Serviceton South Preschool	Lorikeet St	INALA
Silkstone	Silkstone State School	Molloy St	SILKSTONE
Springfield	Woodcrest College	Woodcrest Way	SPRINGFIELD
West Ipswich	West Ipswich State School	Kennedy St	WEST IPSWICH


Petrie			
Aspley (Petrie)	Aspley State High School	651 Zillmere Rd	ASPLEY
Aspley West	Aspley State School	Maundrell Tce	ASPLEY
Bald Hills	Bald Hills State School	Gympie Rd	BALD HILLS
Bald Hills North	St Paul's School	34 Strathpine Rd	BALD HILLS
Ballycara	Ballycara Retirement Village	Oyster Point Esp	SCARBOROUGH
