House of Representatives - 2001 Election: Queensland																														
Distribution of Preferences 																														
By Polling Place																														
Capricornia																														
				GILLHAM			CLARKE			LEVER			SCHUBACK			MURPHY			JOHNS			TAYLOR			MUIR			LIVERMORE		
		TOTAL							837	43.23																	1099	56.77		1936
																											Elected			
																														
North Rockhampton                                              																														
	FIRST		7	0.21		178	5.31		684	20.41		16	0.48		21	0.63		72	2.15		616	18.38		33	0.98		1724	51.45		3351
	SECOND		3	14.29		0	0.00		4	19.05		1	4.76			Excluded		5	23.81		2	9.52		0	0.00		6	28.57		21
		TOTAL	10	0.30		178	5.31		688	20.53		17	0.51					77	2.30		618	18.44		33	0.98		1730	51.63		3351
	THIRD			Excluded		4	40.00		1	10.00		1	10.00					0	0.00		1	10.00		1	10.00		2	20.00		10
		TOTAL				182	5.43		689	20.56		18	0.54					77	2.30		619	18.47		34	1.01		1732	51.69		3351
	FOURTH					8	44.44		4	22.22			Excluded					2	11.11		1	5.56		1	5.56		2	11.11		18
		TOTAL				190	5.67		693	20.68								79	2.36		620	18.50		35	1.04		1734	51.75		3351
	FIFTH					3	8.57		5	14.29								11	31.43		3	8.57			Excluded		13	37.14		35
		TOTAL				193	5.76		698	20.83								90	2.69		623	18.59					1747	52.13		3351
	SIXTH					8	8.89		14	15.56									Excluded		11	12.22					57	63.33		90
		TOTAL				201	6.00		712	21.25											634	18.92					1804	53.83		3351
	SEVENTH						Excluded		66	32.84											80	39.80					55	27.36		201
		TOTAL							778	23.22											714	21.31					1859	55.48		3351
	EIGHTH								591	82.77												Excluded					123	17.23		714
		TOTAL							1369	40.85																	1982	59.15		3351
																											Elected			
																														
Park Avenue                                                    																														
	FIRST		15	0.61		188	7.67		396	16.16		15	0.61		8	0.33		49	2.00		353	14.40		28	1.14		1399	57.08		2451
	SECOND		2	25.00		1	12.50		1	12.50		0	0.00			Excluded		0	0.00		2	25.00		1	12.50		1	12.50		8
		TOTAL	17	0.69		189	7.71		397	16.20		15	0.61					49	2.00		355	14.48		29	1.18		1400	57.12		2451
	THIRD			Excluded		7	41.18		1	5.88		5	29.41					1	5.88		0	0.00		2	11.76		1	5.88		17
		TOTAL				196	8.00		398	16.24		20	0.82					50	2.04		355	14.48		31	1.26		1401	57.16		2451
	FOURTH					4	20.00		4	20.00			Excluded					3	15.00		3	15.00		2	10.00		4	20.00		20
		TOTAL				200	8.16		402	16.40								53	2.16		358	14.61		33	1.35		1405	57.32		2451
	FIFTH					3	9.09		1	3.03								11	33.33		4	12.12			Excluded		14	42.42		33
		TOTAL				203	8.28		403	16.44								64	2.61		362	14.77					1419	57.89		2451
	SIXTH					7	10.94		21	32.81									Excluded		7	10.94					29	45.31		64
		TOTAL				210	8.57		424	17.30											369	15.06					1448	59.08		2451
	SEVENTH						Excluded		85	40.48											79	37.62					46	21.90		210
		TOTAL							509	20.77											448	18.28					1494	60.95		2451
	EIGHTH								364	81.25												Excluded					84	18.75		448
		TOTAL							873	35.62																	1578	64.38		2451
																											Elected			
																														
Parkhurst                                                      																														
	FIRST		1	0.06		114	7.05		452	27.95		9	0.56		6	0.37		22	1.36		332	20.53		13	0.80		668	41.31		1617
	SECOND		0	0.00		1	16.67		1	16.67		2	33.33			Excluded		0	0.00		2	33.33		0	0.00		0	0.00		6
		TOTAL	1	0.06		115	7.11		453	28.01		11	0.68					22	1.36		334	20.66		13	0.80		668	41.31		1617
	THIRD			Excluded		0	0.00		1	100.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL				115	7.11		454	28.08		11	0.68					22	1.36		334	20.66		13	0.80		668	41.31		1617
	FOURTH					3	27.27		3	27.27			Excluded					0	0.00		1	9.09		2	18.18		2	18.18		11
		TOTAL				118	7.30		457	28.26								22	1.36		335	20.72		15	0.93		670	41.43		1617
	FIFTH					2	13.33		2	13.33								2	13.33		1	6.67			Excluded		8	53.33		15
		TOTAL				120	7.42		459	28.39								24	1.48		336	20.78					678	41.93		1617
	SIXTH					5	20.83		4	16.67									Excluded		4	16.67					11	45.83		24
		TOTAL				125	7.73		463	28.63											340	21.03					689	42.61		1617
	SEVENTH						Excluded		45	36.00											45	36.00					35	28.00		125
		TOTAL							508	31.42											385	23.81					724	44.77		1617
	EIGHTH								334	86.75												Excluded					51	13.25		385
		TOTAL							842	52.07																	775	47.93		1617
																											Elected			
																														
Port Curtis                                                    																														
	FIRST		2	0.90		31	14.03		39	17.65		1	0.45		1	0.45		1	0.45		28	12.67		4	1.81		114	51.58		221
	SECOND		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL	2	0.90		31	14.03		40	18.10		1	0.45					1	0.45		28	12.67		4	1.81		114	51.58		221
	THIRD			Excluded		2	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL				33	14.93		40	18.10		1	0.45					1	0.45		28	12.67		4	1.81		114	51.58		221
	FOURTH					0	0.00		0	0.00			Excluded					0	0.00		0	0.00		1	100.00		0	0.00		1
		TOTAL				33	14.93		40	18.10								1	0.45		28	12.67		5	2.26		114	51.58		221
	FIFTH					0	0.00		0	0.00								3	60.00		0	0.00			Excluded		2	40.00		5
		TOTAL				33	14.93		40	18.10								4	1.81		28	12.67					116	52.49		221
	SIXTH					0	0.00		1	25.00									Excluded		0	0.00					3	75.00		4
		TOTAL				33	14.93		41	18.55											28	12.67					119	53.85		221
	SEVENTH						Excluded		9	27.27											14	42.42					10	30.30		33
		TOTAL							50	22.62											42	19.00					129	58.37		221
	EIGHTH								35	83.33												Excluded					7	16.67		42
		TOTAL							85	38.46																	136	61.54		221
																											Elected			
																														
Ridgelands                                                     																														
	FIRST		1	0.59		27	15.98		72	42.60		1	0.59		2	1.18		0	0.00		39	23.08		2	1.18		25	14.79		169
	SECOND		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	50.00		1	50.00		2
		TOTAL	1	0.59		27	15.98		72	42.60		1	0.59					0	0.00		39	23.08		3	1.78		26	15.38		169
	THIRD			Excluded		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL				28	16.57		72	42.60		1	0.59					0	0.00		39	23.08		3	1.78		26	15.38		169
	FOURTH					1	100.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL				29	17.16		72	42.60								0	0.00		39	23.08		3	1.78		26	15.38		169
	FIFTH					0	0.00		1	33.33								0	0.00		0	0.00			Excluded		2	66.67		3
		TOTAL				29	17.16		73	43.20								0	0.00		39	23.08					28	16.57		169
	SIXTH					0	0.00		0	0.00									Excluded		0	0.00					0	0.00		0
		TOTAL				29	17.16		73	43.20											39	23.08					28	16.57		169
	SEVENTH						Excluded		11	37.93											13	44.83					5	17.24		29
		TOTAL							84	49.70											52	30.77					33	19.53		169
	EIGHTH								46	88.46												Excluded					6	11.54		52
		TOTAL							130	76.92																	39	23.08		169
																											Elected			
																														
Rockhampton                                                    																														
	FIRST		3	0.46		32	4.94		105	16.20		2	0.31		3	0.46		27	4.17		109	16.82		9	1.39		358	55.25		648
	SECOND		0	0.00		2	66.67		1	33.33		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL	3	0.46		34	5.25		106	16.36		2	0.31					27	4.17		109	16.82		9	1.39		358	55.25		648
	THIRD			Excluded		2	66.67		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1	33.33		3
		TOTAL				36	5.56		106	16.36		2	0.31					27	4.17		109	16.82		9	1.39		359	55.40		648
	FOURTH					1	50.00		1	50.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL				37	5.71		107	16.51								27	4.17		109	16.82		9	1.39		359	55.40		648
	FIFTH					1	11.11		0	0.00								3	33.33		2	22.22			Excluded		3	33.33		9
		TOTAL				38	5.86		107	16.51								30	4.63		111	17.13					362	55.86		648
	SIXTH					5	16.67		2	6.67									Excluded		3	10.00					20	66.67		30
		TOTAL				43	6.64		109	16.82											114	17.59					382	58.95		648
	SEVENTH						Excluded		22	51.16											8	18.60					13	30.23		43
		TOTAL							131	20.22											122	18.83					395	60.96		648
	EIGHTH								87	71.31												Excluded					35	28.69		122
		TOTAL							218	33.64																	430	66.36		648
																											Elected			
																														
Rockhampton Central                                            																														
	FIRST		0	0.00		21	9.33		42	18.67		2	0.89		2	0.89		2	0.89		32	14.22		3	1.33		121	53.78		225
	SECOND		0	0.00		1	50.00		1	50.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL	0	0.00		22	9.78		43	19.11		2	0.89					2	0.89		32	14.22		3	1.33		121	53.78		225
	THIRD			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				22	9.78		43	19.11		2	0.89					2	0.89		32	14.22		3	1.33		121	53.78		225
	FOURTH					0	0.00		2	100.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL				22	9.78		45	20.00								2	0.89		32	14.22		3	1.33		121	53.78		225
	FIFTH					0	0.00		0	0.00								2	66.67		0	0.00			Excluded		1	33.33		3
		TOTAL				22	9.78		45	20.00								4	1.78		32	14.22					122	54.22		225
	SIXTH					0	0.00		1	25.00									Excluded		0	0.00					3	75.00		4
		TOTAL				22	9.78		46	20.44											32	14.22					125	55.56		225
	SEVENTH						Excluded		10	45.45											6	27.27					6	27.27		22
		TOTAL							56	24.89											38	16.89					131	58.22		225
	EIGHTH								34	89.47												Excluded					4	10.53		38
		TOTAL							90	40.00																	135	60.00		225
																											Elected			
																														
Rockhampton High School                                        																														
	FIRST		5	0.26		121	6.37		340	17.89		17	0.89		6	0.32		33	1.74		322	16.95		33	1.74		1023	53.84		1900
	SECOND		0	0.00		1	16.67		1	16.67		2	33.33			Excluded		1	16.67		0	0.00		0	0.00		1	16.67		6
		TOTAL	5	0.26		122	6.42		341	17.95		19	1.00					34	1.79		322	16.95		33	1.74		1024	53.89		1900
	THIRD			Excluded		4	80.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1	20.00		5
		TOTAL				126	6.63		341	17.95		19	1.00					34	1.79		322	16.95		33	1.74		1025	53.95		1900
	FOURTH					5	26.32		2	10.53			Excluded					4	21.05		3	15.79		2	10.53		3	15.79		19
		TOTAL				131	6.89		343	18.05								38	2.00		325	17.11		35	1.84		1028	54.11		1900
	FIFTH					0	0.00		3	8.57								14	40.00		4	11.43			Excluded		14	40.00		35
		TOTAL				131	6.89		346	18.21								52	2.74		329	17.32					1042	54.84		1900
	SIXTH					6	11.54		8	15.38									Excluded		4	7.69					34	65.38		52
		TOTAL				137	7.21		354	18.63											333	17.53					1076	56.63		1900
	SEVENTH						Excluded		55	40.15											47	34.31					35	25.55		137
		TOTAL							409	21.53											380	20.00					1111	58.47		1900
	EIGHTH								316	83.16												Excluded					64	16.84		380
		TOTAL							725	38.16																	1175	61.84		1900
																											Elected			
																														
Rockhampton South                                              																														
	FIRST		5	0.32		57	3.67		509	32.78		3	0.19		0	0.00		22	1.42		314	20.22		23	1.48		620	39.92		1553
	SECOND		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL	5	0.32		57	3.67		509	32.78		3	0.19					22	1.42		314	20.22		23	1.48		620	39.92		1553
	THIRD			Excluded		5	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		5
		TOTAL				62	3.99		509	32.78		3	0.19					22	1.42		314	20.22		23	1.48		620	39.92		1553
	FOURTH					1	33.33		0	0.00			Excluded					0	0.00		0	0.00		1	33.33		1	33.33		3
		TOTAL				63	4.06		509	32.78								22	1.42		314	20.22		24	1.55		621	39.99		1553
	FIFTH					1	4.17		3	12.50								7	29.17		1	4.17			Excluded		12	50.00		24
		TOTAL				64	4.12		512	32.97								29	1.87		315	20.28					633	40.76		1553
	SIXTH					0	0.00		2	6.90									Excluded		2	6.90					25	86.21		29
		TOTAL				64	4.12		514	33.10											317	20.41					658	42.37		1553
	SEVENTH						Excluded		29	45.31											22	34.38					13	20.31		64
		TOTAL							543	34.96											339	21.83					671	43.21		1553
	EIGHTH								305	89.97												Excluded					34	10.03		339
		TOTAL							848	54.60																	705	45.40		1553
																											Elected			
																														
St Brendan's College                                           																														
	FIRST		4	0.47		62	7.29		227	26.67		6	0.71		1	0.12		21	2.47		137	16.10		24	2.82		369	43.36		851
	SECOND		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL	4	0.47		62	7.29		228	26.79		6	0.71					21	2.47		137	16.10		24	2.82		369	43.36		851
	THIRD			Excluded		3	75.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1	25.00		4
		TOTAL				65	7.64		228	26.79		6	0.71					21	2.47		137	16.10		24	2.82		370	43.48		851
	FOURTH					3	50.00		1	16.67			Excluded					0	0.00		1	16.67		1	16.67		0	0.00		6
		TOTAL				68	7.99		229	26.91								21	2.47		138	16.22		25	2.94		370	43.48		851
	FIFTH					1	4.00		2	8.00								11	44.00		2	8.00			Excluded		9	36.00		25
		TOTAL				69	8.11		231	27.14								32	3.76		140	16.45					379	44.54		851
	SIXTH					5	15.63		6	18.75									Excluded		6	18.75					15	46.88		32
		TOTAL				74	8.70		237	27.85											146	17.16					394	46.30		851
	SEVENTH						Excluded		28	37.84											27	36.49					19	25.68		74
		TOTAL							265	31.14											173	20.33					413	48.53		851
	EIGHTH								153	88.44												Excluded					20	11.56		173
		TOTAL							418	49.12																	433	50.88		851
																											Elected			
																														
St Lawrence                                                    																														
	FIRST		3	2.31		21	16.15		34	26.15		2	1.54		3	2.31		1	0.77		22	16.92		0	0.00		44	33.85		130
	SECOND		0	0.00		0	0.00		0	0.00		3	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL	3	2.31		21	16.15		34	26.15		5	3.85					1	0.77		22	16.92		0	0.00		44	33.85		130
	THIRD			Excluded		3	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL				24	18.46		34	26.15		5	3.85					1	0.77		22	16.92		0	0.00		44	33.85		130
	FOURTH					0	0.00		1	20.00			Excluded					1	20.00		0	0.00		0	0.00		3	60.00		5
		TOTAL				24	18.46		35	26.92								2	1.54		22	16.92		0	0.00		47	36.15		130
	FIFTH					0	0.00		0	0.00								0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL				24	18.46		35	26.92								2	1.54		22	16.92					47	36.15		130
	SIXTH					0	0.00		1	50.00									Excluded		1	50.00					0	0.00		2
		TOTAL				24	18.46		36	27.69											23	17.69					47	36.15		130
	SEVENTH						Excluded		19	79.17											1	4.17					4	16.67		24
		TOTAL							55	42.31											24	18.46					51	39.23		130
	EIGHTH								19	79.17												Excluded					5	20.83		24
		TOTAL							74	56.92																	56	43.08		130
																											Elected			
																														
Stanwell                                                       																														
	FIRST		2	0.84		38	16.03		57	24.05		4	1.69		1	0.42		4	1.69		45	18.99		2	0.84		84	35.44		237
	SECOND		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL	2	0.84		38	16.03		57	24.05		4	1.69					5	2.11		45	18.99		2	0.84		84	35.44		237
	THIRD			Excluded		2	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL				40	16.88		57	24.05		4	1.69					5	2.11		45	18.99		2	0.84		84	35.44		237
	FOURTH					1	25.00		0	0.00			Excluded					0	0.00		1	25.00		1	25.00		1	25.00		4
		TOTAL				41	17.30		57	24.05								5	2.11		46	19.41		3	1.27		85	35.86		237
	FIFTH					2	66.67		0	0.00								0	0.00		0	0.00			Excluded		1	33.33		3
		TOTAL				43	18.14		57	24.05								5	2.11		46	19.41					86	36.29		237
	SIXTH					3	60.00		0	0.00									Excluded		0	0.00					2	40.00		5
		TOTAL				46	19.41		57	24.05											46	19.41					88	37.13		237
	SEVENTH						Excluded		21	45.65											16	34.78					9	19.57		46
		TOTAL							78	32.91											62	26.16					97	40.93		237
	EIGHTH								53	85.48												Excluded					9	14.52		62
		TOTAL							131	55.27																	106	44.73		237
																											Elected			
																														
Taranganba                                                     																														
	FIRST		11	0.52		114	5.39		529	25.02		11	0.52		9	0.43		41	1.94		440	20.81		48	2.27		911	43.09		2114
	SECOND		1	11.11		1	11.11		4	44.44		1	11.11			Excluded		0	0.00		1	11.11		1	11.11		0	0.00		9
		TOTAL	12	0.57		115	5.44		533	25.21		12	0.57					41	1.94		441	20.86		49	2.32		911	43.09		2114
	THIRD			Excluded		8	66.67		1	8.33		1	8.33					0	0.00		1	8.33		0	0.00		1	8.33		12
		TOTAL				123	5.82		534	25.26		13	0.61					41	1.94		442	20.91		49	2.32		912	43.14		2114
	FOURTH					4	30.77		4	30.77			Excluded					2	15.38		0	0.00		2	15.38		1	7.69		13
		TOTAL				127	6.01		538	25.45								43	2.03		442	20.91		51	2.41		913	43.19		2114
	FIFTH					4	7.84		5	9.80								21	41.18		4	7.84			Excluded		17	33.33		51
		TOTAL				131	6.20		543	25.69								64	3.03		446	21.10					930	43.99		2114
	SIXTH					6	9.38		8	12.50									Excluded		8	12.50					42	65.63		64
		TOTAL				137	6.48		551	26.06											454	21.48					972	45.98		2114
	SEVENTH						Excluded		60	43.80											34	24.82					43	31.39		137
		TOTAL							611	28.90											488	23.08					1015	48.01		2114
	EIGHTH								422	86.48												Excluded					66	13.52		488
		TOTAL							1033	48.86																	1081	51.14		2114
																											Elected			
																														
The Caves                                                      																														
	FIRST		2	0.30		83	12.50		242	36.45		4	0.60		4	0.60		9	1.36		104	15.66		7	1.05		209	31.48		664
	SECOND		0	0.00		0	0.00		0	0.00		1	25.00			Excluded		0	0.00		0	0.00		1	25.00		2	50.00		4
		TOTAL	2	0.30		83	12.50		242	36.45		5	0.75					9	1.36		104	15.66		8	1.20		211	31.78		664
	THIRD			Excluded		2	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL				85	12.80		242	36.45		5	0.75					9	1.36		104	15.66		8	1.20		211	31.78		664
	FOURTH					1	20.00		0	0.00			Excluded					1	20.00		1	20.00		2	40.00		0	0.00		5
		TOTAL				86	12.95		242	36.45								10	1.51		105	15.81		10	1.51		211	31.78		664
	FIFTH					0	0.00		2	20.00								1	10.00		3	30.00			Excluded		4	40.00		10
		TOTAL				86	12.95		244	36.75								11	1.66		108	16.27					215	32.38		664
	SIXTH					2	18.18		6	54.55									Excluded		2	18.18					1	9.09		11
		TOTAL				88	13.25		250	37.65											110	16.57					216	32.53		664
	SEVENTH						Excluded		35	39.77											39	44.32					14	15.91		88
		TOTAL							285	42.92											149	22.44					230	34.64		664
	EIGHTH								129	86.58												Excluded					20	13.42		149
		TOTAL							414	62.35																	250	37.65		664
																											Elected			
																														
Tieri                                                          																														
	FIRST		1	0.17		16	2.73		74	12.63		3	0.51		5	0.85		11	1.88		50	8.53		5	0.85		421	71.84		586
	SECOND		0	0.00		0	0.00		0	0.00		3	60.00			Excluded		0	0.00		1	20.00		0	0.00		1	20.00		5
		TOTAL	1	0.17		16	2.73		74	12.63		6	1.02					11	1.88		51	8.70		5	0.85		422	72.01		586
	THIRD			Excluded		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL				17	2.90		74	12.63		6	1.02					11	1.88		51	8.70		5	0.85		422	72.01		586
	FOURTH					1	16.67		1	16.67			Excluded					4	66.67		0	0.00		0	0.00		0	0.00		6
		TOTAL				18	3.07		75	12.80								15	2.56		51	8.70		5	0.85		422	72.01		586
	FIFTH					1	20.00		0	0.00								1	20.00		1	20.00			Excluded		2	40.00		5
		TOTAL				19	3.24		75	12.80								16	2.73		52	8.87					424	72.35		586
	SIXTH					0	0.00		4	25.00									Excluded		6	37.50					6	37.50		16
		TOTAL				19	3.24		79	13.48											58	9.90					430	73.38		586
	SEVENTH						Excluded		7	36.84											4	21.05					8	42.11		19
		TOTAL							86	14.68											62	10.58					438	74.74		586
	EIGHTH								48	77.42												Excluded					14	22.58		62
		TOTAL							134	22.87																	452	77.13		586
																											Elected			
																														
Wandal                                                         																														
	FIRST		4	0.48		45	5.39		232	27.78		3	0.36		4	0.48		24	2.87		137	16.41		7	0.84		379	45.39		835
	SECOND		0	0.00		0	0.00		1	25.00		1	25.00			Excluded		1	25.00		0	0.00		0	0.00		1	25.00		4
		TOTAL	4	0.48		45	5.39		233	27.90		4	0.48					25	2.99		137	16.41		7	0.84		380	45.51		835
	THIRD			Excluded		3	75.00		1	25.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		4
		TOTAL				48	5.75		234	28.02		4	0.48					25	2.99		137	16.41		7	0.84		380	45.51		835
	FOURTH					2	50.00		1	25.00			Excluded					0	0.00		0	0.00		0	0.00		1	25.00		4
		TOTAL				50	5.99		235	28.14								25	2.99		137	16.41		7	0.84		381	45.63		835
	FIFTH					0	0.00		1	14.29								3	42.86		0	0.00			Excluded		3	42.86		7
		TOTAL				50	5.99		236	28.26								28	3.35		137	16.41					384	45.99		835
	SIXTH					5	17.86		5	17.86									Excluded		4	14.29					14	50.00		28
		TOTAL				55	6.59		241	28.86											141	16.89					398	47.66		835
	SEVENTH						Excluded		26	47.27											17	30.91					12	21.82		55
		TOTAL							267	31.98											158	18.92					410	49.10		835
	EIGHTH								141	89.24												Excluded					17	10.76		158
		TOTAL							408	48.86																	427	51.14		835
																											Elected			
																														
Westwood                                                       																														
	FIRST		0	0.00		15	14.85		40	39.60		0	0.00		1	0.99		1	0.99		9	8.91		0	0.00		35	34.65		101
	SECOND		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL	0	0.00		15	14.85		40	39.60		1	0.99					1	0.99		9	8.91		0	0.00		35	34.65		101
	THIRD			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				15	14.85		40	39.60		1	0.99					1	0.99		9	8.91		0	0.00		35	34.65		101
	FOURTH					1	100.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL				16	15.84		40	39.60								1	0.99		9	8.91		0	0.00		35	34.65		101
	FIFTH					0	0.00		0	0.00								0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL				16	15.84		40	39.60								1	0.99		9	8.91					35	34.65		101
	SIXTH					0	0.00		1	100.00									Excluded		0	0.00					0	0.00		1
		TOTAL				16	15.84		41	40.59											9	8.91					35	34.65		101
	SEVENTH						Excluded		7	43.75											5	31.25					4	25.00		16
		TOTAL							48	47.52											14	13.86					39	38.61		101
	EIGHTH								10	71.43												Excluded					4	28.57		14
		TOTAL							58	57.43																	43	42.57		101
																											Elected			
																														
Winton                                                         																														
	FIRST		11	1.79		64	10.39		174	28.25		8	1.30		1	0.16		7	1.14		122	19.81		3	0.49		226	36.69		616
	SECOND		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		1
		TOTAL	11	1.79		64	10.39		174	28.25		8	1.30					7	1.14		122	19.81		3	0.49		227	36.85		616
	THIRD			Excluded		11	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		11
		TOTAL				75	12.18		174	28.25		8	1.30					7	1.14		122	19.81		3	0.49		227	36.85		616
	FOURTH					1	12.50		2	25.00			Excluded					2	25.00		2	25.00		1	12.50		0	0.00		8
		TOTAL				76	12.34		176	28.57								9	1.46		124	20.13		4	0.65		227	36.85		616
	FIFTH					0	0.00		0	0.00								1	25.00		0	0.00			Excluded		3	75.00		4
		TOTAL				76	12.34		176	28.57								10	1.62		124	20.13					230	37.34		616
	SIXTH					1	10.00		4	40.00									Excluded		2	20.00					3	30.00		10
		TOTAL				77	12.50		180	29.22											126	20.45					233	37.82		616
	SEVENTH						Excluded		36	46.75											28	36.36					13	16.88		77
		TOTAL							216	35.06											154	25.00					246	39.94		616
	EIGHTH								120	77.92												Excluded					34	22.08		154
		TOTAL							336	54.55																	280	45.45		616
																											Elected			
																														
Yaamba                                                         																														
	FIRST		0	0.00		21	14.89		53	37.59		1	0.71		1	0.71		1	0.71		37	26.24		1	0.71		26	18.44		141
	SECOND		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		1
		TOTAL	0	0.00		21	14.89		53	37.59		1	0.71					1	0.71		37	26.24		1	0.71		27	19.15		141
	THIRD			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				21	14.89		53	37.59		1	0.71					1	0.71		37	26.24		1	0.71		27	19.15		141
	FOURTH					0	0.00		0	0.00			Excluded					0	0.00		1	100.00		0	0.00		0	0.00		1
		TOTAL				21	14.89		53	37.59								1	0.71		38	26.95		1	0.71		27	19.15		141
	FIFTH					0	0.00		0	0.00								0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL				21	14.89		53	37.59								1	0.71		38	26.95					28	19.86		141
	SIXTH					0	0.00		0	0.00									Excluded		0	0.00					1	100.00		1
		TOTAL				21	14.89		53	37.59											38	26.95					29	20.57		141
	SEVENTH						Excluded		9	42.86											9	42.86					3	14.29		21
		TOTAL							62	43.97											47	33.33					32	22.70		141
	EIGHTH								43	91.49												Excluded					4	8.51		47
		TOTAL							105	74.47																	36	25.53		141
																											Elected			
																														
Yeppoon                                                        																														
	FIRST		21	0.61		252	7.27		745	21.48		26	0.75		16	0.46		107	3.09		674	19.43		101	2.91		1526	44.00		3468
	SECOND		0	0.00		1	6.25		2	12.50		8	50.00			Excluded		0	0.00		2	12.50		3	18.75		0	0.00		16
		TOTAL	21	0.61		253	7.30		747	21.54		34	0.98					107	3.09		676	19.49		104	3.00		1526	44.00		3468
	THIRD			Excluded		15	71.43		2	9.52		1	4.76					0	0.00		1	4.76		1	4.76		1	4.76		21
		TOTAL				268	7.73		749	21.60		35	1.01					107	3.09		677	19.52		105	3.03		1527	44.03		3468
	FOURTH					12	34.29		6	17.14			Excluded					6	17.14		1	2.86		5	14.29		5	14.29		35
		TOTAL				280	8.07		755	21.77								113	3.26		678	19.55		110	3.17		1532	44.18		3468
	FIFTH					13	11.82		12	10.91								42	38.18		4	3.64			Excluded		39	35.45		110
		TOTAL				293	8.45		767	22.12								155	4.47		682	19.67					1571	45.30		3468
	SIXTH					15	9.68		26	16.77									Excluded		14	9.03					100	64.52		155
		TOTAL				308	8.88		793	22.87											696	20.07					1671	48.18		3468
	SEVENTH						Excluded		122	39.61											112	36.36					74	24.03		308
		TOTAL							915	26.38											808	23.30					1745	50.32		3468
	EIGHTH								704	87.13												Excluded					104	12.87		808
		TOTAL							1619	46.68																	1849	53.32		3468
																											Elected			
																														
Special Hospital Team 1                                        																														
	FIRST		9	4.97		7	3.87		30	16.57		4	2.21		0	0.00		3	1.66		54	29.83		1	0.55		73	40.33		181
	SECOND		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL	9	4.97		7	3.87		30	16.57		4	2.21					3	1.66		54	29.83		1	0.55		73	40.33		181
	THIRD			Excluded		8	88.89		1	11.11		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		9
		TOTAL				15	8.29		31	17.13		4	2.21					3	1.66		54	29.83		1	0.55		73	40.33		181
	FOURTH					0	0.00		3	75.00			Excluded					1	25.00		0	0.00		0	0.00		0	0.00		4
		TOTAL				15	8.29		34	18.78								4	2.21		54	29.83		1	0.55		73	40.33		181
