House of Representatives - 2001 Election: Tasmania																												
Distribution of Preferences 																												
By Polling Place																												
																												
Bass																												
				COLLINS			DOCKRAY			BOOTH			LARNER			BENNEWORTH			O'BYRNE			COLGRAVE			HARDMAN			
		TOTAL		14	4.42					25	7.89					165	52.05		109	34.38		4	1.26					317
	FIFTH				Excluded					4	28.57					5	35.71		4	28.57		1	7.14					14
		TOTAL								29	9.15					170	53.63		113	35.65		5	1.58					317
	SIXTH									2	40.00					1	20.00		2	40.00			Excluded					5
		TOTAL								31	9.78					171	53.94		115	36.28								317
	SEVENTH										Excluded					6	19.35		25	80.65								31
		TOTAL														177	55.84		140	44.16								317
																			Elected									
																												
Windmill Hill                                                  																												
	FIRST			10	1.51		13	1.96		80	12.07		1	0.15		336	50.68		183	27.60		38	5.73		2	0.30		663
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		1
		TOTAL		10	1.51		13	1.96		80	12.07					336	50.68		184	27.75		38	5.73		2	0.30		663
	THIRD			0	0.00		0	0.00		0	0.00					2	100.00		0	0.00		0	0.00			Excluded		2
		TOTAL		10	1.51		13	1.96		80	12.07					338	50.98		184	27.75		38	5.73					663
	FOURTH			0	0.00			Excluded		5	38.46					4	30.77		2	15.38		2	15.38					13
		TOTAL		10	1.51					85	12.82					342	51.58		186	28.05		40	6.03					663
	FIFTH				Excluded					5	50.00					2	20.00		1	10.00		2	20.00					10
		TOTAL								90	13.57					344	51.89		187	28.21		42	6.33					663
	SIXTH									17	40.48					11	26.19		14	33.33			Excluded					42
		TOTAL								107	16.14					355	53.54		201	30.32								663
	SEVENTH										Excluded					33	30.84		74	69.16								107
		TOTAL														388	58.52		275	41.48								663
																			Elected									
																												
Winnaleah                                                      																												
	FIRST			11	5.14		5	2.34		4	1.87		1	0.47		130	60.75		57	26.64		3	1.40		3	1.40		214
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		11	5.14		5	2.34		4	1.87					131	61.21		57	26.64		3	1.40		3	1.40		214
	THIRD			2	66.67		0	0.00		0	0.00					0	0.00		1	33.33		0	0.00			Excluded		3
		TOTAL		13	6.07		5	2.34		4	1.87					131	61.21		58	27.10		3	1.40					214
	FOURTH			1	20.00			Excluded		1	20.00					3	60.00		0	0.00		0	0.00					5
		TOTAL		14	6.54					5	2.34					134	62.62		58	27.10		3	1.40					214
	FIFTH				Excluded					3	21.43					4	28.57		3	21.43		4	28.57					14
		TOTAL								8	3.74					138	64.49		61	28.50		7	3.27					214
	SIXTH									3	42.86					2	28.57		2	28.57			Excluded					7
		TOTAL								11	5.14					140	65.42		63	29.44								214
	SEVENTH										Excluded					5	45.45		6	54.55								11
		TOTAL														145	67.76		69	32.24								214
																			Elected									
																												
Young Town                                                     																												
	FIRST			40	2.48		25	1.55		67	4.15		8	0.50		631	39.10		782	48.45		54	3.35		7	0.43		1614
	SECOND			1	12.50		0	0.00		3	37.50			Excluded		2	25.00		1	12.50		1	12.50		0	0.00		8
		TOTAL		41	2.54		25	1.55		70	4.34					633	39.22		783	48.51		55	3.41		7	0.43		1614
	THIRD			2	28.57		0	0.00		1	14.29					2	28.57		1	14.29		1	14.29			Excluded		7
		TOTAL		43	2.66		25	1.55		71	4.40					635	39.34		784	48.57		56	3.47					1614
	FOURTH			4	16.00			Excluded		10	40.00					7	28.00		2	8.00		2	8.00					25
		TOTAL		47	2.91					81	5.02					642	39.78		786	48.70		58	3.59					1614
	FIFTH				Excluded					17	36.17					12	25.53		12	25.53		6	12.77					47
		TOTAL								98	6.07					654	40.52		798	49.44		64	3.97					1614
	SIXTH									26	40.63					12	18.75		26	40.63			Excluded					64
		TOTAL								124	7.68					666	41.26		824	51.05								1614
	SEVENTH										Excluded					60	48.39		64	51.61								124
		TOTAL														726	44.98		888	55.02								1614
																			Elected									
																												
Special Hospital Team 1                                        																												
	FIRST			7	3.59		2	1.03		5	2.56		0	0.00		112	57.44		67	34.36		1	0.51		1	0.51		195
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		7	3.59		2	1.03		5	2.56					112	57.44		67	34.36		1	0.51		1	0.51		195
	THIRD			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		1	100.00			Excluded		1
		TOTAL		7	3.59		2	1.03		5	2.56					112	57.44		67	34.36		2	1.03					195
	FOURTH			0	0.00			Excluded		0	0.00					2	100.00		0	0.00		0	0.00					2
		TOTAL		7	3.59					5	2.56					114	58.46		67	34.36		2	1.03					195
	FIFTH				Excluded					3	42.86					1	14.29		3	42.86		0	0.00					7
		TOTAL								8	4.10					115	58.97		70	35.90		2	1.03					195
	SIXTH									1	50.00					0	0.00		1	50.00			Excluded					2
		TOTAL								9	4.62					115	58.97		71	36.41								195
	SEVENTH										Excluded					7	77.78		2	22.22								9
		TOTAL														122	62.56		73	37.44								195
																			Elected									
																												
Special Hospital Team 2                                        																												
	FIRST			5	3.33		5	3.33		3	2.00		1	0.67		84	56.00		49	32.67		2	1.33		1	0.67		150
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		5	3.33		6	4.00		3	2.00					84	56.00		49	32.67		2	1.33		1	0.67		150
	THIRD			0	0.00		0	0.00		0	0.00					1	100.00		0	0.00		0	0.00			Excluded		1
		TOTAL		5	3.33		6	4.00		3	2.00					85	56.67		49	32.67		2	1.33					150
	FOURTH			2	33.33			Excluded		2	33.33					1	16.67		1	16.67		0	0.00					6
		TOTAL		7	4.67					5	3.33					86	57.33		50	33.33		2	1.33					150
	FIFTH				Excluded					5	71.43					1	14.29		1	14.29		0	0.00					7
		TOTAL								10	6.67					87	58.00		51	34.00		2	1.33					150
	SIXTH									1	50.00					1	50.00		0	0.00			Excluded					2
		TOTAL								11	7.33					88	58.67		51	34.00								150
	SEVENTH										Excluded					8	72.73		3	27.27								11
		TOTAL														96	64.00		54	36.00								150
																			Elected									
																												
Special Hospital Team 3                                        																												
	FIRST			2	2.99		1	1.49		2	2.99		1	1.49		36	53.73		25	37.31		0	0.00		0	0.00		67
	SECOND			1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		3	4.48		1	1.49		2	2.99					36	53.73		25	37.31		0	0.00		0	0.00		67
	THIRD			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		3	4.48		1	1.49		2	2.99					36	53.73		25	37.31		0	0.00					67
	FOURTH			0	0.00			Excluded		0	0.00					1	100.00		0	0.00		0	0.00					1
		TOTAL		3	4.48					2	2.99					37	55.22		25	37.31		0	0.00					67
	FIFTH				Excluded					2	66.67					0	0.00		1	33.33		0	0.00					3
		TOTAL								4	5.97					37	55.22		26	38.81		0	0.00					67
	SIXTH									0	0.00					0	0.00		0	0.00			Excluded					0
		TOTAL								4	5.97					37	55.22		26	38.81								67
	SEVENTH										Excluded					2	50.00		2	50.00								4
		TOTAL														39	58.21		28	41.79								67
																			Elected									
																												
Special Hospital Team 4                                        																												
	FIRST			7	2.43		2	0.69		6	2.08		1	0.35		165	57.29		104	36.11		2	0.69		1	0.35		288
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		7	2.43		2	0.69		6	2.08					166	57.64		104	36.11		2	0.69		1	0.35		288
	THIRD			0	0.00		0	0.00		0	0.00					0	0.00		1	100.00		0	0.00			Excluded		1
		TOTAL		7	2.43		2	0.69		6	2.08					166	57.64		105	36.46		2	0.69					288
	FOURTH			1	50.00			Excluded		0	0.00					0	0.00		1	50.00		0	0.00					2
		TOTAL		8	2.78					6	2.08					166	57.64		106	36.81		2	0.69					288
	FIFTH				Excluded					4	50.00					3	37.50		0	0.00		1	12.50					8
		TOTAL								10	3.47					169	58.68		106	36.81		3	1.04					288
	SIXTH									0	0.00					0	0.00		3	100.00			Excluded					3
		TOTAL								10	3.47					169	58.68		109	37.85								288
	SEVENTH										Excluded					8	80.00		2	20.00								10
		TOTAL														177	61.46		111	38.54								288
																			Elected									
																												
ABSENT																												
	FIRST			77	3.26		47	1.99		241	10.21		11	0.47		946	40.07		906	38.37		105	4.45		28	1.19		2361
	SECOND			3	27.27		0	0.00		3	27.27			Excluded		2	18.18		3	27.27		0	0.00		0	0.00		11
		TOTAL		80	3.39		47	1.99		244	10.33					948	40.15		909	38.50		105	4.45		28	1.19		2361
	THIRD			4	14.29		1	3.57		4	14.29					4	14.29		8	28.57		7	25.00			Excluded		28
		TOTAL		84	3.56		48	2.03		248	10.50					952	40.32		917	38.84		112	4.74					2361
	FOURTH			5	10.42			Excluded		13	27.08					20	41.67		7	14.58		3	6.25					48
		TOTAL		89	3.77					261	11.05					972	41.17		924	39.14		115	4.87					2361
	FIFTH				Excluded					38	42.70					25	28.09		21	23.60		5	5.62					89
		TOTAL								299	12.66					997	42.23		945	40.03		120	5.08					2361
	SIXTH									45	37.50					29	24.17		46	38.33			Excluded					120
		TOTAL								344	14.57					1026	43.46		991	41.97								2361
	SEVENTH										Excluded					135	39.24		209	60.76								344
		TOTAL														1161	49.17		1200	50.83								2361
																			Elected									
																												
POSTAL																												
	FIRST			76	2.78		35	1.28		122	4.47		3	0.11		1156	42.31		1242	45.46		75	2.75		23	0.84		2732
	SECOND			1	33.33		0	0.00		0	0.00			Excluded		0	0.00		1	33.33		0	0.00		1	33.33		3
		TOTAL		77	2.82		35	1.28		122	4.47					1156	42.31		1243	45.50		75	2.75		24	0.88		2732
	THIRD			8	33.33		1	4.17		3	12.50					3	12.50		5	20.83		4	16.67			Excluded		24
		TOTAL		85	3.11		36	1.32		125	4.58					1159	42.42		1248	45.68		79	2.89					2732
	FOURTH			3	8.33			Excluded		9	25.00					17	47.22		5	13.89		2	5.56					36
		TOTAL		88	3.22					134	4.90					1176	43.05		1253	45.86		81	2.96					2732
	FIFTH				Excluded					32	36.36					33	37.50		18	20.45		5	5.68					88
		TOTAL								166	6.08					1209	44.25		1271	46.52		86	3.15					2732
	SIXTH									36	41.86					15	17.44		35	40.70			Excluded					86
		TOTAL								202	7.39					1224	44.80		1306	47.80								2732
	SEVENTH										Excluded					80	39.60		122	60.40								202
		TOTAL														1304	47.73		1428	52.27								2732
																			Elected									
																												
PRE POLL																												
	FIRST			81	3.21		62	2.45		207	8.19		12	0.48		1103	43.67		925	36.62		100	3.96		36	1.43		2526
	SECOND			2	16.67		1	8.33		1	8.33			Excluded		5	41.67		2	16.67		1	8.33		0	0.00		12
		TOTAL		83	3.29		63	2.49		208	8.23					1108	43.86		927	36.70		101	4.00		36	1.43		2526
	THIRD			15	41.67		5	13.89		1	2.78					5	13.89		6	16.67		4	11.11			Excluded		36
		TOTAL		98	3.88		68	2.69		209	8.27					1113	44.06		933	36.94		105	4.16					2526
	FOURTH			11	16.18			Excluded		16	23.53					34	50.00		3	4.41		4	5.88					68
		TOTAL		109	4.32					225	8.91					1147	45.41		936	37.05		109	4.32					2526
	FIFTH				Excluded					37	33.94					32	29.36		23	21.10		17	15.60					109
		TOTAL								262	10.37					1179	46.67		959	37.97		126	4.99					2526
	SIXTH									47	37.30					32	25.40		47	37.30			Excluded					126
		TOTAL								309	12.23					1211	47.94		1006	39.83								2526
	SEVENTH										Excluded					98	31.72		211	68.28								309
		TOTAL														1309	51.82		1217	48.18								2526
																			Elected									
																												
PROVISIONAL																												
	FIRST			28	3.76		16	2.15		45	6.05		3	0.40		205	27.55		399	53.63		36	4.84		12	1.61		744
	SECOND			0	0.00		1	33.33		2	66.67			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		28	3.76		17	2.28		47	6.32					205	27.55		399	53.63		36	4.84		12	1.61		744
	THIRD			4	33.33		1	8.33		1	8.33					0	0.00		4	33.33		2	16.67			Excluded		12
		TOTAL		32	4.30		18	2.42		48	6.45					205	27.55		403	54.17		38	5.11					744
	FOURTH			5	27.78			Excluded		2	11.11					5	27.78		1	5.56		5	27.78					18
		TOTAL		37	4.97					50	6.72					210	28.23		404	54.30		43	5.78					744
	FIFTH				Excluded					20	54.05					9	24.32		5	13.51		3	8.11					37
		TOTAL								70	9.41					219	29.44		409	54.97		46	6.18					744
	SIXTH									15	32.61					11	23.91		20	43.48			Excluded					46
		TOTAL								85	11.42					230	30.91		429	57.66								744
	SEVENTH										Excluded					38	44.71		47	55.29								85
		TOTAL														268	36.02		476	63.98								744
																			Elected									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
