House of Representatives - 2001 Election: New South Wales																												
Distribution of Preferences 																												
By Polling Place																												
																												
Berowra																												
				SPARKS			BALL			CHOI			SLATER			RUDDOCK			GALE			NANNELLI			GALLAGHER			
	THIRD			7	14.00		0	0.00			Excluded		21	42.00		13	26.00		8	16.00		1	2.00					50
		TOTAL		117	3.98		65	2.21					521	17.70		2075	70.51		107	3.64		58	1.97					2943
	FOURTH			2	3.08			Excluded					15	23.08		28	43.08		4	6.15		16	24.62					65
		TOTAL		119	4.04								536	18.21		2103	71.46		111	3.77		74	2.51					2943
	FIFTH			12	16.22								14	18.92		32	43.24		16	21.62			Excluded					74
		TOTAL		131	4.45								550	18.69		2135	72.55		127	4.32								2943
	SIXTH			74	58.27								27	21.26		26	20.47			Excluded								127
		TOTAL		205	6.97								577	19.61		2161	73.43											2943
	SEVENTH				Excluded								147	71.71		58	28.29											205
		TOTAL											724	24.60		2219	75.40											2943
																Elected												
																												
PRE POLL																												
	FIRST			273	6.28		99	2.28		73	1.68		983	22.60		2556	58.77		212	4.87		73	1.68		80	1.84		4349
	SECOND			11	13.75		6	7.50		2	2.50		14	17.50		21	26.25		20	25.00		6	7.50			Excluded		80
		TOTAL		284	6.53		105	2.41		75	1.72		997	22.92		2577	59.26		232	5.33		79	1.82					4349
	THIRD			9	12.00		2	2.67			Excluded		39	52.00		10	13.33		14	18.67		1	1.33					75
		TOTAL		293	6.74		107	2.46					1036	23.82		2587	59.48		246	5.66		80	1.84					4349
	FOURTH			20	18.69			Excluded					25	23.36		36	33.64		8	7.48		18	16.82					107
		TOTAL		313	7.20								1061	24.40		2623	60.31		254	5.84		98	2.25					4349
	FIFTH			15	15.31								10	10.20		59	60.20		14	14.29			Excluded					98
		TOTAL		328	7.54								1071	24.63		2682	61.67		268	6.16								4349
	SIXTH			150	55.97								78	29.10		40	14.93			Excluded								268
		TOTAL		478	10.99								1149	26.42		2722	62.59											4349
	SEVENTH				Excluded								332	69.46		146	30.54											478
		TOTAL											1481	34.05		2868	65.95											4349
																Elected												
																												
PROVISIONAL																												
	FIRST			22	7.10		7	2.26		4	1.29		82	26.45		162	52.26		17	5.48		6	1.94		10	3.23		310
	SECOND			1	10.00		0	0.00		0	0.00		3	30.00		1	10.00		3	30.00		2	20.00			Excluded		10
		TOTAL		23	7.42		7	2.26		4	1.29		85	27.42		163	52.58		20	6.45		8	2.58					310
	THIRD			0	0.00		1	25.00			Excluded		0	0.00		1	25.00		2	50.00		0	0.00					4
		TOTAL		23	7.42		8	2.58					85	27.42		164	52.90		22	7.10		8	2.58					310
	FOURTH			1	12.50			Excluded					0	0.00		3	37.50		2	25.00		2	25.00					8
		TOTAL		24	7.74								85	27.42		167	53.87		24	7.74		10	3.23					310
	FIFTH			1	10.00								2	20.00		4	40.00		3	30.00			Excluded					10
		TOTAL		25	8.06								87	28.06		171	55.16		27	8.71								310
	SIXTH			12	44.44								11	40.74		4	14.81			Excluded								27
		TOTAL		37	11.94								98	31.61		175	56.45											310
	SEVENTH				Excluded								25	67.57		12	32.43											37
		TOTAL											123	39.68		187	60.32											310
																Elected												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
