House of Representatives - 2001 Election: New South Wales																										
Distribution of Preferences																										
By Polling Place																										
																										
Riverina																										
				RICHTER			TURNER			ALBISTON			HULL			GRAHAM			DANCEY			MOORE				
													Elected													
																										
Stockinbingal                                                  																										
	FIRST			8	2.75		31	10.65		74	25.43		170	58.42		6	2.06		0	0.00		2	0.69		291	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		8	2.75		31	10.65		74	25.43		170	58.42		6	2.06					2	0.69		291	
	THIRD				Excluded		2	25.00		2	25.00		2	25.00		1	12.50					1	12.50		8	
		TOTAL					33	11.34		76	26.12		172	59.11		7	2.41					3	1.03		291	
	FOURTH						0	0.00		2	66.67		1	33.33		0	0.00						Excluded		3	
		TOTAL					33	11.34		78	26.80		173	59.45		7	2.41								291	
	FIFTH						0	0.00		6	85.71		1	14.29			Excluded								7	
		TOTAL					33	11.34		84	28.87		174	59.79											291	
	SIXTH							Excluded		9	27.27		24	72.73											33	
		TOTAL								93	31.96		198	68.04											291	
													Elected													
																										
Sturt                                                          																										
	FIRST			41	1.79		87	3.80		429	18.74		1519	66.36		81	3.54		71	3.10		61	2.66		2289	
	SECOND			5	7.04		4	5.63		4	5.63		53	74.65		3	4.23			Excluded		2	2.82		71	
		TOTAL		46	2.01		91	3.98		433	18.92		1572	68.68		84	3.67					63	2.75		2289	
	THIRD				Excluded		13	28.26		6	13.04		18	39.13		5	10.87					4	8.70		46	
		TOTAL					104	4.54		439	19.18		1590	69.46		89	3.89					67	2.93		2289	
	FOURTH						8	11.94		17	25.37		17	25.37		25	37.31						Excluded		67	
		TOTAL					112	4.89		456	19.92		1607	70.21		114	4.98								2289	
	FIFTH						9	7.89		57	50.00		48	42.11			Excluded								114	
		TOTAL					121	5.29		513	22.41		1655	72.30											2289	
	SIXTH							Excluded		54	44.63		67	55.37											121	
		TOTAL								567	24.77		1722	75.23											2289	
													Elected													
																										
Sydney (Riverina)                                              																										
	FIRST			3	8.33		0	0.00		3	8.33		25	69.44		1	2.78		0	0.00		4	11.11		36	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	8.33		0	0.00		3	8.33		25	69.44		1	2.78					4	11.11		36	
	THIRD				Excluded		0	0.00		0	0.00		1	33.33		1	33.33					1	33.33		3	
		TOTAL					0	0.00		3	8.33		26	72.22		2	5.56					5	13.89		36	
	FOURTH						0	0.00		2	40.00		0	0.00		3	60.00						Excluded		5	
		TOTAL					0	0.00		5	13.89		26	72.22		5	13.89								36	
	FIFTH						0	0.00		1	20.00		4	80.00			Excluded								5	
		TOTAL					0	0.00		6	16.67		30	83.33											36	
	SIXTH							Excluded		0	0.00		0	0.00											0	
		TOTAL								6	16.67		30	83.33											36	
													Elected													
																										
Tarcutta                                                       																										
	FIRST			7	2.01		18	5.16		45	12.89		270	77.36		4	1.15		1	0.29		4	1.15		349	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		7	2.01		18	5.16		45	12.89		270	77.36		5	1.43					4	1.15		349	
	THIRD				Excluded		3	42.86		0	0.00		3	42.86		1	14.29					0	0.00		7	
		TOTAL					21	6.02		45	12.89		273	78.22		6	1.72					4	1.15		349	
	FOURTH						0	0.00		1	25.00		2	50.00		1	25.00						Excluded		4	
		TOTAL					21	6.02		46	13.18		275	78.80		7	2.01								349	
	FIFTH						1	14.29		2	28.57		4	57.14			Excluded								7	
		TOTAL					22	6.30		48	13.75		279	79.94											349	
	SIXTH							Excluded		8	36.36		14	63.64											22	
		TOTAL								56	16.05		293	83.95											349	
													Elected													
																										
Tatton                                                         																										
	FIRST			12	1.71		12	1.71		132	18.83		495	70.61		19	2.71		22	3.14		9	1.28		701	
	SECOND			1	4.55		1	4.55		0	0.00		17	77.27		1	4.55			Excluded		2	9.09		22	
		TOTAL		13	1.85		13	1.85		132	18.83		512	73.04		20	2.85					11	1.57		701	
	THIRD				Excluded		3	23.08		1	7.69		2	15.38		4	30.77					3	23.08		13	
		TOTAL					16	2.28		133	18.97		514	73.32		24	3.42					14	2.00		701	
	FOURTH						2	14.29		4	28.57		3	21.43		5	35.71						Excluded		14	
		TOTAL					18	2.57		137	19.54		517	73.75		29	4.14								701	
	FIFTH						3	10.34		10	34.48		16	55.17			Excluded								29	
		TOTAL					21	3.00		147	20.97		533	76.03											701	
	SIXTH							Excluded		10	47.62		11	52.38											21	
		TOTAL								157	22.40		544	77.60											701	
													Elected													
																										
Temora                                                         																										
	FIRST			69	2.74		141	5.60		567	22.51		1586	62.96		38	1.51		71	2.82		47	1.87		2519	
	SECOND			6	8.45		3	4.23		7	9.86		44	61.97		5	7.04			Excluded		6	8.45		71	
		TOTAL		75	2.98		144	5.72		574	22.79		1630	64.71		43	1.71					53	2.10		2519	
	THIRD				Excluded		37	49.33		9	12.00		18	24.00		7	9.33					4	5.33		75	
		TOTAL					181	7.19		583	23.14		1648	65.42		50	1.98					57	2.26		2519	
	FOURTH						10	17.54		11	19.30		12	21.05		24	42.11						Excluded		57	
		TOTAL					191	7.58		594	23.58		1660	65.90		74	2.94								2519	
	FIFTH						6	8.11		28	37.84		40	54.05			Excluded								74	
		TOTAL					197	7.82		622	24.69		1700	67.49											2519	
	SIXTH							Excluded		95	48.22		102	51.78											197	
		TOTAL								717	28.46		1802	71.54											2519	
													Elected													
																										
Temora West                                                    																										
	FIRST			16	2.53		37	5.85		135	21.36		424	67.09		2	0.32		8	1.27		10	1.58		632	
	SECOND			0	0.00		1	12.50		1	12.50		6	75.00		0	0.00			Excluded		0	0.00		8	
		TOTAL		16	2.53		38	6.01		136	21.52		430	68.04		2	0.32					10	1.58		632	
	THIRD				Excluded		5	31.25		2	12.50		5	31.25		2	12.50					2	12.50		16	
		TOTAL					43	6.80		138	21.84		435	68.83		4	0.63					12	1.90		632	
	FOURTH						3	25.00		4	33.33		2	16.67		3	25.00						Excluded		12	
		TOTAL					46	7.28		142	22.47		437	69.15		7	1.11								632	
	FIFTH						1	14.29		1	14.29		5	71.43			Excluded								7	
		TOTAL					47	7.44		143	22.63		442	69.94											632	
	SIXTH							Excluded		15	31.91		32	68.09											47	
		TOTAL								158	25.00		474	75.00											632	
													Elected													
																										
Tharbogang                                                     																										
	FIRST			7	2.53		15	5.42		79	28.52		171	61.73		3	1.08		0	0.00		2	0.72		277	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		7	2.53		15	5.42		79	28.52		171	61.73		3	1.08					2	0.72		277	
	THIRD				Excluded		2	28.57		1	14.29		3	42.86		0	0.00					1	14.29		7	
		TOTAL					17	6.14		80	28.88		174	62.82		3	1.08					3	1.08		277	
	FOURTH						1	33.33		1	33.33		1	33.33		0	0.00						Excluded		3	
		TOTAL					18	6.50		81	29.24		175	63.18		3	1.08								277	
	FIFTH						0	0.00		1	33.33		2	66.67			Excluded								3	
		TOTAL					18	6.50		82	29.60		177	63.90											277	
	SIXTH							Excluded		8	44.44		10	55.56											18	
		TOTAL								90	32.49		187	67.51											277	
													Elected													
																										
Tolland                                                        																										
	FIRST			48	3.31		77	5.32		386	26.66		839	57.94		46	3.18		27	1.86		25	1.73		1448	
	SECOND			1	3.70		0	0.00		1	3.70		24	88.89		0	0.00			Excluded		1	3.70		27	
		TOTAL		49	3.38		77	5.32		387	26.73		863	59.60		46	3.18					26	1.80		1448	
	THIRD				Excluded		15	30.61		11	22.45		19	38.78		0	0.00					4	8.16		49	
		TOTAL					92	6.35		398	27.49		882	60.91		46	3.18					30	2.07		1448	
	FOURTH						3	10.00		9	30.00		10	33.33		8	26.67						Excluded		30	
		TOTAL					95	6.56		407	28.11		892	61.60		54	3.73								1448	
	FIFTH						2	3.70		24	44.44		28	51.85			Excluded								54	
		TOTAL					97	6.70		431	29.77		920	63.54											1448	
	SIXTH							Excluded		47	48.45		50	51.55											97	
		TOTAL								478	33.01		970	66.99											1448	
													Elected													
																										
Tumblong                                                       																										
	FIRST			3	2.27		7	5.30		14	10.61		98	74.24		0	0.00		2	1.52		8	6.06		132	
	SECOND			0	0.00		0	0.00		0	0.00		2	100.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		3	2.27		7	5.30		14	10.61		100	75.76		0	0.00					8	6.06		132	
	THIRD				Excluded		0	0.00		1	33.33		1	33.33		1	33.33					0	0.00		3	
		TOTAL					7	5.30		15	11.36		101	76.52		1	0.76					8	6.06		132	
	FOURTH						0	0.00		3	37.50		1	12.50		4	50.00						Excluded		8	
		TOTAL					7	5.30		18	13.64		102	77.27		5	3.79								132	
	FIFTH						0	0.00		4	80.00		1	20.00			Excluded								5	
		TOTAL					7	5.30		22	16.67		103	78.03											132	
	SIXTH							Excluded		1	14.29		6	85.71											7	
		TOTAL								23	17.42		109	82.58											132	
													Elected													
																										
Turvey Park                                                    																										
	FIRST			33	1.79		97	5.25		395	21.40		1137	61.59		67	3.63		46	2.49		71	3.85		1846	
	SECOND			0	0.00		2	4.35		3	6.52		35	76.09		3	6.52			Excluded		3	6.52		46	
		TOTAL		33	1.79		99	5.36		398	21.56		1172	63.49		70	3.79					74	4.01		1846	
	THIRD				Excluded		10	30.30		7	21.21		10	30.30		1	3.03					5	15.15		33	
		TOTAL					109	5.90		405	21.94		1182	64.03		71	3.85					79	4.28		1846	
	FOURTH						5	6.33		22	27.85		15	18.99		37	46.84						Excluded		79	
		TOTAL					114	6.18		427	23.13		1197	64.84		108	5.85								1846	
	FIFTH						8	7.41		54	50.00		46	42.59			Excluded								108	
		TOTAL					122	6.61		481	26.06		1243	67.33											1846	
	SIXTH							Excluded		41	33.61		81	66.39											122	
		TOTAL								522	28.28		1324	71.72											1846	
													Elected													
																										
Uranquinty                                                     																										
	FIRST			12	2.67		58	12.89		84	18.67		271	60.22		7	1.56		8	1.78		10	2.22		450	
	SECOND			0	0.00		0	0.00		0	0.00		8	100.00		0	0.00			Excluded		0	0.00		8	
		TOTAL		12	2.67		58	12.89		84	18.67		279	62.00		7	1.56					10	2.22		450	
	THIRD				Excluded		3	25.00		3	25.00		3	25.00		0	0.00					3	25.00		12	
		TOTAL					61	13.56		87	19.33		282	62.67		7	1.56					13	2.89		450	
	FOURTH						0	0.00		2	15.38		4	30.77		7	53.85						Excluded		13	
		TOTAL					61	13.56		89	19.78		286	63.56		14	3.11								450	
	FIFTH						2	14.29		9	64.29		3	21.43			Excluded								14	
		TOTAL					63	14.00		98	21.78		289	64.22											450	
	SIXTH							Excluded		22	34.92		41	65.08											63	
		TOTAL								120	26.67		330	73.33											450	
													Elected													
																										
Wagga Wagga                                                    																										
	FIRST			49	2.76		79	4.45		394	22.20		1011	56.96		97	5.46		39	2.20		106	5.97		1775	
	SECOND			3	7.69		3	7.69		0	0.00		23	58.97		3	7.69			Excluded		7	17.95		39	
		TOTAL		52	2.93		82	4.62		394	22.20		1034	58.25		100	5.63					113	6.37		1775	
	THIRD				Excluded		21	40.38		8	15.38		14	26.92		3	5.77					6	11.54		52	
		TOTAL					103	5.80		402	22.65		1048	59.04		103	5.80					119	6.70		1775	
	FOURTH						9	7.56		30	25.21		30	25.21		50	42.02						Excluded		119	
		TOTAL					112	6.31		432	24.34		1078	60.73		153	8.62								1775	
	FIFTH						5	3.27		79	51.63		69	45.10			Excluded								153	
		TOTAL					117	6.59		511	28.79		1147	64.62											1775	
	SIXTH							Excluded		50	42.74		67	57.26											117	
		TOTAL								561	31.61		1214	68.39											1775	
													Elected													
																										
Wagga Wagga High                                               																										
	FIRST			20	3.17		18	2.85		121	19.18		381	60.38		39	6.18		18	2.85		34	5.39		631	
	SECOND			0	0.00		0	0.00		1	5.56		15	83.33		1	5.56			Excluded		1	5.56		18	
		TOTAL		20	3.17		18	2.85		122	19.33		396	62.76		40	6.34					35	5.55		631	
	THIRD				Excluded		6	30.00		3	15.00		8	40.00		3	15.00					0	0.00		20	
		TOTAL					24	3.80		125	19.81		404	64.03		43	6.81					35	5.55		631	
	FOURTH						0	0.00		9	25.71		9	25.71		17	48.57						Excluded		35	
		TOTAL					24	3.80		134	21.24		413	65.45		60	9.51								631	
	FIFTH						2	3.33		40	66.67		18	30.00			Excluded								60	
		TOTAL					26	4.12		174	27.58		431	68.30											631	
	SIXTH							Excluded		10	38.46		16	61.54											26	
		TOTAL								184	29.16		447	70.84											631	
													Elected													
																										
Wagga Wagga Hospital                                           																										
	FIRST			10	4.33		17	7.36		49	21.21		128	55.41		12	5.19		7	3.03		8	3.46		231	
	SECOND			0	0.00		0	0.00		0	0.00		4	57.14		1	14.29			Excluded		2	28.57		7	
		TOTAL		10	4.33		17	7.36		49	21.21		132	57.14		13	5.63					10	4.33		231	
	THIRD				Excluded		5	50.00		3	30.00		1	10.00		0	0.00					1	10.00		10	
		TOTAL					22	9.52		52	22.51		133	57.58		13	5.63					11	4.76		231	
	FOURTH						0	0.00		4	36.36		3	27.27		4	36.36						Excluded		11	
		TOTAL					22	9.52		56	24.24		136	58.87		17	7.36								231	
	FIFTH						1	5.88		2	11.76		14	82.35			Excluded								17	
		TOTAL					23	9.96		58	25.11		150	64.94											231	
	SIXTH							Excluded		12	52.17		11	47.83											23	
		TOTAL								70	30.30		161	69.70											231	
													Elected													
																										
Wagga Wagga North                                              																										
	FIRST			28	1.83		106	6.91		290	18.90		985	64.21		32	2.09		38	2.48		55	3.59		1534	
	SECOND			0	0.00		8	21.05		0	0.00		25	65.79		2	5.26			Excluded		3	7.89		38	
		TOTAL		28	1.83		114	7.43		290	18.90		1010	65.84		34	2.22					58	3.78		1534	
	THIRD				Excluded		16	57.14		5	17.86		6	21.43		1	3.57					0	0.00		28	
		TOTAL					130	8.47		295	19.23		1016	66.23		35	2.28					58	3.78		1534	
	FOURTH						6	10.34		11	18.97		17	29.31		24	41.38						Excluded		58	
		TOTAL					136	8.87		306	19.95		1033	67.34		59	3.85								1534	
	FIFTH						3	5.08		36	61.02		20	33.90			Excluded								59	
		TOTAL					139	9.06		342	22.29		1053	68.64											1534	
	SIXTH							Excluded		61	43.88		78	56.12											139	
		TOTAL								403	26.27		1131	73.73											1534	
													Elected													
																										
Wagga Wagga South                                              																										
	FIRST			32	2.14		58	3.87		330	22.04		846	56.51		106	7.08		35	2.34		90	6.01		1497	
	SECOND			5	14.29		1	2.86		2	5.71		21	60.00		3	8.57			Excluded		3	8.57		35	
		TOTAL		37	2.47		59	3.94		332	22.18		867	57.92		109	7.28					93	6.21		1497	
	THIRD				Excluded		16	43.24		1	2.70		8	21.62		7	18.92					5	13.51		37	
		TOTAL					75	5.01		333	22.24		875	58.45		116	7.75					98	6.55		1497	
	FOURTH						5	5.10		25	25.51		20	20.41		48	48.98						Excluded		98	
		TOTAL					80	5.34		358	23.91		895	59.79		164	10.96								1497	
	FIFTH						5	3.05		89	54.27		70	42.68			Excluded								164	
		TOTAL					85	5.68		447	29.86		965	64.46											1497	
	SIXTH							Excluded		50	58.82		35	41.18											85	
		TOTAL								497	33.20		1000	66.80											1497	
													Elected													
																										
Wagga Wagga West                                               																										
	FIRST			42	2.16		97	4.99		478	24.59		1167	60.03		56	2.88		36	1.85		68	3.50		1944	
	SECOND			2	5.56		2	5.56		1	2.78		21	58.33		8	22.22			Excluded		2	5.56		36	
		TOTAL		44	2.26		99	5.09		479	24.64		1188	61.11		64	3.29					70	3.60		1944	
	THIRD				Excluded		20	45.45		8	18.18		5	11.36		5	11.36					6	13.64		44	
		TOTAL					119	6.12		487	25.05		1193	61.37		69	3.55					76	3.91		1944	
	FOURTH						8	10.53		21	27.63		13	17.11		34	44.74						Excluded		76	
		TOTAL					127	6.53		508	26.13		1206	62.04		103	5.30								1944	
	FIFTH						10	9.71		52	50.49		41	39.81			Excluded								103	
		TOTAL					137	7.05		560	28.81		1247	64.15											1944	
	SIXTH							Excluded		67	48.91		70	51.09											137	
		TOTAL								627	32.25		1317	67.75											1944	
													Elected													
																										
Wallendbeen                                                    																										
	FIRST			1	0.60		18	10.78		53	31.74		87	52.10		2	1.20		0	0.00		6	3.59		167	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.60		18	10.78		53	31.74		87	52.10		2	1.20					6	3.59		167	
	THIRD				Excluded		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					19	11.38		53	31.74		87	52.10		2	1.20					6	3.59		167	
	FOURTH						2	33.33		2	33.33		1	16.67		1	16.67						Excluded		6	
		TOTAL					21	12.57		55	32.93		88	52.69		3	1.80								167	
	FIFTH						0	0.00		2	66.67		1	33.33			Excluded								3	
		TOTAL					21	12.57		57	34.13		89	53.29											167	
	SIXTH							Excluded		10	47.62		11	52.38											21	
		TOTAL								67	40.12		100	59.88											167	
													Elected													
																										
Wamoon                                                         																										
	FIRST			6	2.59		18	7.76		54	23.28		147	63.36		3	1.29		1	0.43		3	1.29		232	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		6	2.59		18	7.76		54	23.28		147	63.36		3	1.29					4	1.72		232	
	THIRD				Excluded		3	50.00		0	0.00		2	33.33		1	16.67					0	0.00		6	
		TOTAL					21	9.05		54	23.28		149	64.22		4	1.72					4	1.72		232	
	FOURTH						0	0.00		0	0.00		2	50.00		2	50.00						Excluded		4	
		TOTAL					21	9.05		54	23.28		151	65.09		6	2.59								232	
	FIFTH						1	16.67		2	33.33		3	50.00			Excluded								6	
		TOTAL					22	9.48		56	24.14		154	66.38											232	
	SIXTH							Excluded		11	50.00		11	50.00											22	
		TOTAL								67	28.88		165	71.12											232	
													Elected													
																										
Wantabadgery                                                   																										
	FIRST			0	0.00		5	4.95		11	10.89		84	83.17		0	0.00		0	0.00		1	0.99		101	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		5	4.95		11	10.89		84	83.17		0	0.00					1	0.99		101	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					5	4.95		11	10.89		84	83.17		0	0.00					1	0.99		101	
	FOURTH						0	0.00		0	0.00		0	0.00		1	100.00						Excluded		1	
		TOTAL					5	4.95		11	10.89		84	83.17		1	0.99								101	
	FIFTH						0	0.00		0	0.00		1	100.00			Excluded								1	
		TOTAL					5	4.95		11	10.89		85	84.16											101	
	SIXTH							Excluded		2	40.00		3	60.00											5	
		TOTAL								13	12.87		88	87.13											101	
													Elected													
																										
Whitton                                                        																										
	FIRST			10	2.53		33	8.35		94	23.80		249	63.04		2	0.51		2	0.51		5	1.27		395	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		10	2.53		33	8.35		94	23.80		250	63.29		2	0.51					6	1.52		395	
	THIRD				Excluded		5	50.00		1	10.00		3	30.00		1	10.00					0	0.00		10	
		TOTAL					38	9.62		95	24.05		253	64.05		3	0.76					6	1.52		395	
	FOURTH						2	33.33		0	0.00		2	33.33		2	33.33						Excluded		6	
		TOTAL					40	10.13		95	24.05		255	64.56		5	1.27								395	
	FIFTH						1	20.00		1	20.00		3	60.00			Excluded								5	
		TOTAL					41	10.38		96	24.30		258	65.32											395	
	SIXTH							Excluded		14	34.15		27	65.85											41	
		TOTAL								110	27.85		285	72.15											395	
													Elected													
																										
Yanco                                                          																										
	FIRST			17	2.63		58	8.96		191	29.52		341	52.70		8	1.24		20	3.09		12	1.85		647	
	SECOND			0	0.00		1	5.00		2	10.00		14	70.00		2	10.00			Excluded		1	5.00		20	
		TOTAL		17	2.63		59	9.12		193	29.83		355	54.87		10	1.55					13	2.01		647	
	THIRD				Excluded		9	52.94		3	17.65		3	17.65		1	5.88					1	5.88		17	
		TOTAL					68	10.51		196	30.29		358	55.33		11	1.70					14	2.16		647	
	FOURTH						1	7.14		1	7.14		4	28.57		8	57.14						Excluded		14	
		TOTAL					69	10.66		197	30.45		362	55.95		19	2.94								647	
	FIFTH						3	15.79		12	63.16		4	21.05			Excluded								19	
		TOTAL					72	11.13		209	32.30		366	56.57											647	
	SIXTH							Excluded		26	36.11		46	63.89											72	
		TOTAL								235	36.32		412	63.68											647	
													Elected													
																										
Yenda                                                          																										
	FIRST			11	1.23		60	6.71		203	22.71		587	65.66		11	1.23		5	0.56		17	1.90		894	
	SECOND			1	20.00		0	0.00		1	20.00		2	40.00		1	20.00			Excluded		0	0.00		5	
		TOTAL		12	1.34		60	6.71		204	22.82		589	65.88		12	1.34					17	1.90		894	
	THIRD				Excluded		7	58.33		2	16.67		3	25.00		0	0.00					0	0.00		12	
		TOTAL					67	7.49		206	23.04		592	66.22		12	1.34					17	1.90		894	
	FOURTH						2	11.76		2	11.76		3	17.65		10	58.82						Excluded		17	
		TOTAL					69	7.72		208	23.27		595	66.55		22	2.46								894	
	FIFTH						1	4.55		10	45.45		11	50.00			Excluded								22	
		TOTAL					70	7.83		218	24.38		606	67.79											894	
	SIXTH							Excluded		34	48.57		36	51.43											70	
		TOTAL								252	28.19		642	71.81											894	
													Elected													
																										
Yoogali                                                        																										
	FIRST			11	1.75		16	2.54		164	26.03		421	66.83		5	0.79		4	0.63		9	1.43		630	
	SECOND			0	0.00		0	0.00		0	0.00		4	100.00		0	0.00			Excluded		0	0.00		4	
		TOTAL		11	1.75		16	2.54		164	26.03		425	67.46		5	0.79					9	1.43		630	
	THIRD				Excluded		8	72.73		0	0.00		2	18.18		1	9.09					0	0.00		11	
		TOTAL					24	3.81		164	26.03		427	67.78		6	0.95					9	1.43		630	
	FOURTH						2	22.22		3	33.33		0	0.00		4	44.44						Excluded		9	
		TOTAL					26	4.13		167	26.51		427	67.78		10	1.59								630	
	FIFTH						0	0.00		2	20.00		8	80.00			Excluded								10	
		TOTAL					26	4.13		169	26.83		435	69.05											630	
	SIXTH							Excluded		9	34.62		17	65.38											26	
		TOTAL								178	28.25		452	71.75											630	
													Elected													
																										
Special Hospital Team 1                                        																										
	FIRST			1	1.15		0	0.00		28	32.18		56	64.37		0	0.00		2	2.30		0	0.00		87	
	SECOND			2	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		3	3.45		0	0.00		28	32.18		56	64.37		0	0.00					0	0.00		87	
	THIRD				Excluded		2	66.67		1	33.33		0	0.00		0	0.00					0	0.00		3	
		TOTAL					2	2.30		29	33.33		56	64.37		0	0.00					0	0.00		87	
	FOURTH						0	0.00		0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL					2	2.30		29	33.33		56	64.37		0	0.00								87	
	FIFTH						0	0.00		0	0.00		0	0.00			Excluded								0	
		TOTAL					2	2.30		29	33.33		56	64.37											87	
	SIXTH							Excluded		2	100.00		0	0.00											2	
		TOTAL								31	35.63		56	64.37											87	
													Elected													
																										
Special Hospital Team 2                                        																										
	FIRST			1	2.70		0	0.00		21	56.76		14	37.84		1	2.70		0	0.00		0	0.00		37	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	2.70		0	0.00		21	56.76		14	37.84		1	2.70					0	0.00		37	
	THIRD				Excluded		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					1	2.70		21	56.76		14	37.84		1	2.70					0	0.00		37	
	FOURTH						0	0.00		0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL					1	2.70		21	56.76		14	37.84		1	2.70								37	
	FIFTH						1	100.00		0	0.00		0	0.00			Excluded								1	
		TOTAL					2	5.41		21	56.76		14	37.84											37	
	SIXTH							Excluded		2	100.00		0	0.00											2	
		TOTAL								23	62.16		14	37.84											37	
													Elected													
																										
Special Hospital Team 3                                        																										
	FIRST			0	0.00		1	1.33		29	38.67		45	60.00		0	0.00		0	0.00		0	0.00		75	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		1	1.33		29	38.67		45	60.00		0	0.00					0	0.00		75	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					1	1.33		29	38.67		45	60.00		0	0.00					0	0.00		75	
	FOURTH						0	0.00		0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL					1	1.33		29	38.67		45	60.00		0	0.00								75	
	FIFTH						0	0.00		0	0.00		0	0.00			Excluded								0	
		TOTAL					1	1.33		29	38.67		45	60.00											75	
	SIXTH							Excluded		0	0.00		1	100.00											1	
		TOTAL								29	38.67		46	61.33											75	
													Elected													
																										
Special Hospital Team 4                                        																										
	FIRST			4	2.21		0	0.00		43	23.76		127	70.17		3	1.66		3	1.66		1	0.55		181	
	SECOND			0	0.00		1	33.33		0	0.00		1	33.33		0	0.00			Excluded		1	33.33		3	
		TOTAL		4	2.21		1	0.55		43	23.76		128	70.72		3	1.66					2	1.10		181	
	THIRD				Excluded		1	25.00		1	25.00		1	25.00		0	0.00					1	25.00		4	
		TOTAL					2	1.10		44	24.31		129	71.27		3	1.66					3	1.66		181	
	FOURTH						2	66.67		0	0.00		1	33.33		0	0.00						Excluded		3	
		TOTAL					4	2.21		44	24.31		130	71.82		3	1.66								181	
	FIFTH						0	0.00		0	0.00		3	100.00			Excluded								3	
		TOTAL					4	2.21		44	24.31		133	73.48											181	
	SIXTH							Excluded		2	50.00		2	50.00											4	
		TOTAL								46	25.41		135	74.59											181	
													Elected													
																										
Special Hospital Team 5                                        																										
	FIRST			4	3.70		1	0.93		32	29.63		65	60.19		2	1.85		3	2.78		1	0.93		108	
	SECOND			0	0.00		0	0.00		0	0.00		3	100.00		0	0.00			Excluded		0	0.00		3	
		TOTAL		4	3.70		1	0.93		32	29.63		68	62.96		2	1.85					1	0.93		108	
	THIRD				Excluded		4	100.00		0	0.00		0	0.00		0	0.00					0	0.00		4	
		TOTAL					5	4.63		32	29.63		68	62.96		2	1.85					1	0.93		108	
	FOURTH						0	0.00		1	100.00		0	0.00		0	0.00						Excluded		1	
		TOTAL					5	4.63		33	30.56		68	62.96		2	1.85								108	
	FIFTH						0	0.00		0	0.00		2	100.00			Excluded								2	
		TOTAL					5	4.63		33	30.56		70	64.81											108	
	SIXTH							Excluded		1	20.00		4	80.00											5	
		TOTAL								34	31.48		74	68.52											108	
													Elected													
																										
ABSENT																										
	FIRST			125	3.38		213	5.77		753	20.39		2190	59.30		169	4.58		71	1.92		172	4.66		3693	
	SECOND			4	5.63		7	9.86		7	9.86		37	52.11		9	12.68			Excluded		7	9.86		71	
		TOTAL		129	3.49		220	5.96		760	20.58		2227	60.30		178	4.82					179	4.85		3693	
	THIRD				Excluded		45	34.88		29	22.48		20	15.50		17	13.18					18	13.95		129	
		TOTAL					265	7.18		789	21.36		2247	60.84		195	5.28					197	5.33		3693	
	FOURTH						13	6.60		38	19.29		52	26.40		94	47.72						Excluded		197	
		TOTAL					278	7.53		827	22.39		2299	62.25		289	7.83								3693	
	FIFTH						19	6.57		135	46.71		135	46.71			Excluded								289	
		TOTAL					297	8.04		962	26.05		2434	65.91											3693	
	SIXTH							Excluded		146	49.16		151	50.84											297	
		TOTAL								1108	30.00		2585	70.00											3693	
													Elected													
																										
POSTAL																										
	FIRST			24	1.03		124	5.32		514	22.04		1546	66.30		60	2.57		29	1.24		35	1.50		2332	
	SECOND			1	3.45		3	10.34		0	0.00		19	65.52		3	10.34			Excluded		3	10.34		29	
		TOTAL		25	1.07		127	5.45		514	22.04		1565	67.11		63	2.70					38	1.63		2332	
	THIRD				Excluded		11	44.00		4	16.00		7	28.00		1	4.00					2	8.00		25	
		TOTAL					138	5.92		518	22.21		1572	67.41		64	2.74					40	1.72		2332	
