House of Representatives - 2001 Election: New South Wales																							
Distribution of Preferences																							
By Polling Place																							
																							
New England																							
				REINER			MCCARTHY			WINDSOR			BOUNDS			REARDON			ST. CLAIR				
		TOTAL					26	14.13		97	52.72		4	2.17					57	30.98		184	
	FOURTH						3	75.00		0	0.00			Excluded					1	25.00		4	
		TOTAL					29	15.76		97	52.72								58	31.52		184	
	FIFTH							Excluded		24	82.76								5	17.24		29	
		TOTAL								121	65.76								63	34.24		184	
										Elected													
																							
Yarrowitch                                                     																							
	FIRST			1	0.96		3	2.88		24	23.08		5	4.81		0	0.00		71	68.27		104	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.96		3	2.88		24	23.08		5	4.81					71	68.27		104	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					1	100.00		1	
		TOTAL					3	2.88		24	23.08		5	4.81					72	69.23		104	
	FOURTH						0	0.00		3	60.00			Excluded					2	40.00		5	
		TOTAL					3	2.88		27	25.96								74	71.15		104	
	FIFTH							Excluded		2	66.67								1	33.33		3	
		TOTAL								29	27.88								75	72.12		104	
										Elected													
																							
Yetman                                                         																							
	FIRST			2	1.47		22	16.18		44	32.35		14	10.29		2	1.47		52	38.24		136	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		2	1.47		23	16.91		44	32.35		14	10.29					53	38.97		136	
	THIRD				Excluded		0	0.00		1	50.00		1	50.00					0	0.00		2	
		TOTAL					23	16.91		45	33.09		15	11.03					53	38.97		136	
	FOURTH						3	20.00		10	66.67			Excluded					2	13.33		15	
		TOTAL					26	19.12		55	40.44								55	40.44		136	
	FIFTH							Excluded		20	76.92								6	23.08		26	
		TOTAL								75	55.15								61	44.85		136	
										Elected													
																							
Special Hospital Team 1                                        																							
	FIRST			2	2.15		18	19.35		28	30.11		2	2.15		4	4.30		39	41.94		93	
	SECOND			1	25.00		1	25.00		0	0.00		0	0.00			Excluded		2	50.00		4	
		TOTAL		3	3.23		19	20.43		28	30.11		2	2.15					41	44.09		93	
	THIRD				Excluded		3	100.00		0	0.00		0	0.00					0	0.00		3	
		TOTAL					22	23.66		28	30.11		2	2.15					41	44.09		93	
	FOURTH						0	0.00		0	0.00			Excluded					2	100.00		2	
		TOTAL					22	23.66		28	30.11								43	46.24		93	
	FIFTH							Excluded		19	86.36								3	13.64		22	
		TOTAL								47	50.54								46	49.46		93	
										Elected													
																							
Special Hospital Team 2                                        																							
	FIRST			2	2.82		10	14.08		20	28.17		0	0.00		2	2.82		37	52.11		71	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		2	
		TOTAL		2	2.82		10	14.08		20	28.17		0	0.00					39	54.93		71	
	THIRD				Excluded		2	100.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL					12	16.90		20	28.17		0	0.00					39	54.93		71	
	FOURTH						0	0.00		0	0.00			Excluded					0	0.00		0	
		TOTAL					12	16.90		20	28.17								39	54.93		71	
	FIFTH							Excluded		9	75.00								3	25.00		12	
		TOTAL								29	40.85								42	59.15		71	
										Elected													
																							
Special Hospital Team 3                                        																							
	FIRST			2	1.17		11	6.43		100	58.48		2	1.17		2	1.17		54	31.58		171	
	SECOND			0	0.00		0	0.00		1	50.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		2	1.17		11	6.43		101	59.06		3	1.75					54	31.58		171	
	THIRD				Excluded		1	50.00		0	0.00		0	0.00					1	50.00		2	
		TOTAL					12	7.02		101	59.06		3	1.75					55	32.16		171	
	FOURTH						2	66.67		1	33.33			Excluded					0	0.00		3	
		TOTAL					14	8.19		102	59.65								55	32.16		171	
	FIFTH							Excluded		13	92.86								1	7.14		14	
		TOTAL								115	67.25								56	32.75		171	
										Elected													
																							
ABSENT																							
	FIRST			199	4.71		540	12.79		1722	40.80		146	3.46		110	2.61		1504	35.63		4221	
	SECOND			41	37.27		16	14.55		24	21.82		3	2.73			Excluded		26	23.64		110	
		TOTAL		240	5.69		556	13.17		1746	41.36		149	3.53					1530	36.25		4221	
	THIRD				Excluded		114	47.50		92	38.33		13	5.42					21	8.75		240	
		TOTAL					670	15.87		1838	43.54		162	3.84					1551	36.74		4221	
	FOURTH						48	29.63		63	38.89			Excluded					51	31.48		162	
		TOTAL					718	17.01		1901	45.04								1602	37.95		4221	
	FIFTH							Excluded		566	78.83								152	21.17		718	
		TOTAL								2467	58.45								1754	41.55		4221	
										Elected													
																							
POSTAL																							
	FIRST			59	1.98		257	8.64		1151	38.68		128	4.30		27	0.91		1354	45.50		2976	
	SECOND			7	25.93		6	22.22		8	29.63		2	7.41			Excluded		4	14.81		27	
		TOTAL		66	2.22		263	8.84		1159	38.94		130	4.37					1358	45.63		2976	
	THIRD				Excluded		22	33.33		30	45.45		3	4.55					11	16.67		66	
		TOTAL					285	9.58		1189	39.95		133	4.47					1369	46.00		2976	
	FOURTH						23	17.29		74	55.64			Excluded					36	27.07		133	
		TOTAL					308	10.35		1263	42.44								1405	47.21		2976	
	FIFTH							Excluded		261	84.74								47	15.26		308	
		TOTAL								1524	51.21								1452	48.79		2976	
										Elected													
																							
PRE POLL																							
	FIRST			145	2.54		476	8.33		2496	43.70		155	2.71		73	1.28		2367	41.44		5712	
	SECOND			25	34.25		16	21.92		18	24.66		4	5.48			Excluded		10	13.70		73	
		TOTAL		170	2.98		492	8.61		2514	44.01		159	2.78					2377	41.61		5712	
	THIRD				Excluded		70	41.18		72	42.35		10	5.88					18	10.59		170	
		TOTAL					562	9.84		2586	45.27		169	2.96					2395	41.93		5712	
	FOURTH						26	15.38		92	54.44			Excluded					51	30.18		169	
		TOTAL					588	10.29		2678	46.88								2446	42.82		5712	
	FIFTH							Excluded		466	79.25								122	20.75		588	
		TOTAL								3144	55.04								2568	44.96		5712	
										Elected													
																							
PROVISIONAL																							
	FIRST			30	3.90		122	15.86		353	45.90		28	3.64		13	1.69		223	29.00		769	
	SECOND			6	46.15		1	7.69		3	23.08		1	7.69			Excluded		2	15.38		13	
		TOTAL		36	4.68		123	15.99		356	46.29		29	3.77					225	29.26		769	
	THIRD				Excluded		12	33.33		13	36.11		3	8.33					8	22.22		36	
		TOTAL					135	17.56		369	47.98		32	4.16					233	30.30		769	
	FOURTH						8	25.00		15	46.88			Excluded					9	28.13		32	
		TOTAL					143	18.60		384	49.93								242	31.47		769	
	FIFTH							Excluded		120	83.92								23	16.08		143	
		TOTAL								504	65.54								265	34.46		769	
										Elected													
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
