House of Representatives - 2001 Election: New South Wales																																									
Distribution of Preferences																																									
By Polling Place																																									
																																									
Lindsay																																									
				PHILLIPS			BRADBURY			EDWARDS			COURTNEY			NIXON			WATERS			MITCHELL			WALKER			BROWN			KELLY			EYKAMP			LINDSAY-HENDERSON				
	EIGHTH				Excluded		19	30.65		7	11.29					5	8.06											14	22.58		17	27.42								62	
		TOTAL					572	36.46		58	3.70					100	6.37											72	4.59		767	48.88								1569	
	NINTH						27	46.55			Excluded					3	5.17											20	34.48		8	13.79								58	
		TOTAL					599	38.18								103	6.56											92	5.86		775	49.39								1569	
	TENTH						40	43.48								15	16.30												Excluded		37	40.22								92	
		TOTAL					639	40.73								118	7.52														812	51.75								1569	
	ELEVENTH						48	40.68									Excluded														70	59.32								118	
		TOTAL					687	43.79																							882	56.21								1569	
																															Elected										
																																									
Nepean Hospital                                                																																									
	FIRST			9	2.15		204	48.80		7	1.67		5	1.20		17	4.07		8	1.91		1	0.24		0	0.00		5	1.20		161	38.52		0	0.00		1	0.24		418	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		9	2.15		204	48.80		7	1.67		5	1.20		17	4.07		8	1.91		1	0.24					5	1.20		161	38.52		0	0.00		1	0.24		418	
	THIRD			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		9	2.15		204	48.80		8	1.91		5	1.20		17	4.07		8	1.91								5	1.20		161	38.52		0	0.00		1	0.24		418	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00								0	0.00		1	100.00		0	0.00			Excluded		1	
		TOTAL		9	2.15		204	48.80		8	1.91		5	1.20		17	4.07		8	1.91								5	1.20		162	38.76		0	0.00					418	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00								0	0.00		0	0.00			Excluded					0	
		TOTAL		9	2.15		204	48.80		8	1.91		5	1.20		17	4.07		8	1.91								5	1.20		162	38.76								418	
	SIXTH			1	20.00		2	40.00		0	0.00			Excluded		2	40.00		0	0.00								0	0.00		0	0.00								5	
		TOTAL		10	2.39		206	49.28		8	1.91					19	4.55		8	1.91								5	1.20		162	38.76								418	
	SEVENTH			1	12.50		3	37.50		2	25.00					1	12.50			Excluded								1	12.50		0	0.00								8	
		TOTAL		11	2.63		209	50.00		10	2.39					20	4.78											6	1.44		162	38.76								418	
	EIGHTH				Excluded		5	45.45		1	9.09					0	0.00											0	0.00		5	45.45								11	
		TOTAL					214	51.20		11	2.63					20	4.78											6	1.44		167	39.95								418	
	NINTH						3	27.27			Excluded					2	18.18											3	27.27		3	27.27								11	
		TOTAL					217	51.91								22	5.26											9	2.15		170	40.67								418	
	TENTH						6	66.67								1	11.11												Excluded		2	22.22								9	
		TOTAL					223	53.35								23	5.50														172	41.15								418	
	ELEVENTH						15	65.22									Excluded														8	34.78								23	
		TOTAL					238	56.94																							180	43.06								418	
																															Elected										
																																									
Orchard Hills                                                  																																									
	FIRST			44	4.94		192	21.57		14	1.57		3	0.34		38	4.27		7	0.79		1	0.11		2	0.22		20	2.25		565	63.48		2	0.22		2	0.22		890	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	50.00		2	
		TOTAL		45	5.06		192	21.57		14	1.57		3	0.34		38	4.27		7	0.79		1	0.11					20	2.25		565	63.48		2	0.22		3	0.34		890	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL		45	5.06		192	21.57		14	1.57		3	0.34		38	4.27		7	0.79								20	2.25		565	63.48		2	0.22		4	0.45		890	
	FOURTH			0	0.00		1	25.00		0	0.00		0	0.00		1	25.00		0	0.00								1	25.00		0	0.00		1	25.00			Excluded		4	
		TOTAL		45	5.06		193	21.69		14	1.57		3	0.34		39	4.38		7	0.79								21	2.36		565	63.48		3	0.34					890	
	FIFTH			0	0.00		0	0.00		1	33.33		1	33.33		0	0.00		0	0.00								1	33.33		0	0.00			Excluded					3	
		TOTAL		45	5.06		193	21.69		15	1.69		4	0.45		39	4.38		7	0.79								22	2.47		565	63.48								890	
	SIXTH			0	0.00		0	0.00		0	0.00			Excluded		1	25.00		2	50.00								1	25.00		0	0.00								4	
		TOTAL		45	5.06		193	21.69		15	1.69					40	4.49		9	1.01								23	2.58		565	63.48								890	
	SEVENTH			0	0.00		1	11.11		3	33.33					1	11.11			Excluded								3	33.33		1	11.11								9	
		TOTAL		45	5.06		194	21.80		18	2.02					41	4.61											26	2.92		566	63.60								890	
	EIGHTH				Excluded		8	17.78		3	6.67					2	4.44											4	8.89		28	62.22								45	
		TOTAL					202	22.70		21	2.36					43	4.83											30	3.37		594	66.74								890	
	NINTH						14	66.67			Excluded					3	14.29											3	14.29		1	4.76								21	
		TOTAL					216	24.27								46	5.17											33	3.71		595	66.85								890	
	TENTH						17	51.52								5	15.15												Excluded		11	33.33								33	
		TOTAL					233	26.18								51	5.73														606	68.09								890	
	ELEVENTH						15	29.41									Excluded														36	70.59								51	
		TOTAL					248	27.87																							642	72.13								890	
																															Elected										
																																									
Penrith                                                        																																									
	FIRST			47	2.97		607	38.34		46	2.91		19	1.20		55	3.47		34	2.15		3	0.19		6	0.38		51	3.22		698	44.09		13	0.82		4	0.25		1583	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	33.33			Excluded		2	33.33		1	16.67		1	16.67		0	0.00		6	
		TOTAL		47	2.97		607	38.34		46	2.91		19	1.20		55	3.47		34	2.15		5	0.32					53	3.35		699	44.16		14	0.88		4	0.25		1583	
	THIRD			0	0.00		1	20.00		0	0.00		1	20.00		1	20.00		1	20.00			Excluded					0	0.00		0	0.00		0	0.00		1	20.00		5	
		TOTAL		47	2.97		608	38.41		46	2.91		20	1.26		56	3.54		35	2.21								53	3.35		699	44.16		14	0.88		5	0.32		1583	
	FOURTH			1	20.00		0	0.00		0	0.00		1	20.00		0	0.00		1	20.00								0	0.00		1	20.00		1	20.00			Excluded		5	
		TOTAL		48	3.03		608	38.41		46	2.91		21	1.33		56	3.54		36	2.27								53	3.35		700	44.22		15	0.95					1583	
	FIFTH			2	13.33		1	6.67		4	26.67		2	13.33		0	0.00		1	6.67								2	13.33		3	20.00			Excluded					15	
		TOTAL		50	3.16		609	38.47		50	3.16		23	1.45		56	3.54		37	2.34								55	3.47		703	44.41								1583	
	SIXTH			3	13.04		5	21.74		7	30.43			Excluded		3	13.04		0	0.00								2	8.70		3	13.04								23	
		TOTAL		53	3.35		614	38.79		57	3.60					59	3.73		37	2.34								57	3.60		706	44.60								1583	
	SEVENTH			2	5.41		6	16.22		16	43.24					4	10.81			Excluded								2	5.41		7	18.92								37	
		TOTAL		55	3.47		620	39.17		73	4.61					63	3.98											59	3.73		713	45.04								1583	
	EIGHTH				Excluded		23	41.82		3	5.45					6	10.91											3	5.45		20	36.36								55	
		TOTAL					643	40.62		76	4.80					69	4.36											62	3.92		733	46.30								1583	
	NINTH						27	35.53			Excluded					11	14.47											28	36.84		10	13.16								76	
		TOTAL					670	42.32								80	5.05											90	5.69		743	46.94								1583	
	TENTH						46	51.11								18	20.00												Excluded		26	28.89								90	
		TOTAL					716	45.23								98	6.19														769	48.58								1583	
	ELEVENTH						57	58.16									Excluded														41	41.84								98	
		TOTAL					773	48.83																							810	51.17								1583	
																															Elected										
																																									
Penrith Central                                                																																									
	FIRST			20	2.32		346	40.14		30	3.48		8	0.93		44	5.10		20	2.32		3	0.35		4	0.46		30	3.48		343	39.79		11	1.28		3	0.35		862	
	SECOND			0	0.00		1	25.00		0	0.00		0	0.00		2	50.00		1	25.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		4	
		TOTAL		20	2.32		347	40.26		30	3.48		8	0.93		46	5.34		21	2.44		3	0.35					30	3.48		343	39.79		11	1.28		3	0.35		862	
	THIRD			1	33.33		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		1	33.33		3	
		TOTAL		21	2.44		347	40.26		30	3.48		8	0.93		47	5.45		21	2.44								30	3.48		343	39.79		11	1.28		4	0.46		862	
	FOURTH			1	25.00		0	0.00		0	0.00		1	25.00		0	0.00		0	0.00								0	0.00		2	50.00		0	0.00			Excluded		4	
		TOTAL		22	2.55		347	40.26		30	3.48		9	1.04		47	5.45		21	2.44								30	3.48		345	40.02		11	1.28					862	
	FIFTH			0	0.00		3	27.27		1	9.09		3	27.27		0	0.00		0	0.00								2	18.18		2	18.18			Excluded					11	
		TOTAL		22	2.55		350	40.60		31	3.60		12	1.39		47	5.45		21	2.44								32	3.71		347	40.26								862	
	SIXTH			0	0.00		4	33.33		4	33.33			Excluded		2	16.67		1	8.33								1	8.33		0	0.00								12	
		TOTAL		22	2.55		354	41.07		35	4.06					49	5.68		22	2.55								33	3.83		347	40.26								862	
	SEVENTH			3	13.64		7	31.82		3	13.64					0	0.00			Excluded								3	13.64		6	27.27								22	
		TOTAL		25	2.90		361	41.88		38	4.41					49	5.68											36	4.18		353	40.95								862	
	EIGHTH				Excluded		12	48.00		1	4.00					5	20.00											4	16.00		3	12.00								25	
		TOTAL					373	43.27		39	4.52					54	6.26											40	4.64		356	41.30								862	
	NINTH						17	43.59			Excluded					1	2.56											15	38.46		6	15.38								39	
		TOTAL					390	45.24								55	6.38											55	6.38		362	42.00								862	
	TENTH						26	47.27								15	27.27												Excluded		14	25.45								55	
		TOTAL					416	48.26								70	8.12														376	43.62								862	
	ELEVENTH						37	52.86									Excluded														33	47.14								70	
		TOTAL					453	52.55																							409	47.45								862	
																															Elected										
																																									
Penrith East                                                   																																									
	FIRST			22	1.59		470	33.86		29	2.09		14	1.01		60	4.32		24	1.73		2	0.14		0	0.00		36	2.59		714	51.44		12	0.86		5	0.36		1388	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		22	1.59		470	33.86		29	2.09		14	1.01		60	4.32		24	1.73		2	0.14					36	2.59		714	51.44		12	0.86		5	0.36		1388	
	THIRD			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		1	50.00		2	
		TOTAL		22	1.59		470	33.86		29	2.09		15	1.08		60	4.32		24	1.73								36	2.59		714	51.44		12	0.86		6	0.43		1388	
	FOURTH			2	33.33		0	0.00		0	0.00		1	16.67		0	0.00		1	16.67								0	0.00		0	0.00		2	33.33			Excluded		6	
		TOTAL		24	1.73		470	33.86		29	2.09		16	1.15		60	4.32		25	1.80								36	2.59		714	51.44		14	1.01					1388	
	FIFTH			1	7.14		3	21.43		1	7.14		0	0.00		3	21.43		1	7.14								0	0.00		5	35.71			Excluded					14	
		TOTAL		25	1.80		473	34.08		30	2.16		16	1.15		63	4.54		26	1.87								36	2.59		719	51.80								1388	
	SIXTH			0	0.00		2	12.50		3	18.75			Excluded		2	12.50		0	0.00								4	25.00		5	31.25								16	
		TOTAL		25	1.80		475	34.22		33	2.38					65	4.68		26	1.87								40	2.88		724	52.16								1388	
	SEVENTH			5	19.23		7	26.92		7	26.92					0	0.00			Excluded								4	15.38		3	11.54								26	
		TOTAL		30	2.16		482	34.73		40	2.88					65	4.68											44	3.17		727	52.38								1388	
	EIGHTH				Excluded		13	43.33		5	16.67					0	0.00											3	10.00		9	30.00								30	
		TOTAL					495	35.66		45	3.24					65	4.68											47	3.39		736	53.03								1388	
	NINTH						17	37.78			Excluded					8	17.78											15	33.33		5	11.11								45	
		TOTAL					512	36.89								73	5.26											62	4.47		741	53.39								1388	
	TENTH						27	43.55								19	30.65												Excluded		16	25.81								62	
		TOTAL					539	38.83								92	6.63														757	54.54								1388	
	ELEVENTH						56	60.87									Excluded														36	39.13								92	
		TOTAL					595	42.87																							793	57.13								1388	
																															Elected										
																																									
Penrith North                                                  																																									
	FIRST			27	3.04		322	36.22		19	2.14		2	0.22		46	5.17		13	1.46		3	0.34		1	0.11		32	3.60		408	45.89		7	0.79		9	1.01		889	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL		27	3.04		322	36.22		19	2.14		2	0.22		46	5.17		13	1.46		3	0.34					32	3.60		408	45.89		7	0.79		10	1.12		889	
	THIRD			0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		1	33.33		0	0.00		1	33.33		3	
		TOTAL		27	3.04		323	36.33		19	2.14		2	0.22		46	5.17		13	1.46								32	3.60		409	46.01		7	0.79		11	1.24		889	
	FOURTH			0	0.00		1	9.09		2	18.18		3	27.27		1	9.09		0	0.00								2	18.18		1	9.09		1	9.09			Excluded		11	
		TOTAL		27	3.04		324	36.45		21	2.36		5	0.56		47	5.29		13	1.46								34	3.82		410	46.12		8	0.90					889	
	FIFTH			1	12.50		1	12.50		0	0.00		1	12.50		2	25.00		1	12.50								0	0.00		2	25.00			Excluded					8	
		TOTAL		28	3.15		325	36.56		21	2.36		6	0.67		49	5.51		14	1.57								34	3.82		412	46.34								889	
	SIXTH			1	16.67		2	33.33		2	33.33			Excluded		0	0.00		0	0.00								1	16.67		0	0.00								6	
		TOTAL		29	3.26		327	36.78		23	2.59					49	5.51		14	1.57								35	3.94		412	46.34								889	
	SEVENTH			2	14.29		4	28.57		3	21.43					2	14.29			Excluded								0	0.00		3	21.43								14	
		TOTAL		31	3.49		331	37.23		26	2.92					51	5.74											35	3.94		415	46.68								889	
	EIGHTH				Excluded		8	25.81		9	29.03					4	12.90											2	6.45		8	25.81								31	
		TOTAL					339	38.13		35	3.94					55	6.19											37	4.16		423	47.58								889	
	NINTH						17	48.57			Excluded					5	14.29											12	34.29		1	2.86								35	
		TOTAL					356	40.04								60	6.75											49	5.51		424	47.69								889	
	TENTH						19	38.78								11	22.45												Excluded		19	38.78								49	
		TOTAL					375	42.18								71	7.99														443	49.83								889	
	ELEVENTH						34	47.89									Excluded														37	52.11								71	
		TOTAL					409	46.01																							480	53.99								889	
																															Elected										
																																									
Penrith South                                                  																																									
	FIRST			75	2.28		1240	37.75		90	2.74		51	1.55		192	5.84		57	1.74		12	0.37		7	0.21		79	2.40		1446	44.02		24	0.73		12	0.37		3285	
	SECOND			0	0.00		1	14.29		0	0.00		1	14.29		1	14.29		0	0.00		0	0.00			Excluded		1	14.29		1	14.29		2	28.57		0	0.00		7	
		TOTAL		75	2.28		1241	37.78		90	2.74		52	1.58		193	5.88		57	1.74		12	0.37					80	2.44		1447	44.05		26	0.79		12	0.37		3285	
	THIRD			2	16.67		2	16.67		1	8.33		3	25.00		0	0.00		2	16.67			Excluded					1	8.33		0	0.00		1	8.33		0	0.00		12	
		TOTAL		77	2.34		1243	37.84		91	2.77		55	1.67		193	5.88		59	1.80								81	2.47		1447	44.05		27	0.82		12	0.37		3285	
	FOURTH			0	0.00		0	0.00		0	0.00		3	25.00		0	0.00		0	0.00								1	8.33		2	16.67		6	50.00			Excluded		12	
		TOTAL		77	2.34		1243	37.84		91	2.77		58	1.77		193	5.88		59	1.80								82	2.50		1449	44.11		33	1.00					3285	
	FIFTH			1	3.03		3	9.09		0	0.00		5	15.15		6	18.18		3	9.09								2	6.06		13	39.39			Excluded					33	
		TOTAL		78	2.37		1246	37.93		91	2.77		63	1.92		199	6.06		62	1.89								84	2.56		1462	44.51								3285	
	SIXTH			4	6.35		10	15.87		7	11.11			Excluded		8	12.70		13	20.63								12	19.05		9	14.29								63	
		TOTAL		82	2.50		1256	38.23		98	2.98					207	6.30		75	2.28								96	2.92		1471	44.78								3285	
	SEVENTH			2	2.67		24	32.00		22	29.33					9	12.00			Excluded								10	13.33		8	10.67								75	
		TOTAL		84	2.56		1280	38.96		120	3.65					216	6.58											106	3.23		1479	45.02								3285	
	EIGHTH				Excluded		31	36.90		4	4.76					2	2.38											18	21.43		29	34.52								84	
		TOTAL					1311	39.91		124	3.77					218	6.64											124	3.77		1508	45.91								3285	
	NINTH						47	37.90			Excluded					8	6.45											54	43.55		15	12.10								124	
		TOTAL					1358	41.34								226	6.88											178	5.42		1523	46.36								3285	
	TENTH						82	46.07								39	21.91												Excluded		57	32.02								178	
		TOTAL					1440	43.84								265	8.07														1580	48.10								3285	
	ELEVENTH						101	38.11									Excluded														164	61.89								265	
		TOTAL					1541	46.91																							1744	53.09								3285	
																															Elected										
																																									
Regentville                                                    																																									
	FIRST			41	2.26		577	31.77		31	1.71		8	0.44		92	5.07		30	1.65		4	0.22		1	0.06		27	1.49		987	54.35		13	0.72		5	0.28		1816	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		41	2.26		577	31.77		31	1.71		8	0.44		92	5.07		30	1.65		4	0.22					28	1.54		987	54.35		13	0.72		5	0.28		1816	
	THIRD			0	0.00		2	50.00		1	25.00		0	0.00		0	0.00		1	25.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		4	
		TOTAL		41	2.26		579	31.88		32	1.76		8	0.44		92	5.07		31	1.71								28	1.54		987	54.35		13	0.72		5	0.28		1816	
	FOURTH			0	0.00		2	40.00		0	0.00		0	0.00		0	0.00		0	0.00								1	20.00		2	40.00		0	0.00			Excluded		5	
		TOTAL		41	2.26		581	31.99		32	1.76		8	0.44		92	5.07		31	1.71								29	1.60		989	54.46		13	0.72					1816	
	FIFTH			0	0.00		0	0.00		3	23.08		0	0.00		4	30.77		0	0.00								5	38.46		1	7.69			Excluded					13	
		TOTAL		41	2.26		581	31.99		35	1.93		8	0.44		96	5.29		31	1.71								34	1.87		990	54.52								1816	
	SIXTH			0	0.00		5	62.50		2	25.00			Excluded		1	12.50		0	0.00								0	0.00		0	0.00								8	
		TOTAL		41	2.26		586	32.27		37	2.04					97	5.34		31	1.71								34	1.87		990	54.52								1816	
	SEVENTH			2	6.45		6	19.35		5	16.13					2	6.45			Excluded								7	22.58		9	29.03								31	
		TOTAL		43	2.37		592	32.60		42	2.31					99	5.45											41	2.26		999	55.01								1816	
	EIGHTH				Excluded		12	27.91		2	4.65					5	11.63											6	13.95		18	41.86								43	
		TOTAL					604	33.26		44	2.42					104	5.73											47	2.59		1017	56.00								1816	
	NINTH						17	38.64			Excluded					3	6.82											19	43.18		5	11.36								44	
		TOTAL					621	34.20								107	5.89											66	3.63		1022	56.28								1816	
	TENTH						27	40.91								16	24.24												Excluded		23	34.85								66	
		TOTAL					648	35.68								123	6.77														1045	57.54								1816	
	ELEVENTH						51	41.46									Excluded														72	58.54								123	
		TOTAL					699	38.49																							1117	61.51								1816	
																															Elected										
																																									
Stuart Street                                                  																																									
	FIRST			19	2.07		286	31.15		9	0.98		6	0.65		64	6.97		19	2.07		1	0.11		0	0.00		19	2.07		485	52.83		6	0.65		4	0.44		918	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		19	2.07		286	31.15		9	0.98		6	0.65		64	6.97		19	2.07		1	0.11					19	2.07		485	52.83		6	0.65		4	0.44		918	
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		19	2.07		286	31.15		9	0.98		7	0.76		64	6.97		19	2.07								19	2.07		485	52.83		6	0.65		4	0.44		918	
	FOURTH			1	25.00		0	0.00		0	0.00		2	50.00		0	0.00		0	0.00								0	0.00		0	0.00		1	25.00			Excluded		4	
		TOTAL		20	2.18		286	31.15		9	0.98		9	0.98		64	6.97		19	2.07								19	2.07		485	52.83		7	0.76					918	
	FIFTH			1	14.29		3	42.86		1	14.29		1	14.29		0	0.00		0	0.00								0	0.00		1	14.29			Excluded					7	
		TOTAL		21	2.29		289	31.48		10	1.09		10	1.09		64	6.97		19	2.07								19	2.07		486	52.94								918	
	SIXTH			0	0.00		1	10.00		4	40.00			Excluded		0	0.00		0	0.00								5	50.00		0	0.00								10	
		TOTAL		21	2.29		290	31.59		14	1.53					64	6.97		19	2.07								24	2.61		486	52.94								918	
	SEVENTH			3	15.79		5	26.32		5	26.32					0	0.00			Excluded								3	15.79		3	15.79								19	
		TOTAL		24	2.61		295	32.14		19	2.07					64	6.97											27	2.94		489	53.27								918	
	EIGHTH				Excluded		8	33.33		3	12.50					2	8.33											3	12.50		8	33.33								24	
		TOTAL					303	33.01		22	2.40					66	7.19											30	3.27		497	54.14								918	
	NINTH						14	63.64			Excluded					2	9.09											6	27.27		0	0.00								22	
		TOTAL					317	34.53								68	7.41											36	3.92		497	54.14								918	
	TENTH						16	44.44								6	16.67												Excluded		14	38.89								36	
		TOTAL					333	36.27								74	8.06														511	55.66								918	
	ELEVENTH						34	45.95									Excluded														40	54.05								74	
		TOTAL					367	39.98																							551	60.02								918	
																															Elected										
																																									
Sydney (Lindsay)                                               																																									
	FIRST			3	3.49		32	37.21		8	9.30		0	0.00		1	1.16		6	6.98		1	1.16		0	0.00		1	1.16		32	37.21		1	1.16		1	1.16		86	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	3.49		32	37.21		8	9.30		0	0.00		1	1.16		6	6.98		1	1.16					1	1.16		32	37.21		1	1.16		1	1.16		86	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL		3	3.49		32	37.21		8	9.30		0	0.00		1	1.16		6	6.98								1	1.16		32	37.21		1	1.16		2	2.33		86	
	FOURTH			0	0.00		1	50.00		0	0.00		1	50.00		0	0.00		0	0.00								0	0.00		0	0.00		0	0.00			Excluded		2	
		TOTAL		3	3.49		33	38.37		8	9.30		1	1.16		1	1.16		6	6.98								1	1.16		32	37.21		1	1.16					86	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00								0	0.00		1	100.00			Excluded					1	
		TOTAL		3	3.49		33	38.37		8	9.30		1	1.16		1	1.16		6	6.98								1	1.16		33	38.37								86	
	SIXTH			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00								0	0.00		0	0.00								1	
		TOTAL		3	3.49		33	38.37		9	10.47					1	1.16		6	6.98								1	1.16		33	38.37								86	
	SEVENTH			0	0.00		3	50.00		1	16.67					1	16.67			Excluded								1	16.67		0	0.00								6	
		TOTAL		3	3.49		36	41.86		10	11.63					2	2.33											2	2.33		33	38.37								86	
	EIGHTH				Excluded		1	33.33		0	0.00					0	0.00											0	0.00		2	66.67								3	
		TOTAL					37	43.02		10	11.63					2	2.33											2	2.33		35	40.70								86	
	NINTH						3	30.00			Excluded					0	0.00											6	60.00		1	10.00								10	
		TOTAL					40	46.51								2	2.33											8	9.30		36	41.86								86	
	TENTH						5	62.50								2	25.00												Excluded		1	12.50								8	
		TOTAL					45	52.33								4	4.65														37	43.02								86	
	ELEVENTH						2	50.00									Excluded														2	50.00								4	
		TOTAL					47	54.65																							39	45.35								86	
																															Elected										
																																									
Wallacia                                                       																																									
	FIRST			15	2.22		168	24.85		20	2.96		4	0.59		42	6.21		22	3.25		1	0.15		0	0.00		14	2.07		373	55.18		9	1.33		8	1.18		676	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		15	2.22		168	24.85		20	2.96		4	0.59		42	6.21		22	3.25		1	0.15					14	2.07		373	55.18		9	1.33		8	1.18		676	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		1	100.00		0	0.00		0	0.00		1	
		TOTAL		15	2.22		168	24.85		20	2.96		4	0.59		42	6.21		22	3.25								14	2.07		374	55.33		9	1.33		8	1.18		676	
	FOURTH			1	12.50		0	0.00		0	0.00		1	12.50		1	12.50		1	12.50								0	0.00		2	25.00		2	25.00			Excluded		8	
		TOTAL		16	2.37		168	24.85		20	2.96		5	0.74		43	6.36		23	3.40								14	2.07		376	55.62		11	1.63					676	
	FIFTH			3	27.27		0	0.00		0	0.00		2	18.18		2	18.18		0	0.00								2	18.18		2	18.18			Excluded					11	
		TOTAL		19	2.81		168	24.85		20	2.96		7	1.04		45	6.66		23	3.40								16	2.37		378	55.92								676	
	SIXTH			3	42.86		0	0.00		1	14.29			Excluded		0	0.00		2	28.57								0	0.00		1	14.29								7	
		TOTAL		22	3.25		168	24.85		21	3.11					45	6.66		25	3.70								16	2.37		379	56.07								676	
	SEVENTH			0	0.00		9	36.00		8	32.00					3	12.00			Excluded								2	8.00		3	12.00								25	
		TOTAL		22	3.25		177	26.18		29	4.29					48	7.10											18	2.66		382	56.51								676	
	EIGHTH				Excluded		7	31.82		5	22.73					5	22.73											2	9.09		3	13.64								22	
		TOTAL					184	27.22		34	5.03					53	7.84											20	2.96		385	56.95								676	
	NINTH						11	32.35			Excluded					3	8.82											17	50.00		3	8.82								34	
		TOTAL					195	28.85								56	8.28											37	5.47		388	57.40								676	
	TENTH						15	40.54								4	10.81												Excluded		18	48.65								37	
		TOTAL					210	31.07								60	8.88														406	60.06								676	
	ELEVENTH						23	38.33									Excluded														37	61.67								60	
		TOTAL					233	34.47																							443	65.53								676	
																															Elected										
																																									
Werrington                                                     																																									
	FIRST			56	2.77		866	42.79		22	1.09		20	0.99		107	5.29		30	1.48		9	0.44		4	0.20		104	5.14		786	38.83		10	0.49		10	0.49		2024	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	25.00		1	25.00			Excluded		0	0.00		1	25.00		1	25.00		0	0.00		4	
		TOTAL		56	2.77		866	42.79		22	1.09		20	0.99		107	5.29		31	1.53		10	0.49					104	5.14		787	38.88		11	0.54		10	0.49		2024	
	THIRD			0	0.00		3	30.00		1	10.00		0	0.00		0	0.00		1	10.00			Excluded					1	10.00		2	20.00		1	10.00		1	10.00		10	
		TOTAL		56	2.77		869	42.93		23	1.14		20	0.99		107	5.29		32	1.58								105	5.19		789	38.98		12	0.59		11	0.54		2024	
	FOURTH			0	0.00		3	27.27		0	0.00		2	18.18		1	9.09		0	0.00								0	0.00		2	18.18		3	27.27			Excluded		11	
		TOTAL		56	2.77		872	43.08		23	1.14		22	1.09		108	5.34		32	1.58								105	5.19		791	39.08		15	0.74					2024	
	FIFTH			0	0.00		1	6.67		3	20.00		1	6.67		2	13.33		1	6.67								4	26.67		3	20.00			Excluded					15	
		TOTAL		56	2.77		873	43.13		26	1.28		23	1.14		110	5.43		33	1.63								109	5.39		794	39.23								2024	
	SIXTH			2	8.70		4	17.39		5	21.74			Excluded		4	17.39		1	4.35								6	26.09		1	4.35								23	
		TOTAL		58	2.87		877	43.33		31	1.53					114	5.63		34	1.68								115	5.68		795	39.28								2024	
	SEVENTH			3	8.82		13	38.24		5	14.71					2	5.88			Excluded								3	8.82		8	23.53								34	
		TOTAL		61	3.01		890	43.97		36	1.78					116	5.73											118	5.83		803	39.67								2024	
	EIGHTH				Excluded		25	40.98		7	11.48					2	3.28											16	26.23		11	18.03								61	
		TOTAL					915	45.21		43	2.12					118	5.83											134	6.62		814	40.22								2024	
	NINTH						17	39.53			Excluded					4	9.30											16	37.21		6	13.95								43	
