House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result 											
By Polling Place											
											
Farrer (84423)											
		Candidate		"BOTT, Bill"		                 	"LEY, Sussan"			Total	
		"WATSON, Stuart (IND)"	0	0	0.00		0	0.00		0	
		"KREUTZBERGER, Keith"	11	7	63.64		4	36.36		11	
		"MILLEN, Frank (CLR)"	12	9	75.00		3	25.00		12	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	1	1	100.00		0	0.00		1	
		"TAYLOR, Sue (IND)"	3	0	0.00		3	100.00		3	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	31	65	35.52		118	64.48		183	

	Rosewood										
			1st Prefs	53	38.69		84	61.31		137	
		"SOBEY, Chris (GRN)"	8	6	75.00		2	25.00		8	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	13	5	38.46		8	61.54		13	
		"WATSON, Stuart (IND)"	3	2	66.67		1	33.33		3	
		"KREUTZBERGER, Keith"	1	0	0.00		1	100.00		1	
		"MILLEN, Frank (CLR)"	21	21	100.00		0	0.00		21	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	3	2	66.67		1	33.33		3	
		"TAYLOR, Sue (IND)"	3	2	66.67		1	33.33		3	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	52	91	48.15		98	51.85		189	

	Springdale Heights										
			1st Prefs	85	25.99		242	74.01		327	
		"SOBEY, Chris (GRN)"	24	15	62.50		9	37.50		24	
		"WEYRICH, Tom (IND)"	2	2	100.00		0	0.00		2	
		"WILKINSON, Max (HAN)"	40	15	37.50		25	62.50		40	
		"WATSON, Stuart (IND)"	9	6	66.67		3	33.33		9	
		"KREUTZBERGER, Keith"	5	3	60.00		2	40.00		5	
		"MILLEN, Frank (CLR)"	174	148	85.06		26	14.94		174	
		"CORBETT, David (IND)"	5	3	60.00		2	40.00		5	
		"PATERSON, Brett (DEM)"	22	14	63.64		8	36.36		22	
		"TAYLOR, Sue (IND)"	9	3	33.33		6	66.67		9	
		"GIBSON, Andrew (IND)"	6	1	16.67		5	83.33		6	
		Total	296	295	47.35		328	52.65		623	

	Sydney (Farrer)										
			1st Prefs	6	54.55		5	45.45		11	
		"SOBEY, Chris (GRN)"	3	1	33.33		2	66.67		3	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	0	0	0.00		0	0.00		0	
		"WATSON, Stuart (IND)"	0	0	0.00		0	0.00		0	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	4	3	75.00		1	25.00		4	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	1	1	100.00		0	0.00		1	
		"TAYLOR, Sue (IND)"	0	0	0.00		0	0.00		0	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	8	11	57.89		8	42.11		19	

	Table Top										
			1st Prefs	50	23.36		164	76.64		214	
		"SOBEY, Chris (GRN)"	13	8	61.54		5	38.46		13	
		"WEYRICH, Tom (IND)"	2	1	50.00		1	50.00		2	
		"WILKINSON, Max (HAN)"	13	2	15.38		11	84.62		13	
		"WATSON, Stuart (IND)"	2	1	50.00		1	50.00		2	
		"KREUTZBERGER, Keith"	3	1	33.33		2	66.67		3	
		"MILLEN, Frank (CLR)"	28	23	82.14		5	17.86		28	
		"CORBETT, David (IND)"	1	0	0.00		1	100.00		1	
		"PATERSON, Brett (DEM)"	9	5	55.56		4	44.44		9	
		"TAYLOR, Sue (IND)"	3	2	66.67		1	33.33		3	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	74	93	32.29		195	67.71		288	

	Talbingo										
			1st Prefs	18	24.66		55	75.34		73	
		"SOBEY, Chris (GRN)"	6	5	83.33		1	16.67		6	
		"WEYRICH, Tom (IND)"	1	1	100.00		0	0.00		1	
		"WILKINSON, Max (HAN)"	12	8	66.67		4	33.33		12	
		"WATSON, Stuart (IND)"	8	3	37.50		5	62.50		8	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	62	51	82.26		11	17.74		62	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	5	3	60.00		2	40.00		5	
		"TAYLOR, Sue (IND)"	5	3	60.00		2	40.00		5	
		"GIBSON, Andrew (IND)"	2	1	50.00		1	50.00		2	
		Total	101	93	53.45		81	46.55		174	

	The Retreat										
			1st Prefs	26	39.39		40	60.61		66	
		"SOBEY, Chris (GRN)"	1	1	100.00		0	0.00		1	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	4	3	75.00		1	25.00		4	
		"WATSON, Stuart (IND)"	0	0	0.00		0	0.00		0	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	1	1	100.00		0	0.00		1	
		"CORBETT, David (IND)"	1	1	100.00		0	0.00		1	
		"PATERSON, Brett (DEM)"	0	0	0.00		0	0.00		0	
		"TAYLOR, Sue (IND)"	1	0	0.00		1	100.00		1	
		"GIBSON, Andrew (IND)"	1	1	100.00		0	0.00		1	
		Total	9	33	44.00		42	56.00		75	

	The Rock										
			1st Prefs	131	38.30		211	61.70		342	
		"SOBEY, Chris (GRN)"	26	15	57.69		11	42.31		26	
		"WEYRICH, Tom (IND)"	3	1	33.33		2	66.67		3	
		"WILKINSON, Max (HAN)"	46	28	60.87		18	39.13		46	
		"WATSON, Stuart (IND)"	8	7	87.50		1	12.50		8	
		"KREUTZBERGER, Keith"	4	2	50.00		2	50.00		4	
		"MILLEN, Frank (CLR)"	180	152	84.44		28	15.56		180	
		"CORBETT, David (IND)"	4	2	50.00		2	50.00		4	
		"PATERSON, Brett (DEM)"	17	10	58.82		7	41.18		17	
		"TAYLOR, Sue (IND)"	9	8	88.89		1	11.11		9	
		"GIBSON, Andrew (IND)"	3	1	33.33		2	66.67		3	
		Total	300	357	55.61		285	44.39		642	

	Thurgoona										
			1st Prefs	275	25.63		798	74.37		1073	
		"SOBEY, Chris (GRN)"	75	40	53.33		35	46.67		75	
		"WEYRICH, Tom (IND)"	9	3	33.33		6	66.67		9	
		"WILKINSON, Max (HAN)"	90	34	37.78		56	62.22		90	
		"WATSON, Stuart (IND)"	28	19	67.86		9	32.14		28	
		"KREUTZBERGER, Keith"	24	13	54.17		11	45.83		24	
		"MILLEN, Frank (CLR)"	379	318	83.91		61	16.09		379	
		"CORBETT, David (IND)"	14	6	42.86		8	57.14		14	
		"PATERSON, Brett (DEM)"	76	38	50.00		38	50.00		76	
		"TAYLOR, Sue (IND)"	20	10	50.00		10	50.00		20	
		"GIBSON, Andrew (IND)"	9	7	77.78		2	22.22		9	
		Total	724	763	42.46		1034	57.54		1797	

	Tocumwal										
			1st Prefs	372	47.57		410	52.43		782	
		"SOBEY, Chris (GRN)"	27	21	77.78		6	22.22		27	
		"WEYRICH, Tom (IND)"	4	3	75.00		1	25.00		4	
		"WILKINSON, Max (HAN)"	65	18	27.69		47	72.31		65	
		"WATSON, Stuart (IND)"	12	7	58.33		5	41.67		12	
		"KREUTZBERGER, Keith"	12	4	33.33		8	66.67		12	
		"MILLEN, Frank (CLR)"	266	239	89.85		27	10.15		266	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	15	9	60.00		6	40.00		15	
		"TAYLOR, Sue (IND)"	18	13	72.22		5	27.78		18	
		"GIBSON, Andrew (IND)"	3	1	33.33		2	66.67		3	
		Total	422	687	57.06		517	42.94		1204	

	Tooleybuc										
			1st Prefs	71	41.04		102	58.96		173	
		"SOBEY, Chris (GRN)"	3	3	100.00		0	0.00		3	
		"WEYRICH, Tom (IND)"	2	2	100.00		0	0.00		2	
		"WILKINSON, Max (HAN)"	28	6	21.43		22	78.57		28	
		"WATSON, Stuart (IND)"	4	2	50.00		2	50.00		4	
		"KREUTZBERGER, Keith"	2	0	0.00		2	100.00		2	
		"MILLEN, Frank (CLR)"	44	39	88.64		5	11.36		44	
		"CORBETT, David (IND)"	2	2	100.00		0	0.00		2	
		"PATERSON, Brett (DEM)"	0	0	0.00		0	0.00		0	
		"TAYLOR, Sue (IND)"	2	1	50.00		1	50.00		2	
		"GIBSON, Andrew (IND)"	1	1	100.00		0	0.00		1	
		Total	88	127	48.66		134	51.34		261	

	Tooma										
			1st Prefs	43	43.00		57	57.00		100	
		"SOBEY, Chris (GRN)"	4	4	100.00		0	0.00		4	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	2	2	100.00		0	0.00		2	
		"WATSON, Stuart (IND)"	2	0	0.00		2	100.00		2	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	2	2	100.00		0	0.00		2	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	1	0	0.00		1	100.00		1	
		"TAYLOR, Sue (IND)"	0	0	0.00		0	0.00		0	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	11	51	45.95		60	54.05		111	

	Tumbarumba										
			1st Prefs	165	25.58		480	74.42		645	
		"SOBEY, Chris (GRN)"	49	40	81.63		9	18.37		49	
		"WEYRICH, Tom (IND)"	3	0	0.00		3	100.00		3	
		"WILKINSON, Max (HAN)"	102	27	26.47		75	73.53		102	
		"WATSON, Stuart (IND)"	33	26	78.79		7	21.21		33	
		"KREUTZBERGER, Keith"	10	8	80.00		2	20.00		10	
		"MILLEN, Frank (CLR)"	376	320	85.11		56	14.89		376	
		"CORBETT, David (IND)"	2	2	100.00		0	0.00		2	
		"PATERSON, Brett (DEM)"	21	14	66.67		7	33.33		21	
		"TAYLOR, Sue (IND)"	16	7	43.75		9	56.25		16	
		"GIBSON, Andrew (IND)"	5	3	60.00		2	40.00		5	
		Total	617	612	48.49		650	51.51		1262	

	Tumut										
			1st Prefs	298	21.83		1067	78.17		1365	
		"SOBEY, Chris (GRN)"	87	63	72.41		24	27.59		87	
		"WEYRICH, Tom (IND)"	11	9	81.82		2	18.18		11	
		"WILKINSON, Max (HAN)"	128	48	37.50		80	62.50		128	
		"WATSON, Stuart (IND)"	159	86	54.09		73	45.91		159	
		"KREUTZBERGER, Keith"	14	5	35.71		9	64.29		14	
		"MILLEN, Frank (CLR)"	691	571	82.63		120	17.37		691	
		"CORBETT, David (IND)"	7	3	42.86		4	57.14		7	
		"PATERSON, Brett (DEM)"	34	20	58.82		14	41.18		34	
		"TAYLOR, Sue (IND)"	25	10	40.00		15	60.00		25	
		"GIBSON, Andrew (IND)"	10	4	40.00		6	60.00		10	
		Total	1166	1117	44.13		1414	55.87		2531	

	Tumut East										
			1st Prefs	137	23.66		442	76.34		579	
		"SOBEY, Chris (GRN)"	49	38	77.55		11	22.45		49	
		"WEYRICH, Tom (IND)"	5	3	60.00		2	40.00		5	
		"WILKINSON, Max (HAN)"	73	27	36.99		46	63.01		73	
		"WATSON, Stuart (IND)"	67	38	56.72		29	43.28		67	
		"KREUTZBERGER, Keith"	9	5	55.56		4	44.44		9	
		"MILLEN, Frank (CLR)"	400	337	84.25		63	15.75		400	
		"CORBETT, David (IND)"	1	1	100.00		0	0.00		1	
		"PATERSON, Brett (DEM)"	20	14	70.00		6	30.00		20	
		"TAYLOR, Sue (IND)"	9	6	66.67		3	33.33		9	
		"GIBSON, Andrew (IND)"	5	1	20.00		4	80.00		5	
		Total	638	607	49.88		610	50.12		1217	

	Urana										
			1st Prefs	64	43.84		82	56.16		146	
		"SOBEY, Chris (GRN)"	3	3	100.00		0	0.00		3	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	21	9	42.86		12	57.14		21	
		"WATSON, Stuart (IND)"	4	4	100.00		0	0.00		4	
		"KREUTZBERGER, Keith"	1	1	100.00		0	0.00		1	
		"MILLEN, Frank (CLR)"	95	87	91.58		8	8.42		95	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	0	0	0.00		0	0.00		0	
		"TAYLOR, Sue (IND)"	3	3	100.00		0	0.00		3	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	127	171	62.64		102	37.36		273	

	Wakool										
			1st Prefs	128	49.04		133	50.96		261	
		"SOBEY, Chris (GRN)"	6	5	83.33		1	16.67		6	
		"WEYRICH, Tom (IND)"	1	0	0.00		1	100.00		1	
		"WILKINSON, Max (HAN)"	24	8	33.33		16	66.67		24	
		"WATSON, Stuart (IND)"	5	3	60.00		2	40.00		5	
		"KREUTZBERGER, Keith"	1	1	100.00		0	0.00		1	
		"MILLEN, Frank (CLR)"	30	18	60.00		12	40.00		30	
		"CORBETT, David (IND)"	1	0	0.00		1	100.00		1	
		"PATERSON, Brett (DEM)"	4	3	75.00		1	25.00		4	
		"TAYLOR, Sue (IND)"	10	6	60.00		4	40.00		10	
		"GIBSON, Andrew (IND)"	4	2	50.00		2	50.00		4	
		Total	86	174	50.14		173	49.86		347	

	Walbundrie										
			1st Prefs	55	38.19		89	61.81		144	
		"SOBEY, Chris (GRN)"	2	1	50.00		1	50.00		2	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	9	6	66.67		3	33.33		9	
		"WATSON, Stuart (IND)"	2	1	50.00		1	50.00		2	
		"KREUTZBERGER, Keith"	5	3	60.00		2	40.00		5	
		"MILLEN, Frank (CLR)"	7	7	100.00		0	0.00		7	
		"CORBETT, David (IND)"	1	1	100.00		0	0.00		1	
		"PATERSON, Brett (DEM)"	0	0	0.00		0	0.00		0	
		"TAYLOR, Sue (IND)"	1	0	0.00		1	100.00		1	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	27	74	43.27		97	56.73		171	

	Walla Walla										
			1st Prefs	142	40.57		208	59.43		350	
		"SOBEY, Chris (GRN)"	9	6	66.67		3	33.33		9	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	19	9	47.37		10	52.63		19	
		"WATSON, Stuart (IND)"	8	0	0.00		8	100.00		8	
		"KREUTZBERGER, Keith"	8	5	62.50		3	37.50		8	
		"MILLEN, Frank (CLR)"	62	53	85.48		9	14.52		62	
		"CORBETT, David (IND)"	1	1	100.00		0	0.00		1	
		"PATERSON, Brett (DEM)"	11	5	45.45		6	54.55		11	
		"TAYLOR, Sue (IND)"	9	5	55.56		4	44.44		9	
		"GIBSON, Andrew (IND)"	1	0	0.00		1	100.00		1	
		Total	128	226	47.28		252	52.72		478	

	Wanganella										
			1st Prefs	15	42.86		20	57.14		35	
		"SOBEY, Chris (GRN)"	0	0	0.00		0	0.00		0	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	2	0	0.00		2	100.00		2	
		"WATSON, Stuart (IND)"	2	2	100.00		0	0.00		2	
		"KREUTZBERGER, Keith"	1	0	0.00		1	100.00		1	
		"MILLEN, Frank (CLR)"	1	1	100.00		0	0.00		1	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	0	0	0.00		0	0.00		0	
		"TAYLOR, Sue (IND)"	4	2	50.00		2	50.00		4	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	10	20	44.44		25	55.56		45	

	Wentworth										
			1st Prefs	282	52.13		259	47.87		541	
		"SOBEY, Chris (GRN)"	31	25	80.65		6	19.35		31	
		"WEYRICH, Tom (IND)"	5	2	40.00		3	60.00		5	
		"WILKINSON, Max (HAN)"	185	53	28.65		132	71.35		185	
		"WATSON, Stuart (IND)"	4	3	75.00		1	25.00		4	
		"KREUTZBERGER, Keith"	9	2	22.22		7	77.78		9	
		"MILLEN, Frank (CLR)"	188	157	83.51		31	16.49		188	
		"CORBETT, David (IND)"	4	2	50.00		2	50.00		4	
		"PATERSON, Brett (DEM)"	12	5	41.67		7	58.33		12	
		"TAYLOR, Sue (IND)"	6	3	50.00		3	50.00		6	
		"GIBSON, Andrew (IND)"	6	5	83.33		1	16.67		6	
		Total	450	539	54.39		452	45.61		991	

	Woomargama										
			1st Prefs	28	37.84		46	62.16		74	
		"SOBEY, Chris (GRN)"	5	2	40.00		3	60.00		5	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	11	7	63.64		4	36.36		11	
		"WATSON, Stuart (IND)"	1	1	100.00		0	0.00		1	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	11	8	72.73		3	27.27		11	
		"CORBETT, David (IND)"	2	0	0.00		2	100.00		2	
		"PATERSON, Brett (DEM)"	3	2	66.67		1	33.33		3	
		"TAYLOR, Sue (IND)"	0	0	0.00		0	0.00		0	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	33	48	44.86		59	55.14		107	

	Yerong Creek										
			1st Prefs	54	47.79		59	52.21		113	
		"SOBEY, Chris (GRN)"	4	4	100.00		0	0.00		4	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	18	8	44.44		10	55.56		18	
		"WATSON, Stuart (IND)"	2	1	50.00		1	50.00		2	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	34	32	94.12		2	5.88		34	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	2	2	100.00		0	0.00		2	
		"TAYLOR, Sue (IND)"	1	1	100.00		0	0.00		1	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	61	102	58.62		72	41.38		174	

	Special Hospitals										
			1st Prefs	71	36.41		124	63.59		195	
		"SOBEY, Chris (GRN)"	3	3	100.00		0	0.00		3	
		"WEYRICH, Tom (IND)"	4	3	75.00		1	25.00		4	
		"WILKINSON, Max (HAN)"	4	2	50.00		2	50.00		4	
		"WATSON, Stuart (IND)"	1	1	100.00		0	0.00		1	
		"KREUTZBERGER, Keith"	1	1	100.00		0	0.00		1	
		"MILLEN, Frank (CLR)"	80	65	81.25		15	18.75		80	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	3	2	66.67		1	33.33		3	
		"TAYLOR, Sue (IND)"	3	1	33.33		2	66.67		3	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	99	149	50.68		145	49.32		294	

	Total Ordinary										
			1st Prefs	14971	37.66		24779	62.34		39750	
		"SOBEY, Chris (GRN)"	2143	1337	62.39		806	37.61		2143	
		"WEYRICH, Tom (IND)"	421	291	69.12		130	30.88		421	
		"WILKINSON, Max (HAN)"	4134	1671	40.42		2463	59.58		4134	
		"WATSON, Stuart (IND)"	930	533	57.31		397	42.69		930	
		"KREUTZBERGER, Keith"	612	340	55.56		272	44.44		612	
		"MILLEN, Frank (CLR)"	13789	11515	83.51		2274	16.49		13789	
		"CORBETT, David (IND)"	300	177	59.00		123	41.00		300	
		"PATERSON, Brett (DEM)"	1578	799	50.63		779	49.37		1578	
		"TAYLOR, Sue (IND)"	1076	534	49.63		542	50.37		1076	
		"GIBSON, Andrew (IND)"	340	170	50.00		170	50.00		340	
		Total	25323	32338	49.69		32735	50.31		65073	

	ABSENT										
			1st Prefs	466	40.84		675	59.16		1141	
		"SOBEY, Chris (GRN)"	135	90	66.67		45	33.33		135	
		"WEYRICH, Tom (IND)"	13	8	61.54		5	38.46		13	
		"WILKINSON, Max (HAN)"	115	67	58.26		48	41.74		115	
		"WATSON, Stuart (IND)"	39	24	61.54		15	38.46		39	
		"KREUTZBERGER, Keith"	11	10	90.91		1	9.09		11	
		"MILLEN, Frank (CLR)"	378	266	70.37		112	29.63		378	
		"CORBETT, David (IND)"	9	4	44.44		5	55.56		9	
		"PATERSON, Brett (DEM)"	99	52	52.53		47	47.47		99	
		"TAYLOR, Sue (IND)"	43	23	53.49		20	46.51		43	
		"GIBSON, Andrew (IND)"	24	11	45.83		13	54.17		24	
		Total	866	1021	50.87		986	49.13		2007	

	POSTAL										
			1st Prefs	1197	50.38		1179	49.62		2376	
		"SOBEY, Chris (GRN)"	69	44	63.77		25	36.23		69	
		"WEYRICH, Tom (IND)"	19	12	63.16		7	36.84		19	
		"WILKINSON, Max (HAN)"	258	126	48.84		132	51.16		258	
		"WATSON, Stuart (IND)"	51	31	60.78		20	39.22		51	
		"KREUTZBERGER, Keith"	25	12	48.00		13	52.00		25	
		"MILLEN, Frank (CLR)"	696	497	71.41		199	28.59		696	
		"CORBETT, David (IND)"	17	9	52.94		8	47.06		17	
		"PATERSON, Brett (DEM)"	76	32	42.11		44	57.89		76	
		"TAYLOR, Sue (IND)"	53	29	54.72		24	45.28		53	
		"GIBSON, Andrew (IND)"	14	8	57.14		6	42.86		14	
		Total	1278	1997	54.65		1657	45.35		3654	

	PRE_POLL										
			1st Prefs	924	35.51		1678	64.49		2602	
		"SOBEY, Chris (GRN)"	215	142	66.05		73	33.95		215	
		"WEYRICH, Tom (IND)"	26	16	61.54		10	38.46		26	
		"WILKINSON, Max (HAN)"	254	122	48.03		132	51.97		254	
		"WATSON, Stuart (IND)"	42	21	50.00		21	50.00		42	
		"KREUTZBERGER, Keith"	36	18	50.00		18	50.00		36	
		"MILLEN, Frank (CLR)"	843	644	76.39		199	23.61		843	
		"CORBETT, David (IND)"	25	15	60.00		10	40.00		25	
		"PATERSON, Brett (DEM)"	188	106	56.38		82	43.62		188	
		"TAYLOR, Sue (IND)"	64	26	40.63		38	59.38		64	
		"GIBSON, Andrew (IND)"	34	18	52.94		16	47.06		34	
		Total	1727	2052	47.40		2277	52.60		4329	

	PROVISIONAL										
			1st Prefs	83	37.56		138	62.44		221	
		"SOBEY, Chris (GRN)"	21	16	76.19		5	23.81		21	
		"WEYRICH, Tom (IND)"	6	4	66.67		2	33.33		6	
		"WILKINSON, Max (HAN)"	34	13	38.24		21	61.76		34	
		"WATSON, Stuart (IND)"	6	4	66.67		2	33.33		6	
		"KREUTZBERGER, Keith"	12	7	58.33		5	41.67		12	
		"MILLEN, Frank (CLR)"	124	98	79.03		26	20.97		124	
		"CORBETT, David (IND)"	5	5	100.00		0	0.00		5	
		"PATERSON, Brett (DEM)"	18	12	66.67		6	33.33		18	
		"TAYLOR, Sue (IND)"	18	10	55.56		8	44.44		18	
		"GIBSON, Andrew (IND)"	4	3	75.00		1	25.00		4	
		Total	248	255	54.37		214	45.63		469	

	Division Summary										
			1st Prefs	17641	38.28		28449	61.72		46090	
		"SOBEY, Chris (GRN)"	2583	1629	63.07		954	36.93		2583	
		"WEYRICH, Tom (IND)"	485	331	68.25		154	31.75		485	
		"WILKINSON, Max (HAN)"	4795	1999	41.69		2796	58.31		4795	
		"WATSON, Stuart (IND)"	1068	613	57.40		455	42.60		1068	
		"KREUTZBERGER, Keith"	696	387	55.60		309	44.40		696	
		"MILLEN, Frank (CLR)"	15830	13020	82.25		2810	17.75		15830	
		"CORBETT, David (IND)"	356	210	58.99		146	41.01		356	
		"PATERSON, Brett (DEM)"	1959	1001	51.10		958	48.90		1959	
		"TAYLOR, Sue (IND)"	1254	622	49.60		632	50.40		1254	
		"GIBSON, Andrew (IND)"	416	210	50.48		206	49.52		416	
		Total	29442	37663	49.86		37869	50.14		75532	
