House of Representatives - 2001 Election: New South Wales																												
Distribution of Preferences																												
By Polling Place																												
																												
Cunningham																												
				CURTIS			PINK			FIELDS			BERRY			MOTT			MARTIN			NEWMAN			SKINNER			
		TOTAL		198	6.49					1092	35.82		132	4.33		136	4.46		1334	43.75		157	5.15					3049
	FOURTH				Excluded					73	36.87		21	10.61		50	25.25		40	20.20		14	7.07					198
		TOTAL								1165	38.21		153	5.02		186	6.10		1374	45.06		171	5.61					3049
	FIFTH									54	29.03		38	20.43			Excluded		43	23.12		51	27.42					186
		TOTAL								1219	39.98		191	6.26					1417	46.47		222	7.28					3049
	SIXTH									44	19.82		88	39.64					90	40.54			Excluded					222
		TOTAL								1263	41.42		279	9.15					1507	49.43								3049
	SEVENTH									110	39.43			Excluded					169	60.57								279
		TOTAL								1373	45.03								1676	54.97								3049
																			Elected									
																												
PRE POLL																												
	FIRST			153	4.49		48	1.41		1039	30.49		227	6.66		149	4.37		1458	42.78		261	7.66		73	2.14		3408
	SECOND			10	20.83			Excluded		5	10.42		13	27.08		4	8.33		8	16.67		3	6.25		5	10.42		48
		TOTAL		163	4.78					1044	30.63		240	7.04		153	4.49		1466	43.02		264	7.75		78	2.29		3408
	THIRD			6	7.69					26	33.33		8	10.26		10	12.82		10	12.82		18	23.08			Excluded		78
		TOTAL		169	4.96					1070	31.40		248	7.28		163	4.78		1476	43.31		282	8.27					3408
	FOURTH				Excluded					54	31.95		20	11.83		36	21.30		39	23.08		20	11.83					169
		TOTAL								1124	32.98		268	7.86		199	5.84		1515	44.45		302	8.86					3408
	FIFTH									69	34.67		52	26.13			Excluded		35	17.59		43	21.61					199
		TOTAL								1193	35.01		320	9.39					1550	45.48		345	10.12					3408
	SIXTH									61	17.68		151	43.77					133	38.55			Excluded					345
		TOTAL								1254	36.80		471	13.82					1683	49.38								3408
	SEVENTH									150	31.85			Excluded					321	68.15								471
		TOTAL								1404	41.20								2004	58.80								3408
																			Elected									
																												
PROVISIONAL																												
	FIRST			16	4.91		14	4.29		64	19.63		31	9.51		10	3.07		157	48.16		24	7.36		10	3.07		326
	SECOND			2	14.29			Excluded		1	7.14		7	50.00		1	7.14		3	21.43		0	0.00		0	0.00		14
		TOTAL		18	5.52					65	19.94		38	11.66		11	3.37		160	49.08		24	7.36		10	3.07		326
	THIRD			3	30.00					6	60.00		0	0.00		0	0.00		1	10.00		0	0.00			Excluded		10
		TOTAL		21	6.44					71	21.78		38	11.66		11	3.37		161	49.39		24	7.36					326
	FOURTH				Excluded					5	23.81		5	23.81		6	28.57		3	14.29		2	9.52					21
		TOTAL								76	23.31		43	13.19		17	5.21		164	50.31		26	7.98					326
	FIFTH									5	29.41		9	52.94			Excluded		2	11.76		1	5.88					17
		TOTAL								81	24.85		52	15.95					166	50.92		27	8.28					326
	SIXTH									4	14.81		13	48.15					10	37.04			Excluded					27
		TOTAL								85	26.07		65	19.94					176	53.99								326
	SEVENTH									21	32.31			Excluded					44	67.69								65
		TOTAL								106	32.52								220	67.48								326
																			Elected									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
