House of Representatives - 2001 Election: New South Wales																																								
Distribution of Preferences 																																								
By Polling Place																																								
																																								
Farrer																																								
				SOBEY			WEYRICH			BOTT			WILKINSON			WATSON			KREUTZBERGER			MILLEN			LEY			CORBETT			PATERSON			TAYLOR			GIBSON			
	FIFTH			1	3.70					7	25.93		3	11.11		2	7.41			Excluded		5	18.52		3	11.11					0	0.00		6	22.22					27
		TOTAL		68	3.50					320	16.49		132	6.80		35	1.80					460	23.70		816	42.04					71	3.66		39	2.01					1941
	SIXTH			6	17.14					4	11.43		3	8.57			Excluded					5	14.29		5	14.29					1	2.86		11	31.43					35
		TOTAL		74	3.81					324	16.69		135	6.96								465	23.96		821	42.30					72	3.71		50	2.58					1941
	SEVENTH			32	44.44					4	5.56		4	5.56								13	18.06		6	8.33						Excluded		13	18.06					72
		TOTAL		106	5.46					328	16.90		139	7.16								478	24.63		827	42.61								63	3.25					1941
	EIGHTH			14	22.22					11	17.46		15	23.81								6	9.52		17	26.98									Excluded					63
		TOTAL		120	6.18					339	17.47		154	7.93								484	24.94		844	43.48														1941
	NINTH				Excluded					40	33.33		10	8.33								49	40.83		21	17.50														120
		TOTAL								379	19.53		164	8.45								533	27.46		865	44.56														1941
	TENTH									50	30.49			Excluded								36	21.95		78	47.56														164
		TOTAL								429	22.10											569	29.31		943	48.58														1941
	ELEVENTH									433	76.10												Excluded		136	23.90														569
		TOTAL								862	44.41														1079	55.59														1941
																									Elected															
																																								
Lockhart                                                       																																								
	FIRST			11	1.42		1	0.13		290	37.47		44	5.68		11	1.42		6	0.78		142	18.35		245	31.65		5	0.65		8	1.03		9	1.16		2	0.26		774
	SECOND			1	20.00		0	0.00		1	20.00		0	0.00		0	0.00		0	0.00		1	20.00		0	0.00			Excluded		1	20.00		1	20.00		0	0.00		5
		TOTAL		12	1.55		1	0.13		291	37.60		44	5.68		11	1.42		6	0.78		143	18.48		245	31.65					9	1.16		10	1.29		2	0.26		774
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		2	100.00			Excluded		2
		TOTAL		12	1.55		1	0.13		291	37.60		44	5.68		11	1.42		6	0.78		143	18.48		245	31.65					9	1.16		12	1.55					774
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	100.00					1
		TOTAL		12	1.55					291	37.60		44	5.68		11	1.42		6	0.78		143	18.48		245	31.65					9	1.16		13	1.68					774
	FIFTH			1	16.67					2	33.33		0	0.00		0	0.00			Excluded		0	0.00		1	16.67					0	0.00		2	33.33					6
		TOTAL		13	1.68					293	37.86		44	5.68		11	1.42					143	18.48		246	31.78					9	1.16		15	1.94					774
	SIXTH			1	9.09					2	18.18		1	9.09			Excluded					1	9.09		1	9.09					0	0.00		5	45.45					11
		TOTAL		14	1.81					295	38.11		45	5.81								144	18.60		247	31.91					9	1.16		20	2.58					774
	SEVENTH			2	22.22					1	11.11		0	0.00								1	11.11		4	44.44						Excluded		1	11.11					9
		TOTAL		16	2.07					296	38.24		45	5.81								145	18.73		251	32.43								21	2.71					774
	EIGHTH			7	33.33					6	28.57		3	14.29								2	9.52		3	14.29									Excluded					21
		TOTAL		23	2.97					302	39.02		48	6.20								147	18.99		254	32.82														774
	NINTH				Excluded					10	43.48		5	21.74								7	30.43		1	4.35														23
		TOTAL								312	40.31		53	6.85								154	19.90		255	32.95														774
	TENTH									12	22.64			Excluded								15	28.30		26	49.06														53
		TOTAL								324	41.86											169	21.83		281	36.30														774
	ELEVENTH									140	82.84												Excluded		29	17.16														169
		TOTAL								464	59.95														310	40.05														774
																									Elected															
																																								
Lowesdale                                                      																																								
	FIRST			2	1.56		0	0.00		90	70.31		5	3.91		0	0.00		1	0.78		5	3.91		24	18.75		0	0.00		0	0.00		1	0.78		0	0.00		128
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	1.56		0	0.00		90	70.31		5	3.91		0	0.00		1	0.78		5	3.91		24	18.75					0	0.00		1	0.78		0	0.00		128
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		2	1.56		0	0.00		90	70.31		5	3.91		0	0.00		1	0.78		5	3.91		24	18.75					0	0.00		1	0.78					128
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		2	1.56					90	70.31		5	3.91		0	0.00		1	0.78		5	3.91		24	18.75					0	0.00		1	0.78					128
	FIFTH			0	0.00					1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					1
		TOTAL		2	1.56					91	71.09		5	3.91		0	0.00					5	3.91		24	18.75					0	0.00		1	0.78					128
	SIXTH			0	0.00					0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		2	1.56					91	71.09		5	3.91								5	3.91		24	18.75					0	0.00		1	0.78					128
	SEVENTH			0	0.00					0	0.00		0	0.00								0	0.00		0	0.00						Excluded		0	0.00					0
		TOTAL		2	1.56					91	71.09		5	3.91								5	3.91		24	18.75								1	0.78					128
	EIGHTH			0	0.00					1	100.00		0	0.00								0	0.00		0	0.00									Excluded					1
		TOTAL		2	1.56					92	71.88		5	3.91								5	3.91		24	18.75														128
	NINTH				Excluded					2	100.00		0	0.00								0	0.00		0	0.00														2
		TOTAL								94	73.44		5	3.91								5	3.91		24	18.75														128
	TENTH									2	40.00			Excluded								2	40.00		1	20.00														5
		TOTAL								96	75.00											7	5.47		25	19.53														128
	ELEVENTH									5	71.43												Excluded		2	28.57														7
		TOTAL								101	78.91														27	21.09														128
																									Elected															
																																								
Mathoura                                                       																																								
	FIRST			8	1.50		42	7.88		127	23.83		34	6.38		4	0.75		4	0.75		141	26.45		150	28.14		2	0.38		4	0.75		13	2.44		4	0.75		533
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		2
		TOTAL		8	1.50		43	8.07		127	23.83		34	6.38		4	0.75		4	0.75		142	26.64		150	28.14					4	0.75		13	2.44		4	0.75		533
	THIRD			0	0.00		2	50.00		0	0.00		0	0.00		0	0.00		0	0.00		1	25.00		0	0.00					0	0.00		1	25.00			Excluded		4
		TOTAL		8	1.50		45	8.44		127	23.83		34	6.38		4	0.75		4	0.75		143	26.83		150	28.14					4	0.75		14	2.63					533
	FOURTH			9	20.00			Excluded		11	24.44		2	4.44		10	22.22		1	2.22		3	6.67		4	8.89					0	0.00		5	11.11					45
		TOTAL		17	3.19					138	25.89		36	6.75		14	2.63		5	0.94		146	27.39		154	28.89					4	0.75		19	3.56					533
	FIFTH			1	20.00					2	40.00		0	0.00		0	0.00			Excluded		2	40.00		0	0.00					0	0.00		0	0.00					5
		TOTAL		18	3.38					140	26.27		36	6.75		14	2.63					148	27.77		154	28.89					4	0.75		19	3.56					533
	SIXTH			7	50.00					0	0.00		1	7.14			Excluded					1	7.14		3	21.43					1	7.14		1	7.14					14
		TOTAL		25	4.69					140	26.27		37	6.94								149	27.95		157	29.46					5	0.94		20	3.75					533
	SEVENTH			2	40.00					0	0.00		0	0.00								1	20.00		0	0.00						Excluded		2	40.00					5
		TOTAL		27	5.07					140	26.27		37	6.94								150	28.14		157	29.46								22	4.13					533
	EIGHTH			2	9.09					2	9.09		5	22.73								4	18.18		9	40.91									Excluded					22
		TOTAL		29	5.44					142	26.64		42	7.88								154	28.89		166	31.14														533
	NINTH				Excluded					12	41.38		10	34.48								4	13.79		3	10.34														29
		TOTAL								154	28.89		52	9.76								158	29.64		169	31.71														533
	TENTH									16	30.77			Excluded								21	40.38		15	28.85														52
		TOTAL								170	31.89											179	33.58		184	34.52														533
	ELEVENTH									140	78.21												Excluded		39	21.79														179
		TOTAL								310	58.16														223	41.84														533
																									Elected															
																																								
Mayrung                                                        																																								
	FIRST			2	1.69		0	0.00		58	49.15		6	5.08		0	0.00		0	0.00		3	2.54		42	35.59		1	0.85		3	2.54		3	2.54		0	0.00		118
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1
		TOTAL		2	1.69		0	0.00		58	49.15		6	5.08		0	0.00		0	0.00		3	2.54		42	35.59					3	2.54		4	3.39		0	0.00		118
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		2	1.69		0	0.00		58	49.15		6	5.08		0	0.00		0	0.00		3	2.54		42	35.59					3	2.54		4	3.39					118
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		2	1.69					58	49.15		6	5.08		0	0.00		0	0.00		3	2.54		42	35.59					3	2.54		4	3.39					118
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		2	1.69					58	49.15		6	5.08		0	0.00					3	2.54		42	35.59					3	2.54		4	3.39					118
	SIXTH			0	0.00					0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		2	1.69					58	49.15		6	5.08								3	2.54		42	35.59					3	2.54		4	3.39					118
	SEVENTH			1	33.33					1	33.33		0	0.00								0	0.00		0	0.00						Excluded		1	33.33					3
		TOTAL		3	2.54					59	50.00		6	5.08								3	2.54		42	35.59								5	4.24					118
	EIGHTH			0	0.00					2	40.00		0	0.00								2	40.00		1	20.00									Excluded					5
		TOTAL		3	2.54					61	51.69		6	5.08								5	4.24		43	36.44														118
	NINTH				Excluded					2	66.67		0	0.00								1	33.33		0	0.00														3
		TOTAL								63	53.39		6	5.08								6	5.08		43	36.44														118
	TENTH									3	50.00			Excluded								2	33.33		1	16.67														6
		TOTAL								66	55.93											8	6.78		44	37.29														118
	ELEVENTH									4	50.00												Excluded		4	50.00														8
		TOTAL								70	59.32														48	40.68														118
																									Elected															
																																								
Moama                                                          																																								
	FIRST			50	2.34		80	3.75		476	22.31		85	3.98		19	0.89		6	0.28		428	20.06		905	42.41		8	0.37		33	1.55		30	1.41		14	0.66		2134
	SECOND			0	0.00		2	25.00		2	25.00		0	0.00		1	12.50		0	0.00		1	12.50		1	12.50			Excluded		1	12.50		0	0.00		0	0.00		8
		TOTAL		50	2.34		82	3.84		478	22.40		85	3.98		20	0.94		6	0.28		429	20.10		906	42.46					34	1.59		30	1.41		14	0.66		2134
	THIRD			0	0.00		5	35.71		2	14.29		0	0.00		1	7.14		0	0.00		1	7.14		0	0.00					0	0.00		5	35.71			Excluded		14
		TOTAL		50	2.34		87	4.08		480	22.49		85	3.98		21	0.98		6	0.28		430	20.15		906	42.46					34	1.59		35	1.64					2134
	FOURTH			14	16.09			Excluded		7	8.05		8	9.20		32	36.78		0	0.00		4	4.60		13	14.94					2	2.30		7	8.05					87
		TOTAL		64	3.00					487	22.82		93	4.36		53	2.48		6	0.28		434	20.34		919	43.06					36	1.69		42	1.97					2134
	FIFTH			1	16.67					0	0.00		0	0.00		0	0.00			Excluded		3	50.00		2	33.33					0	0.00		0	0.00					6
		TOTAL		65	3.05					487	22.82		93	4.36		53	2.48					437	20.48		921	43.16					36	1.69		42	1.97					2134
	SIXTH			17	32.08					3	5.66		8	15.09			Excluded					0	0.00		4	7.55					4	7.55		17	32.08					53
		TOTAL		82	3.84					490	22.96		101	4.73								437	20.48		925	43.35					40	1.87		59	2.76					2134
	SEVENTH			12	30.00					5	12.50		3	7.50								8	20.00		5	12.50						Excluded		7	17.50					40
		TOTAL		94	4.40					495	23.20		104	4.87								445	20.85		930	43.58								66	3.09					2134
	EIGHTH			17	25.76					10	15.15		9	13.64								9	13.64		21	31.82									Excluded					66
		TOTAL		111	5.20					505	23.66		113	5.30								454	21.27		951	44.56														2134
	NINTH				Excluded					48	43.24		23	20.72								25	22.52		15	13.51														111
		TOTAL								553	25.91		136	6.37								479	22.45		966	45.27														2134
	TENTH									56	41.18			Excluded								36	26.47		44	32.35														136
		TOTAL								609	28.54											515	24.13		1010	47.33														2134
	ELEVENTH									426	82.72												Excluded		89	17.28														515
		TOTAL								1035	48.50														1099	51.50														2134
																									Elected															
																																								
Morundah                                                       																																								
	FIRST			2	5.26		0	0.00		7	18.42		3	7.89		0	0.00		1	2.63		8	21.05		17	44.74		0	0.00		0	0.00		0	0.00		0	0.00		38
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	5.26		0	0.00		7	18.42		3	7.89		0	0.00		1	2.63		8	21.05		17	44.74					0	0.00		0	0.00		0	0.00		38
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		2	5.26		0	0.00		7	18.42		3	7.89		0	0.00		1	2.63		8	21.05		17	44.74					0	0.00		0	0.00					38
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		2	5.26					7	18.42		3	7.89		0	0.00		1	2.63		8	21.05		17	44.74					0	0.00		0	0.00					38
	FIFTH			0	0.00					0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					1
		TOTAL		2	5.26					7	18.42		4	10.53		0	0.00					8	21.05		17	44.74					0	0.00		0	0.00					38
	SIXTH			0	0.00					0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		2	5.26					7	18.42		4	10.53								8	21.05		17	44.74					0	0.00		0	0.00					38
	SEVENTH			0	0.00					0	0.00		0	0.00								0	0.00		0	0.00						Excluded		0	0.00					0
		TOTAL		2	5.26					7	18.42		4	10.53								8	21.05		17	44.74								0	0.00					38
	EIGHTH			0	0.00					0	0.00		0	0.00								0	0.00		0	0.00									Excluded					0
		TOTAL		2	5.26					7	18.42		4	10.53								8	21.05		17	44.74														38
	NINTH				Excluded					2	100.00		0	0.00								0	0.00		0	0.00														2
		TOTAL								9	23.68		4	10.53								8	21.05		17	44.74														38
	TENTH									1	25.00			Excluded								1	25.00		2	50.00														4
		TOTAL								10	26.32											9	23.68		19	50.00														38
	ELEVENTH									6	66.67												Excluded		3	33.33														9
		TOTAL								16	42.11														22	57.89														38
																									Elected															
																																								
Morven                                                         																																								
	FIRST			1	1.59		0	0.00		9	14.29		5	7.94		0	0.00		0	0.00		7	11.11		39	61.90		0	0.00		1	1.59		1	1.59		0	0.00		63
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		1	1.59		0	0.00		9	14.29		5	7.94		0	0.00		0	0.00		7	11.11		39	61.90					1	1.59		1	1.59		0	0.00		63
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		1	1.59		0	0.00		9	14.29		5	7.94		0	0.00		0	0.00		7	11.11		39	61.90					1	1.59		1	1.59					63
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		1	1.59					9	14.29		5	7.94		0	0.00		0	0.00		7	11.11		39	61.90					1	1.59		1	1.59					63
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		1	1.59					9	14.29		5	7.94		0	0.00					7	11.11		39	61.90					1	1.59		1	1.59					63
	SIXTH			0	0.00					0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		1	1.59					9	14.29		5	7.94								7	11.11		39	61.90					1	1.59		1	1.59					63
	SEVENTH			0	0.00					0	0.00		0	0.00								1	100.00		0	0.00						Excluded		0	0.00					1
		TOTAL		1	1.59					9	14.29		5	7.94								8	12.70		39	61.90								1	1.59					63
	EIGHTH			1	100.00					0	0.00		0	0.00								0	0.00		0	0.00									Excluded					1
		TOTAL		2	3.17					9	14.29		5	7.94								8	12.70		39	61.90														63
	NINTH				Excluded					1	50.00		0	0.00								1	50.00		0	0.00														2
		TOTAL								10	15.87		5	7.94								9	14.29		39	61.90														63
	TENTH									1	20.00			Excluded								0	0.00		4	80.00														5
		TOTAL								11	17.46											9	14.29		43	68.25														63
	ELEVENTH									6	66.67												Excluded		3	33.33														9
		TOTAL								17	26.98														46	73.02														63
																									Elected															
																																								
Moulamein                                                      																																								
	FIRST			2	0.51		0	0.00		107	27.44		31	7.95		2	0.51		3	0.77		80	20.51		155	39.74		1	0.26		4	1.03		4	1.03		1	0.26		390
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1
		TOTAL		2	0.51		0	0.00		107	27.44		31	7.95		2	0.51		3	0.77		80	20.51		155	39.74					5	1.28		4	1.03		1	0.26		390
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		1
		TOTAL		2	0.51		0	0.00		107	27.44		31	7.95		3	0.77		3	0.77		80	20.51		155	39.74					5	1.28		4	1.03					390
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		2	0.51					107	27.44		31	7.95		3	0.77		3	0.77		80	20.51		155	39.74					5	1.28		4	1.03					390
	FIFTH			0	0.00					1	33.33		0	0.00		0	0.00			Excluded		1	33.33		1	33.33					0	0.00		0	0.00					3
		TOTAL		2	0.51					108	27.69		31	7.95		3	0.77					81	20.77		156	40.00					5	1.28		4	1.03					390
	SIXTH			0	0.00					0	0.00		1	33.33			Excluded					0	0.00		1	33.33					0	0.00		1	33.33					3
		TOTAL		2	0.51					108	27.69		32	8.21								81	20.77		157	40.26					5	1.28		5	1.28					390
	SEVENTH			1	20.00					0	0.00		0	0.00								2	40.00		1	20.00						Excluded		1	20.00					5
		TOTAL		3	0.77					108	27.69		32	8.21								83	21.28		158	40.51								6	1.54					390
	EIGHTH			2	33.33					0	0.00		1	16.67								2	33.33		1	16.67									Excluded					6
		TOTAL		5	1.28					108	27.69		33	8.46								85	21.79		159	40.77														390
	NINTH				Excluded					3	60.00		0	0.00								1	20.00		1	20.00														5
		TOTAL								111	28.46		33	8.46								86	22.05		160	41.03														390
	TENTH									18	54.55			Excluded								4	12.12		11	33.33														33
		TOTAL								129	33.08											90	23.08		171	43.85														390
	ELEVENTH									75	83.33												Excluded		15	16.67														90
		TOTAL								204	52.31														186	47.69														390
																									Elected															
																																								
Mullengandra                                                   																																								
	FIRST			6	5.22		0	0.00		34	29.57		15	13.04		1	0.87		2	1.74		11	9.57		41	35.65		1	0.87		2	1.74		2	1.74		0	0.00		115
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		6	5.22		0	0.00		34	29.57		15	13.04		1	0.87		2	1.74		11	9.57		42	36.52					2	1.74		2	1.74		0	0.00		115
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		6	5.22		0	0.00		34	29.57		15	13.04		1	0.87		2	1.74		11	9.57		42	36.52					2	1.74		2	1.74					115
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		6	5.22					34	29.57		15	13.04		1	0.87		2	1.74		11	9.57		42	36.52					2	1.74		2	1.74					115
	FIFTH			0	0.00					1	50.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					2
		TOTAL		6	5.22					35	30.43		15	13.04		2	1.74					11	9.57		42	36.52					2	1.74		2	1.74					115
	SIXTH			1	50.00					0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		1	50.00					2
		TOTAL		7	6.09					35	30.43		15	13.04								11	9.57		42	36.52					2	1.74		3	2.61					115
	SEVENTH			1	50.00					1	50.00		0	0.00								0	0.00		0	0.00						Excluded		0	0.00					2
		TOTAL		8	6.96					36	31.30		15	13.04								11	9.57		42	36.52								3	2.61					115
	EIGHTH			1	33.33					2	66.67		0	0.00								0	0.00		0	0.00									Excluded					3
		TOTAL		9	7.83					38	33.04		15	13.04								11	9.57		42	36.52														115
	NINTH				Excluded					3	33.33		1	11.11								2	22.22		3	33.33														9
		TOTAL								41	35.65		16	13.91								13	11.30		45	39.13														115
	TENTH									6	37.50			Excluded								4	25.00		6	37.50														16
		TOTAL								47	40.87											17	14.78		51	44.35														115
	ELEVENTH									14	82.35												Excluded		3	17.65														17
		TOTAL								61	53.04														54	46.96														115
																									Elected															
																																								
Mulwala                                                        																																								
	FIRST			14	1.18		3	0.25		453	38.26		39	3.29		5	0.42		5	0.42		292	24.66		350	29.56		2	0.17		16	1.35		3	0.25		2	0.17		1184
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		1	50.00		0	0.00		2
		TOTAL		14	1.18		3	0.25		453	38.26		39	3.29		5	0.42		5	0.42		292	24.66		351	29.65					16	1.35		4	0.34		2	0.17		1184
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	50.00		1	50.00			Excluded		2
		TOTAL		14	1.18		3	0.25		453	38.26		39	3.29		5	0.42		5	0.42		292	24.66		351	29.65					17	1.44		5	0.42					1184
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		1	33.33					1	33.33		0	0.00					3
		TOTAL		14	1.18					453	38.26		39	3.29		6	0.51		5	0.42		292	24.66		352	29.73					18	1.52		5	0.42					1184
	FIFTH			0	0.00					2	40.00		1	20.00		0	0.00			Excluded		1	20.00		0	0.00					1	20.00		0	0.00					5
		TOTAL		14	1.18					455	38.43		40	3.38		6	0.51					293	24.75		352	29.73					19	1.60		5	0.42					1184
	SIXTH			1	16.67					0	0.00		2	33.33			Excluded					1	16.67		0	0.00					0	0.00		2	33.33					6
		TOTAL		15	1.27					455	38.43		42	3.55								294	24.83		352	29.73					19	1.60		7	0.59					1184
	SEVENTH			7	36.84					4	21.05		0	0.00								4	21.05		3	15.79						Excluded		1	5.26					19
		TOTAL		22	1.86					459	38.77		42	3.55								298	25.17		355	29.98								8	0.68					1184
	EIGHTH			3	37.50					3	37.50		1	12.50								1	12.50		0	0.00									Excluded					8
		TOTAL		25	2.11					462	39.02		43	3.63								299	25.25		355	29.98														1184
	NINTH				Excluded					14	56.00		3	12.00								6	24.00		2	8.00														25
		TOTAL								476	40.20		46	3.89								305	25.76		357	30.15														1184
	TENTH									12	26.09			Excluded								14	30.43		20	43.48														46
		TOTAL								488	41.22											319	26.94		377	31.84														1184
	ELEVENTH									281	88.09												Excluded		38	11.91														319
		TOTAL								769	64.95														415	35.05														1184
																									Elected															
																																								
Murray Downs                                                   																																								
	FIRST			3	1.35		2	0.90		73	32.74		10	4.48		0	0.00		0	0.00		25	11.21		107	47.98		0	0.00		0	0.00		1	0.45		2	0.90		223
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		3	1.35		2	0.90		73	32.74		10	4.48		0	0.00		0	0.00		25	11.21		107	47.98					0	0.00		1	0.45		2	0.90		223
	THIRD			0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	50.00			Excluded		2
		TOTAL		3	1.35		2	0.90		74	33.18		10	4.48		0	0.00		0	0.00		25	11.21		107	47.98					0	0.00		2	0.90					223
	FOURTH			1	50.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					2
		TOTAL		4	1.79					74	33.18		11	4.93		0	0.00		0	0.00		25	11.21		107	47.98					0	0.00		2	0.90					223
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		4	1.79					74	33.18		11	4.93		0	0.00					25	11.21		107	47.98					0	0.00		2	0.90					223
	SIXTH			0	0.00					0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		4	1.79					74	33.18		11	4.93								25	11.21		107	47.98					0	0.00		2	0.90					223
	SEVENTH			0	0.00					0	0.00		0	0.00								0	0.00		0	0.00						Excluded		0	0.00					0
		TOTAL		4	1.79					74	33.18		11	4.93								25	11.21		107	47.98								2	0.90					223
	EIGHTH			1	50.00					0	0.00		0	0.00								0	0.00		1	50.00									Excluded					2
		TOTAL		5	2.24					74	33.18		11	4.93								25	11.21		108	48.43														223
	NINTH				Excluded					2	40.00		2	40.00								1	20.00		0	0.00														5
		TOTAL								76	34.08		13	5.83								26	11.66		108	48.43														223
	TENTH									7	53.85			Excluded								2	15.38		4	30.77														13
		TOTAL								83	37.22											28	12.56		112	50.22														223
	ELEVENTH									24	85.71												Excluded		4	14.29														28
		TOTAL								107	47.98														116	52.02														223
																									Elected															
																																								
Oaklands                                                       																																								
	FIRST			4	1.73		0	0.00		101	43.72		11	4.76		1	0.43		2	0.87		32	13.85		76	32.90		1	0.43		0	0.00		3	1.30		0	0.00		231
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1
		TOTAL		4	1.73		0	0.00		101	43.72		11	4.76		1	0.43		2	0.87		32	13.85		76	32.90					0	0.00		4	1.73		0	0.00		231
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		4	1.73		0	0.00		101	43.72		11	4.76		1	0.43		2	0.87		32	13.85		76	32.90					0	0.00		4	1.73					231
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		4	1.73					101	43.72		11	4.76		1	0.43		2	0.87		32	13.85		76	32.90					0	0.00		4	1.73					231
	FIFTH			0	0.00					2	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					2
		TOTAL		4	1.73					103	44.59		11	4.76		1	0.43					32	13.85		76	32.90					0	0.00		4	1.73					231
	SIXTH			0	0.00					0	0.00		1	100.00			Excluded					0	0.00		0	0.00					0	0.00		0	0.00					1
		TOTAL		4	1.73					103	44.59		12	5.19								32	13.85		76	32.90					0	0.00		4	1.73					231
	SEVENTH			0	0.00					0	0.00		0	0.00								0	0.00		0	0.00						Excluded		0	0.00					0
		TOTAL		4	1.73					103	44.59		12	5.19								32	13.85		76	32.90								4	1.73					231
	EIGHTH			2	50.00					1	25.00		0	0.00								0	0.00		1	25.00									Excluded					4
		TOTAL		6	2.60					104	45.02		12	5.19								32	13.85		77	33.33														231
	NINTH				Excluded					0	0.00		1	16.67								3	50.00		2	33.33														6
