House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Page (82272)											
		Candidate		"FLANAGAN, Terry"		            	"CAUSLEY, Ian"		               	Total	
		"CANALES, Judy (HMP)"	12	8	66.67		4	33.33		12	
		"FELSCH, Arthur James (CTA)"	0	0	0.00		0	0.00		0	
		"CORKILL, John (GRN)"	86	79	91.86		7	8.14		86	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	7	4	57.14		3	42.86		7	
		Total	149	173	70.33		73	29.67		246	

	Southgate										
			1st Prefs	15	18.99		64	81.01		79	
		"POLLARD-O'HARA, Kathryn (IND)"	1	1	100.00		0	0.00		1	
		"COOPER, Tom (IND)"	9	2	22.22		7	77.78		9	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	1	1	100.00		0	0.00		1	
		"JEFFREYS, Allan (DEM)"	3	2	66.67		1	33.33		3	
		"CANALES, Judy (HMP)"	0	0	0.00		0	0.00		0	
		"FELSCH, Arthur James (CTA)"	3	1	33.33		2	66.67		3	
		"CORKILL, John (GRN)"	3	3	100.00		0	0.00		3	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	12	4	33.33		8	66.67		12	
		Total	32	29	26.13		82	73.87		111	

	Sydney (Page)										
			1st Prefs	12	66.67		6	33.33		18	
		"POLLARD-O'HARA, Kathryn (IND)"	0	0	0.00		0	0.00		0	
		"COOPER, Tom (IND)"	0	0	0.00		0	0.00		0	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	0	0	0.00		0	0.00		0	
		"JEFFREYS, Allan (DEM)"	2	1	50.00		1	50.00		2	
		"CANALES, Judy (HMP)"	0	0	0.00		0	0.00		0	
		"FELSCH, Arthur James (CTA)"	1	0	0.00		1	100.00		1	
		"CORKILL, John (GRN)"	2	2	100.00		0	0.00		2	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	0	0	0.00		0	0.00		0	
		Total	5	15	65.22		8	34.78		23	

	Tabulam										
			1st Prefs	44	36.36		77	63.64		121	
		"POLLARD-O'HARA, Kathryn (IND)"	6	2	33.33		4	66.67		6	
		"COOPER, Tom (IND)"	34	16	47.06		18	52.94		34	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	0	0	0.00		0	0.00		0	
		"JEFFREYS, Allan (DEM)"	0	0	0.00		0	0.00		0	
		"CANALES, Judy (HMP)"	2	1	50.00		1	50.00		2	
		"FELSCH, Arthur James (CTA)"	1	1	100.00		0	0.00		1	
		"CORKILL, John (GRN)"	13	12	92.31		1	7.69		13	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	6	1	16.67		5	83.33		6	
		Total	62	77	42.08		106	57.92		183	

	The Channon										
			1st Prefs	85	57.43		63	42.57		148	
		"POLLARD-O'HARA, Kathryn (IND)"	2	2	100.00		0	0.00		2	
		"COOPER, Tom (IND)"	24	16	66.67		8	33.33		24	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	1	1	100.00		0	0.00		1	
		"JEFFREYS, Allan (DEM)"	14	13	92.86		1	7.14		14	
		"CANALES, Judy (HMP)"	13	4	30.77		9	69.23		13	
		"FELSCH, Arthur James (CTA)"	3	3	100.00		0	0.00		3	
		"CORKILL, John (GRN)"	168	163	97.02		5	2.98		168	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	12	8	66.67		4	33.33		12	
		Total	237	295	76.62		90	23.38		385	

	Tregeagle										
			1st Prefs	84	25.45		246	74.55		330	
		"POLLARD-O'HARA, Kathryn (IND)"	5	1	20.00		4	80.00		5	
		"COOPER, Tom (IND)"	38	21	55.26		17	44.74		38	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	1	0	0.00		1	100.00		1	
		"JEFFREYS, Allan (DEM)"	18	7	38.89		11	61.11		18	
		"CANALES, Judy (HMP)"	4	4	100.00		0	0.00		4	
		"FELSCH, Arthur James (CTA)"	6	1	16.67		5	83.33		6	
		"CORKILL, John (GRN)"	37	32	86.49		5	13.51		37	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	14	2	14.29		12	85.71		14	
		Total	123	152	33.55		301	66.45		453	

	Vere Street (Page)										
			1st Prefs	800	49.02		832	50.98		1632	
		"POLLARD-O'HARA, Kathryn (IND)"	25	20	80.00		5	20.00		25	
		"COOPER, Tom (IND)"	64	39	60.94		25	39.06		64	
		"LAMPIS, Edda ()"	1	1	100.00		0	0.00		1	
		"BEHN, Doug (IND)"	6	2	33.33		4	66.67		6	
		"JEFFREYS, Allan (DEM)"	31	24	77.42		7	22.58		31	
		"CANALES, Judy (HMP)"	22	12	54.55		10	45.45		22	
		"FELSCH, Arthur James (CTA)"	35	7	20.00		28	80.00		35	
		"CORKILL, John (GRN)"	44	37	84.09		7	15.91		44	
		"GRIFFITHS, Angela (CEC)"	3	1	33.33		2	66.67		3	
		"MATHEW, Marie (HAN)"	186	119	63.98		67	36.02		186	
		Total	417	1062	51.83		987	48.17		2049	

	Wardell										
			1st Prefs	175	48.21		188	51.79		363	
		"POLLARD-O'HARA, Kathryn (IND)"	11	9	81.82		2	18.18		11	
		"COOPER, Tom (IND)"	35	20	57.14		15	42.86		35	
		"LAMPIS, Edda ()"	1	0	0.00		1	100.00		1	
		"BEHN, Doug (IND)"	3	0	0.00		3	100.00		3	
		"JEFFREYS, Allan (DEM)"	10	7	70.00		3	30.00		10	
		"CANALES, Judy (HMP)"	10	5	50.00		5	50.00		10	
		"FELSCH, Arthur James (CTA)"	20	5	25.00		15	75.00		20	
		"CORKILL, John (GRN)"	40	34	85.00		6	15.00		40	
		"GRIFFITHS, Angela (CEC)"	1	0	0.00		1	100.00		1	
		"MATHEW, Marie (HAN)"	31	10	32.26		21	67.74		31	
		Total	162	265	50.48		260	49.52		525	

	Waterview Heights										
			1st Prefs	285	41.61		400	58.39		685	
		"POLLARD-O'HARA, Kathryn (IND)"	11	7	63.64		4	36.36		11	
		"COOPER, Tom (IND)"	58	35	60.34		23	39.66		58	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	0	0	0.00		0	0.00		0	
		"JEFFREYS, Allan (DEM)"	21	13	61.90		8	38.10		21	
		"CANALES, Judy (HMP)"	7	5	71.43		2	28.57		7	
		"FELSCH, Arthur James (CTA)"	8	2	25.00		6	75.00		8	
		"CORKILL, John (GRN)"	20	15	75.00		5	25.00		20	
		"GRIFFITHS, Angela (CEC)"	2	2	100.00		0	0.00		2	
		"MATHEW, Marie (HAN)"	101	50	49.50		51	50.50		101	
		Total	228	414	45.35		499	54.65		913	

	Westlawn										
			1st Prefs	335	45.15		407	54.85		742	
		"POLLARD-O'HARA, Kathryn (IND)"	13	12	92.31		1	7.69		13	
		"COOPER, Tom (IND)"	16	10	62.50		6	37.50		16	
		"LAMPIS, Edda ()"	2	0	0.00		2	100.00		2	
		"BEHN, Doug (IND)"	5	5	100.00		0	0.00		5	
		"JEFFREYS, Allan (DEM)"	13	9	69.23		4	30.77		13	
		"CANALES, Judy (HMP)"	7	6	85.71		1	14.29		7	
		"FELSCH, Arthur James (CTA)"	10	2	20.00		8	80.00		10	
		"CORKILL, John (GRN)"	21	17	80.95		4	19.05		21	
		"GRIFFITHS, Angela (CEC)"	2	2	100.00		0	0.00		2	
		"MATHEW, Marie (HAN)"	53	18	33.96		35	66.04		53	
		Total	142	416	47.06		468	52.94		884	

	Whiporie										
			1st Prefs	18	27.27		48	72.73		66	
		"POLLARD-O'HARA, Kathryn (IND)"	1	0	0.00		1	100.00		1	
		"COOPER, Tom (IND)"	7	5	71.43		2	28.57		7	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	2	1	50.00		1	50.00		2	
		"JEFFREYS, Allan (DEM)"	1	1	100.00		0	0.00		1	
		"CANALES, Judy (HMP)"	0	0	0.00		0	0.00		0	
		"FELSCH, Arthur James (CTA)"	0	0	0.00		0	0.00		0	
		"CORKILL, John (GRN)"	6	5	83.33		1	16.67		6	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	5	4	80.00		1	20.00		5	
		Total	22	34	38.64		54	61.36		88	

	Wiangaree										
			1st Prefs	55	23.91		175	76.09		230	
		"POLLARD-O'HARA, Kathryn (IND)"	6	5	83.33		1	16.67		6	
		"COOPER, Tom (IND)"	42	30	71.43		12	28.57		42	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	1	1	100.00		0	0.00		1	
		"JEFFREYS, Allan (DEM)"	5	4	80.00		1	20.00		5	
		"CANALES, Judy (HMP)"	7	7	100.00		0	0.00		7	
		"FELSCH, Arthur James (CTA)"	2	0	0.00		2	100.00		2	
		"CORKILL, John (GRN)"	28	26	92.86		2	7.14		28	
		"GRIFFITHS, Angela (CEC)"	5	2	40.00		3	60.00		5	
		"MATHEW, Marie (HAN)"	19	8	42.11		11	57.89		19	
		Total	115	138	40.00		207	60.00		345	

	Woodburn										
			1st Prefs	239	40.99		344	59.01		583	
		"POLLARD-O'HARA, Kathryn (IND)"	14	11	78.57		3	21.43		14	
		"COOPER, Tom (IND)"	54	28	51.85		26	48.15		54	
		"LAMPIS, Edda ()"	1	0	0.00		1	100.00		1	
		"BEHN, Doug (IND)"	42	25	59.52		17	40.48		42	
		"JEFFREYS, Allan (DEM)"	9	7	77.78		2	22.22		9	
		"CANALES, Judy (HMP)"	14	11	78.57		3	21.43		14	
		"FELSCH, Arthur James (CTA)"	9	3	33.33		6	66.67		9	
		"CORKILL, John (GRN)"	54	49	90.74		5	9.26		54	
		"GRIFFITHS, Angela (CEC)"	4	2	50.00		2	50.00		4	
		"MATHEW, Marie (HAN)"	52	32	61.54		20	38.46		52	
		Total	253	407	48.68		429	51.32		836	

	Woodenbong										
			1st Prefs	40	20.62		154	79.38		194	
		"POLLARD-O'HARA, Kathryn (IND)"	5	1	20.00		4	80.00		5	
		"COOPER, Tom (IND)"	34	16	47.06		18	52.94		34	
		"LAMPIS, Edda ()"	1	0	0.00		1	100.00		1	
		"BEHN, Doug (IND)"	0	0	0.00		0	0.00		0	
		"JEFFREYS, Allan (DEM)"	1	1	100.00		0	0.00		1	
		"CANALES, Judy (HMP)"	0	0	0.00		0	0.00		0	
		"FELSCH, Arthur James (CTA)"	17	11	64.71		6	35.29		17	
		"CORKILL, John (GRN)"	4	3	75.00		1	25.00		4	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	4	1	25.00		3	75.00		4	
		Total	66	73	28.08		187	71.92		260	

	Woombah										
			1st Prefs	131	48.70		138	51.30		269	
		"POLLARD-O'HARA, Kathryn (IND)"	3	3	100.00		0	0.00		3	
		"COOPER, Tom (IND)"	22	16	72.73		6	27.27		22	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	1	1	100.00		0	0.00		1	
		"JEFFREYS, Allan (DEM)"	2	2	100.00		0	0.00		2	
		"CANALES, Judy (HMP)"	5	4	80.00		1	20.00		5	
		"FELSCH, Arthur James (CTA)"	4	2	50.00		2	50.00		4	
		"CORKILL, John (GRN)"	9	7	77.78		2	22.22		9	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	29	16	55.17		13	44.83		29	
		Total	75	182	52.91		162	47.09		344	

	Wyrallah										
			1st Prefs	77	30.56		175	69.44		252	
		"POLLARD-O'HARA, Kathryn (IND)"	6	2	33.33		4	66.67		6	
		"COOPER, Tom (IND)"	59	29	49.15		30	50.85		59	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	2	0	0.00		2	100.00		2	
		"JEFFREYS, Allan (DEM)"	10	6	60.00		4	40.00		10	
		"CANALES, Judy (HMP)"	1	0	0.00		1	100.00		1	
		"FELSCH, Arthur James (CTA)"	8	1	12.50		7	87.50		8	
		"CORKILL, John (GRN)"	32	30	93.75		2	6.25		32	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	14	6	42.86		8	57.14		14	
		Total	132	151	39.32		233	60.68		384	

	Special Hospitals										
			1st Prefs	119	32.34		249	67.66		368	
		"POLLARD-O'HARA, Kathryn (IND)"	27	21	77.78		6	22.22		27	
		"COOPER, Tom (IND)"	8	6	75.00		2	25.00		8	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	1	0	0.00		1	100.00		1	
		"JEFFREYS, Allan (DEM)"	7	5	71.43		2	28.57		7	
		"CANALES, Judy (HMP)"	3	2	66.67		1	33.33		3	
		"FELSCH, Arthur James (CTA)"	6	0	0.00		6	100.00		6	
		"CORKILL, John (GRN)"	1	1	100.00		0	0.00		1	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	7	4	57.14		3	42.86		7	
		Total	60	158	36.92		270	63.08		428	

	Total Ordinary										
			1st Prefs	18405	41.23		26239	58.77		44644	
		"POLLARD-O'HARA, Kathryn (IND)"	1015	669	65.91		346	34.09		1015	
		"COOPER, Tom (IND)"	4947	2794	56.48		2153	43.52		4947	
		"LAMPIS, Edda ()"	193	156	80.83		37	19.17		193	
		"BEHN, Doug (IND)"	529	325	61.44		204	38.56		529	
		"JEFFREYS, Allan (DEM)"	1586	1120	70.62		466	29.38		1586	
		"CANALES, Judy (HMP)"	1053	769	73.03		284	26.97		1053	
		"FELSCH, Arthur James (CTA)"	1112	256	23.02		856	76.98		1112	
		"CORKILL, John (GRN)"	4444	3728	83.89		716	16.11		4444	
		"GRIFFITHS, Angela (CEC)"	92	51	55.43		41	44.57		92	
		"MATHEW, Marie (HAN)"	3298	1604	48.64		1694	51.36		3298	
		Total	18269	29877	47.49		33036	52.51		62913	

	ABSENT										
			1st Prefs	851	38.84		1340	61.16		2191	
		"POLLARD-O'HARA, Kathryn (IND)"	89	64	71.91		25	28.09		89	
		"COOPER, Tom (IND)"	167	81	48.50		86	51.50		167	
		"LAMPIS, Edda ()"	17	14	82.35		3	17.65		17	
		"BEHN, Doug (IND)"	52	32	61.54		20	38.46		52	
		"JEFFREYS, Allan (DEM)"	184	132	71.74		52	28.26		184	
		"CANALES, Judy (HMP)"	104	73	70.19		31	29.81		104	
		"FELSCH, Arthur James (CTA)"	82	22	26.83		60	73.17		82	
		"CORKILL, John (GRN)"	401	330	82.29		71	17.71		401	
		"GRIFFITHS, Angela (CEC)"	8	3	37.50		5	62.50		8	
		"MATHEW, Marie (HAN)"	200	86	43.00		114	57.00		200	
		Total	1304	1688	48.30		1807	51.70		3495	

	POSTAL										
			1st Prefs	962	40.07		1439	59.93		2401	
		"POLLARD-O'HARA, Kathryn (IND)"	40	25	62.50		15	37.50		40	
		"COOPER, Tom (IND)"	112	48	42.86		64	57.14		112	
		"LAMPIS, Edda ()"	4	4	100.00		0	0.00		4	
		"BEHN, Doug (IND)"	19	12	63.16		7	36.84		19	
		"JEFFREYS, Allan (DEM)"	80	57	71.25		23	28.75		80	
		"CANALES, Judy (HMP)"	30	20	66.67		10	33.33		30	
		"FELSCH, Arthur James (CTA)"	57	14	24.56		43	75.44		57	
		"CORKILL, John (GRN)"	145	129	88.97		16	11.03		145	
		"GRIFFITHS, Angela (CEC)"	5	3	60.00		2	40.00		5	
		"MATHEW, Marie (HAN)"	229	106	46.29		123	53.71		229	
		Total	721	1380	44.20		1742	55.80		3122	

	PRE_POLL										
			1st Prefs	1193	36.91		2039	63.09		3232	
		"POLLARD-O'HARA, Kathryn (IND)"	73	47	64.38		26	35.62		73	
		"COOPER, Tom (IND)"	211	110	52.13		101	47.87		211	
		"LAMPIS, Edda ()"	14	11	78.57		3	21.43		14	
		"BEHN, Doug (IND)"	28	19	67.86		9	32.14		28	
		"JEFFREYS, Allan (DEM)"	143	99	69.23		44	30.77		143	
		"CANALES, Judy (HMP)"	61	44	72.13		17	27.87		61	
		"FELSCH, Arthur James (CTA)"	77	23	29.87		54	70.13		77	
		"CORKILL, John (GRN)"	307	255	83.06		52	16.94		307	
		"GRIFFITHS, Angela (CEC)"	5	3	60.00		2	40.00		5	
		"MATHEW, Marie (HAN)"	282	102	36.17		180	63.83		282	
		Total	1201	1906	43.00		2527	57.00		4433	

	PROVISIONAL										
			1st Prefs	207	58.47		147	41.53		354	
		"POLLARD-O'HARA, Kathryn (IND)"	23	16	69.57		7	30.43		23	
		"COOPER, Tom (IND)"	45	23	51.11		22	48.89		45	
		"LAMPIS, Edda ()"	3	3	100.00		0	0.00		3	
		"BEHN, Doug (IND)"	8	3	37.50		5	62.50		8	
		"JEFFREYS, Allan (DEM)"	19	17	89.47		2	10.53		19	
		"CANALES, Judy (HMP)"	26	19	73.08		7	26.92		26	
		"FELSCH, Arthur James (CTA)"	16	6	37.50		10	62.50		16	
		"CORKILL, John (GRN)"	68	53	77.94		15	22.06		68	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	30	15	50.00		15	50.00		30	
		Total	238	362	61.15		230	38.85		592	

	Division Summary										
			1st Prefs	21618	40.93		31204	59.07		52822	
		"POLLARD-O'HARA, Kathryn (IND)"	1240	821	66.21		419	33.79		1240	
		"COOPER, Tom (IND)"	5482	3056	55.75		2426	44.25		5482	
		"LAMPIS, Edda ()"	231	188	81.39		43	18.61		231	
		"BEHN, Doug (IND)"	636	391	61.48		245	38.52		636	
		"JEFFREYS, Allan (DEM)"	2012	1425	70.83		587	29.17		2012	
		"CANALES, Judy (HMP)"	1274	925	72.61		349	27.39		1274	
		"FELSCH, Arthur James (CTA)"	1344	321	23.88		1023	76.12		1344	
		"CORKILL, John (GRN)"	5365	4495	83.78		870	16.22		5365	
		"GRIFFITHS, Angela (CEC)"	110	60	54.55		50	45.45		110	
		"MATHEW, Marie (HAN)"	4039	1913	47.36		2126	52.64		4039	
		Total	21733	35213	47.23		39342	52.77		74555	
