House of Representatives - 2001 Election: New South Wales																																		
Distribution of Preferences																																		
By Polling Place																																		
																																		
Cowper																																		
				MAGUIRE			BONFIELD			WILLEY			NEUSS			HARTSUYKER			VAN BLADEL			CRANNY			FENTON			KORN			STOKES			
		TOTAL					58	46.40					6	4.80		39	31.20														22	17.60		125
	EIGHTH						6	27.27					7	31.82		9	40.91															Excluded		22
		TOTAL					64	51.20					13	10.40		48	38.40																	125
	NINTH						2	15.38						Excluded		11	84.62																	13
		TOTAL					66	52.80								59	47.20																	125
																Elected																		
																																		
Macksville                                                     																																		
	FIRST			53	2.38		636	28.55		31	1.39		412	18.49		744	33.39		7	0.31		64	2.87		31	1.39		25	1.12		225	10.10		2228
	SECOND			2	28.57		1	14.29		3	42.86		0	0.00		0	0.00			Excluded		1	14.29		0	0.00		0	0.00		0	0.00		7
		TOTAL		55	2.47		637	28.59		34	1.53		412	18.49		744	33.39					65	2.92		31	1.39		25	1.12		225	10.10		2228
	THIRD			4	11.76		7	20.59			Excluded		3	8.82		6	17.65					1	2.94		1	2.94		2	5.88		10	29.41		34
		TOTAL		59	2.65		644	28.90					415	18.63		750	33.66					66	2.96		32	1.44		27	1.21		235	10.55		2228
	FOURTH			0	0.00		1	3.70					4	14.81		17	62.96					1	3.70		1	3.70			Excluded		3	11.11		27
		TOTAL		59	2.65		645	28.95					419	18.81		767	34.43					67	3.01		33	1.48					238	10.68		2228
	FIFTH			3	9.09		8	24.24					2	6.06		1	3.03					16	48.48			Excluded					3	9.09		33
		TOTAL		62	2.78		653	29.31					421	18.90		768	34.47					83	3.73								241	10.82		2228
	SIXTH				Excluded		27	43.55					4	6.45		12	19.35					5	8.06								14	22.58		62
		TOTAL					680	30.52					425	19.08		780	35.01					88	3.95								255	11.45		2228
	SEVENTH						62	70.45					2	2.27		16	18.18						Excluded								8	9.09		88
		TOTAL					742	33.30					427	19.17		796	35.73														263	11.80		2228
	EIGHTH						73	27.76					113	42.97		77	29.28															Excluded		263
		TOTAL					815	36.58					540	24.24		873	39.18																	2228
	NINTH						56	10.37						Excluded		484	89.63																	540
		TOTAL					871	39.09								1357	60.91																	2228
																Elected																		
																																		
Maclean (Cowper)                                               																																		
	FIRST			24	1.88		421	33.02		8	0.63		182	14.27		435	34.12		7	0.55		39	3.06		22	1.73		31	2.43		106	8.31		1275
	SECOND			0	0.00		0	0.00		4	57.14		0	0.00		1	14.29			Excluded		1	14.29		0	0.00		0	0.00		1	14.29		7
		TOTAL		24	1.88		421	33.02		12	0.94		182	14.27		436	34.20					40	3.14		22	1.73		31	2.43		107	8.39		1275
	THIRD			1	8.33		1	8.33			Excluded		1	8.33		3	25.00					2	16.67		2	16.67		0	0.00		2	16.67		12
		TOTAL		25	1.96		422	33.10					183	14.35		439	34.43					42	3.29		24	1.88		31	2.43		109	8.55		1275
	FOURTH			0	0.00		4	12.90					5	16.13		20	64.52					0	0.00		1	3.23			Excluded		1	3.23		31
		TOTAL		25	1.96		426	33.41					188	14.75		459	36.00					42	3.29		25	1.96					110	8.63		1275
	FIFTH			0	0.00		6	24.00					8	32.00		1	4.00					7	28.00			Excluded					3	12.00		25
		TOTAL		25	1.96		432	33.88					196	15.37		460	36.08					49	3.84								113	8.86		1275
	SIXTH				Excluded		13	52.00					2	8.00		2	8.00					4	16.00								4	16.00		25
		TOTAL					445	34.90					198	15.53		462	36.24					53	4.16								117	9.18		1275
	SEVENTH						33	62.26					4	7.55		5	9.43						Excluded								11	20.75		53
		TOTAL					478	37.49					202	15.84		467	36.63														128	10.04		1275
	EIGHTH						35	27.34					50	39.06		43	33.59															Excluded		128
		TOTAL					513	40.24					252	19.76		510	40.00																	1275
	NINTH						27	10.71						Excluded		225	89.29																	252
		TOTAL					540	42.35								735	57.65																	1275
																Elected																		
																																		
Maclean Hospital                                               																																		
	FIRST			13	2.50		202	38.77		4	0.77		45	8.64		191	36.66		0	0.00		13	2.50		8	1.54		8	1.54		37	7.10		521
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		13	2.50		202	38.77		4	0.77		45	8.64		191	36.66					13	2.50		8	1.54		8	1.54		37	7.10		521
	THIRD			0	0.00		2	50.00			Excluded		0	0.00		0	0.00					0	0.00		2	50.00		0	0.00		0	0.00		4
		TOTAL		13	2.50		204	39.16					45	8.64		191	36.66					13	2.50		10	1.92		8	1.54		37	7.10		521
	FOURTH			0	0.00		2	25.00					1	12.50		5	62.50					0	0.00		0	0.00			Excluded		0	0.00		8
		TOTAL		13	2.50		206	39.54					46	8.83		196	37.62					13	2.50		10	1.92					37	7.10		521
	FIFTH			0	0.00		4	40.00					0	0.00		0	0.00					4	40.00			Excluded					2	20.00		10
		TOTAL		13	2.50		210	40.31					46	8.83		196	37.62					17	3.26								39	7.49		521
	SIXTH				Excluded		8	61.54					0	0.00		2	15.38					1	7.69								2	15.38		13
		TOTAL					218	41.84					46	8.83		198	38.00					18	3.45								41	7.87		521
	SEVENTH						8	44.44					3	16.67		3	16.67						Excluded								4	22.22		18
		TOTAL					226	43.38					49	9.40		201	38.58														45	8.64		521
	EIGHTH						12	26.67					14	31.11		19	42.22															Excluded		45
		TOTAL					238	45.68					63	12.09		220	42.23																	521
	NINTH						5	7.94						Excluded		58	92.06																	63
		TOTAL					243	46.64								278	53.36																	521
																Elected																		
																																		
Medlow                                                         																																		
	FIRST			2	1.11		56	31.11		14	7.78		10	5.56		55	30.56		1	0.56		8	4.44		7	3.89		3	1.67		24	13.33		180
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		2	1.11		56	31.11		14	7.78		10	5.56		55	30.56					9	5.00		7	3.89		3	1.67		24	13.33		180
	THIRD			1	7.14		3	21.43			Excluded		1	7.14		1	7.14					0	0.00		0	0.00		0	0.00		8	57.14		14
		TOTAL		3	1.67		59	32.78					11	6.11		56	31.11					9	5.00		7	3.89		3	1.67		32	17.78		180
	FOURTH			1	33.33		1	33.33					1	33.33		0	0.00					0	0.00		0	0.00			Excluded		0	0.00		3
		TOTAL		4	2.22		60	33.33					12	6.67		56	31.11					9	5.00		7	3.89					32	17.78		180
	FIFTH			1	14.29		3	42.86					0	0.00		0	0.00					3	42.86			Excluded					0	0.00		7
		TOTAL		5	2.78		63	35.00					12	6.67		56	31.11					12	6.67								32	17.78		180
	SIXTH				Excluded		1	20.00					0	0.00		2	40.00					0	0.00								2	40.00		5
		TOTAL					64	35.56					12	6.67		58	32.22					12	6.67								34	18.89		180
	SEVENTH						5	41.67					1	8.33		3	25.00						Excluded								3	25.00		12
		TOTAL					69	38.33					13	7.22		61	33.89														37	20.56		180
	EIGHTH						7	18.92					20	54.05		10	27.03															Excluded		37
		TOTAL					76	42.22					33	18.33		71	39.44																	180
	NINTH						10	30.30						Excluded		23	69.70																	33
		TOTAL					86	47.78								94	52.22																	180
																Elected																		
																																		
Missabotti                                                     																																		
	FIRST			0	0.00		25	31.25		6	7.50		6	7.50		17	21.25		1	1.25		10	12.50		1	1.25		1	1.25		13	16.25		80
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		1	1.25		25	31.25		6	7.50		6	7.50		17	21.25					10	12.50		1	1.25		1	1.25		13	16.25		80
	THIRD			0	0.00		1	16.67			Excluded		0	0.00		2	33.33					0	0.00		0	0.00		0	0.00		3	50.00		6
		TOTAL		1	1.25		26	32.50					6	7.50		19	23.75					10	12.50		1	1.25		1	1.25		16	20.00		80
	FOURTH			0	0.00		1	100.00					0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	0.00		1
		TOTAL		1	1.25		27	33.75					6	7.50		19	23.75					10	12.50		1	1.25					16	20.00		80
	FIFTH			0	0.00		1	100.00					0	0.00		0	0.00					0	0.00			Excluded					0	0.00		1
		TOTAL		1	1.25		28	35.00					6	7.50		19	23.75					10	12.50								16	20.00		80
	SIXTH				Excluded		0	0.00					0	0.00		1	100.00					0	0.00								0	0.00		1
		TOTAL					28	35.00					6	7.50		20	25.00					10	12.50								16	20.00		80
	SEVENTH						8	80.00					0	0.00		1	10.00						Excluded								1	10.00		10
		TOTAL					36	45.00					6	7.50		21	26.25														17	21.25		80
	EIGHTH						4	23.53					7	41.18		6	35.29															Excluded		17
		TOTAL					40	50.00					13	16.25		27	33.75																	80
	NINTH						1	7.69						Excluded		12	92.31																	13
		TOTAL					41	51.25								39	48.75																	80
																Elected																		
																																		
Moonee Beach                                                   																																		
	FIRST			19	2.37		227	28.34		3	0.37		146	18.23		265	33.08		18	2.25		26	3.25		28	3.50		26	3.25		43	5.37		801
	SECOND			3	16.67		3	16.67		5	27.78		1	5.56		0	0.00			Excluded		3	16.67		1	5.56		0	0.00		2	11.11		18
		TOTAL		22	2.75		230	28.71		8	1.00		147	18.35		265	33.08					29	3.62		29	3.62		26	3.25		45	5.62		801
	THIRD			3	37.50		0	0.00			Excluded		1	12.50		1	12.50					0	0.00		1	12.50		0	0.00		2	25.00		8
		TOTAL		25	3.12		230	28.71					148	18.48		266	33.21					29	3.62		30	3.75		26	3.25		47	5.87		801
	FOURTH			0	0.00		1	3.85					5	19.23		18	69.23					0	0.00		0	0.00			Excluded		2	7.69		26
		TOTAL		25	3.12		231	28.84					153	19.10		284	35.46					29	3.62		30	3.75					49	6.12		801
	FIFTH			4	13.33		5	16.67					2	6.67		3	10.00					14	46.67			Excluded					2	6.67		30
		TOTAL		29	3.62		236	29.46					155	19.35		287	35.83					43	5.37								51	6.37		801
	SIXTH				Excluded		9	31.03					3	10.34		5	17.24					7	24.14								5	17.24		29
		TOTAL					245	30.59					158	19.73		292	36.45					50	6.24								56	6.99		801
	SEVENTH						29	58.00					5	10.00		9	18.00						Excluded								7	14.00		50
		TOTAL					274	34.21					163	20.35		301	37.58														63	7.87		801
	EIGHTH						17	26.98					22	34.92		24	38.10															Excluded		63
		TOTAL					291	36.33					185	23.10		325	40.57																	801
	NINTH						19	10.27						Excluded		166	89.73																	185
		TOTAL					310	38.70								491	61.30																	801
																Elected																		
																																		
Mullaway                                                       																																		
	FIRST			34	2.87		425	35.83		17	1.43		178	15.01		279	23.52		7	0.59		92	7.76		43	3.63		38	3.20		73	6.16		1186
	SECOND			0	0.00		1	14.29		4	57.14		0	0.00		0	0.00			Excluded		1	14.29		1	14.29		0	0.00		0	0.00		7
		TOTAL		34	2.87		426	35.92		21	1.77		178	15.01		279	23.52					93	7.84		44	3.71		38	3.20		73	6.16		1186
	THIRD			3	14.29		4	19.05			Excluded		0	0.00		2	9.52					5	23.81		0	0.00		2	9.52		5	23.81		21
		TOTAL		37	3.12		430	36.26					178	15.01		281	23.69					98	8.26		44	3.71		40	3.37		78	6.58		1186
	FOURTH			1	2.50		0	0.00					0	0.00		34	85.00					1	2.50		1	2.50			Excluded		3	7.50		40
		TOTAL		38	3.20		430	36.26					178	15.01		315	26.56					99	8.35		45	3.79					81	6.83		1186
	FIFTH			2	4.44		11	24.44					5	11.11		8	17.78					15	33.33			Excluded					4	8.89		45
		TOTAL		40	3.37		441	37.18					183	15.43		323	27.23					114	9.61								85	7.17		1186
	SIXTH				Excluded		17	42.50					3	7.50		4	10.00					8	20.00								8	20.00		40
		TOTAL					458	38.62					186	15.68		327	27.57					122	10.29								93	7.84		1186
	SEVENTH						90	73.77					3	2.46		14	11.48						Excluded								15	12.30		122
		TOTAL					548	46.21					189	15.94		341	28.75														108	9.11		1186
	EIGHTH						35	32.41					39	36.11		34	31.48															Excluded		108
		TOTAL					583	49.16					228	19.22		375	31.62																	1186
	NINTH						29	12.72						Excluded		199	87.28																	228
		TOTAL					612	51.60								574	48.40																	1186
																Elected																		
																																		
Mylestom                                                       																																		
	FIRST			8	2.09		133	34.73		7	1.83		73	19.06		99	25.85		1	0.26		33	8.62		12	3.13		4	1.04		13	3.39		383
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		8	2.09		133	34.73		8	2.09		73	19.06		99	25.85					33	8.62		12	3.13		4	1.04		13	3.39		383
	THIRD			1	12.50		1	12.50			Excluded		1	12.50		2	25.00					0	0.00		1	12.50		1	12.50		1	12.50		8
		TOTAL		9	2.35		134	34.99					74	19.32		101	26.37					33	8.62		13	3.39		5	1.31		14	3.66		383
	FOURTH			0	0.00		0	0.00					1	20.00		2	40.00					1	20.00		1	20.00			Excluded		0	0.00		5
		TOTAL		9	2.35		134	34.99					75	19.58		103	26.89					34	8.88		14	3.66					14	3.66		383
	FIFTH			1	7.14		4	28.57					1	7.14		1	7.14					7	50.00			Excluded					0	0.00		14
		TOTAL		10	2.61		138	36.03					76	19.84		104	27.15					41	10.70								14	3.66		383
	SIXTH				Excluded		6	60.00					1	10.00		0	0.00					0	0.00								3	30.00		10
		TOTAL					144	37.60					77	20.10		104	27.15					41	10.70								17	4.44		383
	SEVENTH						28	68.29					3	7.32		7	17.07						Excluded								3	7.32		41
		TOTAL					172	44.91					80	20.89		111	28.98														20	5.22		383
	EIGHTH						6	30.00					6	30.00		8	40.00															Excluded		20
		TOTAL					178	46.48					86	22.45		119	31.07																	383
	NINTH						13	15.12						Excluded		73	84.88																	86
		TOTAL					191	49.87								192	50.13																	383
																Elected																		
																																		
Nambucca Heads                                                 																																		
	FIRST			39	1.50		975	37.44		64	2.46		494	18.97		628	24.12		9	0.35		111	4.26		47	1.80		49	1.88		188	7.22		2604
	SECOND			1	11.11		0	0.00		2	22.22		0	0.00		2	22.22			Excluded		1	11.11		1	11.11		0	0.00		2	22.22		9
		TOTAL		40	1.54		975	37.44		66	2.53		494	18.97		630	24.19					112	4.30		48	1.84		49	1.88		190	7.30		2604
	THIRD			6	9.09		19	28.79			Excluded		9	13.64		12	18.18					4	6.06		3	4.55		2	3.03		11	16.67		66
		TOTAL		46	1.77		994	38.17					503	19.32		642	24.65					116	4.45		51	1.96		51	1.96		201	7.72		2604
	FOURTH			1	1.96		3	5.88					6	11.76		31	60.78					3	5.88		1	1.96			Excluded		6	11.76		51
		TOTAL		47	1.80		997	38.29					509	19.55		673	25.84					119	4.57		52	2.00					207	7.95		2604
	FIFTH			1	1.92		10	19.23					3	5.77		5	9.62					28	53.85			Excluded					5	9.62		52
		TOTAL		48	1.84		1007	38.67					512	19.66		678	26.04					147	5.65								212	8.14		2604
	SIXTH				Excluded		29	60.42					4	8.33		6	12.50					5	10.42								4	8.33		48
		TOTAL					1036	39.78					516	19.82		684	26.27					152	5.84								216	8.29		2604
	SEVENTH						102	67.11					12	7.89		26	17.11						Excluded								12	7.89		152
		TOTAL					1138	43.70					528	20.28		710	27.27														228	8.76		2604
	EIGHTH						64	28.07					105	46.05		59	25.88															Excluded		228
		TOTAL					1202	46.16					633	24.31		769	29.53																	2604
	NINTH						71	11.22						Excluded		562	88.78																	633
		TOTAL					1273	48.89								1331	51.11																	2604
																Elected																		
																																		
Nana Glen                                                      																																		
	FIRST			20	3.51		182	31.93		6	1.05		44	7.72		202	35.44		6	1.05		33	5.79		15	2.63		22	3.86		40	7.02		570
	SECOND			2	33.33		1	16.67		1	16.67		0	0.00		1	16.67			Excluded		0	0.00		0	0.00		0	0.00		1	16.67		6
		TOTAL		22	3.86		183	32.11		7	1.23		44	7.72		203	35.61					33	5.79		15	2.63		22	3.86		41	7.19		570
	THIRD			0	0.00		0	0.00			Excluded		3	42.86		3	42.86					1	14.29		0	0.00		0	0.00		0	0.00		7
		TOTAL		22	3.86		183	32.11					47	8.25		206	36.14					34	5.96		15	2.63		22	3.86		41	7.19		570
	FOURTH			0	0.00		0	0.00					2	9.09		16	72.73					2	9.09		0	0.00			Excluded		2	9.09		22
		TOTAL		22	3.86		183	32.11					49	8.60		222	38.95					36	6.32		15	2.63					43	7.54		570
	FIFTH			1	6.67		2	13.33					0	0.00		1	6.67					9	60.00			Excluded					2	13.33		15
		TOTAL		23	4.04		185	32.46					49	8.60		223	39.12					45	7.89								45	7.89		570
	SIXTH				Excluded		8	34.78					1	4.35		4	17.39					4	17.39								6	26.09		23
		TOTAL					193	33.86					50	8.77		227	39.82					49	8.60								51	8.95		570
	SEVENTH						32	65.31					4	8.16		7	14.29						Excluded								6	12.24		49
		TOTAL					225	39.47					54	9.47		234	41.05														57	10.00		570
	EIGHTH						20	35.09					15	26.32		22	38.60															Excluded		57
		TOTAL					245	42.98					69	12.11		256	44.91																	570
	NINTH						14	20.29						Excluded		55	79.71																	69
		TOTAL					259	45.44								311	54.56																	570
																Elected																		
																																		
Newville                                                       																																		
	FIRST			18	1.91		350	37.12		21	2.23		199	21.10		224	23.75		6	0.64		22	2.33		17	1.80		16	1.70		70	7.42		943
	SECOND			3	50.00		2	33.33		1	16.67		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		6
		TOTAL		21	2.23		352	37.33		22	2.33		199	21.10		224	23.75					22	2.33		17	1.80		16	1.70		70	7.42		943
	THIRD			1	4.55		6	27.27			Excluded		4	18.18		0	0.00					1	4.55		0	0.00		2	9.09		8	36.36		22
		TOTAL		22	2.33		358	37.96					203	21.53		224	23.75					23	2.44		17	1.80		18	1.91		78	8.27		943
	FOURTH			1	5.56		2	11.11					2	11.11		7	38.89					1	5.56		2	11.11			Excluded		3	16.67		18
		TOTAL		23	2.44		360	38.18					205	21.74		231	24.50					24	2.55		19	2.01					81	8.59		943
	FIFTH			0	0.00		8	42.11					1	5.26		3	15.79					6	31.58			Excluded					1	5.26		19
		TOTAL		23	2.44		368	39.02					206	21.85		234	24.81					30	3.18								82	8.70		943
	SIXTH				Excluded		13	56.52					2	8.70		1	4.35					1	4.35								6	26.09		23
		TOTAL					381	40.40					208	22.06		235	24.92					31	3.29								88	9.33		943
	SEVENTH						22	70.97					1	3.23		3	9.68						Excluded								5	16.13		31
		TOTAL					403	42.74					209	22.16		238	25.24														93	9.86		943
	EIGHTH						27	29.03					43	46.24		23	24.73															Excluded		93
		TOTAL					430	45.60					252	26.72		261	27.68																	943
	NINTH						26	10.32						Excluded		226	89.68																	252
		TOTAL					456	48.36								487	51.64																	943
																Elected																		
																																		
Palmers Island                                                 																																		
	FIRST			11	2.09		150	28.46		3	0.57		70	13.28		226	42.88		0	0.00		17	3.23		5	0.95		2	0.38		43	8.16		527
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		11	2.09		150	28.46		3	0.57		70	13.28		226	42.88					17	3.23		5	0.95		2	0.38		43	8.16		527
	THIRD			0	0.00		2	66.67			Excluded		0	0.00		1	33.33					0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		11	2.09		152	28.84					70	13.28		227	43.07					17	3.23		5	0.95		2	0.38		43	8.16		527
	FOURTH			0	0.00		1	50.00					1	50.00		0	0.00					0	0.00		0	0.00			Excluded		0	0.00		2
		TOTAL		11	2.09		153	29.03					71	13.47		227	43.07					17	3.23		5	0.95					43	8.16		527
	FIFTH			0	0.00		2	40.00					0	0.00		0	0.00					3	60.00			Excluded					0	0.00		5
		TOTAL		11	2.09		155	29.41					71	13.47		227	43.07					20	3.80								43	8.16		527
	SIXTH				Excluded		6	54.55					1	9.09		0	0.00					4	36.36								0	0.00		11
		TOTAL					161	30.55					72	13.66		227	43.07					24	4.55								43	8.16		527
	SEVENTH						13	54.17					5	20.83		2	8.33						Excluded								4	16.67		24
		TOTAL					174	33.02					77	14.61		229	43.45														47	8.92		527
	EIGHTH						17	36.17					9	19.15		21	44.68															Excluded		47
		TOTAL					191	36.24					86	16.32		250	47.44																	527
	NINTH						14	16.28						Excluded		72	83.72																	86
		TOTAL					205	38.90								322	61.10																	527
																Elected																		
																																		
Raleigh                                                        																																		
	FIRST			6	2.32		74	28.57		10	3.86		44	16.99		77	29.73		0	0.00		15	5.79		6	2.32		3	1.16		24	9.27		259
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		6	2.32		74	28.57		10	3.86		44	16.99		77	29.73					15	5.79		6	2.32		3	1.16		24	9.27		259
	THIRD			0	0.00		3	30.00			Excluded		0	0.00		2	20.00					1	10.00		0	0.00		1	10.00		3	30.00		10
		TOTAL		6	2.32		77	29.73					44	16.99		79	30.50					16	6.18		6	2.32		4	1.54		27	10.42		259
	FOURTH			0	0.00		0	0.00					0	0.00		2	50.00					1	25.00		0	0.00			Excluded		1	25.00		4
		TOTAL		6	2.32		77	29.73					44	16.99		81	31.27					17	6.56		6	2.32					28	10.81		259
	FIFTH			0	0.00		1	16.67					0	0.00		0	0.00					5	83.33			Excluded					0	0.00		6
		TOTAL		6	2.32		78	30.12					44	16.99		81	31.27					22	8.49								28	10.81		259
	SIXTH				Excluded		1	16.67					0	0.00		1	16.67					1	16.67								3	50.00		6
		TOTAL					79	30.50					44	16.99		82	31.66					23	8.88								31	11.97		259
	SEVENTH						14	60.87					2	8.70		5	21.74						Excluded								2	8.70		23
		TOTAL					93	35.91					46	17.76		87	33.59														33	12.74		259
	EIGHTH						14	42.42					8	24.24		11	33.33															Excluded		33
		TOTAL					107	41.31					54	20.85		98	37.84																	259
	NINTH						7	12.96						Excluded		47	87.04																	54
		TOTAL					114	44.02								145	55.98																	259
																Elected																		
																																		
Red Rock                                                       																																		
	FIRST			3	1.85		64	39.51		2	1.23		22	13.58		39	24.07		1	0.62		13	8.02		5	3.09		5	3.09		8	4.94		162
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		3	1.85		64	39.51		3	1.85		22	13.58		39	24.07					13	8.02		5	3.09		5	3.09		8	4.94		162
	THIRD			1	33.33		0	0.00			Excluded		0	0.00		1	33.33					0	0.00		0	0.00		0	0.00		1	33.33		3
		TOTAL		4	2.47		64	39.51					22	13.58		40	24.69					13	8.02		5	3.09		5	3.09		9	5.56		162
	FOURTH			0	0.00		0	0.00					1	20.00		4	80.00					0	0.00		0	0.00			Excluded		0	0.00		5
		TOTAL		4	2.47		64	39.51					23	14.20		44	27.16					13	8.02		5	3.09					9	5.56		162
	FIFTH			0	0.00		2	40.00					0	0.00		0	0.00					3	60.00			Excluded					0	0.00		5
		TOTAL		4	2.47		66	40.74					23	14.20		44	27.16					16	9.88								9	5.56		162
	SIXTH				Excluded		0	0.00					0	0.00		2	50.00					1	25.00								1	25.00		4
		TOTAL					66	40.74					23	14.20		46	28.40					17	10.49								10	6.17		162
	SEVENTH						12	70.59					0	0.00		3	17.65						Excluded								2	11.76		17
		TOTAL					78	48.15					23	14.20		49	30.25														12	7.41		162
	EIGHTH						8	66.67					0	0.00		4	33.33															Excluded		12
		TOTAL					86	53.09					23	14.20		53	32.72																	162
	NINTH						1	4.35						Excluded		22	95.65																	23
		TOTAL					87	53.70								75	46.30																	162
																Elected																		
																																		
Repton                                                         																																		
	FIRST			4	2.48		50	31.06		1	0.62		15	9.32		40	24.84		1	0.62		31	19.25		11	6.83		2	1.24		6	3.73		161
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		1
		TOTAL		4	2.48		50	31.06		1	0.62		15	9.32		40	24.84					31	19.25		11	6.83		2	1.24		7	4.35		161
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00					1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		4	2.48		50	31.06					15	9.32		40	24.84					32	19.88		11	6.83		2	1.24		7	4.35		161
	FOURTH			0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		1	50.00			Excluded		1	50.00		2
		TOTAL		4	2.48		50	31.06					15	9.32		40	24.84					32	19.88		12	7.45					8	4.97		161
	FIFTH			0	0.00		7	58.33					0	0.00		0	0.00					5	41.67			Excluded					0	0.00		12
		TOTAL		4	2.48		57	35.40					15	9.32		40	24.84					37	22.98								8	4.97		161
	SIXTH				Excluded		3	75.00					0	0.00		1	25.00					0	0.00								0	0.00		4
		TOTAL					60	37.27					15	9.32		41	25.47					37	22.98								8	4.97		161
	SEVENTH						32	86.49					1	2.70		2	5.41						Excluded								2	5.41		37
		TOTAL					92	57.14					16	9.94		43	26.71														10	6.21		161
	EIGHTH						3	30.00					2	20.00		5	50.00															Excluded		10
		TOTAL					95	59.01					18	11.18		48	29.81																	161
	NINTH						3	16.67						Excluded		15	83.33																	18
		TOTAL					98	60.87								63	39.13																	161
																Elected																		
																																		
Sandy Beach                                                    																																		
	FIRST			54	3.37		589	36.79		12	0.75		227	14.18		408	25.48		13	0.81		96	6.00		56	3.50		44	2.75		102	6.37		1601
	SECOND			2	15.38		0	0.00		6	46.15		0	0.00		3	23.08			Excluded		1	7.69		0	0.00		0	0.00		1	7.69		13
		TOTAL		56	3.50		589	36.79		18	1.12		227	14.18		411	25.67					97	6.06		56	3.50		44	2.75		103	6.43		1601
	THIRD			5	27.78		4	22.22			Excluded		0	0.00		2	11.11					3	16.67		1	5.56		1	5.56		2	11.11		18
		TOTAL		61	3.81		593	37.04					227	14.18		413	25.80					100	6.25		57	3.56		45	2.81		105	6.56		1601
	FOURTH			0	0.00		3	6.67					6	13.33		28	62.22					0	0.00		1	2.22			Excluded		7	15.56		45
		TOTAL		61	3.81		596	37.23					233	14.55		441	27.55					100	6.25		58	3.62					112	7.00		1601
	FIFTH			4	6.90		14	24.14					1	1.72		5	8.62					31	53.45			Excluded					3	5.17		58
		TOTAL		65	4.06		610	38.10					234	14.62		446	27.86					131	8.18								115	7.18		1601
	SIXTH				Excluded		16	24.62					8	12.31		10	15.38					18	27.69								13	20.00		65
		TOTAL					626	39.10					242	15.12		456	28.48					149	9.31								128	8.00		1601
	SEVENTH						90	60.40					16	10.74		18	12.08						Excluded								25	16.78		149
		TOTAL					716	44.72					258	16.11		474	29.61														153	9.56		1601
	EIGHTH						55	35.95					39	25.49		59	38.56															Excluded		153
		TOTAL					771	48.16					297	18.55		533	33.29																	1601
	NINTH						36	12.12						Excluded		261	87.88																	297
		TOTAL					807	50.41								794	49.59																	1601
																Elected																		
																																		
Sawtell                                                        																																		
	FIRST			71	3.92		654	36.15		35	1.93		246	13.60		503	27.81		7	0.39		95	5.25		55	3.04		28	1.55		115	6.36		1809
	SECOND			1	14.29		0	0.00		1	14.29		0	0.00		0	0.00			Excluded		1	14.29		1	14.29		0	0.00		3	42.86		7
		TOTAL		72	3.98		654	36.15		36	1.99		246	13.60		503	27.81					96	5.31		56	3.10		28	1.55		118	6.52		1809
	THIRD			6	16.67		12	33.33			Excluded		2	5.56		1	2.78					5	13.89		2	5.56		2	5.56		6	16.67		36
		TOTAL		78	4.31		666	36.82					248	13.71		504	27.86					101	5.58		58	3.21		30	1.66		124	6.85		1809
	FOURTH			1	3.33		2	6.67					3	10.00		16	53.33					4	13.33		2	6.67			Excluded		2	6.67		30
		TOTAL		79	4.37		668	36.93					251	13.88		520	28.75					105	5.80		60	3.32					126	6.97		1809
	FIFTH			1	1.67		18	30.00					2	3.33		4	6.67					32	53.33			Excluded					3	5.00		60
		TOTAL		80	4.42		686	37.92					253	13.99		524	28.97					137	7.57								129	7.13		1809
	SIXTH				Excluded		31	38.75					6	7.50		17	21.25					7	8.75								19	23.75		80
		TOTAL					717	39.64					259	14.32		541	29.91					144	7.96								148	8.18		1809
	SEVENTH						108	75.00					5	3.47		17	11.81						Excluded								14	9.72		144
		TOTAL					825	45.61					264	14.59		558	30.85														162	8.96		1809
	EIGHTH						47	29.01					58	35.80		57	35.19															Excluded		162
		TOTAL					872	48.20					322	17.80		615	34.00																	1809
