House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Paterson																													
				HORNE			SHAW			DAVIES			RANKE			HENNELLY			BALDWIN			KING			CARY				
		TOTAL		6	7.23		48	57.83					1	1.20					22	26.51					6	7.23		83	
	FIFTH			1	100.00		0	0.00						Excluded					0	0.00					0	0.00		1	
		TOTAL		7	8.43		48	57.83											22	26.51					6	7.23		83	
	SIXTH			2	33.33		2	33.33											2	33.33						Excluded		6	
		TOTAL		9	10.84		50	60.24											24	28.92								83	
	SEVENTH			9	18.00			Excluded											41	82.00								50	
		TOTAL		18	21.69														65	78.31								83	
																			Elected										
																													
Salamander                                                     																													
	FIRST			408	35.32		63	5.45		30	2.60		25	2.16		10	0.87		575	49.78		1	0.09		43	3.72		1155	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		408	35.32		63	5.45		30	2.60		25	2.16		10	0.87		575	49.78					44	3.81		1155	
	THIRD			4	40.00		0	0.00		2	20.00		1	10.00			Excluded		1	10.00					2	20.00		10	
		TOTAL		412	35.67		63	5.45		32	2.77		26	2.25					576	49.87					46	3.98		1155	
	FOURTH			12	37.50		4	12.50			Excluded		10	31.25					5	15.63					1	3.13		32	
		TOTAL		424	36.71		67	5.80					36	3.12					581	50.30					47	4.07		1155	
	FIFTH			16	44.44		4	11.11						Excluded					10	27.78					6	16.67		36	
		TOTAL		440	38.10		71	6.15											591	51.17					53	4.59		1155	
	SIXTH			18	33.96		16	30.19											19	35.85						Excluded		53	
		TOTAL		458	39.65		87	7.53											610	52.81								1155	
	SEVENTH			22	25.29			Excluded											65	74.71								87	
		TOTAL		480	41.56														675	58.44								1155	
																			Elected										
																													
Salamander Bay                                                 																													
	FIRST			541	37.28		76	5.24		32	2.21		19	1.31		7	0.48		740	51.00		0	0.00		36	2.48		1451	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		541	37.28		76	5.24		32	2.21		19	1.31		7	0.48		740	51.00					36	2.48		1451	
	THIRD			1	14.29		0	0.00		0	0.00		3	42.86			Excluded		1	14.29					2	28.57		7	
		TOTAL		542	37.35		76	5.24		32	2.21		22	1.52					741	51.07					38	2.62		1451	
	FOURTH			11	34.38		2	6.25			Excluded		14	43.75					4	12.50					1	3.13		32	
		TOTAL		553	38.11		78	5.38					36	2.48					745	51.34					39	2.69		1451	
	FIFTH			20	55.56		5	13.89						Excluded					5	13.89					6	16.67		36	
		TOTAL		573	39.49		83	5.72											750	51.69					45	3.10		1451	
	SIXTH			13	28.89		17	37.78											15	33.33						Excluded		45	
		TOTAL		586	40.39		100	6.89											765	52.72								1451	
	SEVENTH			22	22.00			Excluded											78	78.00								100	
		TOTAL		608	41.90														843	58.10								1451	
																			Elected										
																													
Salisbury                                                      																													
	FIRST			6	8.96		5	7.46		1	1.49		0	0.00		0	0.00		51	76.12		0	0.00		4	5.97		67	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		6	8.96		5	7.46		1	1.49		0	0.00		0	0.00		51	76.12					4	5.97		67	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	
		TOTAL		6	8.96		5	7.46		1	1.49		0	0.00					51	76.12					4	5.97		67	
	FOURTH			1	100.00		0	0.00			Excluded		0	0.00					0	0.00					0	0.00		1	
		TOTAL		7	10.45		5	7.46					0	0.00					51	76.12					4	5.97		67	
	FIFTH			0	0.00		0	0.00						Excluded					0	0.00					0	0.00		0	
		TOTAL		7	10.45		5	7.46											51	76.12					4	5.97		67	
	SIXTH			0	0.00		3	75.00											1	25.00						Excluded		4	
		TOTAL		7	10.45		8	11.94											52	77.61								67	
	SEVENTH			1	12.50			Excluded											7	87.50								8	
		TOTAL		8	11.94														59	88.06								67	
																			Elected										
																													
Salt Ash                                                       																													
	FIRST			248	36.80		35	5.19		9	1.34		18	2.67		6	0.89		290	43.03		2	0.30		66	9.79		674	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		248	36.80		35	5.19		9	1.34		18	2.67		7	1.04		290	43.03					67	9.94		674	
	THIRD			4	57.14		0	0.00		0	0.00		1	14.29			Excluded		1	14.29					1	14.29		7	
		TOTAL		252	37.39		35	5.19		9	1.34		19	2.82					291	43.18					68	10.09		674	
	FOURTH			2	22.22		2	22.22			Excluded		5	55.56					0	0.00					0	0.00		9	
		TOTAL		254	37.69		37	5.49					24	3.56					291	43.18					68	10.09		674	
	FIFTH			13	54.17		3	12.50						Excluded					5	20.83					3	12.50		24	
		TOTAL		267	39.61		40	5.93											296	43.92					71	10.53		674	
	SIXTH			34	47.89		17	23.94											20	28.17						Excluded		71	
		TOTAL		301	44.66		57	8.46											316	46.88								674	
	SEVENTH			15	26.32			Excluded											42	73.68								57	
		TOTAL		316	46.88														358	53.12								674	
																			Elected										
																													
Seaham                                                         																													
	FIRST			341	34.38		99	9.98		38	3.83		32	3.23		1	0.10		421	42.44		2	0.20		58	5.85		992	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		341	34.38		99	9.98		38	3.83		33	3.33		1	0.10		421	42.44					59	5.95		992	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					1	100.00		1	
		TOTAL		341	34.38		99	9.98		38	3.83		33	3.33					421	42.44					60	6.05		992	
	FOURTH			13	34.21		7	18.42			Excluded		13	34.21					4	10.53					1	2.63		38	
		TOTAL		354	35.69		106	10.69					46	4.64					425	42.84					61	6.15		992	
	FIFTH			27	58.70		8	17.39						Excluded					7	15.22					4	8.70		46	
		TOTAL		381	38.41		114	11.49											432	43.55					65	6.55		992	
	SIXTH			21	32.31		26	40.00											18	27.69						Excluded		65	
		TOTAL		402	40.52		140	14.11											450	45.36								992	
	SEVENTH			31	22.14			Excluded											109	77.86								140	
		TOTAL		433	43.65														559	56.35								992	
																			Elected										
																													
Shoal Bay                                                      																													
	FIRST			388	43.45		39	4.37		19	2.13		26	2.91		8	0.90		375	41.99		0	0.00		38	4.26		893	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		388	43.45		39	4.37		19	2.13		26	2.91		8	0.90		375	41.99					38	4.26		893	
	THIRD			2	25.00		2	25.00		0	0.00		2	25.00			Excluded		1	12.50					1	12.50		8	
		TOTAL		390	43.67		41	4.59		19	2.13		28	3.14					376	42.11					39	4.37		893	
	FOURTH			6	31.58		3	15.79			Excluded		7	36.84					2	10.53					1	5.26		19	
		TOTAL		396	44.34		44	4.93					35	3.92					378	42.33					40	4.48		893	
	FIFTH			17	48.57		8	22.86						Excluded					4	11.43					6	17.14		35	
		TOTAL		413	46.25		52	5.82											382	42.78					46	5.15		893	
	SIXTH			8	17.39		24	52.17											14	30.43						Excluded		46	
		TOTAL		421	47.14		76	8.51											396	44.34								893	
	SEVENTH			17	22.37			Excluded											59	77.63								76	
		TOTAL		438	49.05														455	50.95								893	
																			Elected										
																													
Soldiers Point                                                 																													
	FIRST			307	36.77		45	5.39		15	1.80		22	2.63		15	1.80		405	48.50		2	0.24		24	2.87		835	
	SECOND			0	0.00		0	0.00		0	0.00		2	100.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		307	36.77		45	5.39		15	1.80		24	2.87		15	1.80		405	48.50					24	2.87		835	
	THIRD			8	53.33		2	13.33		0	0.00		4	26.67			Excluded		1	6.67					0	0.00		15	
		TOTAL		315	37.72		47	5.63		15	1.80		28	3.35					406	48.62					24	2.87		835	
	FOURTH			7	46.67		0	0.00			Excluded		6	40.00					2	13.33					0	0.00		15	
		TOTAL		322	38.56		47	5.63					34	4.07					408	48.86					24	2.87		835	
	FIFTH			20	58.82		4	11.76						Excluded					7	20.59					3	8.82		34	
		TOTAL		342	40.96		51	6.11											415	49.70					27	3.23		835	
	SIXTH			7	25.93		12	44.44											8	29.63						Excluded		27	
		TOTAL		349	41.80		63	7.54											423	50.66								835	
	SEVENTH			11	17.46			Excluded											52	82.54								63	
		TOTAL		360	43.11														475	56.89								835	
																			Elected										
																													
Stratford                                                      																													
	FIRST			37	19.68		63	33.51		6	3.19		3	1.60		0	0.00		68	36.17		0	0.00		11	5.85		188	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		37	19.68		63	33.51		6	3.19		3	1.60		0	0.00		68	36.17					11	5.85		188	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	
		TOTAL		37	19.68		63	33.51		6	3.19		3	1.60					68	36.17					11	5.85		188	
	FOURTH			0	0.00		4	66.67			Excluded		1	16.67					0	0.00					1	16.67		6	
		TOTAL		37	19.68		67	35.64					4	2.13					68	36.17					12	6.38		188	
	FIFTH			3	75.00		1	25.00						Excluded					0	0.00					0	0.00		4	
		TOTAL		40	21.28		68	36.17											68	36.17					12	6.38		188	
	SIXTH			2	16.67		4	33.33											6	50.00						Excluded		12	
		TOTAL		42	22.34		72	38.30											74	39.36								188	
	SEVENTH			10	13.89			Excluded											62	86.11								72	
		TOTAL		52	27.66														136	72.34								188	
																			Elected										
																													
Stroud                                                         																													
	FIRST			158	29.42		83	15.46		12	2.23		8	1.49		2	0.37		246	45.81		1	0.19		27	5.03		537	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		158	29.42		84	15.64		12	2.23		8	1.49		2	0.37		246	45.81					27	5.03		537	
	THIRD			0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00					1	50.00		2	
		TOTAL		158	29.42		84	15.64		12	2.23		9	1.68					246	45.81					28	5.21		537	
	FOURTH			4	33.33		3	25.00			Excluded		4	33.33					0	0.00					1	8.33		12	
		TOTAL		162	30.17		87	16.20					13	2.42					246	45.81					29	5.40		537	
	FIFTH			10	76.92		2	15.38						Excluded					0	0.00					1	7.69		13	
		TOTAL		172	32.03		89	16.57											246	45.81					30	5.59		537	
	SIXTH			13	43.33		11	36.67											6	20.00						Excluded		30	
		TOTAL		185	34.45		100	18.62											252	46.93								537	
	SEVENTH			9	9.00			Excluded											91	91.00								100	
		TOTAL		194	36.13														343	63.87								537	
																			Elected										
																													
Stroud Road                                                    																													
	FIRST			55	30.22		39	21.43		3	1.65		3	1.65		0	0.00		71	39.01		0	0.00		11	6.04		182	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		55	30.22		39	21.43		3	1.65		3	1.65		0	0.00		71	39.01					11	6.04		182	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	
		TOTAL		55	30.22		39	21.43		3	1.65		3	1.65					71	39.01					11	6.04		182	
	FOURTH			1	33.33		0	0.00			Excluded		2	66.67					0	0.00					0	0.00		3	
		TOTAL		56	30.77		39	21.43					5	2.75					71	39.01					11	6.04		182	
	FIFTH			4	80.00		1	20.00						Excluded					0	0.00					0	0.00		5	
		TOTAL		60	32.97		40	21.98											71	39.01					11	6.04		182	
	SIXTH			5	45.45		4	36.36											2	18.18						Excluded		11	
		TOTAL		65	35.71		44	24.18											73	40.11								182	
	SEVENTH			2	4.55			Excluded											42	95.45								44	
		TOTAL		67	36.81														115	63.19								182	
																			Elected										
																													
Sydney (Paterson)                                              																													
	FIRST			15	42.86		1	2.86		0	0.00		4	11.43		0	0.00		15	42.86		0	0.00		0	0.00		35	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		15	42.86		1	2.86		0	0.00		4	11.43		0	0.00		15	42.86					0	0.00		35	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	
		TOTAL		15	42.86		1	2.86		0	0.00		4	11.43					15	42.86					0	0.00		35	
	FOURTH			0	0.00		0	0.00			Excluded		0	0.00					0	0.00					0	0.00		0	
		TOTAL		15	42.86		1	2.86					4	11.43					15	42.86					0	0.00		35	
	FIFTH			2	50.00		0	0.00						Excluded					2	50.00					0	0.00		4	
		TOTAL		17	48.57		1	2.86											17	48.57					0	0.00		35	
	SIXTH			0	0.00		0	0.00											0	0.00						Excluded		0	
		TOTAL		17	48.57		1	2.86											17	48.57								35	
	SEVENTH			0	0.00			Excluded											1	100.00								1	
		TOTAL		17	48.57														18	51.43								35	
																			Elected										
																													
Tanilba Bay                                                    																													
	FIRST			709	48.23		80	5.44		56	3.81		43	2.93		14	0.95		476	32.38		2	0.14		90	6.12		1470	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		709	48.23		80	5.44		56	3.81		43	2.93		15	1.02		476	32.38					91	6.19		1470	
	THIRD			4	26.67		0	0.00		1	6.67		5	33.33			Excluded		2	13.33					3	20.00		15	
		TOTAL		713	48.50		80	5.44		57	3.88		48	3.27					478	32.52					94	6.39		1470	
	FOURTH			12	21.05		8	14.04			Excluded		28	49.12					5	8.77					4	7.02		57	
		TOTAL		725	49.32		88	5.99					76	5.17					483	32.86					98	6.67		1470	
	FIFTH			39	51.32		18	23.68						Excluded					9	11.84					10	13.16		76	
		TOTAL		764	51.97		106	7.21											492	33.47					108	7.35		1470	
	SIXTH			41	37.96		30	27.78											37	34.26						Excluded		108	
		TOTAL		805	54.76		136	9.25											529	35.99								1470	
	SEVENTH			44	32.35			Excluded											92	67.65								136	
		TOTAL		849	57.76														621	42.24								1470	
																			Elected										
																													
Tarro                                                          																													
	FIRST			382	57.62		15	2.26		18	2.71		16	2.41		7	1.06		192	28.96		0	0.00		33	4.98		663	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		382	57.62		15	2.26		18	2.71		16	2.41		7	1.06		192	28.96					33	4.98		663	
	THIRD			3	42.86		0	0.00		0	0.00		2	28.57			Excluded		1	14.29					1	14.29		7	
		TOTAL		385	58.07		15	2.26		18	2.71		18	2.71					193	29.11					34	5.13		663	
	FOURTH			7	38.89		1	5.56			Excluded		3	16.67					3	16.67					4	22.22		18	
		TOTAL		392	59.13		16	2.41					21	3.17					196	29.56					38	5.73		663	
	FIFTH			9	42.86		4	19.05						Excluded					2	9.52					6	28.57		21	
		TOTAL		401	60.48		20	3.02											198	29.86					44	6.64		663	
	SIXTH			12	27.27		17	38.64											15	34.09						Excluded		44	
		TOTAL		413	62.29		37	5.58											213	32.13								663	
	SEVENTH			11	29.73			Excluded											26	70.27								37	
		TOTAL		424	63.95														239	36.05								663	
																			Elected										
																													
Tea Gardens                                                    																													
	FIRST			403	37.91		71	6.68		16	1.51		21	1.98		34	3.20		444	41.77		28	2.63		46	4.33		1063	
	SECOND			9	32.14		6	21.43		1	3.57		2	7.14		4	14.29		1	3.57			Excluded		5	17.86		28	
		TOTAL		412	38.76		77	7.24		17	1.60		23	2.16		38	3.57		445	41.86					51	4.80		1063	
	THIRD			19	50.00		1	2.63		0	0.00		6	15.79			Excluded		8	21.05					4	10.53		38	
		TOTAL		431	40.55		78	7.34		17	1.60		29	2.73					453	42.62					55	5.17		1063	
	FOURTH			5	29.41		2	11.76			Excluded		6	35.29					2	11.76					2	11.76		17	
		TOTAL		436	41.02		80	7.53					35	3.29					455	42.80					57	5.36		1063	
	FIFTH			25	71.43		6	17.14						Excluded					1	2.86					3	8.57		35	
		TOTAL		461	43.37		86	8.09											456	42.90					60	5.64		1063	
	SIXTH			22	36.67		15	25.00											23	38.33						Excluded		60	
		TOTAL		483	45.44		101	9.50											479	45.06								1063	
	SEVENTH			10	9.90			Excluded											91	90.10								101	
		TOTAL		493	46.38														570	53.62								1063	
																			Elected										
																													
Thornton                                                       																													
	FIRST			1789	56.45		59	1.86		122	3.85		63	1.99		29	0.92		973	30.70		14	0.44		120	3.79		3169	
	SECOND			4	28.57		0	0.00		1	7.14		1	7.14		3	21.43		1	7.14			Excluded		4	28.57		14	
		TOTAL		1793	56.58		59	1.86		123	3.88		64	2.02		32	1.01		974	30.74					124	3.91		3169	
	THIRD			7	21.88		0	0.00		4	12.50		7	21.88			Excluded		6	18.75					8	25.00		32	
		TOTAL		1800	56.80		59	1.86		127	4.01		71	2.24					980	30.92					132	4.17		3169	
	FOURTH			51	40.16		8	6.30			Excluded		48	37.80					11	8.66					9	7.09		127	
		TOTAL		1851	58.41		67	2.11					119	3.76					991	31.27					141	4.45		3169	
	FIFTH			60	50.42		25	21.01						Excluded					21	17.65					13	10.92		119	
		TOTAL		1911	60.30		92	2.90											1012	31.93					154	4.86		3169	
	SIXTH			60	38.96		45	29.22											49	31.82						Excluded		154	
		TOTAL		1971	62.20		137	4.32											1061	33.48								3169	
	SEVENTH			41	29.93			Excluded											96	70.07								137	
		TOTAL		2012	63.49														1157	36.51								3169	
																			Elected										
																													
Tomago                                                         																													
	FIRST			53	48.18		3	2.73		3	2.73		0	0.00		3	2.73		33	30.00		0	0.00		15	13.64		110	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		53	48.18		3	2.73		3	2.73		0	0.00		3	2.73		33	30.00					15	13.64		110	
	THIRD			0	0.00		0	0.00		0	0.00		3	100.00			Excluded		0	0.00					0	0.00		3	
		TOTAL		53	48.18		3	2.73		3	2.73		3	2.73					33	30.00					15	13.64		110	
	FOURTH			1	33.33		1	33.33			Excluded		1	33.33					0	0.00					0	0.00		3	
		TOTAL		54	49.09		4	3.64					4	3.64					33	30.00					15	13.64		110	
	FIFTH			1	25.00		1	25.00						Excluded					0	0.00					2	50.00		4	
		TOTAL		55	50.00		5	4.55											33	30.00					17	15.45		110	
	SIXTH			10	58.82		3	17.65											4	23.53						Excluded		17	
		TOTAL		65	59.09		8	7.27											37	33.64								110	
	SEVENTH			2	25.00			Excluded											6	75.00								8	
		TOTAL		67	60.91														43	39.09								110	
																			Elected										
																													
Tuncurry                                                       																													
	FIRST			914	38.99		242	10.32		39	1.66		43	1.83		14	0.60		899	38.35		3	0.13		190	8.11		2344	
	SECOND			1	33.33		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00			Excluded		1	33.33		3	
		TOTAL		915	39.04		242	10.32		39	1.66		44	1.88		14	0.60		899	38.35					191	8.15		2344	
	THIRD			0	0.00		5	35.71		0	0.00		3	21.43			Excluded		2	14.29					4	28.57		14	
		TOTAL		915	39.04		247	10.54		39	1.66		47	2.01					901	38.44					195	8.32		2344	
	FOURTH			7	17.95		10	25.64			Excluded		14	35.90					7	17.95					1	2.56		39	
		TOTAL		922	39.33		257	10.96					61	2.60					908	38.74					196	8.36		2344	
	FIFTH			33	54.10		6	9.84						Excluded					14	22.95					8	13.11		61	
		TOTAL		955	40.74		263	11.22											922	39.33					204	8.70		2344	
	SIXTH			51	25.00		113	55.39											40	19.61						Excluded		204	
		TOTAL		1006	42.92		376	16.04											962	41.04								2344	
	SEVENTH			44	11.70			Excluded											332	88.30								376	
		TOTAL		1050	44.80														1294	55.20								2344	
																			Elected										
																													
Tuncurry South                                                 																													
	FIRST			321	36.27		74	8.36		13	1.47		18	2.03		6	0.68		391	44.18		1	0.11		61	6.89		885	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		321	36.27		74	8.36		13	1.47		18	2.03		6	0.68		392	44.29					61	6.89		885	
	THIRD			0	0.00		2	33.33		0	0.00		1	16.67			Excluded		0	0.00					3	50.00		6	
		TOTAL		321	36.27		76	8.59		13	1.47		19	2.15					392	44.29					64	7.23		885	
	FOURTH			4	30.77		3	23.08			Excluded		2	15.38					2	15.38					2	15.38		13	
		TOTAL		325	36.72		79	8.93					21	2.37					394	44.52					66	7.46		885	
	FIFTH			12	57.14		3	14.29						Excluded					4	19.05					2	9.52		21	
		TOTAL		337	38.08		82	9.27											398	44.97					68	7.68		885	
	SIXTH			15	22.06		31	45.59											22	32.35						Excluded		68	
		TOTAL		352	39.77		113	12.77											420	47.46								885	
	SEVENTH			12	10.62			Excluded											101	89.38								113	
		TOTAL		364	41.13														521	58.87								885	
																			Elected										
																													
Vacy                                                           																													
	FIRST			143	36.29		26	6.60		18	4.57		20	5.08		2	0.51		163	41.37		2	0.51		20	5.08		394	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		2	
		TOTAL		143	36.29		26	6.60		18	4.57		20	5.08		2	0.51		163	41.37					22	5.58		394	
	THIRD			1	50.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					1	50.00		2	
		TOTAL		144	36.55		26	6.60		18	4.57		20	5.08					163	41.37					23	5.84		394	
	FOURTH			6	33.33		2	11.11			Excluded		8	44.44					1	5.56					1	5.56		18	
		TOTAL		150	38.07		28	7.11					28	7.11					164	41.62					24	6.09		394	
	FIFTH			18	64.29		5	17.86						Excluded					3	10.71					2	7.14		28	
		TOTAL		168	42.64		33	8.38											167	42.39					26	6.60		394	
	SIXTH			9	34.62		11	42.31											6	23.08						Excluded		26	
		TOTAL		177	44.92		44	11.17											173	43.91								394	
	SEVENTH			8	18.18			Excluded											36	81.82								44	
		TOTAL		185	46.95														209	53.05								394	
																			Elected										
																													
Wallarobba                                                     																													
	FIRST			41	27.89		24	16.33		2	1.36		7	4.76		0	0.00		63	42.86		0	0.00		10	6.80		147	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		41	27.89		24	16.33		2	1.36		7	4.76		0	0.00		63	42.86					10	6.80		147	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	
		TOTAL		41	27.89		24	16.33		2	1.36		7	4.76					63	42.86					10	6.80		147	
	FOURTH			2	100.00		0	0.00			Excluded		0	0.00					0	0.00					0	0.00		2	
		TOTAL		43	29.25		24	16.33					7	4.76					63	42.86					10	6.80		147	
	FIFTH			7	100.00		0	0.00						Excluded					0	0.00					0	0.00		7	
		TOTAL		50	34.01		24	16.33											63	42.86					10	6.80		147	
	SIXTH			2	20.00		7	70.00											1	10.00						Excluded		10	
		TOTAL		52	35.37		31	21.09											64	43.54								147	
	SEVENTH			4	12.90			Excluded											27	87.10								31	
		TOTAL		56	38.10														91	61.90								147	
																			Elected										
																													
Wards River                                                    																													
	FIRST			34	29.82		27	23.68		2	1.75		3	2.63		3	2.63		32	28.07		2	1.75		11	9.65		114	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		2	
		TOTAL		34	29.82		27	23.68		2	1.75		3	2.63		3	2.63		32	28.07					13	11.40		114	
	THIRD			1	33.33		1	33.33		0	0.00		0	0.00			Excluded		1	33.33					0	0.00		3	
		TOTAL		35	30.70		28	24.56		2	1.75		3	2.63					33	28.95					13	11.40		114	
	FOURTH			0	0.00		0	0.00			Excluded		2	100.00					0	0.00					0	0.00		2	
		TOTAL		35	30.70		28	24.56					5	4.39					33	28.95					13	11.40		114	
	FIFTH			2	40.00		1	20.00						Excluded					0	0.00					2	40.00		5	
		TOTAL		37	32.46		29	25.44											33	28.95					15	13.16		114	
	SIXTH			2	13.33		11	73.33											2	13.33						Excluded		15	
		TOTAL		39	34.21		40	35.09											35	30.70								114	
	SEVENTH			7	17.50			Excluded											33	82.50								40	
		TOTAL		46	40.35														68	59.65								114	
																			Elected										
																													
Williamtown                                                    																													
	FIRST			219	36.26		62	10.26		14	2.32		18	2.98		2	0.33		233	38.58		3	0.50		53	8.77		604	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		3	100.00		3	
		TOTAL		219	36.26		62	10.26		14	2.32		18	2.98		2	0.33		233	38.58					56	9.27		604	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00					0	0.00		2	
		TOTAL		219	36.26		62	10.26		14	2.32		18	2.98					235	38.91					56	9.27		604	
	FOURTH			3	21.43		2	14.29			Excluded		3	21.43					5	35.71					1	7.14		14	
		TOTAL		222	36.75		64	10.60					21	3.48					240	39.74					57	9.44		604	
	FIFTH			14	66.67		4	19.05						Excluded					2	9.52					1	4.76		21	
		TOTAL		236	39.07		68	11.26											242	40.07					58	9.60		604	
	SIXTH			14	24.14		29	50.00											15	25.86						Excluded		58	
		TOTAL		250	41.39		97	16.06											257	42.55								604	
	SEVENTH			13	13.40			Excluded											84	86.60								97	
		TOTAL		263	43.54														341	56.46								604	
																			Elected										
																													
Wirreanda Medowie                                              																													
	FIRST			718	37.99		83	4.39		78	4.13		39	2.06		13	0.69		824	43.60		6	0.32		129	6.83		1890	
	SECOND			2	33.33		0	0.00		0	0.00		0	0.00		2	33.33		2	33.33			Excluded		0	0.00		6	
		TOTAL		720	38.10		83	4.39		78	4.13		39	2.06		15	0.79		826	43.70					129	6.83		1890	
	THIRD			1	6.67		2	13.33		1	6.67		5	33.33			Excluded		3	20.00					3	20.00		15	
		TOTAL		721	38.15		85	4.50		79	4.18		44	2.33					829	43.86					132	6.98		1890	
	FOURTH			23	29.11		13	16.46			Excluded		28	35.44					7	8.86					8	10.13		79	
		TOTAL		744	39.37		98	5.19					72	3.81					836	44.23					140	7.41		1890	
	FIFTH			35	48.61		18	25.00						Excluded					10	13.89					9	12.50		72	
		TOTAL		779	41.22		116	6.14											846	44.76					149	7.88		1890	
	SIXTH			32	21.48		67	44.97											50	33.56						Excluded		149	
		TOTAL		811	42.91		183	9.68											896	47.41								1890	
	SEVENTH			56	30.60			Excluded											127	69.40								183	
		TOTAL		867	45.87														1023	54.13								1890	
																			Elected										
																													
Woodberry                                                      																													
	FIRST			1108	63.79		40	2.30		34	1.96		51	2.94		24	1.38		397	22.86		4	0.23		79	4.55		1737	
	SECOND			0	0.00		2	50.00		0	0.00		1	25.00		0	0.00		1	25.00			Excluded		0	0.00		4	
		TOTAL		1108	63.79		42	2.42		34	1.96		52	2.99		24	1.38		398	22.91					79	4.55		1737	
	THIRD			6	25.00		2	8.33		1	4.17		3	12.50			Excluded		4	16.67					8	33.33		24	
		TOTAL		1114	64.13		44	2.53		35	2.01		55	3.17					402	23.14					87	5.01		1737	
	FOURTH			14	40.00		4	11.43			Excluded		11	31.43					4	11.43					2	5.71		35	
		TOTAL		1128	64.94		48	2.76					66	3.80					406	23.37					89	5.12		1737	
	FIFTH			34	51.52		13	19.70						Excluded					11	16.67					8	12.12		66	
		TOTAL		1162	66.90		61	3.51											417	24.01					97	5.58		1737	
	SIXTH			38	39.18		25	25.77											34	35.05						Excluded		97	
		TOTAL		1200	69.08		86	4.95											451	25.96								1737	
	SEVENTH			38	44.19			Excluded											48	55.81								86	
		TOTAL		1238	71.27														499	28.73								1737	
																			Elected										
																													
Woodville                                                      																													
	FIRST			142	34.89		31	7.62		12	2.95		25	6.14		3	0.74		169	41.52		3	0.74		22	5.41		407	
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		1	33.33			Excluded		1	33.33		3	
		TOTAL		142	34.89		32	7.86		12	2.95		25	6.14		3	0.74		170	41.77					23	5.65		407	
	THIRD			2	66.67		0	0.00		0	0.00		0	0.00			Excluded		1	33.33					0	0.00		3	
		TOTAL		144	35.38		32	7.86		12	2.95		25	6.14					171	42.01					23	5.65		407	
	FOURTH			5	41.67		0	0.00			Excluded		6	50.00					1	8.33					0	0.00		12	
