House of Representatives - 2001 Election: New South Wales																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
Gwydir																																			
				WITTEN			HAIGH			GRAHAM			ROGERS			STRACHAN			WEBER			ANDERSON			MURNAIN			EDWARDS			O'REGAN				
		TOTAL		1	0.22		26	5.62		3	0.65		73	15.77		2	0.43		4	0.86		279	60.26		70	15.12					5	1.08		463	
	THIRD			0	0.00		1	25.00		0	0.00		2	50.00		1	25.00			Excluded		0	0.00		0	0.00					0	0.00		4	
		TOTAL		1	0.22		27	5.83		3	0.65		75	16.20		3	0.65					279	60.26		70	15.12					5	1.08		463	
	FOURTH				Excluded		0	0.00		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		1	
		TOTAL					27	5.83		4	0.86		75	16.20		3	0.65					279	60.26		70	15.12					5	1.08		463	
	FIFTH						1	25.00			Excluded		0	0.00		1	25.00					2	50.00		0	0.00					0	0.00		4	
		TOTAL					28	6.05					75	16.20		4	0.86					281	60.69		70	15.12					5	1.08		463	
	SIXTH						2	40.00					0	0.00		0	0.00					2	40.00		1	20.00						Excluded		5	
		TOTAL					30	6.48					75	16.20		4	0.86					283	61.12		71	15.33								463	
	SEVENTH						0	0.00					1	25.00			Excluded					1	25.00		2	50.00								4	
		TOTAL					30	6.48					76	16.41								284	61.34		73	15.77								463	
	EIGHTH							Excluded					13	43.33								10	33.33		7	23.33								30	
		TOTAL											89	19.22								294	63.50		80	17.28								463	
	NINTH													Excluded								45	50.56		44	49.44								89	
		TOTAL																				339	73.22		124	26.78								463	
																						Elected													
																																			
Moonan Flat                                                    																																			
	FIRST			0	0.00		6	3.45		5	2.87		13	7.47		2	1.15		1	0.57		120	68.97		27	15.52		0	0.00		0	0.00		174	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		6	3.45		5	2.87		13	7.47		2	1.15		1	0.57		120	68.97		27	15.52					0	0.00		174	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00					0	0.00		1	
		TOTAL		0	0.00		6	3.45		5	2.87		13	7.47		2	1.15					121	69.54		27	15.52					0	0.00		174	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					6	3.45		5	2.87		13	7.47		2	1.15					121	69.54		27	15.52					0	0.00		174	
	FIFTH						0	0.00			Excluded		0	0.00		3	60.00					1	20.00		1	20.00					0	0.00		5	
		TOTAL					6	3.45					13	7.47		5	2.87					122	70.11		28	16.09					0	0.00		174	
	SIXTH						0	0.00					0	0.00		0	0.00					0	0.00		0	0.00						Excluded		0	
		TOTAL					6	3.45					13	7.47		5	2.87					122	70.11		28	16.09								174	
	SEVENTH						4	80.00					1	20.00			Excluded					0	0.00		0	0.00								5	
		TOTAL					10	5.75					14	8.05								122	70.11		28	16.09								174	
	EIGHTH							Excluded					0	0.00								6	60.00		4	40.00								10	
		TOTAL											14	8.05								128	73.56		32	18.39								174	
	NINTH													Excluded								10	71.43		4	28.57								14	
		TOTAL																				138	79.31		36	20.69								174	
																						Elected													
																																			
Moree                                                          																																			
	FIRST			46	2.66		74	4.28		14	0.81		170	9.83		27	1.56		32	1.85		1013	58.55		320	18.50		9	0.52		25	1.45		1730	
	SECOND			1	11.11		2	22.22		0	0.00		3	33.33		1	11.11		0	0.00		1	11.11		0	0.00			Excluded		1	11.11		9	
		TOTAL		47	2.72		76	4.39		14	0.81		173	10.00		28	1.62		32	1.85		1014	58.61		320	18.50					26	1.50		1730	
	THIRD			2	6.25		2	6.25		0	0.00		6	18.75		5	15.63			Excluded		12	37.50		3	9.38					2	6.25		32	
		TOTAL		49	2.83		78	4.51		14	0.81		179	10.35		33	1.91					1026	59.31		323	18.67					28	1.62		1730	
	FOURTH				Excluded		29	59.18		4	8.16		3	6.12		4	8.16					3	6.12		4	8.16					2	4.08		49	
		TOTAL					107	6.18		18	1.04		182	10.52		37	2.14					1029	59.48		327	18.90					30	1.73		1730	
	FIFTH						5	27.78			Excluded		3	16.67		1	5.56					5	27.78		2	11.11					2	11.11		18	
		TOTAL					112	6.47					185	10.69		38	2.20					1034	59.77		329	19.02					32	1.85		1730	
	SIXTH						7	21.88					11	34.38		0	0.00					4	12.50		10	31.25						Excluded		32	
		TOTAL					119	6.88					196	11.33		38	2.20					1038	60.00		339	19.60								1730	
	SEVENTH						8	21.05					7	18.42			Excluded					11	28.95		12	31.58								38	
		TOTAL					127	7.34					203	11.73								1049	60.64		351	20.29								1730	
	EIGHTH							Excluded					72	56.69								30	23.62		25	19.69								127	
		TOTAL											275	15.90								1079	62.37		376	21.73								1730	
	NINTH													Excluded								136	49.45		139	50.55								275	
		TOTAL																				1215	70.23		515	29.77								1730	
																						Elected													
																																			
Moree East                                                     																																			
	FIRST			19	1.25		55	3.60		18	1.18		180	11.80		14	0.92		23	1.51		757	49.61		425	27.85		6	0.39		29	1.90		1526	
	SECOND			2	33.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	16.67			Excluded		3	50.00		6	
		TOTAL		21	1.38		55	3.60		18	1.18		180	11.80		14	0.92		23	1.51		757	49.61		426	27.92					32	2.10		1526	
	THIRD			3	13.04		3	13.04		0	0.00		3	13.04		4	17.39			Excluded		5	21.74		4	17.39					1	4.35		23	
		TOTAL		24	1.57		58	3.80		18	1.18		183	11.99		18	1.18					762	49.93		430	28.18					33	2.16		1526	
	FOURTH				Excluded		12	50.00		3	12.50		0	0.00		1	4.17					4	16.67		1	4.17					3	12.50		24	
		TOTAL					70	4.59		21	1.38		183	11.99		19	1.25					766	50.20		431	28.24					36	2.36		1526	
	FIFTH						9	42.86			Excluded		0	0.00		3	14.29					5	23.81		2	9.52					2	9.52		21	
		TOTAL					79	5.18					183	11.99		22	1.44					771	50.52		433	28.37					38	2.49		1526	
	SIXTH						12	31.58					11	28.95		2	5.26					9	23.68		4	10.53						Excluded		38	
		TOTAL					91	5.96					194	12.71		24	1.57					780	51.11		437	28.64								1526	
	SEVENTH						3	12.50					6	25.00			Excluded					6	25.00		9	37.50								24	
		TOTAL					94	6.16					200	13.11								786	51.51		446	29.23								1526	
	EIGHTH							Excluded					50	53.19								18	19.15		26	27.66								94	
		TOTAL											250	16.38								804	52.69		472	30.93								1526	
	NINTH													Excluded								116	46.40		134	53.60								250	
		TOTAL																				920	60.29		606	39.71								1526	
																						Elected													
																																			
Moree West                                                     																																			
	FIRST			17	1.18		80	5.57		24	1.67		108	7.52		16	1.11		14	0.97		938	65.32		207	14.42		8	0.56		24	1.67		1436	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		8	100.00		8	
		TOTAL		17	1.18		80	5.57		24	1.67		108	7.52		16	1.11		14	0.97		938	65.32		207	14.42					32	2.23		1436	
	THIRD			4	28.57		0	0.00		1	7.14		1	7.14		2	14.29			Excluded		2	14.29		4	28.57					0	0.00		14	
		TOTAL		21	1.46		80	5.57		25	1.74		109	7.59		18	1.25					940	65.46		211	14.69					32	2.23		1436	
	FOURTH				Excluded		16	76.19		0	0.00		1	4.76		1	4.76					3	14.29		0	0.00					0	0.00		21	
		TOTAL					96	6.69		25	1.74		110	7.66		19	1.32					943	65.67		211	14.69					32	2.23		1436	
	FIFTH						9	36.00			Excluded		1	4.00		6	24.00					5	20.00		3	12.00					1	4.00		25	
		TOTAL					105	7.31					111	7.73		25	1.74					948	66.02		214	14.90					33	2.30		1436	
	SIXTH						8	24.24					6	18.18		6	18.18					6	18.18		7	21.21						Excluded		33	
		TOTAL					113	7.87					117	8.15		31	2.16					954	66.43		221	15.39								1436	
	SEVENTH						7	22.58					5	16.13			Excluded					10	32.26		9	29.03								31	
		TOTAL					120	8.36					122	8.50								964	67.13		230	16.02								1436	
	EIGHTH							Excluded					43	35.83								44	36.67		33	27.50								120	
		TOTAL											165	11.49								1008	70.19		263	18.31								1436	
	NINTH													Excluded								87	52.73		78	47.27								165	
		TOTAL																				1095	76.25		341	23.75								1436	
																						Elected													
																																			
Mudgee                                                         																																			
	FIRST			28	1.20		253	10.80		35	1.49		158	6.75		53	2.26		29	1.24		1167	49.83		599	25.58		8	0.34		12	0.51		2342	
	SECOND			0	0.00		1	12.50		0	0.00		0	0.00		0	0.00		0	0.00		2	25.00		0	0.00			Excluded		5	62.50		8	
		TOTAL		28	1.20		254	10.85		35	1.49		158	6.75		53	2.26		29	1.24		1169	49.91		599	25.58					17	0.73		2342	
	THIRD			4	13.79		4	13.79		2	6.90		3	10.34		2	6.90			Excluded		8	27.59		1	3.45					5	17.24		29	
		TOTAL		32	1.37		258	11.02		37	1.58		161	6.87		55	2.35					1177	50.26		600	25.62					22	0.94		2342	
	FOURTH				Excluded		22	68.75		3	9.38		1	3.13		0	0.00					0	0.00		1	3.13					5	15.63		32	
		TOTAL					280	11.96		40	1.71		162	6.92		55	2.35					1177	50.26		601	25.66					27	1.15		2342	
	FIFTH						12	30.00			Excluded		3	7.50		12	30.00					7	17.50		6	15.00					0	0.00		40	
		TOTAL					292	12.47					165	7.05		67	2.86					1184	50.56		607	25.92					27	1.15		2342	
	SIXTH						9	33.33					2	7.41		5	18.52					3	11.11		8	29.63						Excluded		27	
		TOTAL					301	12.85					167	7.13		72	3.07					1187	50.68		615	26.26								2342	
	SEVENTH						24	33.33					4	5.56			Excluded					19	26.39		25	34.72								72	
		TOTAL					325	13.88					171	7.30								1206	51.49		640	27.33								2342	
	EIGHTH							Excluded					94	28.92								120	36.92		111	34.15								325	
		TOTAL											265	11.32								1326	56.62		751	32.07								2342	
	NINTH													Excluded								122	46.04		143	53.96								265	
		TOTAL																				1448	61.83		894	38.17								2342	
																						Elected													
																																			
Mudgee High School                                             																																			
	FIRST			32	1.58		192	9.47		35	1.73		122	6.02		76	3.75		35	1.73		903	44.53		605	29.83		13	0.64		15	0.74		2028	
	SECOND			0	0.00		3	23.08		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	15.38			Excluded		8	61.54		13	
		TOTAL		32	1.58		195	9.62		35	1.73		122	6.02		76	3.75		35	1.73		903	44.53		607	29.93					23	1.13		2028	
	THIRD			2	5.71		2	5.71		1	2.86		4	11.43		4	11.43			Excluded		9	25.71		8	22.86					5	14.29		35	
		TOTAL		34	1.68		197	9.71		36	1.78		126	6.21		80	3.94					912	44.97		615	30.33					28	1.38		2028	
	FOURTH				Excluded		19	55.88		6	17.65		4	11.76		2	5.88					0	0.00		2	5.88					1	2.94		34	
		TOTAL					216	10.65		42	2.07		130	6.41		82	4.04					912	44.97		617	30.42					29	1.43		2028	
	FIFTH						10	23.81			Excluded		2	4.76		14	33.33					5	11.90		9	21.43					2	4.76		42	
		TOTAL					226	11.14					132	6.51		96	4.73					917	45.22		626	30.87					31	1.53		2028	
	SIXTH						12	38.71					1	3.23		2	6.45					6	19.35		10	32.26						Excluded		31	
		TOTAL					238	11.74					133	6.56		98	4.83					923	45.51		636	31.36								2028	
	SEVENTH						38	38.78					7	7.14			Excluded					18	18.37		35	35.71								98	
		TOTAL					276	13.61					140	6.90								941	46.40		671	33.09								2028	
	EIGHTH							Excluded					96	34.78								84	30.43		96	34.78								276	
		TOTAL											236	11.64								1025	50.54		767	37.82								2028	
	NINTH													Excluded								123	52.12		113	47.88								236	
		TOTAL																				1148	56.61		880	43.39								2028	
																						Elected													
																																			
Mudgee South                                                   																																			
	FIRST			19	0.97		200	10.25		41	2.10		151	7.74		56	2.87		23	1.18		922	47.23		524	26.84		8	0.41		8	0.41		1952	
	SECOND			0	0.00		2	25.00		0	0.00		0	0.00		0	0.00		0	0.00		2	25.00		0	0.00			Excluded		4	50.00		8	
		TOTAL		19	0.97		202	10.35		41	2.10		151	7.74		56	2.87		23	1.18		924	47.34		524	26.84					12	0.61		1952	
	THIRD			2	8.70		4	17.39		3	13.04		4	17.39		2	8.70			Excluded		4	17.39		2	8.70					2	8.70		23	
		TOTAL		21	1.08		206	10.55		44	2.25		155	7.94		58	2.97					928	47.54		526	26.95					14	0.72		1952	
	FOURTH				Excluded		12	57.14		3	14.29		3	14.29		2	9.52					1	4.76		0	0.00					0	0.00		21	
		TOTAL					218	11.17		47	2.41		158	8.09		60	3.07					929	47.59		526	26.95					14	0.72		1952	
	FIFTH						10	21.28			Excluded		3	6.38		9	19.15					11	23.40		11	23.40					3	6.38		47	
		TOTAL					228	11.68					161	8.25		69	3.53					940	48.16		537	27.51					17	0.87		1952	
	SIXTH						9	52.94					0	0.00		2	11.76					1	5.88		5	29.41						Excluded		17	
		TOTAL					237	12.14					161	8.25		71	3.64					941	48.21		542	27.77								1952	
	SEVENTH						18	25.35					5	7.04			Excluded					16	22.54		32	45.07								71	
		TOTAL					255	13.06					166	8.50								957	49.03		574	29.41								1952	
	EIGHTH							Excluded					78	30.59								89	34.90		88	34.51								255	
		TOTAL											244	12.50								1046	53.59		662	33.91								1952	
	NINTH													Excluded								99	40.57		145	59.43								244	
		TOTAL																				1145	58.66		807	41.34								1952	
																						Elected													
																																			
Mullaley                                                       																																			
	FIRST			4	1.67		25	10.42		1	0.42		19	7.92		1	0.42		2	0.83		173	72.08		12	5.00		0	0.00		3	1.25		240	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	1.67		25	10.42		1	0.42		19	7.92		1	0.42		2	0.83		173	72.08		12	5.00					3	1.25		240	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		1	50.00					0	0.00		2	
		TOTAL		4	1.67		25	10.42		1	0.42		19	7.92		1	0.42					174	72.50		13	5.42					3	1.25		240	
	FOURTH				Excluded		2	50.00		0	0.00		0	0.00		0	0.00					1	25.00		0	0.00					1	25.00		4	
		TOTAL					27	11.25		1	0.42		19	7.92		1	0.42					175	72.92		13	5.42					4	1.67		240	
	FIFTH						0	0.00			Excluded		0	0.00		1	100.00					0	0.00		0	0.00					0	0.00		1	
		TOTAL					27	11.25					19	7.92		2	0.83					175	72.92		13	5.42					4	1.67		240	
	SIXTH						0	0.00					2	50.00		0	0.00					2	50.00		0	0.00						Excluded		4	
		TOTAL					27	11.25					21	8.75		2	0.83					177	73.75		13	5.42								240	
	SEVENTH						1	50.00					0	0.00			Excluded					0	0.00		1	50.00								2	
		TOTAL					28	11.67					21	8.75								177	73.75		14	5.83								240	
	EIGHTH							Excluded					8	28.57								15	53.57		5	17.86								28	
		TOTAL											29	12.08								192	80.00		19	7.92								240	
	NINTH													Excluded								11	37.93		18	62.07								29	
		TOTAL																				203	84.58		37	15.42								240	
																						Elected													
																																			
Mumbil                                                         																																			
	FIRST			2	1.23		13	8.02		2	1.23		23	14.20		2	1.23		4	2.47		57	35.19		54	33.33		3	1.85		2	1.23		162	
	SECOND			1	33.33		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	33.33		3	
		TOTAL		3	1.85		13	8.02		2	1.23		24	14.81		2	1.23		4	2.47		57	35.19		54	33.33					3	1.85		162	
	THIRD			1	25.00		0	0.00		0	0.00		0	0.00		2	50.00			Excluded		1	25.00		0	0.00					0	0.00		4	
		TOTAL		4	2.47		13	8.02		2	1.23		24	14.81		4	2.47					58	35.80		54	33.33					3	1.85		162	
	FOURTH				Excluded		2	50.00		0	0.00		1	25.00		0	0.00					1	25.00		0	0.00					0	0.00		4	
		TOTAL					15	9.26		2	1.23		25	15.43		4	2.47					59	36.42		54	33.33					3	1.85		162	
	FIFTH						1	50.00			Excluded		0	0.00		0	0.00					1	50.00		0	0.00					0	0.00		2	
		TOTAL					16	9.88					25	15.43		4	2.47					60	37.04		54	33.33					3	1.85		162	
	SIXTH						2	66.67					0	0.00		0	0.00					0	0.00		1	33.33						Excluded		3	
		TOTAL					18	11.11					25	15.43		4	2.47					60	37.04		55	33.95								162	
	SEVENTH						1	25.00					1	25.00			Excluded					1	25.00		1	25.00								4	
		TOTAL					19	11.73					26	16.05								61	37.65		56	34.57								162	
	EIGHTH							Excluded					9	47.37								6	31.58		4	21.05								19	
		TOTAL											35	21.60								67	41.36		60	37.04								162	
	NINTH													Excluded								17	48.57		18	51.43								35	
		TOTAL																				84	51.85		78	48.15								162	
																						Elected													
																																			
Mungindi                                                       																																			
	FIRST			4	0.90		19	4.29		1	0.23		46	10.38		5	1.13		8	1.81		241	54.40		113	25.51		3	0.68		3	0.68		443	
	SECOND			0	0.00		1	33.33		1	33.33		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00			Excluded		0	0.00		3	
		TOTAL		4	0.90		20	4.51		2	0.45		46	10.38		5	1.13		8	1.81		242	54.63		113	25.51					3	0.68		443	
	THIRD			0	0.00		0	0.00		0	0.00		1	12.50		4	50.00			Excluded		2	25.00		1	12.50					0	0.00		8	
		TOTAL		4	0.90		20	4.51		2	0.45		47	10.61		9	2.03					244	55.08		114	25.73					3	0.68		443	
	FOURTH				Excluded		2	50.00		0	0.00		2	50.00		0	0.00					0	0.00		0	0.00					0	0.00		4	
		TOTAL					22	4.97		2	0.45		49	11.06		9	2.03					244	55.08		114	25.73					3	0.68		443	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					1	50.00		0	0.00					1	50.00		2	
		TOTAL					22	4.97					49	11.06		9	2.03					245	55.30		114	25.73					4	0.90		443	
	SIXTH						1	25.00					0	0.00		0	0.00					2	50.00		1	25.00						Excluded		4	
		TOTAL					23	5.19					49	11.06		9	2.03					247	55.76		115	25.96								443	
	SEVENTH						0	0.00					3	33.33			Excluded					4	44.44		2	22.22								9	
		TOTAL					23	5.19					52	11.74								251	56.66		117	26.41								443	
	EIGHTH							Excluded					12	52.17								5	21.74		6	26.09								23	
		TOTAL											64	14.45								256	57.79		123	27.77								443	
	NINTH													Excluded								39	60.94		25	39.06								64	
		TOTAL																				295	66.59		148	33.41								443	
																						Elected													
																																			
Murrurundi                                                     																																			
	FIRST			5	0.85		31	5.25		12	2.03		59	10.00		14	2.37		10	1.69		252	42.71		196	33.22		2	0.34		9	1.53		590	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		5	0.85		31	5.25		12	2.03		59	10.00		15	2.54		10	1.69		252	42.71		196	33.22					10	1.69		590	
	THIRD			1	10.00		1	10.00		2	20.00		2	20.00		3	30.00			Excluded		1	10.00		0	0.00					0	0.00		10	
		TOTAL		6	1.02		32	5.42		14	2.37		61	10.34		18	3.05					253	42.88		196	33.22					10	1.69		590	
	FOURTH				Excluded		3	50.00		3	50.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		6	
		TOTAL					35	5.93		17	2.88		61	10.34		18	3.05					253	42.88		196	33.22					10	1.69		590	
	FIFTH						7	41.18			Excluded		3	17.65		2	11.76					0	0.00		5	29.41					0	0.00		17	
		TOTAL					42	7.12					64	10.85		20	3.39					253	42.88		201	34.07					10	1.69		590	
	SIXTH						5	50.00					0	0.00		0	0.00					1	10.00		4	40.00						Excluded		10	
		TOTAL					47	7.97					64	10.85		20	3.39					254	43.05		205	34.75								590	
	SEVENTH						7	35.00					5	25.00			Excluded					3	15.00		5	25.00								20	
		TOTAL					54	9.15					69	11.69								257	43.56		210	35.59								590	
	EIGHTH							Excluded					11	20.37								17	31.48		26	48.15								54	
		TOTAL											80	13.56								274	46.44		236	40.00								590	
	NINTH													Excluded								33	41.25		47	58.75								80	
		TOTAL																				307	52.03		283	47.97								590	
																						Elected													
																																			
Narrabri                                                       																																			
	FIRST			26	1.19		97	4.45		36	1.65		171	7.84		25	1.15		40	1.83		1180	54.08		458	20.99		3	0.14		146	6.69		2182	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		3	100.00		3	
		TOTAL		26	1.19		97	4.45		36	1.65		171	7.84		25	1.15		40	1.83		1180	54.08		458	20.99					149	6.83		2182	
	THIRD			1	2.50		4	10.00		1	2.50		9	22.50		5	12.50			Excluded		10	25.00		5	12.50					5	12.50		40	
		TOTAL		27	1.24		101	4.63		37	1.70		180	8.25		30	1.37					1190	54.54		463	21.22					154	7.06		2182	
	FOURTH				Excluded		15	55.56		3	11.11		2	7.41		1	3.70					3	11.11		3	11.11					0	0.00		27	
		TOTAL					116	5.32		40	1.83		182	8.34		31	1.42					1193	54.67		466	21.36					154	7.06		2182	
	FIFTH						9	22.50			Excluded		1	2.50		10	25.00					9	22.50		4	10.00					7	17.50		40	
		TOTAL					125	5.73					183	8.39		41	1.88					1202	55.09		470	21.54					161	7.38		2182	
	SIXTH						27	16.77					47	29.19		8	4.97					43	26.71		36	22.36						Excluded		161	
		TOTAL					152	6.97					230	10.54		49	2.25					1245	57.06		506	23.19								2182	
	SEVENTH						17	34.69					9	18.37			Excluded					7	14.29		16	32.65								49	
		TOTAL					169	7.75					239	10.95								1252	57.38		522	23.92								2182	
	EIGHTH							Excluded					69	40.83								48	28.40		52	30.77								169	
		TOTAL											308	14.12								1300	59.58		574	26.31								2182	
	NINTH													Excluded								146	47.40		162	52.60								308	
		TOTAL																				1446	66.27		736	33.73								2182	
																						Elected													
																																			
Narrabri West                                                  																																			
	FIRST			12	1.08		54	4.85		16	1.44		109	9.79		12	1.08		19	1.71		554	49.78		278	24.98		6	0.54		53	4.76		1113	
	SECOND			0	0.00		1	16.67		0	0.00		1	16.67		0	0.00		0	0.00		1	16.67		0	0.00			Excluded		3	50.00		6	
		TOTAL		12	1.08		55	4.94		16	1.44		110	9.88		12	1.08		19	1.71		555	49.87		278	24.98					56	5.03		1113	
	THIRD			0	0.00		2	10.53		2	10.53		4	21.05		2	10.53			Excluded		2	10.53		2	10.53					5	26.32		19	
		TOTAL		12	1.08		57	5.12		18	1.62		114	10.24		14	1.26					557	50.04		280	25.16					61	5.48		1113	
	FOURTH				Excluded		7	58.33		3	25.00		0	0.00		0	0.00					0	0.00		2	16.67					0	0.00		12	
		TOTAL					64	5.75		21	1.89		114	10.24		14	1.26					557	50.04		282	25.34					61	5.48		1113	
	FIFTH						7	33.33			Excluded		0	0.00		7	33.33					2	9.52		4	19.05					1	4.76		21	
		TOTAL					71	6.38					114	10.24		21	1.89					559	50.22		286	25.70					62	5.57		1113	
	SIXTH						12	19.35					15	24.19		0	0.00					15	24.19		20	32.26						Excluded		62	
		TOTAL					83	7.46					129	11.59		21	1.89					574	51.57		306	27.49								1113	
	SEVENTH						4	19.05					4	19.05			Excluded					6	28.57		7	33.33								21	
		TOTAL					87	7.82					133	11.95								580	52.11		313	28.12								1113	
	EIGHTH							Excluded					48	55.17								25	28.74		14	16.09								87	
		TOTAL											181	16.26								605	54.36		327	29.38								1113	
	NINTH													Excluded								103	56.91		78	43.09								181	
		TOTAL																				708	63.61		405	36.39								1113	
																						Elected													
																																			
North Star                                                     																																			
	FIRST			1	0.63		4	2.53		3	1.90		6	3.80		0	0.00		5	3.16		115	72.78		16	10.13		2	1.27		6	3.80		158	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		2	
		TOTAL		1	0.63		4	2.53		3	1.90		6	3.80		0	0.00		5	3.16		115	72.78		16	10.13					8	5.06		158	
	THIRD			0	0.00		0	0.00		0	0.00		3	60.00		0	0.00			Excluded		1	20.00		0	0.00					1	20.00		5	
		TOTAL		1	0.63		4	2.53		3	1.90		9	5.70		0	0.00					116	73.42		16	10.13					9	5.70		158	
	FOURTH				Excluded		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		1	
		TOTAL					5	3.16		3	1.90		9	5.70		0	0.00					116	73.42		16	10.13					9	5.70		158	
	FIFTH						0	0.00			Excluded		0	0.00		1	33.33					2	66.67		0	0.00					0	0.00		3	
		TOTAL					5	3.16					9	5.70		1	0.63					118	74.68		16	10.13					9	5.70		158	
	SIXTH						1	11.11					0	0.00		0	0.00					5	55.56		3	33.33						Excluded		9	
		TOTAL					6	3.80					9	5.70		1	0.63					123	77.85		19	12.03								158	
	SEVENTH						1	100.00					0	0.00			Excluded					0	0.00		0	0.00								1	
		TOTAL					7	4.43					9	5.70								123	77.85		19	12.03								158	
	EIGHTH							Excluded					3	42.86								2	28.57		2	28.57								7	
		TOTAL											12	7.59								125	79.11		21	13.29								158	
	NINTH													Excluded								6	50.00		6	50.00								12	
		TOTAL																				131	82.91		27	17.09								158	
																						Elected													
																																			
Pallamallawa                                                   																																			
	FIRST			6	1.80		18	5.41		5	1.50		33	9.91		2	0.60		6	1.80		171	51.35		82	24.62		1	0.30		9	2.70		333	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		6	1.80		18	5.41		5	1.50		33	9.91		2	0.60		6	1.80		171	51.35		82	24.62					10	3.00		333	
	THIRD			0	0.00		0	0.00		0	0.00		1	16.67		0	0.00			Excluded		2	33.33		3	50.00					0	0.00		6	
		TOTAL		6	1.80		18	5.41		5	1.50		34	10.21		2	0.60					173	51.95		85	25.53					10	3.00		333	
	FOURTH				Excluded		3	50.00		1	16.67		0	0.00		0	0.00					1	16.67		1	16.67					0	0.00		6	
		TOTAL					21	6.31		6	1.80		34	10.21		2	0.60					174	52.25		86	25.83					10	3.00		333	
	FIFTH						1	16.67			Excluded		1	16.67		1	16.67					1	16.67		2	33.33					0	0.00		6	
		TOTAL					22	6.61					35	10.51		3	0.90					175	52.55		88	26.43					10	3.00		333	
	SIXTH						3	30.00					1	10.00		0	0.00					4	40.00		2	20.00						Excluded		10	
		TOTAL					25	7.51					36	10.81		3	0.90					179	53.75		90	27.03								333	
	SEVENTH						2	66.67					0	0.00			Excluded					0	0.00		1	33.33								3	
		TOTAL					27	8.11					36	10.81								179	53.75		91	27.33								333	
	EIGHTH							Excluded					15	55.56								7	25.93		5	18.52								27	
		TOTAL											51	15.32								186	55.86		96	28.83								333	
	NINTH													Excluded								25	49.02		26	50.98								51	
		TOTAL																				211	63.36		122	36.64								333	
																						Elected													
																																			
Pilliga                                                        																																			
	FIRST			3	1.78		10	5.92		3	1.78		44	26.04		1	0.59		2	1.18		76	44.97		24	14.20		1	0.59		5	2.96		169	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		3	1.78		10	5.92		3	1.78		44	26.04		2	1.18		2	1.18		76	44.97		24	14.20					5	2.96		169	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					2	100.00		2	
		TOTAL		3	1.78		10	5.92		3	1.78		44	26.04		2	1.18					76	44.97		24	14.20					7	4.14		169	
	FOURTH				Excluded		2	66.67		0	0.00		1	33.33		0	0.00					0	0.00		0	0.00					0	0.00		3	
		TOTAL					12	7.10		3	1.78		45	26.63		2	1.18					76	44.97		24	14.20					7	4.14		169	
	FIFTH						2	66.67			Excluded		0	0.00		0	0.00					0	0.00		1	33.33					0	0.00		3	
		TOTAL					14	8.28					45	26.63		2	1.18					76	44.97		25	14.79					7	4.14		169	
	SIXTH						2	28.57					0	0.00		0	0.00					3	42.86		2	28.57						Excluded		7	
		TOTAL					16	9.47					45	26.63		2	1.18					79	46.75		27	15.98								169	
	SEVENTH						2	100.00					0	0.00			Excluded					0	0.00		0	0.00								2	
		TOTAL					18	10.65					45	26.63								79	46.75		27	15.98								169	
	EIGHTH							Excluded					14	77.78								2	11.11		2	11.11								18	
		TOTAL											59	34.91								81	47.93		29	17.16								169	
