House of Representatives - 2001 Election: New South Wales																															
Distribution of Preferences																															
By Polling Place																															
																															
Cook																															
				FREW			POULOS			STRANG			PETERS-POWER			BAIRD			BAILEY			YOUNG			SMITH			JAMES			
	SIXTH			12	6.06								78	39.39		39	19.70			Excluded		69	34.85								198
		TOTAL		288	6.72								239	5.57		2439	56.89					1321	30.81								4287
	SEVENTH			41	17.15									Excluded		54	22.59					144	60.25								239
		TOTAL		329	7.67											2493	58.15					1465	34.17								4287
	EIGHTH				Excluded											175	53.19					154	46.81								329
		TOTAL														2668	62.23					1619	37.77								4287
																Elected															
																															
PROVISIONAL																															
	FIRST			46	7.84		8	1.36		8	1.36		32	5.45		305	51.96		20	3.41		150	25.55		7	1.19		11	1.87		587
	SECOND			1	12.50		0	0.00			Excluded		3	37.50		2	25.00		0	0.00		1	12.50		0	0.00		1	12.50		8
		TOTAL		47	8.01		8	1.36					35	5.96		307	52.30		20	3.41		151	25.72		7	1.19		12	2.04		587
	THIRD			1	12.50			Excluded					2	25.00		3	37.50		1	12.50		0	0.00		0	0.00		1	12.50		8
		TOTAL		48	8.18								37	6.30		310	52.81		21	3.58		151	25.72		7	1.19		13	2.21		587
	FOURTH			1	7.69								4	30.77		4	30.77		1	7.69		1	7.69		2	15.38			Excluded		13
		TOTAL		49	8.35								41	6.98		314	53.49		22	3.75		152	25.89		9	1.53					587
	FIFTH			1	11.11								1	11.11		4	44.44		0	0.00		3	33.33			Excluded					9
		TOTAL		50	8.52								42	7.16		318	54.17		22	3.75		155	26.41								587
	SIXTH			0	0.00								9	40.91		7	31.82			Excluded		6	27.27								22
		TOTAL		50	8.52								51	8.69		325	55.37					161	27.43								587
	SEVENTH			10	19.61									Excluded		16	31.37					25	49.02								51
		TOTAL		60	10.22											341	58.09					186	31.69								587
	EIGHTH				Excluded											27	45.00					33	55.00								60
		TOTAL														368	62.69					219	37.31								587
																Elected															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
