House of Representatives - 2001 Election: New South Wales																																									
Distribution of Preferences																																									
By Polling Place																																									
																																									
Page																																									
				POLLARD-O'HARA			COOPER			LAMPIS			BEHN			JEFFREYS			CANALES			FELSCH			FLANAGAN			CORKILL			CAUSLEY			GRIFFITHS			MATHEW				
	SIXTH						1	14.29								1	14.29			Excluded		0	0.00		2	28.57		2	28.57		0	0.00					1	14.29		7	
		TOTAL					52	9.40								11	1.99					7	1.27		181	32.73		20	3.62		215	38.88					67	12.12		553	
	SEVENTH						1	14.29								2	28.57						Excluded		0	0.00		0	0.00		4	57.14					0	0.00		7	
		TOTAL					53	9.58								13	2.35								181	32.73		20	3.62		219	39.60					67	12.12		553	
	EIGHTH						2	15.38									Excluded								7	53.85		3	23.08		0	0.00					1	7.69		13	
		TOTAL					55	9.95																	188	34.00		23	4.16		219	39.60					68	12.30		553	
	NINTH						33	48.53																	11	16.18		6	8.82		18	26.47						Excluded		68	
		TOTAL					88	15.91																	199	35.99		29	5.24		237	42.86								553	
	TENTH						13	44.83																	12	41.38			Excluded		4	13.79								29	
		TOTAL					101	18.26																	211	38.16					241	43.58								553	
	ELEVENTH							Excluded																	72	71.29					29	28.71								101	
		TOTAL																							283	51.18					270	48.82								553	
																															Elected										
																																									
Leeville                                                       																																									
	FIRST			4	1.52		30	11.36		0	0.00		2	0.76		3	1.14		4	1.52		3	1.14		51	19.32		8	3.03		137	51.89		0	0.00		22	8.33		264	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	1.52		30	11.36		0	0.00		2	0.76		3	1.14		4	1.52		3	1.14		51	19.32		8	3.03		137	51.89					22	8.33		264	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		4	1.52		30	11.36					2	0.76		3	1.14		4	1.52		3	1.14		51	19.32		8	3.03		137	51.89					22	8.33		264	
	FOURTH			1	50.00		1	50.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		5	1.89		31	11.74								3	1.14		4	1.52		3	1.14		51	19.32		8	3.03		137	51.89					22	8.33		264	
	FIFTH				Excluded		2	40.00								1	20.00		0	0.00		0	0.00		0	0.00		1	20.00		0	0.00					1	20.00		5	
		TOTAL					33	12.50								4	1.52		4	1.52		3	1.14		51	19.32		9	3.41		137	51.89					23	8.71		264	
	SIXTH						0	0.00								1	25.00			Excluded		1	25.00		0	0.00		2	50.00		0	0.00					0	0.00		4	
		TOTAL					33	12.50								5	1.89					4	1.52		51	19.32		11	4.17		137	51.89					23	8.71		264	
	SEVENTH						0	0.00								2	50.00						Excluded		0	0.00		0	0.00		2	50.00					0	0.00		4	
		TOTAL					33	12.50								7	2.65								51	19.32		11	4.17		139	52.65					23	8.71		264	
	EIGHTH						3	42.86									Excluded								3	42.86		1	14.29		0	0.00					0	0.00		7	
		TOTAL					36	13.64																	54	20.45		12	4.55		139	52.65					23	8.71		264	
	NINTH						10	43.48																	3	13.04		1	4.35		9	39.13						Excluded		23	
		TOTAL					46	17.42																	57	21.59		13	4.92		148	56.06								264	
	TENTH						8	61.54																	3	23.08			Excluded		2	15.38								13	
		TOTAL					54	20.45																	60	22.73					150	56.82								264	
	ELEVENTH							Excluded																	31	57.41					23	42.59								54	
		TOTAL																							91	34.47					173	65.53								264	
																															Elected										
																																									
Lismore                                                        																																									
	FIRST			54	2.43		188	8.45		29	1.30		8	0.36		109	4.90		65	2.92		36	1.62		608	27.34		343	15.42		681	30.62		3	0.13		100	4.50		2224	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	66.67		0	0.00			Excluded		1	33.33		3	
		TOTAL		54	2.43		188	8.45		29	1.30		8	0.36		109	4.90		65	2.92		36	1.62		608	27.34		345	15.51		681	30.62					101	4.54		2224	
	THIRD			0	0.00		2	6.90			Excluded		1	3.45		1	3.45		2	6.90		0	0.00		1	3.45		22	75.86		0	0.00					0	0.00		29	
		TOTAL		54	2.43		190	8.54					9	0.40		110	4.95		67	3.01		36	1.62		609	27.38		367	16.50		681	30.62					101	4.54		2224	
	FOURTH			0	0.00		2	22.22						Excluded		1	11.11		1	11.11		0	0.00		2	22.22		0	0.00		2	22.22					1	11.11		9	
		TOTAL		54	2.43		192	8.63								111	4.99		68	3.06		36	1.62		611	27.47		367	16.50		683	30.71					102	4.59		2224	
	FIFTH				Excluded		27	50.00								2	3.70		2	3.70		0	0.00		6	11.11		3	5.56		9	16.67					5	9.26		54	
		TOTAL					219	9.85								113	5.08		70	3.15		36	1.62		617	27.74		370	16.64		692	31.12					107	4.81		2224	
	SIXTH						9	12.86								9	12.86			Excluded		1	1.43		9	12.86		33	47.14		1	1.43					8	11.43		70	
		TOTAL					228	10.25								122	5.49					37	1.66		626	28.15		403	18.12		693	31.16					115	5.17		2224	
	SEVENTH						3	8.11								4	10.81						Excluded		8	21.62		4	10.81		16	43.24					2	5.41		37	
		TOTAL					231	10.39								126	5.67								634	28.51		407	18.30		709	31.88					117	5.26		2224	
	EIGHTH						42	33.33									Excluded								20	15.87		53	42.06		11	8.73					0	0.00		126	
		TOTAL					273	12.28																	654	29.41		460	20.68		720	32.37					117	5.26		2224	
	NINTH						52	44.44																	22	18.80		10	8.55		33	28.21						Excluded		117	
		TOTAL					325	14.61																	676	30.40		470	21.13		753	33.86								2224	
	TENTH						211	44.89																	216	45.96			Excluded		43	9.15								470	
		TOTAL					536	24.10																	892	40.11					796	35.79								2224	
	ELEVENTH							Excluded																	379	70.71					157	29.29								536	
		TOTAL																							1271	57.15					953	42.85								2224	
																															Elected										
																																									
Lismore Central                                                																																									
	FIRST			35	2.31		113	7.45		6	0.40		10	0.66		57	3.76		50	3.30		24	1.58		452	29.82		198	13.06		527	34.76		0	0.00		44	2.90		1516	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		35	2.31		113	7.45		6	0.40		10	0.66		57	3.76		50	3.30		24	1.58		452	29.82		198	13.06		527	34.76					44	2.90		1516	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		2	33.33		0	0.00		0	0.00		4	66.67		0	0.00					0	0.00		6	
		TOTAL		35	2.31		113	7.45					10	0.66		57	3.76		52	3.43		24	1.58		452	29.82		202	13.32		527	34.76					44	2.90		1516	
	FOURTH			1	10.00		4	40.00						Excluded		1	10.00		1	10.00		0	0.00		1	10.00		1	10.00		0	0.00					1	10.00		10	
		TOTAL		36	2.37		117	7.72								58	3.83		53	3.50		24	1.58		453	29.88		203	13.39		527	34.76					45	2.97		1516	
	FIFTH				Excluded		19	52.78								3	8.33		0	0.00		0	0.00		4	11.11		4	11.11		4	11.11					2	5.56		36	
		TOTAL					136	8.97								61	4.02		53	3.50		24	1.58		457	30.15		207	13.65		531	35.03					47	3.10		1516	
	SIXTH						3	5.66								1	1.89			Excluded		0	0.00		3	5.66		38	71.70		4	7.55					4	7.55		53	
		TOTAL					139	9.17								62	4.09					24	1.58		460	30.34		245	16.16		535	35.29					51	3.36		1516	
	SEVENTH						1	4.17								2	8.33						Excluded		4	16.67		1	4.17		15	62.50					1	4.17		24	
		TOTAL					140	9.23								64	4.22								464	30.61		246	16.23		550	36.28					52	3.43		1516	
	EIGHTH						21	32.81									Excluded								15	23.44		21	32.81		6	9.38					1	1.56		64	
		TOTAL					161	10.62																	479	31.60		267	17.61		556	36.68					53	3.50		1516	
	NINTH						23	43.40																	10	18.87		10	18.87		10	18.87						Excluded		53	
		TOTAL					184	12.14																	489	32.26		277	18.27		566	37.34								1516	
	TENTH						119	42.96																	120	43.32			Excluded		38	13.72								277	
		TOTAL					303	19.99																	609	40.17					604	39.84								1516	
	ELEVENTH							Excluded																	211	69.64					92	30.36								303	
		TOTAL																							820	54.09					696	45.91								1516	
																															Elected										
																																									
Lismore East                                                   																																									
	FIRST			40	2.34		138	8.08		16	0.94		8	0.47		76	4.45		27	1.58		38	2.22		474	27.75		178	10.42		643	37.65		3	0.18		67	3.92		1708	
	SECOND			1	33.33		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00			Excluded		0	0.00		3	
		TOTAL		41	2.40		138	8.08		17	1.00		8	0.47		76	4.45		27	1.58		38	2.22		475	27.81		178	10.42		643	37.65					67	3.92		1708	
	THIRD			0	0.00		0	0.00			Excluded		1	5.88		5	29.41		4	23.53		0	0.00		0	0.00		6	35.29		1	5.88					0	0.00		17	
		TOTAL		41	2.40		138	8.08					9	0.53		81	4.74		31	1.81		38	2.22		475	27.81		184	10.77		644	37.70					67	3.92		1708	
	FOURTH			3	33.33		3	33.33						Excluded		0	0.00		0	0.00		0	0.00		1	11.11		1	11.11		1	11.11					0	0.00		9	
		TOTAL		44	2.58		141	8.26								81	4.74		31	1.81		38	2.22		476	27.87		185	10.83		645	37.76					67	3.92		1708	
	FIFTH				Excluded		22	50.00								3	6.82		1	2.27		1	2.27		6	13.64		5	11.36		2	4.55					4	9.09		44	
		TOTAL					163	9.54								84	4.92		32	1.87		39	2.28		482	28.22		190	11.12		647	37.88					71	4.16		1708	
	SIXTH						5	15.63								5	15.63			Excluded		1	3.13		4	12.50		13	40.63		2	6.25					2	6.25		32	
		TOTAL					168	9.84								89	5.21					40	2.34		486	28.45		203	11.89		649	38.00					73	4.27		1708	
	SEVENTH						11	27.50								2	5.00						Excluded		7	17.50		8	20.00		9	22.50					3	7.50		40	
		TOTAL					179	10.48								91	5.33								493	28.86		211	12.35		658	38.52					76	4.45		1708	
	EIGHTH						24	26.37									Excluded								17	18.68		36	39.56		13	14.29					1	1.10		91	
		TOTAL					203	11.89																	510	29.86		247	14.46		671	39.29					77	4.51		1708	
	NINTH						29	37.66																	12	15.58		12	15.58		24	31.17						Excluded		77	
		TOTAL					232	13.58																	522	30.56		259	15.16		695	40.69								1708	
	TENTH						137	52.90																	88	33.98			Excluded		34	13.13								259	
		TOTAL					369	21.60																	610	35.71					729	42.68								1708	
	ELEVENTH							Excluded																	229	62.06					140	37.94								369	
		TOTAL																							839	49.12					869	50.88								1708	
																															Elected										
																																									
Lismore Heights                                                																																									
	FIRST			13	1.40		78	8.38		10	1.07		2	0.21		32	3.44		22	2.36		15	1.61		260	27.93		90	9.67		386	41.46		1	0.11		22	2.36		931	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		13	1.40		78	8.38		10	1.07		2	0.21		32	3.44		22	2.36		15	1.61		260	27.93		90	9.67		387	41.57					22	2.36		931	
	THIRD			1	10.00		1	10.00			Excluded		0	0.00		0	0.00		0	0.00		1	10.00		0	0.00		7	70.00		0	0.00					0	0.00		10	
		TOTAL		14	1.50		79	8.49					2	0.21		32	3.44		22	2.36		16	1.72		260	27.93		97	10.42		387	41.57					22	2.36		931	
	FOURTH			0	0.00		2	100.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		14	1.50		81	8.70								32	3.44		22	2.36		16	1.72		260	27.93		97	10.42		387	41.57					22	2.36		931	
	FIFTH				Excluded		8	57.14								2	14.29		0	0.00		0	0.00		1	7.14		0	0.00		1	7.14					2	14.29		14	
		TOTAL					89	9.56								34	3.65		22	2.36		16	1.72		261	28.03		97	10.42		388	41.68					24	2.58		931	
	SIXTH						4	18.18								3	13.64			Excluded		0	0.00		4	18.18		8	36.36		1	4.55					2	9.09		22	
		TOTAL					93	9.99								37	3.97					16	1.72		265	28.46		105	11.28		389	41.78					26	2.79		931	
	SEVENTH						6	37.50								0	0.00						Excluded		2	12.50		0	0.00		8	50.00					0	0.00		16	
		TOTAL					99	10.63								37	3.97								267	28.68		105	11.28		397	42.64					26	2.79		931	
	EIGHTH						10	27.03									Excluded								9	24.32		13	35.14		5	13.51					0	0.00		37	
		TOTAL					109	11.71																	276	29.65		118	12.67		402	43.18					26	2.79		931	
	NINTH						6	23.08																	4	15.38		3	11.54		13	50.00						Excluded		26	
		TOTAL					115	12.35																	280	30.08		121	13.00		415	44.58								931	
	TENTH						60	49.59																	47	38.84			Excluded		14	11.57								121	
		TOTAL					175	18.80																	327	35.12					429	46.08								931	
	ELEVENTH							Excluded																	120	68.57					55	31.43								175	
		TOTAL																							447	48.01					484	51.99								931	
																															Elected										
																																									
Lismore Hospital                                               																																									
	FIRST			10	2.89		21	6.07		2	0.58		1	0.29		12	3.47		5	1.45		8	2.31		109	31.50		40	11.56		126	36.42		0	0.00		12	3.47		346	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		10	2.89		21	6.07		2	0.58		1	0.29		12	3.47		5	1.45		8	2.31		109	31.50		40	11.56		126	36.42					12	3.47		346	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		2	100.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		10	2.89		21	6.07					1	0.29		12	3.47		7	2.02		8	2.31		109	31.50		40	11.56		126	36.42					12	3.47		346	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		10	2.89		21	6.07								12	3.47		7	2.02		8	2.31		110	31.79		40	11.56		126	36.42					12	3.47		346	
	FIFTH				Excluded		7	70.00								0	0.00		0	0.00		0	0.00		1	10.00		0	0.00		2	20.00					0	0.00		10	
		TOTAL					28	8.09								12	3.47		7	2.02		8	2.31		111	32.08		40	11.56		128	36.99					12	3.47		346	
	SIXTH						1	14.29								0	0.00			Excluded		0	0.00		2	28.57		4	57.14		0	0.00					0	0.00		7	
		TOTAL					29	8.38								12	3.47					8	2.31		113	32.66		44	12.72		128	36.99					12	3.47		346	
	SEVENTH						2	25.00								0	0.00						Excluded		2	25.00		0	0.00		4	50.00					0	0.00		8	
		TOTAL					31	8.96								12	3.47								115	33.24		44	12.72		132	38.15					12	3.47		346	
	EIGHTH						1	8.33									Excluded								2	16.67		5	41.67		4	33.33					0	0.00		12	
		TOTAL					32	9.25																	117	33.82		49	14.16		136	39.31					12	3.47		346	
	NINTH						6	50.00																	3	25.00		0	0.00		3	25.00						Excluded		12	
		TOTAL					38	10.98																	120	34.68		49	14.16		139	40.17								346	
	TENTH						23	46.94																	22	44.90			Excluded		4	8.16								49	
		TOTAL					61	17.63																	142	41.04					143	41.33								346	
	ELEVENTH							Excluded																	41	67.21					20	32.79								61	
		TOTAL																							183	52.89					163	47.11								346	
																															Elected										
																																									
Lismore North                                                  																																									
	FIRST			9	1.79		61	12.13		7	1.39		4	0.80		14	2.78		15	2.98		3	0.60		150	29.82		67	13.32		146	29.03		1	0.20		26	5.17		503	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		9	1.79		61	12.13		7	1.39		4	0.80		14	2.78		15	2.98		3	0.60		151	30.02		67	13.32		146	29.03					26	5.17		503	
	THIRD			1	14.29		1	14.29			Excluded		0	0.00		0	0.00		3	42.86		0	0.00		0	0.00		2	28.57		0	0.00					0	0.00		7	
		TOTAL		10	1.99		62	12.33					4	0.80		14	2.78		18	3.58		3	0.60		151	30.02		69	13.72		146	29.03					26	5.17		503	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		1	25.00		0	0.00		2	50.00		0	0.00		1	25.00					0	0.00		4	
		TOTAL		10	1.99		62	12.33								14	2.78		19	3.78		3	0.60		153	30.42		69	13.72		147	29.22					26	5.17		503	
	FIFTH				Excluded		6	60.00								1	10.00		0	0.00		0	0.00		0	0.00		0	0.00		2	20.00					1	10.00		10	
		TOTAL					68	13.52								15	2.98		19	3.78		3	0.60		153	30.42		69	13.72		149	29.62					27	5.37		503	
	SIXTH						2	10.53								1	5.26			Excluded		0	0.00		7	36.84		7	36.84		1	5.26					1	5.26		19	
		TOTAL					70	13.92								16	3.18					3	0.60		160	31.81		76	15.11		150	29.82					28	5.57		503	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		0	0.00		3	100.00					0	0.00		3	
		TOTAL					70	13.92								16	3.18								160	31.81		76	15.11		153	30.42					28	5.57		503	
	EIGHTH						6	37.50									Excluded								5	31.25		3	18.75		1	6.25					1	6.25		16	
		TOTAL					76	15.11																	165	32.80		79	15.71		154	30.62					29	5.77		503	
	NINTH						8	27.59																	9	31.03		1	3.45		11	37.93						Excluded		29	
		TOTAL					84	16.70																	174	34.59		80	15.90		165	32.80								503	
	TENTH						43	53.75																	34	42.50			Excluded		3	3.75								80	
		TOTAL					127	25.25																	208	41.35					168	33.40								503	
	ELEVENTH							Excluded																	89	70.08					38	29.92								127	
		TOTAL																							297	59.05					206	40.95								503	
																															Elected										
																																									
Lismore South                                                  																																									
	FIRST			31	1.93		243	15.10		15	0.93		5	0.31		32	1.99		38	2.36		16	0.99		449	27.91		131	8.14		548	34.06		2	0.12		99	6.15		1609	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		31	1.93		243	15.10		15	0.93		5	0.31		32	1.99		38	2.36		16	0.99		450	27.97		132	8.20		548	34.06					99	6.15		1609	
	THIRD			0	0.00		2	13.33			Excluded		0	0.00		0	0.00		2	13.33		0	0.00		2	13.33		9	60.00		0	0.00					0	0.00		15	
		TOTAL		31	1.93		245	15.23					5	0.31		32	1.99		40	2.49		16	0.99		452	28.09		141	8.76		548	34.06					99	6.15		1609	
	FOURTH			2	40.00		1	20.00						Excluded		1	20.00		0	0.00		0	0.00		1	20.00		0	0.00		0	0.00					0	0.00		5	
		TOTAL		33	2.05		246	15.29								33	2.05		40	2.49		16	0.99		453	28.15		141	8.76		548	34.06					99	6.15		1609	
	FIFTH				Excluded		21	63.64								1	3.03		1	3.03		1	3.03		2	6.06		2	6.06		4	12.12					1	3.03		33	
		TOTAL					267	16.59								34	2.11		41	2.55		17	1.06		455	28.28		143	8.89		552	34.31					100	6.22		1609	
	SIXTH						8	19.51								2	4.88			Excluded		3	7.32		7	17.07		17	41.46		1	2.44					3	7.32		41	
		TOTAL					275	17.09								36	2.24					20	1.24		462	28.71		160	9.94		553	34.37					103	6.40		1609	
	SEVENTH						3	15.00								2	10.00						Excluded		1	5.00		1	5.00		9	45.00					4	20.00		20	
		TOTAL					278	17.28								38	2.36								463	28.78		161	10.01		562	34.93					107	6.65		1609	
	EIGHTH						11	28.95									Excluded								7	18.42		14	36.84		6	15.79					0	0.00		38	
		TOTAL					289	17.96																	470	29.21		175	10.88		568	35.30					107	6.65		1609	
	NINTH						48	44.86																	14	13.08		8	7.48		37	34.58						Excluded		107	
		TOTAL					337	20.94																	484	30.08		183	11.37		605	37.60								1609	
	TENTH						82	44.81																	81	44.26			Excluded		20	10.93								183	
		TOTAL					419	26.04																	565	35.11					625	38.84								1609	
	ELEVENTH							Excluded																	272	64.92					147	35.08								419	
		TOTAL																							837	52.02					772	47.98								1609	
																															Elected										
																																									
Lismore St Vincents Hospital                                   																																									
	FIRST			20	2.77		52	7.20		0	0.00		3	0.42		11	1.52		10	1.39		10	1.39		192	26.59		67	9.28		334	46.26		3	0.42		20	2.77		722	
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	66.67		0	0.00		0	0.00			Excluded		0	0.00		3	
		TOTAL		20	2.77		53	7.34		0	0.00		3	0.42		11	1.52		10	1.39		10	1.39		194	26.87		67	9.28		334	46.26					20	2.77		722	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		20	2.77		53	7.34					3	0.42		11	1.52		10	1.39		10	1.39		194	26.87		67	9.28		334	46.26					20	2.77		722	
	FOURTH			1	33.33		2	66.67						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		3	
		TOTAL		21	2.91		55	7.62								11	1.52		10	1.39		10	1.39		194	26.87		67	9.28		334	46.26					20	2.77		722	
	FIFTH				Excluded		10	47.62								0	0.00		1	4.76		4	19.05		1	4.76		4	19.05		1	4.76					0	0.00		21	
		TOTAL					65	9.00								11	1.52		11	1.52		14	1.94		195	27.01		71	9.83		335	46.40					20	2.77		722	
	SIXTH						1	9.09								4	36.36			Excluded		0	0.00		2	18.18		3	27.27		0	0.00					1	9.09		11	
		TOTAL					66	9.14								15	2.08					14	1.94		197	27.29		74	10.25		335	46.40					21	2.91		722	
	SEVENTH						2	14.29								1	7.14						Excluded		1	7.14		2	14.29		4	28.57					4	28.57		14	
		TOTAL					68	9.42								16	2.22								198	27.42		76	10.53		339	46.95					25	3.46		722	
	EIGHTH						3	18.75									Excluded								1	6.25		6	37.50		5	31.25					1	6.25		16	
		TOTAL					71	9.83																	199	27.56		82	11.36		344	47.65					26	3.60		722	
	NINTH						11	42.31																	6	23.08		2	7.69		7	26.92						Excluded		26	
		TOTAL					82	11.36																	205	28.39		84	11.63		351	48.61								722	
	TENTH						38	45.24																	30	35.71			Excluded		16	19.05								84	
		TOTAL					120	16.62																	235	32.55					367	50.83								722	
	ELEVENTH							Excluded																	82	68.33					38	31.67								120	
		TOTAL																							317	43.91					405	56.09								722	
																															Elected										
																																									
Maclean (Page)                                                 																																									
	FIRST			3	0.99		17	5.59		0	0.00		2	0.66		10	3.29		7	2.30		6	1.97		80	26.32		24	7.89		135	44.41		0	0.00		20	6.58		304	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	0.99		17	5.59		0	0.00		2	0.66		10	3.29		7	2.30		6	1.97		80	26.32		24	7.89		135	44.41					20	6.58		304	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		3	0.99		17	5.59					2	0.66		10	3.29		7	2.30		6	1.97		80	26.32		24	7.89		135	44.41					20	6.58		304	
	FOURTH			0	0.00		1	50.00						Excluded		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		3	0.99		18	5.92								11	3.62		7	2.30		6	1.97		80	26.32		24	7.89		135	44.41					20	6.58		304	
	FIFTH				Excluded		2	66.67								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	33.33		3	
		TOTAL					20	6.58								11	3.62		7	2.30		6	1.97		80	26.32		24	7.89		135	44.41					21	6.91		304	
	SIXTH						1	14.29								2	28.57			Excluded		0	0.00		0	0.00		2	28.57		0	0.00					2	28.57		7	
		TOTAL					21	6.91								13	4.28					6	1.97		80	26.32		26	8.55		135	44.41					23	7.57		304	
	SEVENTH						0	0.00								0	0.00						Excluded		1	16.67		0	0.00		5	83.33					0	0.00		6	
		TOTAL					21	6.91								13	4.28								81	26.64		26	8.55		140	46.05					23	7.57		304	
	EIGHTH						0	0.00									Excluded								6	46.15		7	53.85		0	0.00					0	0.00		13	
		TOTAL					21	6.91																	87	28.62		33	10.86		140	46.05					23	7.57		304	
	NINTH						4	17.39																	6	26.09		2	8.70		11	47.83						Excluded		23	
		TOTAL					25	8.22																	93	30.59		35	11.51		151	49.67								304	
	TENTH						13	37.14																	18	51.43			Excluded		4	11.43								35	
		TOTAL					38	12.50																	111	36.51					155	50.99								304	
	ELEVENTH							Excluded																	26	68.42					12	31.58								38	
		TOTAL																							137	45.07					167	54.93								304	
																															Elected										
																																									
Mallanganee                                                    																																									
	FIRST			2	0.84		51	21.34		1	0.42		0	0.00		3	1.26		2	0.84		1	0.42		38	15.90		15	6.28		117	48.95		0	0.00		9	3.77		239	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	0.84		51	21.34		1	0.42		0	0.00		3	1.26		2	0.84		1	0.42		38	15.90		15	6.28		117	48.95					9	3.77		239	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL		2	0.84		51	21.34					0	0.00		3	1.26		2	0.84		1	0.42		38	15.90		16	6.69		117	48.95					9	3.77		239	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	0.84		51	21.34								3	1.26		2	0.84		1	0.42		38	15.90		16	6.69		117	48.95					9	3.77		239	
	FIFTH				Excluded		1	50.00								0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL					52	21.76								3	1.26		2	0.84		1	0.42		39	16.32		16	6.69		117	48.95					9	3.77		239	
	SIXTH						1	50.00								0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					1	50.00		2	
		TOTAL					53	22.18								3	1.26					1	0.42		39	16.32		16	6.69		117	48.95					10	4.18		239	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		0	0.00		1	100.00					0	0.00		1	
		TOTAL					53	22.18								3	1.26								39	16.32		16	6.69		118	49.37					10	4.18		239	
	EIGHTH						1	33.33									Excluded								0	0.00		2	66.67		0	0.00					0	0.00		3	
		TOTAL					54	22.59																	39	16.32		18	7.53		118	49.37					10	4.18		239	
	NINTH						3	30.00																	1	10.00		0	0.00		6	60.00						Excluded		10	
		TOTAL					57	23.85																	40	16.74		18	7.53		124	51.88								239	
	TENTH						11	61.11																	7	38.89			Excluded		0	0.00								18	
		TOTAL					68	28.45																	47	19.67					124	51.88								239	
	ELEVENTH							Excluded																	39	57.35					29	42.65								68	
		TOTAL																							86	35.98					153	64.02								239	
																															Elected										
																																									
Meerschaum Vale                                                																																									
	FIRST			5	1.62		35	11.36		0	0.00		1	0.32		8	2.60		5	1.62		6	1.95		64	20.78		30	9.74		139	45.13		0	0.00		15	4.87		308	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		5	1.62		35	11.36		0	0.00		1	0.32		8	2.60		5	1.62		6	1.95		64	20.78		30	9.74		139	45.13					15	4.87		308	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		5	1.62		35	11.36					1	0.32		8	2.60		5	1.62		6	1.95		64	20.78		30	9.74		139	45.13					15	4.87		308	
	FOURTH			0	0.00		1	100.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		5	1.62		36	11.69								8	2.60		5	1.62		6	1.95		64	20.78		30	9.74		139	45.13					15	4.87		308	
	FIFTH				Excluded		3	60.00								0	0.00		1	20.00		0	0.00		0	0.00		0	0.00		0	0.00					1	20.00		5	
		TOTAL					39	12.66								8	2.60		6	1.95		6	1.95		64	20.78		30	9.74		139	45.13					16	5.19		308	
	SIXTH						1	16.67								0	0.00			Excluded		0	0.00		0	0.00		2	33.33		3	50.00					0	0.00		6	
