House of Representatives - 2001 Election: New South Wales																										
Distribution of Preferences																										
By Polling Place																										
																										
Lyne																										
				STANFIELD			SARA			VAILE			ISHERWOOD			JIRMAN			MULDOON			STEVENS				
	SIXTH				Excluded					50	43.48											65	56.52		115	
		TOTAL								852	65.04											458	34.96		1310	
										Elected																
																										
Sydney (Lyne)                                                  																										
	FIRST			0	0.00		0	0.00		27	72.97		3	8.11		1	2.70		0	0.00		6	16.22		37	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		0	0.00		27	72.97		3	8.11		1	2.70					6	16.22		37	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		0	0.00					27	72.97		3	8.11		1	2.70					6	16.22		37	
	FOURTH			0	0.00					0	0.00		1	100.00			Excluded					0	0.00		1	
		TOTAL		0	0.00					27	72.97		4	10.81								6	16.22		37	
	FIFTH			0	0.00					1	25.00			Excluded								3	75.00		4	
		TOTAL		0	0.00					28	75.68											9	24.32		37	
	SIXTH				Excluded					0	0.00											0	0.00		0	
		TOTAL								28	75.68											9	24.32		37	
										Elected																
																										
Tacking Point                                                  																										
	FIRST			131	5.53		14	0.59		1443	60.91		60	2.53		74	3.12		3	0.13		644	27.18		2369	
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00		0	0.00			Excluded		2	66.67		3	
		TOTAL		131	5.53		15	0.63		1443	60.91		60	2.53		74	3.12					646	27.27		2369	
	THIRD			4	26.67			Excluded		5	33.33		2	13.33		3	20.00					1	6.67		15	
		TOTAL		135	5.70					1448	61.12		62	2.62		77	3.25					647	27.31		2369	
	FOURTH			5	6.49					17	22.08		31	40.26			Excluded					24	31.17		77	
		TOTAL		140	5.91					1465	61.84		93	3.93								671	28.32		2369	
	FIFTH			18	19.35					26	27.96			Excluded								49	52.69		93	
		TOTAL		158	6.67					1491	62.94											720	30.39		2369	
	SIXTH				Excluded					71	44.94											87	55.06		158	
		TOTAL								1562	65.93											807	34.07		2369	
										Elected																
																										
Taree                                                          																										
	FIRST			215	11.20		27	1.41		947	49.32		39	2.03		56	2.92		8	0.42		628	32.71		1920	
	SECOND			1	12.50		2	25.00		0	0.00		0	0.00		2	25.00			Excluded		3	37.50		8	
		TOTAL		216	11.25		29	1.51		947	49.32		39	2.03		58	3.02					631	32.86		1920	
	THIRD			6	20.69			Excluded		9	31.03		4	13.79		8	27.59					2	6.90		29	
		TOTAL		222	11.56					956	49.79		43	2.24		66	3.44					633	32.97		1920	
	FOURTH			3	4.55					12	18.18		32	48.48			Excluded					19	28.79		66	
		TOTAL		225	11.72					968	50.42		75	3.91								652	33.96		1920	
	FIFTH			12	16.00					18	24.00			Excluded								45	60.00		75	
		TOTAL		237	12.34					986	51.35											697	36.30		1920	
	SIXTH				Excluded					103	43.46											134	56.54		237	
		TOTAL								1089	56.72											831	43.28		1920	
										Elected																
																										
Taree Central                                                  																										
	FIRST			96	9.01		8	0.75		581	54.55		33	3.10		24	2.25		10	0.94		313	29.39		1065	
	SECOND			2	20.00		1	10.00		2	20.00		1	10.00		2	20.00			Excluded		2	20.00		10	
		TOTAL		98	9.20		9	0.85		583	54.74		34	3.19		26	2.44					315	29.58		1065	
	THIRD			2	22.22			Excluded		3	33.33		2	22.22		2	22.22					0	0.00		9	
		TOTAL		100	9.39					586	55.02		36	3.38		28	2.63					315	29.58		1065	
	FOURTH			2	7.14					7	25.00		15	53.57			Excluded					4	14.29		28	
		TOTAL		102	9.58					593	55.68		51	4.79								319	29.95		1065	
	FIFTH			6	11.76					15	29.41			Excluded								30	58.82		51	
		TOTAL		108	10.14					608	57.09											349	32.77		1065	
	SIXTH				Excluded					66	61.11											42	38.89		108	
		TOTAL								674	63.29											391	36.71		1065	
										Elected																
																										
Taree Hospital                                                 																										
	FIRST			17	8.50		5	2.50		80	40.00		7	3.50		4	2.00		0	0.00		87	43.50		200	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		17	8.50		5	2.50		80	40.00		7	3.50		4	2.00					87	43.50		200	
	THIRD			1	20.00			Excluded		0	0.00		2	40.00		0	0.00					2	40.00		5	
		TOTAL		18	9.00					80	40.00		9	4.50		4	2.00					89	44.50		200	
	FOURTH			2	50.00					0	0.00		1	25.00			Excluded					1	25.00		4	
		TOTAL		20	10.00					80	40.00		10	5.00								90	45.00		200	
	FIFTH			1	10.00					2	20.00			Excluded								7	70.00		10	
		TOTAL		21	10.50					82	41.00											97	48.50		200	
	SIXTH				Excluded					13	61.90											8	38.10		21	
		TOTAL								95	47.50											105	52.50		200	
										Elected																
																										
Taree North                                                    																										
	FIRST			156	12.90		22	1.82		515	42.60		20	1.65		13	1.08		4	0.33		479	39.62		1209	
	SECOND			0	0.00		1	25.00		1	25.00		0	0.00		1	25.00			Excluded		1	25.00		4	
		TOTAL		156	12.90		23	1.90		516	42.68		20	1.65		14	1.16					480	39.70		1209	
	THIRD			6	26.09			Excluded		9	39.13		3	13.04		4	17.39					1	4.35		23	
		TOTAL		162	13.40					525	43.42		23	1.90		18	1.49					481	39.78		1209	
	FOURTH			2	11.11					1	5.56		11	61.11			Excluded					4	22.22		18	
		TOTAL		164	13.56					526	43.51		34	2.81								485	40.12		1209	
	FIFTH			6	17.65					11	32.35			Excluded								17	50.00		34	
		TOTAL		170	14.06					537	44.42											502	41.52		1209	
	SIXTH				Excluded					60	35.29											110	64.71		170	
		TOTAL								597	49.38											612	50.62		1209	
										Elected																
																										
Taree West                                                     																										
	FIRST			253	9.83		24	0.93		1437	55.83		40	1.55		46	1.79		9	0.35		765	29.72		2574	
	SECOND			3	33.33		2	22.22		2	22.22		0	0.00		0	0.00			Excluded		2	22.22		9	
		TOTAL		256	9.95		26	1.01		1439	55.91		40	1.55		46	1.79					767	29.80		2574	
	THIRD			6	23.08			Excluded		9	34.62		2	7.69		8	30.77					1	3.85		26	
		TOTAL		262	10.18					1448	56.25		42	1.63		54	2.10					768	29.84		2574	
	FOURTH			5	9.26					13	24.07		25	46.30			Excluded					11	20.37		54	
		TOTAL		267	10.37					1461	56.76		67	2.60								779	30.26		2574	
	FIFTH			10	14.93					26	38.81			Excluded								31	46.27		67	
		TOTAL		277	10.76					1487	57.77											810	31.47		2574	
	SIXTH				Excluded					121	43.68											156	56.32		277	
		TOTAL								1608	62.47											966	37.53		2574	
										Elected																
																										
Telegraph Point                                                																										
	FIRST			86	13.72		12	1.91		334	53.27		20	3.19		22	3.51		1	0.16		152	24.24		627	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		86	13.72		12	1.91		334	53.27		20	3.19		22	3.51					153	24.40		627	
	THIRD			4	33.33			Excluded		4	33.33		3	25.00		1	8.33					0	0.00		12	
		TOTAL		90	14.35					338	53.91		23	3.67		23	3.67					153	24.40		627	
	FOURTH			2	8.70					3	13.04		12	52.17			Excluded					6	26.09		23	
		TOTAL		92	14.67					341	54.39		35	5.58								159	25.36		627	
	FIFTH			7	20.00					9	25.71			Excluded								19	54.29		35	
		TOTAL		99	15.79					350	55.82											178	28.39		627	
	SIXTH				Excluded					47	47.47											52	52.53		99	
		TOTAL								397	63.32											230	36.68		627	
										Elected																
																										
Tinonee                                                        																										
	FIRST			113	13.23		6	0.70		463	54.22		30	3.51		19	2.22		11	1.29		212	24.82		854	
	SECOND			1	9.09		5	45.45		3	27.27		0	0.00		0	0.00			Excluded		2	18.18		11	
		TOTAL		114	13.35		11	1.29		466	54.57		30	3.51		19	2.22					214	25.06		854	
	THIRD			7	63.64			Excluded		3	27.27		0	0.00		0	0.00					1	9.09		11	
		TOTAL		121	14.17					469	54.92		30	3.51		19	2.22					215	25.18		854	
	FOURTH			2	10.53					2	10.53		8	42.11			Excluded					7	36.84		19	
		TOTAL		123	14.40					471	55.15		38	4.45								222	26.00		854	
	FIFTH			5	13.16					16	42.11			Excluded								17	44.74		38	
		TOTAL		128	14.99					487	57.03											239	27.99		854	
	SIXTH				Excluded					59	46.09											69	53.91		128	
		TOTAL								546	63.93											308	36.07		854	
										Elected																
																										
Upper Lansdowne                                                																										
	FIRST			23	14.65		0	0.00		78	49.68		10	6.37		9	5.73		0	0.00		37	23.57		157	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		23	14.65		0	0.00		78	49.68		10	6.37		9	5.73					37	23.57		157	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		23	14.65					78	49.68		10	6.37		9	5.73					37	23.57		157	
	FOURTH			1	11.11					2	22.22		2	22.22			Excluded					4	44.44		9	
		TOTAL		24	15.29					80	50.96		12	7.64								41	26.11		157	
	FIFTH			1	8.33					1	8.33			Excluded								10	83.33		12	
		TOTAL		25	15.92					81	51.59											51	32.48		157	
	SIXTH				Excluded					14	56.00											11	44.00		25	
		TOTAL								95	60.51											62	39.49		157	
										Elected																
																										
Wauchope                                                       																										
	FIRST			166	8.90		24	1.29		1120	60.02		63	3.38		42	2.25		8	0.43		443	23.74		1866	
	SECOND			4	50.00		0	0.00		1	12.50		0	0.00		1	12.50			Excluded		2	25.00		8	
		TOTAL		170	9.11		24	1.29		1121	60.08		63	3.38		43	2.30					445	23.85		1866	
	THIRD			8	33.33			Excluded		4	16.67		6	25.00		4	16.67					2	8.33		24	
		TOTAL		178	9.54					1125	60.29		69	3.70		47	2.52					447	23.95		1866	
	FOURTH			7	14.89					6	12.77		24	51.06			Excluded					10	21.28		47	
		TOTAL		185	9.91					1131	60.61		93	4.98								457	24.49		1866	
	FIFTH			14	15.05					19	20.43			Excluded								60	64.52		93	
		TOTAL		199	10.66					1150	61.63											517	27.71		1866	
	SIXTH				Excluded					109	54.77											90	45.23		199	
		TOTAL								1259	67.47											607	32.53		1866	
										Elected																
																										
Wauchope South                                                 																										
	FIRST			167	9.75		23	1.34		1087	63.46		36	2.10		19	1.11		2	0.12		379	22.12		1713	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		168	9.81		23	1.34		1087	63.46		36	2.10		19	1.11					380	22.18		1713	
	THIRD			6	26.09			Excluded		9	39.13		1	4.35		3	13.04					4	17.39		23	
		TOTAL		174	10.16					1096	63.98		37	2.16		22	1.28					384	22.42		1713	
	FOURTH			3	13.64					6	27.27		5	22.73			Excluded					8	36.36		22	
		TOTAL		177	10.33					1102	64.33		42	2.45								392	22.88		1713	
	FIFTH			3	7.14					13	30.95			Excluded								26	61.90		42	
		TOTAL		180	10.51					1115	65.09											418	24.40		1713	
	SIXTH				Excluded					98	54.44											82	45.56		180	
		TOTAL								1213	70.81											500	29.19		1713	
										Elected																
																										
West Haven                                                     																										
	FIRST			50	5.98		12	1.44		450	53.83		22	2.63		18	2.15		0	0.00		284	33.97		836	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		50	5.98		12	1.44		450	53.83		22	2.63		18	2.15					284	33.97		836	
	THIRD			2	16.67			Excluded		6	50.00		1	8.33		0	0.00					3	25.00		12	
		TOTAL		52	6.22					456	54.55		23	2.75		18	2.15					287	34.33		836	
	FOURTH			0	0.00					6	33.33		3	16.67			Excluded					9	50.00		18	
		TOTAL		52	6.22					462	55.26		26	3.11								296	35.41		836	
	FIFTH			6	23.08					8	30.77			Excluded								12	46.15		26	
		TOTAL		58	6.94					470	56.22											308	36.84		836	
	SIXTH				Excluded					35	60.34											23	39.66		58	
		TOTAL								505	60.41											331	39.59		836	
										Elected																
																										
Wherrol Flat                                                   																										
	FIRST			31	18.45		0	0.00		77	45.83		9	5.36		7	4.17		0	0.00		44	26.19		168	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		31	18.45		0	0.00		77	45.83		9	5.36		7	4.17					44	26.19		168	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		31	18.45					77	45.83		9	5.36		7	4.17					44	26.19		168	
	FOURTH			0	0.00					1	14.29		2	28.57			Excluded					4	57.14		7	
		TOTAL		31	18.45					78	46.43		11	6.55								48	28.57		168	
	FIFTH			1	9.09					1	9.09			Excluded								9	81.82		11	
		TOTAL		32	19.05					79	47.02											57	33.93		168	
	SIXTH				Excluded					11	34.38											21	65.63		32	
		TOTAL								90	53.57											78	46.43		168	
										Elected																
																										
Wingham                                                        																										
	FIRST			192	13.34		20	1.39		752	52.26		33	2.29		30	2.08		12	0.83		400	27.80		1439	
	SECOND			2	16.67		4	33.33		1	8.33		1	8.33		2	16.67			Excluded		2	16.67		12	
		TOTAL		194	13.48		24	1.67		753	52.33		34	2.36		32	2.22					402	27.94		1439	
	THIRD			13	54.17			Excluded		4	16.67		2	8.33		2	8.33					3	12.50		24	
		TOTAL		207	14.38					757	52.61		36	2.50		34	2.36					405	28.14		1439	
	FOURTH			6	17.65					4	11.76		12	35.29			Excluded					12	35.29		34	
		TOTAL		213	14.80					761	52.88		48	3.34								417	28.98		1439	
	FIFTH			11	22.92					13	27.08			Excluded								24	50.00		48	
		TOTAL		224	15.57					774	53.79											441	30.65		1439	
	SIXTH				Excluded					109	48.66											115	51.34		224	
		TOTAL								883	61.36											556	38.64		1439	
										Elected																
																										
Wingham West                                                   																										
	FIRST			269	13.04		22	1.07		1072	51.96		41	1.99		44	2.13		19	0.92		596	28.89		2063	
	SECOND			4	21.05		5	26.32		2	10.53		1	5.26		3	15.79			Excluded		4	21.05		19	
		TOTAL		273	13.23		27	1.31		1074	52.06		42	2.04		47	2.28					600	29.08		2063	
	THIRD			13	48.15			Excluded		3	11.11		1	3.70		4	14.81					6	22.22		27	
		TOTAL		286	13.86					1077	52.21		43	2.08		51	2.47					606	29.37		2063	
	FOURTH			8	15.69					6	11.76		22	43.14			Excluded					15	29.41		51	
		TOTAL		294	14.25					1083	52.50		65	3.15								621	30.10		2063	
	FIFTH			6	9.23					17	26.15			Excluded								42	64.62		65	
		TOTAL		300	14.54					1100	53.32											663	32.14		2063	
	SIXTH				Excluded					78	26.00											222	74.00		300	
		TOTAL								1178	57.10											885	42.90		2063	
										Elected																
																										
Yarras                                                         																										
	FIRST			9	11.69		0	0.00		46	59.74		3	3.90		1	1.30		1	1.30		17	22.08		77	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		9	11.69		0	0.00		46	59.74		4	5.19		1	1.30					17	22.08		77	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		9	11.69					46	59.74		4	5.19		1	1.30					17	22.08		77	
	FOURTH			0	0.00					0	0.00		1	100.00			Excluded					0	0.00		1	
		TOTAL		9	11.69					46	59.74		5	6.49								17	22.08		77	
	FIFTH			0	0.00					1	20.00			Excluded								4	80.00		5	
		TOTAL		9	11.69					47	61.04											21	27.27		77	
	SIXTH				Excluded					7	77.78											2	22.22		9	
		TOTAL								54	70.13											23	29.87		77	
										Elected																
																										
Special Hospital Team 1                                        																										
	FIRST			10	4.02		1	0.40		162	65.06		1	0.40		4	1.61		1	0.40		70	28.11		249	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		10	4.02		1	0.40		162	65.06		2	0.80		4	1.61					70	28.11		249	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00		1	100.00					0	0.00		1	
		TOTAL		10	4.02					162	65.06		2	0.80		5	2.01					70	28.11		249	
	FOURTH			1	20.00					2	40.00		2	40.00			Excluded					0	0.00		5	
		TOTAL		11	4.42					164	65.86		4	1.61								70	28.11		249	
	FIFTH			0	0.00					3	75.00			Excluded								1	25.00		4	
		TOTAL		11	4.42					167	67.07											71	28.51		249	
	SIXTH				Excluded					10	90.91											1	9.09		11	
		TOTAL								177	71.08											72	28.92		249	
										Elected																
																										
Special Hospital Team 2                                        																										
	FIRST			3	3.33		2	2.22		53	58.89		1	1.11		1	1.11		0	0.00		30	33.33		90	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	3.33		2	2.22		53	58.89		1	1.11		1	1.11					30	33.33		90	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00		1	50.00					1	50.00		2	
		TOTAL		3	3.33					53	58.89		1	1.11		2	2.22					31	34.44		90	
	FOURTH			1	50.00					1	50.00		0	0.00			Excluded					0	0.00		2	
		TOTAL		4	4.44					54	60.00		1	1.11								31	34.44		90	
	FIFTH			0	0.00					0	0.00			Excluded								1	100.00		1	
		TOTAL		4	4.44					54	60.00											32	35.56		90	
	SIXTH				Excluded					2	50.00											2	50.00		4	
		TOTAL								56	62.22											34	37.78		90	
										Elected																
																										
Special Hospital Team 3                                        																										
	FIRST			7	5.38		0	0.00		85	65.38		1	0.77		0	0.00		3	2.31		34	26.15		130	
	SECOND			1	33.33		1	33.33		0	0.00		0	0.00		1	33.33			Excluded		0	0.00		3	
		TOTAL		8	6.15		1	0.77		85	65.38		1	0.77		1	0.77					34	26.15		130	
	THIRD			1	100.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		9	6.92					85	65.38		1	0.77		1	0.77					34	26.15		130	
	FOURTH			0	0.00					0	0.00		0	0.00			Excluded					1	100.00		1	
		TOTAL		9	6.92					85	65.38		1	0.77								35	26.92		130	
	FIFTH			0	0.00					1	100.00			Excluded								0	0.00		1	
		TOTAL		9	6.92					86	66.15											35	26.92		130	
	SIXTH				Excluded					9	100.00											0	0.00		9	
		TOTAL								95	73.08											35	26.92		130	
										Elected																
																										
Special Hospital Team 4                                        																										
	FIRST			9	11.11		2	2.47		51	62.96		2	2.47		0	0.00		0	0.00		17	20.99		81	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		9	11.11		2	2.47		51	62.96		2	2.47		0	0.00					17	20.99		81	
	THIRD			0	0.00			Excluded		0	0.00		1	50.00		1	50.00					0	0.00		2	
		TOTAL		9	11.11					51	62.96		3	3.70		1	1.23					17	20.99		81	
	FOURTH			0	0.00					0	0.00		0	0.00			Excluded					1	100.00		1	
		TOTAL		9	11.11					51	62.96		3	3.70								18	22.22		81	
	FIFTH			1	33.33					0	0.00			Excluded								2	66.67		3	
		TOTAL		10	12.35					51	62.96											20	24.69		81	
	SIXTH				Excluded					8	80.00											2	20.00		10	
		TOTAL								59	72.84											22	27.16		81	
										Elected																
																										
ABSENT																										
	FIRST			475	10.17		98	2.10		2390	51.17		257	5.50		254	5.44		20	0.43		1177	25.20		4671	
	SECOND			4	20.00		2	10.00		4	20.00		0	0.00		5	25.00			Excluded		5	25.00		20	
		TOTAL		479	10.25		100	2.14		2394	51.25		257	5.50		259	5.54					1182	25.31		4671	
	THIRD			18	18.00			Excluded		29	29.00		20	20.00		13	13.00					20	20.00		100	
		TOTAL		497	10.64					2423	51.87		277	5.93		272	5.82					1202	25.73		4671	
	FOURTH			19	6.99					65	23.90		112	41.18			Excluded					76	27.94		272	
		TOTAL		516	11.05					2488	53.26		389	8.33								1278	27.36		4671	
	FIFTH			44	11.31					122	31.36			Excluded								223	57.33		389	
		TOTAL		560	11.99					2610	55.88											1501	32.13		4671	
	SIXTH				Excluded					353	63.04											207	36.96		560	
		TOTAL								2963	63.43											1708	36.57		4671	
										Elected																
																										
POSTAL																										
	FIRST			228	9.10		22	0.88		1449	57.82		47	1.88		44	1.76		6	0.24		710	28.33		2506	
	SECOND			2	33.33		1	16.67		0	0.00		0	0.00		2	33.33			Excluded		1	16.67		6	
		TOTAL		230	9.18		23	0.92		1449	57.82		47	1.88		46	1.84					711	28.37		2506	
	THIRD			2	8.70			Excluded		10	43.48		2	8.70		4	17.39					5	21.74		23	
		TOTAL		232	9.26					1459	58.22		49	1.96		50	2.00					716	28.57		2506	
	FOURTH			1	2.00					11	22.00		18	36.00			Excluded					20	40.00		50	
		TOTAL		233	9.30					1470	58.66		67	2.67								736	29.37		2506	
	FIFTH			8	11.94					14	20.90			Excluded								45	67.16		67	
		TOTAL		241	9.62					1484	59.22											781	31.17		2506	
	SIXTH				Excluded					139	57.68											102	42.32		241	
		TOTAL								1623	64.76											883	35.24		2506	
										Elected																
																										
PRE POLL																										
	FIRST			547	10.93		60	1.20		2880	57.57		134	2.68		147	2.94		10	0.20		1225	24.49		5003	
	SECOND			0	0.00		0	0.00		4	40.00		0	0.00		2	20.00			Excluded		4	40.00		10	
		TOTAL		547	10.93		60	1.20		2884	57.65		134	2.68		149	2.98					1229	24.57		5003	
	THIRD			19	31.67			Excluded		18	30.00		6	10.00		7	11.67					10	16.67		60	
		TOTAL		566	11.31					2902	58.01		140	2.80		156	3.12					1239	24.77		5003	
	FOURTH			9	5.77					35	22.44		55	35.26			Excluded					57	36.54		156	
		TOTAL		575	11.49					2937	58.70		195	3.90								1296	25.90		5003	
	FIFTH			23	11.79					62	31.79			Excluded								110	56.41		195	
		TOTAL		598	11.95					2999	59.94											1406	28.10		5003	
	SIXTH				Excluded					298	49.83											300	50.17		598	
		TOTAL								3297	65.90											1706	34.10		5003	
										Elected																
																										
PROVISIONAL																										
	FIRST			81	10.64		15	1.97		372	48.88		45	5.91		24	3.15		5	0.66		219	28.78		761	
	SECOND			0	0.00		3	60.00		1	20.00		0	0.00		0	0.00			Excluded		1	20.00		5	
		TOTAL		81	10.64		18	2.37		373	49.01		45	5.91		24	3.15					220	28.91		761	
	THIRD			3	16.67			Excluded		2	11.11		4	22.22		4	22.22					5	27.78		18	
		TOTAL		84	11.04					375	49.28		49	6.44		28	3.68					225	29.57		761	
	FOURTH			3	10.71					5	17.86		12	42.86			Excluded					8	28.57		28	
		TOTAL		87	11.43					380	49.93		61	8.02								233	30.62		761	
	FIFTH			7	11.48					20	32.79			Excluded								34	55.74		61	
		TOTAL		94	12.35					400	52.56											267	35.09		761	
	SIXTH				Excluded					55	58.51											39	41.49		94	
		TOTAL								455	59.79											306	40.21		761	
										Elected																
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
