House of Representatives - 2001 Election: New South Wales																																		
Distribution of Preferences 																																		
By Polling Place																																		
																																		
Fowler																																		
				JOHNSON			GRANT			POULARAS			WATSON			BRAZENALL			CHUNG			ROSSO			GASKELL			MENDELSSOHN			IRWIN			
		TOTAL		47	3.68		36	2.82					191	14.95					38	2.97		69	5.40		31	2.43					866	67.76		1278
	FIFTH			2	6.45		2	6.45					3	9.68					2	6.45		5	16.13			Excluded					17	54.84		31
		TOTAL		49	3.83		38	2.97					194	15.18					40	3.13		74	5.79								883	69.09		1278
	SIXTH			12	31.58			Excluded					3	7.89					5	13.16		4	10.53								14	36.84		38
		TOTAL		61	4.77								197	15.41					45	3.52		78	6.10								897	70.19		1278
	SEVENTH			28	35.90								20	25.64					14	17.95			Excluded								16	20.51		78
		TOTAL		89	6.96								217	16.98					59	4.62											913	71.44		1278
	EIGHTH				Excluded								66	74.16					12	13.48											11	12.36		89
		TOTAL											283	22.14					71	5.56											924	72.30		1278
	NINTH												32	45.07						Excluded											39	54.93		71
		TOTAL											315	24.65																	963	75.35		1278
																															Elected			
																																		
Yennora (Fowler)                                               																																		
	FIRST			18	6.12		11	3.74		6	2.04		61	20.75		3	1.02		13	4.42		7	2.38		6	2.04		8	2.72		161	54.76		294
	SECOND			1	33.33		0	0.00		1	33.33		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		3
		TOTAL		19	6.46		11	3.74		7	2.38		61	20.75					13	4.42		7	2.38		6	2.04		8	2.72		162	55.10		294
	THIRD			0	0.00		1	14.29			Excluded		2	28.57					1	14.29		1	14.29		0	0.00		0	0.00		2	28.57		7
		TOTAL		19	6.46		12	4.08					63	21.43					14	4.76		8	2.72		6	2.04		8	2.72		164	55.78		294
	FOURTH			0	0.00		2	25.00					1	12.50					2	25.00		0	0.00		0	0.00			Excluded		3	37.50		8
		TOTAL		19	6.46		14	4.76					64	21.77					16	5.44		8	2.72		6	2.04					167	56.80		294
	FIFTH			3	50.00		2	33.33					0	0.00					0	0.00		0	0.00			Excluded					1	16.67		6
		TOTAL		22	7.48		16	5.44					64	21.77					16	5.44		8	2.72								168	57.14		294
	SIXTH			4	25.00			Excluded					1	6.25					4	25.00		0	0.00								7	43.75		16
		TOTAL		26	8.84								65	22.11					20	6.80		8	2.72								175	59.52		294
	SEVENTH			0	0.00								5	62.50					0	0.00			Excluded								3	37.50		8
		TOTAL		26	8.84								70	23.81					20	6.80											178	60.54		294
	EIGHTH				Excluded								22	84.62					2	7.69											2	7.69		26
		TOTAL											92	31.29					22	7.48											180	61.22		294
	NINTH												9	40.91						Excluded											13	59.09		22
		TOTAL											101	34.35																	193	65.65		294
																															Elected			
																																		
ABSENT																																		
	FIRST			205	4.97		243	5.89		115	2.79		938	22.72		125	3.03		121	2.93		169	4.09		170	4.12		131	3.17		1911	46.29		4128
	SECOND			8	6.40		12	9.60		10	8.00		26	20.80			Excluded		6	4.80		33	26.40		18	14.40		3	2.40		9	7.20		125
		TOTAL		213	5.16		255	6.18		125	3.03		964	23.35					127	3.08		202	4.89		188	4.55		134	3.25		1920	46.51		4128
	THIRD			6	4.80		16	12.80			Excluded		49	39.20					8	6.40		7	5.60		9	7.20		8	6.40		22	17.60		125
		TOTAL		219	5.31		271	6.56					1013	24.54					135	3.27		209	5.06		197	4.77		142	3.44		1942	47.04		4128
	FOURTH			2	1.41		32	22.54					16	11.27					4	2.82		10	7.04		18	12.68			Excluded		60	42.25		142
		TOTAL		221	5.35		303	7.34					1029	24.93					139	3.37		219	5.31		215	5.21					2002	48.50		4128
	FIFTH			13	6.05		33	15.35					24	11.16					15	6.98		39	18.14			Excluded					91	42.33		215
		TOTAL		234	5.67		336	8.14					1053	25.51					154	3.73		258	6.25								2093	50.70		4128
	SIXTH			95	28.27			Excluded					64	19.05					36	10.71		44	13.10								97	28.87		336
		TOTAL		329	7.97								1117	27.06					190	4.60		302	7.32								2190	53.05		4128
	SEVENTH			58	19.21								78	25.83					70	23.18			Excluded								96	31.79		302
		TOTAL		387	9.38								1195	28.95					260	6.30											2286	55.38		4128
	EIGHTH				Excluded								263	67.96					66	17.05											58	14.99		387
		TOTAL											1458	35.32					326	7.90											2344	56.78		4128
	NINTH												171	52.45						Excluded											155	47.55		326
		TOTAL											1629	39.46																	2499	60.54		4128
																															Elected			
																																		
POSTAL																																		
	FIRST			19	1.14		13	0.78		40	2.40		481	28.85		19	1.14		47	2.82		92	5.52		30	1.80		25	1.50		901	54.05		1667
	SECOND			0	0.00		2	10.53		2	10.53		6	31.58			Excluded		0	0.00		5	26.32		1	5.26		0	0.00		3	15.79		19
		TOTAL		19	1.14		15	0.90		42	2.52		487	29.21					47	2.82		97	5.82		31	1.86		25	1.50		904	54.23		1667
	THIRD			18	42.86		2	4.76			Excluded		9	21.43					0	0.00		2	4.76		4	9.52		5	11.90		2	4.76		42
		TOTAL		37	2.22		17	1.02					496	29.75					47	2.82		99	5.94		35	2.10		30	1.80		906	54.35		1667
	FOURTH			0	0.00		5	16.67					8	26.67					2	6.67		3	10.00		0	0.00			Excluded		12	40.00		30
		TOTAL		37	2.22		22	1.32					504	30.23					49	2.94		102	6.12		35	2.10					918	55.07		1667
	FIFTH			3	8.57		2	5.71					6	17.14					3	8.57		3	8.57			Excluded					18	51.43		35
		TOTAL		40	2.40		24	1.44					510	30.59					52	3.12		105	6.30								936	56.15		1667
	SIXTH			7	29.17			Excluded					5	20.83					2	8.33		4	16.67								6	25.00		24
		TOTAL		47	2.82								515	30.89					54	3.24		109	6.54								942	56.51		1667
	SEVENTH			23	21.10								36	33.03					3	2.75			Excluded								47	43.12		109
		TOTAL		70	4.20								551	33.05					57	3.42											989	59.33		1667
	EIGHTH				Excluded								47	67.14					12	17.14											11	15.71		70
		TOTAL											598	35.87					69	4.14											1000	59.99		1667
	NINTH												23	33.33						Excluded											46	66.67		69
		TOTAL											621	37.25																	1046	62.75		1667
																															Elected			
																																		
PRE POLL																																		
	FIRST			67	3.73		69	3.84		31	1.73		374	20.84		28	1.56		72	4.01		91	5.07		76	4.23		54	3.01		933	51.98		1795
	SECOND			1	3.57		2	7.14		2	7.14		5	17.86			Excluded		2	7.14		9	32.14		2	7.14		2	7.14		3	10.71		28
		TOTAL		68	3.79		71	3.96		33	1.84		379	21.11					74	4.12		100	5.57		78	4.35		56	3.12		936	52.14		1795
	THIRD			6	18.18		2	6.06			Excluded		10	30.30					0	0.00		5	15.15		3	9.09		1	3.03		6	18.18		33
		TOTAL		74	4.12		73	4.07					389	21.67					74	4.12		105	5.85		81	4.51		57	3.18		942	52.48		1795
	FOURTH			1	1.75		15	26.32					4	7.02					3	5.26		0	0.00		6	10.53			Excluded		28	49.12		57
		TOTAL		75	4.18		88	4.90					393	21.89					77	4.29		105	5.85		87	4.85					970	54.04		1795
	FIFTH			10	11.49		5	5.75					13	14.94					10	11.49		12	13.79			Excluded					37	42.53		87
		TOTAL		85	4.74		93	5.18					406	22.62					87	4.85		117	6.52								1007	56.10		1795
	SIXTH			18	19.35			Excluded					13	13.98					13	13.98		9	9.68								40	43.01		93
		TOTAL		103	5.74								419	23.34					100	5.57		126	7.02								1047	58.33		1795
	SEVENTH			40	31.75								28	22.22					13	10.32			Excluded								45	35.71		126
		TOTAL		143	7.97								447	24.90					113	6.30											1092	60.84		1795
	EIGHTH				Excluded								93	65.03					31	21.68											19	13.29		143
		TOTAL											540	30.08					144	8.02											1111	61.89		1795
	NINTH												71	49.31						Excluded											73	50.69		144
		TOTAL											611	34.04																	1184	65.96		1795
																															Elected			
																																		
PROVISIONAL																																		
	FIRST			35	6.43		16	2.94		5	0.92		62	11.40		3	0.55		30	5.51		7	1.29		28	5.15		7	1.29		351	64.52		544
	SECOND			0	0.00		0	0.00		1	33.33		1	33.33			Excluded		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		3
		TOTAL		35	6.43		16	2.94		6	1.10		63	11.58					30	5.51		8	1.47		28	5.15		7	1.29		351	64.52		544
	THIRD			3	50.00		3	50.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6
		TOTAL		38	6.99		19	3.49					63	11.58					30	5.51		8	1.47		28	5.15		7	1.29		351	64.52		544
	FOURTH			0	0.00		4	57.14					2	28.57					0	0.00		0	0.00		0	0.00			Excluded		1	14.29		7
		TOTAL		38	6.99		23	4.23					65	11.95					30	5.51		8	1.47		28	5.15					352	64.71		544
	FIFTH			2	7.14		1	3.57					4	14.29					3	10.71		4	14.29			Excluded					14	50.00		28
		TOTAL		40	7.35		24	4.41					69	12.68					33	6.07		12	2.21								366	67.28		544
	SIXTH			5	20.83			Excluded					5	20.83					4	16.67		2	8.33								8	33.33		24
		TOTAL		45	8.27								74	13.60					37	6.80		14	2.57								374	68.75		544
	SEVENTH			4	28.57								1	7.14					5	35.71			Excluded								4	28.57		14
		TOTAL		49	9.01								75	13.79					42	7.72											378	69.49		544
	EIGHTH				Excluded								37	75.51					7	14.29											5	10.20		49
		TOTAL											112	20.59					49	9.01											383	70.40		544
	NINTH												23	46.94						Excluded											26	53.06		49
		TOTAL											135	24.82																	409	75.18		544
																															Elected			
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
