House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Grayndler																													
				BAIRD			O'CONNOR			JOHNSON			ALBANESE			KENWORTHY			HALE			WAN			HERDEN				
		TOTAL		71	9.78		12	1.65		19	2.62		413	56.89		119	16.39		83	11.43		9	1.24					726	
	THIRD			2	10.53		4	21.05			Excluded		4	21.05		4	21.05		5	26.32		0	0.00					19	
		TOTAL		73	10.06		16	2.20					417	57.44		123	16.94		88	12.12		9	1.24					726	
	FOURTH			2	22.22		0	0.00					3	33.33		1	11.11		3	33.33			Excluded					9	
		TOTAL		75	10.33		16	2.20					420	57.85		124	17.08		91	12.53								726	
	FIFTH			8	50.00			Excluded					2	12.50		3	18.75		3	18.75								16	
		TOTAL		83	11.43								422	58.13		127	17.49		94	12.95								726	
	SIXTH				Excluded								40	48.19		11	13.25		32	38.55								83	
		TOTAL											462	63.64		138	19.01		126	17.36								726	
	SEVENTH												111	88.10		15	11.90			Excluded								126	
		TOTAL											573	78.93		153	21.07											726	
													Elected																
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
