House of Representatives - 2001 Election: New South Wales																																									
Distribution of Preferences																																									
By Polling Place																																									
																																									
Robertson																																									
				KENISCIEHAD			BOYLE			HENNIG			MORAN			MUNN			LLOYD			LACEY			WILLS			LAING-PEACH			BAKER			PHILLIPS			MARTIN				
	EIGHTH						0	0.00			Excluded		0	0.00					0	0.00		0	0.00								0	0.00								0	
		TOTAL					5	4.76					34	32.38					62	59.05		2	1.90								2	1.90								105	
	NINTH						0	0.00					1	50.00					1	50.00		0	0.00									Excluded								2	
		TOTAL					5	4.76					35	33.33					63	60.00		2	1.90																	105	
	TENTH						0	0.00					0	0.00					2	100.00			Excluded																	2	
		TOTAL					5	4.76					35	33.33					65	61.90																				105	
	ELEVENTH							Excluded					3	60.00					2	40.00																				5	
		TOTAL											38	36.19					67	63.81																				105	
																			Elected																						
																																									
Narara South                                                   																																									
	FIRST			11	0.72		71	4.64		71	4.64		474	30.96		8	0.52		787	51.40		44	2.87		9	0.59		10	0.65		33	2.16		5	0.33		8	0.52		1531	
	SECOND			0	0.00		0	0.00		0	0.00		1	12.50		1	12.50		1	12.50		0	0.00		3	37.50		1	12.50		1	12.50		0	0.00			Excluded		8	
		TOTAL		11	0.72		71	4.64		71	4.64		475	31.03		9	0.59		788	51.47		44	2.87		12	0.78		11	0.72		34	2.22		5	0.33					1531	
	THIRD			2	22.22		0	0.00		0	0.00		2	22.22			Excluded		4	44.44		0	0.00		1	11.11		0	0.00		0	0.00		0	0.00					9	
		TOTAL		13	0.85		71	4.64		71	4.64		477	31.16					792	51.73		44	2.87		13	0.85		11	0.72		34	2.22		5	0.33					1531	
	FOURTH			0	0.00		0	0.00		0	0.00		1	20.00					1	20.00		1	20.00		0	0.00		1	20.00		1	20.00			Excluded					5	
		TOTAL		13	0.85		71	4.64		71	4.64		478	31.22					793	51.80		45	2.94		13	0.85		12	0.78		35	2.29								1531	
	FIFTH			2	16.67		0	0.00		0	0.00		2	16.67					1	8.33		1	8.33		4	33.33			Excluded		2	16.67								12	
		TOTAL		15	0.98		71	4.64		71	4.64		480	31.35					794	51.86		46	3.00		17	1.11					37	2.42								1531	
	SIXTH				Excluded		12	80.00		0	0.00		0	0.00					0	0.00		1	6.67		2	13.33					0	0.00								15	
		TOTAL					83	5.42		71	4.64		480	31.35					794	51.86		47	3.07		19	1.24					37	2.42								1531	
	SEVENTH						4	21.05		0	0.00		1	5.26					3	15.79		4	21.05			Excluded					7	36.84								19	
		TOTAL					87	5.68		71	4.64		481	31.42					797	52.06		51	3.33								44	2.87								1531	
	EIGHTH						3	4.23			Excluded		8	11.27					57	80.28		2	2.82								1	1.41								71	
		TOTAL					90	5.88					489	31.94					854	55.78		53	3.46								45	2.94								1531	
	NINTH						5	11.11					11	24.44					12	26.67		17	37.78									Excluded								45	
		TOTAL					95	6.21					500	32.66					866	56.56		70	4.57																	1531	
	TENTH						37	52.86					18	25.71					15	21.43			Excluded																	70	
		TOTAL					132	8.62					518	33.83					881	57.54																				1531	
	ELEVENTH							Excluded					94	71.21					38	28.79																				132	
		TOTAL											612	39.97					919	60.03																				1531	
																			Elected																						
																																									
Niagara Park (Robertson)                                       																																									
	FIRST			4	1.27		21	6.69		10	3.18		89	28.34		1	0.32		164	52.23		11	3.50		2	0.64		2	0.64		7	2.23		3	0.96		0	0.00		314	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		4	1.27		21	6.69		10	3.18		89	28.34		1	0.32		164	52.23		11	3.50		2	0.64		2	0.64		7	2.23		3	0.96					314	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00					1	
		TOTAL		4	1.27		21	6.69		10	3.18		89	28.34					164	52.23		11	3.50		2	0.64		3	0.96		7	2.23		3	0.96					314	
	FOURTH			0	0.00		1	33.33		0	0.00		1	33.33					0	0.00		0	0.00		0	0.00		0	0.00		1	33.33			Excluded					3	
		TOTAL		4	1.27		22	7.01		10	3.18		90	28.66					164	52.23		11	3.50		2	0.64		3	0.96		8	2.55								314	
	FIFTH			1	33.33		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		2	66.67			Excluded		0	0.00								3	
		TOTAL		5	1.59		22	7.01		10	3.18		90	28.66					164	52.23		11	3.50		4	1.27					8	2.55								314	
	SIXTH				Excluded		3	60.00		1	20.00		0	0.00					0	0.00		1	20.00		0	0.00					0	0.00								5	
		TOTAL					25	7.96		11	3.50		90	28.66					164	52.23		12	3.82		4	1.27					8	2.55								314	
	SEVENTH						2	50.00		1	25.00		0	0.00					0	0.00		0	0.00			Excluded					1	25.00								4	
		TOTAL					27	8.60		12	3.82		90	28.66					164	52.23		12	3.82								9	2.87								314	
	EIGHTH						0	0.00			Excluded		1	8.33					7	58.33		3	25.00								1	8.33								12	
		TOTAL					27	8.60					91	28.98					171	54.46		15	4.78								10	3.18								314	
	NINTH						4	40.00					1	10.00					2	20.00		3	30.00									Excluded								10	
		TOTAL					31	9.87					92	29.30					173	55.10		18	5.73																	314	
	TENTH						9	50.00					3	16.67					6	33.33			Excluded																	18	
		TOTAL					40	12.74					95	30.25					179	57.01																				314	
	ELEVENTH							Excluded					32	80.00					8	20.00																				40	
		TOTAL											127	40.45					187	59.55																				314	
																			Elected																						
																																									
Ocean Beach                                                    																																									
	FIRST			28	1.14		79	3.21		19	0.77		991	40.30		26	1.06		1087	44.20		99	4.03		6	0.24		12	0.49		91	3.70		16	0.65		5	0.20		2459	
	SECOND			0	0.00		0	0.00		1	20.00		0	0.00		0	0.00		1	20.00		1	20.00		0	0.00		0	0.00		1	20.00		1	20.00			Excluded		5	
		TOTAL		28	1.14		79	3.21		20	0.81		991	40.30		26	1.06		1088	44.25		100	4.07		6	0.24		12	0.49		92	3.74		17	0.69					2459	
	THIRD			3	11.54		0	0.00		0	0.00		3	11.54			Excluded		8	30.77		4	15.38		1	3.85		2	7.69		2	7.69		3	11.54					26	
		TOTAL		31	1.26		79	3.21		20	0.81		994	40.42					1096	44.57		104	4.23		7	0.28		14	0.57		94	3.82		20	0.81					2459	
	FOURTH			2	10.00		2	10.00		4	20.00		4	20.00					0	0.00		4	20.00		0	0.00		0	0.00		4	20.00			Excluded					20	
		TOTAL		33	1.34		81	3.29		24	0.98		998	40.59					1096	44.57		108	4.39		7	0.28		14	0.57		98	3.99								2459	
	FIFTH			3	21.43		1	7.14		0	0.00		1	7.14					3	21.43		1	7.14		3	21.43			Excluded		2	14.29								14	
		TOTAL		36	1.46		82	3.33		24	0.98		999	40.63					1099	44.69		109	4.43		10	0.41					100	4.07								2459	
	SIXTH				Excluded		18	50.00		5	13.89		4	11.11					2	5.56		1	2.78		5	13.89					1	2.78								36	
		TOTAL					100	4.07		29	1.18		1003	40.79					1101	44.77		110	4.47		15	0.61					101	4.11								2459	
	SEVENTH						2	13.33		2	13.33		3	20.00					3	20.00		4	26.67			Excluded					1	6.67								15	
		TOTAL					102	4.15		31	1.26		1006	40.91					1104	44.90		114	4.64								102	4.15								2459	
	EIGHTH						5	16.13			Excluded		8	25.81					6	19.35		7	22.58								5	16.13								31	
		TOTAL					107	4.35					1014	41.24					1110	45.14		121	4.92								107	4.35								2459	
	NINTH						14	13.08					30	28.04					47	43.93		16	14.95									Excluded								107	
		TOTAL					121	4.92					1044	42.46					1157	47.05		137	5.57																	2459	
	TENTH						65	47.45					51	37.23					21	15.33			Excluded																	137	
		TOTAL					186	7.56					1095	44.53					1178	47.91																				2459	
	ELEVENTH							Excluded					142	76.34					44	23.66																				186	
		TOTAL											1237	50.31					1222	49.69																				2459	
																			Elected																						
																																									
Patonga                                                        																																									
	FIRST			1	0.43		7	3.04		1	0.43		87	37.83		0	0.00		114	49.57		13	5.65		1	0.43		1	0.43		4	1.74		0	0.00		1	0.43		230	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	
		TOTAL		1	0.43		7	3.04		1	0.43		88	38.26		0	0.00		114	49.57		13	5.65		1	0.43		1	0.43		4	1.74		0	0.00					230	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	
		TOTAL		1	0.43		7	3.04		1	0.43		88	38.26					114	49.57		13	5.65		1	0.43		1	0.43		4	1.74		0	0.00					230	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		1	0.43		7	3.04		1	0.43		88	38.26					114	49.57		13	5.65		1	0.43		1	0.43		4	1.74								230	
	FIFTH			0	0.00		0	0.00		0	0.00		1	100.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00								1	
		TOTAL		1	0.43		7	3.04		1	0.43		89	38.70					114	49.57		13	5.65		1	0.43					4	1.74								230	
	SIXTH				Excluded		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00					0	0.00								1	
		TOTAL					8	3.48		1	0.43		89	38.70					114	49.57		13	5.65		1	0.43					4	1.74								230	
	SEVENTH						0	0.00		0	0.00		0	0.00					1	100.00		0	0.00			Excluded					0	0.00								1	
		TOTAL					8	3.48		1	0.43		89	38.70					115	50.00		13	5.65								4	1.74								230	
	EIGHTH						0	0.00			Excluded		0	0.00					1	100.00		0	0.00								0	0.00								1	
		TOTAL					8	3.48					89	38.70					116	50.43		13	5.65								4	1.74								230	
	NINTH						1	25.00					1	25.00					2	50.00		0	0.00									Excluded								4	
		TOTAL					9	3.91					90	39.13					118	51.30		13	5.65																	230	
	TENTH						10	76.92					2	15.38					1	7.69			Excluded																	13	
		TOTAL					19	8.26					92	40.00					119	51.74																				230	
	ELEVENTH							Excluded					15	78.95					4	21.05																				19	
		TOTAL											107	46.52					123	53.48																				230	
																			Elected																						
																																									
Pearl Beach                                                    																																									
	FIRST			2	0.63		5	1.58		1	0.32		94	29.75		2	0.63		170	53.80		32	10.13		1	0.32		0	0.00		8	2.53		1	0.32		0	0.00		316	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		2	0.63		5	1.58		1	0.32		94	29.75		2	0.63		170	53.80		32	10.13		1	0.32		0	0.00		8	2.53		1	0.32					316	
	THIRD			1	50.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00					2	
		TOTAL		3	0.95		5	1.58		1	0.32		94	29.75					170	53.80		33	10.44		1	0.32		0	0.00		8	2.53		1	0.32					316	
	FOURTH			0	0.00		0	0.00		0	0.00		1	100.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					1	
		TOTAL		3	0.95		5	1.58		1	0.32		95	30.06					170	53.80		33	10.44		1	0.32		0	0.00		8	2.53								316	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00								0	
		TOTAL		3	0.95		5	1.58		1	0.32		95	30.06					170	53.80		33	10.44		1	0.32					8	2.53								316	
	SIXTH				Excluded		1	33.33		0	0.00		0	0.00					0	0.00		2	66.67		0	0.00					0	0.00								3	
		TOTAL					6	1.90		1	0.32		95	30.06					170	53.80		35	11.08		1	0.32					8	2.53								316	
	SEVENTH						0	0.00		1	100.00		0	0.00					0	0.00		0	0.00			Excluded					0	0.00								1	
		TOTAL					6	1.90		2	0.63		95	30.06					170	53.80		35	11.08								8	2.53								316	
	EIGHTH						0	0.00			Excluded		0	0.00					1	50.00		1	50.00								0	0.00								2	
		TOTAL					6	1.90					95	30.06					171	54.11		36	11.39								8	2.53								316	
	NINTH						0	0.00					3	37.50					2	25.00		3	37.50									Excluded								8	
		TOTAL					6	1.90					98	31.01					173	54.75		39	12.34																	316	
	TENTH						14	35.90					20	51.28					5	12.82			Excluded																	39	
		TOTAL					20	6.33					118	37.34					178	56.33																				316	
	ELEVENTH							Excluded					17	85.00					3	15.00																				20	
		TOTAL											135	42.72					181	57.28																				316	
																			Elected																						
																																									
Peats Ridge                                                    																																									
	FIRST			1	0.45		3	1.35		1	0.45		55	24.66		1	0.45		147	65.92		6	2.69		0	0.00		4	1.79		4	1.79		1	0.45		0	0.00		223	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		1	0.45		3	1.35		1	0.45		55	24.66		1	0.45		147	65.92		6	2.69		0	0.00		4	1.79		4	1.79		1	0.45					223	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	
		TOTAL		1	0.45		3	1.35		1	0.45		55	24.66					148	66.37		6	2.69		0	0.00		4	1.79		4	1.79		1	0.45					223	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded					1	
		TOTAL		1	0.45		3	1.35		1	0.45		55	24.66					148	66.37		6	2.69		0	0.00		4	1.79		5	2.24								223	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00					1	25.00		1	25.00		2	50.00			Excluded		0	0.00								4	
		TOTAL		1	0.45		3	1.35		1	0.45		55	24.66					149	66.82		7	3.14		2	0.90					5	2.24								223	
	SIXTH				Excluded		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00					0	0.00								1	
		TOTAL					4	1.79		1	0.45		55	24.66					149	66.82		7	3.14		2	0.90					5	2.24								223	
	SEVENTH						0	0.00		0	0.00		0	0.00					1	50.00		1	50.00			Excluded					0	0.00								2	
		TOTAL					4	1.79		1	0.45		55	24.66					150	67.26		8	3.59								5	2.24								223	
	EIGHTH						0	0.00			Excluded		1	100.00					0	0.00		0	0.00								0	0.00								1	
		TOTAL					4	1.79					56	25.11					150	67.26		8	3.59								5	2.24								223	
	NINTH						0	0.00					3	60.00					1	20.00		1	20.00									Excluded								5	
		TOTAL					4	1.79					59	26.46					151	67.71		9	4.04																	223	
	TENTH						5	55.56					2	22.22					2	22.22			Excluded																	9	
		TOTAL					9	4.04					61	27.35					153	68.61																				223	
	ELEVENTH							Excluded					9	100.00					0	0.00																				9	
		TOTAL											70	31.39					153	68.61																				223	
																			Elected																						
																																									
Point Clare                                                    																																									
	FIRST			11	0.46		95	3.98		34	1.42		786	32.93		23	0.96		1263	52.91		75	3.14		11	0.46		22	0.92		58	2.43		7	0.29		2	0.08		2387	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	
		TOTAL		12	0.50		95	3.98		34	1.42		786	32.93		24	1.01		1263	52.91		75	3.14		11	0.46		22	0.92		58	2.43		7	0.29					2387	
	THIRD			1	4.17		1	4.17		1	4.17		6	25.00			Excluded		4	16.67		1	4.17		2	8.33		1	4.17		0	0.00		7	29.17					24	
		TOTAL		13	0.54		96	4.02		35	1.47		792	33.18					1267	53.08		76	3.18		13	0.54		23	0.96		58	2.43		14	0.59					2387	
	FOURTH			1	7.14		0	0.00		7	50.00		3	21.43					0	0.00		1	7.14		1	7.14		0	0.00		1	7.14			Excluded					14	
		TOTAL		14	0.59		96	4.02		42	1.76		795	33.31					1267	53.08		77	3.23		14	0.59		23	0.96		59	2.47								2387	
	FIFTH			1	4.35		1	4.35		1	4.35		1	4.35					10	43.48		4	17.39		4	17.39			Excluded		1	4.35								23	
		TOTAL		15	0.63		97	4.06		43	1.80		796	33.35					1277	53.50		81	3.39		18	0.75					60	2.51								2387	
	SIXTH				Excluded		6	40.00		2	13.33		1	6.67					1	6.67		3	20.00		2	13.33					0	0.00								15	
		TOTAL					103	4.32		45	1.89		797	33.39					1278	53.54		84	3.52		20	0.84					60	2.51								2387	
	SEVENTH						3	15.00		1	5.00		1	5.00					3	15.00		5	25.00			Excluded					7	35.00								20	
		TOTAL					106	4.44		46	1.93		798	33.43					1281	53.67		89	3.73								67	2.81								2387	
	EIGHTH						2	4.35			Excluded		4	8.70					28	60.87		9	19.57								3	6.52								46	
		TOTAL					108	4.52					802	33.60					1309	54.84		98	4.11								70	2.93								2387	
	NINTH						12	17.14					14	20.00					27	38.57		17	24.29									Excluded								70	
		TOTAL					120	5.03					816	34.19					1336	55.97		115	4.82																	2387	
	TENTH						42	36.52					45	39.13					28	24.35			Excluded																	115	
		TOTAL					162	6.79					861	36.07					1364	57.14																				2387	
	ELEVENTH							Excluded					116	71.60					46	28.40																				162	
		TOTAL											977	40.93					1410	59.07																				2387	
																			Elected																						
																																									
Pretty Beach                                                   																																									
	FIRST			2	0.30		27	4.01		3	0.45		214	31.75		2	0.30		323	47.92		72	10.68		6	0.89		12	1.78		10	1.48		2	0.30		1	0.15		674	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	
		TOTAL		2	0.30		27	4.01		3	0.45		215	31.90		2	0.30		323	47.92		72	10.68		6	0.89		12	1.78		10	1.48		2	0.30					674	
	THIRD			0	0.00		1	50.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					2	
		TOTAL		2	0.30		28	4.15		3	0.45		216	32.05					323	47.92		72	10.68		6	0.89		12	1.78		10	1.48		2	0.30					674	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		2	100.00		0	0.00		0	0.00			Excluded					2	
		TOTAL		2	0.30		28	4.15		3	0.45		216	32.05					323	47.92		72	10.68		8	1.19		12	1.78		10	1.48								674	
	FIFTH			0	0.00		2	16.67		0	0.00		3	25.00					2	16.67		1	8.33		3	25.00			Excluded		1	8.33								12	
		TOTAL		2	0.30		30	4.45		3	0.45		219	32.49					325	48.22		73	10.83		11	1.63					11	1.63								674	
	SIXTH				Excluded		1	50.00		0	0.00		0	0.00					0	0.00		0	0.00		1	50.00					0	0.00								2	
		TOTAL					31	4.60		3	0.45		219	32.49					325	48.22		73	10.83		12	1.78					11	1.63								674	
	SEVENTH						1	8.33		1	8.33		2	16.67					2	16.67		5	41.67			Excluded					1	8.33								12	
		TOTAL					32	4.75		4	0.59		221	32.79					327	48.52		78	11.57								12	1.78								674	
	EIGHTH						0	0.00			Excluded		1	25.00					3	75.00		0	0.00								0	0.00								4	
		TOTAL					32	4.75					222	32.94					330	48.96		78	11.57								12	1.78								674	
	NINTH						2	16.67					4	33.33					4	33.33		2	16.67									Excluded								12	
		TOTAL					34	5.04					226	33.53					334	49.55		80	11.87																	674	
	TENTH						46	57.50					22	27.50					12	15.00			Excluded																	80	
		TOTAL					80	11.87					248	36.80					346	51.34																				674	
	ELEVENTH							Excluded					68	85.00					12	15.00																				80	
		TOTAL											316	46.88					358	53.12																				674	
																			Elected																						
																																									
Saratoga                                                       																																									
	FIRST			16	0.92		76	4.39		16	0.92		547	31.62		6	0.35		920	53.18		58	3.35		23	1.33		8	0.46		54	3.12		3	0.17		3	0.17		1730	
	SECOND			0	0.00		0	0.00		2	66.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00			Excluded		3	
		TOTAL		16	0.92		76	4.39		18	1.04		547	31.62		6	0.35		920	53.18		58	3.35		23	1.33		8	0.46		55	3.18		3	0.17					1730	
	THIRD			1	16.67		0	0.00		0	0.00		1	16.67			Excluded		0	0.00		0	0.00		2	33.33		1	16.67		0	0.00		1	16.67					6	
		TOTAL		17	0.98		76	4.39		18	1.04		548	31.68					920	53.18		58	3.35		25	1.45		9	0.52		55	3.18		4	0.23					1730	
	FOURTH			0	0.00		0	0.00		0	0.00		1	25.00					1	25.00		0	0.00		0	0.00		0	0.00		2	50.00			Excluded					4	
		TOTAL		17	0.98		76	4.39		18	1.04		549	31.73					921	53.24		58	3.35		25	1.45		9	0.52		57	3.29								1730	
	FIFTH			2	22.22		2	22.22		0	0.00		1	11.11					1	11.11		1	11.11		2	22.22			Excluded		0	0.00								9	
		TOTAL		19	1.10		78	4.51		18	1.04		550	31.79					922	53.29		59	3.41		27	1.56					57	3.29								1730	
	SIXTH				Excluded		13	68.42		1	5.26		0	0.00					1	5.26		2	10.53		2	10.53					0	0.00								19	
		TOTAL					91	5.26		19	1.10		550	31.79					923	53.35		61	3.53		29	1.68					57	3.29								1730	
	SEVENTH						6	20.69		0	0.00		4	13.79					6	20.69		3	10.34			Excluded					10	34.48								29	
		TOTAL					97	5.61		19	1.10		554	32.02					929	53.70		64	3.70								67	3.87								1730	
	EIGHTH						1	5.26			Excluded		4	21.05					12	63.16		1	5.26								1	5.26								19	
		TOTAL					98	5.66					558	32.25					941	54.39		65	3.76								68	3.93								1730	
	NINTH						10	14.71					16	23.53					28	41.18		14	20.59									Excluded								68	
		TOTAL					108	6.24					574	33.18					969	56.01		79	4.57																	1730	
	TENTH						37	46.84					24	30.38					18	22.78			Excluded																	79	
		TOTAL					145	8.38					598	34.57					987	57.05																				1730	
	ELEVENTH							Excluded					107	73.79					38	26.21																				145	
		TOTAL											705	40.75					1025	59.25																				1730	
																			Elected																						
																																									
Scaysbrook                                                     																																									
	FIRST			5	0.72		13	1.87		13	1.87		183	26.29		2	0.29		454	65.23		5	0.72		4	0.57		2	0.29		12	1.72		3	0.43		0	0.00		696	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		5	0.72		13	1.87		13	1.87		183	26.29		2	0.29		454	65.23		5	0.72		4	0.57		2	0.29		12	1.72		3	0.43					696	
	THIRD			0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00					2	
		TOTAL		5	0.72		13	1.87		14	2.01		183	26.29					454	65.23		5	0.72		4	0.57		3	0.43		12	1.72		3	0.43					696	
	FOURTH			1	33.33		0	0.00		0	0.00		1	33.33					0	0.00		0	0.00		0	0.00		0	0.00		1	33.33			Excluded					3	
		TOTAL		6	0.86		13	1.87		14	2.01		184	26.44					454	65.23		5	0.72		4	0.57		3	0.43		13	1.87								696	
	FIFTH			0	0.00		1	33.33		0	0.00		0	0.00					0	0.00		0	0.00		1	33.33			Excluded		1	33.33								3	
		TOTAL		6	0.86		14	2.01		14	2.01		184	26.44					454	65.23		5	0.72		5	0.72					14	2.01								696	
	SIXTH				Excluded		4	66.67		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00					2	33.33								6	
		TOTAL					18	2.59		14	2.01		184	26.44					454	65.23		5	0.72		5	0.72					16	2.30								696	
	SEVENTH						2	40.00		1	20.00		0	0.00					0	0.00		0	0.00			Excluded					2	40.00								5	
		TOTAL					20	2.87		15	2.16		184	26.44					454	65.23		5	0.72								18	2.59								696	
	EIGHTH						0	0.00			Excluded		0	0.00					13	86.67		2	13.33								0	0.00								15	
		TOTAL					20	2.87					184	26.44					467	67.10		7	1.01								18	2.59								696	
	NINTH						2	11.11					3	16.67					11	61.11		2	11.11									Excluded								18	
		TOTAL					22	3.16					187	26.87					478	68.68		9	1.29																	696	
	TENTH						2	22.22					3	33.33					4	44.44			Excluded																	9	
		TOTAL					24	3.45					190	27.30					482	69.25																				696	
	ELEVENTH							Excluded					20	83.33					4	16.67																				24	
		TOTAL											210	30.17					486	69.83																				696	
																			Elected																						
																																									
Somersby                                                       																																									
	FIRST			3	0.60		20	3.98		5	1.00		96	19.12		1	0.20		318	63.35		15	2.99		3	0.60		25	4.98		12	2.39		4	0.80		0	0.00		502	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		3	0.60		20	3.98		5	1.00		96	19.12		1	0.20		318	63.35		15	2.99		3	0.60		25	4.98		12	2.39		4	0.80					502	
	THIRD			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	
		TOTAL		4	0.80		20	3.98		5	1.00		96	19.12					318	63.35		15	2.99		3	0.60		25	4.98		12	2.39		4	0.80					502	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					1	25.00		0	0.00		0	0.00		1	25.00		2	50.00			Excluded					4	
		TOTAL		4	0.80		20	3.98		5	1.00		96	19.12					319	63.55		15	2.99		3	0.60		26	5.18		14	2.79								502	
	FIFTH			2	7.69		0	0.00		0	0.00		5	19.23					12	46.15		1	3.85		2	7.69			Excluded		4	15.38								26	
		TOTAL		6	1.20		20	3.98		5	1.00		101	20.12					331	65.94		16	3.19		5	1.00					18	3.59								502	
	SIXTH				Excluded		2	33.33		2	33.33		0	0.00					0	0.00		1	16.67		0	0.00					1	16.67								6	
		TOTAL					22	4.38		7	1.39		101	20.12					331	65.94		17	3.39		5	1.00					19	3.78								502	
	SEVENTH						0	0.00		0	0.00		1	20.00					3	60.00		0	0.00			Excluded					1	20.00								5	
		TOTAL					22	4.38		7	1.39		102	20.32					334	66.53		17	3.39								20	3.98								502	
	EIGHTH						0	0.00			Excluded		1	14.29					3	42.86		2	28.57								1	14.29								7	
		TOTAL					22	4.38					103	20.52					337	67.13		19	3.78								21	4.18								502	
	NINTH						4	19.05					1	4.76					11	52.38		5	23.81									Excluded								21	
		TOTAL					26	5.18					104	20.72					348	69.32		24	4.78																	502	
	TENTH						7	29.17					11	45.83					6	25.00			Excluded																	24	
		TOTAL					33	6.57					115	22.91					354	70.52																				502	
	ELEVENTH							Excluded					25	75.76					8	24.24																				33	
		TOTAL											140	27.89					362	72.11																				502	
																			Elected																						
																																									
Spencer                                                        																																									
	FIRST			2	1.31		8	5.23		1	0.65		66	43.14		0	0.00		60	39.22		6	3.92		0	0.00		0	0.00		9	5.88		0	0.00		1	0.65		153	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		1	
		TOTAL		2	1.31		8	5.23		1	0.65		66	43.14		0	0.00		60	39.22		6	3.92		0	0.00		0	0.00		10	6.54		0	0.00					153	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	
		TOTAL		2	1.31		8	5.23		1	0.65		66	43.14					60	39.22		6	3.92		0	0.00		0	0.00		10	6.54		0	0.00					153	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		2	1.31		8	5.23		1	0.65		66	43.14					60	39.22		6	3.92		0	0.00		0	0.00		10	6.54								153	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00								0	
		TOTAL		2	1.31		8	5.23		1	0.65		66	43.14					60	39.22		6	3.92		0	0.00					10	6.54								153	
	SIXTH				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		1	50.00		1	50.00					0	0.00								2	
		TOTAL					8	5.23		1	0.65		66	43.14					60	39.22		7	4.58		1	0.65					10	6.54								153	
	SEVENTH						0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded					1	100.00								1	
		TOTAL					8	5.23		1	0.65		66	43.14					60	39.22		7	4.58								11	7.19								153	
	EIGHTH						0	0.00			Excluded		0	0.00					1	100.00		0	0.00								0	0.00								1	
		TOTAL					8	5.23					66	43.14					61	39.87		7	4.58								11	7.19								153	
