House of Representatives - 2001 Election: New South Wales																																						
Distribution of Preferences																																						
By Polling Place																																						
																																						
Richmond																																						
				NATHAN			ANTHONY			PENHALIGON			MCALLISTER			FAULKNER			BARHAM			PENIAZEV			BALK			JEFFERYS			ROLFE			SIMPSON				
							Elected																															
																																						
Fingal Head                                                    																																						
	FIRST			8	2.74		91	31.16		3	1.03		117	40.07		0	0.00		38	13.01		0	0.00		16	5.48		1	0.34		18	6.16		0	0.00		292	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		8	2.74		91	31.16		3	1.03		117	40.07		0	0.00		38	13.01					16	5.48		1	0.34		18	6.16		0	0.00		292	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		8	2.74		91	31.16		3	1.03		117	40.07					38	13.01					16	5.48		1	0.34		18	6.16		0	0.00		292	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		8	2.74		91	31.16		3	1.03		117	40.07					38	13.01					16	5.48		1	0.34		18	6.16					292	
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00					1	33.33					0	0.00		1	33.33		1	33.33					3	
		TOTAL		8	2.74		91	31.16					117	40.07					39	13.36					16	5.48		2	0.68		19	6.51					292	
	SIXTH			0	0.00		0	0.00					0	0.00					0	0.00					1	50.00			Excluded		1	50.00					2	
		TOTAL		8	2.74		91	31.16					117	40.07					39	13.36					17	5.82					20	6.85					292	
	SEVENTH				Excluded		5	62.50					0	0.00					2	25.00					0	0.00					1	12.50					8	
		TOTAL					96	32.88					117	40.07					41	14.04					17	5.82					21	7.19					292	
	EIGHTH						2	11.76					4	23.53					7	41.18						Excluded					4	23.53					17	
		TOTAL					98	33.56					121	41.44					48	16.44											25	8.56					292	
	NINTH						8	32.00					7	28.00					10	40.00												Excluded					25	
		TOTAL					106	36.30					128	43.84					58	19.86																	292	
	TENTH						15	25.86					43	74.14						Excluded																	58	
		TOTAL					121	41.44					171	58.56																							292	
							Elected																															
																																						
Goonengerry                                                    																																						
	FIRST			3	2.10		21	14.69		0	0.00		53	37.06		0	0.00		55	38.46		0	0.00		6	4.20		2	1.40		3	2.10		0	0.00		143	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	2.10		21	14.69		0	0.00		53	37.06		0	0.00		55	38.46					6	4.20		2	1.40		3	2.10		0	0.00		143	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	2.10		21	14.69		0	0.00		53	37.06					55	38.46					6	4.20		2	1.40		3	2.10		0	0.00		143	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		3	2.10		21	14.69		0	0.00		53	37.06					55	38.46					6	4.20		2	1.40		3	2.10					143	
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00					0	
		TOTAL		3	2.10		21	14.69					53	37.06					55	38.46					6	4.20		2	1.40		3	2.10					143	
	SIXTH			0	0.00		0	0.00					0	0.00					0	0.00					1	50.00			Excluded		1	50.00					2	
		TOTAL		3	2.10		21	14.69					53	37.06					55	38.46					7	4.90					4	2.80					143	
	SEVENTH				Excluded		1	33.33					0	0.00					1	33.33					0	0.00					1	33.33					3	
		TOTAL					22	15.38					53	37.06					56	39.16					7	4.90					5	3.50					143	
	EIGHTH						0	0.00					2	28.57					3	42.86						Excluded					2	28.57					7	
		TOTAL					22	15.38					55	38.46					59	41.26											7	4.90					143	
	NINTH						1	14.29					2	28.57					4	57.14												Excluded					7	
		TOTAL					23	16.08					57	39.86					63	44.06																	143	
	TENTH						3	4.76					60	95.24						Excluded																	63	
		TOTAL					26	18.18					117	81.82																							143	
							Elected																															
																																						
Hastings Point                                                 																																						
	FIRST			3	0.96		115	36.74		1	0.32		145	46.33		0	0.00		24	7.67		2	0.64		5	1.60		1	0.32		15	4.79		2	0.64		313	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		2	
		TOTAL		3	0.96		116	37.06		1	0.32		145	46.33		0	0.00		24	7.67					5	1.60		2	0.64		15	4.79		2	0.64		313	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	0.96		116	37.06		1	0.32		145	46.33					24	7.67					5	1.60		2	0.64		15	4.79		2	0.64		313	
	FOURTH			0	0.00		0	0.00		1	50.00		0	0.00					0	0.00					0	0.00		0	0.00		1	50.00			Excluded		2	
		TOTAL		3	0.96		116	37.06		2	0.64		145	46.33					24	7.67					5	1.60		2	0.64		16	5.11					313	
	FIFTH			1	50.00		0	0.00			Excluded		1	50.00					0	0.00					0	0.00		0	0.00		0	0.00					2	
		TOTAL		4	1.28		116	37.06					146	46.65					24	7.67					5	1.60		2	0.64		16	5.11					313	
	SIXTH			1	50.00		0	0.00					0	0.00					1	50.00					0	0.00			Excluded		0	0.00					2	
		TOTAL		5	1.60		116	37.06					146	46.65					25	7.99					5	1.60					16	5.11					313	
	SEVENTH				Excluded		1	20.00					1	20.00					1	20.00					0	0.00					2	40.00					5	
		TOTAL					117	37.38					147	46.96					26	8.31					5	1.60					18	5.75					313	
	EIGHTH						0	0.00					1	20.00					4	80.00						Excluded					0	0.00					5	
		TOTAL					117	37.38					148	47.28					30	9.58											18	5.75					313	
	NINTH						6	33.33					8	44.44					4	22.22												Excluded					18	
		TOTAL					123	39.30					156	49.84					34	10.86																	313	
	TENTH						5	14.71					29	85.29						Excluded																	34	
		TOTAL					128	40.89					185	59.11																							313	
							Elected																															
																																						
Kingscliff                                                     																																						
	FIRST			26	1.03		1115	44.21		29	1.15		990	39.25		3	0.12		163	6.46		1	0.04		72	2.85		15	0.59		103	4.08		5	0.20		2522	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		26	1.03		1115	44.21		29	1.15		991	39.29		3	0.12		163	6.46					72	2.85		15	0.59		103	4.08		5	0.20		2522	
	THIRD			1	33.33		0	0.00		0	0.00		1	33.33			Excluded		0	0.00					0	0.00		1	33.33		0	0.00		0	0.00		3	
		TOTAL		27	1.07		1115	44.21		29	1.15		992	39.33					163	6.46					72	2.85		16	0.63		103	4.08		5	0.20		2522	
	FOURTH			1	20.00		1	20.00		0	0.00		0	0.00					1	20.00					0	0.00		0	0.00		2	40.00			Excluded		5	
		TOTAL		28	1.11		1116	44.25		29	1.15		992	39.33					164	6.50					72	2.85		16	0.63		105	4.16					2522	
	FIFTH			5	17.24		14	48.28			Excluded		6	20.69					0	0.00					3	10.34		0	0.00		1	3.45					29	
		TOTAL		33	1.31		1130	44.81					998	39.57					164	6.50					75	2.97		16	0.63		106	4.20					2522	
	SIXTH			0	0.00		2	12.50					2	12.50					5	31.25					4	25.00			Excluded		3	18.75					16	
		TOTAL		33	1.31		1132	44.89					1000	39.65					169	6.70					79	3.13					109	4.32					2522	
	SEVENTH				Excluded		12	36.36					5	15.15					9	27.27					3	9.09					4	12.12					33	
		TOTAL					1144	45.36					1005	39.85					178	7.06					82	3.25					113	4.48					2522	
	EIGHTH						8	9.76					19	23.17					49	59.76						Excluded					6	7.32					82	
		TOTAL					1152	45.68					1024	40.60					227	9.00											119	4.72					2522	
	NINTH						72	60.50					21	17.65					26	21.85												Excluded					119	
		TOTAL					1224	48.53					1045	41.44					253	10.03																	2522	
	TENTH						46	18.18					207	81.82						Excluded																	253	
		TOTAL					1270	50.36					1252	49.64																							2522	
							Elected																															
																																						
Kunghur                                                        																																						
	FIRST			4	1.75		75	32.89		10	4.39		62	27.19		1	0.44		47	20.61		1	0.44		13	5.70		11	4.82		2	0.88		2	0.88		228	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		4	1.75		75	32.89		10	4.39		63	27.63		1	0.44		47	20.61					13	5.70		11	4.82		2	0.88		2	0.88		228	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					1	100.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		4	1.75		75	32.89		10	4.39		63	27.63					47	20.61					14	6.14		11	4.82		2	0.88		2	0.88		228	
	FOURTH			0	0.00		0	0.00		0	0.00		1	50.00					0	0.00					0	0.00		0	0.00		1	50.00			Excluded		2	
		TOTAL		4	1.75		75	32.89		10	4.39		64	28.07					47	20.61					14	6.14		11	4.82		3	1.32					228	
	FIFTH			0	0.00		8	80.00			Excluded		0	0.00					0	0.00					0	0.00		0	0.00		2	20.00					10	
		TOTAL		4	1.75		83	36.40					64	28.07					47	20.61					14	6.14		11	4.82		5	2.19					228	
	SIXTH			1	9.09		0	0.00					0	0.00					8	72.73					1	9.09			Excluded		1	9.09					11	
		TOTAL		5	2.19		83	36.40					64	28.07					55	24.12					15	6.58					6	2.63					228	
	SEVENTH				Excluded		1	20.00					0	0.00					4	80.00					0	0.00					0	0.00					5	
		TOTAL					84	36.84					64	28.07					59	25.88					15	6.58					6	2.63					228	
	EIGHTH						2	13.33					4	26.67					8	53.33						Excluded					1	6.67					15	
		TOTAL					86	37.72					68	29.82					67	29.39											7	3.07					228	
	NINTH						3	42.86					1	14.29					3	42.86												Excluded					7	
		TOTAL					89	39.04					69	30.26					70	30.70																	228	
	TENTH						12	17.14					58	82.86						Excluded																	70	
		TOTAL					101	44.30					127	55.70																							228	
							Elected																															
																																						
Lennox Head                                                    																																						
	FIRST			28	0.95		1308	44.52		26	0.88		960	32.68		6	0.20		373	12.70		3	0.10		127	4.32		42	1.43		54	1.84		11	0.37		2938	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	33.33		1	33.33		1	33.33		3	
		TOTAL		28	0.95		1308	44.52		26	0.88		960	32.68		6	0.20		373	12.70					127	4.32		43	1.46		55	1.87		12	0.41		2938	
	THIRD			1	16.67		0	0.00		0	0.00		1	16.67			Excluded		1	16.67					1	16.67		1	16.67		0	0.00		1	16.67		6	
		TOTAL		29	0.99		1308	44.52		26	0.88		961	32.71					374	12.73					128	4.36		44	1.50		55	1.87		13	0.44		2938	
	FOURTH			7	53.85		2	15.38		1	7.69		2	15.38					0	0.00					0	0.00		0	0.00		1	7.69			Excluded		13	
		TOTAL		36	1.23		1310	44.59		27	0.92		963	32.78					374	12.73					128	4.36		44	1.50		56	1.91					2938	
	FIFTH			5	18.52		8	29.63			Excluded		4	14.81					4	14.81					2	7.41		2	7.41		2	7.41					27	
		TOTAL		41	1.40		1318	44.86					967	32.91					378	12.87					130	4.42		46	1.57		58	1.97					2938	
	SIXTH			6	13.04		2	4.35					4	8.70					23	50.00					10	21.74			Excluded		1	2.17					46	
		TOTAL		47	1.60		1320	44.93					971	33.05					401	13.65					140	4.77					59	2.01					2938	
	SEVENTH				Excluded		17	36.17					4	8.51					18	38.30					3	6.38					5	10.64					47	
		TOTAL					1337	45.51					975	33.19					419	14.26					143	4.87					64	2.18					2938	
	EIGHTH						18	12.59					35	24.48					85	59.44						Excluded					5	3.50					143	
		TOTAL					1355	46.12					1010	34.38					504	17.15											69	2.35					2938	
	NINTH						24	34.78					22	31.88					23	33.33												Excluded					69	
		TOTAL					1379	46.94					1032	35.13					527	17.94																	2938	
	TENTH						112	21.25					415	78.75						Excluded																	527	
		TOTAL					1491	50.75					1447	49.25																							2938	
							Elected																															
																																						
Main Arm Upper                                                 																																						
	FIRST			2	1.74		16	13.91		0	0.00		26	22.61		0	0.00		55	47.83		0	0.00		6	5.22		9	7.83		1	0.87		0	0.00		115	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	1.74		16	13.91		0	0.00		26	22.61		0	0.00		55	47.83					6	5.22		9	7.83		1	0.87		0	0.00		115	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	1.74		16	13.91		0	0.00		26	22.61					55	47.83					6	5.22		9	7.83		1	0.87		0	0.00		115	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		2	1.74		16	13.91		0	0.00		26	22.61					55	47.83					6	5.22		9	7.83		1	0.87					115	
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00					0	
		TOTAL		2	1.74		16	13.91					26	22.61					55	47.83					6	5.22		9	7.83		1	0.87					115	
	SIXTH			1	11.11		1	11.11					0	0.00					6	66.67					0	0.00			Excluded		1	11.11					9	
		TOTAL		3	2.61		17	14.78					26	22.61					61	53.04					6	5.22					2	1.74					115	
	SEVENTH				Excluded		0	0.00					1	33.33					2	66.67					0	0.00					0	0.00					3	
		TOTAL					17	14.78					27	23.48					63	54.78					6	5.22					2	1.74					115	
	EIGHTH						1	16.67					0	0.00					5	83.33						Excluded					0	0.00					6	
		TOTAL					18	15.65					27	23.48					68	59.13											2	1.74					115	
	NINTH						2	100.00					0	0.00					0	0.00												Excluded					2	
		TOTAL					20	17.39					27	23.48					68	59.13																	115	
	TENTH						4	5.88					64	94.12						Excluded																	68	
		TOTAL					24	20.87					91	79.13																							115	
							Elected																															
																																						
Mcleans Ridges                                                 																																						
	FIRST			1	1.33		52	69.33		1	1.33		13	17.33		0	0.00		3	4.00		0	0.00		0	0.00		0	0.00		4	5.33		1	1.33		75	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	1.33		52	69.33		1	1.33		13	17.33		0	0.00		3	4.00					0	0.00		0	0.00		4	5.33		1	1.33		75	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	1.33		52	69.33		1	1.33		13	17.33					3	4.00					0	0.00		0	0.00		4	5.33		1	1.33		75	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		1	100.00			Excluded		1	
		TOTAL		1	1.33		52	69.33		1	1.33		13	17.33					3	4.00					0	0.00		0	0.00		5	6.67					75	
	FIFTH			1	100.00		0	0.00			Excluded		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00					1	
		TOTAL		2	2.67		52	69.33					13	17.33					3	4.00					0	0.00		0	0.00		5	6.67					75	
	SIXTH			0	0.00		0	0.00					0	0.00					0	0.00					0	0.00			Excluded		0	0.00					0	
		TOTAL		2	2.67		52	69.33					13	17.33					3	4.00					0	0.00					5	6.67					75	
	SEVENTH				Excluded		1	50.00					0	0.00					0	0.00					1	50.00					0	0.00					2	
		TOTAL					53	70.67					13	17.33					3	4.00					1	1.33					5	6.67					75	
	EIGHTH						0	0.00					1	100.00					0	0.00						Excluded					0	0.00					1	
		TOTAL					53	70.67					14	18.67					3	4.00											5	6.67					75	
	NINTH						2	40.00					1	20.00					2	40.00												Excluded					5	
		TOTAL					55	73.33					15	20.00					5	6.67																	75	
	TENTH						1	20.00					4	80.00						Excluded																	5	
		TOTAL					56	74.67					19	25.33																							75	
							Elected																															
																																						
Mooball                                                        																																						
	FIRST			3	1.66		94	51.93		1	0.55		65	35.91		0	0.00		9	4.97		0	0.00		2	1.10		1	0.55		6	3.31		0	0.00		181	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	1.66		94	51.93		1	0.55		65	35.91		0	0.00		9	4.97					2	1.10		1	0.55		6	3.31		0	0.00		181	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	1.66		94	51.93		1	0.55		65	35.91					9	4.97					2	1.10		1	0.55		6	3.31		0	0.00		181	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		3	1.66		94	51.93		1	0.55		65	35.91					9	4.97					2	1.10		1	0.55		6	3.31					181	
	FIFTH			0	0.00		1	100.00			Excluded		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00					1	
		TOTAL		3	1.66		95	52.49					65	35.91					9	4.97					2	1.10		1	0.55		6	3.31					181	
	SIXTH			0	0.00		0	0.00					0	0.00					0	0.00					1	100.00			Excluded		0	0.00					1	
		TOTAL		3	1.66		95	52.49					65	35.91					9	4.97					3	1.66					6	3.31					181	
	SEVENTH				Excluded		2	66.67					0	0.00					1	33.33					0	0.00					0	0.00					3	
		TOTAL					97	53.59					65	35.91					10	5.52					3	1.66					6	3.31					181	
	EIGHTH						1	33.33					1	33.33					0	0.00						Excluded					1	33.33					3	
		TOTAL					98	54.14					66	36.46					10	5.52											7	3.87					181	
	NINTH						5	71.43					1	14.29					1	14.29												Excluded					7	
		TOTAL					103	56.91					67	37.02					11	6.08																	181	
	TENTH						4	36.36					7	63.64						Excluded																	11	
		TOTAL					107	59.12					74	40.88																							181	
							Elected																															
																																						
Mullumbimby                                                    																																						
	FIRST			48	1.89		920	36.26		17	0.67		680	26.80		22	0.87		611	24.08		1	0.04		89	3.51		56	2.21		90	3.55		3	0.12		2537	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		48	1.89		920	36.26		17	0.67		680	26.80		22	0.87		612	24.12					89	3.51		56	2.21		90	3.55		3	0.12		2537	
	THIRD			1	4.55		1	4.55		5	22.73		2	9.09			Excluded		8	36.36					0	0.00		4	18.18		0	0.00		1	4.55		22	
		TOTAL		49	1.93		921	36.30		22	0.87		682	26.88					620	24.44					89	3.51		60	2.36		90	3.55		4	0.16		2537	
	FOURTH			1	25.00		0	0.00		1	25.00		1	25.00					0	0.00					0	0.00		0	0.00		1	25.00			Excluded		4	
		TOTAL		50	1.97		921	36.30		23	0.91		683	26.92					620	24.44					89	3.51		60	2.36		91	3.59					2537	
	FIFTH			10	43.48		4	17.39			Excluded		2	8.70					0	0.00					1	4.35		0	0.00		6	26.09					23	
		TOTAL		60	2.36		925	36.46					685	27.00					620	24.44					90	3.55		60	2.36		97	3.82					2537	
	SIXTH			6	10.00		2	3.33					9	15.00					37	61.67					3	5.00			Excluded		3	5.00					60	
		TOTAL		66	2.60		927	36.54					694	27.36					657	25.90					93	3.67					100	3.94					2537	
	SEVENTH				Excluded		17	25.76					8	12.12					32	48.48					4	6.06					5	7.58					66	
		TOTAL					944	37.21					702	27.67					689	27.16					97	3.82					105	4.14					2537	
	EIGHTH						8	8.25					19	19.59					66	68.04						Excluded					4	4.12					97	
		TOTAL					952	37.52					721	28.42					755	29.76											109	4.30					2537	
	NINTH						57	52.29					29	26.61					23	21.10												Excluded					109	
		TOTAL					1009	39.77					750	29.56					778	30.67																	2537	
	TENTH						85	10.93					693	89.07						Excluded																	778	
		TOTAL					1094	43.12					1443	56.88																							2537	
							Elected																															
																																						
Murwillumbah                                                   																																						
	FIRST			32	1.25		1150	44.75		54	2.10		902	35.10		1	0.04		191	7.43		8	0.31		63	2.45		32	1.25		118	4.59		19	0.74		2570	
	SECOND			0	0.00		1	12.50		0	0.00		1	12.50		0	0.00		2	25.00			Excluded		2	25.00		0	0.00		2	25.00		0	0.00		8	
		TOTAL		32	1.25		1151	44.79		54	2.10		903	35.14		1	0.04		193	7.51					65	2.53		32	1.25		120	4.67		19	0.74		2570	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		32	1.25		1151	44.79		54	2.10		903	35.14					194	7.55					65	2.53		32	1.25		120	4.67		19	0.74		2570	
	FOURTH			2	10.53		2	10.53		2	10.53		1	5.26					0	0.00					1	5.26		1	5.26		10	52.63			Excluded		19	
		TOTAL		34	1.32		1153	44.86		56	2.18		904	35.18					194	7.55					66	2.57		33	1.28		130	5.06					2570	
	FIFTH			6	10.71		18	32.14			Excluded		8	14.29					3	5.36					1	1.79		2	3.57		18	32.14					56	
		TOTAL		40	1.56		1171	45.56					912	35.49					197	7.67					67	2.61		35	1.36		148	5.76					2570	
	SIXTH			4	11.43		4	11.43					8	22.86					15	42.86					2	5.71			Excluded		2	5.71					35	
		TOTAL		44	1.71		1175	45.72					920	35.80					212	8.25					69	2.68					150	5.84					2570	
	SEVENTH				Excluded		19	43.18					9	20.45					14	31.82					1	2.27					1	2.27					44	
		TOTAL					1194	46.46					929	36.15					226	8.79					70	2.72					151	5.88					2570	
	EIGHTH						13	18.57					18	25.71					37	52.86						Excluded					2	2.86					70	
		TOTAL					1207	46.96					947	36.85					263	10.23											153	5.95					2570	
	NINTH						74	48.37					35	22.88					44	28.76												Excluded					153	
		TOTAL					1281	49.84					982	38.21					307	11.95																	2570	
	TENTH						53	17.26					254	82.74						Excluded																	307	
		TOTAL					1334	51.91					1236	48.09																							2570	
							Elected																															
																																						
Murwillumbah South                                             																																						
	FIRST			11	1.06		530	51.26		23	2.22		343	33.17		0	0.00		45	4.35		2	0.19		20	1.93		5	0.48		53	5.13		2	0.19		1034	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		11	1.06		531	51.35		23	2.22		343	33.17		1	0.10		45	4.35					20	1.93		5	0.48		53	5.13		2	0.19		1034	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		11	1.06		531	51.35		23	2.22		343	33.17					46	4.45					20	1.93		5	0.48		53	5.13		2	0.19		1034	
	FOURTH			1	50.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		1	50.00			Excluded		2	
		TOTAL		12	1.16		531	51.35		23	2.22		343	33.17					46	4.45					20	1.93		5	0.48		54	5.22					1034	
	FIFTH			6	26.09		8	34.78			Excluded		3	13.04					3	13.04					0	0.00		0	0.00		3	13.04					23	
		TOTAL		18	1.74		539	52.13					346	33.46					49	4.74					20	1.93		5	0.48		57	5.51					1034	
	SIXTH			0	0.00		1	20.00					1	20.00					3	60.00					0	0.00			Excluded		0	0.00					5	
		TOTAL		18	1.74		540	52.22					347	33.56					52	5.03					20	1.93					57	5.51					1034	
	SEVENTH				Excluded		7	38.89					6	33.33					2	11.11					0	0.00					3	16.67					18	
		TOTAL					547	52.90					353	34.14					54	5.22					20	1.93					60	5.80					1034	
	EIGHTH						3	15.00					9	45.00					7	35.00						Excluded					1	5.00					20	
		TOTAL					550	53.19					362	35.01					61	5.90											61	5.90					1034	
	NINTH						30	49.18					15	24.59					16	26.23												Excluded					61	
		TOTAL					580	56.09					377	36.46					77	7.45																	1034	
	TENTH						22	28.57					55	71.43						Excluded																	77	
		TOTAL					602	58.22					432	41.78																							1034	
							Elected																															
																																						
Newrybar                                                       																																						
	FIRST			10	2.17		201	43.60		2	0.43		149	32.32		0	0.00		65	14.10		0	0.00		14	3.04		4	0.87		14	3.04		2	0.43		461	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		10	2.17		201	43.60		2	0.43		149	32.32		0	0.00		65	14.10					14	3.04		4	0.87		14	3.04		2	0.43		461	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		10	2.17		201	43.60		2	0.43		149	32.32					65	14.10					14	3.04		4	0.87		14	3.04		2	0.43		461	
	FOURTH			0	0.00		1	50.00		1	50.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		2	
		TOTAL		10	2.17		202	43.82		3	0.65		149	32.32					65	14.10					14	3.04		4	0.87		14	3.04					461	
	FIFTH			2	66.67		0	0.00			Excluded		0	0.00					0	0.00					0	0.00		0	0.00		1	33.33					3	
		TOTAL		12	2.60		202	43.82					149	32.32					65	14.10					14	3.04		4	0.87		15	3.25					461	
	SIXTH			0	0.00		0	0.00					0	0.00					4	100.00					0	0.00			Excluded		0	0.00					4	
		TOTAL		12	2.60		202	43.82					149	32.32					69	14.97					14	3.04					15	3.25					461	
	SEVENTH				Excluded		6	50.00					2	16.67					3	25.00					0	0.00					1	8.33					12	
		TOTAL					208	45.12					151	32.75					72	15.62					14	3.04					16	3.47					461	
	EIGHTH						4	28.57					5	35.71					3	21.43						Excluded					2	14.29					14	
		TOTAL					212	45.99					156	33.84					75	16.27											18	3.90					461	
	NINTH						11	61.11					2	11.11					5	27.78												Excluded					18	
		TOTAL					223	48.37					158	34.27					80	17.35																	461	
	TENTH						17	21.25					63	78.75						Excluded																	80	
		TOTAL					240	52.06					221	47.94																							461	
							Elected																															
																																						
Ocean Shores                                                   																																						
	FIRST			22	1.22		662	36.70		13	0.72		660	36.59		10	0.55		279	15.47		7	0.39		51	2.83		38	2.11		58	3.22		4	0.22		1804	
	SECOND			1	14.29		1	14.29		0	0.00		3	42.86		0	0.00		1	14.29			Excluded		0	0.00		0	0.00		1	14.29		0	0.00		7	
		TOTAL		23	1.27		663	36.75		13	0.72		663	36.75		10	0.55		280	15.52					51	2.83		38	2.11		59	3.27		4	0.22		1804	
	THIRD			2	20.00		1	10.00		0	0.00		1	10.00			Excluded		3	30.00					1	10.00		2	20.00		0	0.00		0	0.00		10	
		TOTAL		25	1.39		664	36.81		13	0.72		664	36.81					283	15.69					52	2.88		40	2.22		59	3.27		4	0.22		1804	
	FOURTH			2	50.00		1	25.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		1	25.00			Excluded		4	
		TOTAL		27	1.50		665	36.86		13	0.72		664	36.81					283	15.69					52	2.88		40	2.22		60	3.33					1804	
	FIFTH			2	15.38		4	30.77			Excluded		2	15.38					1	7.69					1	7.69		0	0.00		3	23.08					13	
		TOTAL		29	1.61		669	37.08					666	36.92					284	15.74					53	2.94		40	2.22		63	3.49					1804	
	SIXTH			6	15.00		2	5.00					5	12.50					19	47.50					4	10.00			Excluded		4	10.00					40	
		TOTAL		35	1.94		671	37.20					671	37.20					303	16.80					57	3.16					67	3.71					1804	
	SEVENTH				Excluded		8	22.86					2	5.71					13	37.14					7	20.00					5	14.29					35	
		TOTAL					679	37.64					673	37.31					316	17.52					64	3.55					72	3.99					1804	
	EIGHTH						9	14.06					17	26.56					36	56.25						Excluded					2	3.13					64	
		TOTAL					688	38.14					690	38.25					352	19.51											74	4.10					1804	
	NINTH						35	47.30					17	22.97					22	29.73												Excluded					74	
		TOTAL					723	40.08					707	39.19					374	20.73																	1804	
	TENTH						45	12.03					329	87.97						Excluded																	374	
		TOTAL					768	42.57					1036	57.43																							1804	
							Elected																															
																																						
Piggabeen                                                      																																						
	FIRST			12	1.76		354	51.98		4	0.59		218	32.01		1	0.15		23	3.38		0	0.00		23	3.38		9	1.32		36	5.29		1	0.15		681	
