House of Representatives - 2001 Election: New South Wales																																
Distribution of Preferences																																
By Polling Place																																
																																
Newcastle																																
				WILLIAMS			WILLIAMS			CRITICOS			GRIERSON			SUTTON			KILLION-DELCASTILLO			BATTERSBY			KAVANAGH			LAWN				
		TOTAL					486	42.86					648	57.14																	1134	
													Elected																			
																																
Pittown                                                        																																
	FIRST			32	5.57		142	24.70		13	2.26		284	49.39		25	4.35		3	0.52		6	1.04		16	2.78		54	9.39		575	
	SECOND			0	0.00		1	33.33		0	0.00		1	33.33		1	33.33			Excluded		0	0.00		0	0.00		0	0.00		3	
		TOTAL		32	5.57		143	24.87		13	2.26		285	49.57		26	4.52					6	1.04		16	2.78		54	9.39		575	
	THIRD			0	0.00		2	33.33		0	0.00		1	16.67		0	0.00						Excluded		3	50.00		0	0.00		6	
		TOTAL		32	5.57		145	25.22		13	2.26		286	49.74		26	4.52								19	3.30		54	9.39		575	
	FOURTH			1	7.69		2	15.38			Excluded		2	15.38		5	38.46								2	15.38		1	7.69		13	
		TOTAL		33	5.74		147	25.57					288	50.09		31	5.39								21	3.65		55	9.57		575	
	FIFTH				Excluded		18	54.55					8	24.24		5	15.15								1	3.03		1	3.03		33	
		TOTAL					165	28.70					296	51.48		36	6.26								22	3.83		56	9.74		575	
	SIXTH						2	9.09					9	40.91		8	36.36									Excluded		3	13.64		22	
		TOTAL					167	29.04					305	53.04		44	7.65											59	10.26		575	
	SEVENTH						12	20.34					12	20.34		35	59.32												Excluded		59	
		TOTAL					179	31.13					317	55.13		79	13.74														575	
	EIGHTH						40	50.63					39	49.37			Excluded														79	
		TOTAL					219	38.09					356	61.91																	575	
													Elected																			
																																
Plattsburg                                                     																																
	FIRST			126	5.48		556	24.16		48	2.09		1064	46.24		116	5.04		5	0.22		40	1.74		82	3.56		264	11.47		2301	
	SECOND			1	20.00		0	0.00		0	0.00		2	40.00		1	20.00			Excluded		0	0.00		1	20.00		0	0.00		5	
		TOTAL		127	5.52		556	24.16		48	2.09		1066	46.33		117	5.08					40	1.74		83	3.61		264	11.47		2301	
	THIRD			4	10.00		19	47.50		3	7.50		3	7.50		2	5.00						Excluded		7	17.50		2	5.00		40	
		TOTAL		131	5.69		575	24.99		51	2.22		1069	46.46		119	5.17								90	3.91		266	11.56		2301	
	FOURTH			6	11.76		18	35.29			Excluded		8	15.69		8	15.69								5	9.80		6	11.76		51	
		TOTAL		137	5.95		593	25.77					1077	46.81		127	5.52								95	4.13		272	11.82		2301	
	FIFTH				Excluded		46	33.58					52	37.96		18	13.14								7	5.11		14	10.22		137	
		TOTAL					639	27.77					1129	49.07		145	6.30								102	4.43		286	12.43		2301	
	SIXTH						24	23.53					27	26.47		40	39.22									Excluded		11	10.78		102	
		TOTAL					663	28.81					1156	50.24		185	8.04											297	12.91		2301	
	SEVENTH						68	22.90					56	18.86		173	58.25												Excluded		297	
		TOTAL					731	31.77					1212	52.67		358	15.56														2301	
	EIGHTH						184	51.40					174	48.60			Excluded														358	
		TOTAL					915	39.77					1386	60.23																	2301	
													Elected																			
																																
Shortland                                                      																																
	FIRST			85	6.14		371	26.81		40	2.89		583	42.12		77	5.56		2	0.14		17	1.23		53	3.83		156	11.27		1384	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		85	6.14		371	26.81		40	2.89		584	42.20		78	5.64					17	1.23		53	3.83		156	11.27		1384	
	THIRD			0	0.00		11	64.71		2	11.76		1	5.88		0	0.00						Excluded		2	11.76		1	5.88		17	
		TOTAL		85	6.14		382	27.60		42	3.03		585	42.27		78	5.64								55	3.97		157	11.34		1384	
	FOURTH			3	7.14		15	35.71			Excluded		10	23.81		6	14.29								3	7.14		5	11.90		42	
		TOTAL		88	6.36		397	28.68					595	42.99		84	6.07								58	4.19		162	11.71		1384	
	FIFTH				Excluded		26	29.55					39	44.32		12	13.64								2	2.27		9	10.23		88	
		TOTAL					423	30.56					634	45.81		96	6.94								60	4.34		171	12.36		1384	
	SIXTH						12	20.00					13	21.67		29	48.33									Excluded		6	10.00		60	
		TOTAL					435	31.43					647	46.75		125	9.03											177	12.79		1384	
	SEVENTH						37	20.90					28	15.82		112	63.28												Excluded		177	
		TOTAL					472	34.10					675	48.77		237	17.12														1384	
	EIGHTH						126	53.16					111	46.84			Excluded														237	
		TOTAL					598	43.21					786	56.79																	1384	
													Elected																			
																																
Stockton                                                       																																
	FIRST			50	6.57		190	24.97		12	1.58		368	48.36		48	6.31		2	0.26		7	0.92		11	1.45		73	9.59		761	
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		50	6.57		190	24.97		13	1.71		368	48.36		49	6.44					7	0.92		11	1.45		73	9.59		761	
	THIRD			1	14.29		3	42.86		0	0.00		0	0.00		1	14.29						Excluded		2	28.57		0	0.00		7	
		TOTAL		51	6.70		193	25.36		13	1.71		368	48.36		50	6.57								13	1.71		73	9.59		761	
	FOURTH			1	7.69		4	30.77			Excluded		2	15.38		2	15.38								1	7.69		3	23.08		13	
		TOTAL		52	6.83		197	25.89					370	48.62		52	6.83								14	1.84		76	9.99		761	
	FIFTH				Excluded		15	28.85					23	44.23		4	7.69								2	3.85		8	15.38		52	
		TOTAL					212	27.86					393	51.64		56	7.36								16	2.10		84	11.04		761	
	SIXTH						3	18.75					1	6.25		12	75.00									Excluded		0	0.00		16	
		TOTAL					215	28.25					394	51.77		68	8.94											84	11.04		761	
	SEVENTH						24	28.57					14	16.67		46	54.76												Excluded		84	
		TOTAL					239	31.41					408	53.61		114	14.98														761	
	EIGHTH						67	58.77					47	41.23			Excluded														114	
		TOTAL					306	40.21					455	59.79																	761	
													Elected																			
																																
Stockton North                                                 																																
	FIRST			10	2.24		90	20.18		10	2.24		227	50.90		33	7.40		1	0.22		4	0.90		25	5.61		46	10.31		446	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		10	2.24		90	20.18		10	2.24		227	50.90		34	7.62					4	0.90		25	5.61		46	10.31		446	
	THIRD			0	0.00		1	25.00		0	0.00		2	50.00		0	0.00						Excluded		0	0.00		1	25.00		4	
		TOTAL		10	2.24		91	20.40		10	2.24		229	51.35		34	7.62								25	5.61		47	10.54		446	
	FOURTH			1	10.00		3	30.00			Excluded		0	0.00		3	30.00								1	10.00		2	20.00		10	
		TOTAL		11	2.47		94	21.08					229	51.35		37	8.30								26	5.83		49	10.99		446	
	FIFTH				Excluded		4	36.36					2	18.18		3	27.27								0	0.00		2	18.18		11	
		TOTAL					98	21.97					231	51.79		40	8.97								26	5.83		51	11.43		446	
	SIXTH						3	11.54					8	30.77		11	42.31									Excluded		4	15.38		26	
		TOTAL					101	22.65					239	53.59		51	11.43											55	12.33		446	
	SEVENTH						10	18.18					14	25.45		31	56.36												Excluded		55	
		TOTAL					111	24.89					253	56.73		82	18.39														446	
	EIGHTH						30	36.59					52	63.41			Excluded														82	
		TOTAL					141	31.61					305	68.39																	446	
													Elected																			
																																
Stockton South                                                 																																
	FIRST			80	7.43		236	21.91		30	2.79		534	49.58		64	5.94		11	1.02		6	0.56		30	2.79		86	7.99		1077	
	SECOND			8	72.73		0	0.00		0	0.00		1	9.09		1	9.09			Excluded		0	0.00		1	9.09		0	0.00		11	
		TOTAL		88	8.17		236	21.91		30	2.79		535	49.68		65	6.04					6	0.56		31	2.88		86	7.99		1077	
	THIRD			1	16.67		2	33.33		1	16.67		0	0.00		0	0.00						Excluded		2	33.33		0	0.00		6	
		TOTAL		89	8.26		238	22.10		31	2.88		535	49.68		65	6.04								33	3.06		86	7.99		1077	
	FOURTH			4	12.90		6	19.35			Excluded		6	19.35		10	32.26								2	6.45		3	9.68		31	
		TOTAL		93	8.64		244	22.66					541	50.23		75	6.96								35	3.25		89	8.26		1077	
	FIFTH				Excluded		31	33.33					26	27.96		26	27.96								4	4.30		6	6.45		93	
		TOTAL					275	25.53					567	52.65		101	9.38								39	3.62		95	8.82		1077	
	SIXTH						5	12.82					10	25.64		19	48.72									Excluded		5	12.82		39	
		TOTAL					280	26.00					577	53.57		120	11.14											100	9.29		1077	
	SEVENTH						21	21.00					24	24.00		55	55.00												Excluded		100	
		TOTAL					301	27.95					601	55.80		175	16.25														1077	
	EIGHTH						76	43.43					99	56.57			Excluded														175	
		TOTAL					377	35.00					700	65.00																	1077	
													Elected																			
																																
Sydney (Newcastle)                                             																																
	FIRST			1	2.04		23	46.94		1	2.04		12	24.49		2	4.08		1	2.04		0	0.00		8	16.33		1	2.04		49	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		1	2.04		23	46.94		1	2.04		12	24.49		3	6.12					0	0.00		8	16.33		1	2.04		49	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	
		TOTAL		1	2.04		23	46.94		1	2.04		12	24.49		3	6.12								8	16.33		1	2.04		49	
	FOURTH			0	0.00		1	100.00			Excluded		0	0.00		0	0.00								0	0.00		0	0.00		1	
		TOTAL		1	2.04		24	48.98					12	24.49		3	6.12								8	16.33		1	2.04		49	
	FIFTH				Excluded		0	0.00					1	100.00		0	0.00								0	0.00		0	0.00		1	
		TOTAL					24	48.98					13	26.53		3	6.12								8	16.33		1	2.04		49	
	SIXTH						0	0.00					3	37.50		5	62.50									Excluded		0	0.00		8	
		TOTAL					24	48.98					16	32.65		8	16.33											1	2.04		49	
	SEVENTH						0	0.00					1	100.00		0	0.00												Excluded		1	
		TOTAL					24	48.98					17	34.69		8	16.33														49	
	EIGHTH						1	12.50					7	87.50			Excluded														8	
		TOTAL					25	51.02					24	48.98																	49	
													Elected																			
																																
The Junction                                                   																																
	FIRST			80	3.66		838	38.30		60	2.74		721	32.95		199	9.10		12	0.55		9	0.41		183	8.36		86	3.93		2188	
	SECOND			6	50.00		0	0.00		1	8.33		0	0.00		1	8.33			Excluded		1	8.33		3	25.00		0	0.00		12	
		TOTAL		86	3.93		838	38.30		61	2.79		721	32.95		200	9.14					10	0.46		186	8.50		86	3.93		2188	
	THIRD			0	0.00		4	40.00		1	10.00		0	0.00		2	20.00						Excluded		2	20.00		1	10.00		10	
		TOTAL		86	3.93		842	38.48		62	2.83		721	32.95		202	9.23								188	8.59		87	3.98		2188	
	FOURTH			6	9.68		20	32.26			Excluded		7	11.29		12	19.35								11	17.74		6	9.68		62	
		TOTAL		92	4.20		862	39.40					728	33.27		214	9.78								199	9.10		93	4.25		2188	
	FIFTH				Excluded		25	27.17					33	35.87		24	26.09								5	5.43		5	5.43		92	
		TOTAL					887	40.54					761	34.78		238	10.88								204	9.32		98	4.48		2188	
	SIXTH						40	19.61					42	20.59		112	54.90									Excluded		10	4.90		204	
		TOTAL					927	42.37					803	36.70		350	16.00											108	4.94		2188	
	SEVENTH						28	25.93					20	18.52		60	55.56												Excluded		108	
		TOTAL					955	43.65					823	37.61		410	18.74														2188	
	EIGHTH						137	33.41					273	66.59			Excluded														410	
		TOTAL					1092	49.91					1096	50.09																	2188	
													Elected																			
																																
Tighes Hill                                                    																																
	FIRST			83	7.27		210	18.39		20	1.75		507	44.40		162	14.19		4	0.35		11	0.96		74	6.48		71	6.22		1142	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		2	50.00			Excluded		0	0.00		2	50.00		0	0.00		4	
		TOTAL		83	7.27		210	18.39		20	1.75		507	44.40		164	14.36					11	0.96		76	6.65		71	6.22		1142	
	THIRD			0	0.00		5	45.45		1	9.09		1	9.09		2	18.18						Excluded		1	9.09		1	9.09		11	
		TOTAL		83	7.27		215	18.83		21	1.84		508	44.48		166	14.54								77	6.74		72	6.30		1142	
	FOURTH			2	9.52		3	14.29			Excluded		2	9.52		5	23.81								5	23.81		4	19.05		21	
		TOTAL		85	7.44		218	19.09					510	44.66		171	14.97								82	7.18		76	6.65		1142	
	FIFTH				Excluded		24	28.24					29	34.12		16	18.82								4	4.71		12	14.12		85	
		TOTAL					242	21.19					539	47.20		187	16.37								86	7.53		88	7.71		1142	
	SIXTH						10	11.63					21	24.42		47	54.65									Excluded		8	9.30		86	
		TOTAL					252	22.07					560	49.04		234	20.49											96	8.41		1142	
	SEVENTH						25	26.04					28	29.17		43	44.79												Excluded		96	
		TOTAL					277	24.26					588	51.49		277	24.26														1142	
	EIGHTH						76	27.44					201	72.56			Excluded														277	
		TOTAL					353	30.91					789	69.09																	1142	
													Elected																			
																																
Wallsend                                                       																																
	FIRST			57	7.85		157	21.63		15	2.07		349	48.07		44	6.06		1	0.14		19	2.62		22	3.03		62	8.54		726	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		57	7.85		157	21.63		16	2.20		349	48.07		44	6.06					19	2.62		22	3.03		62	8.54		726	
	THIRD			0	0.00		14	73.68		1	5.26		2	10.53		1	5.26						Excluded		1	5.26		0	0.00		19	
		TOTAL		57	7.85		171	23.55		17	2.34		351	48.35		45	6.20								23	3.17		62	8.54		726	
	FOURTH			1	5.88		5	29.41			Excluded		3	17.65		5	29.41								0	0.00		3	17.65		17	
		TOTAL		58	7.99		176	24.24					354	48.76		50	6.89								23	3.17		65	8.95		726	
	FIFTH				Excluded		17	29.31					27	46.55		7	12.07								3	5.17		4	6.90		58	
		TOTAL					193	26.58					381	52.48		57	7.85								26	3.58		69	9.50		726	
	SIXTH						7	26.92					6	23.08		10	38.46									Excluded		3	11.54		26	
		TOTAL					200	27.55					387	53.31		67	9.23											72	9.92		726	
	SEVENTH						23	31.94					14	19.44		35	48.61												Excluded		72	
		TOTAL					223	30.72					401	55.23		102	14.05														726	
	EIGHTH						39	38.24					63	61.76			Excluded														102	
		TOTAL					262	36.09					464	63.91																	726	
													Elected																			
																																
Wallsend Hospital                                              																																
	FIRST			46	6.40		182	25.31		11	1.53		343	47.71		38	5.29		0	0.00		14	1.95		25	3.48		60	8.34		719	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		46	6.40		182	25.31		11	1.53		343	47.71		38	5.29					14	1.95		25	3.48		60	8.34		719	
	THIRD			0	0.00		6	42.86		0	0.00		1	7.14		4	28.57						Excluded		3	21.43		0	0.00		14	
		TOTAL		46	6.40		188	26.15		11	1.53		344	47.84		42	5.84								28	3.89		60	8.34		719	
	FOURTH			1	9.09		2	18.18			Excluded		0	0.00		1	9.09								5	45.45		2	18.18		11	
		TOTAL		47	6.54		190	26.43					344	47.84		43	5.98								33	4.59		62	8.62		719	
	FIFTH				Excluded		16	34.04					15	31.91		11	23.40								3	6.38		2	4.26		47	
		TOTAL					206	28.65					359	49.93		54	7.51								36	5.01		64	8.90		719	
	SIXTH						9	25.00					8	22.22		13	36.11									Excluded		6	16.67		36	
		TOTAL					215	29.90					367	51.04		67	9.32											70	9.74		719	
	SEVENTH						16	22.86					27	38.57		27	38.57												Excluded		70	
		TOTAL					231	32.13					394	54.80		94	13.07														719	
	EIGHTH						38	40.43					56	59.57			Excluded														94	
		TOTAL					269	37.41					450	62.59																	719	
													Elected																			
																																
Waratah                                                        																																
	FIRST			133	5.90		570	25.28		63	2.79		985	43.68		155	6.87		11	0.49		49	2.17		152	6.74		137	6.08		2255	
	SECOND			3	27.27		1	9.09		1	9.09		3	27.27		3	27.27			Excluded		0	0.00		0	0.00		0	0.00		11	
		TOTAL		136	6.03		571	25.32		64	2.84		988	43.81		158	7.01					49	2.17		152	6.74		137	6.08		2255	
	THIRD			2	4.08		30	61.22		2	4.08		1	2.04		5	10.20						Excluded		5	10.20		4	8.16		49	
		TOTAL		138	6.12		601	26.65		66	2.93		989	43.86		163	7.23								157	6.96		141	6.25		2255	
	FOURTH			7	10.61		13	19.70			Excluded		11	16.67		13	19.70								13	19.70		9	13.64		66	
		TOTAL		145	6.43		614	27.23					1000	44.35		176	7.80								170	7.54		150	6.65		2255	
	FIFTH				Excluded		53	36.55					49	33.79		24	16.55								5	3.45		14	9.66		145	
		TOTAL					667	29.58					1049	46.52		200	8.87								175	7.76		164	7.27		2255	
	SIXTH						19	10.86					39	22.29		106	60.57									Excluded		11	6.29		175	
		TOTAL					686	30.42					1088	48.25		306	13.57											175	7.76		2255	
	SEVENTH						48	27.43					28	16.00		99	56.57												Excluded		175	
		TOTAL					734	32.55					1116	49.49		405	17.96														2255	
	EIGHTH						135	33.33					270	66.67			Excluded														405	
		TOTAL					869	38.54					1386	61.46																	2255	
													Elected																			
																																
Waratah Central                                                																																
	FIRST			30	7.67		72	18.41		7	1.79		188	48.08		23	5.88		3	0.77		13	3.32		21	5.37		34	8.70		391	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	33.33			Excluded		1	33.33		1	33.33		0	0.00		3	
		TOTAL		30	7.67		72	18.41		7	1.79		188	48.08		24	6.14					14	3.58		22	5.63		34	8.70		391	
	THIRD			0	0.00		5	35.71		3	21.43		2	14.29		0	0.00						Excluded		2	14.29		2	14.29		14	
		TOTAL		30	7.67		77	19.69		10	2.56		190	48.59		24	6.14								24	6.14		36	9.21		391	
	FOURTH			1	10.00		2	20.00			Excluded		3	30.00		0	0.00								0	0.00		4	40.00		10	
		TOTAL		31	7.93		79	20.20					193	49.36		24	6.14								24	6.14		40	10.23		391	
	FIFTH				Excluded		10	32.26					12	38.71		0	0.00								1	3.23		8	25.81		31	
		TOTAL					89	22.76					205	52.43		24	6.14								25	6.39		48	12.28		391	
	SIXTH						1	4.00					10	40.00		12	48.00									Excluded		2	8.00		25	
		TOTAL					90	23.02					215	54.99		36	9.21											50	12.79		391	
	SEVENTH						9	18.00					12	24.00		29	58.00												Excluded		50	
		TOTAL					99	25.32					227	58.06		65	16.62														391	
	EIGHTH						23	35.38					42	64.62			Excluded														65	
		TOTAL					122	31.20					269	68.80																	391	
													Elected																			
																																
Waratah South                                                  																																
	FIRST			10	2.13		126	26.81		13	2.77		230	48.94		27	5.74		2	0.43		8	1.70		16	3.40		38	8.09		470	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		1	50.00		0	0.00		2	
		TOTAL		10	2.13		126	26.81		13	2.77		230	48.94		27	5.74					9	1.91		17	3.62		38	8.09		470	
	THIRD			0	0.00		5	55.56		0	0.00		0	0.00		0	0.00						Excluded		3	33.33		1	11.11		9	
		TOTAL		10	2.13		131	27.87		13	2.77		230	48.94		27	5.74								20	4.26		39	8.30		470	
	FOURTH			1	7.69		5	38.46			Excluded		3	23.08		2	15.38								2	15.38		0	0.00		13	
		TOTAL		11	2.34		136	28.94					233	49.57		29	6.17								22	4.68		39	8.30		470	
	FIFTH				Excluded		5	45.45					4	36.36		1	9.09								0	0.00		1	9.09		11	
		TOTAL					141	30.00					237	50.43		30	6.38								22	4.68		40	8.51		470	
	SIXTH						5	22.73					5	22.73		7	31.82									Excluded		5	22.73		22	
		TOTAL					146	31.06					242	51.49		37	7.87											45	9.57		470	
	SEVENTH						14	31.11					15	33.33		16	35.56												Excluded		45	
		TOTAL					160	34.04					257	54.68		53	11.28														470	
	EIGHTH						20	37.74					33	62.26			Excluded														53	
		TOTAL					180	38.30					290	61.70																	470	
													Elected																			
																																
Waratah West                                                   																																
	FIRST			49	4.21		279	23.99		30	2.58		573	49.27		71	6.10		3	0.26		14	1.20		46	3.96		98	8.43		1163	
	SECOND			1	33.33		0	0.00		0	0.00		0	0.00		1	33.33			Excluded		1	33.33		0	0.00		0	0.00		3	
		TOTAL		50	4.30		279	23.99		30	2.58		573	49.27		72	6.19					15	1.29		46	3.96		98	8.43		1163	
	THIRD			2	13.33		6	40.00		2	13.33		1	6.67		1	6.67						Excluded		2	13.33		1	6.67		15	
		TOTAL		52	4.47		285	24.51		32	2.75		574	49.36		73	6.28								48	4.13		99	8.51		1163	
	FOURTH			4	12.50		13	40.63			Excluded		5	15.63		4	12.50								3	9.38		3	9.38		32	
		TOTAL		56	4.82		298	25.62					579	49.79		77	6.62								51	4.39		102	8.77		1163	
	FIFTH				Excluded		16	28.57					21	37.50		9	16.07								4	7.14		6	10.71		56	
		TOTAL					314	27.00					600	51.59		86	7.39								55	4.73		108	9.29		1163	
	SIXTH						8	14.55					17	30.91		24	43.64									Excluded		6	10.91		55	
		TOTAL					322	27.69					617	53.05		110	9.46											114	9.80		1163	
	SEVENTH						28	24.56					31	27.19		55	48.25												Excluded		114	
		TOTAL					350	30.09					648	55.72		165	14.19														1163	
	EIGHTH						64	38.79					101	61.21			Excluded														165	
		TOTAL					414	35.60					749	64.40																	1163	
													Elected																			
																																
Special Hospital Team 1                                        																																
	FIRST			5	5.32		24	25.53		0	0.00		54	57.45		0	0.00		0	0.00		0	0.00		7	7.45		4	4.26		94	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		5	5.32		24	25.53		0	0.00		54	57.45		0	0.00					0	0.00		7	7.45		4	4.26		94	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	
		TOTAL		5	5.32		24	25.53		0	0.00		54	57.45		0	0.00								7	7.45		4	4.26		94	
	FOURTH			0	0.00		0	0.00			Excluded		0	0.00		0	0.00								0	0.00		0	0.00		0	
		TOTAL		5	5.32		24	25.53					54	57.45		0	0.00								7	7.45		4	4.26		94	
	FIFTH				Excluded		4	80.00					1	20.00		0	0.00								0	0.00		0	0.00		5	
		TOTAL					28	29.79					55	58.51		0	0.00								7	7.45		4	4.26		94	
	SIXTH						0	0.00					2	28.57		5	71.43									Excluded		0	0.00		7	
		TOTAL					28	29.79					57	60.64		5	5.32											4	4.26		94	
	SEVENTH						1	25.00					2	50.00		1	25.00												Excluded		4	
		TOTAL					29	30.85					59	62.77		6	6.38														94	
	EIGHTH						2	33.33					4	66.67			Excluded														6	
		TOTAL					31	32.98					63	67.02																	94	
													Elected																			
																																
Special Hospital Team 2                                        																																
	FIRST			5	8.62		18	31.03		0	0.00		29	50.00		2	3.45		0	0.00		1	1.72		2	3.45		1	1.72		58	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		5	8.62		18	31.03		0	0.00		29	50.00		2	3.45					1	1.72		2	3.45		1	1.72		58	
	THIRD			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00						Excluded		0	0.00		0	0.00		1	
		TOTAL		5	8.62		19	32.76		0	0.00		29	50.00		2	3.45								2	3.45		1	1.72		58	
	FOURTH			0	0.00		0	0.00			Excluded		0	0.00		0	0.00								0	0.00		0	0.00		0	
		TOTAL		5	8.62		19	32.76					29	50.00		2	3.45								2	3.45		1	1.72		58	
	FIFTH				Excluded		2	40.00					1	20.00		1	20.00								1	20.00		0	0.00		5	
		TOTAL					21	36.21					30	51.72		3	5.17								3	5.17		1	1.72		58	
	SIXTH						2	66.67					1	33.33		0	0.00									Excluded		0	0.00		3	
		TOTAL					23	39.66					31	53.45		3	5.17											1	1.72		58	
	SEVENTH						1	100.00					0	0.00		0	0.00												Excluded		1	
		TOTAL					24	41.38					31	53.45		3	5.17														58	
	EIGHTH						2	66.67					1	33.33			Excluded														3	
		TOTAL					26	44.83					32	55.17																	58	
													Elected																			
																																
Special Hospital Team 3                                        																																
	FIRST			8	8.60		29	31.18		0	0.00		46	49.46		3	3.23		0	0.00		1	1.08		0	0.00		6	6.45		93	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		8	8.60		29	31.18		0	0.00		46	49.46		3	3.23					1	1.08		0	0.00		6	6.45		93	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00						Excluded		0	0.00		0	0.00		1	
		TOTAL		8	8.60		29	31.18		0	0.00		46	49.46		4	4.30								0	0.00		6	6.45		93	
	FOURTH			0	0.00		0	0.00			Excluded		0	0.00		0	0.00								0	0.00		0	0.00		0	
		TOTAL		8	8.60		29	31.18					46	49.46		4	4.30								0	0.00		6	6.45		93	
	FIFTH				Excluded		4	50.00					4	50.00		0	0.00								0	0.00		0	0.00		8	
		TOTAL					33	35.48					50	53.76		4	4.30								0	0.00		6	6.45		93	
	SIXTH						0	0.00					0	0.00		0	0.00									Excluded		0	0.00		0	
		TOTAL					33	35.48					50	53.76		4	4.30											6	6.45		93	
	SEVENTH						0	0.00					3	50.00		3	50.00												Excluded		6	
		TOTAL					33	35.48					53	56.99		7	7.53														93	
	EIGHTH						3	42.86					4	57.14			Excluded														7	
		TOTAL					36	38.71					57	61.29																	93	
													Elected																			
																																
ABSENT																																
	FIRST			425	8.12		1703	32.55		141	2.69		1576	30.12		532	10.17		26	0.50		107	2.05		424	8.10		298	5.70		5232	
	SECOND			2	7.69		9	34.62		1	3.85		3	11.54		3	11.54			Excluded		2	7.69		3	11.54		3	11.54		26	
		TOTAL		427	8.16		1712	32.72		142	2.71		1579	30.18		535	10.23					109	2.08		427	8.16		301	5.75		5232	
	THIRD			4	3.67		54	49.54		5	4.59		12	11.01		11	10.09						Excluded		17	15.60		6	5.50		109	
		TOTAL		431	8.24		1766	33.75		147	2.81		1591	30.41		546	10.44								444	8.49		307	5.87		5232	
	FOURTH			18	12.24		35	23.81			Excluded		26	17.69		33	22.45								26	17.69		9	6.12		147	
		TOTAL		449	8.58		1801	34.42					1617	30.91		579	11.07								470	8.98		316	6.04		5232	
	FIFTH				Excluded		160	35.63					177	39.42		52	11.58								23	5.12		37	8.24		449	
		TOTAL					1961	37.48					1794	34.29		631	12.06								493	9.42		353	6.75		5232	
	SIXTH						95	19.27					122	24.75		238	48.28									Excluded		38	7.71		493	
		TOTAL					2056	39.30					1916	36.62		869	16.61											391	7.47		5232	
	SEVENTH						134	34.27					89	22.76		168	42.97												Excluded		391	
		TOTAL					2190	41.86					2005	38.32		1037	19.82														5232	
	EIGHTH						363	35.00					674	65.00			Excluded														1037	
		TOTAL					2553	48.80					2679	51.20																	5232	
													Elected																			
																																
POSTAL																																
	FIRST			130	3.70		1124	31.99		57	1.62		1686	47.98		109	3.10		2	0.06		50	1.42		116	3.30		240	6.83		3514	
	SECOND			1	50.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		131	3.73		1125	32.01		57	1.62		1686	47.98		109	3.10					50	1.42		116	3.30		240	6.83		3514	
	THIRD			2	4.00		22	44.00		3	6.00		9	18.00		5	10.00						Excluded		5	10.00		4	8.00		50	
		TOTAL		133	3.78		1147	32.64		60	1.71		1695	48.24		114	3.24								121	3.44		244	6.94		3514	
	FOURTH			8	13.33		24	40.00			Excluded		12	20.00		7	11.67								6	10.00		3	5.00		60	
		TOTAL		141	4.01		1171	33.32					1707	48.58		121	3.44								127	3.61		247	7.03		3514	
	FIFTH				Excluded		40	28.37					70	49.65		16	11.35								4	2.84		11	7.80		141	
		TOTAL					1211	34.46					1777	50.57		137	3.90								131	3.73		258	7.34		3514	
	SIXTH						26	19.85					51	38.93		46	35.11									Excluded		8	6.11		131	
		TOTAL					1237	35.20					1828	52.02		183	5.21											266	7.57		3514	
	SEVENTH						107	40.23					74	27.82		85	31.95												Excluded		266	
		TOTAL					1344	38.25					1902	54.13		268	7.63														3514	
	EIGHTH						96	35.82					172	64.18			Excluded														268	
		TOTAL					1440	40.98					2074	59.02																	3514	
													Elected																			
																																
PRE POLL																																
	FIRST			102	3.34		1085	35.50		87	2.85		1039	34.00		265	8.67		8	0.26		55	1.80		245	8.02		170	5.56		3056	
