House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Parramatta																													
				BORGER			TONGSUMRITH			CAMERON			JONSSON			CLARK			WATSON			GEORGE			SATCHWELL				
	FIRST			1323	42.53		45	1.45		1380	44.36		46	1.48		119	3.83		6	0.19		86	2.76		106	3.41		3111	
	SECOND			0	0.00		0	0.00		1	16.67		1	16.67		2	33.33			Excluded		1	16.67		1	16.67		6	
		TOTAL		1323	42.53		45	1.45		1381	44.39		47	1.51		121	3.89					87	2.80		107	3.44		3111	
	THIRD			22	48.89			Excluded		8	17.78		4	8.89		8	17.78					2	4.44		1	2.22		45	
		TOTAL		1345	43.23					1389	44.65		51	1.64		129	4.15					89	2.86		108	3.47		3111	
	FOURTH			8	15.69					28	54.90			Excluded		6	11.76					5	9.80		4	7.84		51	
		TOTAL		1353	43.49					1417	45.55					135	4.34					94	3.02		112	3.60		3111	
	FIFTH			33	29.46					40	35.71					12	10.71					27	24.11			Excluded		112	
		TOTAL		1386	44.55					1457	46.83					147	4.73					121	3.89					3111	
	SIXTH			52	35.37					29	19.73						Excluded					66	44.90					147	
		TOTAL		1438	46.22					1486	47.77											187	6.01					3111	
	SEVENTH			124	66.31					63	33.69												Excluded					187	
		TOTAL		1562	50.21					1549	49.79																	3111	
										Elected																			
																													
PROVISIONAL																													
	FIRST			273	52.20		10	1.91		184	35.18		11	2.10		12	2.29		0	0.00		20	3.82		13	2.49		523	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		273	52.20		10	1.91		184	35.18		11	2.10		12	2.29					20	3.82		13	2.49		523	
	THIRD			7	70.00			Excluded		0	0.00		0	0.00		3	30.00					0	0.00		0	0.00		10	
		TOTAL		280	53.54					184	35.18		11	2.10		15	2.87					20	3.82		13	2.49		523	
	FOURTH			4	36.36					1	9.09			Excluded		5	45.45					1	9.09		0	0.00		11	
		TOTAL		284	54.30					185	35.37					20	3.82					21	4.02		13	2.49		523	
	FIFTH			2	15.38					5	38.46					1	7.69					5	38.46			Excluded		13	
		TOTAL		286	54.68					190	36.33					21	4.02					26	4.97					523	
	SIXTH			6	28.57					6	28.57						Excluded					9	42.86					21	
		TOTAL		292	55.83					196	37.48											35	6.69					523	
	SEVENTH			24	68.57					11	31.43												Excluded					35	
		TOTAL		316	60.42					207	39.58																	523	
										Elected																			
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
