House of Representatives - 2001 Election: New South Wales																									
Distribution of Preferences 																									
By Polling Place																									
																									
Calare																									
				MARSHALL			WATTS			ANDREN			SIMPSON			SHEARING			NIXON			KNOWLES			
		TOTAL					32	3.62		454	51.36					237	26.81		28	3.17		133	15.05		884
	FOURTH							Excluded		25	78.13					3	9.38		0	0.00		4	12.50		32
		TOTAL								479	54.19					240	27.15		28	3.17		137	15.50		884
	FIFTH									14	50.00					10	35.71			Excluded		4	14.29		28
		TOTAL								493	55.77					250	28.28					141	15.95		884
	SIXTH									118	83.69					23	16.31						Excluded		141
		TOTAL								611	69.12					273	30.88								884
										Elected															
																									
Orange South                                                   																									
	FIRST			18	1.05		30	1.76		959	56.11		4	0.23		381	22.29		64	3.74		253	14.80		1709
	SECOND			1	25.00		1	25.00		2	50.00			Excluded		0	0.00		0	0.00		0	0.00		4
		TOTAL		19	1.11		31	1.81		961	56.23					381	22.29		64	3.74		253	14.80		1709
	THIRD				Excluded		9	47.37		5	26.32					1	5.26		3	15.79		1	5.26		19
		TOTAL					40	2.34		966	56.52					382	22.35		67	3.92		254	14.86		1709
	FOURTH							Excluded		29	72.50					2	5.00		7	17.50		2	5.00		40
		TOTAL								995	58.22					384	22.47		74	4.33		256	14.98		1709
	FIFTH									36	48.65					17	22.97			Excluded		21	28.38		74
		TOTAL								1031	60.33					401	23.46					277	16.21		1709
	SIXTH									230	83.03					47	16.97						Excluded		277
		TOTAL								1261	73.79					448	26.21								1709
										Elected															
																									
Orange West                                                    																									
	FIRST			34	1.18		71	2.47		1429	49.76		5	0.17		904	31.48		83	2.89		346	12.05		2872
	SECOND			0	0.00		1	20.00		1	20.00			Excluded		2	40.00		0	0.00		1	20.00		5
		TOTAL		34	1.18		72	2.51		1430	49.79					906	31.55		83	2.89		347	12.08		2872
	THIRD				Excluded		15	44.12		8	23.53					7	20.59		1	2.94		3	8.82		34
		TOTAL					87	3.03		1438	50.07					913	31.79		84	2.92		350	12.19		2872
	FOURTH							Excluded		65	74.71					4	4.60		4	4.60		14	16.09		87
		TOTAL								1503	52.33					917	31.93		88	3.06		364	12.67		2872
	FIFTH									50	56.82					25	28.41			Excluded		13	14.77		88
		TOTAL								1553	54.07					942	32.80					377	13.13		2872
	SIXTH									316	83.82					61	16.18						Excluded		377
		TOTAL								1869	65.08					1003	34.92								2872
										Elected															
																									
Peel                                                           																									
	FIRST			1	0.89		4	3.57		66	58.93		0	0.00		26	23.21		7	6.25		8	7.14		112
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		1	0.89		4	3.57		66	58.93					26	23.21		7	6.25		8	7.14		112
	THIRD				Excluded		0	0.00		0	0.00					0	0.00		0	0.00		1	100.00		1
		TOTAL					4	3.57		66	58.93					26	23.21		7	6.25		9	8.04		112
	FOURTH							Excluded		3	75.00					0	0.00		0	0.00		1	25.00		4
		TOTAL								69	61.61					26	23.21		7	6.25		10	8.93		112
	FIFTH									6	85.71					1	14.29			Excluded		0	0.00		7
		TOTAL								75	66.96					27	24.11					10	8.93		112
	SIXTH									10	100.00					0	0.00						Excluded		10
		TOTAL								85	75.89					27	24.11								112
										Elected															
																									
Perthville                                                     																									
	FIRST			4	0.81		4	0.81		275	55.56		0	0.00		115	23.23		36	7.27		61	12.32		495
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		4	0.81		4	0.81		275	55.56					115	23.23		36	7.27		61	12.32		495
	THIRD				Excluded		2	50.00		1	25.00					0	0.00		1	25.00		0	0.00		4
		TOTAL					6	1.21		276	55.76					115	23.23		37	7.47		61	12.32		495
	FOURTH							Excluded		5	83.33					0	0.00		0	0.00		1	16.67		6
		TOTAL								281	56.77					115	23.23		37	7.47		62	12.53		495
	FIFTH									21	56.76					8	21.62			Excluded		8	21.62		37
		TOTAL								302	61.01					123	24.85					70	14.14		495
	SIXTH									61	87.14					9	12.86						Excluded		70
		TOTAL								363	73.33					132	26.67								495
										Elected															
																									
Portland                                                       																									
	FIRST			9	0.74		8	0.65		612	50.00		10	0.82		78	6.37		33	2.70		474	38.73		1224
	SECOND			3	30.00		1	10.00		4	40.00			Excluded		1	10.00		0	0.00		1	10.00		10
		TOTAL		12	0.98		9	0.74		616	50.33					79	6.45		33	2.70		475	38.81		1224
	THIRD				Excluded		3	25.00		6	50.00					2	16.67		0	0.00		1	8.33		12
		TOTAL					12	0.98		622	50.82					81	6.62		33	2.70		476	38.89		1224
	FOURTH							Excluded		9	75.00					1	8.33		0	0.00		2	16.67		12
		TOTAL								631	51.55					82	6.70		33	2.70		478	39.05		1224
	FIFTH									21	63.64					6	18.18			Excluded		6	18.18		33
		TOTAL								652	53.27					88	7.19					484	39.54		1224
	SIXTH									448	92.56					36	7.44						Excluded		484
		TOTAL								1100	89.87					124	10.13								1224
										Elected															
																									
Raglan                                                         																									
	FIRST			15	1.83		8	0.98		459	56.11		6	0.73		121	14.79		33	4.03		176	21.52		818
	SECOND			0	0.00		0	0.00		3	50.00			Excluded		0	0.00		2	33.33		1	16.67		6
		TOTAL		15	1.83		8	0.98		462	56.48					121	14.79		35	4.28		177	21.64		818
	THIRD				Excluded		3	20.00		5	33.33					2	13.33		2	13.33		3	20.00		15
		TOTAL					11	1.34		467	57.09					123	15.04		37	4.52		180	22.00		818
	FOURTH							Excluded		9	81.82					1	9.09		1	9.09		0	0.00		11
		TOTAL								476	58.19					124	15.16		38	4.65		180	22.00		818
	FIFTH									29	76.32					8	21.05			Excluded		1	2.63		38
		TOTAL								505	61.74					132	16.14					181	22.13		818
	SIXTH									165	91.16					16	8.84						Excluded		181
		TOTAL								670	81.91					148	18.09								818
										Elected															
																									
Rockley                                                        																									
	FIRST			2	0.82		1	0.41		118	48.56		1	0.41		50	20.58		20	8.23		51	20.99		243
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		2	0.82		1	0.41		119	48.97					50	20.58		20	8.23		51	20.99		243
	THIRD				Excluded		1	50.00		1	50.00					0	0.00		0	0.00		0	0.00		2
		TOTAL					2	0.82		120	49.38					50	20.58		20	8.23		51	20.99		243
	FOURTH							Excluded		2	100.00					0	0.00		0	0.00		0	0.00		2
		TOTAL								122	50.21					50	20.58		20	8.23		51	20.99		243
	FIFTH									14	70.00					5	25.00			Excluded		1	5.00		20
		TOTAL								136	55.97					55	22.63					52	21.40		243
	SIXTH									47	90.38					5	9.62						Excluded		52
		TOTAL								183	75.31					60	24.69								243
										Elected															
																									
Rydal                                                          																									
	FIRST			2	1.24		3	1.86		77	47.83		0	0.00		41	25.47		10	6.21		28	17.39		161
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	1.24		3	1.86		77	47.83					41	25.47		10	6.21		28	17.39		161
	THIRD				Excluded		1	50.00		1	50.00					0	0.00		0	0.00		0	0.00		2
		TOTAL					4	2.48		78	48.45					41	25.47		10	6.21		28	17.39		161
	FOURTH							Excluded		3	75.00					0	0.00		0	0.00		1	25.00		4
		TOTAL								81	50.31					41	25.47		10	6.21		29	18.01		161
	FIFTH									3	30.00					6	60.00			Excluded		1	10.00		10
		TOTAL								84	52.17					47	29.19					30	18.63		161
	SIXTH									29	96.67					1	3.33						Excluded		30
		TOTAL								113	70.19					48	29.81								161
										Elected															
																									
Sofala                                                         																									
	FIRST			0	0.00		0	0.00		55	62.50		0	0.00		16	18.18		4	4.55		13	14.77		88
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		0	0.00		55	62.50					16	18.18		4	4.55		13	14.77		88
	THIRD				Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0
		TOTAL					0	0.00		55	62.50					16	18.18		4	4.55		13	14.77		88
	FOURTH							Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0
		TOTAL								55	62.50					16	18.18		4	4.55		13	14.77		88
	FIFTH									2	50.00					1	25.00			Excluded		1	25.00		4
		TOTAL								57	64.77					17	19.32					14	15.91		88
	SIXTH									14	100.00					0	0.00						Excluded		14
		TOTAL								71	80.68					17	19.32								88
										Elected															
																									
Spring Hill                                                    																									
	FIRST			3	1.35		2	0.90		118	53.15		1	0.45		68	30.63		8	3.60		22	9.91		222
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		3	1.35		2	0.90		119	53.60					68	30.63		8	3.60		22	9.91		222
	THIRD				Excluded		1	33.33		1	33.33					0	0.00		0	0.00		1	33.33		3
		TOTAL					3	1.35		120	54.05					68	30.63		8	3.60		23	10.36		222
	FOURTH							Excluded		1	33.33					0	0.00		0	0.00		2	66.67		3
		TOTAL								121	54.50					68	30.63		8	3.60		25	11.26		222
	FIFTH									5	62.50					3	37.50			Excluded		0	0.00		8
		TOTAL								126	56.76					71	31.98					25	11.26		222
	SIXTH									21	84.00					4	16.00						Excluded		25
		TOTAL								147	66.22					75	33.78								222
										Elected															
																									
Spring Terrace                                                 																									
	FIRST			2	0.78		3	1.18		124	48.63		2	0.78		83	32.55		19	7.45		22	8.63		255
	SECOND			1	50.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00		0	0.00		2
		TOTAL		3	1.18		3	1.18		124	48.63					83	32.55		20	7.84		22	8.63		255
	THIRD				Excluded		1	33.33		0	0.00					0	0.00		2	66.67		0	0.00		3
		TOTAL					4	1.57		124	48.63					83	32.55		22	8.63		22	8.63		255
	FOURTH							Excluded		2	50.00					0	0.00		1	25.00		1	25.00		4
		TOTAL								126	49.41					83	32.55		23	9.02		23	9.02		255
	FIFTH									15	65.22					6	26.09			Excluded		2	8.70		23
		TOTAL								141	55.29					89	34.90					25	9.80		255
	SIXTH									21	84.00					4	16.00						Excluded		25
		TOTAL								162	63.53					93	36.47								255
										Elected															
																									
Sydney (Calare)                                                																									
	FIRST			0	0.00		1	3.03		17	51.52		0	0.00		8	24.24		2	6.06		5	15.15		33
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		1	3.03		17	51.52					8	24.24		2	6.06		5	15.15		33
	THIRD				Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0
		TOTAL					1	3.03		17	51.52					8	24.24		2	6.06		5	15.15		33
	FOURTH							Excluded		1	100.00					0	0.00		0	0.00		0	0.00		1
		TOTAL								18	54.55					8	24.24		2	6.06		5	15.15		33
	FIFTH									1	50.00					0	0.00			Excluded		1	50.00		2
		TOTAL								19	57.58					8	24.24					6	18.18		33
	SIXTH									5	83.33					1	16.67						Excluded		6
		TOTAL								24	72.73					9	27.27								33
										Elected															
																									
The Lagoon                                                     																									
	FIRST			0	0.00		2	1.87		48	44.86		0	0.00		36	33.64		6	5.61		15	14.02		107
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		2	1.87		48	44.86					36	33.64		6	5.61		15	14.02		107
	THIRD				Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0
		TOTAL					2	1.87		48	44.86					36	33.64		6	5.61		15	14.02		107
	FOURTH							Excluded		0	0.00					0	0.00		1	50.00		1	50.00		2
		TOTAL								48	44.86					36	33.64		7	6.54		16	14.95		107
	FIFTH									2	28.57					4	57.14			Excluded		1	14.29		7
		TOTAL								50	46.73					40	37.38					17	15.89		107
	SIXTH									13	76.47					4	23.53						Excluded		17
		TOTAL								63	58.88					44	41.12								107
										Elected															
																									
Trunkey                                                        																									
	FIRST			1	0.70		2	1.41		68	47.89		1	0.70		50	35.21		5	3.52		15	10.56		142
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1
		TOTAL		1	0.70		2	1.41		68	47.89					51	35.92		5	3.52		15	10.56		142
	THIRD				Excluded		0	0.00		0	0.00					0	0.00		0	0.00		1	100.00		1
		TOTAL					2	1.41		68	47.89					51	35.92		5	3.52		16	11.27		142
	FOURTH							Excluded		0	0.00					1	50.00		1	50.00		0	0.00		2
		TOTAL								68	47.89					52	36.62		6	4.23		16	11.27		142
	FIFTH									5	83.33					0	0.00			Excluded		1	16.67		6
		TOTAL								73	51.41					52	36.62					17	11.97		142
	SIXTH									15	88.24					2	11.76						Excluded		17
		TOTAL								88	61.97					54	38.03								142
										Elected															
																									
Tweed Mills                                                    																									
	FIRST			15	1.86		10	1.24		382	47.45		3	0.37		57	7.08		26	3.23		312	38.76		805
	SECOND			0	0.00		0	0.00		2	66.67			Excluded		1	33.33		0	0.00		0	0.00		3
		TOTAL		15	1.86		10	1.24		384	47.70					58	7.20		26	3.23		312	38.76		805
	THIRD				Excluded		8	53.33		2	13.33					0	0.00		1	6.67		4	26.67		15
		TOTAL					18	2.24		386	47.95					58	7.20		27	3.35		316	39.25		805
	FOURTH							Excluded		11	61.11					2	11.11		1	5.56		4	22.22		18
		TOTAL								397	49.32					60	7.45		28	3.48		320	39.75		805
	FIFTH									10	35.71					10	35.71			Excluded		8	28.57		28
		TOTAL								407	50.56					70	8.70					328	40.75		805
	SIXTH									291	88.72					37	11.28						Excluded		328
		TOTAL								698	86.71					107	13.29								805
										Elected															
																									
Vale Of Clwydd                                                 																									
	FIRST			4	0.63		8	1.27		353	56.03		2	0.32		54	8.57		28	4.44		181	28.73		630
	SECOND			0	0.00		0	0.00		2	100.00			Excluded		0	0.00		0	0.00		0	0.00		2
		TOTAL		4	0.63		8	1.27		355	56.35					54	8.57		28	4.44		181	28.73		630
	THIRD				Excluded		2	50.00		2	50.00					0	0.00		0	0.00		0	0.00		4
		TOTAL					10	1.59		357	56.67					54	8.57		28	4.44		181	28.73		630
	FOURTH							Excluded		7	70.00					1	10.00		1	10.00		1	10.00		10
		TOTAL								364	57.78					55	8.73		29	4.60		182	28.89		630
	FIFTH									12	41.38					8	27.59			Excluded		9	31.03		29
		TOTAL								376	59.68					63	10.00					191	30.32		630
	SIXTH									175	91.62					16	8.38						Excluded		191
		TOTAL								551	87.46					79	12.54								630
										Elected															
																									
Wallerawang                                                    																									
	FIRST			16	1.33		7	0.58		644	53.36		2	0.17		112	9.28		35	2.90		391	32.39		1207
	SECOND			1	50.00		1	50.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		2
		TOTAL		17	1.41		8	0.66		644	53.36					112	9.28		35	2.90		391	32.39		1207
	THIRD				Excluded		10	58.82		4	23.53					2	11.76		0	0.00		1	5.88		17
		TOTAL					18	1.49		648	53.69					114	9.44		35	2.90		392	32.48		1207
	FOURTH							Excluded		17	94.44					0	0.00		0	0.00		1	5.56		18
		TOTAL								665	55.10					114	9.44		35	2.90		393	32.56		1207
	FIFTH									21	60.00					8	22.86			Excluded		6	17.14		35
		TOTAL								686	56.84					122	10.11					399	33.06		1207
	SIXTH									371	92.98					28	7.02						Excluded		399
		TOTAL								1057	87.57					150	12.43								1207
										Elected															
																									
Wattle Flat                                                    																									
	FIRST			0	0.00		2	1.23		100	61.35		1	0.61		22	13.50		8	4.91		30	18.40		163
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1
		TOTAL		0	0.00		2	1.23		100	61.35					22	13.50		9	5.52		30	18.40		163
	THIRD				Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0
		TOTAL					2	1.23		100	61.35					22	13.50		9	5.52		30	18.40		163
	FOURTH							Excluded		2	100.00					0	0.00		0	0.00		0	0.00		2
		TOTAL								102	62.58					22	13.50		9	5.52		30	18.40		163
	FIFTH									5	55.56					2	22.22			Excluded		2	22.22		9
		TOTAL								107	65.64					24	14.72					32	19.63		163
	SIXTH									27	84.38					5	15.63						Excluded		32
		TOTAL								134	82.21					29	17.79								163
										Elected															
																									
Woodstock                                                      																									
	FIRST			5	1.48		1	0.30		133	39.47		0	0.00		103	30.56		26	7.72		69	20.47		337
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		5	1.48		1	0.30		133	39.47					103	30.56		26	7.72		69	20.47		337
	THIRD				Excluded		2	40.00		3	60.00					0	0.00		0	0.00		0	0.00		5
		TOTAL					3	0.89		136	40.36					103	30.56		26	7.72		69	20.47		337
	FOURTH							Excluded		3	100.00					0	0.00		0	0.00		0	0.00		3
		TOTAL								139	41.25					103	30.56		26	7.72		69	20.47		337
	FIFTH									19	73.08					0	0.00			Excluded		7	26.92		26
		TOTAL								158	46.88					103	30.56					76	22.55		337
	SIXTH									62	81.58					14	18.42						Excluded		76
		TOTAL								220	65.28					117	34.72								337
										Elected															
																									
Wyangala Dam                                                   																									
	FIRST			3	1.95		0	0.00		81	52.60		0	0.00		31	20.13		7	4.55		32	20.78		154
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		3	1.95		0	0.00		81	52.60					31	20.13		7	4.55		32	20.78		154
	THIRD				Excluded		0	0.00		3	100.00					0	0.00		0	0.00		0	0.00		3
		TOTAL					0	0.00		84	54.55					31	20.13		7	4.55		32	20.78		154
	FOURTH							Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0
		TOTAL								84	54.55					31	20.13		7	4.55		32	20.78		154
	FIFTH									2	28.57					1	14.29			Excluded		4	57.14		7
		TOTAL								86	55.84					32	20.78					36	23.38		154
	SIXTH									31	86.11					5	13.89						Excluded		36
		TOTAL								117	75.97					37	24.03								154
										Elected															
																									
Yeoval                                                         																									
	FIRST			2	0.59		0	0.00		142	42.14		1	0.30		120	35.61		12	3.56		60	17.80		337
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1
		TOTAL		2	0.59		0	0.00		142	42.14					121	35.91		12	3.56		60	17.80		337
	THIRD				Excluded		1	50.00		1	50.00					0	0.00		0	0.00		0	0.00		2
		TOTAL					1	0.30		143	42.43					121	35.91		12	3.56		60	17.80		337
	FOURTH							Excluded		1	100.00					0	0.00		0	0.00		0	0.00		1
		TOTAL								144	42.73					121	35.91		12	3.56		60	17.80		337
	FIFTH									5	41.67					5	41.67			Excluded		2	16.67		12
		TOTAL								149	44.21					126	37.39					62	18.40		337
	SIXTH									59	95.16					3	4.84						Excluded		62
		TOTAL								208	61.72					129	38.28								337
										Elected															
																									
Special Hospital Team 1                                        																									
	FIRST			8	3.67		1	0.46		117	53.67		2	0.92		54	24.77		2	0.92		34	15.60		218
	SECOND			0	0.00		0	0.00		1	50.00			Excluded		1	50.00		0	0.00		0	0.00		2
		TOTAL		8	3.67		1	0.46		118	54.13					55	25.23		2	0.92		34	15.60		218
	THIRD				Excluded		3	37.50		4	50.00					1	12.50		0	0.00		0	0.00		8
		TOTAL					4	1.83		122	55.96					56	25.69		2	0.92		34	15.60		218
	FOURTH							Excluded		3	75.00					0	0.00		0	0.00		1	25.00		4
		TOTAL								125	57.34					56	25.69		2	0.92		35	16.06		218
	FIFTH									1	50.00					1	50.00			Excluded		0	0.00		2
		TOTAL								126	57.80					57	26.15					35	16.06		218
	SIXTH									28	80.00					7	20.00						Excluded		35
		TOTAL								154	70.64					64	29.36								218
										Elected															
																									
Special Hospital Team 2                                        																									
	FIRST			6	5.26		1	0.88		67	58.77		3	2.63		15	13.16		0	0.00		22	19.30		114
	SECOND			0	0.00		0	0.00		2	66.67			Excluded		1	33.33		0	0.00		0	0.00		3
		TOTAL		6	5.26		1	0.88		69	60.53					16	14.04		0	0.00		22	19.30		114
	THIRD				Excluded		5	83.33		1	16.67					0	0.00		0	0.00		0	0.00		6
		TOTAL					6	5.26		70	61.40					16	14.04		0	0.00		22	19.30		114
	FOURTH							Excluded		6	100.00					0	0.00		0	0.00		0	0.00		6
		TOTAL								76	66.67					16	14.04		0	0.00		22	19.30		114
	FIFTH									0	0.00					0	0.00			Excluded		0	0.00		0
		TOTAL								76	66.67					16	14.04					22	19.30		114
	SIXTH									21	95.45					1	4.55						Excluded		22
		TOTAL								97	85.09					17	14.91								114
										Elected															
																									
Special Hospital Team 3                                        																									
	FIRST			1	2.78		2	5.56		24	66.67		0	0.00		2	5.56		1	2.78		6	16.67		36
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		1	2.78		2	5.56		24	66.67					2	5.56		1	2.78		6	16.67		36
	THIRD				Excluded		0	0.00		1	100.00					0	0.00		0	0.00		0	0.00		1
		TOTAL					2	5.56		25	69.44					2	5.56		1	2.78		6	16.67		36
	FOURTH							Excluded		1	50.00					0	0.00		1	50.00		0	0.00		2
		TOTAL								26	72.22					2	5.56		2	5.56		6	16.67		36
	FIFTH									0	0.00					0	0.00			Excluded		2	100.00		2
		TOTAL								26	72.22					2	5.56					8	22.22		36
	SIXTH									3	37.50					5	62.50						Excluded		8
		TOTAL								29	80.56					7	19.44								36
										Elected															
																									
Special Hospital Team 4                                        																									
	FIRST			7	6.31		1	0.90		50	45.05		0	0.00		36	32.43		1	0.90		16	14.41		111
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		7	6.31		1	0.90		50	45.05					36	32.43		1	0.90		16	14.41		111
	THIRD				Excluded		7	100.00		0	0.00					0	0.00		0	0.00		0	0.00		7
		TOTAL					8	7.21		50	45.05					36	32.43		1	0.90		16	14.41		111
	FOURTH							Excluded		8	100.00					0	0.00		0	0.00		0	0.00		8
		TOTAL								58	52.25					36	32.43		1	0.90		16	14.41		111
	FIFTH									1	100.00					0	0.00			Excluded		0	0.00		1
		TOTAL								59	53.15					36	32.43					16	14.41		111
	SIXTH									12	75.00					4	25.00						Excluded		16
		TOTAL								71	63.96					40	36.04								111
										Elected															
																									
Special Hospital Team 5                                        																									
	FIRST			5	8.93		0	0.00		29	51.79		0	0.00		3	5.36		0	0.00		19	33.93		56
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		5	8.93		0	0.00		29	51.79					3	5.36		0	0.00		19	33.93		56
	THIRD				Excluded		3	60.00		2	40.00					0	0.00		0	0.00		0	0.00		5
		TOTAL					3	5.36		31	55.36					3	5.36		0	0.00		19	33.93		56
	FOURTH							Excluded		3	100.00					0	0.00		0	0.00		0	0.00		3
		TOTAL								34	60.71					3	5.36		0	0.00		19	33.93		56
	FIFTH									0	0.00					0	0.00			Excluded		0	0.00		0
		TOTAL								34	60.71					3	5.36					19	33.93		56
	SIXTH									13	68.42					6	31.58						Excluded		19
		TOTAL								47	83.93					9	16.07								56
										Elected															
																									
Special Hospital Team 6                                        																									
	FIRST			0	0.00		0	0.00		6	28.57		0	0.00		6	28.57		1	4.76		8	38.10		21
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		0	0.00		6	28.57					6	28.57		1	4.76		8	38.10		21
	THIRD				Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0
		TOTAL					0	0.00		6	28.57					6	28.57		1	4.76		8	38.10		21
	FOURTH							Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0
		TOTAL								6	28.57					6	28.57		1	4.76		8	38.10		21
	FIFTH									0	0.00					0	0.00			Excluded		1	100.00		1
		TOTAL								6	28.57					6	28.57					9	42.86		21
	SIXTH									4	44.44					5	55.56						Excluded		9
		TOTAL								10	47.62					11	52.38								21
										Elected															
																									
Prison Mobile Team 1                                           																									
	FIRST			0	0.00		0	0.00		0	0.00		0	0.00		1	20.00		0	0.00		4	80.00		5
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		0	0.00		0	0.00					1	20.00		0	0.00		4	80.00		5
	THIRD				Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0
		TOTAL					0	0.00		0	0.00					1	20.00		0	0.00		4	80.00		5
	FOURTH							Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0
		TOTAL								0	0.00					1	20.00		0	0.00		4	80.00		5
	FIFTH									0	0.00					0	0.00			Excluded		0	0.00		0
		TOTAL								0	0.00					1	20.00					4	80.00		5
	SIXTH									4	100.00					0	0.00						Excluded		4
		TOTAL								4	80.00					1	20.00								5
										Elected															
																									
ABSENT																									
	FIRST			153	3.57		141	3.29		2099	48.92		33	0.77		924	21.53		199	4.64		742	17.29		4291
	SECOND			2	6.06		8	24.24		11	33.33			Excluded		4	12.12		3	9.09		5	15.15		33
		TOTAL		155	3.61		149	3.47		2110	49.17					928	21.63		202	4.71		747	17.41		4291
	THIRD				Excluded		67	43.23		48	30.97					14	9.03		4	2.58		22	14.19		155
		TOTAL					216	5.03		2158	50.29					942	21.95		206	4.80		769	17.92		4291
	FOURTH							Excluded		138	63.89					23	10.65		12	5.56		43	19.91		216
		TOTAL								2296	53.51					965	22.49		218	5.08		812	18.92		4291
	FIFTH									98	44.95					61	27.98			Excluded		59	27.06		218
		TOTAL								2394	55.79					1026	23.91					871	20.30		4291
	SIXTH									658	75.55					213	24.45						Excluded		871
		TOTAL								3052	71.13					1239	28.87								4291
										Elected															
																									
POSTAL																									
	FIRST			20	0.83		34	1.42		1226	51.06		1	0.04		518	21.57		105	4.37		497	20.70		2401
	SECOND			1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		21	0.87		34	1.42		1226	51.06					518	21.57		105	4.37		497	20.70		2401
	THIRD				Excluded		6	28.57		10	47.62					2	9.52		1	4.76		2	9.52		21
		TOTAL					40	1.67		1236	51.48					520	21.66		106	4.41		499	20.78		2401
	FOURTH							Excluded		29	72.50					2	5.00		2	5.00		7	17.50		40
		TOTAL								1265	52.69					522	21.74		108	4.50		506	21.07		2401
	FIFTH									57	52.78					27	25.00			Excluded		24	22.22		108
		TOTAL								1322	55.06					549	22.87					530	22.07		2401
	SIXTH									467	88.11					63	11.89						Excluded		530
		TOTAL								1789	74.51					612	25.49								2401
										Elected															
																									
PRE POLL																									
	FIRST			96	1.91		80	1.59		2605	51.84		16	0.32		1069	21.27		221	4.40		938	18.67		5025
	SECOND			2	12.50		1	6.25		2	12.50			Excluded		5	31.25		5	31.25		1	6.25		16
		TOTAL		98	1.95		81	1.61		2607	51.88					1074	21.37		226	4.50		939	18.69		5025
	THIRD				Excluded		40	40.82		27	27.55					14	14.29		2	2.04		15	15.31		98
		TOTAL					121	2.41		2634	52.42					1088	21.65		228	4.54		954	18.99		5025
	FOURTH							Excluded		77	63.64					13	10.74		4	3.31		27	22.31		121
		TOTAL								2711	53.95					1101	21.91		232	4.62		981	19.52		5025
	FIFTH									125	53.88					66	28.45			Excluded		41	17.67		232
		TOTAL								2836	56.44					1167	23.22					1022	20.34		5025
	SIXTH									878	85.91					144	14.09						Excluded		1022
		TOTAL								3714	73.91					1311	26.09								5025
										Elected															
																									
PROVISIONAL																									
	FIRST			20	2.86		15	2.15		352	50.36		5	0.72		83	11.87		22	3.15		202	28.90		699
	SECOND			0	0.00		0	0.00		3	60.00			Excluded		1	20.00		0	0.00		1	20.00		5
		TOTAL		20	2.86		15	2.15		355	50.79					84	12.02		22	3.15		203	29.04		699
	THIRD				Excluded		9	45.00		7	35.00					2	10.00		0	0.00		2	10.00		20
		TOTAL					24	3.43		362	51.79					86	12.30		22	3.15		205	29.33		699
	FOURTH							Excluded		16	66.67					2	8.33		2	8.33		4	16.67		24
		TOTAL								378	54.08					88	12.59		24	3.43		209	29.90		699
	FIFTH									9	37.50					6	25.00			Excluded		9	37.50		24
		TOTAL								387	55.36					94	13.45					218	31.19		699
	SIXTH									166	76.15					52	23.85						Excluded		218
		TOTAL								553	79.11					146	20.89								699
										Elected															
																									
