House of Representatives - 2001 Election: New South Wales																																		
Distribution of Preferences 																																		
By Polling Place																																		
																																		
Eden-Monaro																																		
				WHAN			CHAPMAN			PHILLIPS			BEAUMONT			SWIFT			VLUG			URQUHART			COCHRAN			NAIRN			BRIDGES			
	EIGHTH			3	33.33									Excluded											4	44.44		2	22.22					9
		TOTAL		157	58.36																				31	11.52		81	30.11					269
	NINTH			13	41.94																					Excluded		18	58.06					31
		TOTAL		170	63.20																							99	36.80					269
																												Elected						
																																		
Long Beach                                                     																																		
	FIRST			117	36.11		5	1.54		11	3.40		18	5.56		1	0.31		0	0.00		0	0.00		23	7.10		132	40.74		17	5.25		324
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		117	36.11		5	1.54		11	3.40		18	5.56		1	0.31					0	0.00		23	7.10		132	40.74		17	5.25		324
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		117	36.11		5	1.54		11	3.40		18	5.56								1	0.31		23	7.10		132	40.74		17	5.25		324
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		1	100.00		0	0.00		0	0.00		1
		TOTAL		117	36.11		5	1.54		11	3.40		18	5.56											24	7.41		132	40.74		17	5.25		324
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											2	18.18		7	63.64		2	18.18		11
		TOTAL		117	36.11		5	1.54					18	5.56											26	8.02		139	42.90		19	5.86		324
	SIXTH			3	60.00			Excluded					2	40.00											0	0.00		0	0.00		0	0.00		5
		TOTAL		120	37.04								20	6.17											26	8.02		139	42.90		19	5.86		324
	SEVENTH			3	15.79								3	15.79											9	47.37		4	21.05			Excluded		19
		TOTAL		123	37.96								23	7.10											35	10.80		143	44.14					324
	EIGHTH			15	65.22									Excluded											3	13.04		5	21.74					23
		TOTAL		138	42.59																				38	11.73		148	45.68					324
	NINTH			13	34.21																					Excluded		25	65.79					38
		TOTAL		151	46.60																							173	53.40					324
																												Elected						
																																		
Majors Creek                                                   																																		
	FIRST			54	48.21		3	2.68		2	1.79		5	4.46		1	0.89		0	0.00		0	0.00		15	13.39		30	26.79		2	1.79		112
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		54	48.21		3	2.68		2	1.79		5	4.46		1	0.89					0	0.00		15	13.39		30	26.79		2	1.79		112
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		54	48.21		3	2.68		2	1.79		6	5.36								0	0.00		15	13.39		30	26.79		2	1.79		112
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		54	48.21		3	2.68		2	1.79		6	5.36											15	13.39		30	26.79		2	1.79		112
	FIFTH			0	0.00		1	50.00			Excluded		0	0.00											0	0.00		1	50.00		0	0.00		2
		TOTAL		54	48.21		4	3.57					6	5.36											15	13.39		31	27.68		2	1.79		112
	SIXTH			0	0.00			Excluded					2	50.00											1	25.00		1	25.00		0	0.00		4
		TOTAL		54	48.21								8	7.14											16	14.29		32	28.57		2	1.79		112
	SEVENTH			1	50.00								0	0.00											1	50.00		0	0.00			Excluded		2
		TOTAL		55	49.11								8	7.14											17	15.18		32	28.57					112
	EIGHTH			4	50.00									Excluded											3	37.50		1	12.50					8
		TOTAL		59	52.68																				20	17.86		33	29.46					112
	NINTH			4	20.00																					Excluded		16	80.00					20
		TOTAL		63	56.25																							49	43.75					112
																												Elected						
																																		
Malua Bay                                                      																																		
	FIRST			306	33.63		27	2.97		9	0.99		33	3.63		3	0.33		0	0.00		1	0.11		35	3.85		460	50.55		36	3.96		910
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		306	33.63		27	2.97		9	0.99		33	3.63		3	0.33					1	0.11		35	3.85		460	50.55		36	3.96		910
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		2	66.67		1	33.33		0	0.00		3
		TOTAL		306	33.63		27	2.97		9	0.99		33	3.63								1	0.11		37	4.07		461	50.66		36	3.96		910
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		1	100.00		1
		TOTAL		306	33.63		27	2.97		9	0.99		33	3.63											37	4.07		461	50.66		37	4.07		910
	FIFTH			3	33.33		1	11.11			Excluded		1	11.11											1	11.11		3	33.33		0	0.00		9
		TOTAL		309	33.96		28	3.08					34	3.74											38	4.18		464	50.99		37	4.07		910
	SIXTH			8	28.57			Excluded					16	57.14											1	3.57		3	10.71		0	0.00		28
		TOTAL		317	34.84								50	5.49											39	4.29		467	51.32		37	4.07		910
	SEVENTH			9	24.32								1	2.70											15	40.54		12	32.43			Excluded		37
		TOTAL		326	35.82								51	5.60											54	5.93		479	52.64					910
	EIGHTH			41	80.39									Excluded											5	9.80		5	9.80					51
		TOTAL		367	40.33																				59	6.48		484	53.19					910
	NINTH			17	28.81																					Excluded		42	71.19					59
		TOTAL		384	42.20																							526	57.80					910
																												Elected						
																																		
Merimbula                                                      																																		
	FIRST			616	30.02		42	2.05		7	0.34		107	5.21		1	0.05		0	0.00		1	0.05		113	5.51		1112	54.19		53	2.58		2052
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		616	30.02		42	2.05		7	0.34		107	5.21		1	0.05					1	0.05		113	5.51		1112	54.19		53	2.58		2052
	THIRD			1	100.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		617	30.07		42	2.05		7	0.34		107	5.21								1	0.05		113	5.51		1112	54.19		53	2.58		2052
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		1	100.00		0	0.00		1
		TOTAL		617	30.07		42	2.05		7	0.34		107	5.21											113	5.51		1113	54.24		53	2.58		2052
	FIFTH			3	42.86		0	0.00			Excluded		1	14.29											1	14.29		2	28.57		0	0.00		7
		TOTAL		620	30.21		42	2.05					108	5.26											114	5.56		1115	54.34		53	2.58		2052
	SIXTH			14	33.33			Excluded					17	40.48											4	9.52		5	11.90		2	4.76		42
		TOTAL		634	30.90								125	6.09											118	5.75		1120	54.58		55	2.68		2052
	SEVENTH			14	25.45								5	9.09											25	45.45		11	20.00			Excluded		55
		TOTAL		648	31.58								130	6.34											143	6.97		1131	55.12					2052
	EIGHTH			99	76.15									Excluded											18	13.85		13	10.00					130
		TOTAL		747	36.40																				161	7.85		1144	55.75					2052
	NINTH			51	31.68																					Excluded		110	68.32					161
		TOTAL		798	38.89																							1254	61.11					2052
																												Elected						
																																		
Michelago                                                      																																		
	FIRST			54	23.89		11	4.87		2	0.88		11	4.87		1	0.44		0	0.00		0	0.00		61	26.99		78	34.51		8	3.54		226
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		54	23.89		11	4.87		2	0.88		11	4.87		1	0.44					0	0.00		61	26.99		78	34.51		8	3.54		226
	THIRD			0	0.00		0	0.00		1	100.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		54	23.89		11	4.87		3	1.33		11	4.87								0	0.00		61	26.99		78	34.51		8	3.54		226
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		54	23.89		11	4.87		3	1.33		11	4.87											61	26.99		78	34.51		8	3.54		226
	FIFTH			1	33.33		1	33.33			Excluded		0	0.00											0	0.00		1	33.33		0	0.00		3
		TOTAL		55	24.34		12	5.31					11	4.87											61	26.99		79	34.96		8	3.54		226
	SIXTH			3	25.00			Excluded					2	16.67											5	41.67		2	16.67		0	0.00		12
		TOTAL		58	25.66								13	5.75											66	29.20		81	35.84		8	3.54		226
	SEVENTH			0	0.00								0	0.00											6	75.00		2	25.00			Excluded		8
		TOTAL		58	25.66								13	5.75											72	31.86		83	36.73					226
	EIGHTH			10	76.92									Excluded											3	23.08		0	0.00					13
		TOTAL		68	30.09																				75	33.19		83	36.73					226
	NINTH			17	22.67																					Excluded		58	77.33					75
		TOTAL		85	37.61																							141	62.39					226
																												Elected						
																																		
Mogo                                                           																																		
	FIRST			137	36.53		22	5.87		5	1.33		41	10.93		1	0.27		2	0.53		2	0.53		21	5.60		125	33.33		19	5.07		375
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		137	36.53		22	5.87		5	1.33		41	10.93		1	0.27					4	1.07		21	5.60		125	33.33		19	5.07		375
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		137	36.53		22	5.87		5	1.33		41	10.93								5	1.33		21	5.60		125	33.33		19	5.07		375
	FOURTH			1	20.00		0	0.00		1	20.00		1	20.00									Excluded		2	40.00		0	0.00		0	0.00		5
		TOTAL		138	36.80		22	5.87		6	1.60		42	11.20											23	6.13		125	33.33		19	5.07		375
	FIFTH			1	16.67		1	16.67			Excluded		0	0.00											1	16.67		1	16.67		2	33.33		6
		TOTAL		139	37.07		23	6.13					42	11.20											24	6.40		126	33.60		21	5.60		375
	SIXTH			9	39.13			Excluded					12	52.17											1	4.35		0	0.00		1	4.35		23
		TOTAL		148	39.47								54	14.40											25	6.67		126	33.60		22	5.87		375
	SEVENTH			2	9.09								5	22.73											9	40.91		6	27.27			Excluded		22
		TOTAL		150	40.00								59	15.73											34	9.07		132	35.20					375
	EIGHTH			48	81.36									Excluded											7	11.86		4	6.78					59
		TOTAL		198	52.80																				41	10.93		136	36.27					375
	NINTH			16	39.02																					Excluded		25	60.98					41
		TOTAL		214	57.07																							161	42.93					375
																												Elected						
																																		
Moruya                                                         																																		
	FIRST			1052	38.91		78	2.88		39	1.44		171	6.32		8	0.30		2	0.07		10	0.37		229	8.47		969	35.84		146	5.40		2704
	SECOND			1	50.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		1053	38.94		78	2.88		40	1.48		171	6.32		8	0.30					10	0.37		229	8.47		969	35.84		146	5.40		2704
	THIRD			0	0.00		1	12.50		0	0.00		2	25.00			Excluded					2	25.00		2	25.00		0	0.00		1	12.50		8
		TOTAL		1053	38.94		79	2.92		40	1.48		173	6.40								12	0.44		231	8.54		969	35.84		147	5.44		2704
	FOURTH			3	25.00		0	0.00		5	41.67		0	0.00									Excluded		4	33.33		0	0.00		0	0.00		12
		TOTAL		1056	39.05		79	2.92		45	1.66		173	6.40											235	8.69		969	35.84		147	5.44		2704
	FIFTH			11	24.44		1	2.22			Excluded		1	2.22											5	11.11		24	53.33		3	6.67		45
		TOTAL		1067	39.46		80	2.96					174	6.43											240	8.88		993	36.72		150	5.55		2704
	SIXTH			20	25.00			Excluded					45	56.25											7	8.75		7	8.75		1	1.25		80
		TOTAL		1087	40.20								219	8.10											247	9.13		1000	36.98		151	5.58		2704
	SEVENTH			36	23.84								7	4.64											77	50.99		31	20.53			Excluded		151
		TOTAL		1123	41.53								226	8.36											324	11.98		1031	38.13					2704
	EIGHTH			190	84.07									Excluded											26	11.50		10	4.42					226
		TOTAL		1313	48.56																				350	12.94		1041	38.50					2704
	NINTH			97	27.71																					Excluded		253	72.29					350
		TOTAL		1410	52.14																							1294	47.86					2704
																												Elected						
																																		
Narooma                                                        																																		
	FIRST			673	36.42		46	2.49		41	2.22		81	4.38		1	0.05		0	0.00		57	3.08		86	4.65		770	41.67		93	5.03		1848
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		673	36.42		46	2.49		41	2.22		81	4.38		1	0.05					57	3.08		86	4.65		770	41.67		93	5.03		1848
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		673	36.42		46	2.49		41	2.22		81	4.38								58	3.14		86	4.65		770	41.67		93	5.03		1848
	FOURTH			12	20.69		1	1.72		21	36.21		5	8.62									Excluded		7	12.07		11	18.97		1	1.72		58
		TOTAL		685	37.07		47	2.54		62	3.35		86	4.65											93	5.03		781	42.26		94	5.09		1848
	FIFTH			24	38.71		1	1.61			Excluded		1	1.61											5	8.06		25	40.32		6	9.68		62
		TOTAL		709	38.37		48	2.60					87	4.71											98	5.30		806	43.61		100	5.41		1848
	SIXTH			16	33.33			Excluded					25	52.08											2	4.17		4	8.33		1	2.08		48
		TOTAL		725	39.23								112	6.06											100	5.41		810	43.83		101	5.47		1848
	SEVENTH			19	18.81								6	5.94											45	44.55		31	30.69			Excluded		101
		TOTAL		744	40.26								118	6.39											145	7.85		841	45.51					1848
	EIGHTH			97	82.20									Excluded											10	8.47		11	9.32					118
		TOTAL		841	45.51																				155	8.39		852	46.10					1848
	NINTH			42	27.10																					Excluded		113	72.90					155
		TOTAL		883	47.78																							965	52.22					1848
																												Elected						
																																		
Nelligen                                                       																																		
	FIRST			75	30.74		4	1.64		2	0.82		16	6.56		0	0.00		0	0.00		2	0.82		28	11.48		101	41.39		16	6.56		244
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		75	30.74		4	1.64		2	0.82		16	6.56		0	0.00					2	0.82		28	11.48		101	41.39		16	6.56		244
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		75	30.74		4	1.64		2	0.82		16	6.56								2	0.82		28	11.48		101	41.39		16	6.56		244
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		1	50.00		0	0.00		1	50.00		2
		TOTAL		75	30.74		4	1.64		2	0.82		16	6.56											29	11.89		101	41.39		17	6.97		244
	FIFTH			1	50.00		0	0.00			Excluded		0	0.00											0	0.00		1	50.00		0	0.00		2
		TOTAL		76	31.15		4	1.64					16	6.56											29	11.89		102	41.80		17	6.97		244
	SIXTH			0	0.00			Excluded					3	75.00											0	0.00		1	25.00		0	0.00		4
		TOTAL		76	31.15								19	7.79											29	11.89		103	42.21		17	6.97		244
	SEVENTH			2	11.76								2	11.76											10	58.82		3	17.65			Excluded		17
		TOTAL		78	31.97								21	8.61											39	15.98		106	43.44					244
	EIGHTH			13	61.90									Excluded											6	28.57		2	9.52					21
		TOTAL		91	37.30																				45	18.44		108	44.26					244
	NINTH			9	20.00																					Excluded		36	80.00					45
		TOTAL		100	40.98																							144	59.02					244
																												Elected						
																																		
Nimmitabel                                                     																																		
	FIRST			97	32.01		3	0.99		1	0.33		14	4.62		2	0.66		0	0.00		1	0.33		18	5.94		149	49.17		18	5.94		303
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		97	32.01		3	0.99		1	0.33		14	4.62		2	0.66					1	0.33		18	5.94		149	49.17		18	5.94		303
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		2	100.00		0	0.00		2
		TOTAL		97	32.01		3	0.99		1	0.33		14	4.62								1	0.33		18	5.94		151	49.83		18	5.94		303
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		1	100.00		1
		TOTAL		97	32.01		3	0.99		1	0.33		14	4.62											18	5.94		151	49.83		19	6.27		303
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											0	0.00		1	100.00		0	0.00		1
		TOTAL		97	32.01		3	0.99					14	4.62											18	5.94		152	50.17		19	6.27		303
	SIXTH			0	0.00			Excluded					2	66.67											0	0.00		1	33.33		0	0.00		3
		TOTAL		97	32.01								16	5.28											18	5.94		153	50.50		19	6.27		303
	SEVENTH			2	10.53								2	10.53											8	42.11		7	36.84			Excluded		19
		TOTAL		99	32.67								18	5.94											26	8.58		160	52.81					303
	EIGHTH			13	72.22									Excluded											2	11.11		3	16.67					18
		TOTAL		112	36.96																				28	9.24		163	53.80					303
	NINTH			10	35.71																					Excluded		18	64.29					28
		TOTAL		122	40.26																							181	59.74					303
																												Elected						
																																		
Numeralla                                                      																																		
	FIRST			41	31.78		1	0.78		0	0.00		6	4.65		0	0.00		0	0.00		0	0.00		25	19.38		50	38.76		6	4.65		129
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		41	31.78		1	0.78		0	0.00		6	4.65		0	0.00					0	0.00		25	19.38		50	38.76		6	4.65		129
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		41	31.78		1	0.78		0	0.00		6	4.65								0	0.00		25	19.38		50	38.76		6	4.65		129
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		41	31.78		1	0.78		0	0.00		6	4.65											25	19.38		50	38.76		6	4.65		129
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											0	0.00		0	0.00		0	0.00		0
		TOTAL		41	31.78		1	0.78					6	4.65											25	19.38		50	38.76		6	4.65		129
	SIXTH			0	0.00			Excluded					1	100.00											0	0.00		0	0.00		0	0.00		1
		TOTAL		41	31.78								7	5.43											25	19.38		50	38.76		6	4.65		129
	SEVENTH			3	50.00								0	0.00											3	50.00		0	0.00			Excluded		6
		TOTAL		44	34.11								7	5.43											28	21.71		50	38.76					129
	EIGHTH			5	71.43									Excluded											1	14.29		1	14.29					7
		TOTAL		49	37.98																				29	22.48		51	39.53					129
	NINTH			6	20.69																					Excluded		23	79.31					29
		TOTAL		55	42.64																							74	57.36					129
																												Elected						
																																		
Pambula                                                        																																		
	FIRST			501	33.60		19	1.27		13	0.87		85	5.70		3	0.20		2	0.13		2	0.13		103	6.91		714	47.89		49	3.29		1491
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	50.00		1	50.00		2
		TOTAL		501	33.60		19	1.27		13	0.87		85	5.70		3	0.20					2	0.13		103	6.91		715	47.95		50	3.35		1491
	THIRD			1	33.33		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		2	66.67		0	0.00		0	0.00		3
		TOTAL		502	33.67		19	1.27		13	0.87		85	5.70								2	0.13		105	7.04		715	47.95		50	3.35		1491
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		1	50.00		1	50.00		2
		TOTAL		502	33.67		19	1.27		13	0.87		85	5.70											105	7.04		716	48.02		51	3.42		1491
	FIFTH			3	23.08		1	7.69			Excluded		2	15.38											2	15.38		3	23.08		2	15.38		13
		TOTAL		505	33.87		20	1.34					87	5.84											107	7.18		719	48.22		53	3.55		1491
	SIXTH			11	55.00			Excluded					6	30.00											0	0.00		2	10.00		1	5.00		20
		TOTAL		516	34.61								93	6.24											107	7.18		721	48.36		54	3.62		1491
	SEVENTH			14	25.93								9	16.67											10	18.52		21	38.89			Excluded		54
		TOTAL		530	35.55								102	6.84											117	7.85		742	49.77					1491
	EIGHTH			78	76.47									Excluded											19	18.63		5	4.90					102
		TOTAL		608	40.78																				136	9.12		747	50.10					1491
	NINTH			38	27.94																					Excluded		98	72.06					136
		TOTAL		646	43.33																							845	56.67					1491
																												Elected						
																																		
Perisher Valley                                                																																		
	FIRST			5	21.74		1	4.35		0	0.00		1	4.35		0	0.00		0	0.00		0	0.00		2	8.70		11	47.83		3	13.04		23
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		5	21.74		1	4.35		0	0.00		1	4.35		0	0.00					0	0.00		2	8.70		11	47.83		3	13.04		23
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		5	21.74		1	4.35		0	0.00		1	4.35								0	0.00		2	8.70		11	47.83		3	13.04		23
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		5	21.74		1	4.35		0	0.00		1	4.35											2	8.70		11	47.83		3	13.04		23
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											0	0.00		0	0.00		0	0.00		0
		TOTAL		5	21.74		1	4.35					1	4.35											2	8.70		11	47.83		3	13.04		23
	SIXTH			1	100.00			Excluded					0	0.00											0	0.00		0	0.00		0	0.00		1
		TOTAL		6	26.09								1	4.35											2	8.70		11	47.83		3	13.04		23
	SEVENTH			1	33.33								0	0.00											2	66.67		0	0.00			Excluded		3
		TOTAL		7	30.43								1	4.35											4	17.39		11	47.83					23
	EIGHTH			0	0.00									Excluded											0	0.00		1	100.00					1
		TOTAL		7	30.43																				4	17.39		12	52.17					23
	NINTH			2	50.00																					Excluded		2	50.00					4
		TOTAL		9	39.13																							14	60.87					23
																												Elected						
																																		
Quaama                                                         																																		
	FIRST			111	32.94		6	1.78		3	0.89		61	18.10		0	0.00		1	0.30		0	0.00		15	4.45		104	30.86		36	10.68		337
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		111	32.94		6	1.78		3	0.89		61	18.10		1	0.30					0	0.00		15	4.45		104	30.86		36	10.68		337
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		1	100.00		0	0.00		0	0.00		1
		TOTAL		111	32.94		6	1.78		3	0.89		61	18.10								0	0.00		16	4.75		104	30.86		36	10.68		337
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		111	32.94		6	1.78		3	0.89		61	18.10											16	4.75		104	30.86		36	10.68		337
	FIFTH			0	0.00		0	0.00			Excluded		2	66.67											0	0.00		1	33.33		0	0.00		3
		TOTAL		111	32.94		6	1.78					63	18.69											16	4.75		105	31.16		36	10.68		337
	SIXTH			5	83.33			Excluded					1	16.67											0	0.00		0	0.00		0	0.00		6
		TOTAL		116	34.42								64	18.99											16	4.75		105	31.16		36	10.68		337
	SEVENTH			3	8.33								5	13.89											19	52.78		9	25.00			Excluded		36
		TOTAL		119	35.31								69	20.47											35	10.39		114	33.83					337
	EIGHTH			63	91.30									Excluded											5	7.25		1	1.45					69
		TOTAL		182	54.01																				40	11.87		115	34.12					337
	NINTH			10	25.00																					Excluded		30	75.00					40
		TOTAL		192	56.97																							145	43.03					337
																												Elected						
																																		
Queanbeyan                                                     																																		
	FIRST			780	44.44		58	3.30		19	1.08		70	3.99		4	0.23		0	0.00		0	0.00		242	13.79		547	31.17		35	1.99		1755
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		780	44.44		58	3.30		19	1.08		70	3.99		4	0.23					0	0.00		242	13.79		547	31.17		35	1.99		1755
	THIRD			0	0.00		1	25.00		0	0.00		0	0.00			Excluded					1	25.00		2	50.00		0	0.00		0	0.00		4
		TOTAL		780	44.44		59	3.36		19	1.08		70	3.99								1	0.06		244	13.90		547	31.17		35	1.99		1755
	FOURTH			1	100.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		781	44.50		59	3.36		19	1.08		70	3.99											244	13.90		547	31.17		35	1.99		1755
	FIFTH			1	5.26		3	15.79			Excluded		1	5.26											1	5.26		12	63.16		1	5.26		19
		TOTAL		782	44.56		62	3.53					71	4.05											245	13.96		559	31.85		36	2.05		1755
	SIXTH			34	54.84			Excluded					16	25.81											5	8.06		5	8.06		2	3.23		62
		TOTAL		816	46.50								87	4.96											250	14.25		564	32.14		38	2.17		1755
	SEVENTH			11	28.95								7	18.42											10	26.32		10	26.32			Excluded		38
		TOTAL		827	47.12								94	5.36											260	14.81		574	32.71					1755
	EIGHTH			74	78.72									Excluded											11	11.70		9	9.57					94
		TOTAL		901	51.34																				271	15.44		583	33.22					1755
	NINTH			100	36.90																					Excluded		171	63.10					271
		TOTAL		1001	57.04																							754	42.96					1755
																												Elected						
																																		
Queanbeyan Central                                             																																		
	FIRST			911	42.81		115	5.40		28	1.32		83	3.90		4	0.19		4	0.19		6	0.28		184	8.65		732	34.40		61	2.87		2128
	SECOND			1	25.00		0	0.00		0	0.00		0	0.00		1	25.00			Excluded		0	0.00		0	0.00		1	25.00		1	25.00		4
		TOTAL		912	42.86		115	5.40		28	1.32		83	3.90		5	0.23					6	0.28		184	8.65		733	34.45		62	2.91		2128
	THIRD			2	40.00		0	0.00		0	0.00		2	40.00			Excluded					1	20.00		0	0.00		0	0.00		0	0.00		5
		TOTAL		914	42.95		115	5.40		28	1.32		85	3.99								7	0.33		184	8.65		733	34.45		62	2.91		2128
	FOURTH			0	0.00		0	0.00		2	28.57		1	14.29									Excluded		3	42.86		0	0.00		1	14.29		7
		TOTAL		914	42.95		115	5.40		30	1.41		86	4.04											187	8.79		733	34.45		63	2.96		2128
	FIFTH			3	10.00		4	13.33			Excluded		3	10.00											5	16.67		13	43.33		2	6.67		30
		TOTAL		917	43.09		119	5.59					89	4.18											192	9.02		746	35.06		65	3.05		2128
	SIXTH			40	33.61			Excluded					59	49.58											10	8.40		4	3.36		6	5.04		119
		TOTAL		957	44.97								148	6.95											202	9.49		750	35.24		71	3.34		2128
	SEVENTH			18	25.35								11	15.49											25	35.21		17	23.94			Excluded		71
		TOTAL		975	45.82								159	7.47											227	10.67		767	36.04					2128
	EIGHTH			110	69.18									Excluded											33	20.75		16	10.06					159
		TOTAL		1085	50.99																				260	12.22		783	36.80					2128
	NINTH			96	36.92																					Excluded		164	63.08					260
		TOTAL		1181	55.50																							947	44.50					2128
																												Elected						
																																		
Queanbeyan East                                                																																		
	FIRST			750	38.98		97	5.04		25	1.30		104	5.41		4	0.21		3	0.16		5	0.26		172	8.94		711	36.95		53	2.75		1924
	SECOND			0	0.00		0	0.00		1	33.33		1	33.33		0	0.00			Excluded		0	0.00		0	0.00		1	33.33		0	0.00		3
		TOTAL		750	38.98		97	5.04		26	1.35		105	5.46		4	0.21					5	0.26		172	8.94		712	37.01		53	2.75		1924
	THIRD			0	0.00		0	0.00		0	0.00		1	25.00			Excluded					2	50.00		1	25.00		0	0.00		0	0.00		4
		TOTAL		750	38.98		97	5.04		26	1.35		106	5.51								7	0.36		173	8.99		712	37.01		53	2.75		1924
	FOURTH			0	0.00		1	14.29		1	14.29		1	14.29									Excluded		3	42.86		0	0.00		1	14.29		7
		TOTAL		750	38.98		98	5.09		27	1.40		107	5.56											176	9.15		712	37.01		54	2.81		1924
	FIFTH			6	22.22		1	3.70			Excluded		5	18.52											1	3.70		13	48.15		1	3.70		27
		TOTAL		756	39.29		99	5.15					112	5.82											177	9.20		725	37.68		55	2.86		1924
	SIXTH			28	28.28			Excluded					59	59.60											5	5.05		7	7.07		0	0.00		99
		TOTAL		784	40.75								171	8.89											182	9.46		732	38.05		55	2.86		1924
	SEVENTH			12	21.82								6	10.91											16	29.09		21	38.18			Excluded		55
		TOTAL		796	41.37								177	9.20											198	10.29		753	39.14					1924
	EIGHTH			130	73.45									Excluded											28	15.82		19	10.73					177
		TOTAL		926	48.13																				226	11.75		772	40.12					1924
