House of Representatives - 2001 Election: New South Wales																															
Distribution of Preferences 																															
By Polling Place																															
																															
Chifley																															
				ASARLOGLOU			BUTLER			HYLAND			DAMJANOVIC			BATES			CLACK			CUNNINGHAM			PRICE			WYNESS			
	FOURTH			6	30.00			Excluded					10	50.00		2	10.00		0	0.00					2	10.00		0	0.00		20
		TOTAL		154	22.19								58	8.36		32	4.61		12	1.73					419	60.37		19	2.74		694
	FIFTH			4	33.33								2	16.67		1	8.33			Excluded					4	33.33		1	8.33		12
		TOTAL		158	22.77								60	8.65		33	4.76								423	60.95		20	2.88		694
	SIXTH			10	50.00								1	5.00		3	15.00								6	30.00			Excluded		20
		TOTAL		168	24.21								61	8.79		36	5.19								429	61.82					694
	SEVENTH			11	30.56								12	33.33			Excluded								13	36.11					36
		TOTAL		179	25.79								73	10.52											442	63.69					694
	EIGHTH			37	50.68									Excluded											36	49.32					73
		TOTAL		216	31.12																				478	68.88					694
																									Elected						
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
