House of Representatives - 2001 Election: New South Wales																																		
Distribution of Preferences 																																		
By Polling Place																																		
																																		
Bennelong																																		
				WEBECK			CAMPBELL			HARKNESS			PLUMB			DAWSON			SHAW			GOLDFINCH			MARSH			LAW			HOWARD			
	SIXTH			0	0.00		10	55.56											1	5.56		4	22.22						Excluded		3	16.67		18
		TOTAL		80	2.63		903	29.72											120	3.95		173	5.69								1762	58.00		3038
	SEVENTH				Excluded		28	35.00											13	16.25		10	12.50								29	36.25		80
		TOTAL					931	30.65											133	4.38		183	6.02								1791	58.95		3038
	EIGHTH						35	26.32												Excluded		77	57.89								21	15.79		133
		TOTAL					966	31.80														260	8.56								1812	59.64		3038
	NINTH						209	80.38															Excluded								51	19.62		260
		TOTAL					1175	38.68																							1863	61.32		3038
																															Elected			
																																		
Ryde Heights                                                   																																		
	FIRST			24	3.79		230	36.33		4	0.63		3	0.47		7	1.11		18	2.84		37	5.85		2	0.32		3	0.47		305	48.18		633
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		1	50.00		2
		TOTAL		24	3.79		230	36.33		4	0.63		3	0.47		7	1.11		18	2.84		37	5.85					4	0.63		306	48.34		633
	THIRD			1	33.33		0	0.00		1	33.33			Excluded		1	33.33		0	0.00		0	0.00					0	0.00		0	0.00		3
		TOTAL		25	3.95		230	36.33		5	0.79					8	1.26		18	2.84		37	5.85					4	0.63		306	48.34		633
	FOURTH			0	0.00		2	25.00		1	12.50						Excluded		1	12.50		1	12.50					0	0.00		3	37.50		8
		TOTAL		25	3.95		232	36.65		6	0.95								19	3.00		38	6.00					4	0.63		309	48.82		633
	FIFTH			1	16.67		4	66.67			Excluded								0	0.00		0	0.00					1	16.67		0	0.00		6
		TOTAL		26	4.11		236	37.28											19	3.00		38	6.00					5	0.79		309	48.82		633
	SIXTH			0	0.00		1	20.00											1	20.00		2	40.00						Excluded		1	20.00		5
		TOTAL		26	4.11		237	37.44											20	3.16		40	6.32								310	48.97		633
	SEVENTH				Excluded		11	42.31											5	19.23		1	3.85								9	34.62		26
		TOTAL					248	39.18											25	3.95		41	6.48								319	50.39		633
	EIGHTH						14	56.00												Excluded		9	36.00								2	8.00		25
		TOTAL					262	41.39														50	7.90								321	50.71		633
	NINTH						34	68.00															Excluded								16	32.00		50
		TOTAL					296	46.76																							337	53.24		633
																															Elected			
																																		
Ryde Hospital                                                  																																		
	FIRST			17	2.81		184	30.46		1	0.17		1	0.17		1	0.17		26	4.30		18	2.98		1	0.17		7	1.16		348	57.62		604
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		1
		TOTAL		17	2.81		184	30.46		1	0.17		1	0.17		1	0.17		26	4.30		19	3.15					7	1.16		348	57.62		604
	THIRD			1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		1
		TOTAL		18	2.98		184	30.46		1	0.17					1	0.17		26	4.30		19	3.15					7	1.16		348	57.62		604
	FOURTH			0	0.00		1	100.00		0	0.00						Excluded		0	0.00		0	0.00					0	0.00		0	0.00		1
		TOTAL		18	2.98		185	30.63		1	0.17								26	4.30		19	3.15					7	1.16		348	57.62		604
	FIFTH			0	0.00		1	100.00			Excluded								0	0.00		0	0.00					0	0.00		0	0.00		1
		TOTAL		18	2.98		186	30.79											26	4.30		19	3.15					7	1.16		348	57.62		604
	SIXTH			0	0.00		1	14.29											2	28.57		3	42.86						Excluded		1	14.29		7
		TOTAL		18	2.98		187	30.96											28	4.64		22	3.64								349	57.78		604
	SEVENTH				Excluded		6	33.33											4	22.22		0	0.00								8	44.44		18
		TOTAL					193	31.95											32	5.30		22	3.64								357	59.11		604
	EIGHTH						9	28.13												Excluded		21	65.63								2	6.25		32
		TOTAL					202	33.44														43	7.12								359	59.44		604
	NINTH						32	74.42															Excluded								11	25.58		43
		TOTAL					234	38.74																							370	61.26		604
																															Elected			
																																		
Ryde North                                                     																																		
	FIRST			81	2.61		1030	33.23		12	0.39		7	0.23		25	0.81		114	3.68		166	5.35		1	0.03		26	0.84		1638	52.84		3100
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		1
		TOTAL		81	2.61		1030	33.23		12	0.39		7	0.23		25	0.81		114	3.68		166	5.35					26	0.84		1639	52.87		3100
	THIRD			1	14.29		2	28.57		0	0.00			Excluded		1	14.29		3	42.86		0	0.00					0	0.00		0	0.00		7
		TOTAL		82	2.65		1032	33.29		12	0.39					26	0.84		117	3.77		166	5.35					26	0.84		1639	52.87		3100
	FOURTH			4	15.38		4	15.38		2	7.69						Excluded		8	30.77		2	7.69					0	0.00		6	23.08		26
		TOTAL		86	2.77		1036	33.42		14	0.45								125	4.03		168	5.42					26	0.84		1645	53.06		3100
	FIFTH			1	7.14		5	35.71			Excluded								3	21.43		2	14.29					1	7.14		2	14.29		14
		TOTAL		87	2.81		1041	33.58											128	4.13		170	5.48					27	0.87		1647	53.13		3100
	SIXTH			1	3.70		12	44.44											5	18.52		5	18.52						Excluded		4	14.81		27
		TOTAL		88	2.84		1053	33.97											133	4.29		175	5.65								1651	53.26		3100
	SEVENTH				Excluded		50	56.82											13	14.77		5	5.68								20	22.73		88
		TOTAL					1103	35.58											146	4.71		180	5.81								1671	53.90		3100
	EIGHTH						10	6.85												Excluded		123	84.25								13	8.90		146
		TOTAL					1113	35.90														303	9.77								1684	54.32		3100
	NINTH						243	80.20															Excluded								60	19.80		303
		TOTAL					1356	43.74																							1744	56.26		3100
																															Elected			
																																		
Ryde South                                                     																																		
	FIRST			27	3.97		225	33.09		4	0.59		2	0.29		4	0.59		10	1.47		26	3.82		0	0.00		5	0.74		377	55.44		680
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		27	3.97		225	33.09		4	0.59		2	0.29		4	0.59		10	1.47		26	3.82					5	0.74		377	55.44		680
	THIRD			2	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		2
		TOTAL		29	4.26		225	33.09		4	0.59					4	0.59		10	1.47		26	3.82					5	0.74		377	55.44		680
	FOURTH			0	0.00		1	25.00		1	25.00						Excluded		1	25.00		0	0.00					0	0.00		1	25.00		4
		TOTAL		29	4.26		226	33.24		5	0.74								11	1.62		26	3.82					5	0.74		378	55.59		680
	FIFTH			0	0.00		2	40.00			Excluded								2	40.00		1	20.00					0	0.00		0	0.00		5
		TOTAL		29	4.26		228	33.53											13	1.91		27	3.97					5	0.74		378	55.59		680
	SIXTH			0	0.00		4	80.00											0	0.00		0	0.00						Excluded		1	20.00		5
		TOTAL		29	4.26		232	34.12											13	1.91		27	3.97								379	55.74		680
	SEVENTH				Excluded		13	44.83											5	17.24		4	13.79								7	24.14		29
		TOTAL					245	36.03											18	2.65		31	4.56								386	56.76		680
	EIGHTH						4	22.22												Excluded		13	72.22								1	5.56		18
		TOTAL					249	36.62														44	6.47								387	56.91		680
	NINTH						34	77.27															Excluded								10	22.73		44
		TOTAL					283	41.62																							397	58.38		680
																															Elected			
																																		
Sydney (Bennelong)                                             																																		
	FIRST			5	2.76		67	37.02		3	1.66		2	1.10		1	0.55		16	8.84		17	9.39		0	0.00		4	2.21		66	36.46		181
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		5	2.76		67	37.02		3	1.66		2	1.10		1	0.55		16	8.84		17	9.39					4	2.21		66	36.46		181
	THIRD			0	0.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00					1	50.00		0	0.00		2
		TOTAL		5	2.76		67	37.02		4	2.21					1	0.55		16	8.84		17	9.39					5	2.76		66	36.46		181
	FOURTH			0	0.00		0	0.00		0	0.00						Excluded		1	100.00		0	0.00					0	0.00		0	0.00		1
		TOTAL		5	2.76		67	37.02		4	2.21								17	9.39		17	9.39					5	2.76		66	36.46		181
	FIFTH			0	0.00		3	75.00			Excluded								0	0.00		0	0.00					1	25.00		0	0.00		4
		TOTAL		5	2.76		70	38.67											17	9.39		17	9.39					6	3.31		66	36.46		181
	SIXTH			0	0.00		4	66.67											1	16.67		0	0.00						Excluded		1	16.67		6
		TOTAL		5	2.76		74	40.88											18	9.94		17	9.39								67	37.02		181
	SEVENTH				Excluded		3	60.00											1	20.00		0	0.00								1	20.00		5
		TOTAL					77	42.54											19	10.50		17	9.39								68	37.57		181
	EIGHTH						3	15.79												Excluded		14	73.68								2	10.53		19
		TOTAL					80	44.20														31	17.13								70	38.67		181
	NINTH						24	77.42															Excluded								7	22.58		31
		TOTAL					104	57.46																							77	42.54		181
																															Elected			
																																		
Truscott                                                       																																		
	FIRST			59	4.03		410	27.99		6	0.41		4	0.27		7	0.48		54	3.69		62	4.23		0	0.00		11	0.75		852	58.16		1465
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		59	4.03		410	27.99		6	0.41		4	0.27		7	0.48		54	3.69		62	4.23					11	0.75		852	58.16		1465
	THIRD			0	0.00		1	25.00		0	0.00			Excluded		1	25.00		2	50.00		0	0.00					0	0.00		0	0.00		4
		TOTAL		59	4.03		411	28.05		6	0.41					8	0.55		56	3.82		62	4.23					11	0.75		852	58.16		1465
	FOURTH			2	25.00		2	25.00		2	25.00						Excluded		0	0.00		1	12.50					0	0.00		1	12.50		8
		TOTAL		61	4.16		413	28.19		8	0.55								56	3.82		63	4.30					11	0.75		853	58.23		1465
	FIFTH			0	0.00		4	50.00			Excluded								2	25.00		1	12.50					0	0.00		1	12.50		8
		TOTAL		61	4.16		417	28.46											58	3.96		64	4.37					11	0.75		854	58.29		1465
	SIXTH			0	0.00		5	45.45											4	36.36		2	18.18						Excluded		0	0.00		11
		TOTAL		61	4.16		422	28.81											62	4.23		66	4.51								854	58.29		1465
	SEVENTH				Excluded		28	45.90											9	14.75		3	4.92								21	34.43		61
		TOTAL					450	30.72											71	4.85		69	4.71								875	59.73		1465
	EIGHTH						20	28.17												Excluded		42	59.15								9	12.68		71
		TOTAL					470	32.08														111	7.58								884	60.34		1465
	NINTH						84	75.68															Excluded								27	24.32		111
		TOTAL					554	37.82																							911	62.18		1465
																															Elected			
																																		
Water Tanks                                                    																																		
	FIRST			39	3.04		439	34.27		9	0.70		2	0.16		8	0.62		39	3.04		40	3.12		0	0.00		10	0.78		695	54.25		1281
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		39	3.04		439	34.27		9	0.70		2	0.16		8	0.62		39	3.04		40	3.12					10	0.78		695	54.25		1281
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	100.00		0	0.00					0	0.00		0	0.00		2
		TOTAL		39	3.04		439	34.27		9	0.70					8	0.62		41	3.20		40	3.12					10	0.78		695	54.25		1281
	FOURTH			1	12.50		0	0.00		0	0.00						Excluded		6	75.00		0	0.00					0	0.00		1	12.50		8
		TOTAL		40	3.12		439	34.27		9	0.70								47	3.67		40	3.12					10	0.78		696	54.33		1281
	FIFTH			0	0.00		6	66.67			Excluded								2	22.22		1	11.11					0	0.00		0	0.00		9
		TOTAL		40	3.12		445	34.74											49	3.83		41	3.20					10	0.78		696	54.33		1281
	SIXTH			0	0.00		0	0.00											0	0.00		8	80.00						Excluded		2	20.00		10
		TOTAL		40	3.12		445	34.74											49	3.83		49	3.83								698	54.49		1281
	SEVENTH				Excluded		26	65.00											4	10.00		3	7.50								7	17.50		40
		TOTAL					471	36.77											53	4.14		52	4.06								705	55.04		1281
	EIGHTH						20	37.74												Excluded		26	49.06								7	13.21		53
		TOTAL					491	38.33														78	6.09								712	55.58		1281
	NINTH						56	71.79															Excluded								22	28.21		78
		TOTAL					547	42.70																							734	57.30		1281
																															Elected			
																																		
West Ryde                                                      																																		
	FIRST			123	3.80		1271	39.29		21	0.65		3	0.09		17	0.53		101	3.12		210	6.49		2	0.06		63	1.95		1424	44.02		3235
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		0	0.00		2
		TOTAL		124	3.83		1271	39.29		21	0.65		3	0.09		17	0.53		102	3.15		210	6.49					63	1.95		1424	44.02		3235
	THIRD			0	0.00		1	33.33		1	33.33			Excluded		0	0.00		0	0.00		1	33.33					0	0.00		0	0.00		3
		TOTAL		124	3.83		1272	39.32		22	0.68					17	0.53		102	3.15		211	6.52					63	1.95		1424	44.02		3235
	FOURTH			4	23.53		3	17.65		2	11.76						Excluded		3	17.65		1	5.88					0	0.00		4	23.53		17
		TOTAL		128	3.96		1275	39.41		24	0.74								105	3.25		212	6.55					63	1.95		1428	44.14		3235
	FIFTH			2	8.33		9	37.50			Excluded								8	33.33		3	12.50					2	8.33		0	0.00		24
		TOTAL		130	4.02		1284	39.69											113	3.49		215	6.65					65	2.01		1428	44.14		3235
	SIXTH			0	0.00		44	67.69											5	7.69		12	18.46						Excluded		4	6.15		65
		TOTAL		130	4.02		1328	41.05											118	3.65		227	7.02								1432	44.27		3235
	SEVENTH				Excluded		58	44.62											14	10.77		16	12.31								42	32.31		130
		TOTAL					1386	42.84											132	4.08		243	7.51								1474	45.56		3235
	EIGHTH						43	32.58												Excluded		84	63.64								5	3.79		132
		TOTAL					1429	44.17														327	10.11								1479	45.72		3235
	NINTH						239	73.09															Excluded								88	26.91		327
		TOTAL					1668	51.56																							1567	48.44		3235
																															Elected			
																																		
Wicks                                                          																																		
	FIRST			9	2.89		76	24.44		1	0.32		3	0.96		5	1.61		19	6.11		19	6.11		0	0.00		2	0.64		177	56.91		311
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		9	2.89		76	24.44		1	0.32		3	0.96		5	1.61		19	6.11		19	6.11					2	0.64		177	56.91		311
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	33.33		1	33.33					0	0.00		1	33.33		3
		TOTAL		9	2.89		76	24.44		1	0.32					5	1.61		20	6.43		20	6.43					2	0.64		178	57.23		311
	FOURTH			0	0.00		1	20.00		0	0.00						Excluded		4	80.00		0	0.00					0	0.00		0	0.00		5
		TOTAL		9	2.89		77	24.76		1	0.32								24	7.72		20	6.43					2	0.64		178	57.23		311
	FIFTH			0	0.00		0	0.00			Excluded								1	100.00		0	0.00					0	0.00		0	0.00		1
		TOTAL		9	2.89		77	24.76											25	8.04		20	6.43					2	0.64		178	57.23		311
	SIXTH			0	0.00		0	0.00											0	0.00		2	100.00						Excluded		0	0.00		2
		TOTAL		9	2.89		77	24.76											25	8.04		22	7.07								178	57.23		311
	SEVENTH				Excluded		3	33.33											2	22.22		2	22.22								2	22.22		9
		TOTAL					80	25.72											27	8.68		24	7.72								180	57.88		311
	EIGHTH						8	29.63												Excluded		17	62.96								2	7.41		27
		TOTAL					88	28.30														41	13.18								182	58.52		311
	NINTH						32	78.05															Excluded								9	21.95		41
		TOTAL					120	38.59																							191	61.41		311
																															Elected			
																																		
Special Hospital Team 1                                        																																		
	FIRST			1	0.44		34	14.85		0	0.00		0	0.00		0	0.00		0	0.00		3	1.31		0	0.00		0	0.00		191	83.41		229
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		1	0.44		34	14.85		0	0.00		0	0.00		0	0.00		0	0.00		3	1.31					0	0.00		191	83.41		229
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0
		TOTAL		1	0.44		34	14.85		0	0.00					0	0.00		0	0.00		3	1.31					0	0.00		191	83.41		229
	FOURTH			0	0.00		0	0.00		0	0.00						Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0
		TOTAL		1	0.44		34	14.85		0	0.00								0	0.00		3	1.31					0	0.00		191	83.41		229
	FIFTH			0	0.00		0	0.00			Excluded								0	0.00		0	0.00					0	0.00		0	0.00		0
		TOTAL		1	0.44		34	14.85											0	0.00		3	1.31					0	0.00		191	83.41		229
	SIXTH			0	0.00		0	0.00											0	0.00		0	0.00						Excluded		0	0.00		0
		TOTAL		1	0.44		34	14.85											0	0.00		3	1.31								191	83.41		229
	SEVENTH				Excluded		1	100.00											0	0.00		0	0.00								0	0.00		1
		TOTAL					35	15.28											0	0.00		3	1.31								191	83.41		229
	EIGHTH						0	0.00												Excluded		0	0.00								0	0.00		0
		TOTAL					35	15.28														3	1.31								191	83.41		229
	NINTH						0	0.00															Excluded								3	100.00		3
		TOTAL					35	15.28																							194	84.72		229
																															Elected			
																																		
Special Hospital Team 2                                        																																		
	FIRST			1	1.52		27	40.91		0	0.00		0	0.00		0	0.00		1	1.52		0	0.00		0	0.00		0	0.00		37	56.06		66
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		1	1.52		27	40.91		0	0.00		0	0.00		0	0.00		1	1.52		0	0.00					0	0.00		37	56.06		66
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0
		TOTAL		1	1.52		27	40.91		0	0.00					0	0.00		1	1.52		0	0.00					0	0.00		37	56.06		66
	FOURTH			0	0.00		0	0.00		0	0.00						Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0
		TOTAL		1	1.52		27	40.91		0	0.00								1	1.52		0	0.00					0	0.00		37	56.06		66
	FIFTH			0	0.00		0	0.00			Excluded								0	0.00		0	0.00					0	0.00		0	0.00		0
		TOTAL		1	1.52		27	40.91											1	1.52		0	0.00					0	0.00		37	56.06		66
	SIXTH			0	0.00		0	0.00											0	0.00		0	0.00						Excluded		0	0.00		0
		TOTAL		1	1.52		27	40.91											1	1.52		0	0.00								37	56.06		66
	SEVENTH				Excluded		0	0.00											0	0.00		1	100.00								0	0.00		1
		TOTAL					27	40.91											1	1.52		1	1.52								37	56.06		66
	EIGHTH						0	0.00												Excluded		1	100.00								0	0.00		1
		TOTAL					27	40.91														2	3.03								37	56.06		66
	NINTH						2	100.00															Excluded								0	0.00		2
		TOTAL					29	43.94																							37	56.06		66
																															Elected			
																																		
ABSENT																																		
	FIRST			168	3.21		1352	25.84		83	1.59		23	0.44		57	1.09		379	7.24		374	7.15		18	0.34		60	1.15		2718	51.95		5232
	SECOND			3	16.67		2	11.11		1	5.56		0	0.00		2	11.11		3	16.67		3	16.67			Excluded		2	11.11		2	11.11		18
		TOTAL		171	3.27		1354	25.88		84	1.61		23	0.44		59	1.13		382	7.30		377	7.21					62	1.19		2720	51.99		5232
	THIRD			1	4.35		2	8.70		4	17.39			Excluded		2	8.70		8	34.78		2	8.70					1	4.35		3	13.04		23
		TOTAL		172	3.29		1356	25.92		88	1.68					61	1.17		390	7.45		379	7.24					63	1.20		2723	52.05		5232
	FOURTH			10	16.39		10	16.39		3	4.92						Excluded		17	27.87		13	21.31					1	1.64		7	11.48		61
		TOTAL		182	3.48		1366	26.11		91	1.74								407	7.78		392	7.49					64	1.22		2730	52.18		5232
	FIFTH			8	8.79		26	28.57			Excluded								31	34.07		10	10.99					6	6.59		10	10.99		91
		TOTAL		190	3.63		1392	26.61											438	8.37		402	7.68					70	1.34		2740	52.37		5232
	SIXTH			4	5.71		27	38.57											16	22.86		11	15.71						Excluded		12	17.14		70
		TOTAL		194	3.71		1419	27.12											454	8.68		413	7.89								2752	52.60		5232
	SEVENTH				Excluded		96	49.48											30	15.46		24	12.37								44	22.68		194
		TOTAL					1515	28.96											484	9.25		437	8.35								2796	53.44		5232
	EIGHTH						159	32.85												Excluded		265	54.75								60	12.40		484
		TOTAL					1674	32.00														702	13.42								2856	54.59		5232
	NINTH						492	70.09															Excluded								210	29.91		702
		TOTAL					2166	41.40																							3066	58.60		5232
																															Elected			
																																		
POSTAL																																		
	FIRST			92	2.53		877	24.16		26	0.72		13	0.36		15	0.41		63	1.74		119	3.28		2	0.06		40	1.10		2383	65.65		3630
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		2
		TOTAL		93	2.56		877	24.16		26	0.72		13	0.36		16	0.44		63	1.74		119	3.28					40	1.10		2383	65.65		3630
	THIRD			1	7.69		3	23.08		0	0.00			Excluded		1	7.69		6	46.15		0	0.00					0	0.00		2	15.38		13
		TOTAL		94	2.59		880	24.24		26	0.72					17	0.47		69	1.90		119	3.28					40	1.10		2385	65.70		3630
	FOURTH			3	17.65		4	23.53		3	17.65						Excluded		2	11.76		3	17.65					0	0.00		2	11.76		17
		TOTAL		97	2.67		884	24.35		29	0.80								71	1.96		122	3.36					40	1.10		2387	65.76		3630
	FIFTH			7	24.14		9	31.03			Excluded								4	13.79		4	13.79					3	10.34		2	6.90		29
		TOTAL		104	2.87		893	24.60											75	2.07		126	3.47					43	1.18		2389	65.81		3630
	SIXTH			1	2.33		16	37.21											10	23.26		8	18.60						Excluded		8	18.60		43
		TOTAL		105	2.89		909	25.04											85	2.34		134	3.69								2397	66.03		3630
	SEVENTH				Excluded		49	46.67											13	12.38		11	10.48								32	30.48		105
		TOTAL					958	26.39											98	2.70		145	3.99								2429	66.91		3630
	EIGHTH						30	30.61												Excluded		53	54.08								15	15.31		98
		TOTAL					988	27.22														198	5.45								2444	67.33		3630
	NINTH						133	67.17															Excluded								65	32.83		198
		TOTAL					1121	30.88																							2509	69.12		3630
																															Elected			
																																		
PRE POLL																																		
	FIRST			74	2.22		1018	30.52		32	0.96		12	0.36		30	0.90		146	4.38		178	5.34		2	0.06		89	2.67		1754	52.59		3335
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		0	0.00		2
		TOTAL		74	2.22		1018	30.52		33	0.99		12	0.36		30	0.90		146	4.38		178	5.34					90	2.70		1754	52.59		3335
	THIRD			0	0.00		4	33.33		0	0.00			Excluded		0	0.00		2	16.67		4	33.33					0	0.00		2	16.67		12
		TOTAL		74	2.22		1022	30.64		33	0.99					30	0.90		148	4.44		182	5.46					90	2.70		1756	52.65		3335
	FOURTH			3	10.00		4	13.33		3	10.00						Excluded		6	20.00		7	23.33					0	0.00		7	23.33		30
		TOTAL		77	2.31		1026	30.76		36	1.08								154	4.62		189	5.67					90	2.70		1763	52.86		3335
	FIFTH			4	11.11		19	52.78			Excluded								5	13.89		2	5.56					3	8.33		3	8.33		36
		TOTAL		81	2.43		1045	31.33											159	4.77		191	5.73					93	2.79		1766	52.95		3335
	SIXTH			3	3.23		51	54.84											6	6.45		17	18.28						Excluded		16	17.20		93
		TOTAL		84	2.52		1096	32.86											165	4.95		208	6.24								1782	53.43		3335
	SEVENTH				Excluded		37	44.05											13	15.48		6	7.14								28	33.33		84
		TOTAL					1133	33.97											178	5.34		214	6.42								1810	54.27		3335
	EIGHTH						64	35.96												Excluded		100	56.18								14	7.87		178
		TOTAL					1197	35.89														314	9.42								1824	54.69		3335
	NINTH						225	71.66															Excluded								89	28.34		314
		TOTAL					1422	42.64																							1913	57.36		3335
																															Elected			
																																		
PROVISIONAL																																		
	FIRST			9	2.83		116	36.48		2	0.63		5	1.57		3	0.94		12	3.77		12	3.77		0	0.00		3	0.94		156	49.06		318
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		9	2.83		116	36.48		2	0.63		5	1.57		3	0.94		12	3.77		12	3.77					3	0.94		156	49.06		318
	THIRD			0	0.00		1	20.00		2	40.00			Excluded		0	0.00		1	20.00		0	0.00					1	20.00		0	0.00		5
		TOTAL		9	2.83		117	36.79		4	1.26					3	0.94		13	4.09		12	3.77					4	1.26		156	49.06		318
	FOURTH			0	0.00		0	0.00		2	66.67						Excluded		0	0.00		0	0.00					0	0.00		1	33.33		3
		TOTAL		9	2.83		117	36.79		6	1.89								13	4.09		12	3.77					4	1.26		157	49.37		318
	FIFTH			2	33.33		2	33.33			Excluded								2	33.33		0	0.00					0	0.00		0	0.00		6
		TOTAL		11	3.46		119	37.42											15	4.72		12	3.77					4	1.26		157	49.37		318
	SIXTH			1	25.00		2	50.00											1	25.00		0	0.00						Excluded		0	0.00		4
		TOTAL		12	3.77		121	38.05											16	5.03		12	3.77								157	49.37		318
	SEVENTH				Excluded		7	58.33											2	16.67		1	8.33								2	16.67		12
		TOTAL					128	40.25											18	5.66		13	4.09								159	50.00		318
	EIGHTH						9	50.00												Excluded		8	44.44								1	5.56		18
		TOTAL					137	43.08														21	6.60								160	50.31		318
	NINTH						9	42.86															Excluded								12	57.14		21
		TOTAL					146	45.91																							172	54.09		318
																															Elected			
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
