Senate - 1996 Election: New South Wales    														
Result of the Transfer and Distribution of Preferences														
Election of 6 Senators														
														
Quota = 3682283   +   1 =  526041														
6 + 1														
														
				First			Count 2			Count 3			Count 4	
E	"WELSH, Lorraine"	SEN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
F	"PHILLIPS, John"	AFI	7	62033		6	62039		3	62042		7	62049	
F	"O'REGAN, Bevan"	AFI	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
			 	 										
G	"WEST, Sue"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"CHILDS, Bruce"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"WHEELWRIGHT, Tom"	ALP	16	316713		11	316724		2	316726		26	316752	
G	"BARGHOUT, Rima"	ALP	0	1386		4	1390		1	1391		8	1399	
														
H	"BOURNE, Vicki"	DEM	30	350819		39	350858		12	350870		457	351327	
H	"CHESTERFIELD-EVANS, Arthur"	DEM	1	716		2	718		1	719		-719	0	Excluded
H	"LARCOS, Andrew"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
H	"ANDERSON, Troy"	DEM	4	901		3	904		1	905		136	1041	
														
I	"SCHOLLBACH, Robert Frederick"		0	3605		2	3607		588	4195		1	4196	
I	"STIRLING, Amanda Jane"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
J	"SIMS, Richard"	ASP	5	74106		3	74109		3	74112		4	74116	
J	"BOURKE, Robyn"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
J	"REDFERN, Daniel"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
J	"FRANICH, Rodney"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
K	"GALATI, Tony"		0	1133		0	1133		4	1137		1	1138	
K	"GALATI, Sam"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
L	"DUNCAN, Darelle"	AWP	5	17465		5	17470		9	17479		3	17482	
L	"THEW, Sarah"	AWP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
M	"BUTLER, Robert H"		1	662		1	663		-663	0	Excluded	0	0	Excluded
M	"COSGROVE, Lindsay D"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
N	"BREEN, Peter"	ABR	0	2798		4	2802		6	2808		0	2808	
N	"McNALLY, Kerry"	RPA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"HOUSEGO, Valerie"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"BEKELE, Assefa"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"FAHEY, Antoinette"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
O	"VERHEYEN, John"	GRY	5	5173		5	5178		2	5180		2	5182	
O	"HETTERSCHEID, Theo"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"SEGERSTROM, Bob"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"PICKERING, Olga"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
P	"KNOLES, Catherine"	NLP	0	3717		4	3721		1	3722		0	3722	
P	"JUDD, Ines"	NLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Q	"FINDLAY-BARNES, Teresa"	ABF	6	19008		5	19013		4	19017		2	19019	
Q	"TRIBE, David"	ABF	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
R	"WEBSTER, Alasdair"	CTA	19	73035		1	73036		3	73039		4	73043	
R	"WEBSTER, Elaine"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"McLENNAN, Graham Clarke"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"BIRD, Bill"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"COLEMAN, Bruce"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Ungrouped														
	"JONES, Morris"	IND	16	551		-551	0	Excluded	0	0	Excluded	0	0	Excluded
	"IVOR, F"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"BARBARA, John"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"HURLEY, Jade"	IND	63	5058		330	5388		4	5392		3	5395	
	"PINNIGER, Gretel"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"UNDERWOOD, Dian"	IND	189	712		69	781		2	783		1	784	
	"PATTERSON, Ray"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"PIGGIN, David"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"BRADLEY, Bill"	IND	-454	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
															
	Exhausted Votes		1	58		2	60		0	60		1	61		
	Loss by Fraction		1	143		0	143		0	143		11	154		
															
	Total Votes		454	3682283		551	3682283		663	3682283		719	3682283		
															
	Notes		Candidate Excluded			Candidate Excluded			Candidate Excluded			Candidate Excluded			
			"Bradley, B"			"Jones, M"			"Butler, R"			"Chesterfield-Evans, A"			
															
															
															
				Count 131-135			Count 136-140			Count 141-145			Count 146-150		
			Votes	Progress		Votes	Progress		Votes	Progress		Votes	Progress		
	Candidates		Transfd	Total	Status	Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status	
A	"KITSON, David"	RARI	14	44845		5	44850		5	44855		4	44859		
A	"O'CALLAGHAN, Carolyn"	RARI	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded	
														
B	"WOODS, Bob"	LP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"BROWNHILL, David"	NP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"COONAN, Helen"	LP	72	468788		8	468796		10	468806		1064	469870	
B	"CONSTANTIN, Abraham"	LP	3	1185		2	1187		10	1197		0	1197	
														
C	"SPERLING, Karla"	GRN	7	97449		694	98143		26	98169		2	98171	
C	"DENTON, Peter"	GRN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
C	"ELIX, Jane"	GRN	3	801		-801	0	Excluded	0	0	Excluded	0	0	Excluded
C	"MATSON, Murray"	GRN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
D	"NASH, Chris"	NAN	0	17130		10	17140		8	17148		1	17149	
D	"HALE, Sylvia"	NAN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
E	"EVANS, Beryl"	SEN	4	8356		7	8363		4	8367		4	8371	
E	"WELSH, Lorraine"	SEN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
F	"PHILLIPS, John"	AFI	5	62054		6	62060		11	62071		1	62072	
F	"O'REGAN, Bevan"	AFI	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
G	"WEST, Sue"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"CHILDS, Bruce"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"WHEELWRIGHT, Tom"	ALP	27	316779		6	316785		31	316816		5	316821	
G	"BARGHOUT, Rima"	ALP	2	1401		3	1404		19	1423		3	1426	
														
H	"BOURNE, Vicki"	DEM	35	351362		23	351385		881	352266		4	352270	
H	"CHESTERFIELD-EVANS, Arthur"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
H	"LARCOS, Andrew"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
H	"ANDERSON, Troy"	DEM	1	1042		8	1050		-1050	0	Excluded	0	0	Excluded
														
I	"SCHOLLBACH, Robert Frederick"		0	4196		1	4197		3	4200		9	4209	
I	"STIRLING, Amanda Jane"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
J	"SIMS, Richard"	ASP	18	74134		0	74134		3	74137		16	74153	
J	"BOURKE, Robyn"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
J	"REDFERN, Daniel"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
J	"FRANICH, Rodney"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
K	"GALATI, Tony"		3	1141		0	1141		2	1143		-1143	0	Excluded
K	"GALATI, Sam"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
L	"DUNCAN, Darelle"	AWP	8	17490		14	17504		4	17508		14	17522	
L	"THEW, Sarah"	AWP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
M	"BUTLER, Robert H"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
M	"COSGROVE, Lindsay D"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
N	"BREEN, Peter"	ABR	5	2813		0	2813		2	2815		2	2817	
N	"McNALLY, Kerry"	RPA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"HOUSEGO, Valerie"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"BEKELE, Assefa"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"FAHEY, Antoinette"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
O	"VERHEYEN, John"	GRY	7	5189		0	5189		1	5190		1	5191	
O	"HETTERSCHEID, Theo"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"SEGERSTROM, Bob"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"PICKERING, Olga"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
P	"KNOLES, Catherine"	NLP	8	3730		1	3731		0	3731		3	3734	
P	"JUDD, Ines"	NLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Q	"FINDLAY-BARNES, Teresa"	ABF	35	19054		4	19058		4	19062		4	19066	
Q	"TRIBE, David"	ABF	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
R	"WEBSTER, Alasdair"	CTA	20	73063		0	73063		2	73065		1	73066	
R	"WEBSTER, Elaine"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"McLENNAN, Graham Clarke"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"BIRD, Bill"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"COLEMAN, Bruce"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Ungrouped														
	"JONES, Morris"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"IVOR, F"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"BARBARA, John"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"HURLEY, Jade"	IND	500	5895		3	5898		13	5911		5	5916	
	"PINNIGER, Gretel"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"UNDERWOOD, Dian"	IND	-784	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"PATTERSON, Ray"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"PIGGIN, David"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"BRADLEY, Bill"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
	Exhausted Votes		6	67		1	68		6	74		0	74	
	Loss by Fraction		1	155		5	160		5	165		0	165	
														
	Total Votes		784	3682283		801	3682283		1050	3682283		1143	3682283	
														
	Notes		Candidate Excluded			Candidate Excluded			Candidate Excluded			Candidate Excluded		
			"Underwood, D"			"Elix, J"			"Anderson, T"			"Galati, T"		
														
														
														
				Count 151-155			Count 156-160			Count 161-165			Count 166-170	
			Votes	Progress		Votes	Progress		Votes	Progress		Votes	Progress	
	Candidates		Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status
A	"KITSON, David"	RARI	20	44879		9	44888		12	44900		22	44922	
A	"O'CALLAGHAN, Carolyn"	RARI	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
B	"WOODS, Bob"	LP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"BROWNHILL, David"	NP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"COONAN, Helen"	LP	1077	470947		16	470963		41	471004		29	471033	
B	"CONSTANTIN, Abraham"	LP	-1197	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
C	"SPERLING, Karla"	GRN	8	98179		18	98197		2371	100568		117	100685	
C	"DENTON, Peter"	GRN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
C	"ELIX, Jane"	GRN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
C	"MATSON, Murray"	GRN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
D	"NASH, Chris"	NAN	6	17155		9	17164		20	17184		27	17211	
D	"HALE, Sylvia"	NAN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
E	"EVANS, Beryl"	SEN	4	8375		4	8379		5	8384		9	8393	
E	"WELSH, Lorraine"	SEN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
F	"PHILLIPS, John"	AFI	7	62079		6	62085		14	62099		23	62122	
F	"O'REGAN, Bevan"	AFI	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
G	"WEST, Sue"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"CHILDS, Bruce"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"WHEELWRIGHT, Tom"	ALP	16	316837		1285	318122		95	318217		52	318269	
G	"BARGHOUT, Rima"	ALP	14	1440		-1440	0	Excluded	0	0	Excluded	0	0	Excluded
														
H	"BOURNE, Vicki"	DEM	18	352288		47	352335		84	352419		3271	355690	
H	"CHESTERFIELD-EVANS, Arthur"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
H	"LARCOS, Andrew"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
H	"ANDERSON, Troy"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
I	"SCHOLLBACH, Robert Frederick"		0	4209		2	4211		3	4214		2	4216	
I	"STIRLING, Amanda Jane"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
J	"SIMS, Richard"	ASP	3	74156		2	74158		11	74169		12	74181	
J	"BOURKE, Robyn"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
J	"REDFERN, Daniel"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
J	"FRANICH, Rodney"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
K	"GALATI, Tony"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
K	"GALATI, Sam"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
L	"DUNCAN, Darelle"	AWP	2	17524		9	17533		35	17568		40	17608	
L	"THEW, Sarah"	AWP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
M	"BUTLER, Robert H"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
M	"COSGROVE, Lindsay D"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
N	"BREEN, Peter"	ABR	0	2817		1	2818		-2818	0	Excluded	0	0	Excluded
N	"McNALLY, Kerry"	RPA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"HOUSEGO, Valerie"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"BEKELE, Assefa"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"FAHEY, Antoinette"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
O	"VERHEYEN, John"	GRY	1	5192		1	5193		48	5241		27	5268	
O	"HETTERSCHEID, Theo"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"SEGERSTROM, Bob"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"PICKERING, Olga"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
P	"KNOLES, Catherine"	NLP	2	3736		1	3737		21	3758		-3758	0	Excluded
P	"JUDD, Ines"	NLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Q	"FINDLAY-BARNES, Teresa"	ABF	0	19066		5	19071		24	19095		83	19178	
Q	"TRIBE, David"	ABF	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
R	"WEBSTER, Alasdair"	CTA	3	73069		2	73071		19	73090		16	73106	
R	"WEBSTER, Elaine"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"McLENNAN, Graham Clarke"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"BIRD, Bill"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"COLEMAN, Bruce"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Ungrouped														
	"JONES, Morris"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"IVOR, F"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"BARBARA, John"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"HURLEY, Jade"	IND	2	5918		6	5924		10	5934		25	5959	
	"PINNIGER, Gretel"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"UNDERWOOD, Dian"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"PATTERSON, Ray"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"PIGGIN, David"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"BRADLEY, Bill"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
	Exhausted Votes		4	78		7	85		3	88		3	91	
	Loss by Fraction		10	175		10	185		2	187		0	187	
														
	Total Votes		1197	3682283		1440	3682283		2818	3682283		3758	3682283	
														
	Notes		Candidate Excluded			Candidate Excluded			Candidate Excluded			Candidate Excluded		
			"Constantin, A"			"Barghout, R"			"Breen, P"			"Knoles, C"		
														
														
														
				Count 171-175			Count 176-180			Count 181-185			Count 186-190	
			Votes	Progress		Votes	Progress		Votes	Progress		Votes	Progress	
	Candidates		Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status
A	"KITSON, David"	RARI	8	44930		5031	49961		150	50111		158	50269	
A	"O'CALLAGHAN, Carolyn"	RARI	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
B	"WOODS, Bob"	LP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"BROWNHILL, David"	NP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"COONAN, Helen"	LP	16	471049		1355	472404		297	472701		506	473207	
B	"CONSTANTIN, Abraham"	LP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
C	"SPERLING, Karla"	GRN	6	100691		207	100898		90	100988		1067	102055	
C	"DENTON, Peter"	GRN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
C	"ELIX, Jane"	GRN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
C	"MATSON, Murray"	GRN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
D	"NASH, Chris"	NAN	3	17214		78	17292		102	17394		-17394	0	Excluded
D	"HALE, Sylvia"	NAN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
E	"EVANS, Beryl"	SEN	3486	11879		381	12260		-12260	0	Excluded	0	0	Excluded
E	"WELSH, Lorraine"	SEN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
F	"PHILLIPS, John"	AFI	595	62717		377	63094		169	63263		215	63478	
F	"O'REGAN, Bevan"	AFI	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
G	"WEST, Sue"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"CHILDS, Bruce"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"WHEELWRIGHT, Tom"	ALP	9	318278		597	318875		97	318972		392	319364	
G	"BARGHOUT, Rima"	ALP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
H	"BOURNE, Vicki"	DEM	41	355731		927	356658		7620	364278		1100	365378	
H	"CHESTERFIELD-EVANS, Arthur"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
H	"LARCOS, Andrew"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
H	"ANDERSON, Troy"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
I	"SCHOLLBACH, Robert Frederick"		-4216	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
I	"STIRLING, Amanda Jane"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
J	"SIMS, Richard"	ASP	7	74188		268	74456		54	74510		38	74548	
J	"BOURKE, Robyn"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
J	"REDFERN, Daniel"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
J	"FRANICH, Rodney"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
K	"GALATI, Tony"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
K	"GALATI, Sam"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
L	"DUNCAN, Darelle"	AWP	14	17622		288	17910		62	17972		87	18059	
L	"THEW, Sarah"	AWP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
M	"BUTLER, Robert H"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
M	"COSGROVE, Lindsay D"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
N	"BREEN, Peter"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"McNALLY, Kerry"	RPA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"HOUSEGO, Valerie"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"BEKELE, Assefa"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"FAHEY, Antoinette"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
O	"VERHEYEN, John"	GRY	4	5272		-5272	0	Excluded	0	0	Excluded	0	0	Excluded
O	"HETTERSCHEID, Theo"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"SEGERSTROM, Bob"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"PICKERING, Olga"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
P	"KNOLES, Catherine"	NLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
P	"JUDD, Ines"	NLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Q	"FINDLAY-BARNES, Teresa"	ABF	3	19181		747	19928		3540	23468		13766	37234	
Q	"TRIBE, David"	ABF	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
R	"WEBSTER, Alasdair"	CTA	0	73106		944	74050		60	74110		42	74152	
R	"WEBSTER, Elaine"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"McLENNAN, Graham Clarke"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"BIRD, Bill"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"COLEMAN, Bruce"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Ungrouped														
	"JONES, Morris"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"IVOR, F"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"BARBARA, John"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"HURLEY, Jade"	IND	21	5980		-5980	0	Excluded	0	0	Excluded	0	0	Excluded
	"PINNIGER, Gretel"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"UNDERWOOD, Dian"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"PATTERSON, Ray"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"PIGGIN, David"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"BRADLEY, Bill"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
	Exhausted Votes		2	93		46	139		17	156		21	177	
	Loss by Fraction		1	188		6	194		2	196		2	198	
														
	Total Votes		4216	3682283		11252	3682283		12260	3682283		17394	3682283	
														
	Notes		Candidate Excluded			Candidates Excluded			Candidate Excluded			Candidate Excluded		
			"Schollbach, R"			"Verheyen, J"			"Evans, B"			"Nash, C"		
			 			"Hurley, J"								
														
														
														
				Count 191-195			Count 196-200			Count 201-205			Count 206-210	
			Votes 	Progress		Votes	Progress		Votes	Progress		Votes	Progress	
	Candidates		Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status
A	"KITSON, David"	RARI	71	50340		191	50531		-50531	0	Excluded	0	0	Excluded
A	"O'CALLAGHAN, Carolyn"	RARI	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
B	"WOODS, Bob"	LP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"BROWNHILL, David"	NP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"COONAN, Helen"	LP	121	473328		169	473497		7735	481232		3102	484334	
B	"CONSTANTIN, Abraham"	LP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
C	"SPERLING, Karla"	GRN	16397	118452		23141	141593		769	142362		1653	144015	
C	"DENTON, Peter"	GRN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
C	"ELIX, Jane"	GRN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
