Senate - 1996 Election: New South Wales																																																																			
First Preference Votes by Group																																																																			
By Polling Place																																																																			


Banks (78925)																																																																			
	   		Group Total RARI			Group Total LNP			Group Total GRN			Group Total NAN			Group Total SEN			Group Total AFI			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group I			Group Total ASP			Group Total - Unendorsed Group K			Group Total AWP			Group Total - Unendorsed Group M			Group Total RBR			Group Total GRY			Group Total NLP			Group Total ABF			Group Total CTA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Bonny Hills		                                	7	0.79	 	415	46.84	 	26	2.93	 	1	0.11	 	1	0.11	 	34	3.84	 	300	33.86	 	68	7.67	 	0	0	 	10	1.13	 	0	0	 	3	0.34	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.11	 	20	2.26	 	0	0	 	886	98.01	 	18	1.99	 	904	1.17
Burrell Creek		                              	4	1.83	 	142	65.14	 	4	1.83	 	0	0	 	0	0	 	4	1.83	 	32	14.68	 	9	4.13	 	0	0	 	17	7.8	 	0	0	 	2	0.92	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.46	 	2	0.92	 	1	0.46	 	218	97.32	 	6	2.68	 	224	0.29
Bushland Place		                             	3	1.7	 	110	62.5	 	3	1.7	 	1	0.57	 	0	0	 	3	1.7	 	35	19.89	 	11	6.25	 	0	0	 	2	1.14	 	0	0	 	1	0.57	 	0	0	 	0	0	 	1	0.57	 	0	0	 	1	0.57	 	3	1.7	 	2	1.14	 	176	92.63	 	14	7.37	 	190	0.25
Byabarra		                                   	1	0.92	 	63	57.8	 	2	1.83	 	0	0	 	0	0	 	5	4.59	 	19	17.43	 	13	11.93	 	0	0	 	3	2.75	 	0	0	 	0	0	 	1	0.92	 	0	0	 	0	0	 	0	0	 	0	0	 	2	1.83	 	0	0	 	109	96.46	 	4	3.54	 	113	0.15
Chatham		                                    	31	1.68	 	967	52.53	 	24	1.3	 	0	0	 	2	0.11	 	52	2.82	 	524	28.46	 	117	6.36	 	0	0	 	46	2.5	 	0	0	 	8	0.43	 	0	0	 	2	0.11	 	2	0.11	 	0	0	 	15	0.81	 	44	2.39	 	7	0.38	 	1841	97.3	 	51	2.7	 	1892	2.46
Comboyne		                                   	2	0.57	 	260	74.29	 	7	2	 	0	0	 	0	0	 	10	2.86	 	43	12.29	 	16	4.57	 	0	0	 	4	1.14	 	0	0	 	1	0.29	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.29	 	5	1.43	 	1	0.29	 	350	96.42	 	13	3.58	 	363	0.47
Coopernook		                                 	3	0.8	 	194	51.6	 	3	0.8	 	0	0	 	0	0	 	4	1.06	 	111	29.52	 	29	7.71	 	0	0	 	10	2.66	 	1	0.27	 	3	0.8	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.53	 	16	4.26	 	0	0	 	376	96.41	 	14	3.59	 	390	0.51
Crowdy Head		                                	0	0	 	49	51.04	 	4	4.17	 	0	0	 	0	0	 	3	3.13	 	29	30.21	 	6	6.25	 	0	0	 	3	3.13	 	0	0	 	1	1.04	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.04	 	0	0	 	96	95.05	 	5	4.95	 	101	0.13
Cundletown		                                 	14	1.04	 	750	55.6	 	34	2.52	 	1	0.07	 	2	0.15	 	31	2.3	 	339	25.13	 	63	4.67	 	2	0.15	 	52	3.85	 	2	0.15	 	2	0.15	 	1	0.07	 	1	0.07	 	4	0.3	 	3	0.22	 	10	0.74	 	37	2.74	 	1	0.07	 	1349	96.98	 	42	3.02	 	1391	1.8
Dunbogan		                                   	2	0.37	 	272	50.65	 	15	2.79	 	1	0.19	 	0	0	 	15	2.79	 	180	33.52	 	39	7.26	 	0	0	 	8	1.49	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.19	 	1	0.19	 	0	0	 	1	0.19	 	2	0.37	 	537	95.72	 	24	4.28	 	561	0.73
Dyers Crossing		                             	5	1.57	 	214	67.3	 	7	2.2	 	0	0	 	1	0.31	 	1	0.31	 	49	15.41	 	29	9.12	 	0	0	 	6	1.89	 	0	0	 	1	0.31	 	0	0	 	0	0	 	1	0.31	 	0	0	 	0	0	 	4	1.26	 	0	0	 	318	96.07	 	13	3.93	 	331	0.43
Elands		                                     	1	0.76	 	44	33.33	 	28	21.21	 	1	0.76	 	1	0.76	 	0	0	 	37	28.03	 	12	9.09	 	0	0	 	1	0.76	 	0	0	 	1	0.76	 	0	0	 	0	0	 	0	0	 	1	0.76	 	2	1.52	 	2	1.52	 	1	0.76	 	132	95.65	 	6	4.35	 	138	0.18
Failford		                                   	2	0.84	 	150	63.03	 	2	0.84	 	0	0	 	0	0	 	8	3.36	 	53	22.27	 	13	5.46	 	0	0	 	5	2.1	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	4	1.68	 	1	0.42	 	238	98.76	 	3	1.24	 	241	0.31
Forster		                                    	20	1.28	 	706	45.03	 	58	3.7	 	2	0.13	 	4	0.26	 	43	2.74	 	549	35.01	 	105	6.7	 	1	0.06	 	17	1.08	 	2	0.13	 	11	0.7	 	1	0.06	 	0	0	 	3	0.19	 	0	0	 	10	0.64	 	17	1.08	 	19	1.21	 	1568	96.2	 	62	3.8	 	1630	2.12
Forster East		                               	7	0.51	 	774	55.97	 	32	2.31	 	0	0	 	2	0.14	 	26	1.88	 	389	28.13	 	93	6.72	 	0	0	 	13	0.94	 	0	0	 	2	0.14	 	0	0	 	0	0	 	0	0	 	0	0	 	8	0.58	 	17	1.23	 	20	1.45	 	1383	95.38	 	67	4.62	 	1450	1.88
Forster Keys		                               	4	0.39	 	596	58.15	 	15	1.46	 	2	0.2	 	0	0	 	14	1.37	 	274	26.73	 	71	6.93	 	0	0	 	14	1.37	 	0	0	 	2	0.2	 	0	0	 	0	0	 	2	0.2	 	1	0.1	 	1	0.1	 	16	1.56	 	13	1.27	 	1025	96.61	 	36	3.39	 	1061	1.38
Forster South		                              	30	1.16	 	1377	53.08	 	42	1.62	 	1	0.04	 	12	0.46	 	37	1.43	 	802	30.92	 	170	6.55	 	2	0.08	 	23	0.89	 	0	0	 	7	0.27	 	0	0	 	1	0.04	 	1	0.04	 	2	0.08	 	8	0.31	 	48	1.85	 	31	1.2	 	2594	96.22	 	102	3.78	 	2696	3.5
Ghinni Ghinni		                              	0	0	 	64	59.81	 	1	0.93	 	0	0	 	2	1.87	 	0	0	 	22	20.56	 	4	3.74	 	0	0	 	8	7.48	 	0	0	 	1	0.93	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	3	2.8	 	2	1.87	 	107	96.4	 	4	3.6	 	111	0.14
Green Point Wallis Lake		                    	1	0.49	 	93	45.37	 	12	5.85	 	0	0	 	0	0	 	5	2.44	 	66	32.2	 	20	9.76	 	0	0	 	1	0.49	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.49	 	6	2.93	 	0	0	 	205	97.62	 	5	2.38	 	210	0.27
Hallidays Point		                            	9	1.01	 	441	49.38	 	20	2.24	 	0	0	 	3	0.34	 	22	2.46	 	244	27.32	 	111	12.43	 	0	0	 	14	1.57	 	0	0	 	6	0.67	 	0	0	 	0	0	 	1	0.11	 	0	0	 	2	0.22	 	13	1.46	 	7	0.78	 	893	97.07	 	27	2.93	 	920	1.19
Hannam Vale		                                	4	2.19	 	77	42.08	 	11	6.01	 	1	0.55	 	0	0	 	3	1.64	 	51	27.87	 	15	8.2	 	0	0	 	6	3.28	 	5	2.73	 	0	0	 	0	0	 	1	0.55	 	1	0.55	 	0	0	 	0	0	 	7	3.83	 	1	0.55	 	183	96.32	 	7	3.68	 	190	0.25
Harrington		                                 	11	1.07	 	476	46.48	 	15	1.46	 	2	0.2	 	5	0.49	 	22	2.15	 	388	37.89	 	49	4.79	 	1	0.1	 	34	3.32	 	0	0	 	2	0.2	 	0	0	 	0	0	 	2	0.2	 	2	0.2	 	1	0.1	 	14	1.37	 	0	0	 	1024	96.51	 	37	3.49	 	1061	1.38
Herons Creek		                               	2	1.46	 	75	54.74	 	4	2.92	 	1	0.73	 	0	0	 	2	1.46	 	39	28.47	 	10	7.3	 	0	0	 	2	1.46	 	0	0	 	2	1.46	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	137	98.56	 	2	1.44	 	139	0.18
Hibbard		                                    	13	1.08	 	617	51.2	 	18	1.49	 	1	0.08	 	1	0.08	 	15	1.24	 	343	28.46	 	78	6.47	 	0	0	 	75	6.22	 	0	0	 	3	0.25	 	0	0	 	1	0.08	 	3	0.25	 	4	0.33	 	5	0.41	 	25	2.07	 	3	0.25	 	1205	96.17	 	48	3.83	 	1253	1.63
Huntingdon		                                 	1	0.54	 	120	64.52	 	6	3.23	 	0	0	 	0	0	 	1	0.54	 	26	13.98	 	22	11.83	 	0	0	 	2	1.08	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	8	4.3	 	0	0	 	186	99.47	 	1	0.53	 	187	0.24
Johns River		                                	2	1.06	 	79	41.8	 	4	2.12	 	0	0	 	0	0	 	6	3.17	 	39	20.63	 	11	5.82	 	0	0	 	9	4.76	 	13	6.88	 	1	0.53	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.53	 	24	12.7	 	0	0	 	189	96.43	 	7	3.57	 	196	0.25
Kendall		                                    	6	0.87	 	337	48.91	 	23	3.34	 	0	0	 	1	0.15	 	28	4.06	 	195	28.3	 	49	7.11	 	1	0.15	 	31	4.5	 	1	0.15	 	3	0.44	 	1	0.15	 	0	0	 	1	0.15	 	0	0	 	7	1.02	 	3	0.44	 	2	0.29	 	689	97.18	 	20	2.82	 	709	0.92
Kew		                                        	2	0.61	 	174	52.73	 	11	3.33	 	0	0	 	1	0.3	 	8	2.42	 	78	23.64	 	25	7.58	 	0	0	 	15	4.55	 	3	0.91	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	12	3.64	 	1	0.3	 	330	97.35	 	9	2.65	 	339	0.44
Killabakh		                                  	0	0	 	58	58	 	2	2	 	1	1	 	0	0	 	1	1	 	29	29	 	6	6	 	0	0	 	2	2	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1	 	0	0	 	100	99.01	 	1	0.99	 	101	0.13
Krambach		                                   	2	0.58	 	201	58.26	 	5	1.45	 	0	0	 	1	0.29	 	11	3.19	 	68	19.71	 	23	6.67	 	0	0	 	16	4.64	 	0	0	 	1	0.29	 	0	0	 	0	0	 	1	0.29	 	0	0	 	0	0	 	16	4.64	 	0	0	 	345	96.37	 	13	3.63	 	358	0.46
Lake Cathie		                                	15	1.46	 	502	49.02	 	29	2.83	 	0	0	 	3	0.29	 	32	3.13	 	322	31.45	 	86	8.4	 	1	0.1	 	13	1.27	 	0	0	 	0	0	 	1	0.1	 	1	0.1	 	2	0.2	 	0	0	 	4	0.39	 	12	1.17	 	1	0.1	 	1024	96.51	 	37	3.49	 	1061	1.38
Lansdowne		                                  	2	0.33	 	291	48.66	 	12	2.01	 	0	0	 	1	0.17	 	27	4.52	 	179	29.93	 	33	5.52	 	1	0.17	 	24	4.01	 	1	0.17	 	6	1	 	0	0	 	0	0	 	2	0.33	 	0	0	 	1	0.17	 	18	3.01	 	0	0	 	598	98.84	 	7	1.16	 	605	0.79
Laurieton		                                  	25	1.19	 	1017	48.27	 	28	1.33	 	0	0	 	6	0.28	 	69	3.27	 	668	31.7	 	176	8.35	 	1	0.05	 	57	2.71	 	4	0.19	 	8	0.38	 	0	0	 	0	0	 	1	0.05	 	3	0.14	 	3	0.14	 	35	1.66	 	6	0.28	 	2107	95.56	 	98	4.44	 	2205	2.86
Long Flat		                                  	0	0	 	94	53.11	 	3	1.69	 	0	0	 	0	0	 	2	1.13	 	54	30.51	 	3	1.69	 	0	0	 	13	7.34	 	0	0	 	0	0	 	0	0	 	1	0.56	 	0	0	 	0	0	 	0	0	 	7	3.95	 	0	0	 	177	95.68	 	8	4.32	 	185	0.24
Lorne		                                      	0	0	 	72	67.92	 	3	2.83	 	0	0	 	0	0	 	1	0.94	 	16	15.09	 	12	11.32	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.94	 	1	0.94	 	0	0	 	106	96.36	 	4	3.64	 	110	0.14
Manning Point		                              	2	0.91	 	110	50.23	 	0	0	 	0	0	 	1	0.46	 	3	1.37	 	88	40.18	 	11	5.02	 	0	0	 	2	0.91	 	0	0	 	2	0.91	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	219	98.21	 	4	1.79	 	223	0.29
Marlee		                                     	0	0	 	79	42.47	 	26	13.98	 	0	0	 	1	0.54	 	3	1.61	 	40	21.51	 	21	11.29	 	0	0	 	6	3.23	 	0	0	 	1	0.54	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.54	 	6	3.23	 	2	1.08	 	186	98.41	 	3	1.59	 	189	0.25
Mitchells Island		                           	5	1.95	 	147	57.2	 	6	2.33	 	0	0	 	1	0.39	 	5	1.95	 	67	26.07	 	17	6.61	 	0	0	 	7	2.72	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.39	 	1	0.39	 	0	0	 	0	0	 	257	94.83	 	14	5.17	 	271	0.35
Moorland		                                   	4	1.27	 	194	61.39	 	14	4.43	 	0	0	 	1	0.32	 	5	1.58	 	52	16.46	 	11	3.48	 	0	0	 	17	5.38	 	3	0.95	 	2	0.63	 	0	0	 	0	0	 	0	0	 	1	0.32	 	2	0.63	 	8	2.53	 	2	0.63	 	316	96.64	 	11	3.36	 	327	0.42
Mount George		                               	4	1.61	 	134	54.03	 	12	4.84	 	0	0	 	1	0.4	 	2	0.81	 	45	18.15	 	16	6.45	 	0	0	 	25	10.08	 	0	0	 	5	2.02	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.81	 	2	0.81	 	0	0	 	248	96.5	 	9	3.5	 	257	0.33
Nabiac		                                     	3	0.39	 	428	55.37	 	18	2.33	 	1	0.13	 	2	0.26	 	20	2.59	 	188	24.32	 	48	6.21	 	1	0.13	 	35	4.53	 	1	0.13	 	7	0.91	 	0	0	 	1	0.13	 	3	0.39	 	0	0	 	3	0.39	 	10	1.29	 	4	0.52	 	773	97.23	 	22	2.77	 	795	1.03
North Haven		                                	17	1.28	 	588	44.14	 	27	2.03	 	0	0	 	3	0.23	 	36	2.7	 	516	38.74	 	82	6.16	 	3	0.23	 	24	1.8	 	1	0.08	 	3	0.23	 	1	0.08	 	1	0.08	 	1	0.08	 	0	0	 	4	0.3	 	20	1.5	 	5	0.38	 	1332	95.28	 	66	4.72	 	1398	1.81
Old Bar		                                    	19	0.99	 	872	45.3	 	70	3.64	 	2	0.1	 	4	0.21	 	42	2.18	 	603	31.32	 	154	8	 	0	0	 	68	3.53	 	0	0	 	7	0.36	 	0	0	 	1	0.05	 	6	0.31	 	1	0.05	 	9	0.47	 	64	3.32	 	3	0.16	 	1925	97.77	 	44	2.23	 	1969	2.56
Oxley Island		                               	1	0.76	 	70	53.03	 	3	2.27	 	0	0	 	0	0	 	3	2.27	 	30	22.73	 	14	10.61	 	0	0	 	9	6.82	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.76	 	1	0.76	 	0	0	 	132	99.25	 	1	0.75	 	133	0.17
Port Macquarie Central		                     	8	0.67	 	574	47.71	 	35	2.91	 	1	0.08	 	3	0.25	 	14	1.16	 	369	30.67	 	116	9.64	 	2	0.17	 	25	2.08	 	0	0	 	6	0.5	 	0	0	 	2	0.17	 	0	0	 	0	0	 	6	0.5	 	37	3.08	 	5	0.42	 	1203	97.96	 	25	2.04	 	1228	1.59
Port Macquarie Civic		                       	23	1.24	 	986	53.01	 	60	3.23	 	3	0.16	 	7	0.38	 	41	2.2	 	506	27.2	 	149	8.01	 	0	0	 	32	1.72	 	0	0	 	12	0.65	 	0	0	 	0	0	 	1	0.05	 	0	0	 	9	0.48	 	31	1.67	 	0	0	 	1860	96.27	 	72	3.73	 	1932	2.51
Port Macquarie East		                        	32	0.76	 	2223	52.88	 	110	2.62	 	4	0.1	 	17	0.4	 	72	1.71	 	1201	28.57	 	313	7.45	 	3	0.07	 	97	2.31	 	1	0.02	 	12	0.29	 	0	0	 	2	0.05	 	8	0.19	 	3	0.07	 	16	0.38	 	85	2.02	 	5	0.12	 	4204	96.71	 	143	3.29	 	4347	5.64
Port Macquarie Hospital		                    	5	1.61	 	159	51.29	 	7	2.26	 	0	0	 	0	0	 	8	2.58	 	84	27.1	 	25	8.06	 	0	0	 	4	1.29	 	0	0	 	2	0.65	 	0	0	 	0	0	 	2	0.65	 	0	0	 	3	0.97	 	11	3.55	 	0	0	 	310	98.1	 	6	1.9	 	316	0.41
Port Macquarie South		                       	17	0.72	 	1296	54.64	 	42	1.77	 	0	0	 	2	0.08	 	32	1.35	 	623	26.26	 	202	8.52	 	2	0.08	 	52	2.19	 	0	0	 	5	0.21	 	0	0	 	0	0	 	3	0.13	 	0	0	 	11	0.46	 	80	3.37	 	5	0.21	 	2372	97.41	 	63	2.59	 	2435	3.16
Port Macquarie West		                        	30	0.87	 	1786	51.77	 	59	1.71	 	1	0.03	 	3	0.09	 	83	2.41	 	1025	29.71	 	185	5.36	 	0	0	 	130	3.77	 	3	0.09	 	18	0.52	 	0	0	 	1	0.03	 	8	0.23	 	2	0.06	 	23	0.67	 	85	2.46	 	8	0.23	 	3450	95.86	 	149	4.14	 	3599	4.67
Purfleet		                                   	1	0.49	 	97	47.55	 	2	0.98	 	0	0	 	0	0	 	4	1.96	 	80	39.22	 	6	2.94	 	0	0	 	6	2.94	 	0	0	 	1	0.49	 	0	0	 	0	0	 	1	0.49	 	0	0	 	1	0.49	 	4	1.96	 	1	0.49	 	204	98.55	 	3	1.45	 	207	0.27
Settlement Shores		                          	11	1.13	 	500	51.28	 	19	1.95	 	1	0.1	 	0	0	 	24	2.46	 	296	30.36	 	72	7.38	 	0	0	 	20	2.05	 	0	0	 	2	0.21	 	1	0.1	 	0	0	 	0	0	 	0	0	 	7	0.72	 	20	2.05	 	2	0.21	 	975	97.01	 	30	2.99	 	1005	1.3
Sydney (Lyne)		                              	3	5.88	 	23	45.1	 	3	5.88	 	0	0	 	0	0	 	0	0	 	14	27.45	 	5	9.8	 	0	0	 	0	0	 	0	0	 	2	3.92	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.96	 	0	0	 	51	100	 	0	0	 	51	0.07
Tacking Point		                              	16	0.7	 	1278	55.95	 	51	2.23	 	0	0	 	3	0.13	 	40	1.75	 	599	26.23	 	179	7.84	 	3	0.13	 	37	1.62	 	0	0	 	6	0.26	 	0	0	 	0	0	 	3	0.13	 	1	0.04	 	4	0.18	 	62	2.71	 	2	0.09	 	2284	97.82	 	51	2.18	 	2335	3.03
Taree		                                      	29	1.43	 	956	47.07	 	63	3.1	 	2	0.1	 	3	0.15	 	48	2.36	 	585	28.8	 	165	8.12	 	1	0.05	 	77	3.79	 	2	0.1	 	13	0.64	 	2	0.1	 	1	0.05	 	0	0	 	3	0.15	 	22	1.08	 	54	2.66	 	5	0.25	 	2031	95.94	 	86	4.06	 	2117	2.75
Taree Central		                              	7	0.73	 	507	52.87	 	18	1.88	 	0	0	 	0	0	 	16	1.67	 	261	27.22	 	73	7.61	 	0	0	 	24	2.5	 	0	0	 	7	0.73	 	0	0	 	0	0	 	2	0.21	 	0	0	 	6	0.63	 	36	3.75	 	2	0.21	 	959	96.87	 	31	3.13	 	990	1.28
Taree Hospital		                             	5	2.06	 	116	47.74	 	14	5.76	 	0	0	 	0	0	 	3	1.23	 	57	23.46	 	31	12.76	 	0	0	 	4	1.65	 	0	0	 	3	1.23	 	0	0	 	0	0	 	0	0	 	0	0	 	5	2.06	 	3	1.23	 	2	0.82	 	243	97.98	 	5	2.02	 	248	0.32
Taree North		                                	15	1.05	 	579	40.57	 	30	2.1	 	2	0.14	 	3	0.21	 	44	3.08	 	516	36.16	 	78	5.47	 	1	0.07	 	77	5.4	 	0	0	 	7	0.49	 	0	0	 	3	0.21	 	3	0.21	 	0	0	 	19	1.33	 	45	3.15	 	5	0.35	 	1427	97.41	 	38	2.59	 	1465	1.9
Taree West		                                 	26	0.93	 	1614	57.5	 	50	1.78	 	2	0.07	 	9	0.32	 	42	1.5	 	664	23.66	 	168	5.99	 	1	0.04	 	91	3.24	 	4	0.14	 	8	0.29	 	0	0	 	0	0	 	3	0.11	 	1	0.04	 	19	0.68	 	96	3.42	 	9	0.32	 	2807	97.3	 	78	2.7	 	2885	3.74
Tinonee		                                    	8	1.01	 	432	54.41	 	19	2.39	 	0	0	 	0	0	 	10	1.26	 	154	19.4	 	68	8.56	 	0	0	 	39	4.91	 	1	0.13	 	4	0.5	 	0	0	 	0	0	 	2	0.25	 	3	0.38	 	2	0.25	 	45	5.67	 	7	0.88	 	794	97.78	 	18	2.22	 	812	1.05
Tuncurry		                                   	33	1.01	 	1717	52.75	 	56	1.72	 	5	0.15	 	6	0.18	 	78	2.4	 	1038	31.89	 	194	5.96	 	3	0.09	 	30	0.92	 	1	0.03	 	14	0.43	 	0	0	 	2	0.06	 	5	0.15	 	0	0	 	14	0.43	 	28	0.86	 	31	0.95	 	3255	96.5	 	118	3.5	 	3373	4.38
Upper Lansdowne		                            	1	0.67	 	77	51.68	 	6	4.03	 	0	0	 	1	0.67	 	3	2.01	 	43	28.86	 	12	8.05	 	0	0	 	4	2.68	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	1.34	 	0	0	 	149	98.03	 	3	1.97	 	152	0.2
Wauchope		                                   	27	1.44	 	1036	55.31	 	39	2.08	 	3	0.16	 	3	0.16	 	49	2.62	 	420	22.42	 	119	6.35	 	0	0	 	94	5.02	 	2	0.11	 	8	0.43	 	0	0	 	0	0	 	1	0.05	 	2	0.11	 	6	0.32	 	63	3.36	 	1	0.05	 	1873	95.9	 	80	4.1	 	1953	2.53
Wauchope South		                             	24	1.57	 	864	56.69	 	16	1.05	 	2	0.13	 	1	0.07	 	30	1.97	 	379	24.87	 	76	4.99	 	0	0	 	55	3.61	 	1	0.07	 	3	0.2	 	0	0	 	0	0	 	1	0.07	 	2	0.13	 	8	0.52	 	62	4.07	 	0	0	 	1524	96.82	 	50	3.18	 	1574	2.04
Wherrol Flat		                               	4	2.21	 	89	49.17	 	11	6.08	 	0	0	 	0	0	 	3	1.66	 	39	21.55	 	14	7.73	 	0	0	 	8	4.42	 	0	0	 	1	0.55	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	12	6.63	 	0	0	 	181	97.31	 	5	2.69	 	186	0.24
Wingham		                                    	24	1.37	 	981	56.06	 	39	2.23	 	1	0.06	 	1	0.06	 	39	2.23	 	415	23.71	 	97	5.54	 	2	0.11	 	69	3.94	 	3	0.17	 	10	0.57	 	1	0.06	 	3	0.17	 	1	0.06	 	2	0.11	 	10	0.57	 	46	2.63	 	6	0.34	 	1750	96.31	 	67	3.69	 	1817	2.36
Wingham West		                               	22	1.27	 	949	54.89	 	34	1.97	 	3	0.17	 	2	0.12	 	50	2.89	 	415	24	 	97	5.61	 	1	0.06	 	64	3.7	 	4	0.23	 	16	0.93	 	0	0	 	2	0.12	 	0	0	 	1	0.06	 	15	0.87	 	54	3.12	 	0	0	 	1729	96.59	 	61	3.41	 	1790	2.32
Special Hospitals		                          	7	1.33	 	319	60.53	 	7	1.33	 	0	0	 	5	0.95	 	2	0.38	 	140	26.57	 	23	4.36	 	1	0.19	 	5	0.95	 	0	0	 	4	0.76	 	0	0	 	0	0	 	1	0.19	 	2	0.38	 	0	0	 	11	2.09	 	0	0	 	527	91.97	 	46	8.03	 	573	0.74
Total Ordinary		                             	664	1.03	 	33651	52.29	 	1479	2.3	 	49	0.08	 	132	0.21	 	1399	2.17	 	18144	28.2	 	4438	6.9	 	34	0.05	 	1793	2.79	 	59	0.09	 	269	0.42	 	10	0.02	 	27	0.04	 	84	0.13	 	42	0.07	 	315	0.49	 	1528	2.37	 	234	0.36	 	64351	96.67	 	2217	3.33	 	66568	86.38
ABSENT		                                     	49	1.13	 	2095	48.27	 	220	5.07	 	11	0.25	 	6	0.14	 	83	1.91	 	1217	28.04	 	374	8.62	 	2	0.05	 	93	2.14	 	3	0.07	 	23	0.53	 	0	0	 	6	0.14	 	1	0.02	 	3	0.07	 	35	0.81	 	108	2.49	 	11	0.25	 	4340	98.37	 	72	1.63	 	4412	5.73
POSTAL		                                     	27	1.52	 	1041	58.45	 	25	1.4	 	1	0.06	 	6	0.34	 	38	2.13	 	445	24.99	 	115	6.46	 	0	0	 	26	1.46	 	1	0.06	 	4	0.22	 	1	0.06	 	1	0.06	 	14	0.79	 	0	0	 	5	0.28	 	29	1.63	 	2	0.11	 	1781	98.13	 	34	1.87	 	1815	2.36
PRE_POLL		                                   	41	1.19	 	1943	56.29	 	87	2.52	 	2	0.06	 	15	0.43	 	66	1.91	 	905	26.22	 	198	5.74	 	4	0.12	 	68	1.97	 	4	0.12	 	12	0.35	 	1	0.03	 	2	0.06	 	6	0.17	 	2	0.06	 	16	0.46	 	78	2.26	 	2	0.06	 	3452	98.57	 	50	1.43	 	3502	4.54
PROVISIONAL		                                	12	1.6	 	296	39.52	 	36	4.81	 	1	0.13	 	0	0	 	21	2.8	 	274	36.58	 	35	4.67	 	0	0	 	40	5.34	 	2	0.27	 	4	0.53	 	0	0	 	1	0.13	 	0	0	 	2	0.27	 	4	0.53	 	21	2.8	 	0	0	 	749	97.65	 	18	2.35	 	767	1
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	793	1.06	 	39026	52.26	 	1847	2.47	 	64	0.09	 	159	0.21	 	1607	2.15	 	20985	28.1	 	5160	6.91	 	40	0.05	 	2020	2.71	 	69	0.09	 	312	0.42	 	12	0.02	 	37	0.05	 	105	0.14	 	49	0.07	 	375	0.5	 	1764	2.36	 	249	0.33	 	74673	96.9	 	2391	3.1	 	77064	97.16
 																																																																			


Macarthur (82226)																																																																			
	   		Group Total RARI			Group Total LNP			Group Total GRN			Group Total NAN			Group Total SEN			Group Total AFI			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group I			Group Total ASP			Group Total - Unendorsed Group K			Group Total AWP			Group Total - Unendorsed Group M			Group Total RBR			Group Total GRY			Group Total NLP			Group Total ABF			Group Total CTA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Ambarvale		                                  	24	1.02	 	882	37.47	 	50	2.12	 	2	0.08	 	2	0.08	 	71	3.02	 	984	41.8	 	237	10.07	 	2	0.08	 	22	0.93	 	0	0	 	7	0.3	 	0	0	 	0	0	 	1	0.04	 	0	0	 	19	0.81	 	51	2.17	 	0	0	 	2354	96.08	 	96	3.92	 	2450	3.07
Ambarvale West		                             	23	1.55	 	430	29.05	 	23	1.55	 	2	0.14	 	3	0.2	 	41	2.77	 	733	49.53	 	154	10.41	 	1	0.07	 	17	1.15	 	0	0	 	12	0.81	 	0	0	 	0	0	 	0	0	 	2	0.14	 	7	0.47	 	27	1.82	 	5	0.34	 	1480	97.82	 	33	2.18	 	1513	1.89
