Senate - 1998 Election															
First Preference Votes by Candidate															
By Vote Type by State															


New South Wales															
Enrolment 4076081															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
A		TICKET VOTES	ACS	387	0.28	13	0.34	5	0.48	91	0.2	26	0.26	522	0.26
		"ROGERS, Peter Leonard"	ACS	228	0.17	8	0.21	3	0.29	62	0.14	26	0.26	327	0.17
		"HARDY, Anthony"	ACS	11	0.01	1	0.03	0	0	4	0.01	3	0.03	19	0.01
		Group Total	ACS	626	0.46	22	0.58	8	0.77	157	0.35	55	0.55	868	0.44
B		TICKET VOTES	HAN	4906	3.57	122	3.21	45	4.31	1680	3.76	434	4.3	7187	3.65
		"O'BRIEN, Estelle"	HAN	1492	1.09	30	0.79	6	0.57	452	1.01	143	1.42	2123	1.08
		"LEYLAND, Jeremy"	HAN	209	0.15	7	0.18	0	0	57	0.13	38	0.38	311	0.16
		Group Total	HAN	6607	4.81	159	4.18	51	4.88	2189	4.9	615	6.1	9621	4.88
C		TICKET VOTES	AWP	423	0.31	19	0.5	7	0.67	162	0.36	44	0.44	655	0.33
		"HARIDAN, Annette M"	AWP	128	0.09	3	0.08	0	0	43	0.1	14	0.14	188	0.1
		"EDWARDS, Susanne J"	AWP	24	0.02	1	0.03	1	0.1	6	0.01	1	0.01	33	0.02
		Group Total	AWP	575	0.42	23	0.6	8	0.77	211	0.47	59	0.59	876	0.44
D		TICKET VOTES	LP	36855	26.81	944	24.83	211	20.19	12163	27.24	3424	33.96	53597	27.2
	#	"REID, Margaret"	LP	5073	3.69	129	3.39	27	2.58	1481	3.32	525	5.21	7235	3.67
		"RICHARDS, Gayle"	LP	384	0.28	7	0.18	2	0.19	118	0.26	42	0.42	553	0.28
		Group Total	LP	42312	30.78	1080	28.41	240	22.97	13762	30.82	3991	39.59	61385	31.15
E		TICKET VOTES	DEM	12773	9.29	358	9.42	70	6.7	4069	9.11	796	7.9	18066	9.17
		"FARLEY, Rick"	DEM	10560	7.68	265	6.97	42	4.02	2978	6.67	573	5.68	14418	7.32
		"SIEVERS, Wayne"	DEM	215	0.16	10	0.26	3	0.29	97	0.22	24	0.24	349	0.18
		Group Total	DEM	23548	17.13	633	16.65	115	11	7144	16	1393	13.82	32833	16.66
F		TICKET VOTES	ALP	48918	35.59	1387	36.48	493	47.18	16233	36.36	2840	28.17	69871	35.46
	#	"LUNDY, Kate"	ALP	9443	6.87	270	7.1	62	5.93	2780	6.23	664	6.59	13219	6.71
		"CONWAY, Peter Michael"	ALP	539	0.39	16	0.42	6	0.57	165	0.37	51	0.51	777	0.39
		Group Total	ALP	58900	42.85	1673	44	561	53.68	19178	42.95	3555	35.26	83867	42.56
G		TICKET VOTES	GRN	2606	1.9	143	3.76	46	4.4	1121	2.51	205	2.03	4121	2.09
		"FOSKEY, Deb"	GRN	1341	0.98	47	1.24	11	1.05	535	1.2	107	1.06	2041	1.04
		"CHRISTIAN, Lesley Anne"	GRN	127	0.09	7	0.18	2	0.19	70	0.16	17	0.17	223	0.11
		Group Total	GRN	4074	2.96	197	5.18	59	5.65	1726	3.87	329	3.26	6385	3.24
UNGROUPED															
		"HARRIS, Cec"	IND	114	0.08	8	0.21	1	0.1	36	0.08	11	0.11	170	0.09
		"EDGAR, Andrew"	IND	72	0.05	0	0	0	0	27	0.06	8	0.08	107	0.05
		"MILLER, John"	CTA	627	0.46	7	0.18	2	0.19	221	0.49	66	0.65	923	0.47
		Ungrouped Total		813	0.59	15	0.39	3	0.29	284	0.64	85	0.84	1200	0.61
			FORMAL	137455	97.78	3802	98.4	1045	97.21	44651	98.56	10082	99.12	197035	98.03
			INFORMAL	3119	2.22	62	1.6	30	2.79	651	1.44	90	0.88	3952	1.97
			TOTAL	140574	69.94	3864	1.92	1075	0.53	45302	22.54	10172	5.06	200987	95.92



Northern Territory															
Enrolment 105048															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	GRN	2606	3.28	0	0	124	5.36	262	3.09	66	2.34	3058	3.29
		"MARTIN, Lex"	GRN	868	1.09	0	0	28	1.21	118	1.39	24	0.85	1038	1.12
		"GOUGH, Andy"	GRN	108	0.14	0	0	5	0.22	15	0.18	8	0.28	136	0.15
		Group Total	GRN	3582	4.51	0	0	157	6.78	395	4.65	98	3.48	4232	4.55
B		TICKET VOTES	CLP	26796	33.76	0	0	605	26.13	3291	38.76	1200	42.63	31892	34.29
	#	"TAMBLING, Grant"	CLP	2832	3.57	0	0	54	2.33	411	4.84	223	7.92	3520	3.78
		"AUSTIN, Maisie Pauline"	CLP	549	0.69	0	0	7	0.3	67	0.79	28	0.99	651	0.7
		Group Total	CLP	30177	38.01	0	0	666	28.77	3769	44.39	1451	51.55	36063	38.78
C		TICKET VOTES	DEM	3144	3.96	0	0	72	3.11	345	4.06	115	4.09	3676	3.95
		"EDWARDS, Victor"	DEM	1088	1.37	0	0	6	0.26	122	1.44	36	1.28	1252	1.35
		"CLEMENTS, Peter"	DEM	165	0.21	0	0	3	0.13	16	0.19	7	0.25	191	0.21
		Group Total	DEM	4397	5.54	0	0	81	3.5	483	5.69	158	5.61	5119	5.5
D		TICKET VOTES	HAN	5781	7.28	0	0	179	7.73	743	8.75	275	9.77	6978	7.5
		"HAGGER, Ted"	HAN	1101	1.39	0	0	18	0.78	141	1.66	81	2.88	1341	1.44
		"MILLS, Dee"	HAN	292	0.37	0	0	4	0.17	23	0.27	19	0.67	338	0.36
		Group Total	HAN	7174	9.04	0	0	201	8.68	907	10.68	375	13.32	8657	9.31
E		TICKET VOTES	ALP	29895	37.66	0	0	1085	46.87	2455	28.92	589	20.92	34024	36.58
	#	"CROSSIN, Trish"	ALP	3105	3.91	0	0	105	4.54	374	4.41	114	4.05	3698	3.98
		"PHILLIPS, Charlie"	ALP	456	0.57	0	0	9	0.39	55	0.65	17	0.6	537	0.58
		Group Total	ALP	33456	42.15	0	0	1199	51.79	2884	33.97	720	25.58	38259	41.14
UNGROUPED															
		"POLKE, Jonathan"	IND	596	0.75	0	0	11	0.48	52	0.61	13	0.46	672	0.72
		Ungrouped Total		596	0.75	0	0	11	0.48	52	0.61	13	0.46	672	0.72
			FORMAL	79382	97.87	0	0	2315	98.05	8490	99	2815	99.15	93002	98.01
			INFORMAL	1731	2.13	0	0	46	1.95	86	1	24	0.85	1887	1.99
			TOTAL	81113	85.48	0	0	2361	2.49	8576	9.04	2839	2.99	94889	90.33
