Senate -  1998 Election: Queensland																																																																												
First Preference Votes by Group																																																																												
By Polling Place																																																																												

The results in this table reflect the result of the count before the Court of Disputed Returns found Ms Hill ineligible to stand.																																																																												
For further information on this issue refer to the Table Notes 'Note on the Queensland Senate election – 1998’																																																																												

Blair (74211)																																																																												

	   		Group Total QF			Group Total - Unendorsed Group B			Group Total - Unendorsed Group C			Group Total UNI			Group Total NP			Group Total FST			Group Total CDP			Group Total FLR			Group Total HAN			Group Total CEC			Group Total OAP			Group Total NLP			Group Total ARP			Group Total DEM			Group Total ACS			Group Total ALP			Group Total LP			Group Total AWP			Group Total - Unendorsed Group S			Group Total DSL			Group Total GRN			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Townsville South		                           	10	1.08	 	1	0.11	 	2	0.22	 	2	0.22	 	23	2.49	 	3	0.33	 	3	0.33	 	0	0	 	157	17.03	 	0	0	 	11	1.19	 	0	0	 	4	0.43	 	48	5.21	 	6	0.65	 	379	41.11	 	247	26.79	 	4	0.43	 	1	0.11	 	2	0.22	 	18	1.95	 	1	0.11	 	922	95.45	 	44	4.55	 	966	1.21
Townsville West		                            	6	0.83	 	3	0.41	 	0	0	 	4	0.55	 	19	2.62	 	3	0.41	 	14	1.93	 	0	0	 	105	14.48	 	1	0.14	 	2	0.28	 	1	0.14	 	0	0	 	46	6.34	 	3	0.41	 	260	35.86	 	227	31.31	 	8	1.1	 	0	0	 	2	0.28	 	21	2.9	 	0	0	 	725	96.93	 	23	3.07	 	748	0.93
Vincent		                                    	16	0.92	 	1	0.06	 	0	0	 	4	0.23	 	38	2.18	 	3	0.17	 	29	1.66	 	2	0.11	 	282	16.15	 	0	0	 	5	0.29	 	3	0.17	 	1	0.06	 	60	3.44	 	2	0.11	 	693	39.69	 	556	31.84	 	12	0.69	 	0	0	 	6	0.34	 	32	1.83	 	1	0.06	 	1746	97.54	 	44	2.46	 	1790	2.23
Willows		                                    	3	0.29	 	1	0.1	 	0	0	 	3	0.29	 	31	3.05	 	0	0	 	18	1.77	 	1	0.1	 	96	9.43	 	0	0	 	1	0.1	 	0	0	 	0	0	 	50	4.91	 	1	0.1	 	305	29.96	 	498	48.92	 	4	0.39	 	1	0.1	 	1	0.1	 	4	0.39	 	0	0	 	1018	97.6	 	25	2.4	 	1043	1.3
Woodstock		                                  	1	0.27	 	0	0	 	0	0	 	3	0.8	 	84	22.34	 	1	0.27	 	1	0.27	 	1	0.27	 	112	29.79	 	0	0	 	2	0.53	 	0	0	 	2	0.53	 	12	3.19	 	3	0.8	 	83	22.07	 	66	17.55	 	3	0.8	 	0	0	 	0	0	 	2	0.53	 	0	0	 	376	98.69	 	5	1.31	 	381	0.48
Wulguru		                                    	20	0.69	 	1	0.03	 	0	0	 	11	0.38	 	101	3.48	 	15	0.52	 	22	0.76	 	1	0.03	 	504	17.36	 	2	0.07	 	25	0.86	 	1	0.03	 	1	0.03	 	166	5.72	 	3	0.1	 	1099	37.84	 	876	30.17	 	14	0.48	 	3	0.1	 	4	0.14	 	34	1.17	 	1	0.03	 	2904	98.11	 	56	1.89	 	2960	3.7
Special Hospitals		                          	1	0.29	 	0	0	 	0	0	 	1	0.29	 	17	4.97	 	1	0.29	 	0	0	 	0	0	 	10	2.92	 	0	0	 	0	0	 	1	0.29	 	1	0.29	 	4	1.17	 	2	0.58	 	164	47.95	 	138	40.35	 	1	0.29	 	0	0	 	0	0	 	1	0.29	 	0	0	 	342	97.44	 	9	2.56	 	351	0.44
Total Ordinary		                             	456	0.69	 	40	0.06	 	20	0.03	 	261	0.4	 	2231	3.4	 	151	0.23	 	841	1.28	 	62	0.09	 	9870	15.03	 	24	0.04	 	320	0.49	 	45	0.07	 	59	0.09	 	3718	5.66	 	155	0.24	 	22887	34.84	 	22837	34.77	 	425	0.65	 	25	0.04	 	117	0.18	 	1112	1.69	 	29	0.04	 	65685	97.09	 	1967	2.91	 	67652	84.46
ABSENT		                                     	25	0.57	 	1	0.02	 	0	0	 	9	0.21	 	285	6.51	 	17	0.39	 	67	1.53	 	3	0.07	 	603	13.78	 	2	0.05	 	24	0.55	 	7	0.16	 	2	0.05	 	308	7.04	 	8	0.18	 	1500	34.29	 	1359	31.06	 	36	0.82	 	0	0	 	9	0.21	 	102	2.33	 	8	0.18	 	4375	98.74	 	56	1.26	 	4431	5.53
POSTAL		                                     	8	0.28	 	2	0.07	 	0	0	 	8	0.28	 	120	4.13	 	3	0.1	 	30	1.03	 	1	0.03	 	389	13.38	 	1	0.03	 	7	0.24	 	3	0.1	 	8	0.28	 	139	4.78	 	13	0.45	 	1044	35.9	 	1064	36.59	 	18	0.62	 	0	0	 	2	0.07	 	45	1.55	 	3	0.1	 	2908	98.21	 	53	1.79	 	2961	3.7
PRE_POLL		                                   	15	0.35	 	2	0.05	 	0	0	 	25	0.58	 	168	3.87	 	5	0.12	 	66	1.52	 	2	0.05	 	629	14.48	 	1	0.02	 	23	0.53	 	4	0.09	 	8	0.18	 	283	6.51	 	8	0.18	 	1301	29.94	 	1672	38.48	 	20	0.46	 	2	0.05	 	6	0.14	 	100	2.3	 	5	0.12	 	4345	98.93	 	47	1.07	 	4392	5.48
PROVISIONAL		                                	4	0.62	 	2	0.31	 	1	0.15	 	3	0.46	 	16	2.47	 	2	0.31	 	6	0.93	 	1	0.15	 	101	15.61	 	1	0.15	 	2	0.31	 	2	0.31	 	0	0	 	18	2.78	 	6	0.93	 	285	44.05	 	175	27.05	 	0	0	 	3	0.46	 	0	0	 	19	2.94	 	0	0	 	647	97.88	 	14	2.12	 	661	0.83
Division Summary		                           	508	0.65	 	47	0.06	 	21	0.03	 	306	0.39	 	2820	3.62	 	178	0.23	 	1010	1.3	 	69	0.09	 	11592	14.87	 	29	0.04	 	376	0.48	 	61	0.08	 	77	0.1	 	4466	5.73	 	190	0.24	 	27017	34.65	 	27107	34.77	 	499	0.64	 	30	0.04	 	134	0.17	 	1378	1.77	 	45	0.06	 	77960	97.33	 	2137	2.67	 	80097	94.84


Hinkler (78336)																																																																												

	   		Group Total QF			Group Total - Unendorsed Group B			Group Total - Unendorsed Group C			Group Total UNI			Group Total NP			Group Total FST			Group Total CDP			Group Total FLR			Group Total HAN			Group Total CEC			Group Total OAP			Group Total NLP			Group Total ARP			Group Total DEM			Group Total ACS			Group Total ALP			Group Total LP			Group Total AWP			Group Total - Unendorsed Group S			Group Total DSL			Group Total GRN			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Agnes Water		                                	4	0.65	 	1	0.16	 	0	0	 	6	0.98	 	174	28.43	 	1	0.16	 	1	0.16	 	5	0.82	 	145	23.69	 	1	0.16	 	5	0.82	 	1	0.16	 	2	0.33	 	35	5.72	 	0	0	 	160	26.14	 	52	8.5	 	2	0.33	 	1	0.16	 	2	0.33	 	14	2.29	 	0	0	 	612	98.08	 	12	1.92	 	624	0.83
Alloway		                                    	4	0.89	 	0	0	 	1	0.22	 	1	0.22	 	214	47.87	 	0	0	 	3	0.67	 	1	0.22	 	101	22.6	 	0	0	 	1	0.22	 	0	0	 	0	0	 	13	2.91	 	1	0.22	 	80	17.9	 	20	4.47	 	1	0.22	 	0	0	 	1	0.22	 	5	1.12	 	0	0	 	447	95.11	 	23	4.89	 	470	0.63
Ambrose		                                    	7	3.4	 	0	0	 	0	0	 	0	0	 	49	23.79	 	1	0.49	 	3	1.46	 	0	0	 	65	31.55	 	1	0.49	 	0	0	 	0	0	 	0	0	 	9	4.37	 	0	0	 	58	28.16	 	9	4.37	 	2	0.97	 	0	0	 	0	0	 	2	0.97	 	0	0	 	206	96.26	 	8	3.74	 	214	0.29
Apple Tree Creek		                           	1	0.22	 	1	0.22	 	1	0.22	 	1	0.22	 	117	25.49	 	3	0.65	 	5	1.09	 	1	0.22	 	155	33.77	 	0	0	 	2	0.44	 	0	0	 	0	0	 	15	3.27	 	0	0	 	127	27.67	 	22	4.79	 	3	0.65	 	0	0	 	0	0	 	5	1.09	 	0	0	 	459	97.87	 	10	2.13	 	469	0.63
Avoca		                                      	13	0.47	 	1	0.04	 	1	0.04	 	9	0.33	 	689	24.89	 	7	0.25	 	24	0.87	 	4	0.14	 	557	20.12	 	6	0.22	 	14	0.51	 	2	0.07	 	0	0	 	125	4.52	 	6	0.22	 	911	32.91	 	347	12.54	 	10	0.36	 	0	0	 	4	0.14	 	37	1.34	 	1	0.04	 	2768	95.94	 	117	4.06	 	2885	3.86
Avondale		                                   	5	1.99	 	1	0.4	 	0	0	 	3	1.2	 	90	35.86	 	1	0.4	 	1	0.4	 	0	0	 	62	24.7	 	1	0.4	 	4	1.59	 	0	0	 	0	0	 	5	1.99	 	0	0	 	58	23.11	 	16	6.37	 	0	0	 	0	0	 	0	0	 	4	1.59	 	0	0	 	251	96.17	 	10	3.83	 	261	0.35
Bajool		                                     	2	0.81	 	0	0	 	0	0	 	2	0.81	 	72	29.03	 	3	1.21	 	0	0	 	0	0	 	70	28.23	 	0	0	 	0	0	 	0	0	 	0	0	 	6	2.42	 	0	0	 	85	34.27	 	7	2.82	 	1	0.4	 	0	0	 	0	0	 	0	0	 	0	0	 	248	95.38	 	12	4.62	 	260	0.35
Baree		                                      	2	0.62	 	0	0	 	0	0	 	0	0	 	44	13.66	 	3	0.93	 	1	0.31	 	0	0	 	70	21.74	 	0	0	 	0	0	 	0	0	 	0	0	 	15	4.66	 	1	0.31	 	169	52.48	 	13	4.04	 	1	0.31	 	0	0	 	1	0.31	 	2	0.62	 	0	0	 	322	96.41	 	12	3.59	 	334	0.45
Bargara		                                    	7	0.29	 	2	0.08	 	0	0	 	6	0.25	 	544	22.66	 	4	0.17	 	49	2.04	 	6	0.25	 	411	17.12	 	2	0.08	 	10	0.42	 	3	0.12	 	1	0.04	 	152	6.33	 	3	0.12	 	701	29.2	 	437	18.2	 	16	0.67	 	0	0	 	7	0.29	 	40	1.67	 	0	0	 	2401	98.2	 	44	1.8	 	2445	3.27
Benaraby		                                   	3	0.68	 	0	0	 	0	0	 	3	0.68	 	113	25.74	 	1	0.23	 	5	1.14	 	1	0.23	 	114	25.97	 	0	0	 	1	0.23	 	0	0	 	0	0	 	43	9.79	 	0	0	 	124	28.25	 	22	5.01	 	0	0	 	0	0	 	1	0.23	 	8	1.82	 	0	0	 	439	95.85	 	19	4.15	 	458	0.61
Booyal		                                     	0	0	 	0	0	 	0	0	 	1	0.83	 	43	35.54	 	0	0	 	0	0	 	0	0	 	33	27.27	 	0	0	 	2	1.65	 	1	0.83	 	0	0	 	2	1.65	 	1	0.83	 	32	26.45	 	4	3.31	 	0	0	 	0	0	 	0	0	 	2	1.65	 	0	0	 	121	96.8	 	4	3.2	 	125	0.17
Bororen		                                    	2	0.74	 	0	0	 	1	0.37	 	0	0	 	97	35.66	 	0	0	 	0	0	 	0	0	 	77	28.31	 	0	0	 	1	0.37	 	0	0	 	0	0	 	7	2.57	 	0	0	 	75	27.57	 	10	3.68	 	0	0	 	0	0	 	1	0.37	 	1	0.37	 	0	0	 	272	95.44	 	13	4.56	 	285	0.38
Boyne Island		                               	8	0.4	 	1	0.05	 	1	0.05	 	9	0.45	 	450	22.35	 	7	0.35	 	22	1.09	 	1	0.05	 	322	16	 	3	0.15	 	7	0.35	 	1	0.05	 	0	0	 	132	6.56	 	3	0.15	 	834	41.43	 	177	8.79	 	9	0.45	 	0	0	 	3	0.15	 	21	1.04	 	2	0.1	 	2013	97.29	 	56	2.71	 	2069	2.77
Bracewell		                                  	0	0	 	1	1.54	 	0	0	 	0	0	 	17	26.15	 	0	0	 	0	0	 	0	0	 	21	32.31	 	0	0	 	0	0	 	1	1.54	 	1	1.54	 	3	4.62	 	0	0	 	15	23.08	 	4	6.15	 	1	1.54	 	0	0	 	0	0	 	1	1.54	 	0	0	 	65	95.59	 	3	4.41	 	68	0.09
Branyan		                                    	1	0.16	 	0	0	 	0	0	 	1	0.16	 	196	31.01	 	0	0	 	28	4.43	 	0	0	 	107	16.93	 	0	0	 	0	0	 	2	0.32	 	0	0	 	39	6.17	 	2	0.32	 	177	28.01	 	65	10.28	 	0	0	 	0	0	 	0	0	 	12	1.9	 	2	0.32	 	632	96.49	 	23	3.51	 	655	0.88
Brisbane City (Hinkler)		                    	0	0	 	0	0	 	0	0	 	2	1.64	 	16	13.11	 	0	0	 	2	1.64	 	0	0	 	9	7.38	 	1	0.82	 	1	0.82	 	0	0	 	0	0	 	18	14.75	 	0	0	 	37	30.33	 	32	26.23	 	1	0.82	 	0	0	 	0	0	 	3	2.46	 	0	0	 	122	100	 	0	0	 	122	0.16
Builyan		                                    	1	1.3	 	0	0	 	0	0	 	0	0	 	28	36.36	 	1	1.3	 	0	0	 	0	0	 	20	25.97	 	0	0	 	0	0	 	0	0	 	0	0	 	2	2.6	 	0	0	 	18	23.38	 	3	3.9	 	2	2.6	 	0	0	 	0	0	 	2	2.6	 	0	0	 	77	93.9	 	5	6.1	 	82	0.11
Bundaberg		                                  	15	0.8	 	2	0.11	 	0	0	 	4	0.21	 	437	23.41	 	5	0.27	 	27	1.45	 	3	0.16	 	344	18.43	 	3	0.16	 	3	0.16	 	1	0.05	 	1	0.05	 	107	5.73	 	5	0.27	 	663	35.51	 	204	10.93	 	8	0.43	 	0	0	 	2	0.11	 	33	1.77	 	0	0	 	1867	96.09	 	76	3.91	 	1943	2.6
Bundaberg Base Hospital		                    	4	1.01	 	0	0	 	0	0	 	1	0.25	 	106	26.77	 	2	0.51	 	2	0.51	 	0	0	 	56	14.14	 	1	0.25	 	1	0.25	 	1	0.25	 	0	0	 	19	4.8	 	0	0	 	153	38.64	 	40	10.1	 	3	0.76	 	0	0	 	2	0.51	 	5	1.26	 	0	0	 	396	96.12	 	16	3.88	 	412	0.55
Bundaberg Central		                          	5	0.79	 	0	0	 	0	0	 	3	0.47	 	135	21.29	 	0	0	 	6	0.95	 	0	0	 	116	18.3	 	1	0.16	 	5	0.79	 	2	0.32	 	28	4.42	 	6	0.95	 	1	0.16	 	272	42.9	 	47	7.41	 	1	0.16	 	0	0	 	2	0.32	 	4	0.63	 	0	0	 	634	94.63	 	36	5.37	 	670	0.9
Bundaberg East		                             	16	0.89	 	2	0.11	 	1	0.06	 	4	0.22	 	496	27.56	 	7	0.39	 	21	1.17	 	2	0.11	 	347	19.28	 	1	0.06	 	20	1.11	 	5	0.28	 	3	0.17	 	81	4.5	 	4	0.22	 	619	34.39	 	139	7.72	 	9	0.5	 	0	0	 	2	0.11	 	19	1.06	 	2	0.11	 	1800	97.3	 	50	2.7	 	1850	2.48
Bundaberg North		                            	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0
Bundaberg North West		                       	13	0.57	 	1	0.04	 	2	0.09	 	8	0.35	 	454	19.96	 	4	0.18	 	26	1.14	 	6	0.26	 	489	21.5	 	1	0.04	 	14	0.62	 	3	0.13	 	3	0.13	 	91	4	 	5	0.22	 	944	41.51	 	164	7.21	 	10	0.44	 	0	0	 	4	0.18	 	31	1.36	 	1	0.04	 	2274	97.01	 	70	2.99	 	2344	3.14
Bundaberg South		                            	12	0.56	 	0	0	 	0	0	 	10	0.46	 	503	23.36	 	7	0.33	 	30	1.39	 	4	0.19	 	381	17.7	 	0	0	 	9	0.42	 	1	0.05	 	2	0.09	 	79	3.67	 	3	0.14	 	840	39.02	 	221	10.26	 	15	0.7	 	0	0	 	3	0.14	 	31	1.44	 	2	0.09	 	2153	96.03	 	89	3.97	 	2242	3
Bundaberg West		                             	11	0.55	 	0	0	 	0	0	 	6	0.3	 	423	21.3	 	1	0.05	 	31	1.56	 	2	0.1	 	314	15.81	 	8	0.4	 	12	0.6	 	2	0.1	 	6	0.3	 	122	6.14	 	0	0	 	753	37.92	 	248	12.49	 	11	0.55	 	0	0	 	6	0.3	 	28	1.41	 	2	0.1	 	1986	96.74	 	67	3.26	 	2053	2.75
Burnett Heads		                              	11	0.94	 	0	0	 	1	0.09	 	6	0.51	 	255	21.87	 	10	0.86	 	5	0.43	 	1	0.09	 	308	26.42	 	2	0.17	 	7	0.6	 	0	0	 	1	0.09	 	51	4.37	 	2	0.17	 	405	34.73	 	73	6.26	 	2	0.17	 	1	0.09	 	2	0.17	 	23	1.97	 	0	0	 	1166	95.57	 	54	4.43	 	1220	1.63
Calliope		                                   	6	0.45	 	0	0	 	1	0.07	 	4	0.3	 	312	23.23	 	10	0.74	 	14	1.04	 	5	0.37	 	357	26.58	 	2	0.15	 	8	0.6	 	3	0.22	 	3	0.22	 	57	4.24	 	3	0.22	 	455	33.88	 	83	6.18	 	1	0.07	 	0	0	 	3	0.22	 	16	1.19	 	0	0	 	1343	96.9	 	43	3.1	 	1386	1.85
Childers		                                   	12	0.73	 	0	0	 	2	0.12	 	10	0.61	 	445	27.13	 	1	0.06	 	12	0.73	 	0	0	 	409	24.94	 	6	0.37	 	12	0.73	 	2	0.12	 	1	0.06	 	103	6.28	 	1	0.06	 	499	30.43	 	98	5.98	 	2	0.12	 	0	0	 	0	0	 	24	1.46	 	1	0.06	 	1640	97.27	 	46	2.73	 	1686	2.26
Clinton		                                    	26	0.86	 	4	0.13	 	2	0.07	 	6	0.2	 	422	14	 	11	0.36	 	101	3.35	 	3	0.1	 	426	14.13	 	2	0.07	 	13	0.43	 	1	0.03	 	2	0.07	 	191	6.33	 	7	0.23	 	1423	47.2	 	325	10.78	 	12	0.4	 	1	0.03	 	6	0.2	 	27	0.9	 	4	0.13	 	3015	97.01	 	93	2.99	 	3108	4.16
Cordalba		                                   	2	0.56	 	0	0	 	0	0	 	2	0.56	 	103	28.69	 	1	0.28	 	0	0	 	0	0	 	104	28.97	 	0	0	 	3	0.84	 	0	0	 	0	0	 	11	3.06	 	0	0	 	105	29.25	 	19	5.29	 	1	0.28	 	0	0	 	2	0.56	 	6	1.67	 	0	0	 	359	93.73	 	24	6.27	 	383	0.51
Elliott Heads		                              	2	0.35	 	0	0	 	0	0	 	0	0	 	185	32.29	 	0	0	 	3	0.52	 	1	0.17	 	131	22.86	 	1	0.17	 	2	0.35	 	1	0.17	 	0	0	 	32	5.58	 	0	0	 	161	28.1	 	32	5.58	 	2	0.35	 	0	0	 	2	0.35	 	18	3.14	 	0	0	 	573	96.79	 	19	3.21	 	592	0.79
Givelda		                                    	1	0.57	 	0	0	 	0	0	 	0	0	 	45	25.86	 	0	0	 	0	0	 	2	1.15	 	64	36.78	 	0	0	 	1	0.57	 	0	0	 	0	0	 	7	4.02	 	0	0	 	35	20.11	 	17	9.77	 	0	0	 	0	0	 	0	0	 	1	0.57	 	1	0.57	 	174	96.13	 	7	3.87	 	181	0.24
Gladstone		                                  	11	0.71	 	0	0	 	0	0	 	12	0.77	 	284	18.28	 	8	0.51	 	16	1.03	 	1	0.06	 	263	16.92	 	2	0.13	 	8	0.51	 	1	0.06	 	0	0	 	91	5.86	 	8	0.51	 	658	42.34	 	152	9.78	 	9	0.58	 	1	0.06	 	6	0.39	 	22	1.42	 	1	0.06	 	1554	95.51	 	73	4.49	 	1627	2.18
Gladstone South		                            	30	1.49	 	1	0.05	 	1	0.05	 	4	0.2	 	260	12.89	 	4	0.2	 	14	0.69	 	4	0.2	 	382	18.94	 	1	0.05	 	7	0.35	 	2	0.1	 	0	0	 	83	4.12	 	6	0.3	 	1026	50.87	 	145	7.19	 	10	0.5	 	0	0	 	2	0.1	 	32	1.59	 	3	0.15	 	2017	95.87	 	87	4.13	 	2104	2.82
Gladstone Valley		                           	9	1.18	 	0	0	 	0	0	 	1	0.13	 	127	16.62	 	3	0.39	 	11	1.44	 	1	0.13	 	111	14.53	 	1	0.13	 	3	0.39	 	0	0	 	0	0	 	49	6.41	 	0	0	 	373	48.82	 	59	7.72	 	3	0.39	 	1	0.13	 	1	0.13	 	9	1.18	 	2	0.26	 	764	95.86	 	33	4.14	 	797	1.07
Gladstone West		                             	11	0.67	 	1	0.06	 	2	0.12	 	6	0.37	 	305	18.63	 	4	0.24	 	33	2.02	 	3	0.18	 	258	15.76	 	2	0.12	 	7	0.43	 	1	0.06	 	1	0.06	 	93	5.68	 	7	0.43	 	719	43.92	 	143	8.74	 	7	0.43	 	0	0	 	5	0.31	 	28	1.71	 	1	0.06	 	1637	96.98	 	51	3.02	 	1688	2.26
Gooburrum		                                  	0	0	 	0	0	 	0	0	 	0	0	 	245	45.54	 	0	0	 	10	1.86	 	1	0.19	 	101	18.77	 	0	0	 	1	0.19	 	0	0	 	1	0.19	 	18	3.35	 	1	0.19	 	118	21.93	 	29	5.39	 	3	0.56	 	0	0	 	0	0	 	10	1.86	 	0	0	 	538	94.72	 	30	5.28	 	568	0.76
Goodwood		                                   	2	1.19	 	0	0	 	0	0	 	0	0	 	43	25.6	 	2	1.19	 	0	0	 	0	0	 	42	25	 	0	0	 	1	0.6	 	0	0	 	0	0	 	10	5.95	 	0	0	 	62	36.9	 	3	1.79	 	0	0	 	0	0	 	0	0	 	3	1.79	 	0	0	 	168	97.11	 	5	2.89	 	173	0.23
Kalkie		                                     	5	0.76	 	0	0	 	1	0.15	 	2	0.3	 	274	41.45	 	1	0.15	 	15	2.27	 	1	0.15	 	115	17.4	 	1	0.15	 	2	0.3	 	1	0.15	 	0	0	 	36	5.45	 	0	0	 	136	20.57	 	58	8.77	 	4	0.61	 	0	0	 	0	0	 	8	1.21	 	1	0.15	 	661	96.22	 	26	3.78	 	687	0.92
Kepnock		                                    	7	0.51	 	0	0	 	1	0.07	 	3	0.22	 	366	26.7	 	1	0.07	 	20	1.46	 	1	0.07	 	256	18.67	 	2	0.15	 	6	0.44	 	2	0.15	 	1	0.07	 	58	4.23	 	2	0.15	 	487	35.52	 	129	9.41	 	9	0.66	 	2	0.15	 	5	0.36	 	13	0.95	 	0	0	 	1371	97.03	 	42	2.97	 	1413	1.89
Kin Kora		                                   	8	0.38	 	0	0	 	0	0	 	8	0.38	 	368	17.31	 	2	0.09	 	40	1.88	 	4	0.19	 	283	13.31	 	3	0.14	 	4	0.19	 	3	0.14	 	4	0.19	 	129	6.07	 	5	0.24	 	1001	47.08	 	221	10.4	 	7	0.33	 	1	0.05	 	5	0.24	 	29	1.36	 	1	0.05	 	2126	97.3	 	59	2.7	 	2185	2.92
Lowmead		                                    	0	0	 	0	0	 	0	0	 	0	0	 	39	38.61	 	1	0.99	 	1	0.99	 	0	0	 	26	25.74	 	0	0	 	1	0.99	 	0	0	 	0	0	 	3	2.97	 	0	0	 	23	22.77	 	7	6.93	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	101	97.12	 	3	2.88	 	104	0.14
Millbank		                                   	10	0.75	 	1	0.08	 	0	0	 	1	0.08	 	386	29	 	5	0.38	 	40	3.01	 	3	0.23	 	207	15.55	 	5	0.38	 	6	0.45	 	0	0	 	0	0	 	53	3.98	 	3	0.23	 	510	38.32	 	89	6.69	 	1	0.08	 	1	0.08	 	3	0.23	 	7	0.53	 	0	0	 	1331	95.21	 	67	4.79	 	1398	1.87
Miriam Vale		                                	3	0.72	 	0	0	 	0	0	 	2	0.48	 	162	38.85	 	0	0	 	1	0.24	 	0	0	 	108	25.9	 	0	0	 	1	0.24	 	0	0	 	0	0	 	11	2.64	 	0	0	 	107	25.66	 	16	3.84	 	1	0.24	 	0	0	 	0	0	 	5	1.2	 	0	0	 	417	96.08	 	17	3.92	 	434	0.58
Moore Park		                                 	5	0.65	 	0	0	 	0	0	 	4	0.52	 	201	26	 	3	0.39	 	7	0.91	 	1	0.13	 	215	27.81	 	0	0	 	2	0.26	 	0	0	 	1	0.13	 	33	4.27	 	0	0	 	234	30.27	 	57	7.37	 	2	0.26	 	1	0.13	 	1	0.13	 	6	0.78	 	0	0	 	773	96.5	 	28	3.5	 	801	1.07
Mount Larcom		                               	2	0.68	 	0	0	 	0	0	 	2	0.68	 	61	20.89	 	4	1.37	 	1	0.34	 	0	0	 	92	31.51	 	0	0	 	2	0.68	 	0	0	 	0	0	 	9	3.08	 	1	0.34	 	101	34.59	 	13	4.45	 	0	0	 	0	0	 	0	0	 	4	1.37	 	0	0	 	292	97.01	 	9	2.99	 	301	0.4
Mount Morgan		                               	18	1.49	 	1	0.08	 	0	0	 	1	0.08	 	171	14.12	 	10	0.83	 	8	0.66	 	1	0.08	 	242	19.98	 	1	0.08	 	10	0.83	 	2	0.17	 	1	0.08	 	40	3.3	 	0	0	 	663	54.75	 	32	2.64	 	2	0.17	 	0	0	 	3	0.25	 	5	0.41	 	0	0	 	1211	94.31	 	73	5.69	 	1284	1.72
Norville		                                   	12	0.55	 	2	0.09	 	2	0.09	 	9	0.41	 	540	24.67	 	6	0.27	 	38	1.74	 	1	0.05	 	367	16.77	 	4	0.18	 	7	0.32	 	1	0.05	 	3	0.14	 	99	4.52	 	7	0.32	 	880	40.2	 	164	7.49	 	12	0.55	 	0	0	 	2	0.09	 	33	1.51	 	0	0	 	2189	97.12	 	65	2.88	 	2254	3.02
Oakwood		                                    	1	0.16	 	0	0	 	0	0	 	2	0.32	 	239	37.76	 	0	0	 	5	0.79	 	1	0.16	 	186	29.38	 	1	0.16	 	3	0.47	 	0	0	 	0	0	 	24	3.79	 	2	0.32	 	135	21.33	 	27	4.27	 	0	0	 	0	0	 	0	0	 	7	1.11	 	0	0	 	633	96.64	 	22	3.36	 	655	0.88
Rosedale		                                   	2	0.59	 	0	0	 	0	0	 	2	0.59	 	103	30.47	 	0	0	 	0	0	 	0	0	 	129	38.17	 	2	0.59	 	3	0.89	 	1	0.3	 	0	0	 	9	2.66	 	0	0	 	72	21.3	 	7	2.07	 	3	0.89	 	0	0	 	0	0	 	5	1.48	 	0	0	 	338	95.48	 	16	4.52	 	354	0.47
Sharon		                                     	4	0.69	 	0	0	 	0	0	 	1	0.17	 	200	34.6	 	0	0	 	11	1.9	 	0	0	 	156	26.99	 	0	0	 	2	0.35	 	0	0	 	0	0	 	29	5.02	 	0	0	 	132	22.84	 	35	6.06	 	2	0.35	 	0	0	 	1	0.17	 	5	0.87	 	0	0	 	578	96.01	 	24	3.99	 	602	0.81
South Kolan		                                	2	0.37	 	0	0	 	0	0	 	1	0.19	 	168	31.28	 	1	0.19	 	2	0.37	 	0	0	 	171	31.84	 	0	0	 	3	0.56	 	0	0	 	0	0	 	21	3.91	 	1	0.19	 	140	26.07	 	20	3.72	 	1	0.19	 	0	0	 	0	0	 	6	1.12	 	0	0	 	537	95.55	 	25	4.45	 	562	0.75
Tannum Sands		                               	4	0.3	 	1	0.07	 	0	0	 	1	0.07	 	336	25.15	 	4	0.3	 	22	1.65	 	1	0.07	 	181	13.55	 	5	0.37	 	6	0.45	 	0	0	 	1	0.07	 	71	5.31	 	1	0.07	 	532	39.82	 	138	10.33	 	7	0.52	 	0	0	 	2	0.15	 	22	1.65	 	1	0.07	 	1336	97.23	 	38	2.77	 	1374	1.84
Thabeban		                                   	23	1.26	 	1	0.05	 	0	0	 	5	0.27	 	500	27.38	 	7	0.38	 	28	1.53	 	2	0.11	 	361	19.77	 	3	0.16	 	8	0.44	 	2	0.11	 	0	0	 	55	3.01	 	5	0.27	 	646	35.38	 	142	7.78	 	8	0.44	 	1	0.05	 	3	0.16	 	26	1.42	 	0	0	 	1826	94.81	 	100	5.19	 	1926	2.58
