House of Representatives - 2001 Election: Victoria																												
Distribution of Preferences																												
By Polling Place																												
Wannon																												
				MCDONALD			PACKER			O'BRIEN			BLAIR			WITNEY			SCHMIDT			HAWKER			MORROW			
		TOTAL					15	3.92					19	4.96								278	72.58		71	18.54		383
	SIXTH							Excluded					8	53.33								5	33.33		2	13.33		15
		TOTAL											27	7.05								283	73.89		73	19.06		383
	SEVENTH													Excluded								12	44.44		15	55.56		27
		TOTAL																				295	77.02		88	22.98		383
																						Elected						
																												
Patterson Park                                                 																												
	FIRST			78	5.06		38	2.46		16	1.04		33	2.14		13	0.84		38	2.46		645	41.80		682	44.20		1543
	SECOND			6	37.50		4	25.00			Excluded		1	6.25		1	6.25		0	0.00		1	6.25		3	18.75		16
		TOTAL		84	5.44		42	2.72					34	2.20		14	0.91		38	2.46		646	41.87		685	44.39		1543
	THIRD			2	14.29		0	0.00					3	21.43			Excluded		3	21.43		2	14.29		4	28.57		14
		TOTAL		86	5.57		42	2.72					37	2.40					41	2.66		648	42.00		689	44.65		1543
	FOURTH				Excluded		31	36.05					9	10.47					11	12.79		18	20.93		17	19.77		86
		TOTAL					73	4.73					46	2.98					52	3.37		666	43.16		706	45.76		1543
	FIFTH						11	21.15					13	25.00						Excluded		21	40.38		7	13.46		52
		TOTAL					84	5.44					59	3.82								687	44.52		713	46.21		1543
	SIXTH							Excluded					52	61.90								16	19.05		16	19.05		84
		TOTAL											111	7.19								703	45.56		729	47.25		1543
	SEVENTH													Excluded								55	49.55		56	50.45		111
		TOTAL																				758	49.13		785	50.87		1543
																						Elected						
																												
Penshurst                                                      																												
	FIRST			17	3.33		11	2.16		9	1.76		10	1.96		10	1.96		22	4.31		249	48.82		182	35.69		510
	SECOND			4	44.44		1	11.11			Excluded		0	0.00		0	0.00		2	22.22		1	11.11		1	11.11		9
		TOTAL		21	4.12		12	2.35					10	1.96		10	1.96		24	4.71		250	49.02		183	35.88		510
	THIRD			2	20.00		2	20.00					2	20.00			Excluded		2	20.00		2	20.00		0	0.00		10
		TOTAL		23	4.51		14	2.75					12	2.35					26	5.10		252	49.41		183	35.88		510
	FOURTH				Excluded		7	30.43					5	21.74					3	13.04		7	30.43		1	4.35		23
		TOTAL					21	4.12					17	3.33					29	5.69		259	50.78		184	36.08		510
	FIFTH						4	13.79					5	17.24						Excluded		10	34.48		10	34.48		29
		TOTAL					25	4.90					22	4.31								269	52.75		194	38.04		510
	SIXTH							Excluded					15	60.00								6	24.00		4	16.00		25
		TOTAL											37	7.25								275	53.92		198	38.82		510
	SEVENTH													Excluded								19	51.35		18	48.65		37
		TOTAL																				294	57.65		216	42.35		510
																						Elected						
																												
Peterborough                                                   																												
	FIRST			0	0.00		3	1.90		1	0.63		8	5.06		1	0.63		7	4.43		98	62.03		40	25.32		158
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		1	0.63		3	1.90					8	5.06		1	0.63		7	4.43		98	62.03		40	25.32		158
	THIRD			1	100.00		0	0.00					0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		2	1.27		3	1.90					8	5.06					7	4.43		98	62.03		40	25.32		158
	FOURTH				Excluded		0	0.00					2	100.00					0	0.00		0	0.00		0	0.00		2
		TOTAL					3	1.90					10	6.33					7	4.43		98	62.03		40	25.32		158
	FIFTH						0	0.00					2	28.57						Excluded		4	57.14		1	14.29		7
		TOTAL					3	1.90					12	7.59								102	64.56		41	25.95		158
	SIXTH							Excluded					1	33.33								2	66.67		0	0.00		3
		TOTAL											13	8.23								104	65.82		41	25.95		158
	SEVENTH													Excluded								4	30.77		9	69.23		13
		TOTAL																				108	68.35		50	31.65		158
																						Elected						
																												
Pirron Yallock (Wannon)                                        																												
	FIRST			2	1.56		4	3.13		2	1.56		6	4.69		3	2.34		11	8.59		71	55.47		29	22.66		128
	SECOND			1	50.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		3	2.34		5	3.91					6	4.69		3	2.34		11	8.59		71	55.47		29	22.66		128
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		2	66.67		1	33.33		0	0.00		3
		TOTAL		3	2.34		5	3.91					6	4.69					13	10.16		72	56.25		29	22.66		128
	FOURTH				Excluded		2	66.67					0	0.00					1	33.33		0	0.00		0	0.00		3
		TOTAL					7	5.47					6	4.69					14	10.94		72	56.25		29	22.66		128
	FIFTH						3	21.43					4	28.57						Excluded		5	35.71		2	14.29		14
		TOTAL					10	7.81					10	7.81								77	60.16		31	24.22		128
	SIXTH							Excluded					5	50.00								2	20.00		3	30.00		10
		TOTAL											15	11.72								79	61.72		34	26.56		128
	SEVENTH													Excluded								4	26.67		11	73.33		15
		TOTAL																				83	64.84		45	35.16		128
																						Elected						
																												
Pomonal                                                        																												
	FIRST			2	0.93		10	4.67		0	0.00		23	10.75		2	0.93		10	4.67		83	38.79		84	39.25		214
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	0.93		10	4.67					23	10.75		2	0.93		10	4.67		83	38.79		84	39.25		214
	THIRD			0	0.00		1	50.00					1	50.00			Excluded		0	0.00		0	0.00		0	0.00		2
		TOTAL		2	0.93		11	5.14					24	11.21					10	4.67		83	38.79		84	39.25		214
	FOURTH				Excluded		1	50.00					0	0.00					1	50.00		0	0.00		0	0.00		2
		TOTAL					12	5.61					24	11.21					11	5.14		83	38.79		84	39.25		214
	FIFTH						2	18.18					2	18.18						Excluded		4	36.36		3	27.27		11
		TOTAL					14	6.54					26	12.15								87	40.65		87	40.65		214
	SIXTH							Excluded					9	64.29								5	35.71		0	0.00		14
		TOTAL											35	16.36								92	42.99		87	40.65		214
	SEVENTH													Excluded								14	40.00		21	60.00		35
		TOTAL																				106	49.53		108	50.47		214
																						Elected						
																												
Port Campbell                                                  																												
	FIRST			4	1.22		8	2.43		5	1.52		16	4.86		4	1.22		5	1.52		197	59.88		90	27.36		329
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	20.00		3	60.00		1	20.00		5
		TOTAL		4	1.22		8	2.43					16	4.86		4	1.22		6	1.82		200	60.79		91	27.66		329
	THIRD			0	0.00		0	0.00					2	50.00			Excluded		1	25.00		0	0.00		1	25.00		4
		TOTAL		4	1.22		8	2.43					18	5.47					7	2.13		200	60.79		92	27.96		329
	FOURTH				Excluded		2	50.00					0	0.00					1	25.00		1	25.00		0	0.00		4
		TOTAL					10	3.04					18	5.47					8	2.43		201	61.09		92	27.96		329
	FIFTH						2	25.00					2	25.00						Excluded		3	37.50		1	12.50		8
		TOTAL					12	3.65					20	6.08								204	62.01		93	28.27		329
	SIXTH							Excluded					9	75.00								0	0.00		3	25.00		12
		TOTAL											29	8.81								204	62.01		96	29.18		329
	SEVENTH													Excluded								14	48.28		15	51.72		29
		TOTAL																				218	66.26		111	33.74		329
																						Elected						
																												
Port Fairy                                                     																												
	FIRST			23	1.22		56	2.97		27	1.43		118	6.27		29	1.54		43	2.28		895	47.53		692	36.75		1883
	SECOND			6	22.22		6	22.22			Excluded		7	25.93		1	3.70		0	0.00		6	22.22		1	3.70		27
		TOTAL		29	1.54		62	3.29					125	6.64		30	1.59		43	2.28		901	47.85		693	36.80		1883
	THIRD			2	6.67		2	6.67					10	33.33			Excluded		5	16.67		6	20.00		5	16.67		30
		TOTAL		31	1.65		64	3.40					135	7.17					48	2.55		907	48.17		698	37.07		1883
	FOURTH				Excluded		12	38.71					6	19.35					8	25.81		3	9.68		2	6.45		31
		TOTAL					76	4.04					141	7.49					56	2.97		910	48.33		700	37.17		1883
	FIFTH						8	14.29					15	26.79						Excluded		22	39.29		11	19.64		56
		TOTAL					84	4.46					156	8.28								932	49.50		711	37.76		1883
	SIXTH							Excluded					45	53.57								19	22.62		20	23.81		84
		TOTAL											201	10.67								951	50.50		731	38.82		1883
	SEVENTH													Excluded								72	35.82		129	64.18		201
		TOTAL																				1023	54.33		860	45.67		1883
																						Elected						
																												
Portland Central                                               																												
	FIRST			43	1.81		93	3.90		14	0.59		104	4.37		35	1.47		49	2.06		1077	45.21		967	40.60		2382
	SECOND			11	78.57		0	0.00			Excluded		0	0.00		0	0.00		1	7.14		1	7.14		1	7.14		14
		TOTAL		54	2.27		93	3.90					104	4.37		35	1.47		50	2.10		1078	45.26		968	40.64		2382
	THIRD			6	17.14		3	8.57					5	14.29			Excluded		1	2.86		11	31.43		9	25.71		35
		TOTAL		60	2.52		96	4.03					109	4.58					51	2.14		1089	45.72		977	41.02		2382
	FOURTH				Excluded		24	40.00					12	20.00					5	8.33		10	16.67		9	15.00		60
		TOTAL					120	5.04					121	5.08					56	2.35		1099	46.14		986	41.39		2382
	FIFTH						18	32.14					17	30.36						Excluded		16	28.57		5	8.93		56
		TOTAL					138	5.79					138	5.79								1115	46.81		991	41.60		2382
	SIXTH							Excluded					98	71.01								15	10.87		25	18.12		138
		TOTAL											236	9.91								1130	47.44		1016	42.65		2382
	SEVENTH													Excluded								107	45.34		129	54.66		236
		TOTAL																				1237	51.93		1145	48.07		2382
																						Elected						
																												
Portland North                                                 																												
	FIRST			15	4.59		11	3.36		5	1.53		10	3.06		4	1.22		11	3.36		171	52.29		100	30.58		327
	SECOND			3	60.00		0	0.00			Excluded		0	0.00		0	0.00		2	40.00		0	0.00		0	0.00		5
		TOTAL		18	5.50		11	3.36					10	3.06		4	1.22		13	3.98		171	52.29		100	30.58		327
	THIRD			1	25.00		0	0.00					0	0.00			Excluded		1	25.00		2	50.00		0	0.00		4
		TOTAL		19	5.81		11	3.36					10	3.06					14	4.28		173	52.91		100	30.58		327
	FOURTH				Excluded		5	26.32					1	5.26					5	26.32		1	5.26		7	36.84		19
		TOTAL					16	4.89					11	3.36					19	5.81		174	53.21		107	32.72		327
	FIFTH						3	15.79					4	21.05						Excluded		8	42.11		4	21.05		19
		TOTAL					19	5.81					15	4.59								182	55.66		111	33.94		327
	SIXTH							Excluded					11	57.89								3	15.79		5	26.32		19
		TOTAL											26	7.95								185	56.57		116	35.47		327
	SEVENTH													Excluded								11	42.31		15	57.69		26
		TOTAL																				196	59.94		131	40.06		327
																						Elected						
																												
Portland South                                                 																												
	FIRST			29	1.83		44	2.78		11	0.69		33	2.08		21	1.33		32	2.02		697	44.00		717	45.27		1584
	SECOND			6	54.55		1	9.09			Excluded		2	18.18		1	9.09		0	0.00		0	0.00		1	9.09		11
		TOTAL		35	2.21		45	2.84					35	2.21		22	1.39		32	2.02		697	44.00		718	45.33		1584
	THIRD			5	22.73		3	13.64					6	27.27			Excluded		3	13.64		2	9.09		3	13.64		22
		TOTAL		40	2.53		48	3.03					41	2.59					35	2.21		699	44.13		721	45.52		1584
	FOURTH				Excluded		12	30.00					9	22.50					6	15.00		7	17.50		6	15.00		40
		TOTAL					60	3.79					50	3.16					41	2.59		706	44.57		727	45.90		1584
	FIFTH						9	21.95					13	31.71						Excluded		11	26.83		8	19.51		41
		TOTAL					69	4.36					63	3.98								717	45.27		735	46.40		1584
	SIXTH							Excluded					49	71.01								7	10.14		13	18.84		69
		TOTAL											112	7.07								724	45.71		748	47.22		1584
	SEVENTH													Excluded								66	58.93		46	41.07		112
		TOTAL																				790	49.87		794	50.13		1584
																						Elected						
																												
Purnim                                                         																												
	FIRST			5	1.81		6	2.17		5	1.81		7	2.53		2	0.72		10	3.61		168	60.65		74	26.71		277
	SECOND			1	20.00		1	20.00			Excluded		2	40.00		0	0.00		0	0.00		0	0.00		1	20.00		5
		TOTAL		6	2.17		7	2.53					9	3.25		2	0.72		10	3.61		168	60.65		75	27.08		277
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		1	50.00		1	50.00		0	0.00		2
		TOTAL		6	2.17		7	2.53					9	3.25					11	3.97		169	61.01		75	27.08		277
	FOURTH				Excluded		3	50.00					0	0.00					1	16.67		0	0.00		2	33.33		6
		TOTAL					10	3.61					9	3.25					12	4.33		169	61.01		77	27.80		277
	FIFTH						4	33.33					2	16.67						Excluded		6	50.00		0	0.00		12
		TOTAL					14	5.05					11	3.97								175	63.18		77	27.80		277
	SIXTH							Excluded					11	78.57								2	14.29		1	7.14		14
		TOTAL											22	7.94								177	63.90		78	28.16		277
	SEVENTH													Excluded								10	45.45		12	54.55		22
		TOTAL																				187	67.51		90	32.49		277
																						Elected						
																												
Scotts Creek                                                   																												
	FIRST			1	0.59		2	1.18		1	0.59		2	1.18		4	2.37		6	3.55		141	83.43		12	7.10		169
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		2	1.18		2	1.18					2	1.18		4	2.37		6	3.55		141	83.43		12	7.10		169
	THIRD			0	0.00		1	25.00					2	50.00			Excluded		0	0.00		1	25.00		0	0.00		4
		TOTAL		2	1.18		3	1.78					4	2.37					6	3.55		142	84.02		12	7.10		169
	FOURTH				Excluded		1	50.00					0	0.00					0	0.00		1	50.00		0	0.00		2
		TOTAL					4	2.37					4	2.37					6	3.55		143	84.62		12	7.10		169
	FIFTH						0	0.00					1	16.67						Excluded		4	66.67		1	16.67		6
		TOTAL					4	2.37					5	2.96								147	86.98		13	7.69		169
	SIXTH							Excluded					2	50.00								0	0.00		2	50.00		4
		TOTAL											7	4.14								147	86.98		15	8.88		169
	SEVENTH													Excluded								5	71.43		2	28.57		7
		TOTAL																				152	89.94		17	10.06		169
																						Elected						
																												
Simpson (Wannon)                                               																												
	FIRST			4	1.00		4	1.00		8	2.00		4	1.00		5	1.25		12	2.99		326	81.30		38	9.48		401
	SECOND			4	50.00		1	12.50			Excluded		0	0.00		1	12.50		1	12.50		1	12.50		0	0.00		8
		TOTAL		8	2.00		5	1.25					4	1.00		6	1.50		13	3.24		327	81.55		38	9.48		401
	THIRD			1	16.67		0	0.00					0	0.00			Excluded		3	50.00		1	16.67		1	16.67		6
		TOTAL		9	2.24		5	1.25					4	1.00					16	3.99		328	81.80		39	9.73		401
	FOURTH				Excluded		5	55.56					1	11.11					2	22.22		1	11.11		0	0.00		9
		TOTAL					10	2.49					5	1.25					18	4.49		329	82.04		39	9.73		401
	FIFTH						4	22.22					3	16.67						Excluded		8	44.44		3	16.67		18
		TOTAL					14	3.49					8	2.00								337	84.04		42	10.47		401
	SIXTH							Excluded					11	78.57								3	21.43		0	0.00		14
		TOTAL											19	4.74								340	84.79		42	10.47		401
	SEVENTH													Excluded								12	63.16		7	36.84		19
		TOTAL																				352	87.78		49	12.22		401
																						Elected						
																												
Skipton                                                        																												
	FIRST			11	2.46		9	2.01		2	0.45		7	1.57		4	0.89		7	1.57		281	62.86		126	28.19		447
	SECOND			0	0.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		2
		TOTAL		11	2.46		10	2.24					7	1.57		4	0.89		7	1.57		282	63.09		126	28.19		447
	THIRD			1	25.00		0	0.00					2	50.00			Excluded		0	0.00		1	25.00		0	0.00		4
		TOTAL		12	2.68		10	2.24					9	2.01					7	1.57		283	63.31		126	28.19		447
	FOURTH				Excluded		7	58.33					2	16.67					2	16.67		1	8.33		0	0.00		12
		TOTAL					17	3.80					11	2.46					9	2.01		284	63.53		126	28.19		447
	FIFTH						6	66.67					0	0.00						Excluded		2	22.22		1	11.11		9
		TOTAL					23	5.15					11	2.46								286	63.98		127	28.41		447
	SIXTH							Excluded					15	65.22								6	26.09		2	8.70		23
		TOTAL											26	5.82								292	65.32		129	28.86		447
	SEVENTH													Excluded								13	50.00		13	50.00		26
		TOTAL																				305	68.23		142	31.77		447
																						Elected						
																												
Smythesdale                                                    																												
	FIRST			17	2.17		25	3.18		4	0.51		27	3.44		8	1.02		20	2.55		297	37.83		387	49.30		785
	SECOND			2	50.00		2	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		19	2.42		27	3.44					27	3.44		8	1.02		20	2.55		297	37.83		387	49.30		785
	THIRD			1	12.50		1	12.50					2	25.00			Excluded		2	25.00		1	12.50		1	12.50		8
		TOTAL		20	2.55		28	3.57					29	3.69					22	2.80		298	37.96		388	49.43		785
	FOURTH				Excluded		11	55.00					2	10.00					3	15.00		3	15.00		1	5.00		20
		TOTAL					39	4.97					31	3.95					25	3.18		301	38.34		389	49.55		785
	FIFTH						6	24.00					5	20.00						Excluded		8	32.00		6	24.00		25
		TOTAL					45	5.73					36	4.59								309	39.36		395	50.32		785
	SIXTH							Excluded					33	73.33								6	13.33		6	13.33		45
		TOTAL											69	8.79								315	40.13		401	51.08		785
	SEVENTH													Excluded								20	28.99		49	71.01		69
		TOTAL																				335	42.68		450	57.32		785
																						Elected						
																												
Snake Valley                                                   																												
	FIRST			10	2.07		17	3.52		3	0.62		13	2.69		5	1.04		16	3.31		196	40.58		223	46.17		483
	SECOND			2	66.67		0	0.00			Excluded		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		3
		TOTAL		12	2.48		17	3.52					13	2.69		5	1.04		17	3.52		196	40.58		223	46.17		483
	THIRD			1	20.00		1	20.00					1	20.00			Excluded		0	0.00		1	20.00		1	20.00		5
		TOTAL		13	2.69		18	3.73					14	2.90					17	3.52		197	40.79		224	46.38		483
	FOURTH				Excluded		6	46.15					2	15.38					2	15.38		2	15.38		1	7.69		13
		TOTAL					24	4.97					16	3.31					19	3.93		199	41.20		225	46.58		483
	FIFTH						4	21.05					2	10.53						Excluded		5	26.32		8	42.11		19
		TOTAL					28	5.80					18	3.73								204	42.24		233	48.24		483
	SIXTH							Excluded					20	71.43								3	10.71		5	17.86		28
		TOTAL											38	7.87								207	42.86		238	49.28		483
	SEVENTH													Excluded								17	44.74		21	55.26		38
		TOTAL																				224	46.38		259	53.62		483
																						Elected						
																												
Streatham                                                      																												
	FIRST			4	2.02		3	1.52		1	0.51		1	0.51		3	1.52		5	2.53		152	76.77		29	14.65		198
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		5	2.53		3	1.52					1	0.51		3	1.52		5	2.53		152	76.77		29	14.65		198
	THIRD			1	33.33		0	0.00					1	33.33			Excluded		1	33.33		0	0.00		0	0.00		3
		TOTAL		6	3.03		3	1.52					2	1.01					6	3.03		152	76.77		29	14.65		198
	FOURTH				Excluded		1	16.67					0	0.00					3	50.00		1	16.67		1	16.67		6
		TOTAL					4	2.02					2	1.01					9	4.55		153	77.27		30	15.15		198
	FIFTH						4	44.44					0	0.00						Excluded		2	22.22		3	33.33		9
		TOTAL					8	4.04					2	1.01								155	78.28		33	16.67		198
	SIXTH							Excluded					4	50.00								4	50.00		0	0.00		8
		TOTAL											6	3.03								159	80.30		33	16.67		198
	SEVENTH													Excluded								4	66.67		2	33.33		6
		TOTAL																				163	82.32		35	17.68		198
																						Elected						
																												
Tarrington                                                     																												
	FIRST			18	7.17		7	2.79		6	2.39		8	3.19		3	1.20		13	5.18		156	62.15		40	15.94		251
	SECOND			3	50.00		1	16.67			Excluded		0	0.00		0	0.00		0	0.00		1	16.67		1	16.67		6
		TOTAL		21	8.37		8	3.19					8	3.19		3	1.20		13	5.18		157	62.55		41	16.33		251
	THIRD			1	33.33		0	0.00					1	33.33			Excluded		1	33.33		0	0.00		0	0.00		3
		TOTAL		22	8.76		8	3.19					9	3.59					14	5.58		157	62.55		41	16.33		251
	FOURTH				Excluded		7	31.82					1	4.55					7	31.82		6	27.27		1	4.55		22
		TOTAL					15	5.98					10	3.98					21	8.37		163	64.94		42	16.73		251
	FIFTH						3	14.29					6	28.57						Excluded		10	47.62		2	9.52		21
		TOTAL					18	7.17					16	6.37								173	68.92		44	17.53		251
	SIXTH							Excluded					6	33.33								8	44.44		4	22.22		18
		TOTAL											22	8.76								181	72.11		48	19.12		251
	SEVENTH													Excluded								8	36.36		14	63.64		22
		TOTAL																				189	75.30		62	24.70		251
																						Elected						
																												
Tatyoon                                                        																												
	FIRST			2	1.34		2	1.34		0	0.00		2	1.34		4	2.68		6	4.03		108	72.48		25	16.78		149
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	1.34		2	1.34					2	1.34		4	2.68		6	4.03		108	72.48		25	16.78		149
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		2	50.00		2	50.00		0	0.00		4
		TOTAL		2	1.34		2	1.34					2	1.34					8	5.37		110	73.83		25	16.78		149
	FOURTH				Excluded		0	0.00					0	0.00					0	0.00		1	50.00		1	50.00		2
		TOTAL					2	1.34					2	1.34					8	5.37		111	74.50		26	17.45		149
	FIFTH						0	0.00					1	12.50						Excluded		5	62.50		2	25.00		8
		TOTAL					2	1.34					3	2.01								116	77.85		28	18.79		149
	SIXTH							Excluded					1	50.00								0	0.00		1	50.00		2
		TOTAL											4	2.68								116	77.85		29	19.46		149
	SEVENTH													Excluded								2	50.00		2	50.00		4
		TOTAL																				118	79.19		31	20.81		149
																						Elected						
																												
Terang                                                         																												
	FIRST			25	1.70		35	2.37		24	1.63		39	2.65		28	1.90		33	2.24		848	57.53		442	29.99		1474
	SECOND			6	25.00		6	25.00			Excluded		2	8.33		3	12.50		0	0.00		2	8.33		5	20.83		24
		TOTAL		31	2.10		41	2.78					41	2.78		31	2.10		33	2.24		850	57.67		447	30.33		1474
	THIRD			8	25.81		2	6.45					7	22.58			Excluded		3	9.68		6	19.35		5	16.13		31
		TOTAL		39	2.65		43	2.92					48	3.26					36	2.44		856	58.07		452	30.66		1474
	FOURTH				Excluded		16	41.03					10	25.64					4	10.26		5	12.82		4	10.26		39
		TOTAL					59	4.00					58	3.93					40	2.71		861	58.41		456	30.94		1474
	FIFTH						5	12.50					9	22.50						Excluded		17	42.50		9	22.50		40
		TOTAL					64	4.34					67	4.55								878	59.57		465	31.55		1474
	SIXTH							Excluded					41	64.06								13	20.31		10	15.63		64
		TOTAL											108	7.33								891	60.45		475	32.23		1474
	SEVENTH													Excluded								62	57.41		46	42.59		108
		TOTAL																				953	64.65		521	35.35		1474
																						Elected						
																												
Timboon                                                        																												
	FIRST			6	0.60		25	2.50		3	0.30		64	6.40		13	1.30		29	2.90		669	66.90		191	19.10		1000
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	33.33		2	66.67		0	0.00		3
		TOTAL		6	0.60		25	2.50					64	6.40		13	1.30		30	3.00		671	67.10		191	19.10		1000
	THIRD			1	7.69		0	0.00					4	30.77			Excluded		2	15.38		4	30.77		2	15.38		13
		TOTAL		7	0.70		25	2.50					68	6.80					32	3.20		675	67.50		193	19.30		1000
	FOURTH				Excluded		1	14.29					1	14.29					2	28.57		2	28.57		1	14.29		7
		TOTAL					26	2.60					69	6.90					34	3.40		677	67.70		194	19.40		1000
	FIFTH						5	14.71					8	23.53						Excluded		14	41.18		7	20.59		34
		TOTAL					31	3.10					77	7.70								691	69.10		201	20.10		1000
	SIXTH							Excluded					19	61.29								8	25.81		4	12.90		31
		TOTAL											96	9.60								699	69.90		205	20.50		1000
	SEVENTH													Excluded								26	27.08		70	72.92		96
		TOTAL																				725	72.50		275	27.50		1000
																						Elected						
																												
Tower Square                                                   																												
	FIRST			14	1.70		12	1.46		24	2.91		23	2.79		8	0.97		22	2.67		435	52.79		286	34.71		824
	SECOND			11	45.83		3	12.50			Excluded		3	12.50		1	4.17		1	4.17		2	8.33		3	12.50		24
		TOTAL		25	3.03		15	1.82					26	3.16		9	1.09		23	2.79		437	53.03		289	35.07		824
	THIRD			1	11.11		1	11.11					1	11.11			Excluded		1	11.11		4	44.44		1	11.11		9
		TOTAL		26	3.16		16	1.94					27	3.28					24	2.91		441	53.52		290	35.19		824
	FOURTH				Excluded		14	53.85					8	30.77					1	3.85		3	11.54		0	0.00		26
		TOTAL					30	3.64					35	4.25					25	3.03		444	53.88		290	35.19		824
	FIFTH						2	8.00					10	40.00						Excluded		9	36.00		4	16.00		25
		TOTAL					32	3.88					45	5.46								453	54.98		294	35.68		824
	SIXTH							Excluded					20	62.50								5	15.63		7	21.88		32
		TOTAL											65	7.89								458	55.58		301	36.53		824
	SEVENTH													Excluded								34	52.31		31	47.69		65
		TOTAL																				492	59.71		332	40.29		824
																						Elected						
																												
Tyrendarra                                                     																												
	FIRST			4	2.65		7	4.64		0	0.00		3	1.99		3	1.99		11	7.28		99	65.56		24	15.89		151
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		4	2.65		7	4.64					3	1.99		3	1.99		11	7.28		99	65.56		24	15.89		151
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		1	33.33		2	66.67		0	0.00		3
		TOTAL		4	2.65		7	4.64					3	1.99					12	7.95		101	66.89		24	15.89		151
	FOURTH				Excluded		1	25.00					1	25.00					1	25.00		0	0.00		1	25.00		4
		TOTAL					8	5.30					4	2.65					13	8.61		101	66.89		25	16.56		151
	FIFTH						1	7.69					2	15.38						Excluded		7	53.85		3	23.08		13
		TOTAL					9	5.96					6	3.97								108	71.52		28	18.54		151
	SIXTH							Excluded					8	88.89								1	11.11		0	0.00		9
		TOTAL											14	9.27								109	72.19		28	18.54		151
	SEVENTH													Excluded								6	42.86		8	57.14		14
		TOTAL																				115	76.16		36	23.84		151
																						Elected						
																												
Wangoom                                                        																												
	FIRST			3	1.36		8	3.62		4	1.81		12	5.43		5	2.26		4	1.81		145	65.61		40	18.10		221
	SECOND			0	0.00		1	25.00			Excluded		1	25.00		0	0.00		0	0.00		2	50.00		0	0.00		4
		TOTAL		3	1.36		9	4.07					13	5.88		5	2.26		4	1.81		147	66.52		40	18.10		221
	THIRD			2	40.00		0	0.00					1	20.00			Excluded		0	0.00		2	40.00		0	0.00		5
		TOTAL		5	2.26		9	4.07					14	6.33					4	1.81		149	67.42		40	18.10		221
	FOURTH				Excluded		3	60.00					1	20.00					1	20.00		0	0.00		0	0.00		5
		TOTAL					12	5.43					15	6.79					5	2.26		149	67.42		40	18.10		221
	FIFTH						1	20.00					2	40.00						Excluded		2	40.00		0	0.00		5
		TOTAL					13	5.88					17	7.69								151	68.33		40	18.10		221
	SIXTH							Excluded					7	53.85								4	30.77		2	15.38		13
		TOTAL											24	10.86								155	70.14		42	19.00		221
	SEVENTH													Excluded								14	58.33		10	41.67		24
		TOTAL																				169	76.47		52	23.53		221
																						Elected						
																												
Warrnambool                                                    																												
	FIRST			71	1.68		110	2.60		88	2.08		213	5.04		70	1.66		110	2.60		2142	50.65		1425	33.70		4229
	SECOND			18	20.45		6	6.82			Excluded		20	22.73		13	14.77		2	2.27		10	11.36		19	21.59		88
		TOTAL		89	2.10		116	2.74					233	5.51		83	1.96		112	2.65		2152	50.89		1444	34.15		4229
	THIRD			12	14.46		7	8.43					19	22.89			Excluded		15	18.07		17	20.48		13	15.66		83
		TOTAL		101	2.39		123	2.91					252	5.96					127	3.00		2169	51.29		1457	34.45		4229
	FOURTH				Excluded		56	55.45					19	18.81					3	2.97		20	19.80		3	2.97		101
		TOTAL					179	4.23					271	6.41					130	3.07		2189	51.76		1460	34.52		4229
	FIFTH						22	16.92					40	30.77						Excluded		42	32.31		26	20.00		130
		TOTAL					201	4.75					311	7.35								2231	52.75		1486	35.14		4229
	SIXTH							Excluded					133	66.17								22	10.95		46	22.89		201
		TOTAL											444	10.50								2253	53.28		1532	36.23		4229
	SEVENTH													Excluded								169	38.06		275	61.94		444
		TOTAL																				2422	57.27		1807	42.73		4229
																						Elected						
																												
Warrnambool East                                               																												
	FIRST			21	0.97		71	3.29		45	2.09		145	6.72		42	1.95		42	1.95		1028	47.66		763	35.37		2157
	SECOND			8	17.78		5	11.11			Excluded		11	24.44		5	11.11		0	0.00		6	13.33		10	22.22		45
