House of Representatives - 2001 Election: Queensland																							
Distribution of Preferences																							
By Polling Place																							
Maranoa																							
				WILSON			BOWDEN			ROLLS			MCNICHOL			SCOTT			NEMETH				
	FIFTH						10	30.30						Excluded		23	69.70					33	
		TOTAL					27	20.77								103	79.23					130	
																Elected							
																							
Murrays Bridge                                                 																							
	FIRST			4	2.76		13	8.97		2	1.38		26	17.93		96	66.21		4	2.76		145	
	SECOND			0	0.00		0	0.00			Excluded		1	50.00		1	50.00		0	0.00		2	
		TOTAL		4	2.76		13	8.97					27	18.62		97	66.90		4	2.76		145	
	THIRD			0	0.00		2	50.00					1	25.00		1	25.00			Excluded		4	
		TOTAL		4	2.76		15	10.34					28	19.31		98	67.59					145	
	FOURTH				Excluded		2	50.00					0	0.00		2	50.00					4	
		TOTAL					17	11.72					28	19.31		100	68.97					145	
	FIFTH						6	21.43						Excluded		22	78.57					28	
		TOTAL					23	15.86								122	84.14					145	
																Elected							
																							
Pratten                                                        																							
	FIRST			0	0.00		7	7.22		0	0.00		30	30.93		58	59.79		2	2.06		97	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		7	7.22					30	30.93		58	59.79		2	2.06		97	
	THIRD			0	0.00		2	100.00					0	0.00		0	0.00			Excluded		2	
		TOTAL		0	0.00		9	9.28					30	30.93		58	59.79					97	
	FOURTH				Excluded		0	0.00					0	0.00		0	0.00					0	
		TOTAL					9	9.28					30	30.93		58	59.79					97	
	FIFTH						13	43.33						Excluded		17	56.67					30	
		TOTAL					22	22.68								75	77.32					97	
																Elected							
																							
Quilpie                                                        																							
	FIRST			13	3.65		80	22.47		0	0.00		43	12.08		214	60.11		6	1.69		356	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		13	3.65		80	22.47					43	12.08		214	60.11		6	1.69		356	
	THIRD			1	16.67		1	16.67					2	33.33		2	33.33			Excluded		6	
		TOTAL		14	3.93		81	22.75					45	12.64		216	60.67					356	
	FOURTH				Excluded		7	50.00					2	14.29		5	35.71					14	
		TOTAL					88	24.72					47	13.20		221	62.08					356	
	FIFTH						21	44.68						Excluded		26	55.32					47	
		TOTAL					109	30.62								247	69.38					356	
																Elected							
																							
Rolleston                                                      																							
	FIRST			9	5.88		12	7.84		0	0.00		24	15.69		107	69.93		1	0.65		153	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		9	5.88		12	7.84					24	15.69		107	69.93		1	0.65		153	
	THIRD			0	0.00		0	0.00					0	0.00		1	100.00			Excluded		1	
		TOTAL		9	5.88		12	7.84					24	15.69		108	70.59					153	
	FOURTH				Excluded		4	44.44					3	33.33		2	22.22					9	
		TOTAL					16	10.46					27	17.65		110	71.90					153	
	FIFTH						12	44.44						Excluded		15	55.56					27	
		TOTAL					28	18.30								125	81.70					153	
																Elected							
																							
Roma                                                           																							
	FIRST			72	3.17		513	22.57		25	1.10		316	13.90		1318	57.99		29	1.28		2273	
	SECOND			3	12.00		6	24.00			Excluded		8	32.00		6	24.00		2	8.00		25	
		TOTAL		75	3.30		519	22.83					324	14.25		1324	58.25		31	1.36		2273	
	THIRD			14	45.16		4	12.90					3	9.68		10	32.26			Excluded		31	
		TOTAL		89	3.92		523	23.01					327	14.39		1334	58.69					2273	
	FOURTH				Excluded		46	51.69					14	15.73		29	32.58					89	
		TOTAL					569	25.03					341	15.00		1363	59.96					2273	
	FIFTH						164	48.09						Excluded		177	51.91					341	
		TOTAL					733	32.25								1540	67.75					2273	
																Elected							
																							
Roma School                                                    																							
	FIRST			33	3.56		255	27.48		10	1.08		123	13.25		491	52.91		16	1.72		928	
	SECOND			2	20.00		1	10.00			Excluded		2	20.00		4	40.00		1	10.00		10	
		TOTAL		35	3.77		256	27.59					125	13.47		495	53.34		17	1.83		928	
	THIRD			6	35.29		4	23.53					3	17.65		4	23.53			Excluded		17	
		TOTAL		41	4.42		260	28.02					128	13.79		499	53.77					928	
	FOURTH				Excluded		24	58.54					6	14.63		11	26.83					41	
		TOTAL					284	30.60					134	14.44		510	54.96					928	
	FIFTH						59	44.03						Excluded		75	55.97					134	
		TOTAL					343	36.96								585	63.04					928	
																Elected							
																							
Roma West                                                      																							
	FIRST			8	2.32		89	25.80		8	2.32		31	8.99		204	59.13		5	1.45		345	
	SECOND			2	25.00		3	37.50			Excluded		2	25.00		1	12.50		0	0.00		8	
		TOTAL		10	2.90		92	26.67					33	9.57		205	59.42		5	1.45		345	
	THIRD			4	80.00		0	0.00					0	0.00		1	20.00			Excluded		5	
		TOTAL		14	4.06		92	26.67					33	9.57		206	59.71					345	
	FOURTH				Excluded		8	57.14					2	14.29		4	28.57					14	
		TOTAL					100	28.99					35	10.14		210	60.87					345	
	FIFTH						16	45.71						Excluded		19	54.29					35	
		TOTAL					116	33.62								229	66.38					345	
																Elected							
																							
Rubyvale                                                       																							
	FIRST			10	3.70		50	18.52		1	0.37		121	44.81		83	30.74		5	1.85		270	
	SECOND			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		10	3.70		51	18.89					121	44.81		83	30.74		5	1.85		270	
	THIRD			3	60.00		1	20.00					0	0.00		1	20.00			Excluded		5	
		TOTAL		13	4.81		52	19.26					121	44.81		84	31.11					270	
	FOURTH				Excluded		8	61.54					1	7.69		4	30.77					13	
		TOTAL					60	22.22					122	45.19		88	32.59					270	
	FIFTH						78	63.93						Excluded		44	36.07					122	
		TOTAL					138	51.11								132	48.89					270	
																Elected							
																							
Sapphire                                                       																							
	FIRST			10	4.81		65	31.25		2	0.96		50	24.04		74	35.58		7	3.37		208	
	SECOND			2	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		12	5.77		65	31.25					50	24.04		74	35.58		7	3.37		208	
	THIRD			0	0.00		2	28.57					1	14.29		4	57.14			Excluded		7	
		TOTAL		12	5.77		67	32.21					51	24.52		78	37.50					208	
	FOURTH				Excluded		7	58.33					4	33.33		1	8.33					12	
		TOTAL					74	35.58					55	26.44		79	37.98					208	
	FIFTH						26	47.27						Excluded		29	52.73					55	
		TOTAL					100	48.08								108	51.92					208	
																Elected							
																							
Springsure                                                     																							
	FIRST			9	1.55		90	15.54		2	0.35		98	16.93		376	64.94		4	0.69		579	
	SECOND			1	50.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00		2	
		TOTAL		10	1.73		90	15.54					99	17.10		376	64.94		4	0.69		579	
	THIRD			2	50.00		0	0.00					0	0.00		2	50.00			Excluded		4	
		TOTAL		12	2.07		90	15.54					99	17.10		378	65.28					579	
	FOURTH				Excluded		8	66.67					1	8.33		3	25.00					12	
		TOTAL					98	16.93					100	17.27		381	65.80					579	
	FIFTH						36	36.00						Excluded		64	64.00					100	
		TOTAL					134	23.14								445	76.86					579	
																Elected							
																							
St George                                                      																							
	FIRST			45	2.79		436	27.06		9	0.56		225	13.97		877	54.44		19	1.18		1611	
	SECOND			2	22.22		2	22.22			Excluded		2	22.22		3	33.33		0	0.00		9	
		TOTAL		47	2.92		438	27.19					227	14.09		880	54.62		19	1.18		1611	
	THIRD			6	31.58		1	5.26					4	21.05		8	42.11			Excluded		19	
		TOTAL		53	3.29		439	27.25					231	14.34		888	55.12					1611	
	FOURTH				Excluded		29	54.72					4	7.55		20	37.74					53	
		TOTAL					468	29.05					235	14.59		908	56.36					1611	
	FIFTH						114	48.51						Excluded		121	51.49					235	
		TOTAL					582	36.13								1029	63.87					1611	
																Elected							
																							
St Ruth                                                        																							
	FIRST			4	7.84		6	11.76		0	0.00		8	15.69		32	62.75		1	1.96		51	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		4	7.84		6	11.76					8	15.69		32	62.75		1	1.96		51	
	THIRD			0	0.00		0	0.00					0	0.00		1	100.00			Excluded		1	
		TOTAL		4	7.84		6	11.76					8	15.69		33	64.71					51	
	FOURTH				Excluded		2	50.00					2	50.00		0	0.00					4	
		TOTAL					8	15.69					10	19.61		33	64.71					51	
	FIFTH						1	10.00						Excluded		9	90.00					10	
		TOTAL					9	17.65								42	82.35					51	
																Elected							
																							
Stanthorpe                                                     																							
	FIRST			106	5.71		537	28.93		7	0.38		313	16.86		837	45.10		56	3.02		1856	
	SECOND			0	0.00		2	28.57			Excluded		2	28.57		2	28.57		1	14.29		7	
		TOTAL		106	5.71		539	29.04					315	16.97		839	45.20		57	3.07		1856	
	THIRD			20	35.09		18	31.58					9	15.79		10	17.54			Excluded		57	
		TOTAL		126	6.79		557	30.01					324	17.46		849	45.74					1856	
	FOURTH				Excluded		82	65.08					13	10.32		31	24.60					126	
		TOTAL					639	34.43					337	18.16		880	47.41					1856	
	FIFTH						189	56.08						Excluded		148	43.92					337	
		TOTAL					828	44.61								1028	55.39					1856	
																Elected							
																							
Stanthorpe South                                               																							
	FIRST			19	4.09		110	23.71		7	1.51		60	12.93		256	55.17		12	2.59		464	
	SECOND			1	14.29		2	28.57			Excluded		3	42.86		0	0.00		1	14.29		7	
		TOTAL		20	4.31		112	24.14					63	13.58		256	55.17		13	2.80		464	
	THIRD			4	30.77		5	38.46					3	23.08		1	7.69			Excluded		13	
		TOTAL		24	5.17		117	25.22					66	14.22		257	55.39					464	
	FOURTH				Excluded		11	45.83					6	25.00		7	29.17					24	
		TOTAL					128	27.59					72	15.52		264	56.90					464	
	FIFTH						44	61.11						Excluded		28	38.89					72	
		TOTAL					172	37.07								292	62.93					464	
																Elected							
																							
Stanthorpe West                                                																							
	FIRST			27	4.19		185	28.68		0	0.00		90	13.95		327	50.70		16	2.48		645	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		27	4.19		185	28.68					90	13.95		327	50.70		16	2.48		645	
	THIRD			5	31.25		7	43.75					1	6.25		3	18.75			Excluded		16	
		TOTAL		32	4.96		192	29.77					91	14.11		330	51.16					645	
	FOURTH				Excluded		17	53.13					5	15.63		10	31.25					32	
		TOTAL					209	32.40					96	14.88		340	52.71					645	
	FIFTH						53	55.21						Excluded		43	44.79					96	
		TOTAL					262	40.62								383	59.38					645	
																Elected							
																							
Surat                                                          																							
	FIRST			6	1.81		83	25.00		1	0.30		48	14.46		192	57.83		2	0.60		332	
	SECOND			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		6	1.81		84	25.30					48	14.46		192	57.83		2	0.60		332	
	THIRD			0	0.00		0	0.00					0	0.00		2	100.00			Excluded		2	
		TOTAL		6	1.81		84	25.30					48	14.46		194	58.43					332	
	FOURTH				Excluded		5	83.33					1	16.67		0	0.00					6	
		TOTAL					89	26.81					49	14.76		194	58.43					332	
	FIFTH						23	46.94						Excluded		26	53.06					49	
		TOTAL					112	33.73								220	66.27					332	
																Elected							
																							
Talwood                                                        																							
	FIRST			4	3.23		23	18.55		1	0.81		19	15.32		77	62.10		0	0.00		124	
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		5	4.03		23	18.55					19	15.32		77	62.10		0	0.00		124	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		5	4.03		23	18.55					19	15.32		77	62.10					124	
	FOURTH				Excluded		4	80.00					0	0.00		1	20.00					5	
		TOTAL					27	21.77					19	15.32		78	62.90					124	
	FIFTH						10	52.63						Excluded		9	47.37					19	
		TOTAL					37	29.84								87	70.16					124	
																Elected							
																							
Tambo                                                          																							
	FIRST			10	3.70		75	27.78		2	0.74		35	12.96		148	54.81		0	0.00		270	
	SECOND			0	0.00		0	0.00			Excluded		2	100.00		0	0.00		0	0.00		2	
		TOTAL		10	3.70		75	27.78					37	13.70		148	54.81		0	0.00		270	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		10	3.70		75	27.78					37	13.70		148	54.81					270	
	FOURTH				Excluded		5	50.00					1	10.00		4	40.00					10	
		TOTAL					80	29.63					38	14.07		152	56.30					270	
	FIFTH						16	42.11						Excluded		22	57.89					38	
		TOTAL					96	35.56								174	64.44					270	
																Elected							
																							
Tara                                                           																							
	FIRST			26	2.94		214	24.21		7	0.79		212	23.98		392	44.34		33	3.73		884	
	SECOND			3	42.86		1	14.29			Excluded		2	28.57		1	14.29		0	0.00		7	
		TOTAL		29	3.28		215	24.32					214	24.21		393	44.46		33	3.73		884	
	THIRD			15	45.45		8	24.24					3	9.09		7	21.21			Excluded		33	
		TOTAL		44	4.98		223	25.23					217	24.55		400	45.25					884	
	FOURTH				Excluded		20	45.45					8	18.18		16	36.36					44	
		TOTAL					243	27.49					225	25.45		416	47.06					884	
	FIFTH						126	56.00						Excluded		99	44.00					225	
		TOTAL					369	41.74								515	58.26					884	
																Elected							
																							
Taroom                                                         																							
	FIRST			16	2.82		73	12.85		5	0.88		83	14.61		387	68.13		4	0.70		568	
	SECOND			0	0.00		2	40.00			Excluded		2	40.00		1	20.00		0	0.00		5	
		TOTAL		16	2.82		75	13.20					85	14.96		388	68.31		4	0.70		568	
	THIRD			2	50.00		2	50.00					0	0.00		0	0.00			Excluded		4	
		TOTAL		18	3.17		77	13.56					85	14.96		388	68.31					568	
	FOURTH				Excluded		7	38.89					3	16.67		8	44.44					18	
		TOTAL					84	14.79					88	15.49		396	69.72					568	
	FIFTH						33	37.50						Excluded		55	62.50					88	
		TOTAL					117	20.60								451	79.40					568	
																Elected							
																							
Texas                                                          																							
	FIRST			12	2.16		175	31.53		2	0.36		76	13.69		278	50.09		12	2.16		555	
	SECOND			0	0.00		2	100.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		12	2.16		177	31.89					76	13.69		278	50.09		12	2.16		555	
	THIRD			2	16.67		3	25.00					2	16.67		5	41.67			Excluded		12	
		TOTAL		14	2.52		180	32.43					78	14.05		283	50.99					555	
	FOURTH				Excluded		6	42.86					2	14.29		6	42.86					14	
		TOTAL					186	33.51					80	14.41		289	52.07					555	
	FIFTH						39	48.75						Excluded		41	51.25					80	
		TOTAL					225	40.54								330	59.46					555	
																Elected							
																							
Thallon                                                        																							
	FIRST			1	0.75		28	21.05		1	0.75		24	18.05		77	57.89		2	1.50		133	
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		2	1.50		28	21.05					24	18.05		77	57.89		2	1.50		133	
	THIRD			0	0.00		0	0.00					0	0.00		2	100.00			Excluded		2	
		TOTAL		2	1.50		28	21.05					24	18.05		79	59.40					133	
	FOURTH				Excluded		0	0.00					1	50.00		1	50.00					2	
		TOTAL					28	21.05					25	18.80		80	60.15					133	
	FIFTH						8	32.00						Excluded		17	68.00					25	
		TOTAL					36	27.07								97	72.93					133	
																Elected							
																							
Thargomindah                                                   																							
	FIRST			3	2.63		33	28.95		1	0.88		17	14.91		57	50.00		3	2.63		114	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		1	
		TOTAL		3	2.63		33	28.95					17	14.91		57	50.00		4	3.51		114	
	THIRD			1	25.00		0	0.00					3	75.00		0	0.00			Excluded		4	
		TOTAL		4	3.51		33	28.95					20	17.54		57	50.00					114	
	FOURTH				Excluded		3	75.00					0	0.00		1	25.00					4	
		TOTAL					36	31.58					20	17.54		58	50.88					114	
	FIFTH						8	40.00						Excluded		12	60.00					20	
		TOTAL					44	38.60								70	61.40					114	
																Elected							
																							
The Gums                                                       																							
	FIRST			2	2.25		4	4.49		1	1.12		11	12.36		70	78.65		1	1.12		89	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1	
		TOTAL		2	2.25		4	4.49					11	12.36		71	79.78		1	1.12		89	
	THIRD			0	0.00		0	0.00					0	0.00		1	100.00			Excluded		1	
		TOTAL		2	2.25		4	4.49					11	12.36		72	80.90					89	
	FOURTH				Excluded		1	50.00					0	0.00		1	50.00					2	
		TOTAL					5	5.62					11	12.36		73	82.02					89	
	FIFTH						5	45.45						Excluded		6	54.55					11	
		TOTAL					10	11.24								79	88.76					89	
																Elected							
																							
The Summit                                                     																							
	FIRST			12	4.17		62	21.53		0	0.00		66	22.92		135	46.88		13	4.51		288	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		12	4.17		62	21.53					66	22.92		135	46.88		13	4.51		288	
	THIRD			6	46.15		3	23.08					0	0.00		4	30.77			Excluded		13	
		TOTAL		18	6.25		65	22.57					66	22.92		139	48.26					288	
	FOURTH				Excluded		9	50.00					1	5.56		8	44.44					18	
		TOTAL					74	25.69					67	23.26		147	51.04					288	
	FIFTH						37	55.22						Excluded		30	44.78					67	
		TOTAL					111	38.54								177	61.46					288	
																Elected							
																							
Toobeah                                                        																							
	FIRST			2	1.64		11	9.02		1	0.82		24	19.67		84	68.85		0	0.00		122	
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		3	2.46		11	9.02					24	19.67		84	68.85		0	0.00		122	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		3	2.46		11	9.02					24	19.67		84	68.85					122	
	FOURTH				Excluded		0	0.00					2	66.67		1	33.33					3	
		TOTAL					11	9.02					26	21.31		85	69.67					122	
	FIFTH						12	46.15						Excluded		14	53.85					26	
		TOTAL					23	18.85								99	81.15					122	
																Elected							
																							
Wallangarra                                                    																							
	FIRST			17	6.12		75	26.98		0	0.00		70	25.18		107	38.49		9	3.24		278	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		17	6.12		75	26.98					70	25.18		107	38.49		9	3.24		278	
	THIRD			4	44.44		1	11.11					2	22.22		2	22.22			Excluded		9	
		TOTAL		21	7.55		76	27.34					72	25.90		109	39.21					278	
	FOURTH				Excluded		11	52.38					5	23.81		5	23.81					21	
		TOTAL					87	31.29					77	27.70		114	41.01					278	
	FIFTH						47	61.04						Excluded		30	38.96					77	
		TOTAL					134	48.20								144	51.80					278	
																Elected							
																							
Wallumbilla                                                    																							
	FIRST			7	2.59		42	15.56		1	0.37		27	10.00		193	71.48		0	0.00		270	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1	
		TOTAL		7	2.59		42	15.56					27	10.00		194	71.85		0	0.00		270	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		7	2.59		42	15.56					27	10.00		194	71.85					270	
	FOURTH				Excluded		2	28.57					1	14.29		4	57.14					7	
		TOTAL					44	16.30					28	10.37		198	73.33					270	
	FIFTH						17	60.71						Excluded		11	39.29					28	
		TOTAL					61	22.59								209	77.41					270	
																Elected							
																							
Wandoan                                                        																							
	FIRST			12	3.30		24	6.59		5	1.37		64	17.58		257	70.60		2	0.55		364	
	SECOND			0	0.00		0	0.00			Excluded		4	80.00		1	20.00		0	0.00		5	
		TOTAL		12	3.30		24	6.59					68	18.68		258	70.88		2	0.55		364	
	THIRD			2	100.00		0	0.00					0	0.00		0	0.00			Excluded		2	
		TOTAL		14	3.85		24	6.59					68	18.68		258	70.88					364	
	FOURTH				Excluded		6	42.86					5	35.71		3	21.43					14	
		TOTAL					30	8.24					73	20.05		261	71.70					364	
	FIFTH						33	45.21						Excluded		40	54.79					73	
		TOTAL					63	17.31								301	82.69					364	
																Elected							
																							
Warra                                                          																							
	FIRST			6	4.03		26	17.45		2	1.34		23	15.44		92	61.74		0	0.00		149	
	SECOND			1	50.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00		2	
		TOTAL		7	4.70		26	17.45					24	16.11		92	61.74		0	0.00		149	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		7	4.70		26	17.45					24	16.11		92	61.74					149	
	FOURTH				Excluded		6	85.71					0	0.00		1	14.29					7	
		TOTAL					32	21.48					24	16.11		93	62.42					149	
	FIFTH						9	37.50						Excluded		15	62.50					24	
		TOTAL					41	27.52								108	72.48					149	
																Elected							
																							
Warwick                                                        																							
	FIRST			121	6.14		531	26.94		21	1.07		213	10.81		1018	51.65		67	3.40		1971	
	SECOND			3	14.29		4	19.05			Excluded		5	23.81		5	23.81		4	19.05		21	
		TOTAL		124	6.29		535	27.14					218	11.06		1023	51.90		71	3.60		1971	
	THIRD			34	47.89		12	16.90					8	11.27		17	23.94			Excluded		71	
		TOTAL		158	8.02		547	27.75					226	11.47		1040	52.77					1971	
	FOURTH				Excluded		103	65.19					12	7.59		43	27.22					158	
		TOTAL					650	32.98					238	12.08		1083	54.95					1971	
	FIFTH						112	47.06						Excluded		126	52.94					238	
		TOTAL					762	38.66								1209	61.34					1971	
																Elected							
																							
Warwick East                                                   																							
	FIRST			116	5.85		447	22.53		19	0.96		348	17.54		987	49.75		67	3.38		1984	
	SECOND			5	26.32		3	15.79			Excluded		4	21.05		1	5.26		6	31.58		19	
		TOTAL		121	6.10		450	22.68					352	17.74		988	49.80		73	3.68		1984	
	THIRD			34	46.58		10	13.70					5	6.85		24	32.88			Excluded		73	
		TOTAL		155	7.81		460	23.19					357	17.99		1012	51.01					1984	
	FOURTH				Excluded		98	63.23					14	9.03		43	27.74					155	
		TOTAL					558	28.13					371	18.70		1055	53.18					1984	
	FIFTH						214	57.68						Excluded		157	42.32					371	
		TOTAL					772	38.91								1212	61.09					1984	
																Elected							
																							
Warwick North                                                  																							
	FIRST			44	5.06		220	25.29		4	0.46		139	15.98		442	50.80		21	2.41		870	
	SECOND			1	25.00		2	50.00			Excluded		0	0.00		0	0.00		1	25.00		4	
		TOTAL		45	5.17		222	25.52					139	15.98		442	50.80		22	2.53		870	
	THIRD			6	27.27		7	31.82					4	18.18		5	22.73			Excluded		22	
		TOTAL		51	5.86		229	26.32					143	16.44		447	51.38					870	
	FOURTH				Excluded		26	50.98					5	9.80		20	39.22					51	
		TOTAL					255	29.31					148	17.01		467	53.68					870	
	FIFTH						80	54.05						Excluded		68	45.95					148	
		TOTAL					335	38.51								535	61.49					870	
																Elected							
																							
Warwick South                                                  																							
	FIRST			28	4.19		130	19.46		6	0.90		86	12.87		402	60.18		16	2.40		668	
	SECOND			2	33.33		2	33.33			Excluded		2	33.33		0	0.00		0	0.00		6	
		TOTAL		30	4.49		132	19.76					88	13.17		402	60.18		16	2.40		668	
	THIRD			7	43.75		2	12.50					1	6.25		6	37.50			Excluded		16	
		TOTAL		37	5.54		134	20.06					89	13.32		408	61.08					668	
	FOURTH				Excluded		20	54.05					5	13.51		12	32.43					37	
		TOTAL					154	23.05					94	14.07		420	62.87					668	
	FIFTH						45	47.87						Excluded		49	52.13					94	
		TOTAL					199	29.79								469	70.21					668	
																Elected							
																							
Warwick West                                                   																							
	FIRST			90	4.74		518	27.29		11	0.58		264	13.91		970	51.11		45	2.37		1898	
	SECOND			4	36.36		0	0.00			Excluded		0	0.00		3	27.27		4	36.36		11	
		TOTAL		94	4.95		518	27.29					264	13.91		973	51.26		49	2.58		1898	
	THIRD			27	55.10		9	18.37					2	4.08		11	22.45			Excluded		49	
		TOTAL		121	6.38		527	27.77					266	14.01		984	51.84					1898	
	FOURTH				Excluded		61	50.41					27	22.31		33	27.27					121	
		TOTAL					588	30.98					293	15.44		1017	53.58					1898	
	FIFTH						140	47.78						Excluded		153	52.22					293	
		TOTAL					728	38.36								1170	61.64					1898	
																Elected							
																							
Willows Gemfields                                              																							
	FIRST			2	2.90		32	46.38		0	0.00		9	13.04		24	34.78		2	2.90		69	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	2.90		32	46.38					9	13.04		24	34.78		2	2.90		69	
	THIRD			2	100.00		0	0.00					0	0.00		0	0.00			Excluded		2	
		TOTAL		4	5.80		32	46.38					9	13.04		24	34.78					69	
	FOURTH				Excluded		3	75.00					0	0.00		1	25.00					4	
		TOTAL					35	50.72					9	13.04		25	36.23					69	
	FIFTH						5	55.56						Excluded		4	44.44					9	
		TOTAL					40	57.97								29	42.03					69	
																Elected							
																							
Windorah                                                       																							
	FIRST			2	2.82		11	15.49		2	2.82		18	25.35		38	53.52		0	0.00		71	
	SECOND			0	0.00		1	50.00			Excluded		1	50.00		0	0.00		0	0.00		2	
		TOTAL		2	2.82		12	16.90					19	26.76		38	53.52		0	0.00		71	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		2	2.82		12	16.90					19	26.76		38	53.52					71	
	FOURTH				Excluded		2	100.00					0	0.00		0	0.00					2	
		TOTAL					14	19.72					19	26.76		38	53.52					71	
	FIFTH						7	36.84						Excluded		12	63.16					19	
		TOTAL					21	29.58								50	70.42					71	
																Elected							
																							
Woorabinda                                                     																							
	FIRST			23	9.24		189	75.90		6	2.41		3	1.20		21	8.43		7	2.81		249	
	SECOND			3	50.00		2	33.33			Excluded		1	16.67		0	0.00		0	0.00		6	
		TOTAL		26	10.44		191	76.71					4	1.61		21	8.43		7	2.81		249	
	THIRD			4	57.14		2	28.57					0	0.00		1	14.29			Excluded		7	
		TOTAL		30	12.05		193	77.51					4	1.61		22	8.84					249	
	FOURTH				Excluded		16	53.33					6	20.00		8	26.67					30	
		TOTAL					209	83.94					10	4.02		30	12.05					249	
	FIFTH						8	80.00						Excluded		2	20.00					10	
		TOTAL					217	87.15								32	12.85					249	
																Elected							
																							
Wyandra                                                        																							
	FIRST			2	3.13		13	20.31		0	0.00		13	20.31		36	56.25		0	0.00		64	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	3.13		13	20.31					13	20.31		36	56.25		0	0.00		64	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		2	3.13		13	20.31					13	20.31		36	56.25					64	
	FOURTH				Excluded		2	100.00					0	0.00		0	0.00					2	
		TOTAL					15	23.44					13	20.31		36	56.25					64	
	FIFTH						1	7.69						Excluded		12	92.31					13	
		TOTAL					16	25.00								48	75.00					64	
																Elected							
																							
Yangan                                                         																							
	FIRST			20	4.37		48	10.48		6	1.31		90	19.65		279	60.92		15	3.28		458	
	SECOND			2	33.33		1	16.67			Excluded		2	33.33		0	0.00		1	16.67		6	
		TOTAL		22	4.80		49	10.70					92	20.09		279	60.92		16	3.49		458	
	THIRD			7	43.75		2	12.50					2	12.50		5	31.25			Excluded		16	
		TOTAL		29	6.33		51	11.14					94	20.52		284	62.01					458	
	FOURTH				Excluded		19	65.52					7	24.14		3	10.34					29	
		TOTAL					70	15.28					101	22.05		287	62.66					458	
	FIFTH						42	41.58						Excluded		59	58.42					101	
		TOTAL					112	24.45								346	75.55					458	
																Elected							
																							
Yelarbon                                                       																							
	FIRST			3	1.44		47	22.60		0	0.00		60	28.85		94	45.19		4	1.92		208	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	1.44		47	22.60					60	28.85		94	45.19		4	1.92		208	
	THIRD			2	50.00		0	0.00					1	25.00		1	25.00			Excluded		4	
		TOTAL		5	2.40		47	22.60					61	29.33		95	45.67					208	
	FOURTH				Excluded		1	20.00					2	40.00		2	40.00					5	
		TOTAL					48	23.08					63	30.29		97	46.63					208	
	FIFTH						29	46.03						Excluded		34	53.97					63	
		TOTAL					77	37.02								131	62.98					208	
																Elected							
																							
Yuleba                                                         																							
	FIRST			0	0.00		35	22.88		1	0.65		17	11.11		98	64.05		2	1.31		153	
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		1	0.65		35	22.88					17	11.11		98	64.05		2	1.31		153	
	THIRD			0	0.00		0	0.00					1	50.00		1	50.00			Excluded		2	
