House of Representatives - 2001 Election: Victoria																																
Distribution of Preferences																																
By Polling Place																																
Indi																																
				ADAMS			MURDOCH			BENNETTS			CHUCK			SEYMOUR			WARDLE			CHAMBERS			PANOPOULOS			MCINTOSH				
		TOTAL		1	0.30		56	16.62		12	3.56		19	5.64					12	3.56		99	29.38		119	35.31		19	5.64		337	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL					56	16.62		12	3.56		19	5.64					12	3.56		99	29.38		119	35.31		20	5.93		337	
	FOURTH						4	21.05		1	5.26			Excluded					4	21.05		0	0.00		3	15.79		7	36.84		19	
		TOTAL					60	17.80		13	3.86								16	4.75		99	29.38		122	36.20		27	8.01		337	
	FIFTH						4	30.77			Excluded								0	0.00		2	15.38		1	7.69		6	46.15		13	
		TOTAL					64	18.99											16	4.75		101	29.97		123	36.50		33	9.79		337	
	SIXTH						9	56.25												Excluded		2	12.50		0	0.00		5	31.25		16	
		TOTAL					73	21.66														103	30.56		123	36.50		38	11.28		337	
	SEVENTH						14	36.84														12	31.58		12	31.58			Excluded		38	
		TOTAL					87	25.82														115	34.12		135	40.06					337	
	EIGHTH						9	7.83															Excluded		106	92.17					115	
		TOTAL					96	28.49																	241	71.51					337	
																									Elected							
																																
Mitta Mitta                                                    																																
	FIRST			2	1.23		28	17.28		10	6.17		1	0.62		0	0.00		3	1.85		20	12.35		72	44.44		26	16.05		162	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	1.23		28	17.28		10	6.17		1	0.62					3	1.85		20	12.35		72	44.44		26	16.05		162	
	THIRD				Excluded		2	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL					30	18.52		10	6.17		1	0.62					3	1.85		20	12.35		72	44.44		26	16.05		162	
	FOURTH						0	0.00		0	0.00			Excluded					0	0.00		1	100.00		0	0.00		0	0.00		1	
		TOTAL					30	18.52		10	6.17								3	1.85		21	12.96		72	44.44		26	16.05		162	
	FIFTH						2	20.00			Excluded								2	20.00		0	0.00		2	20.00		4	40.00		10	
		TOTAL					32	19.75											5	3.09		21	12.96		74	45.68		30	18.52		162	
	SIXTH						0	0.00												Excluded		3	60.00		0	0.00		2	40.00		5	
		TOTAL					32	19.75														24	14.81		74	45.68		32	19.75		162	
	SEVENTH						2	6.25														15	46.88		15	46.88			Excluded		32	
		TOTAL					34	20.99														39	24.07		89	54.94					162	
	EIGHTH						3	7.69															Excluded		36	92.31					39	
		TOTAL					37	22.84																	125	77.16					162	
																									Elected							
																																
Molyullah                                                      																																
	FIRST			1	1.08		20	21.51		6	6.45		3	3.23		1	1.08		1	1.08		19	20.43		40	43.01		2	2.15		93	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL		1	1.08		20	21.51		6	6.45		3	3.23					1	1.08		19	20.43		40	43.01		3	3.23		93	
	THIRD				Excluded		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL					21	22.58		6	6.45		3	3.23					1	1.08		19	20.43		40	43.01		3	3.23		93	
	FOURTH						1	33.33		0	0.00			Excluded					2	66.67		0	0.00		0	0.00		0	0.00		3	
		TOTAL					22	23.66		6	6.45								3	3.23		19	20.43		40	43.01		3	3.23		93	
	FIFTH						1	16.67			Excluded								0	0.00		0	0.00		2	33.33		3	50.00		6	
		TOTAL					23	24.73											3	3.23		19	20.43		42	45.16		6	6.45		93	
	SIXTH						1	33.33												Excluded		0	0.00		1	33.33		1	33.33		3	
		TOTAL					24	25.81														19	20.43		43	46.24		7	7.53		93	
	SEVENTH						5	71.43														1	14.29		1	14.29			Excluded		7	
		TOTAL					29	31.18														20	21.51		44	47.31					93	
	EIGHTH						1	5.00															Excluded		19	95.00					20	
		TOTAL					30	32.26																	63	67.74					93	
																									Elected							
																																
Mongans Bridge                                                 																																
	FIRST			0	0.00		17	13.08		5	3.85		2	1.54		11	8.46		8	6.15		10	7.69		46	35.38		31	23.85		130	
	SECOND			0	0.00		0	0.00		1	9.09		1	9.09			Excluded		0	0.00		1	9.09		2	18.18		6	54.55		11	
		TOTAL		0	0.00		17	13.08		6	4.62		3	2.31					8	6.15		11	8.46		48	36.92		37	28.46		130	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					17	13.08		6	4.62		3	2.31					8	6.15		11	8.46		48	36.92		37	28.46		130	
	FOURTH						0	0.00		0	0.00			Excluded					2	66.67		1	33.33		0	0.00		0	0.00		3	
		TOTAL					17	13.08		6	4.62								10	7.69		12	9.23		48	36.92		37	28.46		130	
	FIFTH						2	33.33			Excluded								0	0.00		1	16.67		1	16.67		2	33.33		6	
		TOTAL					19	14.62											10	7.69		13	10.00		49	37.69		39	30.00		130	
	SIXTH						6	60.00												Excluded		1	10.00		1	10.00		2	20.00		10	
		TOTAL					25	19.23														14	10.77		50	38.46		41	31.54		130	
	SEVENTH						12	29.27														23	56.10		6	14.63			Excluded		41	
		TOTAL					37	28.46														37	28.46		56	43.08					130	
	EIGHTH						3	8.11															Excluded		34	91.89					37	
		TOTAL					40	30.77																	90	69.23					130	
																									Elected							
																																
Mount Beauty                                                   																																
	FIRST			7	0.71		357	36.13		34	3.44		34	3.44		16	1.62		70	7.09		40	4.05		352	35.63		78	7.89		988	
	SECOND			0	0.00		3	18.75		1	6.25		0	0.00			Excluded		4	25.00		0	0.00		2	12.50		6	37.50		16	
		TOTAL		7	0.71		360	36.44		35	3.54		34	3.44					74	7.49		40	4.05		354	35.83		84	8.50		988	
	THIRD				Excluded		4	57.14		0	0.00		1	14.29					0	0.00		2	28.57		0	0.00		0	0.00		7	
		TOTAL					364	36.84		35	3.54		35	3.54					74	7.49		42	4.25		354	35.83		84	8.50		988	
	FOURTH						7	20.00		2	5.71			Excluded					12	34.29		4	11.43		8	22.86		2	5.71		35	
		TOTAL					371	37.55		37	3.74								86	8.70		46	4.66		362	36.64		86	8.70		988	
	FIFTH						7	18.92			Excluded								3	8.11		1	2.70		6	16.22		20	54.05		37	
		TOTAL					378	38.26											89	9.01		47	4.76		368	37.25		106	10.73		988	
	SIXTH						63	70.79												Excluded		4	4.49		11	12.36		11	12.36		89	
		TOTAL					441	44.64														51	5.16		379	38.36		117	11.84		988	
	SEVENTH						30	25.64														55	47.01		32	27.35			Excluded		117	
		TOTAL					471	47.67														106	10.73		411	41.60					988	
	EIGHTH						21	19.81															Excluded		85	80.19					106	
		TOTAL					492	49.80																	496	50.20					988	
																									Elected							
																																
Mount Hotham                                                   																																
	FIRST			0	0.00		1	5.56		0	0.00		4	22.22		0	0.00		3	16.67		0	0.00		10	55.56		0	0.00		18	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		1	5.56		0	0.00		4	22.22					3	16.67		0	0.00		10	55.56		0	0.00		18	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					1	5.56		0	0.00		4	22.22					3	16.67		0	0.00		10	55.56		0	0.00		18	
	FOURTH						1	25.00		0	0.00			Excluded					3	75.00		0	0.00		0	0.00		0	0.00		4	
		TOTAL					2	11.11		0	0.00								6	33.33		0	0.00		10	55.56		0	0.00		18	
	FIFTH						0	0.00			Excluded								0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					2	11.11											6	33.33		0	0.00		10	55.56		0	0.00		18	
	SIXTH						2	33.33												Excluded		1	16.67		1	16.67		2	33.33		6	
		TOTAL					4	22.22														1	5.56		11	61.11		2	11.11		18	
	SEVENTH						2	100.00														0	0.00		0	0.00			Excluded		2	
		TOTAL					6	33.33														1	5.56		11	61.11					18	
	EIGHTH						0	0.00															Excluded		1	100.00					1	
		TOTAL					6	33.33																	12	66.67					18	
																									Elected							
																																
Moyhu                                                          																																
	FIRST			3	0.63		91	19.00		15	3.13		10	2.09		0	0.00		13	2.71		113	23.59		219	45.72		15	3.13		479	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	0.63		91	19.00		15	3.13		10	2.09					13	2.71		113	23.59		219	45.72		15	3.13		479	
	THIRD				Excluded		1	33.33		1	33.33		0	0.00					0	0.00		0	0.00		0	0.00		1	33.33		3	
		TOTAL					92	19.21		16	3.34		10	2.09					13	2.71		113	23.59		219	45.72		16	3.34		479	
	FOURTH						0	0.00		0	0.00			Excluded					4	40.00		2	20.00		4	40.00		0	0.00		10	
		TOTAL					92	19.21		16	3.34								17	3.55		115	24.01		223	46.56		16	3.34		479	
	FIFTH						3	18.75			Excluded								2	12.50		2	12.50		0	0.00		9	56.25		16	
		TOTAL					95	19.83											19	3.97		117	24.43		223	46.56		25	5.22		479	
	SIXTH						15	78.95												Excluded		1	5.26		1	5.26		2	10.53		19	
		TOTAL					110	22.96														118	24.63		224	46.76		27	5.64		479	
	SEVENTH						9	33.33														9	33.33		9	33.33			Excluded		27	
		TOTAL					119	24.84														127	26.51		233	48.64					479	
	EIGHTH						10	7.87															Excluded		117	92.13					127	
		TOTAL					129	26.93																	350	73.07					479	
																									Elected							
																																
Mudgegonga                                                     																																
	FIRST			3	1.99		29	19.21		5	3.31		6	3.97		1	0.66		6	3.97		22	14.57		51	33.77		28	18.54		151	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		3	1.99		29	19.21		5	3.31		6	3.97					7	4.64		22	14.57		51	33.77		28	18.54		151	
	THIRD				Excluded		1	33.33		2	66.67		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		3	
		TOTAL					30	19.87		7	4.64		6	3.97					7	4.64		22	14.57		51	33.77		28	18.54		151	
	FOURTH						2	33.33		0	0.00			Excluded					3	50.00		0	0.00		1	16.67		0	0.00		6	
		TOTAL					32	21.19		7	4.64								10	6.62		22	14.57		52	34.44		28	18.54		151	
	FIFTH						2	28.57			Excluded								0	0.00		1	14.29		1	14.29		3	42.86		7	
		TOTAL					34	22.52											10	6.62		23	15.23		53	35.10		31	20.53		151	
	SIXTH						4	40.00												Excluded		1	10.00		2	20.00		3	30.00		10	
		TOTAL					38	25.17														24	15.89		55	36.42		34	22.52		151	
	SEVENTH						5	14.71														17	50.00		12	35.29			Excluded		34	
		TOTAL					43	28.48														41	27.15		67	44.37					151	
	EIGHTH						7	17.07															Excluded		34	82.93					41	
		TOTAL					50	33.11																	101	66.89					151	
																									Elected							
																																
Myrrhee                                                        																																
	FIRST			1	1.03		16	16.49		4	4.12		3	3.09		0	0.00		8	8.25		23	23.71		37	38.14		5	5.15		97	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	1.03		16	16.49		4	4.12		3	3.09					8	8.25		23	23.71		37	38.14		5	5.15		97	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL					16	16.49		4	4.12		3	3.09					8	8.25		23	23.71		37	38.14		6	6.19		97	
	FOURTH						1	33.33		0	0.00			Excluded					2	66.67		0	0.00		0	0.00		0	0.00		3	
		TOTAL					17	17.53		4	4.12								10	10.31		23	23.71		37	38.14		6	6.19		97	
	FIFTH						0	0.00			Excluded								0	0.00		1	25.00		1	25.00		2	50.00		4	
		TOTAL					17	17.53											10	10.31		24	24.74		38	39.18		8	8.25		97	
	SIXTH						7	70.00												Excluded		0	0.00		1	10.00		2	20.00		10	
		TOTAL					24	24.74														24	24.74		39	40.21		10	10.31		97	
	SEVENTH						5	50.00														2	20.00		3	30.00			Excluded		10	
		TOTAL					29	29.90														26	26.80		42	43.30					97	
	EIGHTH						3	11.54															Excluded		23	88.46					26	
		TOTAL					32	32.99																	65	67.01					97	
																									Elected							
																																
Myrtleford                                                     																																
	FIRST			29	1.25		687	29.50		95	4.08		83	3.56		25	1.07		62	2.66		313	13.44		896	38.47		139	5.97		2329	
	SECOND			1	4.00		7	28.00		1	4.00		4	16.00			Excluded		1	4.00		0	0.00		5	20.00		6	24.00		25	
		TOTAL		30	1.29		694	29.80		96	4.12		87	3.74					63	2.71		313	13.44		901	38.69		145	6.23		2329	
	THIRD				Excluded		21	70.00		2	6.67		3	10.00					0	0.00		0	0.00		1	3.33		3	10.00		30	
		TOTAL					715	30.70		98	4.21		90	3.86					63	2.71		313	13.44		902	38.73		148	6.35		2329	
	FOURTH						16	17.78		5	5.56			Excluded					49	54.44		6	6.67		7	7.78		7	7.78		90	
		TOTAL					731	31.39		103	4.42								112	4.81		319	13.70		909	39.03		155	6.66		2329	
	FIFTH						16	15.53			Excluded								12	11.65		13	12.62		17	16.50		45	43.69		103	
		TOTAL					747	32.07											124	5.32		332	14.26		926	39.76		200	8.59		2329	
	SIXTH						43	34.68												Excluded		8	6.45		12	9.68		61	49.19		124	
		TOTAL					790	33.92														340	14.60		938	40.27		261	11.21		2329	
	SEVENTH						60	22.99														126	48.28		75	28.74			Excluded		261	
		TOTAL					850	36.50														466	20.01		1013	43.50					2329	
	EIGHTH						82	17.60															Excluded		384	82.40					466	
		TOTAL					932	40.02																	1397	59.98					2329	
																									Elected							
																																
Oxley                                                          																																
	FIRST			2	0.57		59	16.95		13	3.74		25	7.18		2	0.57		10	2.87		96	27.59		121	34.77		20	5.75		348	
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		2	0.57		59	16.95		14	4.02		25	7.18					11	3.16		96	27.59		121	34.77		20	5.75		348	
	THIRD				Excluded		2	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL					61	17.53		14	4.02		25	7.18					11	3.16		96	27.59		121	34.77		20	5.75		348	
	FOURTH						6	24.00		0	0.00			Excluded					7	28.00		5	20.00		1	4.00		6	24.00		25	
		TOTAL					67	19.25		14	4.02								18	5.17		101	29.02		122	35.06		26	7.47		348	
	FIFTH						1	7.14			Excluded								0	0.00		4	28.57		5	35.71		4	28.57		14	
		TOTAL					68	19.54											18	5.17		105	30.17		127	36.49		30	8.62		348	
	SIXTH						7	38.89												Excluded		4	22.22		1	5.56		6	33.33		18	
		TOTAL					75	21.55														109	31.32		128	36.78		36	10.34		348	
	SEVENTH						10	27.78														21	58.33		5	13.89			Excluded		36	
		TOTAL					85	24.43														130	37.36		133	38.22					348	
	EIGHTH						18	13.85															Excluded		112	86.15					130	
		TOTAL					103	29.60																	245	70.40					348	
																									Elected							
																																
Porepunkah                                                     																																
	FIRST			4	0.64		153	24.48		24	3.84		23	3.68		8	1.28		34	5.44		83	13.28		258	41.28		38	6.08		625	
	SECOND			0	0.00		1	12.50		0	0.00		0	0.00			Excluded		0	0.00		1	12.50		3	37.50		3	37.50		8	
		TOTAL		4	0.64		154	24.64		24	3.84		23	3.68					34	5.44		84	13.44		261	41.76		41	6.56		625	
	THIRD				Excluded		2	50.00		0	0.00		1	25.00					0	0.00		1	25.00		0	0.00		0	0.00		4	
		TOTAL					156	24.96		24	3.84		24	3.84					34	5.44		85	13.60		261	41.76		41	6.56		625	
	FOURTH						7	29.17		1	4.17			Excluded					12	50.00		1	4.17		1	4.17		2	8.33		24	
		TOTAL					163	26.08		25	4.00								46	7.36		86	13.76		262	41.92		43	6.88		625	
	FIFTH						8	32.00			Excluded								1	4.00		1	4.00		6	24.00		9	36.00		25	
		TOTAL					171	27.36											47	7.52		87	13.92		268	42.88		52	8.32		625	
	SIXTH						33	70.21												Excluded		2	4.26		2	4.26		10	21.28		47	
		TOTAL					204	32.64														89	14.24		270	43.20		62	9.92		625	
	SEVENTH						23	37.10														28	45.16		11	17.74			Excluded		62	
		TOTAL					227	36.32														117	18.72		281	44.96					625	
	EIGHTH						14	11.97															Excluded		103	88.03					117	
		TOTAL					241	38.56																	384	61.44					625	
																									Elected							
																																
Rutherglen                                                     																																
	FIRST			10	0.66		422	27.87		43	2.84		32	2.11		11	0.73		45	2.97		383	25.30		460	30.38		108	7.13		1514	
	SECOND			0	0.00		0	0.00		1	9.09		2	18.18			Excluded		0	0.00		3	27.27		2	18.18		3	27.27		11	
		TOTAL		10	0.66		422	27.87		44	2.91		34	2.25					45	2.97		386	25.50		462	30.52		111	7.33		1514	
	THIRD				Excluded		9	90.00		0	0.00		0	0.00					1	10.00		0	0.00		0	0.00		0	0.00		10	
		TOTAL					431	28.47		44	2.91		34	2.25					46	3.04		386	25.50		462	30.52		111	7.33		1514	
	FOURTH						11	32.35		3	8.82			Excluded					15	44.12		1	2.94		3	8.82		1	2.94		34	
		TOTAL					442	29.19		47	3.10								61	4.03		387	25.56		465	30.71		112	7.40		1514	
	FIFTH						5	10.64			Excluded								3	6.38		5	10.64		14	29.79		20	42.55		47	
		TOTAL					447	29.52											64	4.23		392	25.89		479	31.64		132	8.72		1514	
	SIXTH						38	59.38												Excluded		9	14.06		2	3.13		15	23.44		64	
		TOTAL					485	32.03														401	26.49		481	31.77		147	9.71		1514	
	SEVENTH						47	31.97														63	42.86		37	25.17			Excluded		147	
		TOTAL					532	35.14														464	30.65		518	34.21					1514	
	EIGHTH						73	15.73															Excluded		391	84.27					464	
		TOTAL					605	39.96																	909	60.04					1514	
																									Elected							
																																
Sandy Creek                                                    																																
	FIRST			3	1.91		37	23.57		2	1.27		2	1.27		2	1.27		5	3.18		17	10.83		59	37.58		30	19.11		157	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		2	100.00		0	0.00		2	
		TOTAL		3	1.91		37	23.57		2	1.27		2	1.27					5	3.18		17	10.83		61	38.85		30	19.11		157	
	THIRD				Excluded		2	66.67		1	33.33		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		3	
		TOTAL					39	24.84		3	1.91		2	1.27					5	3.18		17	10.83		61	38.85		30	19.11		157	
	FOURTH						1	50.00		0	0.00			Excluded					0	0.00		0	0.00		1	50.00		0	0.00		2	
		TOTAL					40	25.48		3	1.91								5	3.18		17	10.83		62	39.49		30	19.11		157	
	FIFTH						1	33.33			Excluded								0	0.00		0	0.00		1	33.33		1	33.33		3	
		TOTAL					41	26.11											5	3.18		17	10.83		63	40.13		31	19.75		157	
	SIXTH						4	80.00												Excluded		0	0.00		0	0.00		1	20.00		5	
		TOTAL					45	28.66														17	10.83		63	40.13		32	20.38		157	
	SEVENTH						11	34.38														16	50.00		5	15.63			Excluded		32	
		TOTAL					56	35.67														33	21.02		68	43.31					157	
	EIGHTH						1	3.03															Excluded		32	96.97					33	
		TOTAL					57	36.31																	100	63.69					157	
																									Elected							
																																
Springhurst                                                    																																
	FIRST			2	0.90		47	21.17		9	4.05		6	2.70		4	1.80		8	3.60		51	22.97		77	34.68		18	8.11		222	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		3	75.00		0	0.00		1	25.00		4	
		TOTAL		2	0.90		47	21.17		9	4.05		6	2.70					8	3.60		54	24.32		77	34.68		19	8.56		222	
	THIRD				Excluded		1	50.00		1	50.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL					48	21.62		10	4.50		6	2.70					8	3.60		54	24.32		77	34.68		19	8.56		222	
	FOURTH						1	16.67		1	16.67			Excluded					2	33.33		2	33.33		0	0.00		0	0.00		6	
		TOTAL					49	22.07		11	4.95								10	4.50		56	25.23		77	34.68		19	8.56		222	
	FIFTH						1	9.09			Excluded								2	18.18		3	27.27		4	36.36		1	9.09		11	
		TOTAL					50	22.52											12	5.41		59	26.58		81	36.49		20	9.01		222	
	SIXTH						6	50.00												Excluded		1	8.33		1	8.33		4	33.33		12	
		TOTAL					56	25.23														60	27.03		82	36.94		24	10.81		222	
	SEVENTH						7	29.17														12	50.00		5	20.83			Excluded		24	
		TOTAL					63	28.38														72	32.43		87	39.19					222	
	EIGHTH						9	12.50															Excluded		63	87.50					72	
		TOTAL					72	32.43																	150	67.57					222	
																									Elected							
																																
St James                                                       																																
	FIRST			0	0.00		29	14.57		8	4.02		3	1.51		2	1.01		5	2.51		63	31.66		80	40.20		9	4.52		199	
	SECOND			0	0.00		0	0.00		2	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		0	0.00		29	14.57		10	5.03		3	1.51					5	2.51		63	31.66		80	40.20		9	4.52		199	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					29	14.57		10	5.03		3	1.51					5	2.51		63	31.66		80	40.20		9	4.52		199	
	FOURTH						2	66.67		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		1	33.33		3	
		TOTAL					31	15.58		10	5.03								5	2.51		63	31.66		80	40.20		10	5.03		199	
	FIFTH						3	30.00			Excluded								1	10.00		1	10.00		1	10.00		4	40.00		10	
		TOTAL					34	17.09											6	3.02		64	32.16		81	40.70		14	7.04		199	
	SIXTH						0	0.00												Excluded		1	16.67		1	16.67		4	66.67		6	
		TOTAL					34	17.09														65	32.66		82	41.21		18	9.05		199	
	SEVENTH						4	22.22														10	55.56		4	22.22			Excluded		18	
		TOTAL					38	19.10														75	37.69		86	43.22					199	
	EIGHTH						2	2.67															Excluded		73	97.33					75	
		TOTAL					40	20.10																	159	79.90					199	
																									Elected							
																																
Stanley                                                        																																
	FIRST			1	0.48		64	30.48		5	2.38		6	2.86		1	0.48		29	13.81		25	11.90		62	29.52		17	8.10		210	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL		1	0.48		64	30.48		5	2.38		6	2.86					29	13.81		25	11.90		62	29.52		18	8.57		210	
	THIRD				Excluded		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL					65	30.95		5	2.38		6	2.86					29	13.81		25	11.90		62	29.52		18	8.57		210	
	FOURTH						0	0.00		2	33.33			Excluded					4	66.67		0	0.00		0	0.00		0	0.00		6	
		TOTAL					65	30.95		7	3.33								33	15.71		25	11.90		62	29.52		18	8.57		210	
	FIFTH						2	28.57			Excluded								0	0.00		2	28.57		1	14.29		2	28.57		7	
		TOTAL					67	31.90											33	15.71		27	12.86		63	30.00		20	9.52		210	
	SIXTH						26	78.79												Excluded		4	12.12		0	0.00		3	9.09		33	
		TOTAL					93	44.29														31	14.76		63	30.00		23	10.95		210	
	SEVENTH						8	34.78														12	52.17		3	13.04			Excluded		23	
		TOTAL					101	48.10														43	20.48		66	31.43					210	
	EIGHTH						9	20.93															Excluded		34	79.07					43	
		TOTAL					110	52.38																	100	47.62					210	
																									Elected							
																																
Strathbogie                                                    																																
	FIRST			2	0.89		54	24.11		13	5.80		5	2.23		2	0.89		17	7.59		36	16.07		80	35.71		15	6.70		224	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		2	100.00		0	0.00		2	
		TOTAL		2	0.89		54	24.11		13	5.80		5	2.23					17	7.59		36	16.07		82	36.61		15	6.70		224	
	THIRD				Excluded		0	0.00		1	50.00		0	0.00					0	0.00		1	50.00		0	0.00		0	0.00		2	
		TOTAL					54	24.11		14	6.25		5	2.23					17	7.59		37	16.52		82	36.61		15	6.70		224	
	FOURTH						2	40.00		1	20.00			Excluded					1	20.00		1	20.00		0	0.00		0	0.00		5	
		TOTAL					56	25.00		15	6.70								18	8.04		38	16.96		82	36.61		15	6.70		224	
	FIFTH						3	20.00			Excluded								2	13.33		2	13.33		4	26.67		4	26.67		15	
		TOTAL					59	26.34											20	8.93		40	17.86		86	38.39		19	8.48		224	
	SIXTH						11	55.00												Excluded		0	0.00		0	0.00		9	45.00		20	
		TOTAL					70	31.25														40	17.86		86	38.39		28	12.50		224	
	SEVENTH						9	32.14														13	46.43		6	21.43			Excluded		28	
		TOTAL					79	35.27														53	23.66		92	41.07					224	
	EIGHTH						2	3.77															Excluded		51	96.23					53	
		TOTAL					81	36.16																	143	63.84					224	
																									Elected							
																																
Swanpool                                                       																																
	FIRST			8	2.22		91	25.28		17	4.72		7	1.94		1	0.28		21	5.83		72	20.00		126	35.00		17	4.72		360	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		8	2.22		91	25.28		18	5.00		7	1.94					21	5.83		72	20.00		126	35.00		17	4.72		360	
	THIRD				Excluded		1	12.50		0	0.00		3	37.50					1	12.50		2	25.00		1	12.50		0	0.00		8	
		TOTAL					92	25.56		18	5.00		10	2.78					22	6.11		74	20.56		127	35.28		17	4.72		360	
	FOURTH						4	40.00		0	0.00			Excluded					5	50.00		1	10.00		0	0.00		0	0.00		10	
		TOTAL					96	26.67		18	5.00								27	7.50		75	20.83		127	35.28		17	4.72		360	
	FIFTH						3	16.67			Excluded								1	5.56		4	22.22		1	5.56		9	50.00		18	
		TOTAL					99	27.50											28	7.78		79	21.94		128	35.56		26	7.22		360	
	SIXTH						15	53.57												Excluded		3	10.71		3	10.71		7	25.00		28	
		TOTAL					114	31.67														82	22.78		131	36.39		33	9.17		360	
	SEVENTH						15	45.45														7	21.21		11	33.33			Excluded		33	
		TOTAL					129	35.83														89	24.72		142	39.44					360	
	EIGHTH						3	3.37															Excluded		86	96.63					89	
		TOTAL					132	36.67																	228	63.33					360	
																									Elected							
																																
Tallangatta                                                    																																
	FIRST			5	0.62		173	21.57		48	5.99		17	2.12		6	0.75		31	3.87		81	10.10		316	39.40		125	15.59		802	
	SECOND			0	0.00		0	0.00		1	16.67		0	0.00			Excluded		0	0.00		4	66.67		0	0.00		1	16.67		6	
		TOTAL		5	0.62		173	21.57		49	6.11		17	2.12					31	3.87		85	10.60		316	39.40		126	15.71		802	
	THIRD				Excluded		3	60.00		0	0.00		0	0.00					1	20.00		0	0.00		0	0.00		1	20.00		5	
		TOTAL					176	21.95		49	6.11		17	2.12					32	3.99		85	10.60		316	39.40		127	15.84		802	
	FOURTH						4	23.53		1	5.88			Excluded					7	41.18		0	0.00		2	11.76		3	17.65		17	
		TOTAL					180	22.44		50	6.23								39	4.86		85	10.60		318	39.65		130	16.21		802	
	FIFTH						6	12.00			Excluded								3	6.00		4	8.00		10	20.00		27	54.00		50	
		TOTAL					186	23.19											42	5.24		89	11.10		328	40.90		157	19.58		802	
	SIXTH						25	59.52												Excluded		4	9.52		2	4.76		11	26.19		42	
		TOTAL					211	26.31														93	11.60		330	41.15		168	20.95		802	
	SEVENTH						41	24.40														78	46.43		49	29.17			Excluded		168	
		TOTAL					252	31.42														171	21.32		379	47.26					802	
	EIGHTH						25	14.62															Excluded		146	85.38					171	
		TOTAL					277	34.54																	525	65.46					802	
																									Elected							
																																
Tallangatta Valley                                             																																
	FIRST			1	0.97		11	10.68		2	1.94		1	0.97		0	0.00		4	3.88		11	10.68		53	51.46		20	19.42		103	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	0.97		11	10.68		2	1.94		1	0.97					4	3.88		11	10.68		53	51.46		20	19.42		103	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL					11	10.68		2	1.94		1	0.97					4	3.88		11	10.68		53	51.46		21	20.39		103	
	FOURTH						0	0.00		0	0.00			Excluded					1	100.00		0	0.00		0	0.00		0	0.00		1	
