House of Representatives - 2001 Election: Victoria																										
Distribution of Preferences																										
By Polling Place																										
McMillan																										
				HOWELL			ROBERTS			FORBES			WALL			FARRAR			ZAHRA			HOLTMAN				
		TOTAL								543	54.03		32	3.18		66	6.57		364	36.22					1005	
	FIFTH									11	34.38			Excluded		9	28.13		12	37.50					32	
		TOTAL								554	55.12					75	7.46		376	37.41					1005	
	SIXTH									36	48.00						Excluded		39	52.00					75	
		TOTAL								590	58.71								415	41.29					1005	
																			Elected							
																										
Warragul North                                                 																										
	FIRST			13	0.74		33	1.89		981	56.22		99	5.67		65	3.72		520	29.80		34	1.95		1745	
	SECOND				Excluded		4	30.77		0	0.00		4	30.77		2	15.38		1	7.69		2	15.38		13	
		TOTAL					37	2.12		981	56.22		103	5.90		67	3.84		521	29.86		36	2.06		1745	
	THIRD							Excluded		35	94.59		1	2.70		0	0.00		1	2.70		0	0.00		37	
		TOTAL								1016	58.22		104	5.96		67	3.84		522	29.91		36	2.06		1745	
	FOURTH									9	25.00		6	16.67		12	33.33		9	25.00			Excluded		36	
		TOTAL								1025	58.74		110	6.30		79	4.53		531	30.43					1745	
	FIFTH									27	24.55			Excluded		63	57.27		20	18.18					110	
		TOTAL								1052	60.29					142	8.14		551	31.58					1745	
	SIXTH									43	30.28						Excluded		99	69.72					142	
		TOTAL								1095	62.75								650	37.25					1745	
																			Elected							
																										
Willowgrove                                                    																										
	FIRST			2	0.54		15	4.05		168	45.41		20	5.41		6	1.62		135	36.49		24	6.49		370	
	SECOND				Excluded		1	50.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL					16	4.32		168	45.41		21	5.68		6	1.62		135	36.49		24	6.49		370	
	THIRD							Excluded		13	81.25		0	0.00		0	0.00		2	12.50		1	6.25		16	
		TOTAL								181	48.92		21	5.68		6	1.62		137	37.03		25	6.76		370	
	FOURTH									10	40.00		0	0.00		13	52.00		2	8.00			Excluded		25	
		TOTAL								191	51.62		21	5.68		19	5.14		139	37.57					370	
	FIFTH									5	23.81			Excluded		7	33.33		9	42.86					21	
		TOTAL								196	52.97					26	7.03		148	40.00					370	
	SIXTH									16	61.54						Excluded		10	38.46					26	
		TOTAL								212	57.30								158	42.70					370	
																			Elected							
																										
Yallourn North                                                 																										
	FIRST			10	1.06		25	2.65		172	18.26		21	2.23		16	1.70		650	69.00		48	5.10		942	
	SECOND				Excluded		1	10.00		0	0.00		1	10.00		3	30.00		4	40.00		1	10.00		10	
		TOTAL					26	2.76		172	18.26		22	2.34		19	2.02		654	69.43		49	5.20		942	
	THIRD							Excluded		19	73.08		1	3.85		2	7.69		2	7.69		2	7.69		26	
		TOTAL								191	20.28		23	2.44		21	2.23		656	69.64		51	5.41		942	
	FOURTH									14	27.45		7	13.73		12	23.53		18	35.29			Excluded		51	
		TOTAL								205	21.76		30	3.18		33	3.50		674	71.55					942	
	FIFTH									11	36.67			Excluded		14	46.67		5	16.67					30	
		TOTAL								216	22.93					47	4.99		679	72.08					942	
	SIXTH									20	42.55						Excluded		27	57.45					47	
		TOTAL								236	25.05								706	74.95					942	
																			Elected							
																										
Yarragon                                                       																										
	FIRST			14	1.71		30	3.66		391	47.74		30	3.66		33	4.03		282	34.43		39	4.76		819	
	SECOND				Excluded		6	42.86		4	28.57		1	7.14		0	0.00		1	7.14		2	14.29		14	
		TOTAL					36	4.40		395	48.23		31	3.79		33	4.03		283	34.55		41	5.01		819	
	THIRD							Excluded		28	77.78		6	16.67		0	0.00		1	2.78		1	2.78		36	
		TOTAL								423	51.65		37	4.52		33	4.03		284	34.68		42	5.13		819	
	FOURTH									12	28.57		4	9.52		9	21.43		17	40.48			Excluded		42	
		TOTAL								435	53.11		41	5.01		42	5.13		301	36.75					819	
	FIFTH									9	21.95			Excluded		17	41.46		15	36.59					41	
		TOTAL								444	54.21					59	7.20		316	38.58					819	
	SIXTH									20	33.90						Excluded		39	66.10					59	
		TOTAL								464	56.65								355	43.35					819	
																			Elected							
																										
Yinnar                                                         																										
	FIRST			22	2.47		35	3.93		327	36.74		37	4.16		43	4.83		400	44.94		26	2.92		890	
	SECOND				Excluded		6	27.27		5	22.73		2	9.09		3	13.64		2	9.09		4	18.18		22	
		TOTAL					41	4.61		332	37.30		39	4.38		46	5.17		402	45.17		30	3.37		890	
	THIRD							Excluded		36	87.80		1	2.44		0	0.00		3	7.32		1	2.44		41	
		TOTAL								368	41.35		40	4.49		46	5.17		405	45.51		31	3.48		890	
	FOURTH									11	35.48		4	12.90		10	32.26		6	19.35			Excluded		31	
		TOTAL								379	42.58		44	4.94		56	6.29		411	46.18					890	
	FIFTH									8	18.18			Excluded		19	43.18		17	38.64					44	
		TOTAL								387	43.48					75	8.43		428	48.09					890	
	SIXTH									21	28.00						Excluded		54	72.00					75	
		TOTAL								408	45.84								482	54.16					890	
																			Elected							
																										
Special Hospital Team 1                                        																										
	FIRST			8	4.42		8	4.42		70	38.67		4	2.21		4	2.21		83	45.86		4	2.21		181	
	SECOND				Excluded		7	87.50		0	0.00		0	0.00		0	0.00		1	12.50		0	0.00		8	
		TOTAL					15	8.29		70	38.67		4	2.21		4	2.21		84	46.41		4	2.21		181	
	THIRD							Excluded		14	93.33		0	0.00		0	0.00		0	0.00		1	6.67		15	
		TOTAL								84	46.41		4	2.21		4	2.21		84	46.41		5	2.76		181	
	FOURTH									2	40.00		0	0.00		1	20.00		2	40.00			Excluded		5	
		TOTAL								86	47.51		4	2.21		5	2.76		86	47.51					181	
	FIFTH									1	25.00			Excluded		1	25.00		2	50.00					4	
		TOTAL								87	48.07					6	3.31		88	48.62					181	
	SIXTH									3	50.00						Excluded		3	50.00					6	
		TOTAL								90	49.72								91	50.28					181	
																			Elected							
																										
Special Hospital Team 2                                        																										
	FIRST			0	0.00		3	1.36		143	65.00		1	0.45		2	0.91		66	30.00		5	2.27		220	
	SECOND				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					3	1.36		143	65.00		1	0.45		2	0.91		66	30.00		5	2.27		220	
	THIRD							Excluded		1	33.33		1	33.33		0	0.00		1	33.33		0	0.00		3	
		TOTAL								144	65.45		2	0.91		2	0.91		67	30.45		5	2.27		220	
	FOURTH									2	40.00		1	20.00		1	20.00		1	20.00			Excluded		5	
		TOTAL								146	66.36		3	1.36		3	1.36		68	30.91					220	
	FIFTH									0	0.00			Excluded		3	100.00		0	0.00					3	
		TOTAL								146	66.36					6	2.73		68	30.91					220	
	SIXTH									2	33.33						Excluded		4	66.67					6	
		TOTAL								148	67.27								72	32.73					220	
																			Elected							
																										
Special Hospital Team 3                                        																										
	FIRST			5	3.55		2	1.42		43	30.50		1	0.71		2	1.42		87	61.70		1	0.71		141	
	SECOND				Excluded		3	60.00		1	20.00		0	0.00		0	0.00		1	20.00		0	0.00		5	
		TOTAL					5	3.55		44	31.21		1	0.71		2	1.42		88	62.41		1	0.71		141	
	THIRD							Excluded		5	100.00		0	0.00		0	0.00		0	0.00		0	0.00		5	
		TOTAL								49	34.75		1	0.71		2	1.42		88	62.41		1	0.71		141	
	FOURTH									1	100.00		0	0.00		0	0.00		0	0.00			Excluded		1	
		TOTAL								50	35.46		1	0.71		2	1.42		88	62.41					141	
	FIFTH									0	0.00			Excluded		0	0.00		1	100.00					1	
		TOTAL								50	35.46					2	1.42		89	63.12					141	
	SIXTH									1	50.00						Excluded		1	50.00					2	
		TOTAL								51	36.17								90	63.83					141	
																			Elected							
																										
Special Hospital Team 4                                        																										
	FIRST			2	2.47		0	0.00		33	40.74		1	1.23		0	0.00		44	54.32		1	1.23		81	
	SECOND				Excluded		2	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL					2	2.47		33	40.74		1	1.23		0	0.00		44	54.32		1	1.23		81	
	THIRD							Excluded		2	100.00		0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL								35	43.21		1	1.23		0	0.00		44	54.32		1	1.23		81	
	FOURTH									1	100.00		0	0.00		0	0.00		0	0.00			Excluded		1	
		TOTAL								36	44.44		1	1.23		0	0.00		44	54.32					81	
	FIFTH									0	0.00			Excluded		1	100.00		0	0.00					1	
		TOTAL								36	44.44					1	1.23		44	54.32					81	
	SIXTH									1	100.00						Excluded		0	0.00					1	
		TOTAL								37	45.68								44	54.32					81	
																			Elected							
																										
ABSENT																										
	FIRST			78	2.16		116	3.22		1287	35.71		310	8.60		264	7.33		1433	39.76		116	3.22		3604	
	SECOND				Excluded		42	53.85		12	15.38		11	14.10		6	7.69		5	6.41		2	2.56		78	
		TOTAL					158	4.38		1299	36.04		321	8.91		270	7.49		1438	39.90		118	3.27		3604	
	THIRD							Excluded		113	71.52		21	13.29		7	4.43		11	6.96		6	3.80		158	
		TOTAL								1412	39.18		342	9.49		277	7.69		1449	40.21		124	3.44		3604	
	FOURTH									44	35.48		14	11.29		24	19.35		42	33.87			Excluded		124	
		TOTAL								1456	40.40		356	9.88		301	8.35		1491	41.37					3604	
	FIFTH									108	30.34			Excluded		149	41.85		99	27.81					356	
		TOTAL								1564	43.40					450	12.49		1590	44.12					3604	
	SIXTH									150	33.33						Excluded		300	66.67					450	
		TOTAL								1714	47.56								1890	52.44					3604	
																			Elected							
																										
POSTAL																										
	FIRST			43	1.54		62	2.22		1190	42.67		93	3.33		50	1.79		1238	44.39		113	4.05		2789	
	SECOND				Excluded		15	34.88		6	13.95		5	11.63		3	6.98		7	16.28		7	16.28		43	
		TOTAL					77	2.76		1196	42.88		98	3.51		53	1.90		1245	44.64		120	4.30		2789	
	THIRD							Excluded		57	74.03		11	14.29		1	1.30		7	9.09		1	1.30		77	
		TOTAL								1253	44.93		109	3.91		54	1.94		1252	44.89		121	4.34		2789	
	FOURTH									43	35.54		16	13.22		26	21.49		36	29.75			Excluded		121	
		TOTAL								1296	46.47		125	4.48		80	2.87		1288	46.18					2789	
	FIFTH									39	31.20			Excluded		43	34.40		43	34.40					125	
		TOTAL								1335	47.87					123	4.41		1331	47.72					2789	
	SIXTH									51	41.46						Excluded		72	58.54					123	
		TOTAL								1386	49.70								1403	50.30					2789	
																			Elected							
																										
PRE POLL																										
	FIRST			93	1.57		166	2.81		2497	42.24		181	3.06		152	2.57		2588	43.78		235	3.97		5912	
	SECOND				Excluded		51	54.84		11	11.83		4	4.30		11	11.83		7	7.53		9	9.68		93	
		TOTAL					217	3.67		2508	42.42		185	3.13		163	2.76		2595	43.89		244	4.13		5912	
	THIRD							Excluded		175	80.65		12	5.53		5	2.30		11	5.07		14	6.45		217	
		TOTAL								2683	45.38		197	3.33		168	2.84		2606	44.08		258	4.36		5912	
	FOURTH									77	29.84		31	12.02		44	17.05		106	41.09			Excluded		258	
		TOTAL								2760	46.68		228	3.86		212	3.59		2712	45.87					5912	
	FIFTH									58	25.44			Excluded		91	39.91		79	34.65					228	
		TOTAL								2818	47.67					303	5.13		2791	47.21					5912	
	SIXTH									100	33.00						Excluded		203	67.00					303	
		TOTAL								2918	49.36								2994	50.64					5912	
																			Elected							
																										
PROVISIONAL																										
	FIRST			13	2.81		9	1.94		133	28.73		23	4.97		20	4.32		249	53.78		16	3.46		463	
	SECOND				Excluded		8	61.54		0	0.00		1	7.69		2	15.38		2	15.38		0	0.00		13	
		TOTAL					17	3.67		133	28.73		24	5.18		22	4.75		251	54.21		16	3.46		463	
	THIRD							Excluded		13	76.47		1	5.88		1	5.88		2	11.76		0	0.00		17	
		TOTAL								146	31.53		25	5.40		23	4.97		253	54.64		16	3.46		463	
	FOURTH									4	25.00		2	12.50		6	37.50		4	25.00			Excluded		16	
		TOTAL								150	32.40		27	5.83		29	6.26		257	55.51					463	
	FIFTH									8	29.63			Excluded		9	33.33		10	37.04					27	
		TOTAL								158	34.13					38	8.21		267	57.67					463	
	SIXTH									13	34.21						Excluded		25	65.79					38	
		TOTAL								171	36.93								292	63.07					463	
																			Elected							
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
