House of Representatives - 2001 Election: Victoria																									
Distribution of Preferences 																									
By Polling Place																									
Flinders																									
				WILSON			DOWEY			BLADE			HUNT			FINCH			ARMSTRONG			DE RANGO			
		TOTAL		18	3.02		14	2.35					278	46.57		188	31.49		40	6.70		59	9.88		597
	THIRD				Excluded		6	33.33					5	27.78		2	11.11		1	5.56		4	22.22		18
		TOTAL					20	3.35					283	47.40		190	31.83		41	6.87		63	10.55		597
	FOURTH							Excluded					11	55.00		3	15.00		0	0.00		6	30.00		20
		TOTAL											294	49.25		193	32.33		41	6.87		69	11.56		597
	FIFTH												6	14.63		9	21.95			Excluded		26	63.41		41
		TOTAL											300	50.25		202	33.84					95	15.91		597
	SIXTH												27	28.42		68	71.58						Excluded		95
		TOTAL											327	54.77		270	45.23								597
													Elected												
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
