House of Representatives - 2001 Election: Victoria																							
Distribution of Preferences																							
By Polling Place																							
Mallee																							
				KELLY			ZIGOURAS			RIVENDELL			MACKLEY			FORREST			DOUGLASS				
	FOURTH				Excluded		0	0.00					0	0.00		0	0.00					0	
		TOTAL					23	10.31					28	12.56		172	77.13					223	
	FIFTH						13	46.43						Excluded		15	53.57					28	
		TOTAL					36	16.14								187	83.86					223	
																Elected							
																							
Walpeup                                                        																							
	FIRST			4	2.55		18	11.46		5	3.18		14	8.92		106	67.52		10	6.37		157	
	SECOND			2	40.00		1	20.00			Excluded		0	0.00		1	20.00		1	20.00		5	
		TOTAL		6	3.82		19	12.10					14	8.92		107	68.15		11	7.01		157	
	THIRD			0	0.00		2	18.18					7	63.64		2	18.18			Excluded		11	
		TOTAL		6	3.82		21	13.38					21	13.38		109	69.43					157	
	FOURTH				Excluded		3	50.00					1	16.67		2	33.33					6	
		TOTAL					24	15.29					22	14.01		111	70.70					157	
	FIFTH						10	45.45						Excluded		12	54.55					22	
		TOTAL					34	21.66								123	78.34					157	
																Elected							
																							
Warracknabeal                                                  																							
	FIRST			44	2.49		318	18.03		31	1.76		119	6.75		1188	67.35		64	3.63		1764	
	SECOND			11	35.48		12	38.71			Excluded		0	0.00		3	9.68		5	16.13		31	
		TOTAL		55	3.12		330	18.71					119	6.75		1191	67.52		69	3.91		1764	
	THIRD			5	7.25		11	15.94					23	33.33		30	43.48			Excluded		69	
		TOTAL		60	3.40		341	19.33					142	8.05		1221	69.22					1764	
	FOURTH				Excluded		34	56.67					9	15.00		17	28.33					60	
		TOTAL					375	21.26					151	8.56		1238	70.18					1764	
	FIFTH						71	47.02						Excluded		80	52.98					151	
		TOTAL					446	25.28								1318	74.72					1764	
																Elected							
																							
Watchem                                                        																							
	FIRST			4	3.10		13	10.08		0	0.00		7	5.43		100	77.52		5	3.88		129	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		4	3.10		13	10.08					7	5.43		100	77.52		5	3.88		129	
	THIRD			1	20.00		2	40.00					1	20.00		1	20.00			Excluded		5	
		TOTAL		5	3.88		15	11.63					8	6.20		101	78.29					129	
	FOURTH				Excluded		4	80.00					0	0.00		1	20.00					5	
		TOTAL					19	14.73					8	6.20		102	79.07					129	
	FIFTH						4	50.00						Excluded		4	50.00					8	
		TOTAL					23	17.83								106	82.17					129	
																Elected							
																							
Wemen                                                          																							
	FIRST			2	1.79		9	8.04		0	0.00		8	7.14		81	72.32		12	10.71		112	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	1.79		9	8.04					8	7.14		81	72.32		12	10.71		112	
	THIRD			0	0.00		1	8.33					6	50.00		5	41.67			Excluded		12	
		TOTAL		2	1.79		10	8.93					14	12.50		86	76.79					112	
	FOURTH				Excluded		1	50.00					1	50.00		0	0.00					2	
		TOTAL					11	9.82					15	13.39		86	76.79					112	
	FIFTH						8	53.33						Excluded		7	46.67					15	
		TOTAL					19	16.96								93	83.04					112	
																Elected							
																							
Werrimull                                                      																							
	FIRST			1	0.88		22	19.30		1	0.88		13	11.40		68	59.65		9	7.89		114	
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		2	1.75		22	19.30					13	11.40		68	59.65		9	7.89		114	
	THIRD			1	11.11		2	22.22					3	33.33		3	33.33			Excluded		9	
		TOTAL		3	2.63		24	21.05					16	14.04		71	62.28					114	
	FOURTH				Excluded		2	66.67					1	33.33		0	0.00					3	
		TOTAL					26	22.81					17	14.91		71	62.28					114	
	FIFTH						15	88.24						Excluded		2	11.76					17	
		TOTAL					41	35.96								73	64.04					114	
																Elected							
																							
Wimmera Base Hospital                                          																							
	FIRST			31	5.30		115	19.66		13	2.22		34	5.81		371	63.42		21	3.59		585	
	SECOND			5	38.46		2	15.38			Excluded		0	0.00		4	30.77		2	15.38		13	
		TOTAL		36	6.15		117	20.00					34	5.81		375	64.10		23	3.93		585	
	THIRD			4	17.39		2	8.70					6	26.09		11	47.83			Excluded		23	
		TOTAL		40	6.84		119	20.34					40	6.84		386	65.98					585	
	FOURTH				Excluded		29	72.50					2	5.00		9	22.50					40	
		TOTAL					148	25.30					42	7.18		395	67.52					585	
	FIFTH						23	54.76						Excluded		19	45.24					42	
		TOTAL					171	29.23								414	70.77					585	
																Elected							
																							
Wonwondah North                                                																							
	FIRST			2	2.04		16	16.33		2	2.04		26	26.53		52	53.06		0	0.00		98	
	SECOND			0	0.00		0	0.00			Excluded		2	100.00		0	0.00		0	0.00		2	
		TOTAL		2	2.04		16	16.33					28	28.57		52	53.06		0	0.00		98	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		2	2.04		16	16.33					28	28.57		52	53.06					98	
	FOURTH				Excluded		2	100.00					0	0.00		0	0.00					2	
		TOTAL					18	18.37					28	28.57		52	53.06					98	
	FIFTH						11	39.29						Excluded		17	60.71					28	
		TOTAL					29	29.59								69	70.41					98	
																Elected							
																							
Woomelang                                                      																							
	FIRST			0	0.00		24	8.99		2	0.75		21	7.87		214	80.15		6	2.25		267	
	SECOND			0	0.00		1	50.00			Excluded		1	50.00		0	0.00		0	0.00		2	
		TOTAL		0	0.00		25	9.36					22	8.24		214	80.15		6	2.25		267	
	THIRD			2	33.33		0	0.00					0	0.00		4	66.67			Excluded		6	
		TOTAL		2	0.75		25	9.36					22	8.24		218	81.65					267	
	FOURTH				Excluded		1	50.00					0	0.00		1	50.00					2	
		TOTAL					26	9.74					22	8.24		219	82.02					267	
	FIFTH						12	54.55						Excluded		10	45.45					22	
		TOTAL					38	14.23								229	85.77					267	
																Elected							
																							
Woorinen                                                       																							
	FIRST			8	2.02		64	16.16		8	2.02		35	8.84		267	67.42		14	3.54		396	
	SECOND			3	37.50		1	12.50			Excluded		1	12.50		2	25.00		1	12.50		8	
		TOTAL		11	2.78		65	16.41					36	9.09		269	67.93		15	3.79		396	
	THIRD			4	26.67		3	20.00					3	20.00		5	33.33			Excluded		15	
		TOTAL		15	3.79		68	17.17					39	9.85		274	69.19					396	
	FOURTH				Excluded		7	46.67					3	20.00		5	33.33					15	
		TOTAL					75	18.94					42	10.61		279	70.45					396	
	FIFTH						17	40.48						Excluded		25	59.52					42	
		TOTAL					92	23.23								304	76.77					396	
																Elected							
																							
Wycheproof                                                     																							
	FIRST			10	1.71		120	20.51		13	2.22		26	4.44		402	68.72		14	2.39		585	
	SECOND			2	15.38		4	30.77			Excluded		2	15.38		3	23.08		2	15.38		13	
		TOTAL		12	2.05		124	21.20					28	4.79		405	69.23		16	2.74		585	
	THIRD			2	12.50		1	6.25					4	25.00		9	56.25			Excluded		16	
		TOTAL		14	2.39		125	21.37					32	5.47		414	70.77					585	
	FOURTH				Excluded		8	57.14					0	0.00		6	42.86					14	
		TOTAL					133	22.74					32	5.47		420	71.79					585	
	FIFTH						11	34.38						Excluded		21	65.63					32	
		TOTAL					144	24.62								441	75.38					585	
																Elected							
																							
Yaapeet                                                        																							
	FIRST			5	6.58		5	6.58		1	1.32		3	3.95		57	75.00		5	6.58		76	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1	
		TOTAL		5	6.58		5	6.58					3	3.95		58	76.32		5	6.58		76	
	THIRD			2	40.00		0	0.00					1	20.00		2	40.00			Excluded		5	
		TOTAL		7	9.21		5	6.58					4	5.26		60	78.95					76	
	FOURTH				Excluded		1	14.29					1	14.29		5	71.43					7	
		TOTAL					6	7.89					5	6.58		65	85.53					76	
	FIFTH						2	40.00						Excluded		3	60.00					5	
		TOTAL					8	10.53								68	89.47					76	
																Elected							
																							
Yanac                                                          																							
	FIRST			1	0.92		4	3.67		3	2.75		21	19.27		78	71.56		2	1.83		109	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	33.33		2	66.67		3	
		TOTAL		1	0.92		4	3.67					21	19.27		79	72.48		4	3.67		109	
	THIRD			2	50.00		0	0.00					0	0.00		2	50.00			Excluded		4	
		TOTAL		3	2.75		4	3.67					21	19.27		81	74.31					109	
	FOURTH				Excluded		2	66.67					0	0.00		1	33.33					3	
		TOTAL					6	5.50					21	19.27		82	75.23					109	
	FIFTH						8	38.10						Excluded		13	61.90					21	
		TOTAL					14	12.84								95	87.16					109	
																Elected							
																							
Special Hospital Team 1                                        																							
	FIRST			1	0.69		47	32.41		1	0.69		3	2.07		83	57.24		10	6.90		145	
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		2	1.38		47	32.41					3	2.07		83	57.24		10	6.90		145	
	THIRD			0	0.00		1	10.00					6	60.00		3	30.00			Excluded		10	
		TOTAL		2	1.38		48	33.10					9	6.21		86	59.31					145	
	FOURTH				Excluded		1	50.00					0	0.00		1	50.00					2	
		TOTAL					49	33.79					9	6.21		87	60.00					145	
	FIFTH						2	22.22						Excluded		7	77.78					9	
		TOTAL					51	35.17								94	64.83					145	
																Elected							
																							
Special Hospital Team 2                                        																							
	FIRST			7	4.14		35	20.71		1	0.59		5	2.96		121	71.60		0	0.00		169	
	SECOND			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		7	4.14		36	21.30					5	2.96		121	71.60		0	0.00		169	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		7	4.14		36	21.30					5	2.96		121	71.60					169	
	FOURTH				Excluded		6	85.71					0	0.00		1	14.29					7	
		TOTAL					42	24.85					5	2.96		122	72.19					169	
	FIFTH						1	20.00						Excluded		4	80.00					5	
		TOTAL					43	25.44								126	74.56					169	
																Elected							
																							
Special Hospital Team 3                                        																							
	FIRST			15	9.87		41	26.97		1	0.66		8	5.26		80	52.63		7	4.61		152	
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		16	10.53		41	26.97					8	5.26		80	52.63		7	4.61		152	
	THIRD			1	14.29		3	42.86					1	14.29		2	28.57			Excluded		7	
		TOTAL		17	11.18		44	28.95					9	5.92		82	53.95					152	
	FOURTH				Excluded		10	58.82					4	23.53		3	17.65					17	
		TOTAL					54	35.53					13	8.55		85	55.92					152	
	FIFTH						4	30.77						Excluded		9	69.23					13	
		TOTAL					58	38.16								94	61.84					152	
																Elected							
																							
Special Hospital Team 4                                        																							
	FIRST			15	9.74		25	16.23		0	0.00		9	5.84		99	64.29		6	3.90		154	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		15	9.74		25	16.23					9	5.84		99	64.29		6	3.90		154	
	THIRD			0	0.00		0	0.00					4	66.67		2	33.33			Excluded		6	
		TOTAL		15	9.74		25	16.23					13	8.44		101	65.58					154	
	FOURTH				Excluded		8	53.33					3	20.00		4	26.67					15	
		TOTAL					33	21.43					16	10.39		105	68.18					154	
	FIFTH						9	56.25						Excluded		7	43.75					16	
		TOTAL					42	27.27								112	72.73					154	
																Elected							
																							
ABSENT																							
	FIRST			308	8.98		702	20.46		169	4.93		192	5.60		1910	55.67		150	4.37		3431	
	SECOND			83	49.11		35	20.71			Excluded		9	5.33		17	10.06		25	14.79		169	
		TOTAL		391	11.40		737	21.48					201	5.86		1927	56.16		175	5.10		3431	
	THIRD			37	21.14		31	17.71					31	17.71		76	43.43			Excluded		175	
		TOTAL		428	12.47		768	22.38					232	6.76		2003	58.38					3431	
	FOURTH				Excluded		237	55.37					32	7.48		159	37.15					428	
		TOTAL					1005	29.29					264	7.69		2162	63.01					3431	
	FIFTH						102	38.64						Excluded		162	61.36					264	
		TOTAL					1107	32.26								2324	67.74					3431	
																Elected							
																							
POSTAL																							
	FIRST			90	3.49		462	17.93		43	1.67		175	6.79		1706	66.23		100	3.88		2576	
	SECOND			22	51.16		10	23.26			Excluded		1	2.33		6	13.95		4	9.30		43	
		TOTAL		112	4.35		472	18.32					176	6.83		1712	66.46		104	4.04		2576	
	THIRD			13	12.50		14	13.46					26	25.00		51	49.04			Excluded		104	
		TOTAL		125	4.85		486	18.87					202	7.84		1763	68.44					2576	
	FOURTH				Excluded		68	54.40					6	4.80		51	40.80					125	
		TOTAL					554	21.51					208	8.07		1814	70.42					2576	
	FIFTH						71	34.13						Excluded		137	65.87					208	
		TOTAL					625	24.26								1951	75.74					2576	
																Elected							
																							
PRE POLL																							
	FIRST			272	5.57		948	19.43		142	2.91		406	8.32		2874	58.91		237	4.86		4879	
	SECOND			50	35.21		36	25.35			Excluded		6	4.23		27	19.01		23	16.20		142	
		TOTAL		322	6.60		984	20.17					412	8.44		2901	59.46		260	5.33		4879	
	THIRD			52	20.00		46	17.69					68	26.15		94	36.15			Excluded		260	
		TOTAL		374	7.67		1030	21.11					480	9.84		2995	61.39					4879	
	FOURTH				Excluded		174	46.52					40	10.70		160	42.78					374	
		TOTAL					1204	24.68					520	10.66		3155	64.66					4879	
	FIFTH						227	43.65						Excluded		293	56.35					520	
		TOTAL					1431	29.33								3448	70.67					4879	
																Elected							
																							
PROVISIONAL																							
	FIRST			26	7.10		118	32.24		16	4.37		33	9.02		150	40.98		23	6.28		366	
	SECOND			8	50.00		5	31.25			Excluded		0	0.00		2	12.50		1	6.25		16	
		TOTAL		34	9.29		123	33.61					33	9.02		152	41.53		24	6.56		366	
	THIRD			2	8.33		5	20.83					6	25.00		11	45.83			Excluded		24	
		TOTAL		36	9.84		128	34.97					39	10.66		163	44.54					366	
	FOURTH				Excluded		11	30.56					5	13.89		20	55.56					36	
		TOTAL					139	37.98					44	12.02		183	50.00					366	
	FIFTH						22	50.00						Excluded		22	50.00					44	
		TOTAL					161	43.99								205	56.01					366	
																Elected							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
