House of Representatives - 2001 Election: Victoria																															
Distribution of Preferences																															
By Polling Place																															
Bendigo																															
				GIBBONS			BARROW			ZEGERS			PASQUARELLI			LILLEY			SHARKEY			SMITH			RIVENDELL			ARNOLD			
	FIRST			281	37.37		8	1.06		54	7.18		10	1.33		16	2.13		306	40.69		12	1.60		51	6.78		14	1.86		752
	SECOND			0	0.00			Excluded		2	25.00		0	0.00		0	0.00		4	50.00		2	25.00		0	0.00		0	0.00		8
		TOTAL		281	37.37					56	7.45		10	1.33		16	2.13		310	41.22		14	1.86		51	6.78		14	1.86		752
	THIRD			2	20.00					5	50.00			Excluded		0	0.00		2	20.00		1	10.00		0	0.00		0	0.00		10
		TOTAL		283	37.63					61	8.11					16	2.13		312	41.49		15	1.99		51	6.78		14	1.86		752
	FOURTH			1	7.14					2	14.29					0	0.00		10	71.43		1	7.14		0	0.00			Excluded		14
		TOTAL		284	37.77					63	8.38					16	2.13		322	42.82		16	2.13		51	6.78					752
	FIFTH			11	17.46						Excluded					7	11.11		8	12.70		35	55.56		2	3.17					63
		TOTAL		295	39.23											23	3.06		330	43.88		51	6.78		53	7.05					752
	SIXTH			14	27.45											2	3.92		21	41.18			Excluded		14	27.45					51
		TOTAL		309	41.09											25	3.32		351	46.68					67	8.91					752
	SEVENTH			7	28.00												Excluded		3	12.00					15	60.00					25
		TOTAL		316	42.02														354	47.07					82	10.90					752
	EIGHTH			67	81.71														15	18.29						Excluded					82
		TOTAL		383	50.93														369	49.07											752
				Elected																											
																															
Long Gully                                                     																															
	FIRST			516	57.53		7	0.78		12	1.34		10	1.11		17	1.90		260	28.99		22	2.45		23	2.56		30	3.34		897
	SECOND			3	42.86			Excluded		2	28.57		1	14.29		0	0.00		0	0.00		0	0.00		1	14.29		0	0.00		7
		TOTAL		519	57.86					14	1.56		11	1.23		17	1.90		260	28.99		22	2.45		24	2.68		30	3.34		897
	THIRD			2	18.18					5	45.45			Excluded		1	9.09		1	9.09		2	18.18		0	0.00		0	0.00		11
		TOTAL		521	58.08					19	2.12					18	2.01		261	29.10		24	2.68		24	2.68		30	3.34		897
	FOURTH			2	6.67					1	3.33					0	0.00		23	76.67		2	6.67		2	6.67			Excluded		30
		TOTAL		523	58.31					20	2.23					18	2.01		284	31.66		26	2.90		26	2.90					897
	FIFTH			5	25.00						Excluded					5	25.00		2	10.00		6	30.00		2	10.00					20
		TOTAL		528	58.86											23	2.56		286	31.88		32	3.57		28	3.12					897
	SIXTH			8	25.00											4	12.50		13	40.63			Excluded		7	21.88					32
		TOTAL		536	59.75											27	3.01		299	33.33					35	3.90					897
	SEVENTH			13	48.15												Excluded		3	11.11					11	40.74					27
		TOTAL		549	61.20														302	33.67					46	5.13					897
	EIGHTH			33	71.74														13	28.26						Excluded					46
		TOTAL		582	64.88														315	35.12											897
				Elected																											
																															
Maiden Gully                                                   																															
	FIRST			535	39.99		18	1.35		46	3.44		18	1.35		46	3.44		535	39.99		35	2.62		51	3.81		54	4.04		1338
	SECOND			3	16.67			Excluded		1	5.56		0	0.00		0	0.00		9	50.00		0	0.00		3	16.67		2	11.11		18
		TOTAL		538	40.21					47	3.51		18	1.35		46	3.44		544	40.66		35	2.62		54	4.04		56	4.19		1338
	THIRD			1	5.56					8	44.44			Excluded		0	0.00		4	22.22		4	22.22		1	5.56		0	0.00		18
		TOTAL		539	40.28					55	4.11					46	3.44		548	40.96		39	2.91		55	4.11		56	4.19		1338
	FOURTH			2	3.57					8	14.29					1	1.79		42	75.00		0	0.00		3	5.36			Excluded		56
		TOTAL		541	40.43					63	4.71					47	3.51		590	44.10		39	2.91		58	4.33					1338
	FIFTH			1	1.59						Excluded					10	15.87		8	12.70		40	63.49		4	6.35					63
		TOTAL		542	40.51											57	4.26		598	44.69		79	5.90		62	4.63					1338
	SIXTH			23	29.11											12	15.19		34	43.04			Excluded		10	12.66					79
		TOTAL		565	42.23											69	5.16		632	47.23					72	5.38					1338
	SEVENTH			25	36.23												Excluded		22	31.88					22	31.88					69
		TOTAL		590	44.10														654	48.88					94	7.03					1338
	EIGHTH			72	76.60														22	23.40						Excluded					94
		TOTAL		662	49.48														676	50.52											1338
				Elected																											
																															
Maldon                                                         																															
	FIRST			558	42.66		12	0.92		20	1.53		38	2.91		32	2.45		429	32.80		46	3.52		132	10.09		41	3.13		1308
	SECOND			2	16.67			Excluded		1	8.33		0	0.00		0	0.00		6	50.00		0	0.00		2	16.67		1	8.33		12
		TOTAL		560	42.81					21	1.61		38	2.91		32	2.45		435	33.26		46	3.52		134	10.24		42	3.21		1308
	THIRD			7	18.42					15	39.47			Excluded		2	5.26		9	23.68		2	5.26		3	7.89		0	0.00		38
		TOTAL		567	43.35					36	2.75					34	2.60		444	33.94		48	3.67		137	10.47		42	3.21		1308
	FOURTH			1	2.38					0	0.00					2	4.76		31	73.81		3	7.14		5	11.90			Excluded		42
		TOTAL		568	43.43					36	2.75					36	2.75		475	36.31		51	3.90		142	10.86					1308
	FIFTH			5	13.89						Excluded					3	8.33		16	44.44		9	25.00		3	8.33					36
		TOTAL		573	43.81											39	2.98		491	37.54		60	4.59		145	11.09					1308
	SIXTH			9	15.00											3	5.00		40	66.67			Excluded		8	13.33					60
		TOTAL		582	44.50											42	3.21		531	40.60					153	11.70					1308
	SEVENTH			13	30.95												Excluded		8	19.05					21	50.00					42
		TOTAL		595	45.49														539	41.21					174	13.30					1308
	EIGHTH			145	83.33														29	16.67						Excluded					174
		TOTAL		740	56.57														568	43.43											1308
				Elected																											
																															
Mandurang                                                      																															
	FIRST			149	37.16		3	0.75		11	2.74		5	1.25		8	2.00		177	44.14		6	1.50		35	8.73		7	1.75		401
	SECOND			1	33.33			Excluded		1	33.33		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		150	37.41					12	2.99		5	1.25		9	2.24		177	44.14		6	1.50		35	8.73		7	1.75		401
	THIRD			0	0.00					3	60.00			Excluded		0	0.00		1	20.00		1	20.00		0	0.00		0	0.00		5
		TOTAL		150	37.41					15	3.74					9	2.24		178	44.39		7	1.75		35	8.73		7	1.75		401
	FOURTH			1	14.29					1	14.29					0	0.00		4	57.14		1	14.29		0	0.00			Excluded		7
		TOTAL		151	37.66					16	3.99					9	2.24		182	45.39		8	2.00		35	8.73					401
	FIFTH			3	18.75						Excluded					1	6.25		5	31.25		3	18.75		4	25.00					16
		TOTAL		154	38.40											10	2.49		187	46.63		11	2.74		39	9.73					401
	SIXTH			2	18.18											1	9.09		6	54.55			Excluded		2	18.18					11
		TOTAL		156	38.90											11	2.74		193	48.13					41	10.22					401
	SEVENTH			4	36.36												Excluded		0	0.00					7	63.64					11
		TOTAL		160	39.90														193	48.13					48	11.97					401
	EIGHTH			40	83.33														8	16.67						Excluded					48
		TOTAL		200	49.88														201	50.12											401
				Elected																											
																															
Marong                                                         																															
	FIRST			204	39.38		2	0.39		44	8.49		10	1.93		9	1.74		202	39.00		16	3.09		22	4.25		9	1.74		518
	SECOND			0	0.00			Excluded		0	0.00		1	50.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		204	39.38					44	8.49		11	2.12		9	1.74		203	39.19		16	3.09		22	4.25		9	1.74		518
	THIRD			1	9.09					6	54.55			Excluded		0	0.00		1	9.09		1	9.09		0	0.00		2	18.18		11
		TOTAL		205	39.58					50	9.65					9	1.74		204	39.38		17	3.28		22	4.25		11	2.12		518
	FOURTH			1	9.09					0	0.00					1	9.09		5	45.45		2	18.18		2	18.18			Excluded		11
		TOTAL		206	39.77					50	9.65					10	1.93		209	40.35		19	3.67		24	4.63					518
	FIFTH			4	8.00						Excluded					4	8.00		7	14.00		32	64.00		3	6.00					50
		TOTAL		210	40.54											14	2.70		216	41.70		51	9.85		27	5.21					518
	SIXTH			21	41.18											5	9.80		21	41.18			Excluded		4	7.84					51
		TOTAL		231	44.59											19	3.67		237	45.75					31	5.98					518
	SEVENTH			11	57.89												Excluded		1	5.26					7	36.84					19
		TOTAL		242	46.72														238	45.95					38	7.34					518
	EIGHTH			26	68.42														12	31.58						Excluded					38
		TOTAL		268	51.74														250	48.26											518
				Elected																											
																															
Maryborough                                                    																															
	FIRST			1613	49.85		25	0.77		58	1.79		52	1.61		98	3.03		1171	36.19		121	3.74		52	1.61		46	1.42		3236
	SECOND			9	36.00			Excluded		5	20.00		3	12.00		1	4.00		4	16.00		3	12.00		0	0.00		0	0.00		25
		TOTAL		1622	50.12					63	1.95		55	1.70		99	3.06		1175	36.31		124	3.83		52	1.61		46	1.42		3236
	THIRD			10	18.18					30	54.55			Excluded		2	3.64		4	7.27		4	7.27		1	1.82		4	7.27		55
		TOTAL		1632	50.43					93	2.87					101	3.12		1179	36.43		128	3.96		53	1.64		50	1.55		3236
	FOURTH			5	10.00					3	6.00					1	2.00		36	72.00		2	4.00		3	6.00			Excluded		50
		TOTAL		1637	50.59					96	2.97					102	3.15		1215	37.55		130	4.02		56	1.73					3236
	FIFTH			17	17.71						Excluded					10	10.42		25	26.04		42	43.75		2	2.08					96
		TOTAL		1654	51.11											112	3.46		1240	38.32		172	5.32		58	1.79					3236
	SIXTH			66	38.37											12	6.98		70	40.70			Excluded		24	13.95					172
		TOTAL		1720	53.15											124	3.83		1310	40.48					82	2.53					3236
	SEVENTH			40	32.26												Excluded		15	12.10					69	55.65					124
		TOTAL		1760	54.39														1325	40.95					151	4.67					3236
	EIGHTH			112	74.17														39	25.83						Excluded					151
		TOTAL		1872	57.85														1364	42.15											3236
				Elected																											
																															
Maryborough East                                               																															
	FIRST			1003	55.51		16	0.89		12	0.66		29	1.60		47	2.60		597	33.04		39	2.16		34	1.88		30	1.66		1807
	SECOND			5	31.25			Excluded		1	6.25		0	0.00		1	6.25		4	25.00		2	12.50		3	18.75		0	0.00		16
		TOTAL		1008	55.78					13	0.72		29	1.60		48	2.66		601	33.26		41	2.27		37	2.05		30	1.66		1807
	THIRD			2	6.90					17	58.62			Excluded		3	10.34		3	10.34		3	10.34		0	0.00		1	3.45		29
		TOTAL		1010	55.89					30	1.66					51	2.82		604	33.43		44	2.43		37	2.05		31	1.72		1807
	FOURTH			4	12.90					2	6.45					0	0.00		22	70.97		2	6.45		1	3.23			Excluded		31
		TOTAL		1014	56.12					32	1.77					51	2.82		626	34.64		46	2.55		38	2.10					1807
	FIFTH			6	18.75						Excluded					3	9.38		14	43.75		4	12.50		5	15.63					32
		TOTAL		1020	56.45											54	2.99		640	35.42		50	2.77		43	2.38					1807
	SIXTH			18	36.00											8	16.00		15	30.00			Excluded		9	18.00					50
		TOTAL		1038	57.44											62	3.43		655	36.25					52	2.88					1807
	SEVENTH			14	22.58												Excluded		10	16.13					38	61.29					62
		TOTAL		1052	58.22														665	36.80					90	4.98					1807
	EIGHTH			70	77.78														20	22.22						Excluded					90
		TOTAL		1122	62.09														685	37.91											1807
				Elected																											
																															
Melbourne (Bendigo)                                            																															
	FIRST			23	31.08		0	0.00		1	1.35		1	1.35		5	6.76		31	41.89		0	0.00		13	17.57		0	0.00		74
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		23	31.08					1	1.35		1	1.35		5	6.76		31	41.89		0	0.00		13	17.57		0	0.00		74
	THIRD			0	0.00					1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		23	31.08					2	2.70					5	6.76		31	41.89		0	0.00		13	17.57		0	0.00		74
	FOURTH			0	0.00					0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		23	31.08					2	2.70					5	6.76		31	41.89		0	0.00		13	17.57					74
	FIFTH			2	100.00						Excluded					0	0.00		0	0.00		0	0.00		0	0.00					2
		TOTAL		25	33.78											5	6.76		31	41.89		0	0.00		13	17.57					74
	SIXTH			0	0.00											0	0.00		0	0.00			Excluded		0	0.00					0
		TOTAL		25	33.78											5	6.76		31	41.89					13	17.57					74
	SEVENTH			0	0.00												Excluded		0	0.00					5	100.00					5
		TOTAL		25	33.78														31	41.89					18	24.32					74
	EIGHTH			14	77.78														4	22.22						Excluded					18
		TOTAL		39	52.70														35	47.30											74
				Elected																											
																															
Newbridge                                                      																															
	FIRST			68	33.01		4	1.94		8	3.88		7	3.40		3	1.46		95	46.12		10	4.85		5	2.43		6	2.91		206
	SECOND			0	0.00			Excluded		0	0.00		1	25.00		0	0.00		1	25.00		2	50.00		0	0.00		0	0.00		4
		TOTAL		68	33.01					8	3.88		8	3.88		3	1.46		96	46.60		12	5.83		5	2.43		6	2.91		206
	THIRD			0	0.00					4	50.00			Excluded		1	12.50		3	37.50		0	0.00		0	0.00		0	0.00		8
		TOTAL		68	33.01					12	5.83					4	1.94		99	48.06		12	5.83		5	2.43		6	2.91		206
	FOURTH			0	0.00					1	16.67					1	16.67		2	33.33		0	0.00		2	33.33			Excluded		6
		TOTAL		68	33.01					13	6.31					5	2.43		101	49.03		12	5.83		7	3.40					206
	FIFTH			4	30.77						Excluded					0	0.00		1	7.69		6	46.15		2	15.38					13
		TOTAL		72	34.95											5	2.43		102	49.51		18	8.74		9	4.37					206
	SIXTH			4	22.22											3	16.67		8	44.44			Excluded		3	16.67					18
		TOTAL		76	36.89											8	3.88		110	53.40					12	5.83					206
	SEVENTH			3	37.50												Excluded		3	37.50					2	25.00					8
		TOTAL		79	38.35														113	54.85					14	6.80					206
	EIGHTH			9	64.29														5	35.71						Excluded					14
		TOTAL		88	42.72														118	57.28											206
				Elected																											
																															
Newstead                                                       																															
	FIRST			255	36.43		0	0.00		13	1.86		40	5.71		18	2.57		231	33.00		25	3.57		112	16.00		6	0.86		700
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		255	36.43					13	1.86		40	5.71		18	2.57		231	33.00		25	3.57		112	16.00		6	0.86		700
	THIRD			6	15.00					23	57.50			Excluded		1	2.50		5	12.50		3	7.50		2	5.00		0	0.00		40
		TOTAL		261	37.29					36	5.14					19	2.71		236	33.71		28	4.00		114	16.29		6	0.86		700
	FOURTH			0	0.00					0	0.00					1	16.67		4	66.67		0	0.00		1	16.67			Excluded		6
		TOTAL		261	37.29					36	5.14					20	2.86		240	34.29		28	4.00		115	16.43					700
	FIFTH			4	11.11						Excluded					1	2.78		22	61.11		8	22.22		1	2.78					36
		TOTAL		265	37.86											21	3.00		262	37.43		36	5.14		116	16.57					700
	SIXTH			12	33.33											2	5.56		18	50.00			Excluded		4	11.11					36
		TOTAL		277	39.57											23	3.29		280	40.00					120	17.14					700
	SEVENTH			8	34.78												Excluded		0	0.00					15	65.22					23
		TOTAL		285	40.71														280	40.00					135	19.29					700
	EIGHTH			118	87.41														17	12.59						Excluded					135
		TOTAL		403	57.57														297	42.43											700
				Elected																											
																															
Quarry Hill                                                    																															
	FIRST			414	42.24		4	0.41		20	2.04		9	0.92		50	5.10		327	33.37		18	1.84		110	11.22		28	2.86		980
	SECOND			2	50.00			Excluded		0	0.00		0	0.00		0	0.00		2	50.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		416	42.45					20	2.04		9	0.92		50	5.10		329	33.57		18	1.84		110	11.22		28	2.86		980
	THIRD			1	11.11					4	44.44			Excluded		0	0.00		2	22.22		1	11.11		0	0.00		1	11.11		9
		TOTAL		417	42.55					24	2.45					50	5.10		331	33.78		19	1.94		110	11.22		29	2.96		980
	FOURTH			2	6.90					1	3.45					1	3.45		21	72.41		2	6.90		2	6.90			Excluded		29
		TOTAL		419	42.76					25	2.55					51	5.20		352	35.92		21	2.14		112	11.43					980
	FIFTH			8	32.00						Excluded					2	8.00		7	28.00		4	16.00		4	16.00					25
		TOTAL		427	43.57											53	5.41		359	36.63		25	2.55		116	11.84					980
	SIXTH			8	32.00											3	12.00		10	40.00			Excluded		4	16.00					25
		TOTAL		435	44.39											56	5.71		369	37.65					120	12.24					980
	SEVENTH			9	16.07												Excluded		14	25.00					33	58.93					56
		TOTAL		444	45.31														383	39.08					153	15.61					980
	EIGHTH			123	80.39														30	19.61						Excluded					153
		TOTAL		567	57.86														413	42.14											980
				Elected																											
																															
Raywood                                                        																															
	FIRST			129	36.86		0	0.00		9	2.57		2	0.57		7	2.00		162	46.29		18	5.14		14	4.00		9	2.57		350
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		129	36.86					9	2.57		2	0.57		7	2.00		162	46.29		18	5.14		14	4.00		9	2.57		350
	THIRD			1	50.00					0	0.00			Excluded		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		2
		TOTAL		130	37.14					9	2.57					7	2.00		162	46.29		19	5.43		14	4.00		9	2.57		350
	FOURTH			0	0.00					0	0.00					2	22.22		6	66.67		0	0.00		1	11.11			Excluded		9
		TOTAL		130	37.14					9	2.57					9	2.57		168	48.00		19	5.43		15	4.29					350
	FIFTH			1	11.11						Excluded					2	22.22		1	11.11		3	33.33		2	22.22					9
		TOTAL		131	37.43											11	3.14		169	48.29		22	6.29		17	4.86					350
	SIXTH			5	22.73											3	13.64		9	40.91			Excluded		5	22.73					22
		TOTAL		136	38.86											14	4.00		178	50.86					22	6.29					350
	SEVENTH			3	21.43												Excluded		4	28.57					7	50.00					14
		TOTAL		139	39.71														182	52.00					29	8.29					350
	EIGHTH			16	55.17														13	44.83						Excluded					29
		TOTAL		155	44.29														195	55.71											350
				Elected																											
																															
Redesdale                                                      																															
	FIRST			94	33.81		2	0.72		2	0.72		8	2.88		10	3.60		141	50.72		4	1.44		12	4.32		5	1.80		278
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		1	50.00		0	0.00		2
		TOTAL		94	33.81					2	0.72		8	2.88		10	3.60		142	51.08		4	1.44		13	4.68		5	1.80		278
	THIRD			0	0.00					5	62.50			Excluded		1	12.50		1	12.50		1	12.50		0	0.00		0	0.00		8
		TOTAL		94	33.81					7	2.52					11	3.96		143	51.44		5	1.80		13	4.68		5	1.80		278
	FOURTH			1	20.00					0	0.00					0	0.00		4	80.00		0	0.00		0	0.00			Excluded		5
		TOTAL		95	34.17					7	2.52					11	3.96		147	52.88		5	1.80		13	4.68					278
	FIFTH			0	0.00						Excluded					4	57.14		0	0.00		3	42.86		0	0.00					7
		TOTAL		95	34.17											15	5.40		147	52.88		8	2.88		13	4.68					278
	SIXTH			1	12.50											1	12.50		2	25.00			Excluded		4	50.00					8
		TOTAL		96	34.53											16	5.76		149	53.60					17	6.12					278
	SEVENTH			2	12.50												Excluded		6	37.50					8	50.00					16
		TOTAL		98	35.25														155	55.76					25	8.99					278
	EIGHTH			17	68.00														8	32.00						Excluded					25
		TOTAL		115	41.37														163	58.63											278
				Elected																											
																															
Sparrowhawk                                                    																															
	FIRST			392	70.00		1	0.18		11	1.96		3	0.54		15	2.68		97	17.32		12	2.14		22	3.93		7	1.25		560
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		392	70.00					11	1.96		3	0.54		15	2.68		98	17.50		12	2.14		22	3.93		7	1.25		560
	THIRD			0	0.00					1	33.33			Excluded		1	33.33		0	0.00		1	33.33		0	0.00		0	0.00		3
		TOTAL		392	70.00					12	2.14					16	2.86		98	17.50		13	2.32		22	3.93		7	1.25		560
	FOURTH			0	0.00					1	14.29					0	0.00		5	71.43		1	14.29		0	0.00			Excluded		7
		TOTAL		392	70.00					13	2.32					16	2.86		103	18.39		14	2.50		22	3.93					560
	FIFTH			2	15.38						Excluded					2	15.38		0	0.00		7	53.85		2	15.38					13
		TOTAL		394	70.36											18	3.21		103	18.39		21	3.75		24	4.29					560
	SIXTH			5	23.81											6	28.57		7	33.33			Excluded		3	14.29					21
		TOTAL		399	71.25											24	4.29		110	19.64					27	4.82					560
	SEVENTH			13	54.17												Excluded		2	8.33					9	37.50					24
		TOTAL		412	73.57														112	20.00					36	6.43					560
	EIGHTH			30	83.33														6	16.67						Excluded					36
		TOTAL		442	78.93														118	21.07											560
				Elected																											
																															
Spring Gully                                                   																															
	FIRST			648	37.44		17	0.98		23	1.33		9	0.52		73	4.22		744	42.98		23	1.33		141	8.15		53	3.06		1731
	SECOND			5	29.41			Excluded		0	0.00		0	0.00		0	0.00		10	58.82		1	5.88		1	5.88		0	0.00		17
		TOTAL		653	37.72					23	1.33		9	0.52		73	4.22		754	43.56		24	1.39		142	8.20		53	3.06		1731
	THIRD			1	11.11					3	33.33			Excluded		0	0.00		4	44.44		0	0.00		0	0.00		1	11.11		9
		TOTAL		654	37.78					26	1.50					73	4.22		758	43.79		24	1.39		142	8.20		54	3.12		1731
	FOURTH			5	9.26					3	5.56					0	0.00		40	74.07		2	3.70		4	7.41			Excluded		54
		TOTAL		659	38.07					29	1.68					73	4.22		798	46.10		26	1.50		146	8.43					1731
	FIFTH			2	6.90						Excluded					6	20.69		4	13.79		14	48.28		3	10.34					29
		TOTAL		661	38.19											79	4.56		802	46.33		40	2.31		149	8.61					1731
	SIXTH			10	25.00											2	5.00		18	45.00			Excluded		10	25.00					40
		TOTAL		671	38.76											81	4.68		820	47.37					159	9.19					1731
	SEVENTH			23	28.40												Excluded		12	14.81					46	56.79					81
		TOTAL		694	40.09														832	48.06					205	11.84					1731
	EIGHTH			165	80.49														40	19.51						Excluded					205
		TOTAL		859	49.62														872	50.38											1731
				Elected																											
																															
St Laurence                                                    																															
	FIRST			64	40.76		1	0.64		4	2.55		0	0.00		1	0.64		83	52.87		3	1.91		0	0.00		1	0.64		157
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		64	40.76					4	2.55		0	0.00		1	0.64		84	53.50		3	1.91		0	0.00		1	0.64		157
	THIRD			0	0.00					0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		64	40.76					4	2.55					1	0.64		84	53.50		3	1.91		0	0.00		1	0.64		157
	FOURTH			0	0.00					0	0.00					0	0.00		1	100.00		0	0.00		0	0.00			Excluded		1
		TOTAL		64	40.76					4	2.55					1	0.64		85	54.14		3	1.91		0	0.00					157
	FIFTH			1	25.00						Excluded					0	0.00		2	50.00		0	0.00		1	25.00					4
		TOTAL		65	41.40											1	0.64		87	55.41		3	1.91		1	0.64					157
	SIXTH			0	0.00											1	33.33		2	66.67			Excluded		0	0.00					3
		TOTAL		65	41.40											2	1.27		89	56.69					1	0.64					157
	SEVENTH			1	50.00												Excluded		0	0.00					1	50.00					2
		TOTAL		66	42.04														89	56.69					2	1.27					157
	EIGHTH			1	50.00														1	50.00						Excluded					2
		TOTAL		67	42.68														90	57.32											157
				Elected																											
																															
Strath Hill                                                    																															
	FIRST			760	33.42		9	0.40		24	1.06		20	0.88		61	2.68		1157	50.88		16	0.70		115	5.06		112	4.93		2274
	SECOND			1	11.11			Excluded		2	22.22		0	0.00		0	0.00		6	66.67		0	0.00		0	0.00		0	0.00		9
		TOTAL		761	33.47					26	1.14		20	0.88		61	2.68		1163	51.14		16	0.70		115	5.06		112	4.93		2274
	THIRD			6	30.00					5	25.00			Excluded		0	0.00		4	20.00		4	20.00		0	0.00		1	5.00		20
		TOTAL		767	33.73					31	1.36					61	2.68		1167	51.32		20	0.88		115	5.06		113	4.97		2274
	FOURTH			11	9.73					3	2.65					2	1.77		88	77.88		2	1.77		7	6.19			Excluded		113
		TOTAL		778	34.21					34	1.50					63	2.77		1255	55.19		22	0.97		122	5.36					2274
	FIFTH			7	20.59						Excluded					8	23.53		10	29.41		8	23.53		1	2.94					34
		TOTAL		785	34.52											71	3.12		1265	55.63		30	1.32		123	5.41					2274
	SIXTH			9	30.00											3	10.00		13	43.33			Excluded		5	16.67					30
		TOTAL		794	34.92											74	3.25		1278	56.20					128	5.63					2274
	SEVENTH			24	32.43												Excluded		17	22.97					33	44.59					74
		TOTAL		818	35.97														1295	56.95					161	7.08					2274
	EIGHTH			121	75.16														40	24.84						Excluded					161
		TOTAL		939	41.29														1335	58.71											2274
				Elected																											
																															
Strathdale                                                     																															
	FIRST			828	35.31		39	1.66		17	0.72		21	0.90		78	3.33		1194	50.92		39	1.66		92	3.92		37	1.58		2345
	SECOND			3	7.69			Excluded		3	7.69		2	5.13		1	2.56		28	71.79		1	2.56		0	0.00		1	2.56		39
		TOTAL		831	35.44					20	0.85		23	0.98		79	3.37		1222	52.11		40	1.71		92	3.92		38	1.62		2345
	THIRD			4	17.39					6	26.09			Excluded		0	0.00		6	26.09		5	21.74		1	4.35		1	4.35		23
		TOTAL		835	35.61					26	1.11					79	3.37		1228	52.37		45	1.92		93	3.97		39	1.66		2345
	FOURTH			4	10.26					0	0.00					2	5.13		28	71.79		0	0.00		5	12.82			Excluded		39
		TOTAL		839	35.78					26	1.11					81	3.45		1256	53.56		45	1.92		98	4.18					2345
	FIFTH			4	15.38						Excluded					4	15.38		8	30.77		9	34.62		1	3.85					26
		TOTAL		843	35.95											85	3.62		1264	53.90		54	2.30		99	4.22					2345
	SIXTH			11	20.37											8	14.81		25	46.30			Excluded		10	18.52					54
		TOTAL		854	36.42											93	3.97		1289	54.97					109	4.65					2345
	SEVENTH			23	24.73												Excluded		23	24.73					47	50.54					93
		TOTAL		877	37.40														1312	55.95					156	6.65					2345
	EIGHTH			119	76.28														37	23.72						Excluded					156
		TOTAL		996	42.47														1349	57.53											2345
				Elected																											
																															
Strathfieldsaye                                                																															
	FIRST			616	34.78		13	0.73		34	1.92		20	1.13		61	3.44		833	47.04		35	1.98		107	6.04		52	2.94		1771
	SECOND			1	7.69			Excluded		2	15.38		0	0.00		0	0.00		7	53.85		2	15.38		1	7.69		0	0.00		13
		TOTAL		617	34.84					36	2.03		20	1.13		61	3.44		840	47.43		37	2.09		108	6.10		52	2.94		1771
	THIRD			3	15.00					12	60.00			Excluded		1	5.00		3	15.00		0	0.00		1	5.00		0	0.00		20
		TOTAL		620	35.01					48	2.71					62	3.50		843	47.60		37	2.09		109	6.15		52	2.94		1771
	FOURTH			9	17.31					6	11.54					1	1.92		31	59.62		2	3.85		3	5.77			Excluded		52
		TOTAL		629	35.52					54	3.05					63	3.56		874	49.35		39	2.20		112	6.32					1771
	FIFTH			7	12.96						Excluded					9	16.67		11	20.37		24	44.44		3	5.56					54
		TOTAL		636	35.91											72	4.07		885	49.97		63	3.56		115	6.49					1771
	SIXTH			27	42.86											12	19.05		17	26.98			Excluded		7	11.11					63
		TOTAL		663	37.44											84	4.74		902	50.93					122	6.89					1771
	SEVENTH			28	33.33												Excluded		16	19.05					40	47.62					84
		TOTAL		691	39.02														918	51.84					162	9.15					1771
	EIGHTH			123	75.93														39	24.07						Excluded					162
		TOTAL		814	45.96														957	54.04											1771
				Elected																											
																															
Taradale                                                       																															
	FIRST			136	39.53		2	0.58		5	1.45		2	0.58		11	3.20		134	38.95		11	3.20		41	11.92		2	0.58		344
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	100.00		0	0.00		2
		TOTAL		136	39.53					5	1.45		2	0.58		11	3.20		134	38.95		11	3.20		43	12.50		2	0.58		344
	THIRD			1	50.00					1	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		137	39.83					6	1.74					11	3.20		134	38.95		11	3.20		43	12.50		2	0.58		344
	FOURTH			0	0.00					0	0.00					1	50.00		1	50.00		0	0.00		0	0.00			Excluded		2
		TOTAL		137	39.83					6	1.74					12	3.49		135	39.24		11	3.20		43	12.50					344
	FIFTH			1	16.67						Excluded					2	33.33		2	33.33		0	0.00		1	16.67					6
		TOTAL		138	40.12											14	4.07		137	39.83		11	3.20		44	12.79					344
