House of Representatives - 2001 Election: Victoria																																									
Distribution of Preferences																																									
By Polling Place																																									
Gippsland																																									
				JAGO			FRESHWATER			MCCUBBIN			EVANS			BUCKLEY			THORPE			WILLIAMS			BOLITHO			TREASURE			MCGAURAN			ROBINSON			AITKEN				
	ELEVENTH																								33	56.90			Excluded		25	43.10								58	
		TOTAL																							198	36.40					346	63.60								544	
																															Elected										
																																									
Mirboo North                                                   																																									
	FIRST			23	1.70		70	5.17		71	5.24		27	1.99		4	0.30		14	1.03		0	0.00		396	29.25		73	5.39		541	39.96		5	0.37		130	9.60		1354	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		23	1.70		70	5.17		71	5.24		27	1.99		4	0.30		14	1.03					396	29.25		73	5.39		541	39.96		5	0.37		130	9.60		1354	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		2	40.00		0	0.00					0	0.00		2	40.00		1	20.00			Excluded		0	0.00		5	
		TOTAL		23	1.70		70	5.17		71	5.24		27	1.99		6	0.44		14	1.03					396	29.25		75	5.54		542	40.03					130	9.60		1354	
	FOURTH			5	35.71		1	7.14		0	0.00		1	7.14		2	14.29			Excluded					1	7.14		2	14.29		0	0.00					2	14.29		14	
		TOTAL		28	2.07		71	5.24		71	5.24		28	2.07		8	0.59								397	29.32		77	5.69		542	40.03					132	9.75		1354	
	FIFTH			1	12.50		2	25.00		0	0.00		3	37.50			Excluded								0	0.00		1	12.50		0	0.00					1	12.50		8	
		TOTAL		29	2.14		73	5.39		71	5.24		31	2.29											397	29.32		78	5.76		542	40.03					133	9.82		1354	
	SIXTH			5	16.13		0	0.00		2	6.45			Excluded											1	3.23		21	67.74		2	6.45					0	0.00		31	
		TOTAL		34	2.51		73	5.39		73	5.39														398	29.39		99	7.31		544	40.18					133	9.82		1354	
	SEVENTH				Excluded		11	32.35		3	8.82														3	8.82		12	35.29		1	2.94					4	11.76		34	
		TOTAL					84	6.20		76	5.61														401	29.62		111	8.20		545	40.25					137	10.12		1354	
	EIGHTH						6	7.89			Excluded														19	25.00		5	6.58		12	15.79					34	44.74		76	
		TOTAL					90	6.65																	420	31.02		116	8.57		557	41.14					171	12.63		1354	
	NINTH							Excluded																	22	24.44		50	55.56		10	11.11					8	8.89		90	
		TOTAL																							442	32.64		166	12.26		567	41.88					179	13.22		1354	
	TENTH																								103	57.54		27	15.08		49	27.37						Excluded		179	
		TOTAL																							545	40.25		193	14.25		616	45.49								1354	
	ELEVENTH																								104	53.89			Excluded		89	46.11								193	
		TOTAL																							649	47.93					705	52.07								1354	
																															Elected										
																																									
Mount Eccles                                                   																																									
	FIRST			3	2.21		5	3.68		8	5.88		2	1.47		4	2.94		0	0.00		0	0.00		20	14.71		23	16.91		60	44.12		3	2.21		8	5.88		136	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	2.21		5	3.68		8	5.88		2	1.47		4	2.94		0	0.00					20	14.71		23	16.91		60	44.12		3	2.21		8	5.88		136	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					2	66.67		0	0.00		0	0.00			Excluded		1	33.33		3	
		TOTAL		3	2.21		5	3.68		8	5.88		2	1.47		4	2.94		0	0.00					22	16.18		23	16.91		60	44.12					9	6.62		136	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		3	2.21		5	3.68		8	5.88		2	1.47		4	2.94								22	16.18		23	16.91		60	44.12					9	6.62		136	
	FIFTH			1	25.00		1	25.00		0	0.00		1	25.00			Excluded								0	0.00		1	25.00		0	0.00					0	0.00		4	
		TOTAL		4	2.94		6	4.41		8	5.88		3	2.21											22	16.18		24	17.65		60	44.12					9	6.62		136	
	SIXTH			2	66.67		0	0.00		0	0.00			Excluded											0	0.00		0	0.00		0	0.00					1	33.33		3	
		TOTAL		6	4.41		6	4.41		8	5.88														22	16.18		24	17.65		60	44.12					10	7.35		136	
	SEVENTH				Excluded		0	0.00		2	33.33														0	0.00		2	33.33		1	16.67					1	16.67		6	
		TOTAL					6	4.41		10	7.35														22	16.18		26	19.12		61	44.85					11	8.09		136	
	EIGHTH						1	10.00			Excluded														1	10.00		2	20.00		3	30.00					3	30.00		10	
		TOTAL					7	5.15																	23	16.91		28	20.59		64	47.06					14	10.29		136	
	NINTH							Excluded																	1	14.29		3	42.86		1	14.29					2	28.57		7	
		TOTAL																							24	17.65		31	22.79		65	47.79					16	11.76		136	
	TENTH																								6	37.50		6	37.50		4	25.00						Excluded		16	
		TOTAL																							30	22.06		37	27.21		69	50.74								136	
	ELEVENTH																								9	24.32			Excluded		28	75.68								37	
		TOTAL																							39	28.68					97	71.32								136	
																															Elected										
																																									
Nambrok                                                        																																									
	FIRST			6	2.83		10	4.72		5	2.36		8	3.77		3	1.42		2	0.94		3	1.42		10	4.72		12	5.66		148	69.81		3	1.42		2	0.94		212	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33			Excluded		0	0.00		2	66.67		0	0.00		0	0.00		0	0.00		3	
		TOTAL		6	2.83		10	4.72		5	2.36		8	3.77		3	1.42		3	1.42					10	4.72		14	6.60		148	69.81		3	1.42		2	0.94		212	
	THIRD			3	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		3	
		TOTAL		9	4.25		10	4.72		5	2.36		8	3.77		3	1.42		3	1.42					10	4.72		14	6.60		148	69.81					2	0.94		212	
	FOURTH			0	0.00		0	0.00		0	0.00		1	33.33		1	33.33			Excluded					0	0.00		0	0.00		1	33.33					0	0.00		3	
		TOTAL		9	4.25		10	4.72		5	2.36		9	4.25		4	1.89								10	4.72		14	6.60		149	70.28					2	0.94		212	
	FIFTH			0	0.00		0	0.00		0	0.00		1	25.00			Excluded								0	0.00		2	50.00		0	0.00					1	25.00		4	
		TOTAL		9	4.25		10	4.72		5	2.36		10	4.72											10	4.72		16	7.55		149	70.28					3	1.42		212	
	SIXTH			1	10.00		1	10.00		2	20.00			Excluded											0	0.00		5	50.00		1	10.00					0	0.00		10	
		TOTAL		10	4.72		11	5.19		7	3.30														10	4.72		21	9.91		150	70.75					3	1.42		212	
	SEVENTH				Excluded		2	20.00		2	20.00														1	10.00		5	50.00		0	0.00					0	0.00		10	
		TOTAL					13	6.13		9	4.25														11	5.19		26	12.26		150	70.75					3	1.42		212	
	EIGHTH						3	33.33			Excluded														0	0.00		3	33.33		3	33.33					0	0.00		9	
		TOTAL					16	7.55																	11	5.19		29	13.68		153	72.17					3	1.42		212	
	NINTH							Excluded																	3	18.75		9	56.25		3	18.75					1	6.25		16	
		TOTAL																							14	6.60		38	17.92		156	73.58					4	1.89		212	
	TENTH																								1	25.00		2	50.00		1	25.00						Excluded		4	
		TOTAL																							15	7.08		40	18.87		157	74.06								212	
	ELEVENTH																								20	50.00			Excluded		20	50.00								40	
		TOTAL																							35	16.51					177	83.49								212	
																															Elected										
																																									
Nerrena                                                        																																									
	FIRST			1	0.67		6	4.00		1	0.67		1	0.67		1	0.67		1	0.67		0	0.00		16	10.67		5	3.33		103	68.67		0	0.00		15	10.00		150	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	0.67		6	4.00		1	0.67		1	0.67		1	0.67		1	0.67					16	10.67		5	3.33		103	68.67		0	0.00		15	10.00		150	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.67		6	4.00		1	0.67		1	0.67		1	0.67		1	0.67					16	10.67		5	3.33		103	68.67					15	10.00		150	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL		1	0.67		6	4.00		1	0.67		1	0.67		1	0.67								16	10.67		6	4.00		103	68.67					15	10.00		150	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00			Excluded								0	0.00		0	0.00		1	100.00					0	0.00		1	
		TOTAL		1	0.67		6	4.00		1	0.67		1	0.67											16	10.67		6	4.00		104	69.33					15	10.00		150	
	SIXTH			0	0.00		0	0.00		1	100.00			Excluded											0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		1	0.67		6	4.00		2	1.33														16	10.67		6	4.00		104	69.33					15	10.00		150	
	SEVENTH				Excluded		0	0.00		0	0.00														0	0.00		0	0.00		1	100.00					0	0.00		1	
		TOTAL					6	4.00		2	1.33														16	10.67		6	4.00		105	70.00					15	10.00		150	
	EIGHTH						1	50.00			Excluded														0	0.00		0	0.00		1	50.00					0	0.00		2	
		TOTAL					7	4.67																	16	10.67		6	4.00		106	70.67					15	10.00		150	
	NINTH							Excluded																	1	14.29		3	42.86		2	28.57					1	14.29		7	
		TOTAL																							17	11.33		9	6.00		108	72.00					16	10.67		150	
	TENTH																								4	25.00		8	50.00		4	25.00						Excluded		16	
		TOTAL																							21	14.00		17	11.33		112	74.67								150	
	ELEVENTH																								6	35.29			Excluded		11	64.71								17	
		TOTAL																							27	18.00					123	82.00								150	
																															Elected										
																																									
Newmerella                                                     																																									
	FIRST			0	0.00		16	5.80		9	3.26		12	4.35		8	2.90		6	2.17		1	0.36		55	19.93		16	5.80		150	54.35		1	0.36		2	0.72		276	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		0	0.00		16	5.80		9	3.26		12	4.35		8	2.90		7	2.54					55	19.93		16	5.80		150	54.35		1	0.36		2	0.72		276	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		0	0.00		16	5.80		9	3.26		12	4.35		8	2.90		7	2.54					55	19.93		17	6.16		150	54.35					2	0.72		276	
	FOURTH			3	42.86		0	0.00		0	0.00		1	14.29		1	14.29			Excluded					1	14.29		0	0.00		0	0.00					1	14.29		7	
		TOTAL		3	1.09		16	5.80		9	3.26		13	4.71		9	3.26								56	20.29		17	6.16		150	54.35					3	1.09		276	
	FIFTH			1	11.11		1	11.11		0	0.00		3	33.33			Excluded								2	22.22		0	0.00		2	22.22					0	0.00		9	
		TOTAL		4	1.45		17	6.16		9	3.26		16	5.80											58	21.01		17	6.16		152	55.07					3	1.09		276	
	SIXTH			3	18.75		2	12.50		0	0.00			Excluded											0	0.00		10	62.50		1	6.25					0	0.00		16	
		TOTAL		7	2.54		19	6.88		9	3.26														58	21.01		27	9.78		153	55.43					3	1.09		276	
	SEVENTH				Excluded		1	14.29		1	14.29														0	0.00		2	28.57		1	14.29					2	28.57		7	
		TOTAL					20	7.25		10	3.62														58	21.01		29	10.51		154	55.80					5	1.81		276	
	EIGHTH						0	0.00			Excluded														3	30.00		2	20.00		3	30.00					2	20.00		10	
		TOTAL					20	7.25																	61	22.10		31	11.23		157	56.88					7	2.54		276	
	NINTH							Excluded																	5	25.00		7	35.00		6	30.00					2	10.00		20	
		TOTAL																							66	23.91		38	13.77		163	59.06					9	3.26		276	
	TENTH																								3	33.33		4	44.44		2	22.22						Excluded		9	
		TOTAL																							69	25.00		42	15.22		165	59.78								276	
	ELEVENTH																								16	38.10			Excluded		26	61.90								42	
		TOTAL																							85	30.80					191	69.20								276	
																															Elected										
																																									
Newry                                                          																																									
	FIRST			5	1.98		12	4.76		10	3.97		3	1.19		4	1.59		0	0.00		1	0.40		28	11.11		19	7.54		163	64.68		0	0.00		7	2.78		252	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		5	1.98		12	4.76		10	3.97		3	1.19		4	1.59		0	0.00					29	11.51		19	7.54		163	64.68		0	0.00		7	2.78		252	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		5	1.98		12	4.76		10	3.97		3	1.19		4	1.59		0	0.00					29	11.51		19	7.54		163	64.68					7	2.78		252	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		5	1.98		12	4.76		10	3.97		3	1.19		4	1.59								29	11.51		19	7.54		163	64.68					7	2.78		252	
	FIFTH			0	0.00		1	25.00		0	0.00		0	0.00			Excluded								1	25.00		1	25.00		1	25.00					0	0.00		4	
		TOTAL		5	1.98		13	5.16		10	3.97		3	1.19											30	11.90		20	7.94		164	65.08					7	2.78		252	
	SIXTH			0	0.00		0	0.00		0	0.00			Excluded											0	0.00		2	66.67		1	33.33					0	0.00		3	
		TOTAL		5	1.98		13	5.16		10	3.97														30	11.90		22	8.73		165	65.48					7	2.78		252	
	SEVENTH				Excluded		1	20.00		0	0.00														0	0.00		4	80.00		0	0.00					0	0.00		5	
		TOTAL					14	5.56		10	3.97														30	11.90		26	10.32		165	65.48					7	2.78		252	
	EIGHTH						0	0.00			Excluded														2	20.00		2	20.00		1	10.00					5	50.00		10	
		TOTAL					14	5.56																	32	12.70		28	11.11		166	65.87					12	4.76		252	
	NINTH							Excluded																	1	7.14		10	71.43		3	21.43					0	0.00		14	
		TOTAL																							33	13.10		38	15.08		169	67.06					12	4.76		252	
	TENTH																								7	58.33		3	25.00		2	16.67						Excluded		12	
		TOTAL																							40	15.87		41	16.27		171	67.86								252	
	ELEVENTH																								18	43.90			Excluded		23	56.10								41	
		TOTAL																							58	23.02					194	76.98								252	
																															Elected										
																																									
Nicholson                                                      																																									
	FIRST			15	2.33		64	9.94		22	3.42		23	3.57		9	1.40		6	0.93		5	0.78		166	25.78		46	7.14		243	37.73		10	1.55		35	5.43		644	
	SECOND			3	60.00		0	0.00		0	0.00		1	20.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	20.00		5	
		TOTAL		18	2.80		64	9.94		22	3.42		24	3.73		9	1.40		6	0.93					166	25.78		46	7.14		243	37.73		10	1.55		36	5.59		644	
	THIRD			0	0.00		1	10.00		0	0.00		2	20.00		0	0.00		2	20.00					1	10.00		4	40.00		0	0.00			Excluded		0	0.00		10	
		TOTAL		18	2.80		65	10.09		22	3.42		26	4.04		9	1.40		8	1.24					167	25.93		50	7.76		243	37.73					36	5.59		644	
	FOURTH			1	12.50		1	12.50		1	12.50		1	12.50		2	25.00			Excluded					0	0.00		0	0.00		0	0.00					2	25.00		8	
		TOTAL		19	2.95		66	10.25		23	3.57		27	4.19		11	1.71								167	25.93		50	7.76		243	37.73					38	5.90		644	
	FIFTH			1	9.09		2	18.18		0	0.00		2	18.18			Excluded								1	9.09		3	27.27		2	18.18					0	0.00		11	
		TOTAL		20	3.11		68	10.56		23	3.57		29	4.50											168	26.09		53	8.23		245	38.04					38	5.90		644	
	SIXTH			7	24.14		2	6.90		3	10.34			Excluded											2	6.90		13	44.83		1	3.45					1	3.45		29	
		TOTAL		27	4.19		70	10.87		26	4.04														170	26.40		66	10.25		246	38.20					39	6.06		644	
	SEVENTH				Excluded		4	14.81		6	22.22														3	11.11		8	29.63		4	14.81					2	7.41		27	
		TOTAL					74	11.49		32	4.97														173	26.86		74	11.49		250	38.82					41	6.37		644	
	EIGHTH						7	21.88			Excluded														7	21.88		8	25.00		2	6.25					8	25.00		32	
		TOTAL					81	12.58																	180	27.95		82	12.73		252	39.13					49	7.61		644	
	NINTH							Excluded																	18	22.22		55	67.90		4	4.94					4	4.94		81	
		TOTAL																							198	30.75		137	21.27		256	39.75					53	8.23		644	
	TENTH																								26	49.06		15	28.30		12	22.64						Excluded		53	
		TOTAL																							224	34.78		152	23.60		268	41.61								644	
	ELEVENTH																								87	57.24			Excluded		65	42.76								152	
		TOTAL																							311	48.29					333	51.71								644	
																															Elected										
																																									
Nowa Nowa                                                      																																									
	FIRST			1	0.51		30	15.23		9	4.57		6	3.05		5	2.54		6	3.05		1	0.51		42	21.32		10	5.08		75	38.07		0	0.00		12	6.09		197	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		1	
		TOTAL		1	0.51		30	15.23		9	4.57		6	3.05		5	2.54		6	3.05					42	21.32		10	5.08		75	38.07		1	0.51		12	6.09		197	
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		1	0.51		30	15.23		9	4.57		7	3.55		5	2.54		6	3.05					42	21.32		10	5.08		75	38.07					12	6.09		197	
	FOURTH			3	50.00		0	0.00		1	16.67		0	0.00		0	0.00			Excluded					0	0.00		1	16.67		0	0.00					1	16.67		6	
		TOTAL		4	2.03		30	15.23		10	5.08		7	3.55		5	2.54								42	21.32		11	5.58		75	38.07					13	6.60		197	
	FIFTH			0	0.00		0	0.00		1	20.00		0	0.00			Excluded								2	40.00		1	20.00		1	20.00					0	0.00		5	
		TOTAL		4	2.03		30	15.23		11	5.58		7	3.55											44	22.34		12	6.09		76	38.58					13	6.60		197	
	SIXTH			1	14.29		2	28.57		0	0.00			Excluded											0	0.00		2	28.57		2	28.57					0	0.00		7	
		TOTAL		5	2.54		32	16.24		11	5.58														44	22.34		14	7.11		78	39.59					13	6.60		197	
	SEVENTH				Excluded		1	20.00		0	0.00														0	0.00		0	0.00		1	20.00					3	60.00		5	
		TOTAL					33	16.75		11	5.58														44	22.34		14	7.11		79	40.10					16	8.12		197	
	EIGHTH						1	9.09			Excluded														3	27.27		0	0.00		2	18.18					5	45.45		11	
		TOTAL					34	17.26																	47	23.86		14	7.11		81	41.12					21	10.66		197	
	NINTH							Excluded																	6	17.65		22	64.71		5	14.71					1	2.94		34	
		TOTAL																							53	26.90		36	18.27		86	43.65					22	11.17		197	
	TENTH																								17	77.27		4	18.18		1	4.55						Excluded		22	
		TOTAL																							70	35.53		40	20.30		87	44.16								197	
	ELEVENTH																								21	52.50			Excluded		19	47.50								40	
		TOTAL																							91	46.19					106	53.81								197	
																															Elected										
																																									
Nungurner                                                      																																									
	FIRST			1	0.58		16	9.36		7	4.09		9	5.26		3	1.75		2	1.17		0	0.00		38	22.22		18	10.53		68	39.77		1	0.58		8	4.68		171	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	0.58		16	9.36		7	4.09		9	5.26		3	1.75		2	1.17					38	22.22		18	10.53		68	39.77		1	0.58		8	4.68		171	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		1	0.58		16	9.36		7	4.09		9	5.26		3	1.75		2	1.17					38	22.22		19	11.11		68	39.77					8	4.68		171	
	FOURTH			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					1	50.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		2	1.17		16	9.36		7	4.09		9	5.26		3	1.75								39	22.81		19	11.11		68	39.77					8	4.68		171	
	FIFTH			0	0.00		2	66.67		0	0.00		0	0.00			Excluded								0	0.00		0	0.00		1	33.33					0	0.00		3	
		TOTAL		2	1.17		18	10.53		7	4.09		9	5.26											39	22.81		19	11.11		69	40.35					8	4.68		171	
	SIXTH			3	33.33		2	22.22		0	0.00			Excluded											1	11.11		3	33.33		0	0.00					0	0.00		9	
		TOTAL		5	2.92		20	11.70		7	4.09														40	23.39		22	12.87		69	40.35					8	4.68		171	
	SEVENTH				Excluded		0	0.00		2	40.00														1	20.00		1	20.00		0	0.00					1	20.00		5	
		TOTAL					20	11.70		9	5.26														41	23.98		23	13.45		69	40.35					9	5.26		171	
	EIGHTH						0	0.00			Excluded														3	33.33		3	33.33		0	0.00					3	33.33		9	
		TOTAL					20	11.70																	44	25.73		26	15.20		69	40.35					12	7.02		171	
	NINTH							Excluded																	4	20.00		11	55.00		4	20.00					1	5.00		20	
		TOTAL																							48	28.07		37	21.64		73	42.69					13	7.60		171	
	TENTH																								5	38.46		6	46.15		2	15.38						Excluded		13	
		TOTAL																							53	30.99		43	25.15		75	43.86								171	
	ELEVENTH																								27	62.79			Excluded		16	37.21								43	
		TOTAL																							80	46.78					91	53.22								171	
																															Elected										
																																									
Omeo                                                           																																									
	FIRST			2	0.65		11	3.58		6	1.95		6	1.95		39	12.70		1	0.33		2	0.65		57	18.57		23	7.49		147	47.88		4	1.30		9	2.93		307	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		2	
		TOTAL		2	0.65		11	3.58		6	1.95		6	1.95		40	13.03		1	0.33					57	18.57		23	7.49		147	47.88		5	1.63		9	2.93		307	
	THIRD			2	40.00		0	0.00		0	0.00		0	0.00		2	40.00		1	20.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		5	
		TOTAL		4	1.30		11	3.58		6	1.95		6	1.95		42	13.68		2	0.65					57	18.57		23	7.49		147	47.88					9	2.93		307	
	FOURTH			1	50.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		5	1.63		11	3.58		6	1.95		6	1.95		43	14.01								57	18.57		23	7.49		147	47.88					9	2.93		307	
	FIFTH			5	11.63		1	2.33		2	4.65		5	11.63			Excluded								11	25.58		8	18.60		11	25.58					0	0.00		43	
		TOTAL		10	3.26		12	3.91		8	2.61		11	3.58											68	22.15		31	10.10		158	51.47					9	2.93		307	
	SIXTH			4	36.36		0	0.00		0	0.00			Excluded											1	9.09		6	54.55		0	0.00					0	0.00		11	
		TOTAL		14	4.56		12	3.91		8	2.61														69	22.48		37	12.05		158	51.47					9	2.93		307	
	SEVENTH				Excluded		6	42.86		1	7.14														1	7.14		4	28.57		1	7.14					1	7.14		14	
		TOTAL					18	5.86		9	2.93														70	22.80		41	13.36		159	51.79					10	3.26		307	
	EIGHTH						3	33.33			Excluded														1	11.11		1	11.11		2	22.22					2	22.22		9	
		TOTAL					21	6.84																	71	23.13		42	13.68		161	52.44					12	3.91		307	
	NINTH							Excluded																	8	38.10		9	42.86		3	14.29					1	4.76		21	
		TOTAL																							79	25.73		51	16.61		164	53.42					13	4.23		307	
	TENTH																								7	53.85		5	38.46		1	7.69						Excluded		13	
		TOTAL																							86	28.01		56	18.24		165	53.75								307	
	ELEVENTH																								26	46.43			Excluded		30	53.57								56	
		TOTAL																							112	36.48					195	63.52								307	
																															Elected										
																																									
Orbost                                                         																																									
	FIRST			22	1.60		103	7.49		19	1.38		35	2.54		24	1.74		20	1.45		1	0.07		402	29.22		46	3.34		661	48.04		20	1.45		23	1.67		1376	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		22	1.60		103	7.49		19	1.38		35	2.54		24	1.74		20	1.45					403	29.29		46	3.34		661	48.04		20	1.45		23	1.67		1376	
	THIRD			11	55.00		1	5.00		0	0.00		0	0.00		1	5.00		0	0.00					2	10.00		2	10.00		1	5.00			Excluded		2	10.00		20	
		TOTAL		33	2.40		104	7.56		19	1.38		35	2.54		25	1.82		20	1.45					405	29.43		48	3.49		662	48.11					25	1.82		1376	
	FOURTH			3	15.00		0	0.00		1	5.00		2	10.00		4	20.00			Excluded					4	20.00		1	5.00		3	15.00					2	10.00		20	
		TOTAL		36	2.62		104	7.56		20	1.45		37	2.69		29	2.11								409	29.72		49	3.56		665	48.33					27	1.96		1376	
	FIFTH			3	10.34		2	6.90		0	0.00		10	34.48			Excluded								3	10.34		4	13.79		6	20.69					1	3.45		29	
		TOTAL		39	2.83		106	7.70		20	1.45		47	3.42											412	29.94		53	3.85		671	48.76					28	2.03		1376	
	SIXTH			10	21.28		2	4.26		8	17.02			Excluded											9	19.15		16	34.04		1	2.13					1	2.13		47	
		TOTAL		49	3.56		108	7.85		28	2.03														421	30.60		69	5.01		672	48.84					29	2.11		1376	
	SEVENTH				Excluded		14	28.57		8	16.33														2	4.08		21	42.86		2	4.08					2	4.08		49	
		TOTAL					122	8.87		36	2.62														423	30.74		90	6.54		674	48.98					31	2.25		1376	
	EIGHTH						9	25.00			Excluded														13	36.11		6	16.67		3	8.33					5	13.89		36	
		TOTAL					131	9.52																	436	31.69		96	6.98		677	49.20					36	2.62		1376	
	NINTH							Excluded																	42	32.06		63	48.09		20	15.27					6	4.58		131	
		TOTAL																							478	34.74		159	11.56		697	50.65					42	3.05		1376	
	TENTH																								15	35.71		22	52.38		5	11.90						Excluded		42	
		TOTAL																							493	35.83		181	13.15		702	51.02								1376	
	ELEVENTH																								99	54.70			Excluded		82	45.30								181	
		TOTAL																							592	43.02					784	56.98								1376	
																															Elected										
																																									
Paynesville                                                    																																									
	FIRST			24	1.14		129	6.12		62	2.94		69	3.27		25	1.19		19	0.90		6	0.28		588	27.88		69	3.27		999	47.37		53	2.51		66	3.13		2109	
	SECOND			4	66.67		1	16.67		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	16.67		0	0.00		0	0.00		0	0.00		0	0.00		6	
		TOTAL		28	1.33		130	6.16		62	2.94		69	3.27		25	1.19		19	0.90					589	27.93		69	3.27		999	47.37		53	2.51		66	3.13		2109	
	THIRD			23	43.40		4	7.55		0	0.00		1	1.89		3	5.66		2	3.77					7	13.21		7	13.21		6	11.32			Excluded		0	0.00		53	
		TOTAL		51	2.42		134	6.35		62	2.94		70	3.32		28	1.33		21	1.00					596	28.26		76	3.60		1005	47.65					66	3.13		2109	
	FOURTH			7	33.33		0	0.00		2	9.52		3	14.29		0	0.00			Excluded					3	14.29		2	9.52		2	9.52					2	9.52		21	
		TOTAL		58	2.75		134	6.35		64	3.03		73	3.46		28	1.33								599	28.40		78	3.70		1007	47.75					68	3.22		2109	
	FIFTH			5	17.86		2	7.14		3	10.71		7	25.00			Excluded								4	14.29		2	7.14		3	10.71					2	7.14		28	
		TOTAL		63	2.99		136	6.45		67	3.18		80	3.79											603	28.59		80	3.79		1010	47.89					70	3.32		2109	
	SIXTH			7	8.75		3	3.75		6	7.50			Excluded											7	8.75		44	55.00		12	15.00					1	1.25		80	
		TOTAL		70	3.32		139	6.59		73	3.46														610	28.92		124	5.88		1022	48.46					71	3.37		2109	
	SEVENTH				Excluded		12	17.14		9	12.86														4	5.71		36	51.43		2	2.86					7	10.00		70	
		TOTAL					151	7.16		82	3.89														614	29.11		160	7.59		1024	48.55					78	3.70		2109	
	EIGHTH						11	13.41			Excluded														19	23.17		13	15.85		11	13.41					28	34.15		82	
		TOTAL					162	7.68																	633	30.01		173	8.20		1035	49.08					106	5.03		2109	
	NINTH							Excluded																	36	22.22		85	52.47		27	16.67					14	8.64		162	
		TOTAL																							669	31.72		258	12.23		1062	50.36					120	5.69		2109	
	TENTH																								73	60.83		22	18.33		25	20.83						Excluded		120	
		TOTAL																							742	35.18		280	13.28		1087	51.54								2109	
	ELEVENTH																								146	52.14			Excluded		134	47.86								280	
		TOTAL																							888	42.11					1221	57.89								2109	
																															Elected										
																																									
Poowong                                                        																																									
