House of Representatives - 2001 Election: South Australia																									
Distribution of Preferences 																									
By Polling Place																									
																									
Barker																									
				DETCHON			RIGNEY			BALLINGER			WRIGHT			CORNISH			MILLER			SECKER			
		TOTAL		34	17.89		10	5.26		5	2.63		16	8.42					9	4.74		116	61.05		190
	THIRD			2	20.00			Excluded		1	10.00		2	20.00					3	30.00		2	20.00		10
		TOTAL		36	18.95					6	3.16		18	9.47					12	6.32		118	62.11		190
	FOURTH			4	66.67						Excluded		1	16.67					0	0.00		1	16.67		6
		TOTAL		40	21.05								19	10.00					12	6.32		119	62.63		190
	FIFTH			5	26.32									Excluded					6	31.58		8	42.11		19
		TOTAL		45	23.68														18	9.47		127	66.84		190
	SIXTH			14	77.78															Excluded		4	22.22		18
		TOTAL		59	31.05																	131	68.95		190
																						Elected			
																									
Padthaway                                                      																									
	FIRST			14	4.47		6	1.92		22	7.03		35	11.18		11	3.51		14	4.47		211	67.41		313
	SECOND			0	0.00		0	0.00		0	0.00		1	9.09			Excluded		1	9.09		9	81.82		11
		TOTAL		14	4.47		6	1.92		22	7.03		36	11.50					15	4.79		220	70.29		313
	THIRD			1	16.67			Excluded		1	16.67		0	0.00					0	0.00		4	66.67		6
		TOTAL		15	4.79					23	7.35		36	11.50					15	4.79		224	71.57		313
	FOURTH			1	4.35						Excluded		3	13.04					6	26.09		13	56.52		23
		TOTAL		16	5.11								39	12.46					21	6.71		237	75.72		313
	FIFTH			5	12.82									Excluded					10	25.64		24	61.54		39
		TOTAL		21	6.71														31	9.90		261	83.39		313
	SIXTH			20	64.52															Excluded		11	35.48		31
		TOTAL		41	13.10																	272	86.90		313
																						Elected			
																									
Parawa                                                         																									
	FIRST			9	8.82		3	2.94		5	4.90		3	2.94		0	0.00		4	3.92		78	76.47		102
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		9	8.82		3	2.94		5	4.90		3	2.94					4	3.92		78	76.47		102
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					3	100.00		0	0.00		3
		TOTAL		9	8.82					5	4.90		3	2.94					7	6.86		78	76.47		102
	FOURTH			1	20.00						Excluded		1	20.00					2	40.00		1	20.00		5
		TOTAL		10	9.80								4	3.92					9	8.82		79	77.45		102
	FIFTH			0	0.00									Excluded					2	50.00		2	50.00		4
		TOTAL		10	9.80														11	10.78		81	79.41		102
	SIXTH			4	36.36															Excluded		7	63.64		11
		TOTAL		14	13.73																	88	86.27		102
																						Elected			
																									
Parilla                                                        																									
	FIRST			9	10.23		1	1.14		4	4.55		5	5.68		2	2.27		1	1.14		66	75.00		88
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		1	50.00		2
		TOTAL		9	10.23		1	1.14		5	5.68		5	5.68					1	1.14		67	76.14		88
	THIRD			0	0.00			Excluded		0	0.00		1	100.00					0	0.00		0	0.00		1
		TOTAL		9	10.23					5	5.68		6	6.82					1	1.14		67	76.14		88
	FOURTH			1	20.00						Excluded		0	0.00					0	0.00		4	80.00		5
		TOTAL		10	11.36								6	6.82					1	1.14		71	80.68		88
	FIFTH			0	0.00									Excluded					2	33.33		4	66.67		6
		TOTAL		10	11.36														3	3.41		75	85.23		88
	SIXTH			2	66.67															Excluded		1	33.33		3
		TOTAL		12	13.64																	76	86.36		88
																						Elected			
																									
Parndana                                                       																									
	FIRST			32	8.02		10	2.51		29	7.27		29	7.27		4	1.00		56	14.04		239	59.90		399
	SECOND			0	0.00		0	0.00		4	100.00		0	0.00			Excluded		0	0.00		0	0.00		4
		TOTAL		32	8.02		10	2.51		33	8.27		29	7.27					56	14.04		239	59.90		399
	THIRD			4	40.00			Excluded		2	20.00		1	10.00					3	30.00		0	0.00		10
		TOTAL		36	9.02					35	8.77		30	7.52					59	14.79		239	59.90		399
	FOURTH			5	14.29						Excluded		7	20.00					7	20.00		16	45.71		35
		TOTAL		41	10.28								37	9.27					66	16.54		255	63.91		399
	FIFTH			3	8.11									Excluded					10	27.03		24	64.86		37
		TOTAL		44	11.03														76	19.05		279	69.92		399
	SIXTH			36	47.37															Excluded		40	52.63		76
		TOTAL		80	20.05																	319	79.95		399
																						Elected			
																									
Peake                                                          																									
	FIRST			14	8.64		1	0.62		4	2.47		11	6.79		8	4.94		6	3.70		118	72.84		162
	SECOND			0	0.00		0	0.00		2	25.00		3	37.50			Excluded		0	0.00		3	37.50		8
		TOTAL		14	8.64		1	0.62		6	3.70		14	8.64					6	3.70		121	74.69		162
	THIRD			0	0.00			Excluded		1	100.00		0	0.00					0	0.00		0	0.00		1
		TOTAL		14	8.64					7	4.32		14	8.64					6	3.70		121	74.69		162
	FOURTH			0	0.00						Excluded		1	14.29					2	28.57		4	57.14		7
		TOTAL		14	8.64								15	9.26					8	4.94		125	77.16		162
	FIFTH			2	13.33									Excluded					5	33.33		8	53.33		15
		TOTAL		16	9.88														13	8.02		133	82.10		162
	SIXTH			6	46.15															Excluded		7	53.85		13
		TOTAL		22	13.58																	140	86.42		162
																						Elected			
																									
Penneshaw                                                      																									
	FIRST			39	13.18		14	4.73		11	3.72		14	4.73		3	1.01		64	21.62		151	51.01		296
	SECOND			0	0.00		0	0.00		1	33.33		0	0.00			Excluded		1	33.33		1	33.33		3
		TOTAL		39	13.18		14	4.73		12	4.05		14	4.73					65	21.96		152	51.35		296
	THIRD			3	21.43			Excluded		3	21.43		1	7.14					5	35.71		2	14.29		14
		TOTAL		42	14.19					15	5.07		15	5.07					70	23.65		154	52.03		296
	FOURTH			0	0.00						Excluded		1	6.67					7	46.67		7	46.67		15
		TOTAL		42	14.19								16	5.41					77	26.01		161	54.39		296
	FIFTH			4	25.00									Excluded					6	37.50		6	37.50		16
		TOTAL		46	15.54														83	28.04		167	56.42		296
	SIXTH			54	65.06															Excluded		29	34.94		83
		TOTAL		100	33.78																	196	66.22		296
																						Elected			
																									
Penola                                                         																									
	FIRST			233	20.23		43	3.73		41	3.56		59	5.12		20	1.74		57	4.95		699	60.68		1152
	SECOND			0	0.00		2	10.00		6	30.00		5	25.00			Excluded		4	20.00		3	15.00		20
		TOTAL		233	20.23		45	3.91		47	4.08		64	5.56					61	5.30		702	60.94		1152
	THIRD			6	13.33			Excluded		19	42.22		2	4.44					12	26.67		6	13.33		45
		TOTAL		239	20.75					66	5.73		66	5.73					73	6.34		708	61.46		1152
	FOURTH			20	30.30						Excluded		8	12.12					18	27.27		20	30.30		66
		TOTAL		259	22.48								74	6.42					91	7.90		728	63.19		1152
	FIFTH			22	29.73									Excluded					22	29.73		30	40.54		74
		TOTAL		281	24.39														113	9.81		758	65.80		1152
	SIXTH			60	53.10															Excluded		53	46.90		113
		TOTAL		341	29.60																	811	70.40		1152
																						Elected			
																									
Pinnaroo                                                       																									
	FIRST			56	13.11		4	0.94		24	5.62		47	11.01		10	2.34		45	10.54		241	56.44		427
	SECOND			1	10.00		0	0.00		4	40.00		2	20.00			Excluded		1	10.00		2	20.00		10
		TOTAL		57	13.35		4	0.94		28	6.56		49	11.48					46	10.77		243	56.91		427
	THIRD			1	25.00			Excluded		1	25.00		1	25.00					1	25.00		0	0.00		4
		TOTAL		58	13.58					29	6.79		50	11.71					47	11.01		243	56.91		427
	FOURTH			4	13.79						Excluded		2	6.90					4	13.79		19	65.52		29
		TOTAL		62	14.52								52	12.18					51	11.94		262	61.36		427
	FIFTH			7	13.46									Excluded					22	42.31		23	44.23		52
		TOTAL		69	16.16														73	17.10		285	66.74		427
	SIXTH			41	56.16															Excluded		32	43.84		73
		TOTAL		110	25.76																	317	74.24		427
																						Elected			
																									
Ponde                                                          																									
	FIRST			22	17.32		7	5.51		1	0.79		10	7.87		2	1.57		11	8.66		74	58.27		127
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	100.00		2
		TOTAL		22	17.32		7	5.51		1	0.79		10	7.87					11	8.66		76	59.84		127
	THIRD			2	28.57			Excluded		2	28.57		0	0.00					1	14.29		2	28.57		7
		TOTAL		24	18.90					3	2.36		10	7.87					12	9.45		78	61.42		127
	FOURTH			0	0.00						Excluded		3	100.00					0	0.00		0	0.00		3
		TOTAL		24	18.90								13	10.24					12	9.45		78	61.42		127
	FIFTH			2	15.38									Excluded					9	69.23		2	15.38		13
		TOTAL		26	20.47														21	16.54		80	62.99		127
	SIXTH			11	52.38															Excluded		10	47.62		21
		TOTAL		37	29.13																	90	70.87		127
																						Elected			
																									
Port Elliot                                                    																									
	FIRST			262	25.29		80	7.72		21	2.03		55	5.31		7	0.68		97	9.36		514	49.61		1036
	SECOND			1	14.29		1	14.29		2	28.57		0	0.00			Excluded		1	14.29		2	28.57		7
		TOTAL		263	25.39		81	7.82		23	2.22		55	5.31					98	9.46		516	49.81		1036
	THIRD			19	23.46			Excluded		6	7.41		6	7.41					41	50.62		9	11.11		81
		TOTAL		282	27.22					29	2.80		61	5.89					139	13.42		525	50.68		1036
	FOURTH			4	13.79						Excluded		2	6.90					12	41.38		11	37.93		29
		TOTAL		286	27.61								63	6.08					151	14.58		536	51.74		1036
	FIFTH			11	17.46									Excluded					15	23.81		37	58.73		63
		TOTAL		297	28.67														166	16.02		573	55.31		1036
	SIXTH			112	67.47															Excluded		54	32.53		166
		TOTAL		409	39.48																	627	60.52		1036
																						Elected			
																									
Port MacDonnell                                                																									
	FIRST			163	25.08		15	2.31		20	3.08		96	14.77		8	1.23		21	3.23		327	50.31		650
	SECOND			0	0.00		0	0.00		3	37.50		3	37.50			Excluded		0	0.00		2	25.00		8
		TOTAL		163	25.08		15	2.31		23	3.54		99	15.23					21	3.23		329	50.62		650
	THIRD			2	13.33			Excluded		0	0.00		2	13.33					9	60.00		2	13.33		15
		TOTAL		165	25.38					23	3.54		101	15.54					30	4.62		331	50.92		650
	FOURTH			3	13.04						Excluded		6	26.09					4	17.39		10	43.48		23
		TOTAL		168	25.85								107	16.46					34	5.23		341	52.46		650
	FIFTH			15	14.02									Excluded					21	19.63		71	66.36		107
		TOTAL		183	28.15														55	8.46		412	63.38		650
	SIXTH			32	58.18															Excluded		23	41.82		55
		TOTAL		215	33.08																	435	66.92		650
																						Elected			
																									
Purnong                                                        																									
	FIRST			18	13.43		2	1.49		2	1.49		6	4.48		1	0.75		7	5.22		98	73.13		134
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		1
		TOTAL		18	13.43		2	1.49		2	1.49		6	4.48					7	5.22		99	73.88		134
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					2	100.00		0	0.00		2
		TOTAL		18	13.43					2	1.49		6	4.48					9	6.72		99	73.88		134
	FOURTH			1	50.00						Excluded		0	0.00					0	0.00		1	50.00		2
		TOTAL		19	14.18								6	4.48					9	6.72		100	74.63		134
	FIFTH			1	16.67									Excluded					3	50.00		2	33.33		6
		TOTAL		20	14.93														12	8.96		102	76.12		134
	SIXTH			6	50.00															Excluded		6	50.00		12
		TOTAL		26	19.40																	108	80.60		134
																						Elected			
																									
Rendelsham                                                     																									
	FIRST			33	22.60		4	2.74		6	4.11		9	6.16		3	2.05		5	3.42		86	58.90		146
	SECOND			0	0.00		1	33.33		0	0.00		2	66.67			Excluded		0	0.00		0	0.00		3
		TOTAL		33	22.60		5	3.42		6	4.11		11	7.53					5	3.42		86	58.90		146
	THIRD			2	40.00			Excluded		0	0.00		0	0.00					3	60.00		0	0.00		5
		TOTAL		35	23.97					6	4.11		11	7.53					8	5.48		86	58.90		146
	FOURTH			0	0.00						Excluded		3	50.00					1	16.67		2	33.33		6
		TOTAL		35	23.97								14	9.59					9	6.16		88	60.27		146
	FIFTH			6	42.86									Excluded					2	14.29		6	42.86		14
		TOTAL		41	28.08														11	7.53		94	64.38		146
	SIXTH			7	63.64															Excluded		4	36.36		11
		TOTAL		48	32.88																	98	67.12		146
																						Elected			
																									
Robe                                                           																									
	FIRST			118	14.90		26	3.28		32	4.04		54	6.82		6	0.76		25	3.16		531	67.05		792
	SECOND			1	16.67		0	0.00		1	16.67		1	16.67			Excluded		1	16.67		2	33.33		6
		TOTAL		119	15.03		26	3.28		33	4.17		55	6.94					26	3.28		533	67.30		792
	THIRD			8	30.77			Excluded		7	26.92		2	7.69					6	23.08		3	11.54		26
		TOTAL		127	16.04					40	5.05		57	7.20					32	4.04		536	67.68		792
	FOURTH			8	20.00						Excluded		5	12.50					10	25.00		17	42.50		40
		TOTAL		135	17.05								62	7.83					42	5.30		553	69.82		792
	FIFTH			9	14.52									Excluded					17	27.42		36	58.06		62
		TOTAL		144	18.18														59	7.45		589	74.37		792
	SIXTH			27	45.76															Excluded		32	54.24		59
		TOTAL		171	21.59																	621	78.41		792
																						Elected			
																									
Salt Creek                                                     																									
	FIRST			9	16.36		3	5.45		4	7.27		7	12.73		2	3.64		4	7.27		26	47.27		55
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00			Excluded		1	50.00		0	0.00		2
		TOTAL		9	16.36		3	5.45		5	9.09		7	12.73					5	9.09		26	47.27		55
	THIRD			1	33.33			Excluded		1	33.33		1	33.33					0	0.00		0	0.00		3
		TOTAL		10	18.18					6	10.91		8	14.55					5	9.09		26	47.27		55
	FOURTH			0	0.00						Excluded		1	16.67					0	0.00		5	83.33		6
		TOTAL		10	18.18								9	16.36					5	9.09		31	56.36		55
	FIFTH			6	66.67									Excluded					0	0.00		3	33.33		9
		TOTAL		16	29.09														5	9.09		34	61.82		55
	SIXTH			2	40.00															Excluded		3	60.00		5
		TOTAL		18	32.73																	37	67.27		55
																						Elected			
																									
Second Valley                                                  																									
	FIRST			28	29.47		5	5.26		0	0.00		4	4.21		1	1.05		14	14.74		43	45.26		95
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		1
		TOTAL		28	29.47		5	5.26		1	1.05		4	4.21					14	14.74		43	45.26		95
	THIRD			2	40.00			Excluded		0	0.00		1	20.00					2	40.00		0	0.00		5
		TOTAL		30	31.58					1	1.05		5	5.26					16	16.84		43	45.26		95
	FOURTH			1	100.00						Excluded		0	0.00					0	0.00		0	0.00		1
		TOTAL		31	32.63								5	5.26					16	16.84		43	45.26		95
	FIFTH			2	40.00									Excluded					2	40.00		1	20.00		5
		TOTAL		33	34.74														18	18.95		44	46.32		95
	SIXTH			10	55.56															Excluded		8	44.44		18
		TOTAL		43	45.26																	52	54.74		95
																						Elected			
																									
Sedan                                                          																									
	FIRST			22	14.01		9	5.73		3	1.91		11	7.01		0	0.00		8	5.10		104	66.24		157
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		22	14.01		9	5.73		3	1.91		11	7.01					8	5.10		104	66.24		157
	THIRD			1	11.11			Excluded		3	33.33		1	11.11					4	44.44		0	0.00		9
		TOTAL		23	14.65					6	3.82		12	7.64					12	7.64		104	66.24		157
	FOURTH			0	0.00						Excluded		1	16.67					4	66.67		1	16.67		6
		TOTAL		23	14.65								13	8.28					16	10.19		105	66.88		157
	FIFTH			5	38.46									Excluded					3	23.08		5	38.46		13
		TOTAL		28	17.83														19	12.10		110	70.06		157
	SIXTH			12	63.16															Excluded		7	36.84		19
		TOTAL		40	25.48																	117	74.52		157
																						Elected			
																									
Southend                                                       																									
	FIRST			18	10.78		3	1.80		4	2.40		23	13.77		1	0.60		4	2.40		114	68.26		167
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1
		TOTAL		19	11.38		3	1.80		4	2.40		23	13.77					4	2.40		114	68.26		167
	THIRD			2	66.67			Excluded		0	0.00		0	0.00					1	33.33		0	0.00		3
		TOTAL		21	12.57					4	2.40		23	13.77					5	2.99		114	68.26		167
	FOURTH			1	25.00						Excluded		1	25.00					0	0.00		2	50.00		4
		TOTAL		22	13.17								24	14.37					5	2.99		116	69.46		167
	FIFTH			5	20.83									Excluded					3	12.50		16	66.67		24
		TOTAL		27	16.17														8	4.79		132	79.04		167
	SIXTH			4	50.00															Excluded		4	50.00		8
		TOTAL		31	18.56																	136	81.44		167
																						Elected			
																									
Suttontown                                                     																									
	FIRST			175	23.84		15	2.04		22	3.00		75	10.22		7	0.95		29	3.95		411	55.99		734
	SECOND			1	14.29		0	0.00		4	57.14		0	0.00			Excluded		0	0.00		2	28.57		7
		TOTAL		176	23.98		15	2.04		26	3.54		75	10.22					29	3.95		413	56.27		734
	THIRD			3	20.00			Excluded		1	6.67		0	0.00					9	60.00		2	13.33		15
		TOTAL		179	24.39					27	3.68		75	10.22					38	5.18		415	56.54		734
	FOURTH			10	37.04						Excluded		4	14.81					6	22.22		7	25.93		27
		TOTAL		189	25.75								79	10.76					44	5.99		422	57.49		734
	FIFTH			14	17.72									Excluded					15	18.99		50	63.29		79
		TOTAL		203	27.66														59	8.04		472	64.31		734
	SIXTH			37	62.71															Excluded		22	37.29		59
		TOTAL		240	32.70																	494	67.30		734
																						Elected			
																									
Swan Reach                                                     																									
	FIRST			63	26.58		6	2.53		8	3.38		14	5.91		1	0.42		13	5.49		132	55.70		237
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1
		TOTAL		63	26.58		7	2.95		8	3.38		14	5.91					13	5.49		132	55.70		237
	THIRD			2	28.57			Excluded		2	28.57		0	0.00					1	14.29		2	28.57		7
		TOTAL		65	27.43					10	4.22		14	5.91					14	5.91		134	56.54		237
	FOURTH			2	20.00						Excluded		3	30.00					3	30.00		2	20.00		10
		TOTAL		67	28.27								17	7.17					17	7.17		136	57.38		237
	FIFTH			4	23.53									Excluded					5	29.41		8	47.06		17
		TOTAL		71	29.96														22	9.28		144	60.76		237
	SIXTH			18	81.82															Excluded		4	18.18		22
		TOTAL		89	37.55																	148	62.45		237
																						Elected			
																									
Tailem Bend                                                    																									
	FIRST			385	31.92		38	3.15		31	2.57		141	11.69		17	1.41		87	7.21		507	42.04		1206
	SECOND			0	0.00		0	0.00		8	47.06		2	11.76			Excluded		0	0.00		7	41.18		17
		TOTAL		385	31.92		38	3.15		39	3.23		143	11.86					87	7.21		514	42.62		1206
	THIRD			16	42.11			Excluded		2	5.26		8	21.05					10	26.32		2	5.26		38
		TOTAL		401	33.25					41	3.40		151	12.52					97	8.04		516	42.79		1206
	FOURTH			9	21.95						Excluded		12	29.27					9	21.95		11	26.83		41
		TOTAL		410	34.00								163	13.52					106	8.79		527	43.70		1206
	FIFTH			33	20.25									Excluded					40	24.54		90	55.21		163
		TOTAL		443	36.73														146	12.11		617	51.16		1206
	SIXTH			81	55.48															Excluded		65	44.52		146
		TOTAL		524	43.45																	682	56.55		1206
																						Elected			
																									
Tantanoola                                                     																									
	FIRST			66	24.35		11	4.06		12	4.43		20	7.38		3	1.11		8	2.95		151	55.72		271
	SECOND			0	0.00		0	0.00		2	66.67		0	0.00			Excluded		1	33.33		0	0.00		3
		TOTAL		66	24.35		11	4.06		14	5.17		20	7.38					9	3.32		151	55.72		271
	THIRD			3	27.27			Excluded		2	18.18		2	18.18					2	18.18		2	18.18		11
		TOTAL		69	25.46					16	5.90		22	8.12					11	4.06		153	56.46		271
	FOURTH			5	31.25						Excluded		3	18.75					4	25.00		4	25.00		16
		TOTAL		74	27.31								25	9.23					15	5.54		157	57.93		271
	FIFTH			6	24.00									Excluded					2	8.00		17	68.00		25
		TOTAL		80	29.52														17	6.27		174	64.21		271
	SIXTH			9	52.94															Excluded		8	47.06		17
		TOTAL		89	32.84																	182	67.16		271
																						Elected			
																									
Tarpeena                                                       																									
	FIRST			129	38.39		11	3.27		16	4.76		41	12.20		5	1.49		9	2.68		125	37.20		336
	SECOND			0	0.00		1	20.00		1	20.00		0	0.00			Excluded		2	40.00		1	20.00		5
		TOTAL		129	38.39		12	3.57		17	5.06		41	12.20					11	3.27		126	37.50		336
	THIRD			8	66.67			Excluded		0	0.00		1	8.33					1	8.33		2	16.67		12
		TOTAL		137	40.77					17	5.06		42	12.50					12	3.57		128	38.10		336
	FOURTH			4	23.53						Excluded		2	11.76					6	35.29		5	29.41		17
		TOTAL		141	41.96								44	13.10					18	5.36		133	39.58		336
	FIFTH			18	40.91									Excluded					11	25.00		15	34.09		44
		TOTAL		159	47.32														29	8.63		148	44.05		336
	SIXTH			17	58.62															Excluded		12	41.38		29
		TOTAL		176	52.38																	160	47.62		336
																						Elected			
																									
Tintinara                                                      																									
	FIRST			25	5.85		3	0.70		31	7.26		23	5.39		6	1.41		6	1.41		333	77.99		427
	SECOND			1	16.67		1	16.67		2	33.33		1	16.67			Excluded		0	0.00		1	16.67		6
		TOTAL		26	6.09		4	0.94		33	7.73		24	5.62					6	1.41		334	78.22		427
	THIRD			0	0.00			Excluded		0	0.00		1	25.00					2	50.00		1	25.00		4
		TOTAL		26	6.09					33	7.73		25	5.85					8	1.87		335	78.45		427
	FOURTH			3	9.09						Excluded		3	9.09					6	18.18		21	63.64		33
		TOTAL		29	6.79								28	6.56					14	3.28		356	83.37		427
	FIFTH			3	10.71									Excluded					6	21.43		19	67.86		28
		TOTAL		32	7.49														20	4.68		375	87.82		427
	SIXTH			9	45.00															Excluded		11	55.00		20
		TOTAL		41	9.60																	386	90.40		427
																						Elected			
																									
Victor Harbor                                                  																									
	FIRST			783	24.17		106	3.27		59	1.82		170	5.25		43	1.33		306	9.44		1773	54.72		3240
	SECOND			9	20.93		3	6.98		10	23.26		5	11.63			Excluded		5	11.63		11	25.58		43
		TOTAL		792	24.44		109	3.36		69	2.13		175	5.40					311	9.60		1784	55.06		3240
	THIRD			28	25.69			Excluded		23	21.10		8	7.34					41	37.61		9	8.26		109
		TOTAL		820	25.31					92	2.84		183	5.65					352	10.86		1793	55.34		3240
	FOURTH			16	17.39						Excluded		21	22.83					32	34.78		23	25.00		92
		TOTAL		836	25.80								204	6.30					384	11.85		1816	56.05		3240
	FIFTH			36	17.65									Excluded					46	22.55		122	59.80		204
		TOTAL		872	26.91														430	13.27		1938	59.81		3240
	SIXTH			266	61.86															Excluded		164	38.14		430
		TOTAL		1138	35.12																	2102	64.88		3240
																						Elected			
																									
Victor Harbor East                                             																									
	FIRST			260	22.15		28	2.39		20	1.70		53	4.51		13	1.11		87	7.41		713	60.73		1174
	SECOND			1	7.69		3	23.08		3	23.08		1	7.69			Excluded		1	7.69		4	30.77		13
		TOTAL		261	22.23		31	2.64		23	1.96		54	4.60					88	7.50		717	61.07		1174
	THIRD			11	35.48			Excluded		7	22.58		2	6.45					10	32.26		1	3.23		31
		TOTAL		272	23.17					30	2.56		56	4.77					98	8.35		718	61.16		1174
	FOURTH			7	23.33						Excluded		4	13.33					9	30.00		10	33.33		30
		TOTAL		279	23.76								60	5.11					107	9.11		728	62.01		1174
	FIFTH			13	21.67									Excluded					8	13.33		39	65.00		60
		TOTAL		292	24.87														115	9.80		767	65.33		1174
	SIXTH			75	65.22															Excluded		40	34.78		115
		TOTAL		367	31.26																	807	68.74		1174
																						Elected			
																									
Victor Harbor South                                            																									
	FIRST			437	24.35		80	4.46		22	1.23		96	5.35		21	1.17		138	7.69		1001	55.77		1795
	SECOND			2	9.52		0	0.00		7	33.33		1	4.76			Excluded		3	14.29		8	38.10		21
		TOTAL		439	24.46		80	4.46		29	1.62		97	5.40					141	7.86		1009	56.21		1795
	THIRD			21	26.25			Excluded		5	6.25		4	5.00					42	52.50		8	10.00		80
		TOTAL		460	25.63					34	1.89		101	5.63					183	10.19		1017	56.66		1795
	FOURTH			6	17.65						Excluded		10	29.41					7	20.59		11	32.35		34
		TOTAL		466	25.96								111	6.18					190	10.58		1028	57.27		1795
	FIFTH			14	12.61									Excluded					32	28.83		65	58.56		111
		TOTAL		480	26.74														222	12.37		1093	60.89		1795
	SIXTH			162	72.97															Excluded		60	27.03		222
		TOTAL		642	35.77																	1153	64.23		1795
																						Elected			
																									
Walker Flat                                                    																									
	FIRST			23	17.16		5	3.73		4	2.99		10	7.46		1	0.75		8	5.97		83	61.94		134
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		1
		TOTAL		23	17.16		5	3.73		4	2.99		10	7.46					8	5.97		84	62.69		134
	THIRD			3	60.00			Excluded		0	0.00		1	20.00					1	20.00		0	0.00		5
		TOTAL		26	19.40					4	2.99		11	8.21					9	6.72		84	62.69		134
	FOURTH			1	25.00						Excluded		1	25.00					0	0.00		2	50.00		4
		TOTAL		27	20.15								12	8.96					9	6.72		86	64.18		134
	FIFTH			3	25.00									Excluded					5	41.67		4	33.33		12
		TOTAL		30	22.39														14	10.45		90	67.16		134
	SIXTH			8	57.14															Excluded		6	42.86		14
		TOTAL		38	28.36																	96	71.64		134
																						Elected			
																									
Wanbi                                                          																									
	FIRST			10	15.15		0	0.00		0	0.00		2	3.03		4	6.06		5	7.58		45	68.18		66
	SECOND			0	0.00		0	0.00		2	50.00		0	0.00			Excluded		0	0.00		2	50.00		4
		TOTAL		10	15.15		0	0.00		2	3.03		2	3.03					5	7.58		47	71.21		66
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0
		TOTAL		10	15.15					2	3.03		2	3.03					5	7.58		47	71.21		66
	FOURTH			1	50.00						Excluded		1	50.00					0	0.00		0	0.00		2
		TOTAL		11	16.67								3	4.55					5	7.58		47	71.21		66
	FIFTH			0	0.00									Excluded					0	0.00		3	100.00		3
		TOTAL		11	16.67														5	7.58		50	75.76		66
	SIXTH			4	80.00															Excluded		1	20.00		5
		TOTAL		15	22.73																	51	77.27		66
																						Elected			
																									
Wellington West                                                																									
	FIRST			34	19.10		2	1.12		8	4.49		13	7.30		1	0.56		18	10.11		102	57.30		178
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1
		TOTAL		35	19.66		2	1.12		8	4.49		13	7.30					18	10.11		102	57.30		178
	THIRD			0	0.00			Excluded		1	50.00		0	0.00					1	50.00		0	0.00		2
		TOTAL		35	19.66					9	5.06		13	7.30					19	10.67		102	57.30		178
	FOURTH			1	11.11						Excluded		3	33.33					3	33.33		2	22.22		9
		TOTAL		36	20.22								16	8.99					22	12.36		104	58.43		178
	FIFTH			4	25.00									Excluded					4	25.00		8	50.00		16
		TOTAL		40	22.47														26	14.61		112	62.92		178
	SIXTH			14	53.85															Excluded		12	46.15		26
		TOTAL		54	30.34																	124	69.66		178
																						Elected			
																									
Western Flat                                                   																									
	FIRST			7	7.61		2	2.17		9	9.78		5	5.43		5	5.43		1	1.09		63	68.48		92
	SECOND			0	0.00		0	0.00		1	20.00		0	0.00			Excluded		1	20.00		3	60.00		5
		TOTAL		7	7.61		2	2.17		10	10.87		5	5.43					2	2.17		66	71.74		92
	THIRD			1	50.00			Excluded		0	0.00		0	0.00					0	0.00		1	50.00		2
		TOTAL		8	8.70					10	10.87		5	5.43					2	2.17		67	72.83		92
	FOURTH			0	0.00						Excluded		1	10.00					2	20.00		7	70.00		10
		TOTAL		8	8.70								6	6.52					4	4.35		74	80.43		92
	FIFTH			2	33.33									Excluded					1	16.67		3	50.00		6
		TOTAL		10	10.87														5	5.43		77	83.70		92
	SIXTH			3	60.00															Excluded		2	40.00		5
		TOTAL		13	14.13																	79	85.87		92
																						Elected			
																									
Willalooka                                                     																									
	FIRST			12	7.55		3	1.89		16	10.06		4	2.52		9	5.66		1	0.63		114	71.70		159
	SECOND			0	0.00		0	0.00		6	66.67		0	0.00			Excluded		1	11.11		2	22.22		9
		TOTAL		12	7.55		3	1.89		22	13.84		4	2.52					2	1.26		116	72.96		159
	THIRD			1	33.33			Excluded		1	33.33		0	0.00					1	33.33		0	0.00		3
		TOTAL		13	8.18					23	14.47		4	2.52					3	1.89		116	72.96		159
	FOURTH			3	13.04						Excluded		2	8.70					7	30.43		11	47.83		23
		TOTAL		16	10.06								6	3.77					10	6.29		127	79.87		159
