House of Representatives - 2001 Election: South Australia																										
Distribution of Preferences																										
By Polling Place																										
																										
Mayo																										
				MCLAREN			SPRAGG			DOWNER			CLARK			THOMAS			COOMBE			BRENNAN				
	FOURTH			24	35.82			Excluded		17	25.37		16	23.88								10	14.93		67	
		TOTAL		426	17.52					1364	56.09		154	6.33								488	20.07		2432	
	FIFTH			94	61.04					22	14.29			Excluded								38	24.68		154	
		TOTAL		520	21.38					1386	56.99											526	21.63		2432	
	SIXTH				Excluded					185	35.58											335	64.42		520	
		TOTAL								1571	64.60											861	35.40		2432	
										Elected																
																										
PROVISIONAL																										
	FIRST			58	16.52		11	3.13		160	45.58		25	7.12		9	2.56		2	0.57		86	24.50		351	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		2	
		TOTAL		58	16.52		11	3.13		160	45.58		25	7.12		9	2.56					88	25.07		351	
	THIRD			3	33.33		0	0.00		4	44.44		2	22.22			Excluded					0	0.00		9	
		TOTAL		61	17.38		11	3.13		164	46.72		27	7.69								88	25.07		351	
	FOURTH			4	36.36			Excluded		4	36.36		2	18.18								1	9.09		11	
		TOTAL		65	18.52					168	47.86		29	8.26								89	25.36		351	
	FIFTH			17	58.62					3	10.34			Excluded								9	31.03		29	
		TOTAL		82	23.36					171	48.72											98	27.92		351	
	SIXTH				Excluded					31	37.80											51	62.20		82	
		TOTAL								202	57.55											149	42.45		351	
										Elected																
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
