Senate - 2001 Election															
First Preference Votes by Candidate															
By Vote Type by Division															
															

South Australia															

Adelaide (86538)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
		"BEHN, Ervyn C"	CEC	11	0.02	2	0.04	0	0.00	1	0.03	0	0.00	14	0.02
		"McSHANE, Nicholas"	IND	32	0.05	1	0.02	0	0.00	1	0.03	4	0.12	38	0.05
		Ungrouped Total		84	0.13	7	0.13	0	0.00	4	0.12	9	0.27	104	0.13
			FORMAL	67109	96.20	5582	98.33	598	97.24	3201	98.86	3333	98.55	79823	96.55
			INFORMAL	2653	3.80	95	1.67	17	2.76	37	1.14	49	1.45	2851	3.45
			TOTAL	69762	84.38	5677	6.87	615	0.74	3238	3.92	3382	4.09	82674	95.73



Wakefield (86378)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	ALP	17161	24.21	1288	25.22	200	33.90	439	23.17	400	17.58	19488	24.13
		"WONG, Penny"	ALP	629	0.89	56	1.10	6	1.02	20	1.06	21	0.92	732	0.91
		"KIRK, Linda"	ALP	74	0.10	8	0.16	2	0.34	4	0.21	5	0.22	93	0.12
		"SCHACHT, Chris"	ALP	293	0.41	18	0.35	1	0.17	5	0.26	10	0.44	327	0.40
		Group Total	ALP	18157	25.61	1370	26.83	209	35.42	468	24.70	436	19.16	20640	25.56
B		TICKET VOTES	GRN	1590	2.24	159	3.11	33	5.59	67	3.54	28	1.23	1877	2.32
		"FAEHRMANN, Cate"	GRN	359	0.51	39	0.76	3	0.51	10	0.53	15	0.66	426	0.53
		"DOUGLAS, Jim"	GRN	34	0.05	5	0.10	0	0.00	2	0.11	2	0.09	43	0.05
		Group Total	GRN	1983	2.80	203	3.97	36	6.10	79	4.17	45	1.98	2346	2.91
C		TICKET VOTES	HAN	4478	6.32	283	5.54	44	7.46	127	6.70	181	7.96	5113	6.33
		"RUSSELL-TAYLOR, Neil"	HAN	757	1.07	38	0.74	3	0.51	12	0.63	49	2.15	859	1.06
		"GIBSON, Colin"	HAN	38	0.05	2	0.04	0	0.00	0	0.00	4	0.18	44	0.05
		Group Total	HAN	5273	7.44	323	6.32	47	7.97	139	7.34	234	10.29	6016	7.45
D		TICKET VOTES		70	0.10	2	0.04	0	0.00	1	0.05	2	0.09	75	0.09
		"NEWNAM, Kathy"		7	0.01	2	0.04	0	0.00	0	0.00	1	0.04	10	0.01
		"LINES, Lisa"		2	0.00	1	0.02	0	0.00	0	0.00	0	0.00	3	0.00
		Group Total		79	0.11	5	0.10	0	0.00	1	0.05	3	0.13	88	0.11
E		TICKET VOTES	LP	37065	52.29	2371	46.43	235	39.83	937	49.45	1283	56.40	41891	51.87
		"HILL, Robert"	LP	1294	1.83	77	1.51	3	0.51	31	1.64	61	2.68	1466	1.82
		"FERRIS, Jeannie"	LP	40	0.06	1	0.02	0	0.00	2	0.11	3	0.13	46	0.06
		"CHAPMAN, Grant"	LP	100	0.14	8	0.16	1	0.17	2	0.11	6	0.26	117	0.14
		"LENSINK, Michelle"	LP	48	0.07	3	0.06	0	0.00	2	0.11	1	0.04	54	0.07
		Group Total	LP	38547	54.38	2460	48.17	239	40.51	974	51.40	1354	59.52	43574	53.96
F		TICKET VOTES		39	0.06	2	0.04	0	0.00	4	0.21	0	0.00	45	0.06
		"ALDRIDGE, Mark"		17	0.02	0	0.00	0	0.00	0	0.00	0	0.00	17	0.02
		"ALDRIDGE, Helen"		1	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00
		Group Total		57	0.08	2	0.04	0	0.00	4	0.21	0	0.00	63	0.08
G		TICKET VOTES		11	0.02	1	0.02	0	0.00	0	0.00	1	0.04	13	0.02
		"HARTE, Kerry"		11	0.02	0	0.00	0	0.00	0	0.00	0	0.00	11	0.01
		"PHILLIPS, Colin"		9	0.01	0	0.00	0	0.00	0	0.00	0	0.00	9	0.01
		Group Total		31	0.04	1	0.02	0	0.00	0	0.00	1	0.04	33	0.04
H		TICKET VOTES	RPA	106	0.15	10	0.20	0	0.00	4	0.21	1	0.04	121	0.15
		"CROZIER, Patrick"	RPA	20	0.03	1	0.02	0	0.00	0	0.00	1	0.04	22	0.03
		"EASSON, Robert"	RPA	2	0.00	1	0.02	0	0.00	0	0.00	1	0.04	4	0.00
		Group Total	RPA	128	0.18	12	0.23	0	0.00	4	0.21	3	0.13	147	0.18
I		TICKET VOTES	DEM	5492	7.75	618	12.10	53	8.98	185	9.76	144	6.33	6492	8.04
		"STOTT DESPOJA, Natasha"	DEM	1036	1.46	97	1.90	6	1.02	38	2.01	47	2.07	1224	1.52
		"HEATH, Jeff"	DEM	15	0.02	4	0.08	0	0.00	0	0.00	0	0.00	19	0.02
		"PILLING, Michael"	DEM	6	0.01	1	0.02	0	0.00	0	0.00	1	0.04	8	0.01
		"HASSAN, Haroon"	DEM	8	0.01	1	0.02	0	0.00	2	0.11	0	0.00	11	0.01
		Group Total	DEM	6557	9.25	721	14.12	59	10.00	225	11.87	192	8.44	7754	9.60
UNGROUPED															
		"FISHLOCK, Kym"	IND	41	0.06	6	0.12	0	0.00	0	0.00	4	0.18	51	0.06
		"BEHN, Ervyn C"	CEC	10	0.01	2	0.04	0	0.00	1	0.05	1	0.04	14	0.02
		"McSHANE, Nicholas"	IND	26	0.04	2	0.04	0	0.00	0	0.00	2	0.09	30	0.04
		Ungrouped Total		77	0.11	10	0.20	0	0.00	1	0.05	7	0.31	95	0.12
			FORMAL	70889	96.56	5107	97.93	590	98.01	1895	98.96	2275	98.66	80756	96.77
			INFORMAL	2522	3.44	108	2.07	12	1.99	20	1.04	31	1.34	2693	3.23
			TOTAL	73411	87.97	5215	6.25	602	0.72	1915	2.29	2306	2.76	83449	96.61
