Senate - 1993 Election: Queensland																																														
First Preference Votes by Group																																														
By Polling Place																																														


Bowman (75360)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Wondecla		                                   	22	9.69	 	66	29.07	 	34	14.98	 	0	0	 	0	0	 	9	3.96	 	83	36.56	 	0	0	 	1	0.44	 	0	0	 	11	4.85	 	1	0.44	 	227	96.6	 	8	3.4	 	235	0.31
Yungaburra		                                 	33	3.78	 	350	40.05	 	153	17.51	 	7	0.8	 	0	0	 	41	4.69	 	212	24.26	 	0	0	 	1	0.11	 	1	0.11	 	76	8.7	 	0	0	 	874	98.31	 	15	1.69	 	889	1.17
Special Hospitals		                          	6	2.51	 	86	35.98	 	24	10.04	 	0	0	 	0	0	 	0	0	 	114	47.7	 	1	0.42	 	2	0.84	 	1	0.42	 	5	2.09	 	0	0	 	239	93.73	 	16	6.27	 	255	0.33
Prison Mobiles		                             	0	0	 	0	0	 	1	16.67	 	0	0	 	0	0	 	1	16.67	 	3	50	 	0	0	 	0	0	 	1	16.67	 	0	0	 	0	0	 	6	100	 	0	0	 	6	0.01
Total Ordinary		                             	2303	3.61	 	19718	30.92	 	10339	16.21	 	329	0.52	 	83	0.13	 	1184	1.86	 	26463	41.5	 	62	0.1	 	300	0.47	 	90	0.14	 	2830	4.44	 	62	0.1	 	63763	97.12	 	1892	2.88	 	65655	86.12
ABSENT		                                     	187	3.68	 	1376	27.1	 	1108	21.82	 	31	0.61	 	5	0.1	 	182	3.58	 	1865	36.73	 	2	0.04	 	19	0.37	 	12	0.24	 	284	5.59	 	7	0.14	 	5078	98.93	 	55	1.07	 	5133	6.73
POSTAL		                                     	117	3.05	 	2134	55.63	 	512	13.35	 	19	0.5	 	0	0	 	43	1.12	 	883	23.02	 	3	0.08	 	2	0.05	 	6	0.16	 	111	2.89	 	6	0.16	 	3836	99.22	 	30	0.78	 	3866	5.07
PRE_POLL		                                   	34	2.6	 	322	24.64	 	309	23.64	 	15	1.15	 	3	0.23	 	47	3.6	 	507	38.79	 	1	0.08	 	7	0.54	 	4	0.31	 	57	4.36	 	1	0.08	 	1307	98.87	 	15	1.13	 	1322	1.73
PROVISIONAL		                                	7	3.02	 	58	25	 	43	18.53	 	1	0.43	 	1	0.43	 	10	4.31	 	96	41.38	 	1	0.43	 	2	0.86	 	0	0	 	13	5.6	 	0	0	 	232	96.27	 	9	3.73	 	241	0.32
ADJUSTMENT		                                 	-2		       	1		       	-17		       	0		       	2		       	-4		       	24		       	-3		       	-4		       	-1		       	0		       	0		       	-4		       	22		       	18	
Division Summary		                           	2646	3.57	 	23609	31.81	 	12294	16.57	 	395	0.53	 	94	0.13	 	1462	1.97	 	29838	40.21	 	66	0.09	 	326	0.44	 	111	0.15	 	3295	4.44	 	76	0.1	 	74212	97.35	 	2023	2.65	 	76235	94.28
 																																														


Leichhardt (76867)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alexandra Bay		                              	0	0	 	32	22.86	 	28	20	 	2	1.43	 	0	0	 	7	5	 	42	30	 	0	0	 	0	0	 	1	0.71	 	27	19.29	 	1	0.71	 	140	97.22	 	4	2.78	 	144	0.2
Aloomba		                                    	2	0.81	 	107	43.5	 	34	13.82	 	4	1.63	 	0	0	 	4	1.63	 	78	31.71	 	0	0	 	1	0.41	 	0	0	 	12	4.88	 	4	1.63	 	246	99.6	 	1	0.4	 	247	0.34
Aurukun		                                    	10	2.39	 	16	3.83	 	14	3.35	 	3	0.72	 	2	0.48	 	5	1.2	 	358	85.65	 	2	0.48	 	1	0.24	 	3	0.72	 	4	0.96	 	0	0	 	418	96.09	 	17	3.91	 	435	0.6
Babinda		                                    	17	1.89	 	170	18.91	 	181	20.13	 	4	0.44	 	1	0.11	 	19	2.11	 	450	50.06	 	0	0	 	5	0.56	 	0	0	 	51	5.67	 	1	0.11	 	899	96.36	 	34	3.64	 	933	1.3
Badu Island		                                	7	3.21	 	12	5.5	 	21	9.63	 	4	1.83	 	0	0	 	8	3.67	 	154	70.64	 	1	0.46	 	6	2.75	 	0	0	 	5	2.29	 	0	0	 	218	96.04	 	9	3.96	 	227	0.32
Balaclava		                                  	24	1.18	 	263	12.89	 	671	32.89	 	5	0.25	 	3	0.15	 	49	2.4	 	871	42.7	 	1	0.05	 	6	0.29	 	8	0.39	 	133	6.52	 	6	0.29	 	2040	97.75	 	47	2.25	 	2087	2.9
Bamaga		                                     	14	4.23	 	22	6.65	 	74	22.36	 	4	1.21	 	0	0	 	3	0.91	 	196	59.21	 	1	0.3	 	6	1.81	 	2	0.6	 	8	2.42	 	1	0.3	 	331	92.98	 	25	7.02	 	356	0.49
Bayview Heights		                            	58	1.24	 	852	18.17	 	1578	33.66	 	13	0.28	 	3	0.06	 	96	2.05	 	1772	37.8	 	4	0.09	 	5	0.11	 	5	0.11	 	294	6.27	 	8	0.17	 	4688	98.36	 	78	1.64	 	4766	6.62
Bellenden Ker		                              	0	0	 	50	35.97	 	34	24.46	 	0	0	 	0	0	 	2	1.44	 	46	33.09	 	0	0	 	1	0.72	 	0	0	 	4	2.88	 	2	1.44	 	139	99.29	 	1	0.71	 	140	0.19
Bloomfield		                                 	16	7.41	 	47	21.76	 	39	18.06	 	2	0.93	 	0	0	 	9	4.17	 	95	43.98	 	0	0	 	0	0	 	0	0	 	7	3.24	 	1	0.46	 	216	90	 	24	10	 	240	0.33
Boigu Island		                               	2	1.85	 	8	7.41	 	10	9.26	 	3	2.78	 	2	1.85	 	3	2.78	 	74	68.52	 	1	0.93	 	2	1.85	 	2	1.85	 	1	0.93	 	0	0	 	108	93.1	 	8	6.9	 	116	0.16
Bramston Beach		                             	2	1.63	 	38	30.89	 	45	36.59	 	0	0	 	0	0	 	1	0.81	 	35	28.46	 	0	0	 	0	0	 	0	0	 	2	1.63	 	0	0	 	123	98.4	 	2	1.6	 	125	0.17
Brisbane City (Leichhardt)		                 	0	0	 	11	13.75	 	34	42.5	 	0	0	 	0	0	 	6	7.5	 	25	31.25	 	0	0	 	0	0	 	0	0	 	4	5	 	0	0	 	80	98.77	 	1	1.23	 	81	0.11
Bungalow		                                   	8	1.52	 	87	16.57	 	135	25.71	 	0	0	 	1	0.19	 	10	1.9	 	249	47.43	 	3	0.57	 	3	0.57	 	1	0.19	 	27	5.14	 	1	0.19	 	525	94.09	 	33	5.91	 	558	0.77
Cairns		                                     	15	0.85	 	241	13.67	 	559	31.71	 	11	0.62	 	0	0	 	96	5.45	 	670	38	 	1	0.06	 	6	0.34	 	5	0.28	 	143	8.11	 	16	0.91	 	1763	96.6	 	62	3.4	 	1825	2.53
Cairns Base Hospital		                       	9	1.39	 	67	10.34	 	185	28.55	 	1	0.15	 	0	0	 	36	5.56	 	302	46.6	 	1	0.15	 	1	0.15	 	1	0.15	 	42	6.48	 	3	0.46	 	648	97.59	 	16	2.41	 	664	0.92
Cairns North		                               	12	0.81	 	190	12.76	 	524	35.19	 	7	0.47	 	1	0.07	 	64	4.3	 	564	37.88	 	0	0	 	7	0.47	 	5	0.34	 	110	7.39	 	5	0.34	 	1489	97.9	 	32	2.1	 	1521	2.11
Cairns South		                               	13	1.09	 	172	14.44	 	373	31.32	 	2	0.17	 	3	0.25	 	50	4.2	 	479	40.22	 	1	0.08	 	3	0.25	 	2	0.17	 	87	7.3	 	6	0.5	 	1191	98.67	 	16	1.33	 	1207	1.68
Cairns West		                                	40	1.48	 	339	12.5	 	687	25.34	 	9	0.33	 	4	0.15	 	69	2.55	 	1360	50.17	 	1	0.04	 	14	0.52	 	7	0.26	 	170	6.27	 	11	0.41	 	2711	96.48	 	99	3.52	 	2810	3.9
Caravonica		                                 	29	1.44	 	315	15.69	 	678	33.76	 	15	0.75	 	0	0	 	59	2.94	 	717	35.71	 	3	0.15	 	2	0.1	 	3	0.15	 	175	8.72	 	12	0.6	 	2008	98.24	 	36	1.76	 	2044	2.84
Clifton Beach		                              	9	0.86	 	150	14.27	 	447	42.53	 	3	0.29	 	3	0.29	 	39	3.71	 	307	29.21	 	0	0	 	2	0.19	 	1	0.1	 	82	7.8	 	8	0.76	 	1051	99.15	 	9	0.85	 	1060	1.47
Coconut Island		                             	0	0	 	3	3.37	 	34	38.2	 	1	1.12	 	0	0	 	3	3.37	 	47	52.81	 	0	0	 	0	0	 	1	1.12	 	0	0	 	0	0	 	89	97.8	 	2	2.2	 	91	0.13
Coen		                                       	8	6.56	 	7	5.74	 	22	18.03	 	0	0	 	0	0	 	0	0	 	82	67.21	 	0	0	 	0	0	 	0	0	 	3	2.46	 	0	0	 	122	98.39	 	2	1.61	 	124	0.17
Cooktown		                                   	28	3.59	 	132	16.92	 	220	28.21	 	2	0.26	 	1	0.13	 	41	5.26	 	295	37.82	 	0	0	 	4	0.51	 	3	0.38	 	54	6.92	 	0	0	 	780	96.65	 	27	3.35	 	807	1.12
Daintree		                                   	3	1.81	 	61	36.75	 	25	15.06	 	3	1.81	 	0	0	 	12	7.23	 	42	25.3	 	0	0	 	2	1.2	 	1	0.6	 	16	9.64	 	1	0.6	 	166	98.81	 	2	1.19	 	168	0.23
Darnley Island		                             	1	1.01	 	9	9.09	 	22	22.22	 	2	2.02	 	0	0	 	4	4.04	 	57	57.58	 	2	2.02	 	1	1.01	 	0	0	 	1	1.01	 	0	0	 	99	99	 	1	1	 	100	0.14
Dauan Island		                               	3	4.62	 	2	3.08	 	6	9.23	 	1	1.54	 	1	1.54	 	1	1.54	 	50	76.92	 	0	0	 	1	1.54	 	0	0	 	0	0	 	0	0	 	65	98.48	 	1	1.52	 	66	0.09
Earlville		                                  	49	1.7	 	508	17.62	 	1008	34.96	 	13	0.45	 	5	0.17	 	53	1.84	 	1072	37.18	 	1	0.03	 	2	0.07	 	2	0.07	 	165	5.72	 	5	0.17	 	2883	97.96	 	60	2.04	 	2943	4.09
Edge Hill		                                  	60	1.44	 	623	14.93	 	1524	36.52	 	9	0.22	 	8	0.19	 	134	3.21	 	1457	34.91	 	2	0.05	 	4	0.1	 	8	0.19	 	337	8.08	 	7	0.17	 	4173	97.98	 	86	2.02	 	4259	5.91
Edmonton		                                   	30	1.58	 	427	22.5	 	533	28.08	 	10	0.53	 	2	0.11	 	46	2.42	 	717	37.78	 	0	0	 	6	0.32	 	5	0.26	 	117	6.16	 	5	0.26	 	1898	97.94	 	40	2.06	 	1938	2.69
Emerald Creek		                              	16	6.67	 	85	35.42	 	53	22.08	 	4	1.67	 	0	0	 	6	2.5	 	59	24.58	 	0	0	 	1	0.42	 	1	0.42	 	14	5.83	 	1	0.42	 	240	98.36	 	4	1.64	 	244	0.34
Freshwater		                                 	11	0.72	 	257	16.85	 	578	37.9	 	6	0.39	 	1	0.07	 	43	2.82	 	509	33.38	 	0	0	 	8	0.52	 	3	0.2	 	103	6.75	 	6	0.39	 	1525	98.45	 	24	1.55	 	1549	2.15
Gordonvale		                                 	42	1.82	 	626	27.1	 	454	19.65	 	9	0.39	 	4	0.17	 	44	1.9	 	970	41.99	 	2	0.09	 	6	0.26	 	4	0.17	 	146	6.32	 	3	0.13	 	2310	97.63	 	56	2.37	 	2366	3.29
Hambledon		                                  	16	1.53	 	200	19.1	 	274	26.17	 	6	0.57	 	0	0	 	14	1.34	 	459	43.84	 	1	0.1	 	3	0.29	 	3	0.29	 	68	6.49	 	3	0.29	 	1047	97.3	 	29	2.7	 	1076	1.49
Hammond Island		                             	2	2.78	 	3	4.17	 	12	16.67	 	3	4.17	 	0	0	 	1	1.39	 	47	65.28	 	2	2.78	 	0	0	 	1	1.39	 	1	1.39	 	0	0	 	72	97.3	 	2	2.7	 	74	0.1
Holloways Beach		                            	8	0.77	 	180	17.39	 	374	36.14	 	5	0.48	 	2	0.19	 	43	4.15	 	348	33.62	 	1	0.1	 	6	0.58	 	1	0.1	 	65	6.28	 	2	0.19	 	1035	97.37	 	28	2.63	 	1063	1.48
Hopevale		                                   	7	2.21	 	38	11.99	 	50	15.77	 	0	0	 	1	0.32	 	17	5.36	 	195	61.51	 	0	0	 	4	1.26	 	0	0	 	5	1.58	 	0	0	 	317	86.85	 	48	13.15	 	365	0.51
Horn Island		                                	8	4.52	 	13	7.34	 	37	20.9	 	1	0.56	 	0	0	 	7	3.95	 	103	58.19	 	0	0	 	3	1.69	 	1	0.56	 	4	2.26	 	0	0	 	177	96.72	 	6	3.28	 	183	0.25
Injinoo		                                    	9	3.4	 	12	4.53	 	21	7.92	 	10	3.77	 	2	0.75	 	21	7.92	 	181	68.3	 	0	0	 	5	1.89	 	2	0.75	 	2	0.75	 	0	0	 	265	94.98	 	14	5.02	 	279	0.39
Julatten		                                   	3	1.06	 	91	32.27	 	45	15.96	 	3	1.06	 	0	0	 	11	3.9	 	106	37.59	 	0	0	 	0	0	 	0	0	 	22	7.8	 	1	0.35	 	282	98.95	 	3	1.05	 	285	0.4
Kowanyama		                                  	24	6.28	 	41	10.73	 	98	25.65	 	4	1.05	 	2	0.52	 	16	4.19	 	187	48.95	 	1	0.26	 	0	0	 	5	1.31	 	4	1.05	 	0	0	 	382	87.41	 	55	12.59	 	437	0.61
Kubin		                                      	0	0	 	0	0	 	4	5.56	 	1	1.39	 	0	0	 	3	4.17	 	62	86.11	 	0	0	 	0	0	 	1	1.39	 	1	1.39	 	0	0	 	72	97.3	 	2	2.7	 	74	0.1
Kuranda		                                    	26	1.75	 	189	12.71	 	421	28.31	 	5	0.34	 	2	0.13	 	95	6.39	 	574	38.6	 	0	0	 	2	0.13	 	7	0.47	 	157	10.56	 	9	0.61	 	1487	98.02	 	30	1.98	 	1517	2.11
Laura		                                      	1	1.79	 	11	19.64	 	7	12.5	 	0	0	 	0	0	 	1	1.79	 	34	60.71	 	0	0	 	0	0	 	0	0	 	2	3.57	 	0	0	 	56	100	 	0	0	 	56	0.08
Lockhart River		                             	11	5	 	14	6.36	 	33	15	 	2	0.91	 	3	1.36	 	16	7.27	 	134	60.91	 	0	0	 	3	1.36	 	0	0	 	4	1.82	 	0	0	 	220	88.71	 	28	11.29	 	248	0.34
Mabuiag Island		                             	4	3.92	 	4	3.92	 	7	6.86	 	0	0	 	0	0	 	2	1.96	 	84	82.35	 	0	0	 	1	0.98	 	0	0	 	0	0	 	0	0	 	102	97.14	 	3	2.86	 	105	0.15
Mcdonnell Creek		                            	2	1.16	 	57	32.95	 	42	24.28	 	0	0	 	0	0	 	2	1.16	 	60	34.68	 	0	0	 	0	0	 	0	0	 	8	4.62	 	2	1.16	 	173	96.11	 	7	3.89	 	180	0.25
Machans Beach		                              	5	0.84	 	68	11.37	 	143	23.91	 	1	0.17	 	1	0.17	 	43	7.19	 	253	42.31	 	0	0	 	1	0.17	 	0	0	 	77	12.88	 	6	1	 	598	97.87	 	13	2.13	 	611	0.85
Mareeba (Leichhardt)		                       	13	3.39	 	104	27.15	 	99	25.85	 	2	0.52	 	1	0.26	 	18	4.7	 	118	30.81	 	0	0	 	2	0.52	 	0	0	 	26	6.79	 	0	0	 	383	97.7	 	9	2.3	 	392	0.54
Miallo		                                     	4	1.47	 	88	32.35	 	58	21.32	 	0	0	 	2	0.74	 	7	2.57	 	99	36.4	 	2	0.74	 	2	0.74	 	2	0.74	 	8	2.94	 	0	0	 	272	96.8	 	9	3.2	 	281	0.39
Miriwinni		                                  	1	0.22	 	195	41.94	 	132	28.39	 	4	0.86	 	2	0.43	 	5	1.08	 	114	24.52	 	0	0	 	3	0.65	 	0	0	 	8	1.72	 	1	0.22	 	465	97.28	 	13	2.72	 	478	0.66
Mossman		                                    	23	1.39	 	438	26.48	 	366	22.13	 	10	0.6	 	6	0.36	 	44	2.66	 	676	40.87	 	0	0	 	2	0.12	 	2	0.12	 	86	5.2	 	1	0.06	 	1654	96.95	 	52	3.05	 	1706	2.37
Mount Molloy		                               	2	1.2	 	35	20.96	 	30	17.96	 	1	0.6	 	0	0	 	6	3.59	 	77	46.11	 	0	0	 	0	0	 	0	0	 	15	8.98	 	1	0.6	 	167	97.66	 	4	2.34	 	171	0.24
Murray Island		                              	3	1.61	 	15	8.06	 	18	9.68	 	3	1.61	 	2	1.08	 	4	2.15	 	133	71.51	 	0	0	 	4	2.15	 	3	1.61	 	1	0.54	 	0	0	 	186	97.38	 	5	2.62	 	191	0.27
New Mapoon		                                 	5	3.21	 	5	3.21	 	18	11.54	 	4	2.56	 	2	1.28	 	16	10.26	 	103	66.03	 	0	0	 	2	1.28	 	0	0	 	1	0.64	 	0	0	 	156	96.89	 	5	3.11	 	161	0.22
Parramatta		                                 	46	1.88	 	252	10.32	 	704	28.82	 	9	0.37	 	4	0.16	 	100	4.09	 	1146	46.91	 	2	0.08	 	8	0.33	 	3	0.12	 	157	6.43	 	12	0.49	 	2443	97.29	 	68	2.71	 	2511	3.49
Pormpuraaw		                                 	19	6.88	 	12	4.35	 	36	13.04	 	4	1.45	 	0	0	 	4	1.45	 	194	70.29	 	1	0.36	 	2	0.72	 	0	0	 	4	1.45	 	0	0	 	276	99.64	 	1	0.36	 	277	0.38
Port Douglas		                               	4	0.37	 	153	13.99	 	490	44.79	 	3	0.27	 	0	0	 	42	3.84	 	323	29.52	 	0	0	 	5	0.46	 	2	0.18	 	71	6.49	 	1	0.09	 	1094	98.38	 	18	1.62	 	1112	1.54
Redlynch		                                   	16	1.79	 	160	17.94	 	308	34.53	 	5	0.56	 	1	0.11	 	36	4.04	 	297	33.3	 	1	0.11	 	1	0.11	 	2	0.22	 	64	7.17	 	1	0.11	 	892	98.56	 	13	1.44	 	905	1.26
Rocky Point		                                	1	0.55	 	47	25.82	 	61	33.52	 	1	0.55	 	0	0	 	1	0.55	 	64	35.16	 	0	0	 	0	0	 	1	0.55	 	6	3.3	 	0	0	 	182	97.33	 	5	2.67	 	187	0.26
Saibai Island		                              	0	0	 	7	5.51	 	24	18.9	 	4	3.15	 	0	0	 	7	5.51	 	81	63.78	 	1	0.79	 	1	0.79	 	0	0	 	1	0.79	 	1	0.79	 	127	97.69	 	3	2.31	 	130	0.18
St Pauls		                                   	1	1.12	 	0	0	 	2	2.25	 	0	0	 	0	0	 	0	0	 	82	92.13	 	0	0	 	3	3.37	 	0	0	 	1	1.12	 	0	0	 	89	96.74	 	3	3.26	 	92	0.13
Stephen Island		                             	0	0	 	1	6.67	 	1	6.67	 	0	0	 	0	0	 	1	6.67	 	12	80	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	15	100	 	0	0	 	15	0.02
Stratford		                                  	18	1.98	 	139	15.29	 	334	36.74	 	7	0.77	 	0	0	 	36	3.96	 	289	31.79	 	0	0	 	2	0.22	 	2	0.22	 	78	8.58	 	4	0.44	 	909	97.95	 	19	2.05	 	928	1.29
Tamwoy		                                     	4	1.28	 	18	5.75	 	42	13.42	 	4	1.28	 	0	0	 	5	1.6	 	231	73.8	 	0	0	 	7	2.24	 	1	0.32	 	1	0.32	 	0	0	 	313	96.6	 	11	3.4	 	324	0.45
Thursday Island		                            	26	3.51	 	71	9.58	 	154	20.78	 	5	0.67	 	2	0.27	 	20	2.7	 	413	55.74	 	1	0.13	 	4	0.54	 	2	0.27	 	43	5.8	 	0	0	 	741	94.64	 	42	5.36	 	783	1.09
Trinity Beach		                              	24	0.93	 	309	12.01	 	938	36.47	 	11	0.43	 	1	0.04	 	99	3.85	 	987	38.37	 	1	0.04	 	7	0.27	 	4	0.16	 	183	7.12	 	8	0.31	 	2572	98.7	 	34	1.3	 	2606	3.62
Warraber Island		                            	0	0	 	3	3.75	 	10	12.5	 	0	0	 	0	0	 	2	2.5	 	65	81.25	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	80	95.24	 	4	4.76	 	84	0.12
Weipa North		                                	68	6	 	72	6.35	 	246	21.71	 	2	0.18	 	0	0	 	21	1.85	 	644	56.84	 	0	0	 	5	0.44	 	2	0.18	 	73	6.44	 	0	0	 	1133	97.84	 	25	2.16	 	1158	1.61
Weipa South		                                	23	6.87	 	20	5.97	 	39	11.64	 	4	1.19	 	0	0	 	8	2.39	 	224	66.87	 	2	0.6	 	7	2.09	 	3	0.9	 	5	1.49	 	0	0	 	335	83.96	 	64	16.04	 	399	0.55
White Rock		                                 	20	1.39	 	242	16.77	 	416	28.83	 	9	0.62	 	0	0	 	40	2.77	 	608	42.13	 	0	0	 	5	0.35	 	2	0.14	 	97	6.72	 	4	0.28	 	1443	97.11	 	43	2.89	 	1486	2.06
Whitfield		                                  	15	0.81	 	304	16.32	 	725	38.92	 	9	0.48	 	2	0.11	 	39	2.09	 	617	33.12	 	0	0	 	3	0.16	 	4	0.21	 	143	7.68	 	2	0.11	 	1863	98.21	 	34	1.79	 	1897	2.63
Yam Island		                                 	3	2.48	 	5	4.13	 	11	9.09	 	1	0.83	 	0	0	 	1	0.83	 	98	80.99	 	0	0	 	0	0	 	2	1.65	 	0	0	 	0	0	 	121	98.37	 	2	1.63	 	123	0.17
Yarrabah		                                   	24	3.16	 	28	3.68	 	48	6.32	 	4	0.53	 	1	0.13	 	63	8.29	 	570	75	 	0	0	 	13	1.71	 	1	0.13	 	8	1.05	 	0	0	 	760	91.57	 	70	8.43	 	830	1.15
Yorke Island		                               	5	4	 	3	2.4	 	7	5.6	 	0	0	 	0	0	 	4	3.2	 	104	83.2	 	0	0	 	1	0.8	 	0	0	 	1	0.8	 	0	0	 	125	96.9	 	4	3.1	 	129	0.18
Yorkeys Knob		                               	5	0.46	 	159	14.48	 	415	37.8	 	1	0.09	 	0	0	 	46	4.19	 	385	35.06	 	1	0.09	 	1	0.09	 	2	0.18	 	77	7.01	 	6	0.55	 	1098	98.21	 	20	1.79	 	1118	1.55
Special Hospitals		                          	0	0	 	40	15.33	 	80	30.65	 	0	0	 	0	0	 	2	0.77	 	131	50.19	 	0	0	 	4	1.53	 	0	0	 	4	1.53	 	0	0	 	261	99.62	 	1	0.38	 	262	0.36
Total Ordinary		                             	1037	1.68	 	9775	15.81	 	18210	29.46	 	300	0.49	 	84	0.14	 	1991	3.22	 	25913	41.92	 	44	0.07	 	228	0.37	 	135	0.22	 	3926	6.35	 	179	0.29	 	61822	97.31	 	1708	2.69	 	63530	88.22
ABSENT		                                     	89	2.34	 	647	16.99	 	1119	29.39	 	23	0.6	 	6	0.16	 	166	4.36	 	1486	39.02	 	5	0.13	 	17	0.45	 	8	0.21	 	227	5.96	 	15	0.39	 	3808	98.7	 	50	1.3	 	3858	5.36
POSTAL		                                     	22	1.26	 	390	22.32	 	462	26.45	 	14	0.8	 	3	0.17	 	51	2.92	 	712	40.76	 	3	0.17	 	0	0	 	5	0.29	 	84	4.81	 	1	0.06	 	1747	99.04	 	17	0.96	 	1764	2.45
PRE_POLL		                                   	29	1.16	 	341	13.66	 	918	36.76	 	14	0.56	 	5	0.2	 	115	4.61	 	904	36.2	 	0	0	 	5	0.2	 	10	0.4	 	153	6.13	 	3	0.12	 	2497	98.89	 	28	1.11	 	2525	3.51
PROVISIONAL		                                	4	1.22	 	23	7.01	 	117	35.67	 	0	0	 	0	0	 	11	3.35	 	160	48.78	 	0	0	 	1	0.3	 	0	0	 	12	3.66	 	0	0	 	328	98.5	 	5	1.5	 	333	0.46
ADJUSTMENT		                                 	-1		       	0		       	-1		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	-2		       	2		       	0	
Division Summary		                           	1180	1.68	 	11176	15.92	 	20825	29.67	 	351	0.5	 	98	0.14	 	2334	3.32	 	29175	41.56	 	52	0.07	 	251	0.36	 	158	0.23	 	4402	6.27	 	198	0.28	 	70200	97.49	 	1810	2.51	 	72010	93.68
 																																														


Lilley (79277)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Albion		                                     	12	0.83	 	63	4.37	 	589	40.87	 	6	0.42	 	1	0.07	 	60	4.16	 	588	40.8	 	0	0	 	4	0.28	 	2	0.14	 	116	8.05	 	0	0	 	1441	96.91	 	46	3.09	 	1487	1.95
Ascot		                                      	11	0.41	 	229	8.43	 	1866	68.7	 	4	0.15	 	0	0	 	65	2.39	 	430	15.83	 	2	0.07	 	4	0.15	 	3	0.11	 	100	3.68	 	2	0.07	 	2716	98.58	 	39	1.42	 	2755	3.61
Aspley (Lilley)		                            	18	1.6	 	65	5.77	 	434	38.51	 	8	0.71	 	0	0	 	25	2.22	 	485	43.03	 	0	0	 	2	0.18	 	1	0.09	 	89	7.9	 	0	0	 	1127	98.6	 	16	1.4	 	1143	1.5
Aspley East		                                	36	1.46	 	147	5.98	 	1116	45.4	 	19	0.77	 	2	0.08	 	70	2.85	 	841	34.21	 	2	0.08	 	6	0.24	 	1	0.04	 	217	8.83	 	1	0.04	 	2458	98.36	 	41	1.64	 	2499	3.28
Aspley West (Lilley)		                       	4	1.69	 	13	5.51	 	103	43.64	 	1	0.42	 	0	0	 	7	2.97	 	90	38.14	 	0	0	 	2	0.85	 	0	0	 	16	6.78	 	0	0	 	236	98.33	 	4	1.67	 	240	0.31
Banyo		                                      	28	1.55	 	79	4.36	 	395	21.81	 	9	0.5	 	3	0.17	 	53	2.93	 	1100	60.74	 	0	0	 	6	0.33	 	1	0.06	 	137	7.56	 	0	0	 	1811	97.42	 	48	2.58	 	1859	2.44
Banyo East		                                 	31	1.71	 	87	4.8	 	472	26.03	 	11	0.61	 	1	0.06	 	62	3.42	 	996	54.94	 	1	0.06	 	7	0.39	 	2	0.11	 	141	7.78	 	2	0.11	 	1813	98.27	 	32	1.73	 	1845	2.42
Boondall		                                   	60	1.79	 	218	6.49	 	1139	33.91	 	10	0.3	 	4	0.12	 	119	3.54	 	1519	45.22	 	2	0.06	 	11	0.33	 	5	0.15	 	269	8.01	 	3	0.09	 	3359	97.31	 	93	2.69	 	3452	4.53
Boondall North		                             	12	2.1	 	25	4.38	 	131	22.94	 	3	0.53	 	1	0.18	 	19	3.33	 	321	56.22	 	1	0.18	 	1	0.18	 	0	0	 	57	9.98	 	0	0	 	571	98.96	 	6	1.04	 	577	0.76
Brighton		                                   	35	1.69	 	76	3.68	 	490	23.69	 	11	0.53	 	2	0.1	 	101	4.88	 	1146	55.42	 	0	0	 	8	0.39	 	1	0.05	 	197	9.53	 	1	0.05	 	2068	97.5	 	53	2.5	 	2121	2.78
Brighton South		                             	28	1.6	 	66	3.77	 	381	21.76	 	25	1.43	 	2	0.11	 	76	4.34	 	968	55.28	 	2	0.11	 	6	0.34	 	2	0.11	 	191	10.91	 	4	0.23	 	1751	97.28	 	49	2.72	 	1800	2.36
Brisbane City (Lilley)		                     	2	0.62	 	19	5.88	 	98	30.34	 	4	1.24	 	0	0	 	21	6.5	 	151	46.75	 	0	0	 	0	0	 	7	2.17	 	21	6.5	 	0	0	 	323	97.58	 	8	2.42	 	331	0.43
