Senate - 1993 Election: New South Wales																																																																												
First Preference Votes by Group																																																																												
By Polling Place																																																																												


Banks (79242)																																																																												

	   		Group Total GA			Group Total NLP			Group Total CEG			Group Total RPA			Group Total - Unendorsed Group E			Group Total CAP			Group Total ASP			Group Ttotal - Unendorsed Group H			Group Total LNP			Group Ttotal - Unendorsed Group J			Group Total DEM			Group Total ALP			Group Ttotal - Unendorsed Group M			Group Total GRN			Group Total CTA			Group Total AFI			Group Ttotal - Unendorsed Group Q			Group Total GRY			Group Ttotal - Unendorsed Group S			Group Ttotal - Unendorsed Group T			Group Ttotal - Unendorsed Group U			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Glenorie (Mitchell)		                        	12	1.5	 	2	0.25	 	0	0	 	1	0.13	 	5	0.63	 	20	2.5	 	13	1.63	 	0	0	 	527	65.88	 	0	0	 	29	3.63	 	150	18.75	 	0	0	 	9	1.13	 	24	3	 	4	0.5	 	0	0	 	0	0	 	0	0	 	1	0.13	 	1	0.13	 	2	0.25	 	800	97.92	 	17	2.08	 	817	1.18
Hillside Central		                           	2	0.93	 	0	0	 	1	0.47	 	0	0	 	0	0	 	7	3.26	 	4	1.86	 	1	0.47	 	142	66.05	 	0	0	 	11	5.12	 	40	18.6	 	0	0	 	4	1.86	 	0	0	 	3	1.4	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	215	97.73	 	5	2.27	 	220	0.32
Jasper Road		                                	41	0.91	 	1	0.02	 	3	0.07	 	9	0.2	 	29	0.64	 	5	0.11	 	45	1	 	2	0.04	 	2402	53.12	 	5	0.11	 	252	5.57	 	1529	33.81	 	0	0	 	80	1.77	 	68	1.5	 	35	0.77	 	0	0	 	12	0.27	 	1	0.02	 	1	0.02	 	0	0	 	2	0.04	 	4522	97.79	 	102	2.21	 	4624	6.65
Kellyville		                                 	40	1.38	 	5	0.17	 	1	0.03	 	9	0.31	 	26	0.9	 	13	0.45	 	32	1.1	 	2	0.07	 	1733	59.8	 	2	0.07	 	122	4.21	 	768	26.5	 	2	0.07	 	53	1.83	 	52	1.79	 	24	0.83	 	1	0.03	 	9	0.31	 	0	0	 	0	0	 	1	0.03	 	3	0.1	 	2898	97.09	 	87	2.91	 	2985	4.29
Kenthurst		                                  	30	1.32	 	4	0.18	 	5	0.22	 	5	0.22	 	10	0.44	 	19	0.83	 	29	1.27	 	1	0.04	 	1541	67.68	 	1	0.04	 	111	4.87	 	392	17.22	 	0	0	 	39	1.71	 	63	2.77	 	19	0.83	 	0	0	 	4	0.18	 	0	0	 	0	0	 	0	0	 	4	0.18	 	2277	97.77	 	52	2.23	 	2329	3.35
Kilvinton		                                  	2	0.65	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	241	78.76	 	0	0	 	6	1.96	 	51	16.67	 	0	0	 	1	0.33	 	5	1.63	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	306	93.29	 	22	6.71	 	328	0.47
Maraylya		                                   	6	0.74	 	0	0	 	0	0	 	0	0	 	3	0.37	 	5	0.62	 	20	2.48	 	0	0	 	525	64.98	 	0	0	 	29	3.59	 	187	23.14	 	0	0	 	13	1.61	 	9	1.11	 	6	0.74	 	0	0	 	3	0.37	 	0	0	 	0	0	 	0	0	 	2	0.25	 	808	97.94	 	17	2.06	 	825	1.19
Maroota		                                    	1	0.44	 	0	0	 	0	0	 	0	0	 	2	0.89	 	3	1.33	 	6	2.67	 	0	0	 	147	65.33	 	0	0	 	7	3.11	 	52	23.11	 	0	0	 	2	0.89	 	3	1.33	 	2	0.89	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	225	97.4	 	6	2.6	 	231	0.33
Maroota South		                              	4	1.31	 	0	0	 	0	0	 	0	0	 	2	0.66	 	3	0.98	 	9	2.95	 	1	0.33	 	204	66.89	 	0	0	 	13	4.26	 	61	20	 	0	0	 	5	1.64	 	0	0	 	1	0.33	 	0	0	 	2	0.66	 	0	0	 	0	0	 	0	0	 	0	0	 	305	98.71	 	4	1.29	 	309	0.44
Matthew Pearce		                             	4	0.67	 	1	0.17	 	0	0	 	2	0.33	 	1	0.17	 	0	0	 	2	0.33	 	0	0	 	301	50.17	 	0	0	 	41	6.83	 	216	36	 	1	0.17	 	6	1	 	17	2.83	 	5	0.83	 	0	0	 	2	0.33	 	0	0	 	0	0	 	0	0	 	1	0.17	 	600	96	 	25	4	 	625	0.9
Middle Dural (Mitchell)		                    	10	2	 	1	0.2	 	0	0	 	1	0.2	 	2	0.4	 	6	1.2	 	8	1.6	 	1	0.2	 	363	72.6	 	0	0	 	31	6.2	 	62	12.4	 	0	0	 	6	1.2	 	5	1	 	1	0.2	 	0	0	 	0	0	 	1	0.2	 	0	0	 	0	0	 	2	0.4	 	500	97.28	 	14	2.72	 	514	0.74
Model Farms		                                	30	1.26	 	3	0.13	 	0	0	 	5	0.21	 	18	0.76	 	3	0.13	 	16	0.67	 	1	0.04	 	1275	53.64	 	3	0.13	 	118	4.96	 	815	34.29	 	1	0.04	 	26	1.09	 	24	1.01	 	30	1.26	 	0	0	 	6	0.25	 	0	0	 	2	0.08	 	0	0	 	1	0.04	 	2377	97.82	 	53	2.18	 	2430	3.5
Mowll		                                      	7	1.25	 	0	0	 	0	0	 	0	0	 	1	0.18	 	1	0.18	 	1	0.18	 	1	0.18	 	417	74.33	 	1	0.18	 	20	3.57	 	88	15.69	 	2	0.36	 	1	0.18	 	10	1.78	 	3	0.53	 	1	0.18	 	7	1.25	 	0	0	 	0	0	 	0	0	 	0	0	 	561	95.9	 	24	4.1	 	585	0.84
Muirfield		                                  	15	1.19	 	1	0.08	 	0	0	 	1	0.08	 	12	0.95	 	3	0.24	 	11	0.87	 	0	0	 	682	54.21	 	0	0	 	77	6.12	 	409	32.51	 	0	0	 	18	1.43	 	15	1.19	 	8	0.64	 	0	0	 	5	0.4	 	0	0	 	0	0	 	0	0	 	1	0.08	 	1258	98.74	 	16	1.26	 	1274	1.83
Murray Farm		                                	23	0.66	 	8	0.23	 	3	0.09	 	6	0.17	 	16	0.46	 	7	0.2	 	19	0.55	 	1	0.03	 	2058	59.48	 	3	0.09	 	207	5.98	 	929	26.85	 	1	0.03	 	59	1.71	 	73	2.11	 	33	0.95	 	0	0	 	9	0.26	 	2	0.06	 	0	0	 	0	0	 	3	0.09	 	3460	98.04	 	69	1.96	 	3529	5.08
Nuffield		                                   	10	1.9	 	0	0	 	0	0	 	2	0.38	 	2	0.38	 	0	0	 	0	0	 	2	0.38	 	390	74	 	0	0	 	10	1.9	 	88	16.7	 	0	0	 	3	0.57	 	9	1.71	 	3	0.57	 	0	0	 	7	1.33	 	1	0.19	 	0	0	 	0	0	 	0	0	 	527	97.05	 	16	2.95	 	543	0.78
Oakhill Drive		                              	8	0.87	 	1	0.11	 	0	0	 	1	0.11	 	5	0.55	 	0	0	 	8	0.87	 	0	0	 	559	61.03	 	0	0	 	32	3.49	 	274	29.91	 	0	0	 	12	1.31	 	12	1.31	 	2	0.22	 	0	0	 	2	0.22	 	0	0	 	0	0	 	0	0	 	0	0	 	916	96.52	 	33	3.48	 	949	1.37
Oakville		                                   	25	1.94	 	5	0.39	 	2	0.16	 	0	0	 	12	0.93	 	13	1.01	 	13	1.01	 	2	0.16	 	815	63.28	 	2	0.16	 	73	5.67	 	284	22.05	 	1	0.08	 	15	1.16	 	11	0.85	 	13	1.01	 	0	0	 	1	0.08	 	0	0	 	0	0	 	0	0	 	1	0.08	 	1288	98.17	 	24	1.83	 	1312	1.89
Pitt Town		                                  	13	1.51	 	0	0	 	0	0	 	0	0	 	4	0.47	 	8	0.93	 	31	3.6	 	0	0	 	490	56.98	 	0	0	 	38	4.42	 	257	29.88	 	0	0	 	4	0.47	 	7	0.81	 	5	0.58	 	0	0	 	3	0.35	 	0	0	 	0	0	 	0	0	 	0	0	 	860	97.73	 	20	2.27	 	880	1.27
Rondelay		                                   	23	0.97	 	1	0.04	 	3	0.13	 	3	0.13	 	21	0.89	 	8	0.34	 	19	0.81	 	1	0.04	 	1388	58.81	 	3	0.13	 	115	4.87	 	663	28.09	 	0	0	 	31	1.31	 	52	2.2	 	21	0.89	 	0	0	 	5	0.21	 	1	0.04	 	0	0	 	0	0	 	2	0.08	 	2360	98.33	 	40	1.67	 	2400	3.45
Rouse Hill		                                 	21	2.06	 	4	0.39	 	0	0	 	1	0.1	 	5	0.49	 	2	0.2	 	26	2.56	 	0	0	 	688	67.65	 	2	0.2	 	44	4.33	 	179	17.6	 	1	0.1	 	11	1.08	 	16	1.57	 	13	1.28	 	0	0	 	2	0.2	 	0	0	 	0	0	 	2	0.2	 	0	0	 	1017	97.32	 	28	2.68	 	1045	1.5
Samuel Gilbert		                             	28	1.07	 	9	0.35	 	3	0.12	 	2	0.08	 	22	0.84	 	3	0.12	 	19	0.73	 	0	0	 	1631	62.56	 	4	0.15	 	131	5.02	 	680	26.08	 	1	0.04	 	25	0.96	 	24	0.92	 	14	0.54	 	1	0.04	 	8	0.31	 	0	0	 	0	0	 	0	0	 	2	0.08	 	2607	98.68	 	35	1.32	 	2642	3.8
Sydney (Mitchell)		                          	1	1.27	 	0	0	 	0	0	 	0	0	 	1	1.27	 	0	0	 	0	0	 	0	0	 	33	41.77	 	0	0	 	7	8.86	 	32	40.51	 	0	0	 	4	5.06	 	0	0	 	1	1.27	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	79	98.75	 	1	1.25	 	80	0.12
Thompsons Corner (Mitchell)		                	30	1.51	 	3	0.15	 	3	0.15	 	4	0.2	 	15	0.75	 	4	0.2	 	10	0.5	 	1	0.05	 	1209	60.78	 	0	0	 	109	5.48	 	485	24.38	 	0	0	 	46	2.31	 	53	2.66	 	9	0.45	 	0	0	 	5	0.25	 	2	0.1	 	0	0	 	0	0	 	1	0.05	 	1989	98.76	 	25	1.24	 	2014	2.9
Wirreanda		                                  	8	1.31	 	0	0	 	0	0	 	1	0.16	 	4	0.65	 	0	0	 	4	0.65	 	0	0	 	416	67.97	 	1	0.16	 	22	3.59	 	137	22.39	 	0	0	 	7	1.14	 	9	1.47	 	3	0.49	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	612	98.23	 	11	1.77	 	623	0.9
Wisemans Ferry		                             	3	1.97	 	0	0	 	1	0.66	 	0	0	 	1	0.66	 	5	3.29	 	3	1.97	 	0	0	 	89	58.55	 	0	0	 	4	2.63	 	39	25.66	 	0	0	 	0	0	 	7	4.61	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	152	96.82	 	5	3.18	 	157	0.23
Special Hospitals		                          	2	4.26	 	1	2.13	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	36	76.6	 	0	0	 	2	4.26	 	2	4.26	 	0	0	 	0	0	 	2	4.26	 	0	0	 	0	0	 	2	4.26	 	0	0	 	0	0	 	0	0	 	0	0	 	47	97.92	 	1	2.08	 	48	0.07
Total Ordinary		                             	608	1.03	 	95	0.16	 	40	0.07	 	103	0.17	 	421	0.71	 	249	0.42	 	563	0.95	 	29	0.05	 	35813	60.45	 	48	0.08	 	2853	4.82	 	15699	26.5	 	15	0.03	 	926	1.56	 	1054	1.78	 	489	0.83	 	6	0.01	 	165	0.28	 	12	0.02	 	6	0.01	 	10	0.02	 	39	0.07	 	59243	97.94	 	1243	2.06	 	60486	87.01
ABSENT		                                     	60	1.29	 	16	0.34	 	1	0.02	 	9	0.19	 	39	0.84	 	14	0.3	 	65	1.39	 	0	0	 	2446	52.49	 	5	0.11	 	250	5.36	 	1474	31.63	 	2	0.04	 	128	2.75	 	88	1.89	 	42	0.9	 	0	0	 	9	0.19	 	1	0.02	 	1	0.02	 	0	0	 	10	0.21	 	4660	98.5	 	71	1.5	 	4731	6.81
POSTAL		                                     	7	0.47	 	0	0	 	1	0.07	 	4	0.27	 	12	0.81	 	5	0.34	 	11	0.74	 	0	0	 	1015	68.3	 	2	0.13	 	69	4.64	 	289	19.45	 	0	0	 	12	0.81	 	28	1.88	 	22	1.48	 	0	0	 	7	0.47	 	0	0	 	0	0	 	1	0.07	 	1	0.07	 	1486	99.33	 	10	0.67	 	1496	2.15
PRE_POLL		                                   	24	0.99	 	1	0.04	 	2	0.08	 	2	0.08	 	13	0.54	 	8	0.33	 	19	0.79	 	0	0	 	1545	64	 	2	0.08	 	126	5.22	 	556	23.03	 	0	0	 	35	1.45	 	50	2.07	 	20	0.83	 	0	0	 	9	0.37	 	1	0.04	 	0	0	 	0	0	 	1	0.04	 	2414	99.3	 	17	0.7	 	2431	3.5
PROVISIONAL		                                	7	1.94	 	0	0	 	0	0	 	2	0.55	 	2	0.55	 	1	0.28	 	0	0	 	1	0.28	 	203	56.23	 	0	0	 	14	3.88	 	114	31.58	 	0	0	 	7	1.94	 	7	1.94	 	2	0.55	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.28	 	0	0	 	361	97.04	 	11	2.96	 	372	0.54
ADJUSTMENT		                                 	0		       	6		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	-6		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	706	1.04	 	118	0.17	 	44	0.06	 	120	0.18	 	487	0.71	 	277	0.41	 	658	0.97	 	30	0.04	 	41022	60.18	 	57	0.08	 	3312	4.86	 	18132	26.6	 	17	0.02	 	1108	1.63	 	1227	1.8	 	569	0.83	 	6	0.01	 	190	0.28	 	14	0.02	 	7	0.01	 	12	0.02	 	51	0.07	 	68164	98.06	 	1352	1.94	 	69516	97.38


New England (75009)																																																																												

	   		Group Total GA			Group Total NLP			Group Total CEG			Group Total RPA			Group Total - Unendorsed Group E			Group Total CAP			Group Total ASP			Group Ttotal - Unendorsed Group H			Group Total LNP			Group Ttotal - Unendorsed Group J			Group Total DEM			Group Total ALP			Group Ttotal - Unendorsed Group M			Group Total GRN			Group Total CTA			Group Total AFI			Group Ttotal - Unendorsed Group Q			Group Total GRY			Group Ttotal - Unendorsed Group S			Group Ttotal - Unendorsed Group T			Group Ttotal - Unendorsed Group U			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Arding		                                     	7	2.67	 	0	0	 	0	0	 	1	0.38	 	2	0.76	 	3	1.15	 	17	6.49	 	0	0	 	100	38.17	 	2	0.76	 	22	8.4	 	70	26.72	 	0	0	 	13	4.96	 	21	8.02	 	1	0.38	 	0	0	 	2	0.76	 	0	0	 	0	0	 	0	0	 	1	0.38	 	262	99.24	 	2	0.76	 	264	0.36
Armidale		                                   	40	1.52	 	7	0.27	 	4	0.15	 	5	0.19	 	7	0.27	 	8	0.3	 	118	4.49	 	1	0.04	 	1084	41.22	 	8	0.3	 	242	9.2	 	897	34.11	 	1	0.04	 	129	4.9	 	58	2.21	 	14	0.53	 	0	0	 	3	0.11	 	0	0	 	0	0	 	0	0	 	4	0.15	 	2630	97.59	 	65	2.41	 	2695	3.71
Armidale East		                              	18	1.19	 	2	0.13	 	1	0.07	 	2	0.13	 	7	0.46	 	5	0.33	 	53	3.51	 	0	0	 	533	35.34	 	1	0.07	 	115	7.63	 	680	45.09	 	2	0.13	 	42	2.79	 	21	1.39	 	12	0.8	 	1	0.07	 	7	0.46	 	0	0	 	0	0	 	1	0.07	 	5	0.33	 	1508	97.42	 	40	2.58	 	1548	2.13
Armidale Hospital		                          	15	2.8	 	2	0.37	 	1	0.19	 	2	0.37	 	1	0.19	 	4	0.75	 	18	3.36	 	0	0	 	207	38.69	 	2	0.37	 	41	7.66	 	208	38.88	 	0	0	 	20	3.74	 	8	1.5	 	4	0.75	 	0	0	 	0	0	 	1	0.19	 	1	0.19	 	0	0	 	0	0	 	535	97.1	 	16	2.9	 	551	0.76
Armidale South		                             	19	1.73	 	0	0	 	0	0	 	1	0.09	 	1	0.09	 	3	0.27	 	26	2.37	 	1	0.09	 	413	37.68	 	1	0.09	 	115	10.49	 	378	34.49	 	0	0	 	87	7.94	 	37	3.38	 	6	0.55	 	0	0	 	1	0.09	 	0	0	 	1	0.09	 	0	0	 	6	0.55	 	1096	98.56	 	16	1.44	 	1112	1.53
Armidale University		                        	4	1.06	 	2	0.53	 	0	0	 	2	0.53	 	0	0	 	2	0.53	 	10	2.66	 	1	0.27	 	145	38.56	 	1	0.27	 	43	11.44	 	132	35.11	 	0	0	 	26	6.91	 	3	0.8	 	4	1.06	 	0	0	 	1	0.27	 	0	0	 	0	0	 	0	0	 	0	0	 	376	99.73	 	1	0.27	 	377	0.52
Armidale West		                              	44	1.69	 	7	0.27	 	3	0.11	 	4	0.15	 	5	0.19	 	10	0.38	 	175	6.7	 	0	0	 	903	34.58	 	4	0.15	 	172	6.59	 	1095	41.94	 	0	0	 	105	4.02	 	41	1.57	 	24	0.92	 	0	0	 	14	0.54	 	0	0	 	1	0.04	 	1	0.04	 	3	0.11	 	2611	97.32	 	72	2.68	 	2683	3.7
Attunga		                                    	7	1.63	 	3	0.7	 	1	0.23	 	0	0	 	0	0	 	2	0.47	 	71	16.55	 	0	0	 	211	49.18	 	0	0	 	16	3.73	 	100	23.31	 	0	0	 	2	0.47	 	12	2.8	 	4	0.93	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	429	97.95	 	9	2.05	 	438	0.6
Bendemeer		                                  	3	0.82	 	0	0	 	0	0	 	0	0	 	1	0.27	 	3	0.82	 	62	16.99	 	0	0	 	179	49.04	 	0	0	 	16	4.38	 	88	24.11	 	0	0	 	7	1.92	 	5	1.37	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.27	 	0	0	 	365	98.38	 	6	1.62	 	371	0.51
Ben Lomond		                                 	0	0	 	1	0.82	 	0	0	 	0	0	 	0	0	 	1	0.82	 	16	13.11	 	1	0.82	 	84	68.85	 	0	0	 	5	4.1	 	10	8.2	 	0	0	 	0	0	 	2	1.64	 	1	0.82	 	0	0	 	1	0.82	 	0	0	 	0	0	 	0	0	 	0	0	 	122	97.6	 	3	2.4	 	125	0.17
Ben Venue		                                  	29	1.13	 	7	0.27	 	1	0.04	 	1	0.04	 	1	0.04	 	11	0.43	 	138	5.36	 	3	0.12	 	1162	45.11	 	0	0	 	181	7.03	 	832	32.3	 	2	0.08	 	123	4.77	 	58	2.25	 	15	0.58	 	0	0	 	4	0.16	 	2	0.08	 	0	0	 	0	0	 	6	0.23	 	2576	97.95	 	54	2.05	 	2630	3.62
Black Mountain		                             	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	13	13	 	0	0	 	47	47	 	0	0	 	5	5	 	31	31	 	0	0	 	4	4	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	100	99.01	 	1	0.99	 	101	0.14
Bundarra		                                   	10	2.39	 	2	0.48	 	2	0.48	 	0	0	 	1	0.24	 	1	0.24	 	29	6.92	 	2	0.48	 	245	58.47	 	1	0.24	 	10	2.39	 	101	24.11	 	1	0.24	 	6	1.43	 	6	1.43	 	1	0.24	 	1	0.24	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	419	97.44	 	11	2.56	 	430	0.59
Calala		                                     	5	0.48	 	1	0.1	 	1	0.1	 	0	0	 	1	0.1	 	2	0.19	 	103	9.85	 	0	0	 	556	53.15	 	3	0.29	 	48	4.59	 	235	22.47	 	1	0.1	 	13	1.24	 	67	6.41	 	8	0.76	 	0	0	 	1	0.1	 	0	0	 	0	0	 	1	0.1	 	0	0	 	1046	99.43	 	6	0.57	 	1052	1.45
Dangarsleigh		                               	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	3	2.27	 	6	4.55	 	0	0	 	98	74.24	 	0	0	 	5	3.79	 	11	8.33	 	1	0.76	 	4	3.03	 	3	2.27	 	1	0.76	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	132	99.25	 	1	0.75	 	133	0.18
Deepwater		                                  	6	1.81	 	1	0.3	 	1	0.3	 	0	0	 	0	0	 	0	0	 	10	3.01	 	0	0	 	220	66.27	 	0	0	 	13	3.92	 	80	24.1	 	0	0	 	1	0.3	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	332	97.94	 	7	2.06	 	339	0.47
Dundee		                                     	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	3	2.75	 	0	0	 	100	91.74	 	0	0	 	2	1.83	 	2	1.83	 	0	0	 	1	0.92	 	1	0.92	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	109	99.09	 	1	0.91	 	110	0.15
Dungowan		                                   	2	0.63	 	0	0	 	0	0	 	0	0	 	0	0	 	3	0.95	 	29	9.15	 	1	0.32	 	206	64.98	 	0	0	 	10	3.15	 	55	17.35	 	0	0	 	4	1.26	 	4	1.26	 	3	0.95	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	317	98.45	 	5	1.55	 	322	0.44
Duri		                                       	2	0.58	 	0	0	 	1	0.29	 	0	0	 	0	0	 	1	0.29	 	64	18.71	 	0	0	 	181	52.92	 	1	0.29	 	12	3.51	 	65	19.01	 	0	0	 	1	0.29	 	13	3.8	 	1	0.29	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	342	98.84	 	4	1.16	 	346	0.48
Ebor		                                       	3	2.83	 	0	0	 	0	0	 	0	0	 	0	0	 	3	2.83	 	1	0.94	 	0	0	 	74	69.81	 	0	0	 	4	3.77	 	20	18.87	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.94	 	0	0	 	106	97.25	 	3	2.75	 	109	0.15
Elsmore		                                    	4	2.44	 	0	0	 	1	0.61	 	0	0	 	3	1.83	 	10	6.1	 	14	8.54	 	0	0	 	91	55.49	 	0	0	 	3	1.83	 	33	20.12	 	0	0	 	1	0.61	 	3	1.83	 	0	0	 	0	0	 	1	0.61	 	0	0	 	0	0	 	0	0	 	0	0	 	164	95.91	 	7	4.09	 	171	0.24
Emmaville		                                  	5	1.37	 	3	0.82	 	2	0.55	 	0	0	 	0	0	 	8	2.2	 	30	8.24	 	0	0	 	144	39.56	 	0	0	 	4	1.1	 	159	43.68	 	0	0	 	4	1.1	 	1	0.27	 	1	0.27	 	0	0	 	1	0.27	 	0	0	 	0	0	 	2	0.55	 	0	0	 	364	95.79	 	16	4.21	 	380	0.52
Gilgai		                                     	3	0.85	 	0	0	 	1	0.28	 	0	0	 	2	0.56	 	6	1.69	 	50	14.12	 	2	0.56	 	132	37.29	 	1	0.28	 	7	1.98	 	140	39.55	 	1	0.28	 	1	0.28	 	6	1.69	 	2	0.56	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	354	98.06	 	7	1.94	 	361	0.5
Glencoe		                                    	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	3	2.17	 	2	1.45	 	102	73.91	 	0	0	 	6	4.35	 	21	15.22	 	0	0	 	1	0.72	 	1	0.72	 	0	0	 	0	0	 	1	0.72	 	1	0.72	 	0	0	 	0	0	 	0	0	 	138	98.57	 	2	1.43	 	140	0.19
Glen Innes		                                 	22	1.03	 	3	0.14	 	2	0.09	 	6	0.28	 	2	0.09	 	2	0.09	 	111	5.19	 	0	0	 	1170	54.7	 	0	0	 	71	3.32	 	646	30.2	 	0	0	 	35	1.64	 	42	1.96	 	9	0.42	 	1	0.05	 	5	0.23	 	11	0.51	 	0	0	 	0	0	 	1	0.05	 	2139	98.21	 	39	1.79	 	2178	3
Glen Innes Hospital		                        	15	2.38	 	3	0.48	 	0	0	 	1	0.16	 	2	0.32	 	4	0.63	 	27	4.29	 	0	0	 	332	52.7	 	0	0	 	23	3.65	 	202	32.06	 	1	0.16	 	10	1.59	 	5	0.79	 	2	0.32	 	0	0	 	0	0	 	3	0.48	 	0	0	 	0	0	 	0	0	 	630	96.18	 	25	3.82	 	655	0.9
Glen Innes West		                            	23	1.45	 	6	0.38	 	1	0.06	 	1	0.06	 	3	0.19	 	11	0.69	 	123	7.73	 	3	0.19	 	758	47.64	 	4	0.25	 	61	3.83	 	521	32.75	 	2	0.13	 	20	1.26	 	39	2.45	 	9	0.57	 	0	0	 	3	0.19	 	3	0.19	 	0	0	 	0	0	 	0	0	 	1591	97.73	 	37	2.27	 	1628	2.24
Gum Flat		                                   	1	0.93	 	1	0.93	 	0	0	 	0	0	 	0	0	 	1	0.93	 	4	3.74	 	0	0	 	83	77.57	 	0	0	 	3	2.8	 	11	10.28	 	0	0	 	1	0.93	 	0	0	 	2	1.87	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	107	98.17	 	2	1.83	 	109	0.15
Guyra		                                      	23	1.47	 	4	0.26	 	5	0.32	 	1	0.06	 	1	0.06	 	7	0.45	 	267	17.05	 	0	0	 	790	50.45	 	1	0.06	 	34	2.17	 	388	24.78	 	0	0	 	8	0.51	 	16	1.02	 	16	1.02	 	2	0.13	 	1	0.06	 	0	0	 	0	0	 	2	0.13	 	0	0	 	1566	97.21	 	45	2.79	 	1611	2.22
Hallsville		                                 	0	0	 	1	0.32	 	0	0	 	0	0	 	0	0	 	3	0.97	 	41	13.31	 	0	0	 	171	55.52	 	0	0	 	16	5.19	 	59	19.16	 	0	0	 	4	1.3	 	8	2.6	 	3	0.97	 	0	0	 	0	0	 	0	0	 	1	0.32	 	0	0	 	1	0.32	 	308	99.35	 	2	0.65	 	310	0.43
Hillgrove		                                  	2	2.44	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	11	13.41	 	1	1.22	 	47	57.32	 	0	0	 	4	4.88	 	13	15.85	 	0	0	 	1	1.22	 	3	3.66	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	82	88.17	 	11	11.83	 	93	0.13
Hillvue		                                    	30	1.07	 	2	0.07	 	0	0	 	0	0	 	7	0.25	 	15	0.53	 	256	9.13	 	4	0.14	 	1344	47.93	 	5	0.18	 	129	4.6	 	919	32.77	 	0	0	 	35	1.25	 	38	1.36	 	16	0.57	 	0	0	 	4	0.14	 	0	0	 	0	0	 	0	0	 	0	0	 	2804	98.18	 	52	1.82	 	2856	3.93
Inverell		                                   	28	1.17	 	3	0.13	 	7	0.29	 	1	0.04	 	18	0.75	 	26	1.09	 	110	4.59	 	4	0.17	 	1210	50.52	 	5	0.21	 	60	2.51	 	817	34.11	 	0	0	 	24	1	 	63	2.63	 	15	0.63	 	0	0	 	4	0.17	 	0	0	 	0	0	 	0	0	 	0	0	 	2395	97.68	 	57	2.32	 	2452	3.38
Inverell East		                              	25	1.56	 	8	0.5	 	2	0.12	 	5	0.31	 	10	0.62	 	8	0.5	 	76	4.74	 	2	0.12	 	745	46.42	 	0	0	 	51	3.18	 	600	37.38	 	0	0	 	12	0.75	 	36	2.24	 	20	1.25	 	0	0	 	2	0.12	 	0	0	 	0	0	 	2	0.12	 	1	0.06	 	1605	97.81	 	36	2.19	 	1641	2.26
