House of Representatives - 2001 Election: Western Australia																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
Kalgoorlie																																			
					HODDY			HAASE			BROWNING			SCOTT			MILLER			BURT			BUTSON			SMITH			PAYNE			MCCUMSTIE			
		TOTAL					477	61.55		145	18.71		120	15.48		33	4.26																	775	
	EIGHTH						11	33.33		12	36.36		10	30.30			Excluded																	33	
		TOTAL					488	62.97		157	20.26		130	16.77																				775	
	NINTH						88	67.69		42	32.31			Excluded																				130	
		TOTAL					576	74.32		199	25.68																							775	
							Elected																												
																																			
Nullagine                                                      																																			
	FIRST			3	5.88		21	41.18		15	29.41		7	13.73		1	1.96		0	0.00		2	3.92		1	1.96		0	0.00		1	1.96		51	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	5.88		21	41.18		15	29.41		7	13.73		1	1.96		0	0.00		2	3.92		1	1.96					1	1.96		51	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		3	5.88		21	41.18		15	29.41		7	13.73		1	1.96					2	3.92		1	1.96					1	1.96		51	
	FOURTH			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		1	
		TOTAL		4	7.84		21	41.18		15	29.41		7	13.73		1	1.96					2	3.92								1	1.96		51	
	FIFTH			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		1	
		TOTAL		4	7.84		22	43.14		15	29.41		7	13.73		1	1.96					2	3.92											51	
	SIXTH			0	0.00		0	0.00		1	50.00		0	0.00		1	50.00						Excluded											2	
		TOTAL		4	7.84		22	43.14		16	31.37		7	13.73		2	3.92																	51	
	SEVENTH				Excluded		2	50.00		2	50.00		0	0.00		0	0.00																	4	
		TOTAL					24	47.06		18	35.29		7	13.73		2	3.92																	51	
	EIGHTH						1	50.00		1	50.00		0	0.00			Excluded																	2	
		TOTAL					25	49.02		19	37.25		7	13.73																				51	
	NINTH						3	42.86		4	57.14			Excluded																				7	
		TOTAL					28	54.90		23	45.10																							51	
							Elected																												
																																			
Nulsen                                                         																																			
	FIRST			32	2.76		434	37.41		393	33.88		185	15.95		39	3.36		5	0.43		26	2.24		13	1.12		2	0.17		31	2.67		1160	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		32	2.76		434	37.41		393	33.88		185	15.95		39	3.36		5	0.43		27	2.33		14	1.21					31	2.67		1160	
	THIRD			2	40.00		0	0.00		1	20.00		1	20.00		1	20.00			Excluded		0	0.00		0	0.00					0	0.00		5	
		TOTAL		34	2.93		434	37.41		394	33.97		186	16.03		40	3.45					27	2.33		14	1.21					31	2.67		1160	
	FOURTH			1	7.14		0	0.00		2	14.29		1	7.14		2	14.29					6	42.86			Excluded					2	14.29		14	
		TOTAL		35	3.02		434	37.41		396	34.14		187	16.12		42	3.62					33	2.84								33	2.84		1160	
	FIFTH			2	6.06		19	57.58		2	6.06		3	9.09		2	6.06					5	15.15									Excluded		33	
		TOTAL		37	3.19		453	39.05		398	34.31		190	16.38		44	3.79					38	3.28											1160	
	SIXTH			3	7.89		6	15.79		9	23.68		4	10.53		16	42.11						Excluded											38	
		TOTAL		40	3.45		459	39.57		407	35.09		194	16.72		60	5.17																	1160	
	SEVENTH				Excluded		13	32.50		10	25.00		7	17.50		10	25.00																	40	
		TOTAL					472	40.69		417	35.95		201	17.33		70	6.03																	1160	
	EIGHTH						19	27.14		30	42.86		21	30.00			Excluded																	70	
		TOTAL					491	42.33		447	38.53		222	19.14																				1160	
	NINTH						129	58.11		93	41.89			Excluded																				222	
		TOTAL					620	53.45		540	46.55																							1160	
							Elected																												
																																			
Onslow                                                         																																			
	FIRST			6	2.53		87	36.71		74	31.22		48	20.25		8	3.38		2	0.84		7	2.95		1	0.42		0	0.00		4	1.69		237	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		6	2.53		87	36.71		74	31.22		48	20.25		8	3.38		2	0.84		7	2.95		1	0.42					4	1.69		237	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		1	50.00					0	0.00		2	
		TOTAL		6	2.53		87	36.71		74	31.22		48	20.25		8	3.38					8	3.38		2	0.84					4	1.69		237	
	FOURTH			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00					0	0.00			Excluded					1	50.00		2	
		TOTAL		6	2.53		87	36.71		74	31.22		49	20.68		8	3.38					8	3.38								5	2.11		237	
	FIFTH			1	20.00		2	40.00		0	0.00		0	0.00		0	0.00					2	40.00									Excluded		5	
		TOTAL		7	2.95		89	37.55		74	31.22		49	20.68		8	3.38					10	4.22											237	
	SIXTH			0	0.00		3	30.00		3	30.00		3	30.00		1	10.00						Excluded											10	
		TOTAL		7	2.95		92	38.82		77	32.49		52	21.94		9	3.80																	237	
	SEVENTH				Excluded		2	28.57		2	28.57		1	14.29		2	28.57																	7	
		TOTAL					94	39.66		79	33.33		53	22.36		11	4.64																	237	
	EIGHTH						2	18.18		4	36.36		5	45.45			Excluded																	11	
		TOTAL					96	40.51		83	35.02		58	24.47																				237	
	NINTH						34	58.62		24	41.38			Excluded																				58	
		TOTAL					130	54.85		107	45.15																							237	
							Elected																												
																																			
Pannawonica                                                    																																			
	FIRST			8	3.52		104	45.81		61	26.87		28	12.33		7	3.08		1	0.44		15	6.61		2	0.88		0	0.00		1	0.44		227	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		8	3.52		104	45.81		61	26.87		28	12.33		7	3.08		1	0.44		15	6.61		2	0.88					1	0.44		227	
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	
		TOTAL		8	3.52		104	45.81		61	26.87		29	12.78		7	3.08					15	6.61		2	0.88					1	0.44		227	
	FOURTH			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					1	50.00		2	
		TOTAL		9	3.96		104	45.81		61	26.87		29	12.78		7	3.08					15	6.61								2	0.88		227	
	FIFTH			0	0.00		0	0.00		1	50.00		0	0.00		1	50.00					0	0.00									Excluded		2	
		TOTAL		9	3.96		104	45.81		62	27.31		29	12.78		8	3.52					15	6.61											227	
	SIXTH			1	6.67		2	13.33		5	33.33		3	20.00		4	26.67						Excluded											15	
		TOTAL		10	4.41		106	46.70		67	29.52		32	14.10		12	5.29																	227	
	SEVENTH				Excluded		3	30.00		3	30.00		2	20.00		2	20.00																	10	
		TOTAL					109	48.02		70	30.84		34	14.98		14	6.17																	227	
	EIGHTH						3	21.43		7	50.00		4	28.57			Excluded																	14	
		TOTAL					112	49.34		77	33.92		38	16.74																				227	
	NINTH						21	55.26		17	44.74			Excluded																				38	
		TOTAL					133	58.59		94	41.41																							227	
							Elected																												
																																			
Paraburdoo                                                     																																			
	FIRST			17	3.33		215	42.07		198	38.75		44	8.61		13	2.54		1	0.20		17	3.33		2	0.39		2	0.39		2	0.39		511	
	SECOND			1	50.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		18	3.52		215	42.07		199	38.94		44	8.61		13	2.54		1	0.20		17	3.33		2	0.39					2	0.39		511	
	THIRD			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	
		TOTAL		19	3.72		215	42.07		199	38.94		44	8.61		13	2.54					17	3.33		2	0.39					2	0.39		511	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					2	100.00			Excluded					0	0.00		2	
		TOTAL		19	3.72		215	42.07		199	38.94		44	8.61		13	2.54					19	3.72								2	0.39		511	
	FIFTH			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00					1	50.00									Excluded		2	
		TOTAL		19	3.72		216	42.27		199	38.94		44	8.61		13	2.54					20	3.91											511	
	SIXTH			2	10.00		8	40.00		2	10.00		6	30.00		2	10.00						Excluded											20	
		TOTAL		21	4.11		224	43.84		201	39.33		50	9.78		15	2.94																	511	
	SEVENTH				Excluded		5	23.81		7	33.33		2	9.52		7	33.33																	21	
		TOTAL					229	44.81		208	40.70		52	10.18		22	4.31																	511	
	EIGHTH						6	27.27		15	68.18		1	4.55			Excluded																	22	
		TOTAL					235	45.99		223	43.64		53	10.37																				511	
	NINTH						23	43.40		30	56.60			Excluded																				53	
		TOTAL					258	50.49		253	49.51																							511	
							Elected																												
																																			
Perth (Kalgoorlie)                                             																																			
	FIRST			7	8.43		30	36.14		37	44.58		4	4.82		4	4.82		0	0.00		0	0.00		0	0.00		0	0.00		1	1.20		83	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		7	8.43		30	36.14		37	44.58		4	4.82		4	4.82		0	0.00		0	0.00		0	0.00					1	1.20		83	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		7	8.43		30	36.14		37	44.58		4	4.82		4	4.82					0	0.00		0	0.00					1	1.20		83	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		7	8.43		30	36.14		37	44.58		4	4.82		4	4.82					0	0.00								1	1.20		83	
	FIFTH			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00					0	0.00									Excluded		1	
		TOTAL		7	8.43		30	36.14		38	45.78		4	4.82		4	4.82					0	0.00											83	
	SIXTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded											0	
		TOTAL		7	8.43		30	36.14		38	45.78		4	4.82		4	4.82																	83	
	SEVENTH				Excluded		2	28.57		3	42.86		0	0.00		2	28.57																	7	
		TOTAL					32	38.55		41	49.40		4	4.82		6	7.23																	83	
	EIGHTH						0	0.00		5	83.33		1	16.67			Excluded																	6	
		TOTAL					32	38.55		46	55.42		5	6.02																				83	
	NINTH						3	60.00		2	40.00			Excluded																				5	
		TOTAL					35	42.17		48	57.83																							83	
							Elected																												
																																			
Port Hedland                                                   																																			
	FIRST			44	4.29		403	39.32		360	35.12		72	7.02		45	4.39		5	0.49		80	7.80		9	0.88		1	0.10		6	0.59		1025	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		44	4.29		403	39.32		360	35.12		72	7.02		45	4.39		5	0.49		81	7.90		9	0.88					6	0.59		1025	
	THIRD			0	0.00		0	0.00		0	0.00		2	40.00		1	20.00			Excluded		1	20.00		1	20.00					0	0.00		5	
		TOTAL		44	4.29		403	39.32		360	35.12		74	7.22		46	4.49					82	8.00		10	0.98					6	0.59		1025	
	FOURTH			1	10.00		2	20.00		1	10.00		1	10.00		1	10.00					3	30.00			Excluded					1	10.00		10	
		TOTAL		45	4.39		405	39.51		361	35.22		75	7.32		47	4.59					85	8.29								7	0.68		1025	
	FIFTH			0	0.00		1	14.29		1	14.29		2	28.57		2	28.57					1	14.29									Excluded		7	
		TOTAL		45	4.39		406	39.61		362	35.32		77	7.51		49	4.78					86	8.39											1025	
	SIXTH			9	10.47		31	36.05		20	23.26		11	12.79		15	17.44						Excluded											86	
		TOTAL		54	5.27		437	42.63		382	37.27		88	8.59		64	6.24																	1025	
	SEVENTH				Excluded		11	20.37		12	22.22		4	7.41		27	50.00																	54	
		TOTAL					448	43.71		394	38.44		92	8.98		91	8.88																	1025	
	EIGHTH						12	13.19		51	56.04		28	30.77			Excluded																	91	
		TOTAL					460	44.88		445	43.41		120	11.71																				1025	
	NINTH						66	55.00		54	45.00			Excluded																				120	
		TOTAL					526	51.32		499	48.68																							1025	
							Elected																												
																																			
Roebourne                                                      																																			
	FIRST			9	2.65		85	25.07		218	64.31		13	3.83		6	1.77		1	0.29		4	1.18		0	0.00		0	0.00		3	0.88		339	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		9	2.65		85	25.07		218	64.31		13	3.83		6	1.77		1	0.29		4	1.18		0	0.00					3	0.88		339	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00					0	0.00		1	
		TOTAL		9	2.65		85	25.07		218	64.31		13	3.83		6	1.77					5	1.47		0	0.00					3	0.88		339	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		9	2.65		85	25.07		218	64.31		13	3.83		6	1.77					5	1.47								3	0.88		339	
	FIFTH			2	66.67		0	0.00		0	0.00		0	0.00		0	0.00					1	33.33									Excluded		3	
		TOTAL		11	3.24		85	25.07		218	64.31		13	3.83		6	1.77					6	1.77											339	
	SIXTH			0	0.00		3	50.00		0	0.00		2	33.33		1	16.67						Excluded											6	
		TOTAL		11	3.24		88	25.96		218	64.31		15	4.42		7	2.06																	339	
	SEVENTH				Excluded		4	36.36		5	45.45		1	9.09		1	9.09																	11	
		TOTAL					92	27.14		223	65.78		16	4.72		8	2.36																	339	
	EIGHTH						1	12.50		6	75.00		1	12.50			Excluded																	8	
		TOTAL					93	27.43		229	67.55		17	5.01																				339	
	NINTH						11	64.71		6	35.29			Excluded																				17	
		TOTAL					104	30.68		235	69.32																							339	
							Elected																												
																																			
Rottnest (Kalgoorlie)                                          																																			
	FIRST			0	0.00		6	66.67		2	22.22		1	11.11		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		6	66.67		2	22.22		1	11.11		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		9	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		0	0.00		6	66.67		2	22.22		1	11.11		0	0.00					0	0.00		0	0.00					0	0.00		9	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		0	0.00		6	66.67		2	22.22		1	11.11		0	0.00					0	0.00								0	0.00		9	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		0	
		TOTAL		0	0.00		6	66.67		2	22.22		1	11.11		0	0.00					0	0.00											9	
	SIXTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded											0	
		TOTAL		0	0.00		6	66.67		2	22.22		1	11.11		0	0.00																	9	
	SEVENTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00																	0	
		TOTAL					6	66.67		2	22.22		1	11.11		0	0.00																	9	
	EIGHTH						0	0.00		0	0.00		0	0.00			Excluded																	0	
		TOTAL					6	66.67		2	22.22		1	11.11																				9	
	NINTH						1	100.00		0	0.00			Excluded																				1	
		TOTAL					7	77.78		2	22.22																							9	
							Elected																												
																																			
Salmon Gums                                                    																																			
	FIRST			3	2.40		79	63.20		8	6.40		23	18.40		1	0.80		1	0.80		2	1.60		1	0.80		0	0.00		7	5.60		125	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	2.40		79	63.20		8	6.40		23	18.40		1	0.80		1	0.80		2	1.60		1	0.80					7	5.60		125	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00					0	0.00		1	
		TOTAL		3	2.40		79	63.20		8	6.40		23	18.40		1	0.80					2	1.60		2	1.60					7	5.60		125	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00					1	50.00			Excluded					0	0.00		2	
		TOTAL		3	2.40		79	63.20		8	6.40		23	18.40		2	1.60					3	2.40								7	5.60		125	
	FIFTH			0	0.00		6	85.71		1	14.29		0	0.00		0	0.00					0	0.00									Excluded		7	
		TOTAL		3	2.40		85	68.00		9	7.20		23	18.40		2	1.60					3	2.40											125	
	SIXTH			1	33.33		1	33.33		0	0.00		1	33.33		0	0.00						Excluded											3	
		TOTAL		4	3.20		86	68.80		9	7.20		24	19.20		2	1.60																	125	
	SEVENTH				Excluded		2	50.00		1	25.00		0	0.00		1	25.00																	4	
		TOTAL					88	70.40		10	8.00		24	19.20		3	2.40																	125	
	EIGHTH						0	0.00		2	66.67		1	33.33			Excluded																	3	
		TOTAL					88	70.40		12	9.60		25	20.00																				125	
	NINTH						20	80.00		5	20.00			Excluded																				25	
		TOTAL					108	86.40		17	13.60																							125	
							Elected																												
																																			
Sandstone                                                      																																			
	FIRST			1	2.70		12	32.43		15	40.54		8	21.62		1	2.70		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		37	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	2.70		12	32.43		15	40.54		8	21.62		1	2.70		0	0.00		0	0.00		0	0.00					0	0.00		37	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	2.70		12	32.43		15	40.54		8	21.62		1	2.70					0	0.00		0	0.00					0	0.00		37	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		1	2.70		12	32.43		15	40.54		8	21.62		1	2.70					0	0.00								0	0.00		37	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		0	
		TOTAL		1	2.70		12	32.43		15	40.54		8	21.62		1	2.70					0	0.00											37	
	SIXTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded											0	
		TOTAL		1	2.70		12	32.43		15	40.54		8	21.62		1	2.70																	37	
	SEVENTH				Excluded		0	0.00		1	100.00		0	0.00		0	0.00																	1	
		TOTAL					12	32.43		16	43.24		8	21.62		1	2.70																	37	
	EIGHTH						1	100.00		0	0.00		0	0.00			Excluded																	1	
		TOTAL					13	35.14		16	43.24		8	21.62																				37	
	NINTH						6	75.00		2	25.00			Excluded																				8	
		TOTAL					19	51.35		18	48.65																							37	
							Elected																												
																																			
Scaddan                                                        																																			
	FIRST			2	2.67		48	64.00		4	5.33		6	8.00		1	1.33		0	0.00		2	2.67		0	0.00		1	1.33		11	14.67		75	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		2	2.67		49	65.33		4	5.33		6	8.00		1	1.33		0	0.00		2	2.67		0	0.00					11	14.67		75	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	2.67		49	65.33		4	5.33		6	8.00		1	1.33					2	2.67		0	0.00					11	14.67		75	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		2	2.67		49	65.33		4	5.33		6	8.00		1	1.33					2	2.67								11	14.67		75	
	FIFTH			0	0.00		10	90.91		0	0.00		1	9.09		0	0.00					0	0.00									Excluded		11	
		TOTAL		2	2.67		59	78.67		4	5.33		7	9.33		1	1.33					2	2.67											75	
	SIXTH			0	0.00		2	100.00		0	0.00		0	0.00		0	0.00						Excluded											2	
		TOTAL		2	2.67		61	81.33		4	5.33		7	9.33		1	1.33																	75	
	SEVENTH				Excluded		1	50.00		0	0.00		0	0.00		1	50.00																	2	
		TOTAL					62	82.67		4	5.33		7	9.33		2	2.67																	75	
	EIGHTH						0	0.00		2	100.00		0	0.00			Excluded																	2	
		TOTAL					62	82.67		6	8.00		7	9.33																				75	
	NINTH						5	71.43		2	28.57			Excluded																				7	
		TOTAL					67	89.33		8	10.67																							75	
							Elected																												
																																			
South Hedland                                                  																																			
	FIRST			44	3.57		387	31.44		533	43.30		85	6.90		52	4.22		13	1.06		89	7.23		3	0.24		2	0.16		23	1.87		1231	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		44	3.57		387	31.44		533	43.30		85	6.90		52	4.22		14	1.14		89	7.23		3	0.24					24	1.95		1231	
	THIRD			0	0.00		1	7.14		5	35.71		0	0.00		2	14.29			Excluded		2	14.29		3	21.43					1	7.14		14	
		TOTAL		44	3.57		388	31.52		538	43.70		85	6.90		54	4.39					91	7.39		6	0.49					25	2.03		1231	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		1	16.67					4	66.67			Excluded					1	16.67		6	
		TOTAL		44	3.57		388	31.52		538	43.70		85	6.90		55	4.47					95	7.72								26	2.11		1231	
	FIFTH			3	11.54		11	42.31		4	15.38		1	3.85		4	15.38					3	11.54									Excluded		26	
		TOTAL		47	3.82		399	32.41		542	44.03		86	6.99		59	4.79					98	7.96											1231	
	SIXTH			10	10.20		26	26.53		30	30.61		8	8.16		24	24.49						Excluded											98	
		TOTAL		57	4.63		425	34.52		572	46.47		94	7.64		83	6.74																	1231	
	SEVENTH				Excluded		20	35.09		9	15.79		1	1.75		27	47.37																	57	
		TOTAL					445	36.15		581	47.20		95	7.72		110	8.94																	1231	
	EIGHTH						20	18.18		58	52.73		32	29.09			Excluded																	110	
		TOTAL					465	37.77		639	51.91		127	10.32																				1231	
	NINTH						65	51.18		62	48.82			Excluded																				127	
		TOTAL					530	43.05		701	56.95																							1231	
							Elected																												
																																			
South Hedland Baler                                            																																			
	FIRST			67	4.43		492	32.56		669	44.28		104	6.88		68	4.50		4	0.26		85	5.63		11	0.73		1	0.07		10	0.66		1511	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		67	4.43		492	32.56		669	44.28		104	6.88		68	4.50		4	0.26		85	5.63		11	0.73					11	0.73		1511	
	THIRD			0	0.00		0	0.00		1	25.00		0	0.00		1	25.00			Excluded		0	0.00		0	0.00					2	50.00		4	
		TOTAL		67	4.43		492	32.56		670	44.34		104	6.88		69	4.57					85	5.63		11	0.73					13	0.86		1511	
	FOURTH			2	18.18		1	9.09		2	18.18		0	0.00		1	9.09					4	36.36			Excluded					1	9.09		11	
		TOTAL		69	4.57		493	32.63		672	44.47		104	6.88		70	4.63					89	5.89								14	0.93		1511	
	FIFTH			1	7.14		7	50.00		2	14.29		2	14.29		0	0.00					2	14.29									Excluded		14	
		TOTAL		70	4.63		500	33.09		674	44.61		106	7.02		70	4.63					91	6.02											1511	
	SIXTH			9	9.89		21	23.08		27	29.67		15	16.48		19	20.88						Excluded											91	
		TOTAL		79	5.23		521	34.48		701	46.39		121	8.01		89	5.89																	1511	
	SEVENTH				Excluded		20	25.32		22	27.85		6	7.59		31	39.24																	79	
		TOTAL					541	35.80		723	47.85		127	8.41		120	7.94																	1511	
	EIGHTH						30	25.00		63	52.50		27	22.50			Excluded																	120	
		TOTAL					571	37.79		786	52.02		154	10.19																				1511	
	NINTH						79	51.30		75	48.70			Excluded																				154	
		TOTAL					650	43.02		861	56.98																							1511	
							Elected																												
																																			
Southern Cross                                                 																																			
	FIRST			18	3.91		255	55.43		114	24.78		44	9.57		8	1.74		5	1.09		7	1.52		2	0.43		1	0.22		6	1.30		460	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		18	3.91		256	55.65		114	24.78		44	9.57		8	1.74		5	1.09		7	1.52		2	0.43					6	1.30		460	
	THIRD			0	0.00		0	0.00		1	20.00		1	20.00		2	40.00			Excluded		1	20.00		0	0.00					0	0.00		5	
		TOTAL		18	3.91		256	55.65		115	25.00		45	9.78		10	2.17					8	1.74		2	0.43					6	1.30		460	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					2	100.00			Excluded					0	0.00		2	
		TOTAL		18	3.91		256	55.65		115	25.00		45	9.78		10	2.17					10	2.17								6	1.30		460	
	FIFTH			0	0.00		1	16.67		1	16.67		0	0.00		1	16.67					3	50.00									Excluded		6	
		TOTAL		18	3.91		257	55.87		116	25.22		45	9.78		11	2.39					13	2.83											460	
	SIXTH			3	23.08		2	15.38		2	15.38		1	7.69		5	38.46						Excluded											13	
		TOTAL		21	4.57		259	56.30		118	25.65		46	10.00		16	3.48																	460	
	SEVENTH				Excluded		8	38.10		3	14.29		2	9.52		8	38.10																	21	
		TOTAL					267	58.04		121	26.30		48	10.43		24	5.22																	460	
	EIGHTH						8	33.33		4	16.67		12	50.00			Excluded																	24	
		TOTAL					275	59.78		125	27.17		60	13.04																				460	
	NINTH						32	53.33		28	46.67			Excluded																				60	
		TOTAL					307	66.74		153	33.26																							460	
							Elected																												
																																			
Tardun                                                         																																			
	FIRST			1	1.96		31	60.78		9	17.65		3	5.88		2	3.92		2	3.92		0	0.00		0	0.00		0	0.00		3	5.88		51	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	1.96		31	60.78		9	17.65		3	5.88		2	3.92		2	3.92		0	0.00		0	0.00					3	5.88		51	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		0	0.00		0	0.00					0	0.00		2	
		TOTAL		1	1.96		31	60.78		9	17.65		3	5.88		4	7.84					0	0.00		0	0.00					3	5.88		51	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		1	1.96		31	60.78		9	17.65		3	5.88		4	7.84					0	0.00								3	5.88		51	
	FIFTH			0	0.00		2	66.67		0	0.00		0	0.00		0	0.00					1	33.33									Excluded		3	
		TOTAL		1	1.96		33	64.71		9	17.65		3	5.88		4	7.84					1	1.96											51	
	SIXTH			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00						Excluded											1	
		TOTAL		1	1.96		34	66.67		9	17.65		3	5.88		4	7.84																	51	
	SEVENTH				Excluded		0	0.00		0	0.00		0	0.00		1	100.00																	1	
		TOTAL					34	66.67		9	17.65		3	5.88		5	9.80																	51	
	EIGHTH						2	40.00		1	20.00		2	40.00			Excluded																	5	
		TOTAL					36	70.59		10	19.61		5	9.80																				51	
	NINTH						3	60.00		2	40.00			Excluded																				5	
		TOTAL					39	76.47		12	23.53																							51	
							Elected																												
																																			
Telfer                                                         																																			
	FIRST			0	0.00		0	0.00		2	50.00		0	0.00		0	0.00		0	0.00		2	50.00		0	0.00		0	0.00		0	0.00		4	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		0	0.00		2	50.00		0	0.00		0	0.00		0	0.00		2	50.00		0	0.00					0	0.00		4	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		0	0.00		0	0.00		2	50.00		0	0.00		0	0.00					2	50.00		0	0.00					0	0.00		4	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
