House of Representatives - 2001 Election: Western Australia																												
Distribution of Preferences 																												
By Polling Place																												
																												
Forrest																												
					GIORGI			HARVEY			CALDWELL			PROSSER			WYLIE			LLEWELLYN			KIRWAN			SMITH		
	SIXTH			37	5.90								124	19.78						Excluded					466	74.32		627
		TOTAL		204	8.04								1177	46.39											1156	45.57		2537
	SEVENTH				Excluded								131	64.22											73	35.78		204
		TOTAL											1308	51.56											1229	48.44		2537
													Elected															
																												
Middlesex                                                      																												
	FIRST			18	13.43		0	0.00		1	0.75		80	59.70		7	5.22		2	1.49		2	1.49		24	17.91		134
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		18	13.43					1	0.75		80	59.70		7	5.22		2	1.49		2	1.49		24	17.91		134
	THIRD			1	50.00					0	0.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		2
		TOTAL		19	14.18					1	0.75		81	60.45		7	5.22		2	1.49					24	17.91		134
	FOURTH			0	0.00						Excluded		1	100.00		0	0.00		0	0.00					0	0.00		1
		TOTAL		19	14.18								82	61.19		7	5.22		2	1.49					24	17.91		134
	FIFTH			0	0.00								0	0.00			Excluded		3	42.86					4	57.14		7
		TOTAL		19	14.18								82	61.19					5	3.73					28	20.90		134
	SIXTH			1	20.00								0	0.00						Excluded					4	80.00		5
		TOTAL		20	14.93								82	61.19											32	23.88		134
	SEVENTH				Excluded								17	85.00											3	15.00		20
		TOTAL											99	73.88											35	26.12		134
													Elected															
																												
Nannup                                                         																												
	FIRST			65	9.82		2	0.30		9	1.36		350	52.87		18	2.72		80	12.08		1	0.15		137	20.69		662
	SECOND			2	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		67	10.12					9	1.36		350	52.87		18	2.72		80	12.08		1	0.15		137	20.69		662
	THIRD			0	0.00					0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1
		TOTAL		67	10.12					9	1.36		350	52.87		19	2.87		80	12.08					137	20.69		662
	FOURTH			0	0.00						Excluded		5	55.56		2	22.22		2	22.22					0	0.00		9
		TOTAL		67	10.12								355	53.63		21	3.17		82	12.39					137	20.69		662
	FIFTH			3	14.29								6	28.57			Excluded		7	33.33					5	23.81		21
		TOTAL		70	10.57								361	54.53					89	13.44					142	21.45		662
	SIXTH			7	7.87								6	6.74						Excluded					76	85.39		89
		TOTAL		77	11.63								367	55.44											218	32.93		662
	SEVENTH				Excluded								53	68.83											24	31.17		77
		TOTAL											420	63.44											242	36.56		662
													Elected															
																												
Northcliffe                                                    																												
	FIRST			52	12.81		4	0.99		8	1.97		167	41.13		15	3.69		66	16.26		1	0.25		93	22.91		406
	SECOND			2	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	50.00		4
		TOTAL		54	13.30					8	1.97		167	41.13		15	3.69		66	16.26		1	0.25		95	23.40		406
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL		54	13.30					8	1.97		167	41.13		15	3.69		66	16.26					96	23.65		406
	FOURTH			3	37.50						Excluded		2	25.00		2	25.00		0	0.00					1	12.50		8
		TOTAL		57	14.04								169	41.63		17	4.19		66	16.26					97	23.89		406
	FIFTH			1	5.88								3	17.65			Excluded		11	64.71					2	11.76		17
		TOTAL		58	14.29								172	42.36					77	18.97					99	24.38		406
	SIXTH			8	10.39								13	16.88						Excluded					56	72.73		77
		TOTAL		66	16.26								185	45.57											155	38.18		406
	SEVENTH				Excluded								41	62.12											25	37.88		66
		TOTAL											226	55.67											180	44.33		406
													Elected															
																												
Pemberton                                                      																												
	FIRST			77	9.29		4	0.48		10	1.21		496	59.83		24	2.90		55	6.63		2	0.24		161	19.42		829
	SECOND			2	50.00			Excluded		1	25.00		0	0.00		0	0.00		1	25.00		0	0.00		0	0.00		4
		TOTAL		79	9.53					11	1.33		496	59.83		24	2.90		56	6.76		2	0.24		161	19.42		829
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		2
		TOTAL		79	9.53					11	1.33		496	59.83		24	2.90		56	6.76					163	19.66		829
	FOURTH			2	18.18						Excluded		6	54.55		0	0.00		1	9.09					2	18.18		11
		TOTAL		81	9.77								502	60.55		24	2.90		57	6.88					165	19.90		829
	FIFTH			6	25.00								3	12.50			Excluded		9	37.50					6	25.00		24
		TOTAL		87	10.49								505	60.92					66	7.96					171	20.63		829
	SIXTH			9	13.64								15	22.73						Excluded					42	63.64		66
		TOTAL		96	11.58								520	62.73											213	25.69		829
	SEVENTH				Excluded								68	70.83											28	29.17		96
		TOTAL											588	70.93											241	29.07		829
													Elected															
																												
Perth (Forrest)                                                																												
	FIRST			4	7.55		0	0.00		1	1.89		20	37.74		9	16.98		6	11.32		2	3.77		11	20.75		53
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		4	7.55					1	1.89		20	37.74		9	16.98		6	11.32		2	3.77		11	20.75		53
	THIRD			0	0.00					0	0.00		1	50.00		0	0.00		1	50.00			Excluded		0	0.00		2
		TOTAL		4	7.55					1	1.89		21	39.62		9	16.98		7	13.21					11	20.75		53
	FOURTH			0	0.00						Excluded		0	0.00		0	0.00		1	100.00					0	0.00		1
		TOTAL		4	7.55								21	39.62		9	16.98		8	15.09					11	20.75		53
	FIFTH			2	22.22								4	44.44			Excluded		1	11.11					2	22.22		9
		TOTAL		6	11.32								25	47.17					9	16.98					13	24.53		53
	SIXTH			1	11.11								1	11.11						Excluded					7	77.78		9
		TOTAL		7	13.21								26	49.06											20	37.74		53
	SEVENTH				Excluded								5	71.43											2	28.57		7
		TOTAL											31	58.49											22	41.51		53
													Elected															
																												
Picton                                                         																												
	FIRST			73	8.85		0	0.00		9	1.09		394	47.76		28	3.39		27	3.27		7	0.85		287	34.79		825
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		73	8.85					9	1.09		394	47.76		28	3.39		27	3.27		7	0.85		287	34.79		825
	THIRD			0	0.00					1	14.29		0	0.00		1	14.29		1	14.29			Excluded		4	57.14		7
		TOTAL		73	8.85					10	1.21		394	47.76		29	3.52		28	3.39					291	35.27		825
	FOURTH			1	10.00						Excluded		4	40.00		2	20.00		0	0.00					3	30.00		10
		TOTAL		74	8.97								398	48.24		31	3.76		28	3.39					294	35.64		825
	FIFTH			9	29.03								7	22.58			Excluded		6	19.35					9	29.03		31
		TOTAL		83	10.06								405	49.09					34	4.12					303	36.73		825
	SIXTH			6	17.65								5	14.71						Excluded					23	67.65		34
		TOTAL		89	10.79								410	49.70											326	39.52		825
	SEVENTH				Excluded								49	55.06											40	44.94		89
		TOTAL											459	55.64											366	44.36		825
													Elected															
																												
Quinninup                                                      																												
	FIRST			16	15.53		0	0.00		0	0.00		48	46.60		4	3.88		4	3.88		0	0.00		31	30.10		103
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		16	15.53					0	0.00		48	46.60		4	3.88		4	3.88		0	0.00		31	30.10		103
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		16	15.53					0	0.00		48	46.60		4	3.88		4	3.88					31	30.10		103
	FOURTH			0	0.00						Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0
		TOTAL		16	15.53								48	46.60		4	3.88		4	3.88					31	30.10		103
	FIFTH			0	0.00								1	25.00			Excluded		2	50.00					1	25.00		4
		TOTAL		16	15.53								49	47.57					6	5.83					32	31.07		103
	SIXTH			0	0.00								1	16.67						Excluded					5	83.33		6
		TOTAL		16	15.53								50	48.54											37	35.92		103
	SEVENTH				Excluded								16	100.00											0	0.00		16
		TOTAL											66	64.08											37	35.92		103
													Elected															
																												
Rosa Brook                                                     																												
	FIRST			13	8.28		1	0.64		5	3.18		83	52.87		5	3.18		15	9.55		2	1.27		33	21.02		157
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		1
		TOTAL		13	8.28					5	3.18		83	52.87		5	3.18		16	10.19		2	1.27		33	21.02		157
	THIRD			0	0.00					0	0.00		1	50.00		1	50.00		0	0.00			Excluded		0	0.00		2
		TOTAL		13	8.28					5	3.18		84	53.50		6	3.82		16	10.19					33	21.02		157
	FOURTH			1	20.00						Excluded		3	60.00		0	0.00		1	20.00					0	0.00		5
		TOTAL		14	8.92								87	55.41		6	3.82		17	10.83					33	21.02		157
	FIFTH			0	0.00								2	33.33			Excluded		4	66.67					0	0.00		6
		TOTAL		14	8.92								89	56.69					21	13.38					33	21.02		157
	SIXTH			2	9.52								6	28.57						Excluded					13	61.90		21
		TOTAL		16	10.19								95	60.51											46	29.30		157
	SEVENTH				Excluded								13	81.25											3	18.75		16
		TOTAL											108	68.79											49	31.21		157
													Elected															
																												
Rottnest (Forrest)                                             																												
	FIRST			2	9.09		0	0.00		0	0.00		6	27.27		1	4.55		6	27.27		1	4.55		6	27.27		22
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	9.09					0	0.00		6	27.27		1	4.55		6	27.27		1	4.55		6	27.27		22
	THIRD			1	100.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1
		TOTAL		3	13.64					0	0.00		6	27.27		1	4.55		6	27.27					6	27.27		22
	FOURTH			0	0.00						Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0
		TOTAL		3	13.64								6	27.27		1	4.55		6	27.27					6	27.27		22
	FIFTH			0	0.00								1	100.00			Excluded		0	0.00					0	0.00		1
		TOTAL		3	13.64								7	31.82					6	27.27					6	27.27		22
	SIXTH			0	0.00								1	16.67						Excluded					5	83.33		6
		TOTAL		3	13.64								8	36.36											11	50.00		22
	SEVENTH				Excluded								3	100.00											0	0.00		3
		TOTAL											11	50.00											11	50.00		22
													Elected															
																												
Sealinks                                                       																												
	FIRST			76	6.60		1	0.09		12	1.04		638	55.43		28	2.43		71	6.17		5	0.43		320	27.80		1151
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		77	6.69					12	1.04		638	55.43		28	2.43		71	6.17		5	0.43		320	27.80		1151
	THIRD			1	20.00					1	20.00		0	0.00		1	20.00		1	20.00			Excluded		1	20.00		5
		TOTAL		78	6.78					13	1.13		638	55.43		29	2.52		72	6.26					321	27.89		1151
	FOURTH			0	0.00						Excluded		9	69.23		2	15.38		0	0.00					2	15.38		13
		TOTAL		78	6.78								647	56.21		31	2.69		72	6.26					323	28.06		1151
	FIFTH			3	9.68								6	19.35			Excluded		13	41.94					9	29.03		31
		TOTAL		81	7.04								653	56.73					85	7.38					332	28.84		1151
	SIXTH			14	16.47								14	16.47						Excluded					57	67.06		85
		TOTAL		95	8.25								667	57.95											389	33.80		1151
	SEVENTH				Excluded								64	67.37											31	32.63		95
		TOTAL											731	63.51											420	36.49		1151
													Elected															
																												
South Bunbury                                                  																												
	FIRST			87	6.44		7	0.52		8	0.59		575	42.59		50	3.70		118	8.74		9	0.67		496	36.74		1350
	SECOND			1	14.29			Excluded		4	57.14		2	28.57		0	0.00		0	0.00		0	0.00		0	0.00		7
		TOTAL		88	6.52					12	0.89		577	42.74		50	3.70		118	8.74		9	0.67		496	36.74		1350
	THIRD			2	22.22					0	0.00		0	0.00		0	0.00		2	22.22			Excluded		5	55.56		9
		TOTAL		90	6.67					12	0.89		577	42.74		50	3.70		120	8.89					501	37.11		1350
	FOURTH			4	33.33						Excluded		4	33.33		3	25.00		1	8.33					0	0.00		12
		TOTAL		94	6.96								581	43.04		53	3.93		121	8.96					501	37.11		1350
	FIFTH			5	9.43								6	11.32			Excluded		24	45.28					18	33.96		53
		TOTAL		99	7.33								587	43.48					145	10.74					519	38.44		1350
	SIXTH			20	13.79								21	14.48						Excluded					104	71.72		145
		TOTAL		119	8.81								608	45.04											623	46.15		1350
	SEVENTH				Excluded								79	66.39											40	33.61		119
		TOTAL											687	50.89											663	49.11		1350
													Elected															
																												
South West Health Campus                                       																												
	FIRST			36	9.47		0	0.00		5	1.32		160	42.11		15	3.95		26	6.84		1	0.26		137	36.05		380
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		36	9.47					5	1.32		160	42.11		15	3.95		26	6.84		1	0.26		137	36.05		380
	THIRD			1	100.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1
		TOTAL		37	9.74					5	1.32		160	42.11		15	3.95		26	6.84					137	36.05		380
	FOURTH			1	20.00						Excluded		2	40.00		0	0.00		0	0.00					2	40.00		5
		TOTAL		38	10.00								162	42.63		15	3.95		26	6.84					139	36.58		380
	FIFTH			1	6.67								3	20.00			Excluded		8	53.33					3	20.00		15
		TOTAL		39	10.26								165	43.42					34	8.95					142	37.37		380
	SIXTH			6	17.65								11	32.35						Excluded					17	50.00		34
		TOTAL		45	11.84								176	46.32											159	41.84		380
	SEVENTH				Excluded								24	53.33											21	46.67		45
		TOTAL											200	52.63											180	47.37		380
													Elected															
																												
Vasse                                                          																												
	FIRST			82	9.75		2	0.24		23	2.73		486	57.79		28	3.33		51	6.06		1	0.12		168	19.98		841
	SECOND			1	50.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		83	9.87					24	2.85		486	57.79		28	3.33		51	6.06		1	0.12		168	19.98		841
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1
		TOTAL		83	9.87					24	2.85		486	57.79		28	3.33		52	6.18					168	19.98		841
	FOURTH			1	4.17						Excluded		18	75.00		2	8.33		1	4.17					2	8.33		24
		TOTAL		84	9.99								504	59.93		30	3.57		53	6.30					170	20.21		841
	FIFTH			1	3.33								5	16.67			Excluded		18	60.00					6	20.00		30
		TOTAL		85	10.11								509	60.52					71	8.44					176	20.93		841
	SIXTH			9	12.68								24	33.80						Excluded					38	53.52		71
		TOTAL		94	11.18								533	63.38											214	25.45		841
	SEVENTH				Excluded								62	65.96											32	34.04		94
		TOTAL											595	70.75											246	29.25		841
													Elected															
																												
Villa Maria                                                    																												
	FIRST			27	6.25		0	0.00		13	3.01		243	56.25		13	3.01		17	3.94		2	0.46		117	27.08		432
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		27	6.25					13	3.01		243	56.25		13	3.01		17	3.94		2	0.46		117	27.08		432
	THIRD			0	0.00					0	0.00		0	0.00		1	50.00		1	50.00			Excluded		0	0.00		2
		TOTAL		27	6.25					13	3.01		243	56.25		14	3.24		18	4.17					117	27.08		432
	FOURTH			1	7.69						Excluded		9	69.23		3	23.08		0	0.00					0	0.00		13
		TOTAL		28	6.48								252	58.33		17	3.94		18	4.17					117	27.08		432
	FIFTH			2	11.76								8	47.06			Excluded		6	35.29					1	5.88		17
		TOTAL		30	6.94								260	60.19					24	5.56					118	27.31		432
	SIXTH			4	16.67								12	50.00						Excluded					8	33.33		24
		TOTAL		34	7.87								272	62.96											126	29.17		432
	SEVENTH				Excluded								25	73.53											9	26.47		34
		TOTAL											297	68.75											135	31.25		432
													Elected															
																												
Walpole                                                        																												
	FIRST			37	11.86		0	0.00		6	1.92		149	47.76		6	1.92		35	11.22		1	0.32		78	25.00		312
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		37	11.86					6	1.92		149	47.76		6	1.92		35	11.22		1	0.32		78	25.00		312
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL		37	11.86					6	1.92		149	47.76		6	1.92		35	11.22					79	25.32		312
	FOURTH			1	16.67						Excluded		3	50.00		2	33.33		0	0.00					0	0.00		6
		TOTAL		38	12.18								152	48.72		8	2.56		35	11.22					79	25.32		312
	FIFTH			0	0.00								5	62.50			Excluded		2	25.00					1	12.50		8
		TOTAL		38	12.18								157	50.32					37	11.86					80	25.64		312
	SIXTH			4	10.81								3	8.11						Excluded					30	81.08		37
		TOTAL		42	13.46								160	51.28											110	35.26		312
	SEVENTH				Excluded								30	71.43											12	28.57		42
		TOTAL											190	60.90											122	39.10		312
													Elected															
																												
Wilson Park                                                    																												
	FIRST			63	15.56		0	0.00		3	0.74		78	19.26		5	1.23		6	1.48		3	0.74		247	60.99		405
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		63	15.56					3	0.74		78	19.26		5	1.23		6	1.48		3	0.74		247	60.99		405
	THIRD			0	0.00					0	0.00		1	33.33		0	0.00		0	0.00			Excluded		2	66.67		3
		TOTAL		63	15.56					3	0.74		79	19.51		5	1.23		6	1.48					249	61.48		405
	FOURTH			0	0.00						Excluded		2	66.67		1	33.33		0	0.00					0	0.00		3
		TOTAL		63	15.56								81	20.00		6	1.48		6	1.48					249	61.48		405
	FIFTH			0	0.00								1	16.67			Excluded		3	50.00					2	33.33		6
		TOTAL		63	15.56								82	20.25					9	2.22					251	61.98		405
	SIXTH			3	33.33								3	33.33						Excluded					3	33.33		9
		TOTAL		66	16.30								85	20.99											254	62.72		405
	SEVENTH				Excluded								42	63.64											24	36.36		66
		TOTAL											127	31.36											278	68.64		405
													Elected															
																												
Witchcliffe                                                    																												
	FIRST			44	11.92		0	0.00		8	2.17		178	48.24		13	3.52		68	18.43		1	0.27		57	15.45		369
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		44	11.92					8	2.17		178	48.24		13	3.52		68	18.43		1	0.27		57	15.45		369
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1
		TOTAL		44	11.92					8	2.17		178	48.24		13	3.52		69	18.70					57	15.45		369
	FOURTH			2	25.00						Excluded		6	75.00		0	0.00		0	0.00					0	0.00		8
		TOTAL		46	12.47								184	49.86		13	3.52		69	18.70					57	15.45		369
	FIFTH			0	0.00								3	23.08			Excluded		5	38.46					5	38.46		13
		TOTAL		46	12.47								187	50.68					74	20.05					62	16.80		369
	SIXTH			12	16.22								10	13.51						Excluded					52	70.27		74
		TOTAL		58	15.72								197	53.39											114	30.89		369
	SEVENTH				Excluded								44	75.86											14	24.14		58
		TOTAL											241	65.31											128	34.69		369
													Elected															
																												
Withers                                                        																												
	FIRST			209	10.63		1	0.05		24	1.22		695	35.33		50	2.54		96	4.88		20	1.02		872	44.33		1967
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		1
		TOTAL		209	10.63					24	1.22		695	35.33		50	2.54		96	4.88		21	1.07		872	44.33		1967
	THIRD			3	14.29					1	4.76		1	4.76		1	4.76		3	14.29			Excluded		12	57.14		21
		TOTAL		212	10.78					25	1.27		696	35.38		51	2.59		99	5.03					884	44.94		1967
	FOURTH			1	4.00						Excluded		15	60.00		4	16.00		4	16.00					1	4.00		25
		TOTAL		213	10.83								711	36.15		55	2.80		103	5.24					885	44.99		1967
	FIFTH			5	9.09								5	9.09			Excluded		29	52.73					16	29.09		55
		TOTAL		218	11.08								716	36.40					132	6.71					901	45.81		1967
	SIXTH			26	19.70								22	16.67						Excluded					84	63.64		132
		TOTAL		244	12.40								738	37.52											985	50.08		1967
	SEVENTH				Excluded								139	56.97											105	43.03		244
		TOTAL											877	44.59											1090	55.41		1967
													Elected															
																												
Wollaston                                                      																												
	FIRST			84	9.81		2	0.23		6	0.70		395	46.14		22	2.57		44	5.14		2	0.23		301	35.16		856
	SECOND			0	0.00			Excluded		1	50.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		2
		TOTAL		84	9.81					7	0.82		395	46.14		22	2.57		45	5.26		2	0.23		301	35.16		856
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		2
		TOTAL		84	9.81					7	0.82		395	46.14		22	2.57		45	5.26					303	35.40		856
	FOURTH			1	14.29						Excluded		5	71.43		0	0.00		1	14.29					0	0.00		7
		TOTAL		85	9.93								400	46.73		22	2.57		46	5.37					303	35.40		856
	FIFTH			4	18.18								4	18.18			Excluded		11	50.00					3	13.64		22
		TOTAL		89	10.40								404	47.20					57	6.66					306	35.75		856
	SIXTH			7	12.28								11	19.30						Excluded					39	68.42		57
		TOTAL		96	11.21								415	48.48											345	40.30		856
	SEVENTH				Excluded								66	68.75											30	31.25		96
		TOTAL											481	56.19											375	43.81		856
													Elected															
																												
Yallingup                                                      																												
	FIRST			36	6.62		0	0.00		9	1.65		234	43.01		31	5.70		121	22.24		3	0.55		110	20.22		544
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		36	6.62					9	1.65		234	43.01		31	5.70		121	22.24		3	0.55		110	20.22		544
	THIRD			0	0.00					1	33.33		0	0.00		0	0.00		0	0.00			Excluded		2	66.67		3
		TOTAL		36	6.62					10	1.84		234	43.01		31	5.70		121	22.24					112	20.59		544
	FOURTH			1	10.00						Excluded		6	60.00		1	10.00		1	10.00					1	10.00		10
		TOTAL		37	6.80								240	44.12		32	5.88		122	22.43					113	20.77		544
	FIFTH			1	3.13								4	12.50			Excluded		19	59.38					8	25.00		32
		TOTAL		38	6.99								244	44.85					141	25.92					121	22.24		544
	SIXTH			8	5.67								27	19.15						Excluded					106	75.18		141
		TOTAL		46	8.46								271	49.82											227	41.73		544
	SEVENTH				Excluded								33	71.74											13	28.26		46
		TOTAL											304	55.88											240	44.12		544
													Elected															
																												
Yarloop                                                        																												
	FIRST			72	12.86		4	0.71		13	2.32		265	47.32		13	2.32		29	5.18		1	0.18		163	29.11		560
	SECOND			4	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		76	13.57					13	2.32		265	47.32		13	2.32		29	5.18		1	0.18		163	29.11		560
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL		76	13.57					13	2.32		265	47.32		13	2.32		29	5.18					164	29.29		560
	FOURTH			8	61.54						Excluded		2	15.38		1	7.69		2	15.38					0	0.00		13
		TOTAL		84	15.00								267	47.68		14	2.50		31	5.54					164	29.29		560
	FIFTH			0	0.00								5	35.71			Excluded		3	21.43					6	42.86		14
		TOTAL		84	15.00								272	48.57					34	6.07					170	30.36		560
	SIXTH			8	23.53								8	23.53						Excluded					18	52.94		34
		TOTAL		92	16.43								280	50.00											188	33.57		560
	SEVENTH				Excluded								60	65.22											32	34.78		92
		TOTAL											340	60.71											220	39.29		560
													Elected															
																												
Yoongarillup                                                   																												
	FIRST			21	9.21		0	0.00		8	3.51		160	70.18		3	1.32		6	2.63		1	0.44		29	12.72		228
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		21	9.21					8	3.51		160	70.18		3	1.32		6	2.63		1	0.44		29	12.72		228
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL		21	9.21					8	3.51		160	70.18		3	1.32		6	2.63					30	13.16		228
	FOURTH			2	25.00						Excluded		5	62.50		0	0.00		1	12.50					0	0.00		8
		TOTAL		23	10.09								165	72.37		3	1.32		7	3.07					30	13.16		228
	FIFTH			0	0.00								1	33.33			Excluded		2	66.67					0	0.00		3
		TOTAL		23	10.09								166	72.81					9	3.95					30	13.16		228
	SIXTH			1	11.11								2	22.22						Excluded					6	66.67		9
		TOTAL		24	10.53								168	73.68											36	15.79		228
	SEVENTH				Excluded								16	66.67											8	33.33		24
		TOTAL											184	80.70											44	19.30		228
													Elected															
																												
Yornup                                                         																												
	FIRST			37	13.91		1	0.38		9	3.38		161	60.53		4	1.50		9	3.38		4	1.50		41	15.41		266
	SECOND			0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		37	13.91					10	3.76		161	60.53		4	1.50		9	3.38		4	1.50		41	15.41		266
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		2	50.00			Excluded		2	50.00		4
		TOTAL		37	13.91					10	3.76		161	60.53		4	1.50		11	4.14					43	16.17		266
	FOURTH			0	0.00						Excluded		5	50.00		2	20.00		2	20.00					1	10.00		10
		TOTAL		37	13.91								166	62.41		6	2.26		13	4.89					44	16.54		266
	FIFTH			2	33.33								0	0.00			Excluded		1	16.67					3	50.00		6
		TOTAL		39	14.66								166	62.41					14	5.26					47	17.67		266
	SIXTH			3	21.43								4	28.57						Excluded					7	50.00		14
		TOTAL		42	15.79								170	63.91											54	20.30		266
	SEVENTH				Excluded								23	54.76											19	45.24		42
		TOTAL											193	72.56											73	27.44		266
													Elected															
																												
Special Hospital Team 1                                        																												
	FIRST			3	7.32		0	0.00		0	0.00		26	63.41		0	0.00		0	0.00		0	0.00		12	29.27		41
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		3	7.32					0	0.00		26	63.41		0	0.00		0	0.00		0	0.00		12	29.27		41
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		3	7.32					0	0.00		26	63.41		0	0.00		0	0.00					12	29.27		41
	FOURTH			0	0.00						Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0
		TOTAL		3	7.32								26	63.41		0	0.00		0	0.00					12	29.27		41
	FIFTH			0	0.00								0	0.00			Excluded		0	0.00					0	0.00		0
		TOTAL		3	7.32								26	63.41					0	0.00					12	29.27		41
	SIXTH			0	0.00								0	0.00						Excluded					0	0.00		0
		TOTAL		3	7.32								26	63.41											12	29.27		41
	SEVENTH				Excluded								2	66.67											1	33.33		3
		TOTAL											28	68.29											13	31.71		41
													Elected															
																												
Special Hospital Team 2                                        																												
	FIRST			16	8.29		3	1.55		1	0.52		113	58.55		2	1.04		0	0.00		0	0.00		58	30.05		193
	SECOND			1	33.33			Excluded		1	33.33		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		3
		TOTAL		17	8.81					2	1.04		113	58.55		3	1.55		0	0.00		0	0.00		58	30.05		193
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		17	8.81					2	1.04		113	58.55		3	1.55		0	0.00					58	30.05		193
	FOURTH			0	0.00						Excluded		2	100.00		0	0.00		0	0.00					0	0.00		2
		TOTAL		17	8.81								115	59.59		3	1.55		0	0.00					58	30.05		193
	FIFTH			3	100.00								0	0.00			Excluded		0	0.00					0	0.00		3
		TOTAL		20	10.36								115	59.59					0	0.00					58	30.05		193
	SIXTH			0	0.00								0	0.00						Excluded					0	0.00		0
		TOTAL		20	10.36								115	59.59											58	30.05		193
	SEVENTH				Excluded								13	65.00											7	35.00		20
		TOTAL											128	66.32											65	33.68		193
													Elected															
																												
Special Hospital Team 3                                        																												
	FIRST			4	6.56		0	0.00		0	0.00		39	63.93		0	0.00		1	1.64		2	3.28		15	24.59		61
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		4	6.56					0	0.00		39	63.93		0	0.00		1	1.64		2	3.28		15	24.59		61
	THIRD			1	50.00					0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		2
		TOTAL		5	8.20					0	0.00		39	63.93		1	1.64		1	1.64					15	24.59		61
