House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Pearce																													
					NELSON			FOX			HILL			MOYLAN			COSTELLO			COLLINS			SMITH			MILLER			
	FIFTH							Excluded					36	21.69		29	17.47		15	9.04					86	51.81		166	
		TOTAL											773	36.91		917	43.79		170	8.12					234	11.17		2094	
	SIXTH												47	27.65		56	32.94			Excluded					67	39.41		170	
		TOTAL											820	39.16		973	46.47								301	14.37		2094	
	SEVENTH												113	37.54		188	62.46									Excluded		301	
		TOTAL											933	44.56		1161	55.44											2094	
													Elected																
																													
Swan View (Pearce)                                             																													
	FIRST			51	1.24		242	5.87		38	0.92		1573	38.15		1658	40.21		292	7.08		12	0.29		257	6.23		4123	
	SECOND			2	16.67		0	0.00		3	25.00		1	8.33		0	0.00		2	16.67			Excluded		4	33.33		12	
		TOTAL		53	1.29		242	5.87		41	0.99		1574	38.18		1658	40.21		294	7.13					261	6.33		4123	
	THIRD			4	9.76		6	14.63			Excluded		16	39.02		4	9.76		7	17.07					4	9.76		41	
		TOTAL		57	1.38		248	6.02					1590	38.56		1662	40.31		301	7.30					265	6.43		4123	
	FOURTH				Excluded		29	50.88					12	21.05		5	8.77		3	5.26					8	14.04		57	
		TOTAL					277	6.72					1602	38.86		1667	40.43		304	7.37					273	6.62		4123	
	FIFTH							Excluded					66	23.83		45	16.25		19	6.86					147	53.07		277	
		TOTAL											1668	40.46		1712	41.52		323	7.83					420	10.19		4123	
	SIXTH												107	33.13		115	35.60			Excluded					101	31.27		323	
		TOTAL											1775	43.05		1827	44.31								521	12.64		4123	
	SEVENTH												224	42.99		297	57.01									Excluded		521	
		TOTAL											1999	48.48		2124	51.52											4123	
													Elected																
																													
Toodyay                                                        																													
	FIRST			34	2.28		71	4.76		9	0.60		677	45.38		405	27.14		153	10.25		8	0.54		135	9.05		1492	
	SECOND			0	0.00		2	25.00		0	0.00		1	12.50		0	0.00		2	25.00			Excluded		3	37.50		8	
		TOTAL		34	2.28		73	4.89		9	0.60		678	45.44		405	27.14		155	10.39					138	9.25		1492	
	THIRD			1	11.11		1	11.11			Excluded		3	33.33		2	22.22		1	11.11					1	11.11		9	
		TOTAL		35	2.35		74	4.96					681	45.64		407	27.28		156	10.46					139	9.32		1492	
	FOURTH				Excluded		7	20.00					26	74.29		1	2.86		1	2.86					0	0.00		35	
		TOTAL					81	5.43					707	47.39		408	27.35		157	10.52					139	9.32		1492	
	FIFTH							Excluded					24	29.63		20	24.69		4	4.94					33	40.74		81	
		TOTAL											731	48.99		428	28.69		161	10.79					172	11.53		1492	
	SIXTH												52	32.30		55	34.16			Excluded					54	33.54		161	
		TOTAL											783	52.48		483	32.37								226	15.15		1492	
	SEVENTH												88	38.94		138	61.06									Excluded		226	
		TOTAL											871	58.38		621	41.62											1492	
													Elected																
																													
Two Rocks                                                      																													
	FIRST			9	1.04		34	3.91		6	0.69		342	39.36		336	38.67		86	9.90		0	0.00		56	6.44		869	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		9	1.04		34	3.91		6	0.69		342	39.36		336	38.67		86	9.90					56	6.44		869	
	THIRD			0	0.00		1	16.67			Excluded		1	16.67		2	33.33		0	0.00					2	33.33		6	
		TOTAL		9	1.04		35	4.03					343	39.47		338	38.90		86	9.90					58	6.67		869	
	FOURTH				Excluded		5	55.56					1	11.11		1	11.11		1	11.11					1	11.11		9	
		TOTAL					40	4.60					344	39.59		339	39.01		87	10.01					59	6.79		869	
	FIFTH							Excluded					9	22.50		11	27.50		4	10.00					16	40.00		40	
		TOTAL											353	40.62		350	40.28		91	10.47					75	8.63		869	
	SIXTH												32	35.16		21	23.08			Excluded					38	41.76		91	
		TOTAL											385	44.30		371	42.69								113	13.00		869	
	SEVENTH												53	46.90		60	53.10									Excluded		113	
		TOTAL											438	50.40		431	49.60											869	
													Elected																
																													
Upper Swan                                                     																													
	FIRST			12	0.74		69	4.25		11	0.68		947	58.38		387	23.86		101	6.23		4	0.25		91	5.61		1622	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	25.00		1	25.00			Excluded		2	50.00		4	
		TOTAL		12	0.74		69	4.25		11	0.68		947	58.38		388	23.92		102	6.29					93	5.73		1622	
	THIRD			1	9.09		0	0.00			Excluded		6	54.55		1	9.09		3	27.27					0	0.00		11	
		TOTAL		13	0.80		69	4.25					953	58.75		389	23.98		105	6.47					93	5.73		1622	
	FOURTH				Excluded		8	61.54					5	38.46		0	0.00		0	0.00					0	0.00		13	
		TOTAL					77	4.75					958	59.06		389	23.98		105	6.47					93	5.73		1622	
	FIFTH							Excluded					18	23.38		12	15.58		6	7.79					41	53.25		77	
		TOTAL											976	60.17		401	24.72		111	6.84					134	8.26		1622	
	SIXTH												41	36.94		30	27.03			Excluded					40	36.04		111	
		TOTAL											1017	62.70		431	26.57								174	10.73		1622	
	SEVENTH												66	37.93		108	62.07									Excluded		174	
		TOTAL											1083	66.77		539	33.23											1622	
													Elected																
																													
Walliston (Pearce)                                             																													
	FIRST			3	0.70		23	5.34		5	1.16		228	52.90		90	20.88		30	6.96		2	0.46		50	11.60		431	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		3	0.70		23	5.34		5	1.16		229	53.13		90	20.88		30	6.96					51	11.83		431	
	THIRD			0	0.00		1	20.00			Excluded		4	80.00		0	0.00		0	0.00					0	0.00		5	
		TOTAL		3	0.70		24	5.57					233	54.06		90	20.88		30	6.96					51	11.83		431	
	FOURTH				Excluded		2	66.67					1	33.33		0	0.00		0	0.00					0	0.00		3	
		TOTAL					26	6.03					234	54.29		90	20.88		30	6.96					51	11.83		431	
	FIFTH							Excluded					8	30.77		2	7.69		4	15.38					12	46.15		26	
		TOTAL											242	56.15		92	21.35		34	7.89					63	14.62		431	
	SIXTH												15	44.12		7	20.59			Excluded					12	35.29		34	
		TOTAL											257	59.63		99	22.97								75	17.40		431	
	SEVENTH												30	40.00		45	60.00									Excluded		75	
		TOTAL											287	66.59		144	33.41											431	
													Elected																
																													
Wandering                                                      																													
	FIRST			23	12.57		4	2.19		1	0.55		111	60.66		22	12.02		17	9.29		1	0.55		4	2.19		183	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		23	12.57		4	2.19		1	0.55		111	60.66		22	12.02		17	9.29					5	2.73		183	
	THIRD			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		23	12.57		5	2.73					111	60.66		22	12.02		17	9.29					5	2.73		183	
	FOURTH				Excluded		0	0.00					20	86.96		0	0.00		3	13.04					0	0.00		23	
		TOTAL					5	2.73					131	71.58		22	12.02		20	10.93					5	2.73		183	
	FIFTH							Excluded					3	60.00		1	20.00		0	0.00					1	20.00		5	
		TOTAL											134	73.22		23	12.57		20	10.93					6	3.28		183	
	SIXTH												13	65.00		4	20.00			Excluded					3	15.00		20	
		TOTAL											147	80.33		27	14.75								9	4.92		183	
	SEVENTH												4	44.44		5	55.56									Excluded		9	
		TOTAL											151	82.51		32	17.49											183	
													Elected																
																													
West Dale                                                      																													
	FIRST			10	8.70		0	0.00		0	0.00		83	72.17		4	3.48		16	13.91		2	1.74		0	0.00		115	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		10	8.70		0	0.00		0	0.00		84	73.04		4	3.48		16	13.91					1	0.87		115	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		10	8.70		0	0.00					84	73.04		4	3.48		16	13.91					1	0.87		115	
	FOURTH				Excluded		0	0.00					8	80.00		0	0.00		1	10.00					1	10.00		10	
		TOTAL					0	0.00					92	80.00		4	3.48		17	14.78					2	1.74		115	
	FIFTH							Excluded					0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL											92	80.00		4	3.48		17	14.78					2	1.74		115	
	SIXTH												8	47.06		6	35.29			Excluded					3	17.65		17	
		TOTAL											100	86.96		10	8.70								5	4.35		115	
	SEVENTH												2	40.00		3	60.00									Excluded		5	
		TOTAL											102	88.70		13	11.30											115	
													Elected																
																													
Williams                                                       																													
	FIRST			80	19.42		4	0.97		2	0.49		214	51.94		37	8.98		52	12.62		4	0.97		19	4.61		412	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	50.00			Excluded		2	50.00		4	
		TOTAL		80	19.42		4	0.97		2	0.49		214	51.94		37	8.98		54	13.11					21	5.10		412	
	THIRD			0	0.00		0	0.00			Excluded		2	100.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		80	19.42		4	0.97					216	52.43		37	8.98		54	13.11					21	5.10		412	
	FOURTH				Excluded		9	11.25					65	81.25		0	0.00		3	3.75					3	3.75		80	
		TOTAL					13	3.16					281	68.20		37	8.98		57	13.83					24	5.83		412	
	FIFTH							Excluded					9	69.23		3	23.08		0	0.00					1	7.69		13	
		TOTAL											290	70.39		40	9.71		57	13.83					25	6.07		412	
	SIXTH												20	35.09		15	26.32			Excluded					22	38.60		57	
		TOTAL											310	75.24		55	13.35								47	11.41		412	
	SEVENTH												22	46.81		25	53.19									Excluded		47	
		TOTAL											332	80.58		80	19.42											412	
													Elected																
																													
Woodridge                                                      																													
	FIRST			10	2.64		13	3.43		2	0.53		170	44.85		91	24.01		58	15.30		2	0.53		33	8.71		379	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		1	50.00		2	
		TOTAL		10	2.64		13	3.43		2	0.53		170	44.85		91	24.01		59	15.57					34	8.97		379	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		2	100.00					0	0.00		2	
		TOTAL		10	2.64		13	3.43					170	44.85		91	24.01		61	16.09					34	8.97		379	
	FOURTH				Excluded		2	20.00					2	20.00		2	20.00		4	40.00					0	0.00		10	
		TOTAL					15	3.96					172	45.38		93	24.54		65	17.15					34	8.97		379	
	FIFTH							Excluded					5	33.33		1	6.67		2	13.33					7	46.67		15	
		TOTAL											177	46.70		94	24.80		67	17.68					41	10.82		379	
	SIXTH												16	23.88		28	41.79			Excluded					23	34.33		67	
		TOTAL											193	50.92		122	32.19								64	16.89		379	
	SEVENTH												29	45.31		35	54.69									Excluded		64	
		TOTAL											222	58.58		157	41.42											379	
													Elected																
																													
Wooroloo                                                       																													
	FIRST			3	0.83		14	3.87		0	0.00		159	43.92		99	27.35		50	13.81		2	0.55		35	9.67		362	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		2	100.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		3	0.83		14	3.87		0	0.00		159	43.92		101	27.90		50	13.81					35	9.67		362	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		3	0.83		14	3.87					159	43.92		101	27.90		50	13.81					35	9.67		362	
	FOURTH				Excluded		1	33.33					1	33.33		0	0.00		1	33.33					0	0.00		3	
		TOTAL					15	4.14					160	44.20		101	27.90		51	14.09					35	9.67		362	
	FIFTH							Excluded					4	26.67		3	20.00		0	0.00					8	53.33		15	
		TOTAL											164	45.30		104	28.73		51	14.09					43	11.88		362	
	SIXTH												19	37.25		8	15.69			Excluded					24	47.06		51	
		TOTAL											183	50.55		112	30.94								67	18.51		362	
	SEVENTH												24	35.82		43	64.18									Excluded		67	
		TOTAL											207	57.18		155	42.82											362	
													Elected																
																													
Wundowie                                                       																													
	FIRST			19	3.55		13	2.43		7	1.31		176	32.90		222	41.50		56	10.47		3	0.56		39	7.29		535	
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		1	33.33			Excluded		1	33.33		3	
		TOTAL		19	3.55		14	2.62		7	1.31		176	32.90		222	41.50		57	10.65					40	7.48		535	
	THIRD			0	0.00		2	28.57			Excluded		0	0.00		1	14.29		2	28.57					2	28.57		7	
		TOTAL		19	3.55		16	2.99					176	32.90		223	41.68		59	11.03					42	7.85		535	
	FOURTH				Excluded		5	26.32					8	42.11		3	15.79		2	10.53					1	5.26		19	
		TOTAL					21	3.93					184	34.39		226	42.24		61	11.40					43	8.04		535	
	FIFTH							Excluded					8	38.10		1	4.76		7	33.33					5	23.81		21	
		TOTAL											192	35.89		227	42.43		68	12.71					48	8.97		535	
	SIXTH												22	32.35		24	35.29			Excluded					22	32.35		68	
		TOTAL											214	40.00		251	46.92								70	13.08		535	
	SEVENTH												32	45.71		38	54.29									Excluded		70	
		TOTAL											246	45.98		289	54.02											535	
													Elected																
																													
Yanchep                                                        																													
	FIRST			16	1.53		52	4.98		9	0.86		424	40.57		354	33.88		98	9.38		2	0.19		90	8.61		1045	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		1	50.00		2	
		TOTAL		16	1.53		52	4.98		9	0.86		424	40.57		354	33.88		99	9.47					91	8.71		1045	
	THIRD			0	0.00		0	0.00			Excluded		4	44.44		1	11.11		3	33.33					1	11.11		9	
		TOTAL		16	1.53		52	4.98					428	40.96		355	33.97		102	9.76					92	8.80		1045	
	FOURTH				Excluded		7	43.75					5	31.25		2	12.50		1	6.25					1	6.25		16	
		TOTAL					59	5.65					433	41.44		357	34.16		103	9.86					93	8.90		1045	
	FIFTH							Excluded					13	22.03		9	15.25		3	5.08					34	57.63		59	
		TOTAL											446	42.68		366	35.02		106	10.14					127	12.15		1045	
	SIXTH												35	33.02		44	41.51			Excluded					27	25.47		106	
		TOTAL											481	46.03		410	39.23								154	14.74		1045	
	SEVENTH												50	32.47		104	67.53									Excluded		154	
		TOTAL											531	50.81		514	49.19											1045	
													Elected																
																													
York                                                           																													
	FIRST			85	5.74		38	2.57		19	1.28		694	46.89		357	24.12		194	13.11		4	0.27		89	6.01		1480	
	SECOND			1	25.00		1	25.00		0	0.00		1	25.00		0	0.00		0	0.00			Excluded		1	25.00		4	
		TOTAL		86	5.81		39	2.64		19	1.28		695	46.96		357	24.12		194	13.11					90	6.08		1480	
	THIRD			1	5.26		4	21.05			Excluded		10	52.63		2	10.53		1	5.26					1	5.26		19	
		TOTAL		87	5.88		43	2.91					705	47.64		359	24.26		195	13.18					91	6.15		1480	
	FOURTH				Excluded		15	17.24					55	63.22		7	8.05		6	6.90					4	4.60		87	
		TOTAL					58	3.92					760	51.35		366	24.73		201	13.58					95	6.42		1480	
	FIFTH							Excluded					26	44.83		12	20.69		2	3.45					18	31.03		58	
		TOTAL											786	53.11		378	25.54		203	13.72					113	7.64		1480	
	SIXTH												70	34.48		86	42.36			Excluded					47	23.15		203	
		TOTAL											856	57.84		464	31.35								160	10.81		1480	
	SEVENTH												51	31.88		109	68.13									Excluded		160	
		TOTAL											907	61.28		573	38.72											1480	
													Elected																
																													
Special Hospital Team 1                                        																													
	FIRST			4	10.81		0	0.00		2	5.41		19	51.35		10	27.03		1	2.70		0	0.00		1	2.70		37	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	10.81		0	0.00		2	5.41		19	51.35		10	27.03		1	2.70					1	2.70		37	
	THIRD			1	50.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		5	13.51		0	0.00					20	54.05		10	27.03		1	2.70					1	2.70		37	
	FOURTH				Excluded		2	40.00					1	20.00		1	20.00		1	20.00					0	0.00		5	
		TOTAL					2	5.41					21	56.76		11	29.73		2	5.41					1	2.70		37	
	FIFTH							Excluded					2	100.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL											23	62.16		11	29.73		2	5.41					1	2.70		37	
	SIXTH												1	50.00		0	0.00			Excluded					1	50.00		2	
		TOTAL											24	64.86		11	29.73								2	5.41		37	
	SEVENTH												1	50.00		1	50.00									Excluded		2	
		TOTAL											25	67.57		12	32.43											37	
													Elected																
																													
Special Hospital Team 2                                        																													
	FIRST			2	6.06		1	3.03		0	0.00		12	36.36		17	51.52		1	3.03		0	0.00		0	0.00		33	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	6.06		1	3.03		0	0.00		12	36.36		17	51.52		1	3.03					0	0.00		33	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	6.06		1	3.03					12	36.36		17	51.52		1	3.03					0	0.00		33	
	FOURTH				Excluded		0	0.00					2	100.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL					1	3.03					14	42.42		17	51.52		1	3.03					0	0.00		33	
	FIFTH							Excluded					0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL											14	42.42		18	54.55		1	3.03					0	0.00		33	
	SIXTH												1	100.00		0	0.00			Excluded					0	0.00		1	
		TOTAL											15	45.45		18	54.55								0	0.00		33	
	SEVENTH												0	0.00		0	0.00									Excluded		0	
		TOTAL											15	45.45		18	54.55											33	
													Elected																
																													
Special Hospital Team 3                                        																													
	FIRST			7	12.07		1	1.72		0	0.00		29	50.00		18	31.03		2	3.45		0	0.00		1	1.72		58	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		7	12.07		1	1.72		0	0.00		29	50.00		18	31.03		2	3.45					1	1.72		58	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		7	12.07		1	1.72					29	50.00		18	31.03		2	3.45					1	1.72		58	
	FOURTH				Excluded		1	14.29					3	42.86		1	14.29		0	0.00					2	28.57		7	
		TOTAL					2	3.45					32	55.17		19	32.76		2	3.45					3	5.17		58	
	FIFTH							Excluded					1	50.00		0	0.00		0	0.00					1	50.00		2	
		TOTAL											33	56.90		19	32.76		2	3.45					4	6.90		58	
	SIXTH												2	100.00		0	0.00			Excluded					0	0.00		2	
		TOTAL											35	60.34		19	32.76								4	6.90		58	
	SEVENTH												1	25.00		3	75.00									Excluded		4	
		TOTAL											36	62.07		22	37.93											58	
													Elected																
																													
Special Hospital Team 4                                        																													
	FIRST			0	0.00		0	0.00		0	0.00		10	35.71		15	53.57		2	7.14		0	0.00		1	3.57		28	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		0	0.00		0	0.00		10	35.71		15	53.57		2	7.14					1	3.57		28	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		0	0.00		0	0.00					10	35.71		15	53.57		2	7.14					1	3.57		28	
	FOURTH				Excluded		0	0.00					0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					0	0.00					10	35.71		15	53.57		2	7.14					1	3.57		28	
	FIFTH							Excluded					0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL											10	35.71		15	53.57		2	7.14					1	3.57		28	
	SIXTH												1	50.00		0	0.00			Excluded					1	50.00		2	
		TOTAL											11	39.29		15	53.57								2	7.14		28	
	SEVENTH												1	50.00		1	50.00									Excluded		2	
		TOTAL											12	42.86		16	57.14											28	
													Elected																
																													
Prison Mobile Team 1                                           																													
	FIRST			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00					0	0.00		0	
	FOURTH				Excluded		0	0.00					0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					0	0.00					0	0.00		0	0.00		0	0.00					0	0.00		0	
	FIFTH							Excluded					0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL											0	0.00		0	0.00		0	0.00					0	0.00		0	
	SIXTH												0	0.00		0	0.00			Excluded					0	0.00		0	
		TOTAL											0	0.00		0	0.00								0	0.00		0	
	SEVENTH												0	0.00		0	0.00									Excluded		0	
		TOTAL											0	0.00		0	0.00											0	
													Elected																
																													
ABSENT																													
	FIRST			265	3.84		398	5.77		107	1.55		2879	41.77		1908	27.68		629	9.13		47	0.68		660	9.57		6893	
	SECOND			4	8.51		4	8.51		2	4.26		3	6.38		5	10.64		14	29.79			Excluded		15	31.91		47	
		TOTAL		269	3.90		402	5.83		109	1.58		2882	41.81		1913	27.75		643	9.33					675	9.79		6893	
	THIRD			10	9.17		25	22.94			Excluded		38	34.86		10	9.17		16	14.68					10	9.17		109	
		TOTAL		279	4.05		427	6.19					2920	42.36		1923	27.90		659	9.56					685	9.94		6893	
	FOURTH				Excluded		70	25.09					147	52.69		23	8.24		23	8.24					16	5.73		279	
		TOTAL					497	7.21					3067	44.49		1946	28.23		682	9.89					701	10.17		6893	
	FIFTH							Excluded					150	30.18		117	23.54		44	8.85					186	37.42		497	
		TOTAL											3217	46.67		2063	29.93		726	10.53					887	12.87		6893	
	SIXTH												261	35.95		197	27.13			Excluded					268	36.91		726	
		TOTAL											3478	50.46		2260	32.79								1155	16.76		6893	
	SEVENTH												428	37.06		727	62.94									Excluded		1155	
		TOTAL											3906	56.67		2987	43.33											6893	
													Elected																
																													
POSTAL																													
	FIRST			40	1.92		59	2.83		32	1.54		1088	52.21		539	25.86		199	9.55		9	0.43		118	5.66		2084	
	SECOND			0	0.00		0	0.00		2	22.22		0	0.00		0	0.00		4	44.44			Excluded		3	33.33		9	
		TOTAL		40	1.92		59	2.83		34	1.63		1088	52.21		539	25.86		203	9.74					121	5.81		2084	
	THIRD			1	2.94		5	14.71			Excluded		12	35.29		5	14.71		7	20.59					4	11.76		34	
		TOTAL		41	1.97		64	3.07					1100	52.78		544	26.10		210	10.08					125	6.00		2084	
	FOURTH				Excluded		8	19.51					27	65.85		1	2.44		2	4.88					3	7.32		41	
		TOTAL					72	3.45					1127	54.08		545	26.15		212	10.17					128	6.14		2084	
	FIFTH							Excluded					30	41.67		11	15.28		6	8.33					25	34.72		72	
		TOTAL											1157	55.52		556	26.68		218	10.46					153	7.34		2084	
	SIXTH												102	46.79		55	25.23			Excluded					61	27.98		218	
		TOTAL											1259	60.41		611	29.32								214	10.27		2084	
	SEVENTH												88	41.12		126	58.88									Excluded		214	
		TOTAL											1347	64.64		737	35.36											2084	
													Elected																
																													
PRE POLL																													
	FIRST			47	2.08		109	4.81		21	0.93		1054	46.55		645	28.49		187	8.26		9	0.40		192	8.48		2264	
	SECOND			0	0.00		2	22.22		0	0.00		2	22.22		1	11.11		2	22.22			Excluded		2	22.22		9	
		TOTAL		47	2.08		111	4.90		21	0.93		1056	46.64		646	28.53		189	8.35					194	8.57		2264	
	THIRD			5	23.81		6	28.57			Excluded		4	19.05		3	14.29		1	4.76					2	9.52		21	
		TOTAL		52	2.30		117	5.17					1060	46.82		649	28.67		190	8.39					196	8.66		2264	
	FOURTH				Excluded		17	32.69					25	48.08		4	7.69		3	5.77					3	5.77		52	
		TOTAL					134	5.92					1085	47.92		653	28.84		193	8.52					199	8.79		2264	
	FIFTH							Excluded					45	33.58		31	23.13		10	7.46					48	35.82		134	
		TOTAL											1130	49.91		684	30.21		203	8.97					247	10.91		2264	
	SIXTH												66	32.51		60	29.56			Excluded					77	37.93		203	
		TOTAL											1196	52.83		744	32.86								324	14.31		2264	
	SEVENTH												110	33.95		214	66.05									Excluded		324	
		TOTAL											1306	57.69		958	42.31											2264	
													Elected																
																													
PROVISIONAL																													
	FIRST			8	2.20		18	4.96		7	1.93		140	38.57		127	34.99		33	9.09		0	0.00		30	8.26		363	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		8	2.20		18	4.96		7	1.93		140	38.57		127	34.99		33	9.09					30	8.26		363	
	THIRD			0	0.00		0	0.00			Excluded		1	14.29		3	42.86		2	28.57					1	14.29		7	
		TOTAL		8	2.20		18	4.96					141	38.84		130	35.81		35	9.64					31	8.54		363	
	FOURTH				Excluded		3	37.50					2	25.00		1	12.50		2	25.00					0	0.00		8	
		TOTAL					21	5.79					143	39.39		131	36.09		37	10.19					31	8.54		363	
	FIFTH							Excluded					6	28.57		5	23.81		2	9.52					8	38.10		21	
		TOTAL											149	41.05		136	37.47		39	10.74					39	10.74		363	
	SIXTH												14	35.90		12	30.77			Excluded					13	33.33		39	
		TOTAL											163	44.90		148	40.77								52	14.33		363	
	SEVENTH												19	36.54		33	63.46									Excluded		52	
		TOTAL											182	50.14		181	49.86											363	
													Elected																
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
