House of Representatives - 2001 Election: Western Australia																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
O'Connor																																			
					TUCKEY			MCNABB			PESTANA			GYORGY			BROWN			DAVIS			ITURBIDE			MCLEAN			SELBY			PENDLEBURY			
		TOTAL		311	42.14		17	2.30		23	3.12					39	5.28		53	7.18					135	18.29		12	1.63		148	20.05		738	
	FOURTH			3	25.00		0	0.00		1	8.33					1	8.33		2	16.67					3	25.00			Excluded		2	16.67		12	
		TOTAL		314	42.55		17	2.30		24	3.25					40	5.42		55	7.45					138	18.70					150	20.33		738	
	FIFTH			5	20.83		0	0.00			Excluded					4	16.67		9	37.50					0	0.00					6	25.00		24	
		TOTAL		319	43.22		17	2.30								44	5.96		64	8.67					138	18.70					156	21.14		738	
	SIXTH			9	52.94			Excluded								6	35.29		1	5.88					1	5.88					0	0.00		17	
		TOTAL		328	44.44											50	6.78		65	8.81					139	18.83					156	21.14		738	
	SEVENTH			6	9.23											12	18.46			Excluded					11	16.92					36	55.38		65	
		TOTAL		334	45.26											62	8.40								150	20.33					192	26.02		738	
	EIGHTH			36	58.06												Excluded								14	22.58					12	19.35		62	
		TOTAL		370	50.14																				164	22.22					204	27.64		738	
	NINTH			112	68.29																					Excluded					52	31.71		164	
		TOTAL		482	65.31																										256	34.69		738	
				Elected																															
																																			
Manypeaks                                                      																																			
	FIRST			105	55.85		4	2.13		3	1.60		1	0.53		14	7.45		11	5.85		1	0.53		30	15.96		2	1.06		17	9.04		188	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		105	55.85		4	2.13		3	1.60		1	0.53		14	7.45		11	5.85					31	16.49		2	1.06		17	9.04		188	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		1	100.00		1	
		TOTAL		105	55.85		4	2.13		3	1.60					14	7.45		11	5.85					31	16.49		2	1.06		18	9.57		188	
	FOURTH			1	50.00		0	0.00		0	0.00					1	50.00		0	0.00					0	0.00			Excluded		0	0.00		2	
		TOTAL		106	56.38		4	2.13		3	1.60					15	7.98		11	5.85					31	16.49					18	9.57		188	
	FIFTH			0	0.00		0	0.00			Excluded					2	66.67		0	0.00					0	0.00					1	33.33		3	
		TOTAL		106	56.38		4	2.13								17	9.04		11	5.85					31	16.49					19	10.11		188	
	SIXTH			4	100.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		4	
		TOTAL		110	58.51											17	9.04		11	5.85					31	16.49					19	10.11		188	
	SEVENTH			4	36.36											1	9.09			Excluded					0	0.00					6	54.55		11	
		TOTAL		114	60.64											18	9.57								31	16.49					25	13.30		188	
	EIGHTH			14	77.78												Excluded								1	5.56					3	16.67		18	
		TOTAL		128	68.09																				32	17.02					28	14.89		188	
	NINTH			20	62.50																					Excluded					12	37.50		32	
		TOTAL		148	78.72																										40	21.28		188	
				Elected																															
																																			
Mayanup                                                        																																			
	FIRST			68	57.63		3	2.54		0	0.00		0	0.00		22	18.64		1	0.85		0	0.00		17	14.41		1	0.85		6	5.08		118	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		68	57.63		3	2.54		0	0.00		0	0.00		22	18.64		1	0.85					17	14.41		1	0.85		6	5.08		118	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		68	57.63		3	2.54		0	0.00					22	18.64		1	0.85					17	14.41		1	0.85		6	5.08		118	
	FOURTH			1	100.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		1	
		TOTAL		69	58.47		3	2.54		0	0.00					22	18.64		1	0.85					17	14.41					6	5.08		118	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		69	58.47		3	2.54								22	18.64		1	0.85					17	14.41					6	5.08		118	
	SIXTH			2	66.67			Excluded								0	0.00		1	33.33					0	0.00					0	0.00		3	
		TOTAL		71	60.17											22	18.64		2	1.69					17	14.41					6	5.08		118	
	SEVENTH			1	50.00											0	0.00			Excluded					1	50.00					0	0.00		2	
		TOTAL		72	61.02											22	18.64								18	15.25					6	5.08		118	
	EIGHTH			18	81.82												Excluded								4	18.18					0	0.00		22	
		TOTAL		90	76.27																				22	18.64					6	5.08		118	
	NINTH			17	77.27																					Excluded					5	22.73		22	
		TOTAL		107	90.68																										11	9.32		118	
				Elected																															
																																			
Meckering                                                      																																			
	FIRST			87	64.93		1	0.75		1	0.75		3	2.24		6	4.48		1	0.75		0	0.00		12	8.96		1	0.75		22	16.42		134	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		87	64.93		1	0.75		1	0.75		3	2.24		6	4.48		1	0.75					12	8.96		1	0.75		22	16.42		134	
	THIRD			1	33.33		0	0.00		0	0.00			Excluded		0	0.00		1	33.33					1	33.33		0	0.00		0	0.00		3	
		TOTAL		88	65.67		1	0.75		1	0.75					6	4.48		2	1.49					13	9.70		1	0.75		22	16.42		134	
	FOURTH			0	0.00		0	0.00		1	100.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		1	
		TOTAL		88	65.67		1	0.75		2	1.49					6	4.48		2	1.49					13	9.70					22	16.42		134	
	FIFTH			0	0.00		1	50.00			Excluded					0	0.00		1	50.00					0	0.00					0	0.00		2	
		TOTAL		88	65.67		2	1.49								6	4.48		3	2.24					13	9.70					22	16.42		134	
	SIXTH			0	0.00			Excluded								1	50.00		0	0.00					0	0.00					1	50.00		2	
		TOTAL		88	65.67											7	5.22		3	2.24					13	9.70					23	17.16		134	
	SEVENTH			0	0.00											2	66.67			Excluded					1	33.33					0	0.00		3	
		TOTAL		88	65.67											9	6.72								14	10.45					23	17.16		134	
	EIGHTH			8	88.89												Excluded								0	0.00					1	11.11		9	
		TOTAL		96	71.64																				14	10.45					24	17.91		134	
	NINTH			6	42.86																					Excluded					8	57.14		14	
		TOTAL		102	76.12																										32	23.88		134	
				Elected																															
																																			
Middleton Beach                                                																																			
	FIRST			571	51.96		23	2.09		29	2.64		9	0.82		63	5.73		95	8.64		10	0.91		85	7.73		21	1.91		193	17.56		1099	
	SECOND			2	20.00		0	0.00		1	10.00		0	0.00		2	20.00		0	0.00			Excluded		2	20.00		0	0.00		3	30.00		10	
		TOTAL		573	52.14		23	2.09		30	2.73		9	0.82		65	5.91		95	8.64					87	7.92		21	1.91		196	17.83		1099	
	THIRD			0	0.00		0	0.00		3	33.33			Excluded		1	11.11		0	0.00					4	44.44		0	0.00		1	11.11		9	
		TOTAL		573	52.14		23	2.09		33	3.00					66	6.01		95	8.64					91	8.28		21	1.91		197	17.93		1099	
	FOURTH			3	14.29		1	4.76		0	0.00					1	4.76		10	47.62					2	9.52			Excluded		4	19.05		21	
		TOTAL		576	52.41		24	2.18		33	3.00					67	6.10		105	9.55					93	8.46					201	18.29		1099	
	FIFTH			0	0.00		0	0.00			Excluded					6	18.18		18	54.55					0	0.00					9	27.27		33	
		TOTAL		576	52.41		24	2.18								73	6.64		123	11.19					93	8.46					210	19.11		1099	
	SIXTH			15	62.50			Excluded								3	12.50		2	8.33					4	16.67					0	0.00		24	
		TOTAL		591	53.78											76	6.92		125	11.37					97	8.83					210	19.11		1099	
	SEVENTH			17	13.60											21	16.80			Excluded					22	17.60					65	52.00		125	
		TOTAL		608	55.32											97	8.83								119	10.83					275	25.02		1099	
	EIGHTH			56	57.73												Excluded								19	19.59					22	22.68		97	
		TOTAL		664	60.42																				138	12.56					297	27.02		1099	
	NINTH			81	58.70																					Excluded					57	41.30		138	
		TOTAL		745	67.79																										354	32.21		1099	
				Elected																															
																																			
Miling                                                         																																			
	FIRST			96	82.05		0	0.00		2	1.71		0	0.00		3	2.56		2	1.71		0	0.00		10	8.55		0	0.00		4	3.42		117	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		96	82.05		0	0.00		2	1.71		0	0.00		3	2.56		2	1.71					10	8.55		0	0.00		4	3.42		117	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		96	82.05		0	0.00		2	1.71					3	2.56		2	1.71					10	8.55		0	0.00		4	3.42		117	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		96	82.05		0	0.00		2	1.71					3	2.56		2	1.71					10	8.55					4	3.42		117	
	FIFTH			1	50.00		0	0.00			Excluded					0	0.00		1	50.00					0	0.00					0	0.00		2	
		TOTAL		97	82.91		0	0.00								3	2.56		3	2.56					10	8.55					4	3.42		117	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		97	82.91											3	2.56		3	2.56					10	8.55					4	3.42		117	
	SEVENTH			2	66.67											0	0.00			Excluded					0	0.00					1	33.33		3	
		TOTAL		99	84.62											3	2.56								10	8.55					5	4.27		117	
	EIGHTH			3	100.00												Excluded								0	0.00					0	0.00		3	
		TOTAL		102	87.18																				10	8.55					5	4.27		117	
	NINTH			7	70.00																					Excluded					3	30.00		10	
		TOTAL		109	93.16																										8	6.84		117	
				Elected																															
																																			
Mingenew                                                       																																			
	FIRST			193	62.87		4	1.30		4	1.30		2	0.65		19	6.19		5	1.63		1	0.33		34	11.07		1	0.33		44	14.33		307	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		193	62.87		4	1.30		4	1.30		2	0.65		19	6.19		5	1.63					35	11.40		1	0.33		44	14.33		307	
	THIRD			1	50.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	50.00		0	0.00		2	
		TOTAL		194	63.19		4	1.30		4	1.30					19	6.19		5	1.63					35	11.40		2	0.65		44	14.33		307	
	FOURTH			0	0.00		1	50.00		0	0.00					0	0.00		1	50.00					0	0.00			Excluded		0	0.00		2	
		TOTAL		194	63.19		5	1.63		4	1.30					19	6.19		6	1.95					35	11.40					44	14.33		307	
	FIFTH			1	25.00		0	0.00			Excluded					0	0.00		1	25.00					0	0.00					2	50.00		4	
		TOTAL		195	63.52		5	1.63								19	6.19		7	2.28					35	11.40					46	14.98		307	
	SIXTH			2	40.00			Excluded								1	20.00		1	20.00					1	20.00					0	0.00		5	
		TOTAL		197	64.17											20	6.51		8	2.61					36	11.73					46	14.98		307	
	SEVENTH			2	25.00											3	37.50			Excluded					2	25.00					1	12.50		8	
		TOTAL		199	64.82											23	7.49								38	12.38					47	15.31		307	
	EIGHTH			16	69.57												Excluded								4	17.39					3	13.04		23	
		TOTAL		215	70.03																				42	13.68					50	16.29		307	
	NINTH			23	54.76																					Excluded					19	45.24		42	
		TOTAL		238	77.52																										69	22.48		307	
				Elected																															
																																			
Mogumber                                                       																																			
	FIRST			45	68.18		0	0.00		0	0.00		0	0.00		1	1.52		3	4.55		0	0.00		10	15.15		0	0.00		7	10.61		66	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		45	68.18		0	0.00		0	0.00		0	0.00		1	1.52		3	4.55					10	15.15		0	0.00		7	10.61		66	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		45	68.18		0	0.00		0	0.00					1	1.52		3	4.55					10	15.15		0	0.00		7	10.61		66	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		45	68.18		0	0.00		0	0.00					1	1.52		3	4.55					10	15.15					7	10.61		66	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		45	68.18		0	0.00								1	1.52		3	4.55					10	15.15					7	10.61		66	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		45	68.18											1	1.52		3	4.55					10	15.15					7	10.61		66	
	SEVENTH			0	0.00											1	33.33			Excluded					1	33.33					1	33.33		3	
		TOTAL		45	68.18											2	3.03								11	16.67					8	12.12		66	
	EIGHTH			1	50.00												Excluded								0	0.00					1	50.00		2	
		TOTAL		46	69.70																				11	16.67					9	13.64		66	
	NINTH			8	72.73																					Excluded					3	27.27		11	
		TOTAL		54	81.82																										12	18.18		66	
				Elected																															
																																			
Moonyoonooka                                                   																																			
	FIRST			122	59.22		3	1.46		2	0.97		1	0.49		14	6.80		1	0.49		1	0.49		39	18.93		0	0.00		23	11.17		206	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1	
		TOTAL		122	59.22		3	1.46		2	0.97		1	0.49		14	6.80		1	0.49					39	18.93		1	0.49		23	11.17		206	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					1	100.00		0	0.00		0	0.00		1	
		TOTAL		122	59.22		3	1.46		2	0.97					14	6.80		1	0.49					40	19.42		1	0.49		23	11.17		206	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		1	100.00					0	0.00			Excluded		0	0.00		1	
		TOTAL		122	59.22		3	1.46		2	0.97					14	6.80		2	0.97					40	19.42					23	11.17		206	
	FIFTH			1	50.00		0	0.00			Excluded					0	0.00		1	50.00					0	0.00					0	0.00		2	
		TOTAL		123	59.71		3	1.46								14	6.80		3	1.46					40	19.42					23	11.17		206	
	SIXTH			2	66.67			Excluded								0	0.00		1	33.33					0	0.00					0	0.00		3	
		TOTAL		125	60.68											14	6.80		4	1.94					40	19.42					23	11.17		206	
	SEVENTH			2	50.00											2	50.00			Excluded					0	0.00					0	0.00		4	
		TOTAL		127	61.65											16	7.77								40	19.42					23	11.17		206	
	EIGHTH			12	75.00												Excluded								4	25.00					0	0.00		16	
		TOTAL		139	67.48																				44	21.36					23	11.17		206	
	NINTH			36	81.82																					Excluded					8	18.18		44	
		TOTAL		175	84.95																										31	15.05		206	
				Elected																															
																																			
Moora                                                          																																			
	FIRST			516	56.95		4	0.44		12	1.32		7	0.77		47	5.19		17	1.88		1	0.11		95	10.49		5	0.55		202	22.30		906	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		516	56.95		4	0.44		12	1.32		7	0.77		47	5.19		17	1.88					96	10.60		5	0.55		202	22.30		906	
	THIRD			1	14.29		0	0.00		2	28.57			Excluded		2	28.57		0	0.00					1	14.29		0	0.00		1	14.29		7	
		TOTAL		517	57.06		4	0.44		14	1.55					49	5.41		17	1.88					97	10.71		5	0.55		203	22.41		906	
	FOURTH			3	60.00		0	0.00		0	0.00					0	0.00		1	20.00					0	0.00			Excluded		1	20.00		5	
		TOTAL		520	57.40		4	0.44		14	1.55					49	5.41		18	1.99					97	10.71					204	22.52		906	
	FIFTH			0	0.00		2	14.29			Excluded					2	14.29		9	64.29					1	7.14					0	0.00		14	
		TOTAL		520	57.40		6	0.66								51	5.63		27	2.98					98	10.82					204	22.52		906	
	SIXTH			1	16.67			Excluded								3	50.00		1	16.67					1	16.67					0	0.00		6	
		TOTAL		521	57.51											54	5.96		28	3.09					99	10.93					204	22.52		906	
	SEVENTH			10	35.71											3	10.71			Excluded					4	14.29					11	39.29		28	
		TOTAL		531	58.61											57	6.29								103	11.37					215	23.73		906	
	EIGHTH			45	78.95												Excluded								8	14.04					4	7.02		57	
		TOTAL		576	63.58																				111	12.25					219	24.17		906	
	NINTH			74	66.67																					Excluded					37	33.33		111	
		TOTAL		650	71.74																										256	28.26		906	
				Elected																															
																																			
Morawa                                                         																																			
	FIRST			252	61.61		4	0.98		7	1.71		1	0.24		18	4.40		7	1.71		1	0.24		56	13.69		1	0.24		62	15.16		409	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		252	61.61		4	0.98		7	1.71		1	0.24		18	4.40		7	1.71					57	13.94		1	0.24		62	15.16		409	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					1	100.00		0	0.00		0	0.00		1	
		TOTAL		252	61.61		4	0.98		7	1.71					18	4.40		7	1.71					58	14.18		1	0.24		62	15.16		409	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		1	100.00					0	0.00			Excluded		0	0.00		1	
		TOTAL		252	61.61		4	0.98		7	1.71					18	4.40		8	1.96					58	14.18					62	15.16		409	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		3	42.86					1	14.29					3	42.86		7	
		TOTAL		252	61.61		4	0.98								18	4.40		11	2.69					59	14.43					65	15.89		409	
	SIXTH			2	50.00			Excluded								0	0.00		0	0.00					2	50.00					0	0.00		4	
		TOTAL		254	62.10											18	4.40		11	2.69					61	14.91					65	15.89		409	
	SEVENTH			2	18.18											1	9.09			Excluded					1	9.09					7	63.64		11	
		TOTAL		256	62.59											19	4.65								62	15.16					72	17.60		409	
	EIGHTH			13	68.42												Excluded								3	15.79					3	15.79		19	
		TOTAL		269	65.77																				65	15.89					75	18.34		409	
	NINTH			50	76.92																					Excluded					15	23.08		65	
		TOTAL		319	78.00																										90	22.00		409	
				Elected																															
																																			
Mount Barker                                                   																																			
	FIRST			602	43.85		40	2.91		26	1.89		13	0.95		142	10.34		69	5.03		6	0.44		168	12.24		26	1.89		281	20.47		1373	
	SECOND			0	0.00		1	16.67		2	33.33		0	0.00		0	0.00		1	16.67			Excluded		0	0.00		1	16.67		1	16.67		6	
		TOTAL		602	43.85		41	2.99		28	2.04		13	0.95		142	10.34		70	5.10					168	12.24		27	1.97		282	20.54		1373	
	THIRD			3	23.08		0	0.00		3	23.08			Excluded		3	23.08		3	23.08					0	0.00		0	0.00		1	7.69		13	
		TOTAL		605	44.06		41	2.99		31	2.26					145	10.56		73	5.32					168	12.24		27	1.97		283	20.61		1373	
	FOURTH			4	14.81		0	0.00		0	0.00					4	14.81		7	25.93					5	18.52			Excluded		7	25.93		27	
		TOTAL		609	44.36		41	2.99		31	2.26					149	10.85		80	5.83					173	12.60					290	21.12		1373	
	FIFTH			5	16.13		0	0.00			Excluded					3	9.68		18	58.06					2	6.45					3	9.68		31	
		TOTAL		614	44.72		41	2.99								152	11.07		98	7.14					175	12.75					293	21.34		1373	
	SIXTH			23	56.10			Excluded								11	26.83		1	2.44					4	9.76					2	4.88		41	
		TOTAL		637	46.39											163	11.87		99	7.21					179	13.04					295	21.49		1373	
	SEVENTH			18	18.18											21	21.21			Excluded					17	17.17					43	43.43		99	
		TOTAL		655	47.71											184	13.40								196	14.28					338	24.62		1373	
	EIGHTH			122	66.30												Excluded								32	17.39					30	16.30		184	
		TOTAL		777	56.59																				228	16.61					368	26.80		1373	
	NINTH			141	61.84																					Excluded					87	38.16		228	
		TOTAL		918	66.86																										455	33.14		1373	
				Elected																															
																																			
Mount Tarcoola                                                 																																			
	FIRST			1000	57.50		29	1.67		36	2.07		15	0.86		34	1.96		59	3.39		2	0.12		156	8.97		23	1.32		385	22.14		1739	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		1000	57.50		29	1.67		36	2.07		16	0.92		34	1.96		60	3.45					156	8.97		23	1.32		385	22.14		1739	
	THIRD			1	6.25		3	18.75		1	6.25			Excluded		1	6.25		2	12.50					4	25.00		1	6.25		3	18.75		16	
		TOTAL		1001	57.56		32	1.84		37	2.13					35	2.01		62	3.57					160	9.20		24	1.38		388	22.31		1739	
	FOURTH			4	16.67		1	4.17		0	0.00					1	4.17		8	33.33					5	20.83			Excluded		5	20.83		24	
		TOTAL		1005	57.79		33	1.90		37	2.13					36	2.07		70	4.03					165	9.49					393	22.60		1739	
	FIFTH			3	8.11		5	13.51			Excluded					5	13.51		16	43.24					1	2.70					7	18.92		37	
		TOTAL		1008	57.96		38	2.19								41	2.36		86	4.95					166	9.55					400	23.00		1739	
	SIXTH			27	71.05			Excluded								4	10.53		2	5.26					3	7.89					2	5.26		38	
		TOTAL		1035	59.52											45	2.59		88	5.06					169	9.72					402	23.12		1739	
	SEVENTH			18	20.45											24	27.27			Excluded					14	15.91					32	36.36		88	
		TOTAL		1053	60.55											69	3.97								183	10.52					434	24.96		1739	
	EIGHTH			29	42.03												Excluded								17	24.64					23	33.33		69	
		TOTAL		1082	62.22																				200	11.50					457	26.28		1739	
	NINTH			130	65.00																					Excluded					70	35.00		200	
		TOTAL		1212	69.70																										527	30.30		1739	
				Elected																															
																																			
Mount Walker                                                   																																			
	FIRST			25	46.30		2	3.70		0	0.00		0	0.00		13	24.07		1	1.85		0	0.00		9	16.67		0	0.00		4	7.41		54	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		25	46.30		2	3.70		0	0.00		0	0.00		13	24.07		1	1.85					9	16.67		0	0.00		4	7.41		54	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		25	46.30		2	3.70		0	0.00					13	24.07		1	1.85					9	16.67		0	0.00		4	7.41		54	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		25	46.30		2	3.70		0	0.00					13	24.07		1	1.85					9	16.67					4	7.41		54	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		25	46.30		2	3.70								13	24.07		1	1.85					9	16.67					4	7.41		54	
	SIXTH			2	100.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		2	
		TOTAL		27	50.00											13	24.07		1	1.85					9	16.67					4	7.41		54	
	SEVENTH			0	0.00											1	100.00			Excluded					0	0.00					0	0.00		1	
		TOTAL		27	50.00											14	25.93								9	16.67					4	7.41		54	
	EIGHTH			14	100.00												Excluded								0	0.00					0	0.00		14	
		TOTAL		41	75.93																				9	16.67					4	7.41		54	
	NINTH			7	77.78																					Excluded					2	22.22		9	
		TOTAL		48	88.89																										6	11.11		54	
				Elected																															
																																			
Mukinbudin                                                     																																			
	FIRST			222	60.66		30	8.20		5	1.37		1	0.27		35	9.56		5	1.37		1	0.27		44	12.02		0	0.00		23	6.28		366	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		222	60.66		30	8.20		5	1.37		1	0.27		35	9.56		5	1.37					45	12.30		0	0.00		23	6.28		366	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL		222	60.66		30	8.20		5	1.37					36	9.84		5	1.37					45	12.30		0	0.00		23	6.28		366	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		222	60.66		30	8.20		5	1.37					36	9.84		5	1.37					45	12.30					23	6.28		366	
	FIFTH			1	20.00		1	20.00			Excluded					1	20.00		1	20.00					0	0.00					1	20.00		5	
		TOTAL		223	60.93		31	8.47								37	10.11		6	1.64					45	12.30					24	6.56		366	
	SIXTH			20	64.52			Excluded								4	12.90		0	0.00					7	22.58					0	0.00		31	
		TOTAL		243	66.39											41	11.20		6	1.64					52	14.21					24	6.56		366	
	SEVENTH			2	33.33											1	16.67			Excluded					1	16.67					2	33.33		6	
		TOTAL		245	66.94											42	11.48								53	14.48					26	7.10		366	
	EIGHTH			30	71.43												Excluded								8	19.05					4	9.52		42	
		TOTAL		275	75.14																				61	16.67					30	8.20		366	
	NINTH			50	81.97																					Excluded					11	18.03		61	
		TOTAL		325	88.80																										41	11.20		366	
				Elected																															
																																			
Munglinup (O'Connor)                                           																																			
	FIRST			41	60.29		0	0.00		0	0.00		0	0.00		5	7.35		3	4.41		0	0.00		7	10.29		1	1.47		11	16.18		68	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		41	60.29		0	0.00		0	0.00		0	0.00		5	7.35		3	4.41					7	10.29		1	1.47		11	16.18		68	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		41	60.29		0	0.00		0	0.00					5	7.35		3	4.41					7	10.29		1	1.47		11	16.18		68	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		1	100.00					0	0.00			Excluded		0	0.00		1	
		TOTAL		41	60.29		0	0.00		0	0.00					5	7.35		4	5.88					7	10.29					11	16.18		68	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		41	60.29		0	0.00								5	7.35		4	5.88					7	10.29					11	16.18		68	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		41	60.29											5	7.35		4	5.88					7	10.29					11	16.18		68	
	SEVENTH			0	0.00											3	75.00			Excluded					1	25.00					0	0.00		4	
		TOTAL		41	60.29											8	11.76								8	11.76					11	16.18		68	
	EIGHTH			5	62.50												Excluded								1	12.50					2	25.00		8	
		TOTAL		46	67.65																				9	13.24					13	19.12		68	
	NINTH			6	66.67																					Excluded					3	33.33		9	
		TOTAL		52	76.47																										16	23.53		68	
				Elected																															
																																			
Muradup                                                        																																			
	FIRST			109	59.56		1	0.55		1	0.55		0	0.00		31	16.94		3	1.64		0	0.00		28	15.30		0	0.00		10	5.46		183	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		109	59.56		1	0.55		1	0.55		0	0.00		31	16.94		3	1.64					28	15.30		0	0.00		10	5.46		183	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		109	59.56		1	0.55		1	0.55					31	16.94		3	1.64					28	15.30		0	0.00		10	5.46		183	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		109	59.56		1	0.55		1	0.55					31	16.94		3	1.64					28	15.30					10	5.46		183	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					1	100.00					0	0.00		1	
		TOTAL		109	59.56		1	0.55								31	16.94		3	1.64					29	15.85					10	5.46		183	
	SIXTH			1	100.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		1	
		TOTAL		110	60.11											31	16.94		3	1.64					29	15.85					10	5.46		183	
	SEVENTH			0	0.00											2	66.67			Excluded					1	33.33					0	0.00		3	
		TOTAL		110	60.11											33	18.03								30	16.39					10	5.46		183	
	EIGHTH			27	81.82												Excluded								2	6.06					4	12.12		33	
		TOTAL		137	74.86																				32	17.49					14	7.65		183	
	NINTH			26	81.25																					Excluded					6	18.75		32	
		TOTAL		163	89.07																										20	10.93		183	
				Elected																															
																																			
Napier                                                         																																			
	FIRST			84	54.55		5	3.25		3	1.95		0	0.00		17	11.04		7	4.55		2	1.30		11	7.14		2	1.30		23	14.94		154	
