House of Representatives - 2001 Election: Western Australia																																
Distribution of Preferences																																
By Polling Place																																
Hasluck																																
				MCLEAN			JACKSON			DANIELS			RYAN			EDMONDS			MARKHAM			HOPKINSON			HEGARTY			CHAN				
	SIXTH						22	22.68								40	41.24			Excluded		6	6.19					29	29.90		97	
		TOTAL					753	35.37								127	5.97					173	8.13					1076	50.54		2129	
	SEVENTH						46	26.59								57	32.95						Excluded					70	40.46		173	
		TOTAL					799	37.53								184	8.64											1146	53.83		2129	
	EIGHTH						115	62.50									Excluded											69	37.50		184	
		TOTAL					914	42.93																				1215	57.07		2129	
							Elected																									
																																
PRE POLL																																
	FIRST			25	1.02		871	35.67		21	0.86		57	2.33		131	5.36		138	5.65		185	7.58		19	0.78		995	40.75		2442	
	SECOND			0	0.00		1	5.26		0	0.00		0	0.00		0	0.00		3	15.79		2	10.53			Excluded		13	68.42		19	
		TOTAL		25	1.02		872	35.71		21	0.86		57	2.33		131	5.36		141	5.77		187	7.66					1008	41.28		2442	
	THIRD			4	19.05		10	47.62			Excluded		2	9.52		3	14.29		1	4.76		1	4.76					0	0.00		21	
		TOTAL		29	1.19		882	36.12					59	2.42		134	5.49		142	5.81		188	7.70					1008	41.28		2442	
	FOURTH				Excluded		15	51.72					1	3.45		7	24.14		0	0.00		2	6.90					4	13.79		29	
		TOTAL					897	36.73					60	2.46		141	5.77		142	5.81		190	7.78					1012	41.44		2442	
	FIFTH						12	20.00						Excluded		7	11.67		3	5.00		4	6.67					34	56.67		60	
		TOTAL					909	37.22								148	6.06		145	5.94		194	7.94					1046	42.83		2442	
	SIXTH						45	31.03								55	37.93			Excluded		19	13.10					26	17.93		145	
		TOTAL					954	39.07								203	8.31					213	8.72					1072	43.90		2442	
	SEVENTH						63	29.58								60	28.17						Excluded					90	42.25		213	
		TOTAL					1017	41.65								263	10.77											1162	47.58		2442	
	EIGHTH						189	71.86									Excluded											74	28.14		263	
		TOTAL					1206	49.39																				1236	50.61		2442	
							Elected																									
																																
PROVISIONAL																																
	FIRST			6	1.46		183	44.42		9	2.18		11	2.67		37	8.98		33	8.01		31	7.52		4	0.97		98	23.79		412	
	SECOND			0	0.00		1	25.00		0	0.00		0	0.00		1	25.00		0	0.00		0	0.00			Excluded		2	50.00		4	
		TOTAL		6	1.46		184	44.66		9	2.18		11	2.67		38	9.22		33	8.01		31	7.52					100	24.27		412	
	THIRD			1	11.11		6	66.67			Excluded		0	0.00		1	11.11		0	0.00		1	11.11					0	0.00		9	
		TOTAL		7	1.70		190	46.12					11	2.67		39	9.47		33	8.01		32	7.77					100	24.27		412	
	FOURTH				Excluded		1	14.29					2	28.57		1	14.29		0	0.00		2	28.57					1	14.29		7	
		TOTAL					191	46.36					13	3.16		40	9.71		33	8.01		34	8.25					101	24.51		412	
	FIFTH						5	38.46						Excluded		2	15.38		1	7.69		2	15.38					3	23.08		13	
		TOTAL					196	47.57								42	10.19		34	8.25		36	8.74					104	25.24		412	
	SIXTH						5	14.71								18	52.94			Excluded		6	17.65					5	14.71		34	
		TOTAL					201	48.79								60	14.56					42	10.19					109	26.46		412	
	SEVENTH						11	26.19								19	45.24						Excluded					12	28.57		42	
		TOTAL					212	51.46								79	19.17											121	29.37		412	
	EIGHTH						52	65.82									Excluded											27	34.18		79	
		TOTAL					264	64.08																				148	35.92		412	
							Elected																									
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
